02E,NHS Warrington CCG,,,,,,E38000194,"59,010","45,875","27,230","31,775",*,"20,325","13,625","6,330","5,595",73,24,5.1,1,55,"3,260","1,000",925,900,255,240,200,235,325,"1,790","2,530","2,805","2,305","2,140","2,550","3,140","4,040","4,150","4,150","5,650","5,385","5,000","3,615","2,065","16,975","166,243","6,350",415,"1,780"
02G,NHS West Lancashire CCG,,,,,,E38000200,"32,850","26,640","15,625","17,210",15,"11,810","9,080","3,670","2,081",84,24,4.2,1,58,"1,280",385,430,465,115,105,95,120,180,955,"1,200","1,175","1,090",985,"1,260","1,810","2,245","2,345","2,535","3,560","3,455","3,235","2,215","1,215","11,270","65,863","4,250",205,410
02H,NHS Wigan Borough CCG,,,,,,E38000205,"91,715","76,530","43,265","48,440",10,"37,620","20,330","10,975","7,604",91,28,4.0,1,55,"4,170","1,490","1,075","1,230",330,280,380,415,410,"3,030","4,325","4,635","4,090","3,205","4,240","6,305","6,150","6,180","6,645","9,150","8,655","7,425","4,775","2,615","27,290","211,567","12,550",680,"1,905"
02M,NHS Fylde And Wyre CCG,,,,,,E38000226,"60,660","47,010","27,895","32,765",*,"17,675","22,295","3,270","3,770",83,27,5.8,2,61,"2,015",770,620,635,155,125,190,160,230,"1,120","1,890","2,100","1,740","1,505","2,230","3,055","3,690","4,435","5,320","7,255","7,360","6,490","4,535","2,860","22,630","143,710","4,290",445,"1,065"
02P,NHS Barnsley CCG,,,,,,E38000006,"85,215","66,800","39,220","45,985",10,"30,115","20,685","7,905","8,098",67,28,4.2,2,56,"3,785","1,240","1,070",790,225,235,325,330,375,"2,800","4,030","4,025","3,570","2,970","3,610","4,780","5,445","6,115","6,455","8,330","8,140","6,755","5,105","2,935","24,760","178,918","7,740",675,"2,775"
02Q,NHS Bassetlaw CCG,,,,,,E38000008,"30,235","25,215","13,980","16,255",*,"10,180","6,860","5,590","2,584",68,25,4.7,1,57,"1,755",420,360,310,90,85,85,140,135,760,"1,235","1,085","1,040","1,015","1,420","1,520","1,995","2,185","2,395","3,335","2,870","2,710","1,945","1,195","10,765","69,627","3,295",330,665
02T,NHS Calderdale CCG,,,,,,E38000025,"54,575","46,575","25,125","29,450",*,"20,930","12,865","6,895","5,881",51,17,4.2,1,54,"3,030","1,045",630,790,165,185,345,215,200,"1,705","2,560","2,800","2,290","1,910","2,330","3,150","3,565","3,945","3,945","5,355","5,020","4,100","2,955","2,080","17,740","122,605","6,635",210,"1,630"
02X,NHS Doncaster CCG,,,,,,E38000044,"92,855","78,060","42,415","50,435",*,"33,390","21,375","15,585","7,706",68,24,4.6,1,56,"4,330","1,000",980,"1,040",255,260,295,340,475,"3,290","4,620","4,645","3,775","3,495","4,030","5,305","6,300","6,855","7,085","8,815","7,745","7,865","6,005","3,460","31,065","218,385","12,410","1,340","1,870"
02Y,NHS East Riding Of Yorkshire CCG,,,,,,E38000052,"90,850","69,440","42,445","48,400",*,"25,615","23,495","13,930","6,396",92,29,5.3,2,61,"3,550",825,690,705,170,230,255,235,295,"1,935","2,895","3,230","2,810","2,105","3,200","4,665","5,485","6,840","7,995","11,045","10,815","9,480","6,885","4,390","32,870","193,625","5,800",525,"1,895"
03A,NHS Greater Huddersfield CCG,,,,,,E38000064,"57,495","49,585","26,160","31,330",*,"20,890","14,025","8,165","6,507",60,19,4.8,1,54,"3,190",845,650,870,165,190,295,270,330,"1,895","2,615","3,105","2,540","2,130","2,560","3,285","3,950","3,705","4,320","5,650","4,940","4,335","3,215","2,095","19,870","135,930","6,410",310,"1,735"
03F,NHS Hull CCG,,,,,,E38000085,"76,515","58,480","34,250","42,265",*,"23,645","14,375","11,355","9,109",98,31,4.6,2,52,"5,150","1,030",890,895,200,320,320,330,455,"3,225","4,380","4,090","3,385","3,120","3,665","4,315","4,995","5,555","5,755","6,940","6,005","5,245","3,770","2,290","22,145","168,349","4,870",445,"2,470"
03H,NHS North East Lincolnshire CCG,,,,,,E38000119,"46,215","41,730","21,445","24,765",*,"14,960","11,955","11,205","3,608",87,29,4.3,2,56,"1,845",705,500,575,165,105,150,205,185,"1,410","1,915","2,110","1,910","1,545","1,980","2,705","3,340","3,645","3,920","4,850","4,375","3,805","2,600","1,520","20,410","91,450","4,165",555,635
03J,NHS North Kirklees CCG,,,,,,E38000121,"49,690","40,975","21,990","27,700",*,"15,640","11,450","5,785","8,103",64,23,4.5,1,52,"2,835",745,590,615,215,195,270,255,350,"2,390","3,225","3,250","2,415","1,890","2,120","2,700","2,920","3,105","3,330","4,205","4,035","3,650","2,550","1,610","15,265","117,314","3,220",320,"3,425"
03K,NHS North Lincolnshire CCG,,,,,,E38000122,"52,120","45,435","24,805","27,300",10,"18,755","11,705","11,050","3,924",85,30,4.4,2,58,"1,955",550,560,680,115,160,275,215,230,"1,520","2,060","1,895","1,825","1,605","2,210","3,145","3,460","3,990","4,350","6,075","5,170","4,465","3,360","2,130","19,825","114,572","5,670",575,775
03L,NHS Rotherham CCG,,,,,,E38000141,"92,300","71,565","41,345","50,945",10,"34,600","22,440","8,980","5,549",77,27,4.0,1,55,"3,900","1,225","1,030",980,240,300,405,440,490,"3,560","4,485","4,865","4,015","3,525","4,390","5,375","6,090","6,385","6,860","8,595","8,660","7,315","5,400","3,380","27,305","184,697","12,800",570,"1,360"
03N,NHS Sheffield CCG,,,,,,E38000146,"183,820","142,770","79,620","104,195",*,"54,650","49,440","17,750","20,929",58,22,4.2,1,54,"6,870","2,080","2,630","2,440",610,605,655,870,"1,290","8,540","11,735","12,510","9,235","6,870","7,545","9,855","10,625","12,005","12,020","15,465","16,040","14,975","10,475","7,030","59,035","351,073","15,360",995,"8,970"
03Q,NHS Vale Of York CCG,,,,,,E38000188,"109,320","85,250","48,775","60,545",*,"33,890","37,450","1,970","11,940",107,35,3.2,1,58,"4,330","1,340","1,060",940,240,340,415,385,715,"3,530","4,915","5,775","4,060","3,630","4,135","5,620","6,590","7,550","7,975","11,420","10,630","10,070","7,710","5,315","36,090","163,712","12,855",330,"5,695"
03R,NHS Wakefield CCG,,,,,,E38000190,"107,945","89,080","46,820","61,120",*,"32,080","27,595","14,125","15,283",71,24,4.9,1,55,"4,780","1,310","1,155",865,220,270,460,440,550,"4,270","6,295","6,200","4,835","3,735","4,865","6,230","7,465","7,415","7,865","10,465","9,830","8,190","6,155","3,550","37,295","256,739","6,695",585,"6,705"
03W,NHS East Leicestershire And Rutland CCG,,,,,,E38000051,"92,270","70,595","41,155","51,105",10,"28,325","17,820","14,325","10,128",82,26,4.9,1,59,"3,325",800,750,670,225,220,240,305,355,"2,405","4,620","4,630","3,745","3,005","3,500","5,040","5,855","6,260","7,165","9,440","8,935","8,855","7,075","4,435","27,715","219,014","6,760",855,"4,640"
04C,NHS Leicester City CCG,,,,,,E38000097,"102,710","78,270","45,660","57,040",10,"35,450","14,300","11,660","16,864",89,26,4.3,1,50,"5,220","1,015",970,775,195,295,325,550,795,"5,835","7,865","7,180","6,365","5,100","5,120","5,960","6,770","7,145","7,480","7,270","6,415","6,260","4,535","2,670","22,510","249,747","10,090",725,"7,795"
04F,NHS Milton Keynes CCG,,,,,,E38000107,"74,595","52,890","33,410","40,950",235,"20,775","15,560","8,190","8,368",75,27,4.3,1,53,"4,380","1,495","1,235","1,150",270,260,255,255,335,"2,050","3,335","4,025","3,595","3,255","3,410","4,105","4,530","4,955","5,685","7,110","5,825","5,395","3,975","3,285","20,430","156,132","4,990",480,"2,060"
04V,NHS West Leicestershire CCG,,,,,,E38000201,"108,390","82,555","49,480","58,895",15,"35,110","19,695","15,480","12,271",82,27,4.5,1,57,"4,390","1,070",640,720,280,295,330,485,505,"3,495","5,455","5,810","4,460","3,795","4,610","6,190","6,660","7,710","8,330","11,320","10,620","9,110","7,140","4,645","30,550","245,364","9,340",965,"5,295"
04Y,NHS Cannock Chase CCG,,,,,,E38000028,"40,990","33,740","18,040","22,945",*,"13,750","8,135","7,380","4,473",85,30,4.4,1,57,"1,875",565,340,345,95,85,115,120,155,"1,370","1,935","2,010","1,400","1,265","1,695","2,340","2,650","2,960","3,170","4,525","4,260","3,375","2,360","1,625","13,945","86,623","4,835",195,"1,790"
05A,NHS Coventry And Rugby CCG,,,,,,E38000038,"149,405","126,120","65,545","83,830",30,"55,290","31,315","20,485","19,028",79,28,3.4,1,52,"7,630","2,365","1,725","2,045",495,610,630,920,"1,100","6,435","8,670","9,335","7,560","6,240","6,955","8,755","9,570","9,730","9,905","11,830","11,925","10,160","7,695","5,745","45,580","274,670","20,310","1,395","7,960"
05C,NHS Dudley CCG,,,,,,E38000046,"85,020","73,830","35,595","49,420",*,"27,610","22,930","8,405","14,885",101,35,3.9,1,55,"3,970",885,875,"1,000",270,260,290,380,495,"3,705","5,795","5,200","3,580","2,760","3,005","4,155","4,860","5,145","5,680","7,650","8,010","7,560","5,655","3,430","27,155","179,996","6,480","1,105","8,535"
05D,NHS East Staffordshire CCG,,,,,,E38000053,"48,240","32,695","22,855","25,375",10,"14,700","7,745","6,975","3,276",57,17,4.3,1,59,"2,245",570,535,375,125,130,110,130,140,955,"1,560","1,765","1,740","1,570","2,055","2,670","3,105","3,375","3,640","4,790","5,280","4,725","3,915","2,670","12,855","89,917","4,855",290,505
05G,NHS North Staffordshire CCG,,,,,,E38000126,"74,540","54,415","33,310","41,190",35,"23,330","11,980","11,235","7,873",72,24,4.1,1,58,"3,325",735,745,695,240,210,215,255,300,"2,570","3,555","3,630","2,650","2,280","2,680","3,760","4,510","5,200","5,740","8,010","7,595","6,825","5,090","3,500","20,470","144,278","8,970",330,"3,790"
05H,NHS Warwickshire North CCG,,,,,,E38000195,"54,565","44,785","24,405","30,150",15,"19,060","14,205","6,595","4,924",88,30,4.3,1,57,"2,665",695,475,700,210,195,145,145,190,"1,410","2,305","2,400","2,065","1,895","2,450","3,130","3,340","3,605","4,320","5,400","5,570","5,020","3,620","2,325","17,995","115,619","5,720",695,925
05L,NHS Sandwell And West Birmingham CCG,,,,,,E38000144,"128,805","99,385","57,725","71,065",10,"48,420","22,295","8,590","20,083",76,27,4.3,1,49,"9,990","2,875","2,210","2,625",685,445,535,605,760,"5,385","7,730","7,655","6,470","5,230","5,345","6,655","7,085","7,250","7,380","8,150","8,435","8,805","6,985","4,510","25,260","327,020","11,870","1,230","6,225"
05N,NHS Shropshire CCG,,,,,,E38000147,"90,915","69,245","43,585","47,325",*,"28,195","18,320","16,175","6,556",84,23,5.0,2,61,"3,220",905,730,890,255,280,235,280,290,"1,805","2,850","2,945","2,610","2,350","3,355","4,750","5,985","6,970","8,025","10,835","10,210","9,000","7,115","4,725","30,760","195,509","7,470",485,"1,415"
05Q,NHS South East Staffordshire And Seisdon Peninsula CCG,,,,,,E38000153,"60,080","47,035","27,085","32,995",*,"20,920","11,650","9,390","5,074",78,31,4.4,1,59,"2,630",780,480,545,170,190,210,230,200,"1,565","2,300","2,495","2,145","1,815","2,540","3,275","3,515","4,010","4,640","6,645","6,480","5,840","4,280","2,850","16,985","134,193","6,935","1,905","1,255"
05R,NHS South Warwickshire CCG,,,,,,E38000164,"85,600","66,065","39,565","46,010",30,"26,310","18,090","15,415","6,249",71,28,3.9,1,60,"3,760","1,340",860,970,250,235,200,200,260,"1,630","2,780","3,305","2,880","2,370","3,075","4,580","5,560","5,675","6,375","9,230","9,300","8,450","6,665","5,060","29,610","147,440","9,075",675,"1,085"
05V,NHS Stafford And Surrounds CCG,,,,,,E38000173,"50,510","39,580","22,480","28,005",20,"15,595","9,195","9,885","4,906",80,24,4.1,1,59,"2,230",455,395,480,175,125,135,145,175,"1,365","2,310","2,320","1,675","1,470","1,730","2,655","3,095","3,580","4,195","5,370","5,565","4,915","3,460","2,360","17,305","92,343","5,845",235,"2,175"
05W,NHS Stoke On Trent CCG,,,,,,E38000175,"107,575","78,290","46,215","61,300",60,"35,695","14,245","14,640","13,709",76,25,3.8,1,53,"6,030","1,505","1,300","1,520",350,405,495,415,535,"4,910","6,250","6,300","4,935","3,785","4,395","5,855","6,415","7,465","8,065","9,405","9,265","7,875","5,985","3,730","25,220","205,170","14,695",405,"6,590"
05X,NHS Telford And Wrekin CCG,,,,,,E38000183,"53,795","40,775","25,895","27,875",25,"17,590","9,550","8,900","4,739",98,22,4.3,1,55,"2,945",860,810,645,185,215,210,295,215,"1,620","2,195","2,305","2,045","1,895","2,630","3,315","3,645","3,905","4,600","5,690","5,120","3,900","2,805","1,510","16,495","106,879","5,290",365,"1,175"
05Y,NHS Walsall CCG,,,,,,E38000191,"87,510","73,220","36,895","50,590",20,"34,520","17,720","8,615","12,362",77,30,3.5,1,52,"4,640","1,430","1,120","1,150",405,340,435,395,540,"3,625","5,310","5,180","3,760","3,205","3,655","4,370","5,465","5,180","5,685","6,655","6,865","6,265","4,785","2,905","22,240","177,551","13,935",905,"6,285"
06A,NHS Wolverhampton CCG,,,,,,E38000210,"68,855","59,645","29,260","39,585",10,"25,000","13,535","10,250","10,861",78,31,4.1,1,51,"4,700","1,265",970,950,255,285,320,310,440,"2,950","4,135","4,060","3,215","2,585","3,000","3,925","4,240","4,315","4,815","5,085","5,270","4,820","3,930","2,435","21,380","157,383","7,715",360,"4,490"
06F,NHS Bedfordshire CCG,,,,,,E38000010,"122,865","99,470","55,675","66,675",520,"42,110","28,750","14,285","14,330",73,26,4.6,1,53,"7,905","2,700","1,700","1,760",420,380,435,440,695,"3,620","5,585","7,165","5,835","4,560","4,850","6,960","7,635","8,240","8,910","10,800","10,005","9,330","7,310","4,950","36,555","283,278","13,030","1,430","4,575"
06H,NHS Cambridgeshire And Peterborough CCG,,,,,,E38000026,"241,960","179,045","111,245","127,840","2,875","75,335","46,345","32,120","25,244",81,32,4.4,2,57,"13,905","3,205","2,710","2,480",640,770,855,940,980,"6,805","9,460","11,115","9,780","8,535","9,890","13,095","15,085","15,900","16,945","23,310","22,910","21,425","17,020","13,235","67,495","492,895","21,480","2,295","3,975"
06K,NHS East And North Hertfordshire CCG,,,,,,E38000049,"151,310","124,230","66,945","83,765",600,"46,080","34,725","25,500","17,926",84,26,4.5,1,55,"9,380","2,575","2,005","2,075",440,515,505,580,610,"4,110","5,875","7,915","6,575","5,605","6,155","8,805","9,795","10,275","10,670","13,615","12,900","11,730","10,395","7,160","50,625","328,129","15,095","2,560","5,780"
06L,NHS Ipswich And East Suffolk CCG,,,,,,E38000086,"121,715","90,750","57,295","64,020",400,"34,575","22,675","22,290","11,214",74,28,4.3,2,58,"7,310","1,885","1,340","1,220",420,330,420,505,420,"2,945","4,055","4,550","3,730","3,335","4,075","5,910","6,970","8,505","10,060","12,705","12,540","12,165","9,195","6,790","39,960","224,209","8,670",820,"2,985"
06N,NHS Herts Valleys CCG,,,,,,E38000079,"153,105","129,535","66,350","85,105","1,655","52,730","40,815","17,270","18,713",76,25,4.3,1,54,"7,945","2,325","1,800","2,190",520,630,600,620,715,"3,955","6,705","9,400","8,255","6,495","7,040","8,730","9,870","10,125","10,375","13,550","12,320","11,085","9,670","7,155","47,480","354,432","17,975","3,230","6,365"
06P,NHS Luton CCG,,,,,,E38000102,"66,590","54,670","27,685","38,410",495,"23,030","10,985","7,550","13,106",73,30,3.7,1,46,"5,180","1,980","1,365","1,140",275,285,325,410,350,"3,270","4,970","5,580","3,985","3,180","2,980","3,470","3,690","3,680","3,895","3,660","3,585","3,855","3,160","1,630","15,095","151,491","7,895","1,055","6,095"
06Q,NHS Mid Essex CCG,,,,,,E38000106,"92,255","74,385","42,740","49,345",170,"34,850","24,320","6,380","8,829",79,27,4.6,1,57,"4,815","1,170",895,"1,185",285,265,315,315,390,"2,400","3,705","4,605","3,795","3,020","3,895","4,830","5,615","5,745","6,335","8,910","9,050","7,935","6,665","5,290","25,005","228,383","10,170","1,055","1,425"
06T,NHS North East Essex CCG,,,,,,E38000117,"97,225","79,890","45,230","51,770",225,"35,330","21,695","13,795","9,073",81,28,4.6,2,58,"5,130","1,255","1,100","1,065",230,260,315,350,360,"2,365","3,350","3,850","3,080","2,755","3,695","4,695","5,405","5,965","7,680","10,510","10,720","8,845","6,835","4,525","30,460","230,374","10,585",870,"1,855"
07G,NHS Thurrock CCG,,,,,,E38000185,"53,425","43,035","23,205","30,085",135,"16,915","11,310","6,175","8,632",76,22,3.6,1,51,"3,290",695,535,435,130,165,220,310,265,"1,935","3,605","3,655","3,105","2,550","2,560","3,145","3,095","3,300","3,250","4,660","3,640","3,095","2,710","1,685","14,810","101,689","6,615",535,"4,325"
07H,NHS West Essex CCG,,,,,,E38000197,"80,930","68,615","33,825","46,945",160,"29,430","16,845","9,850","12,487",76,27,3.9,1,54,"4,215","1,020",785,820,235,280,230,265,350,"2,670","4,500","5,910","4,345","3,055","3,395","4,660","5,260","5,215","5,560","6,810","6,215","5,855","5,055","3,640","22,300","179,919","12,550","1,230","5,815"
