,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JULY,,,,England," 	134,790 "," 	476,591 "," 	611,381 "," 	22,321 "," 	147,104 "," 	169,425 "," 	20,471 "," 	441,016 "," 	962,948 "," 	786,647 "," 	913,705 "," 	744,402 "," 	532,215 "," 	1,302,015 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	883 ," 	3,247 "," 	4,130 ", 	156 ," 	1,158 "," 	1,314 ", 	160 ," 	2,952 "," 	4,968 "," 	4,233 "," 	4,824 "," 	4,073 "," 	3,929 "," 	8,648 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	646 ," 	2,636 "," 	3,282 ", 	101 , 	926 ," 	1,027 ", 	153 ," 	2,407 "," 	4,373 "," 	3,771 "," 	4,160 "," 	3,611 "," 	2,977 "," 	6,905 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	268 , 	970 ," 	1,238 ", 	31 , 	280 , 	311 , 	5 , 	895 ," 	1,494 "," 	1,169 "," 	1,426 "," 	1,113 ", 	837 ," 	1,816 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	472 ," 	2,020 "," 	2,492 ", 	58 , 	658 , 	716 , 	55 ," 	1,639 "," 	3,121 "," 	2,642 "," 	3,080 "," 	2,617 "," 	1,460 "," 	4,020 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	327 , 	983 ," 	1,310 ", 	52 , 	228 , 	280 , 	1 , 	949 ," 	1,760 "," 	1,253 "," 	1,711 "," 	1,249 "," 	1,274 "," 	2,744 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	737 ," 	2,355 "," 	3,092 ", 	165 , 	700 , 	865 , 	578 ," 	2,063 "," 	4,240 "," 	3,436 "," 	4,080 "," 	3,327 "," 	2,181 "," 	5,934 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	473 ," 	2,017 "," 	2,490 ", 	57 , 	707 , 	764 , 	61 ," 	1,668 "," 	3,498 "," 	2,668 "," 	3,322 "," 	2,499 "," 	2,912 "," 	5,094 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,001 "," 	3,398 "," 	4,399 ", 	160 ," 	1,013 "," 	1,173 ", 	95 ," 	2,652 "," 	5,931 "," 	3,843 "," 	5,825 "," 	3,791 "," 	5,202 "," 	7,911 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	402 ," 	1,350 "," 	1,752 ", 	121 , 	630 , 	751 , 	131 ," 	1,481 "," 	2,334 "," 	1,884 "," 	2,184 "," 	1,786 "," 	1,597 "," 	3,293 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,603 "," 	5,555 "," 	7,158 ", 	233 ," 	1,872 "," 	2,105 ", 	51 ," 	5,027 "," 	9,894 "," 	7,186 "," 	9,462 "," 	7,045 "," 	5,994 "," 	13,642 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	408 ," 	1,444 "," 	1,852 ", 	88 , 	677 , 	765 , 	162 ," 	1,145 "," 	2,187 "," 	1,844 "," 	2,101 "," 	1,767 "," 	1,347 "," 	3,014 "
,2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,030 "," 	4,035 "," 	5,065 ", 	134 ," 	1,232 "," 	1,366 ", 	114 ," 	3,449 "," 	6,248 "," 	5,420 "," 	6,196 "," 	5,356 "," 	3,941 "," 	9,820 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	696 ," 	2,037 "," 	2,733 ", 	112 , 	563 , 	675 , 	24 ," 	2,516 "," 	4,327 "," 	4,041 "," 	4,115 "," 	3,859 "," 	3,319 "," 	6,187 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	798 ," 	2,648 "," 	3,446 ", 	193 , 	586 , 	779 , 	40 ," 	3,157 "," 	5,919 "," 	4,540 "," 	5,794 "," 	4,427 "," 	3,885 "," 	7,111 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	867 ," 	3,499 "," 	4,366 ", 	108 ," 	1,148 "," 	1,256 ", 	141 ," 	3,005 "," 	6,030 "," 	4,900 "," 	5,947 "," 	4,823 "," 	3,623 "," 	8,016 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	320 ," 	1,749 "," 	2,069 ", 	29 , 	380 , 	409 , 	1 ," 	1,784 "," 	2,598 "," 	2,240 "," 	2,446 "," 	2,095 "," 	2,117 "," 	4,553 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	756 ," 	2,335 "," 	3,091 ", 	123 , 	522 , 	645 , 	6 ," 	2,488 "," 	6,147 "," 	5,284 "," 	5,783 "," 	4,947 "," 	3,197 "," 	7,764 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	431 ," 	1,488 "," 	1,919 ", 	60 , 	375 , 	435 , 	8 ," 	1,975 "," 	2,618 "," 	2,235 "," 	2,601 "," 	2,215 "," 	1,847 "," 	4,030 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	431 ," 	1,570 "," 	2,001 ", 	73 , 	325 , 	398 , 	24 ," 	1,720 "," 	4,241 "," 	3,069 "," 	4,068 "," 	2,899 "," 	2,027 "," 	5,060 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	646 ," 	2,017 "," 	2,663 ", 	74 , 	712 , 	786 , 	14 ," 	2,590 "," 	3,827 "," 	3,203 "," 	3,514 "," 	2,917 "," 	2,604 "," 	5,707 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	534 ," 	1,879 "," 	2,413 ", 	109 , 	683 , 	792 , 	6 ," 	1,783 "," 	3,016 "," 	2,515 "," 	2,951 "," 	2,480 "," 	2,110 "," 	4,820 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	632 ," 	2,003 "," 	2,635 ", 	76 , 	419 , 	495 , 	37 ," 	2,369 "," 	4,478 "," 	3,597 "," 	4,379 "," 	3,491 "," 	3,503 "," 	6,951 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,520 "," 	4,884 "," 	6,404 ", 	213 ," 	1,398 "," 	1,611 ", 	102 ," 	4,352 "," 	9,936 "," 	8,380 "," 	9,700 "," 	8,099 "," 	3,078 "," 	11,940 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	850 ," 	3,811 "," 	4,661 ", 	94 ," 	1,034 "," 	1,128 ", 	4 ," 	3,099 "," 	5,978 "," 	4,993 "," 	5,792 "," 	4,794 "," 	3,573 "," 	8,184 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,326 "," 	5,567 "," 	6,893 ", 	200 ," 	1,465 "," 	1,665 ", 	396 ," 	4,192 "," 	10,091 "," 	8,541 "," 	9,637 "," 	8,202 "," 	4,617 "," 	12,764 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,105 "," 	3,678 "," 	4,783 ", 	213 , 	760 , 	973 , 	- 0," 	3,544 "," 	7,738 "," 	6,633 "," 	7,302 "," 	6,273 "," 	2,368 "," 	9,735 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	786 ," 	2,973 "," 	3,759 ", 	107 , 	772 , 	879 , 	462 ," 	2,759 "," 	6,129 "," 	4,897 "," 	5,882 "," 	4,650 "," 	3,509 "," 	7,921 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	832 ," 	2,874 "," 	3,706 ", 	127 , 	683 , 	810 , 	83 ," 	3,570 "," 	5,570 "," 	4,433 "," 	5,184 "," 	4,036 "," 	3,995 "," 	7,382 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,176 "," 	4,356 "," 	5,532 ", 	236 ," 	1,351 "," 	1,587 ", 	234 ," 	4,530 "," 	10,596 "," 	8,379 "," 	10,004 "," 	7,863 "," 	8,961 "," 	17,139 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	857 ," 	2,806 "," 	3,663 ", 	102 , 	535 , 	637 , 	14 ," 	3,520 "," 	5,672 "," 	4,666 "," 	5,414 "," 	4,409 "," 	2,970 "," 	7,463 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	694 ," 	2,603 "," 	3,297 ", 	126 , 	765 , 	891 , 	95 ," 	2,272 "," 	4,672 "," 	3,533 "," 	4,563 "," 	3,443 "," 	4,426 "," 	6,065 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,004 "," 	3,520 "," 	4,524 ", 	140 , 	626 , 	766 ," 	1,254 "," 	3,697 "," 	7,071 "," 	6,208 "," 	7,019 "," 	6,139 "," 	4,580 "," 	11,755 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	602 ," 	2,157 "," 	2,759 ", 	82 , 	785 , 	867 , 	8 ," 	2,367 "," 	3,783 "," 	3,144 "," 	3,597 "," 	2,976 "," 	2,475 "," 	5,983 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	684 ," 	2,172 "," 	2,856 ", 	122 , 	709 , 	831 , 	160 ," 	1,764 "," 	5,296 "," 	4,125 "," 	5,244 "," 	4,067 "," 	2,659 "," 	6,514 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,384 "," 	4,027 "," 	5,411 ", 	276 ," 	1,329 "," 	1,605 ", 	223 ," 	5,572 "," 	9,990 "," 	7,783 "," 	9,647 "," 	7,451 "," 	8,899 "," 	15,084 "
,2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	427 ," 	1,531 "," 	1,958 ", 	99 , 	298 , 	397 , 	- 0," 	1,703 "," 	3,284 "," 	2,686 "," 	3,132 "," 	2,547 ", 	845 ," 	3,930 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	515 ," 	1,603 "," 	2,118 ", 	138 , 	459 , 	597 , 	79 ," 	1,411 "," 	2,586 "," 	2,094 "," 	2,501 "," 	2,058 "," 	2,013 "," 	4,264 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	737 ," 	2,626 "," 	3,363 ", 	49 , 	695 , 	744 , 	- 0," 	2,542 "," 	4,394 "," 	3,651 "," 	4,327 "," 	3,577 "," 	2,466 "," 	6,786 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	608 ," 	1,872 "," 	2,480 ", 	113 , 	699 , 	812 , 	2 ," 	2,124 "," 	3,697 "," 	2,970 "," 	3,629 "," 	2,965 "," 	1,062 "," 	5,127 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	656 ," 	2,613 "," 	3,269 ", 	93 , 	404 , 	497 , 	- 0," 	2,487 "," 	5,058 "," 	4,193 "," 	5,031 "," 	4,166 "," 	2,736 "," 	7,441 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,952 "," 	5,386 "," 	7,338 ", 	343 ," 	1,163 "," 	1,506 ", 	1 ," 	7,936 "," 	13,369 "," 	11,157 "," 	13,222 "," 	10,446 "," 	9,237 "," 	18,037 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,129 "," 	3,402 "," 	4,531 ", 	232 ," 	1,126 "," 	1,358 ", 	- 0," 	3,619 "," 	7,465 "," 	6,092 "," 	7,014 "," 	5,985 "," 	2,749 "," 	9,558 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,055 "," 	3,222 "," 	4,277 ", 	245 ," 	1,139 "," 	1,384 ", 	7 ," 	3,269 "," 	7,019 "," 	5,493 "," 	6,703 "," 	5,160 "," 	3,476 "," 	8,063 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,308 "," 	4,641 "," 	5,949 ", 	280 , 	781 ," 	1,061 ", 	3 ," 	4,824 "," 	9,539 "," 	7,743 "," 	9,123 "," 	7,125 "," 	5,751 "," 	16,892 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	772 ," 	2,617 "," 	3,389 ", 	90 , 	697 , 	787 , 	14 ," 	2,937 "," 	5,752 "," 	5,196 "," 	5,729 "," 	5,180 "," 	3,006 "," 	8,995 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,100 "," 	7,706 "," 	9,806 ", 	440 ," 	2,874 "," 	3,314 ", 	261 ," 	6,483 "," 	14,173 "," 	11,498 "," 	13,837 "," 	11,352 "," 	6,617 "," 	17,204 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,000 "," 	3,627 "," 	4,627 ", 	165 ," 	1,315 "," 	1,480 ", 	255 ," 	2,518 "," 	6,643 "," 	4,974 "," 	6,561 "," 	4,911 "," 	1,826 "," 	7,105 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	809 ," 	2,877 "," 	3,686 ", 	89 , 	948 ," 	1,037 ", 	6 ," 	2,846 "," 	5,987 "," 	4,455 "," 	5,847 "," 	4,339 "," 	1,172 "," 	6,302 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,317 "," 	5,181 "," 	6,498 ", 	249 ," 	1,778 "," 	2,027 ", 	1 ," 	5,604 "," 	8,053 "," 	6,106 "," 	7,652 "," 	5,639 "," 	5,930 "," 	11,069 "
,2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	486 ," 	1,614 "," 	2,100 ", 	90 , 	559 , 	649 , 	5 ," 	1,110 "," 	2,609 "," 	2,097 "," 	2,417 "," 	1,906 "," 	1,693 "," 	3,826 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	706 ," 	2,197 "," 	2,903 ", 	147 , 	862 ," 	1,009 ", 	5 ," 	2,838 "," 	4,087 "," 	3,407 "," 	3,970 "," 	3,312 "," 	1,728 "," 	5,953 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	310 , 	964 ," 	1,274 ", 	29 , 	274 , 	303 , 	3 , 	990 ," 	1,793 "," 	1,715 "," 	1,741 "," 	1,620 ", 	924 ," 	2,928 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,652 "," 	6,756 "," 	8,408 ", 	210 ," 	2,069 "," 	2,279 ", 	177 ," 	6,160 "," 	11,546 "," 	9,893 "," 	11,167 "," 	9,572 "," 	5,628 "," 	15,334 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	641 ," 	2,562 "," 	3,203 ", 	110 , 	949 ," 	1,059 ", 	9 ," 	2,879 "," 	3,686 "," 	3,013 "," 	3,611 "," 	2,968 "," 	1,337 "," 	5,216 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,716 "," 	5,872 "," 	7,588 ", 	211 ," 	1,933 "," 	2,144 ", 	22 ," 	5,229 "," 	10,070 "," 	8,753 "," 	9,904 "," 	8,599 "," 	3,785 "," 	13,619 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,157 "," 	7,992 "," 	10,149 ", 	324 ," 	3,040 "," 	3,364 ", 	164 ," 	6,015 "," 	15,201 "," 	12,293 "," 	14,569 "," 	11,548 "," 	6,062 "," 	17,367 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,336 "," 	5,501 "," 	6,837 ", 	202 ," 	2,304 "," 	2,506 ", 	3 ," 	4,485 "," 	9,738 "," 	7,550 "," 	9,665 "," 	7,469 "," 	6,201 "," 	12,560 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	625 ," 	2,382 "," 	3,007 ", 	108 , 	956 ," 	1,064 ", 	- 0," 	2,533 "," 	5,028 "," 	3,627 "," 	5,022 "," 	3,622 "," 	3,456 "," 	6,318 "
,2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,635 "," 	6,594 "," 	8,229 ", 	302 ," 	2,510 "," 	2,812 ", 	49 ," 	4,995 "," 	9,335 "," 	8,366 "," 	9,147 "," 	8,194 "," 	5,172 "," 	12,092 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	533 ," 	1,360 "," 	1,893 ", 	146 , 	504 , 	650 , 	9 ," 	1,290 "," 	2,527 "," 	2,720 "," 	2,489 "," 	2,684 "," 	1,514 "," 	3,960 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,115 "," 	2,662 "," 	3,777 ", 	236 , 	609 , 	845 , 	236 ," 	3,150 "," 	7,963 "," 	7,159 "," 	6,423 "," 	5,897 "," 	3,842 "," 	10,076 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	768 ," 	2,668 "," 	3,436 ", 	151 , 	909 ," 	1,060 ", 	66 ," 	2,140 "," 	5,111 "," 	3,591 "," 	5,074 "," 	3,491 "," 	3,288 "," 	7,412 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	575 ," 	2,533 "," 	3,108 ", 	103 , 	947 ," 	1,050 ", 	41 ," 	2,032 "," 	5,628 "," 	4,276 "," 	5,268 "," 	3,911 "," 	2,344 "," 	7,375 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	830 ," 	2,957 "," 	3,787 ", 	69 ," 	1,070 "," 	1,139 ", 	3 ," 	2,818 "," 	5,355 "," 	4,385 "," 	5,241 "," 	4,273 "," 	4,835 "," 	8,481 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	384 ," 	1,336 "," 	1,720 ", 	48 , 	410 , 	458 , 	4 ," 	1,238 "," 	2,708 "," 	1,463 "," 	2,698 "," 	1,449 "," 	1,782 "," 	4,377 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	634 ," 	2,424 "," 	3,058 ", 	117 ," 	1,016 "," 	1,133 ", 	6 ," 	2,122 "," 	5,481 "," 	4,950 "," 	5,037 "," 	4,118 "," 	2,417 "," 	7,099 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	588 ," 	1,801 "," 	2,389 ", 	140 , 	374 , 	514 , 	525 ," 	2,531 "," 	5,806 "," 	4,743 "," 	4,774 "," 	3,663 "," 	3,940 "," 	7,567 "
,2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	862 ," 	3,317 "," 	4,179 ", 	159 ," 	1,278 "," 	1,437 ", 	65 ," 	2,555 "," 	4,451 "," 	5,454 "," 	3,947 "," 	4,704 "," 	1,385 "," 	8,225 "
