,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,AUGUST,,,,England," 	130,800 "," 	403,331 "," 	534,131 "," 	20,539 "," 	118,844 "," 	139,383 "," 	9,652 "," 	15,017 "," 	408,849 "," 	866,654 "," 	728,149 "," 	830,107 "," 	693,792 "," 	444,054 "," 	1,166,288 "
,2009-10,AUGUST,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,803 "," 	45,308 "," 	60,111 "," 	2,351 "," 	15,868 "," 	18,219 ", 	647 ," 	1,556 "," 	39,840 "," 	81,526 "," 	71,053 "," 	82,512 "," 	70,515 "," 	42,783 "," 	117,038 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	758 ," 	2,365 "," 	3,123 ", 	123 , 	717 , 	840 , 	50 , 	4 ," 	2,349 "," 	4,023 "," 	3,773 "," 	3,946 "," 	3,694 "," 	3,169 "," 	6,487 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	656 ," 	2,280 "," 	2,936 ", 	91 , 	724 , 	815 , 	65 , 	5 ," 	2,334 "," 	3,472 "," 	3,267 "," 	3,406 "," 	3,203 "," 	2,234 "," 	5,323 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	314 , 	800 ," 	1,114 ", 	19 , 	276 , 	295 , 	- 0, 	1 , 	988 ," 	1,329 "," 	1,063 "," 	1,298 "," 	1,034 ", 	748 ," 	1,693 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	558 ," 	1,522 "," 	2,080 ", 	67 , 	490 , 	557 , 	- 0, 	- 0," 	1,792 "," 	2,725 "," 	2,300 "," 	2,696 "," 	2,276 "," 	1,479 "," 	3,798 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	261 , 	798 ," 	1,059 ", 	43 , 	145 , 	188 , 	- 0, 	- 0, 	930 ," 	1,462 "," 	1,257 "," 	1,443 "," 	1,231 "," 	1,127 "," 	2,281 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	617 ," 	1,060 "," 	1,677 ", 	152 , 	297 , 	449 , 	- 0, 	371 ," 	1,936 "," 	3,917 "," 	3,302 "," 	3,815 "," 	3,368 "," 	2,153 "," 	5,480 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	489 ," 	1,586 "," 	2,075 ", 	51 , 	546 , 	597 , 	- 0, 	52 ," 	1,439 "," 	3,132 "," 	2,186 "," 	2,966 "," 	2,321 "," 	1,585 "," 	3,967 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	946 ," 	2,838 "," 	3,784 ", 	145 , 	780 , 	925 , 	- 0, 	119 ," 	2,591 "," 	4,572 "," 	4,091 "," 	4,528 "," 	3,564 "," 	5,487 "," 	6,805 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	400 ," 	1,147 "," 	1,547 ", 	107 , 	595 , 	702 , 	5 , 	1 ," 	1,668 "," 	2,113 "," 	1,688 "," 	1,989 "," 	1,581 "," 	1,386 "," 	3,385 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,527 "," 	4,689 "," 	6,216 ", 	222 ," 	1,465 "," 	1,687 ", 	- 0, 	27 ," 	4,594 "," 	8,474 "," 	6,924 "," 	8,278 "," 	6,745 "," 	5,294 "," 	11,468 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	366 , 	959 ," 	1,325 ", 	97 , 	489 , 	586 , 	2 , 	- 0," 	1,193 "," 	1,791 "," 	1,446 "," 	1,678 "," 	1,362 "," 	1,136 "," 	2,755 "
,2009-10,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	897 ," 	3,224 "," 	4,121 ", 	114 , 	985 ," 	1,099 ", 	99 , 	6 ," 	2,890 "," 	4,910 "," 	4,649 "," 	4,888 "," 	4,625 "," 	3,395 "," 	7,305 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	483 ," 	1,207 "," 	1,690 ", 	109 , 	291 , 	400 , 	90 , 	- 0," 	1,601 "," 	2,679 "," 	2,397 "," 	2,568 "," 	2,213 ", 	660 ," 	3,145 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	689 ," 	1,738 "," 	2,427 ", 	118 , 	543 , 	661 , 	73 , 	38 ," 	2,249 "," 	4,300 "," 	3,200 "," 	4,241 "," 	3,131 "," 	2,689 "," 	4,886 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	877 ," 	2,052 "," 	2,929 ", 	180 , 	550 , 	730 , 	19 , 	18 ," 	2,786 "," 	4,900 "," 	3,806 "," 	4,950 "," 	4,044 "," 	3,411 "," 	6,436 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	824 ," 	2,601 "," 	3,425 ", 	104 , 	810 , 	914 , 	1 , 	120 ," 	2,809 "," 	5,420 "," 	4,242 "," 	5,195 "," 	4,162 "," 	3,024 "," 	7,092 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	310 ," 	1,693 "," 	2,003 ", 	22 , 	403 , 	425 , 	7 , 	- 0," 	1,595 "," 	2,454 "," 	1,937 "," 	2,307 "," 	1,887 "," 	1,819 "," 	3,365 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	765 ," 	1,634 "," 	2,399 ", 	118 , 	379 , 	497 , 	- 0, 	24 ," 	2,156 "," 	5,081 "," 	3,870 "," 	4,719 "," 	3,574 "," 	2,560 "," 	6,067 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	424 ," 	1,500 "," 	1,924 ", 	42 , 	362 , 	404 , 	3 , 	35 ," 	1,875 "," 	2,580 "," 	2,228 "," 	2,562 "," 	2,213 "," 	1,559 "," 	3,828 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	446 ," 	1,427 "," 	1,873 ", 	63 , 	288 , 	351 , 	40 , 	5 ," 	1,896 "," 	3,708 "," 	3,078 "," 	3,538 "," 	2,921 "," 	1,756 "," 	4,738 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	659 ," 	1,699 "," 	2,358 ", 	113 , 	618 , 	731 , 	- 0, 	6 ," 	2,248 "," 	3,596 "," 	2,862 "," 	3,309 "," 	2,554 "," 	2,334 "," 	4,843 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	592 ," 	1,832 "," 	2,424 ", 	102 , 	569 , 	671 , 	- 0, 	43 ," 	1,701 "," 	3,190 "," 	2,550 "," 	3,016 "," 	2,302 "," 	1,768 "," 	4,037 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	721 ," 	1,706 "," 	2,427 ", 	116 , 	342 , 	458 , 	3 , 	23 ," 	1,944 "," 	4,081 "," 	3,305 "," 	4,027 "," 	3,289 "," 	2,708 "," 	5,764 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,569 "," 	4,063 "," 	5,632 ", 	255 ," 	1,014 "," 	1,269 ", 	- 0, 	109 ," 	3,997 "," 	8,891 "," 	7,765 "," 	8,772 "," 	7,656 "," 	2,505 "," 	10,828 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	860 ," 	3,449 "," 	4,309 ", 	106 , 	906 ," 	1,012 ", 	78 , 	29 ," 	2,910 "," 	5,409 "," 	4,451 "," 	5,295 "," 	4,367 "," 	1,978 "," 	6,890 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,297 "," 	4,641 "," 	5,938 ", 	215 ," 	1,055 "," 	1,270 ", 	548 , 	369 ," 	3,742 "," 	7,818 "," 	7,609 "," 	7,443 "," 	7,302 "," 	3,754 "," 	11,760 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,162 "," 	3,055 "," 	4,217 ", 	231 , 	912 ," 	1,143 ", 	283 , 	1 ," 	3,085 "," 	7,119 "," 	6,220 "," 	6,792 "," 	5,793 "," 	2,027 "," 	8,662 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	716 ," 	2,807 "," 	3,523 ", 	96 , 	802 , 	898 , 	139 , 	446 ," 	2,610 "," 	5,628 "," 	4,642 "," 	5,388 "," 	4,417 "," 	3,047 "," 	7,579 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	850 ," 	2,709 "," 	3,559 ", 	120 , 	801 , 	921 , 	62 , 	40 ," 	3,203 "," 	5,040 "," 	4,805 "," 	4,678 "," 	4,449 "," 	2,777 "," 	7,561 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,115 "," 	3,697 "," 	4,812 ", 	183 ," 	1,016 "," 	1,199 ", 	126 , 	49 ," 	5,377 "," 	9,339 "," 	7,808 "," 	8,800 "," 	7,235 "," 	7,585 "," 	15,077 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	787 ," 	2,635 "," 	3,422 ", 	64 , 	512 , 	576 , 	6 , 	64 ," 	3,032 "," 	5,583 "," 	5,116 "," 	5,363 "," 	4,956 "," 	2,384 "," 	7,249 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	683 ," 	2,026 "," 	2,709 ", 	127 , 	386 , 	513 , 	2 , 	127 ," 	2,199 "," 	4,205 "," 	3,722 "," 	4,054 "," 	3,498 "," 	3,873 "," 	6,109 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,007 "," 	3,161 "," 	4,168 ", 	136 , 	416 , 	552 , 	2 ," 	1,345 "," 	3,767 "," 	6,236 "," 	5,638 "," 	6,134 "," 	5,419 "," 	4,080 "," 	9,902 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	680 ," 	2,074 "," 	2,754 ", 	117 , 	732 , 	849 , 	3 , 	5 ," 	2,130 "," 	3,488 "," 	3,142 "," 	3,166 "," 	2,688 "," 	2,093 "," 	4,753 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	601 ," 	1,941 "," 	2,542 ", 	114 , 	596 , 	710 , 	- 0, 	154 ," 	1,500 "," 	5,481 "," 	3,588 "," 	5,209 "," 	3,456 "," 	2,252 "," 	5,763 "
,2009-10,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,601 "," 	3,502 "," 	5,103 ", 	290 , 	950 ," 	1,240 ", 	17 , 	236 ," 	5,220 "," 	9,651 "," 	6,693 "," 	9,651 "," 	6,693 "," 	7,276 "," 	13,331 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	469 ," 	1,441 "," 	1,910 ", 	125 , 	432 , 	557 , 	- 0, 	78 ," 	1,371 "," 	2,595 "," 	2,218 "," 	2,531 "," 	2,142 "," 	1,854 "," 	4,171 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	807 ," 	2,590 "," 	3,397 ", 	99 , 	737 , 	836 , 	2 , 	- 0," 	2,327 "," 	4,240 "," 	3,966 "," 	4,212 "," 	3,936 "," 	2,185 "," 	6,709 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	555 ," 	1,561 "," 	2,116 ", 	88 , 	530 , 	618 , 	- 0, 	- 0," 	1,874 "," 	3,170 "," 	2,883 "," 	3,161 "," 	2,434 ", 	899 ," 	3,878 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT," 	1,138 "," 	2,143 "," 	3,281 ", 	146 , 	748 , 	894 , 	- 0, 	1 ," 	2,261 "," 	4,562 "," 	4,040 "," 	4,273 "," 	3,958 "," 	2,694 "," 	6,376 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,732 "," 	4,811 "," 	6,543 ", 	198 ," 	1,114 "," 	1,312 ", 	163 , 	19 ," 	6,600 "," 	11,296 "," 	9,817 "," 	11,221 "," 	9,154 "," 	7,845 "," 	15,634 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,054 "," 	2,655 "," 	3,709 ", 	195 , 	761 , 	956 , 	- 0, 	39 ," 	3,229 "," 	6,383 "," 	5,218 "," 	5,866 "," 	5,036 "," 	2,373 "," 	8,163 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	985 ," 	2,743 "," 	3,728 ", 	170 , 	969 ," 	1,139 ", 	- 0, 	264 ," 	2,877 "," 	5,878 "," 	4,630 "," 	5,487 "," 	4,380 "," 	2,466 "," 	6,430 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,486 "," 	4,508 "," 	5,994 ", 	298 ," 	1,370 "," 	1,668 ", 	159 , 	- 0," 	4,375 "," 	9,637 "," 	7,771 "," 	8,938 "," 	7,040 "," 	5,620 "," 	16,283 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	748 ," 	2,443 "," 	3,191 ", 	101 , 	732 , 	833 , 	57 , 	20 ," 	2,790 "," 	5,210 "," 	4,377 "," 	5,464 "," 	4,854 "," 	3,064 "," 	8,190 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,920 "," 	5,808 "," 	7,728 ", 	409 ," 	2,237 "," 	2,646 ", 	- 0, 	232 ," 	6,105 "," 	11,302 "," 	9,734 "," 	11,140 "," 	9,618 "," 	6,232 "," 	15,309 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	923 ," 	3,041 "," 	3,964 ", 	140 , 	914 ," 	1,054 ", 	- 0, 	240 ," 	2,345 "," 	5,443 "," 	4,729 "," 	5,408 "," 	4,724 "," 	1,654 "," 	6,713 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	829 ," 	2,291 "," 	3,120 ", 	62 , 	684 , 	746 , 	- 0, 	8 ," 	2,460 "," 	4,869 "," 	4,147 "," 	4,863 "," 	4,147 ", 	917 ," 	5,874 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,373 "," 	4,449 "," 	5,822 ", 	265 ," 	1,417 "," 	1,682 ", 	731 , 	- 0," 	4,281 "," 	6,516 "," 	5,721 "," 	6,000 "," 	5,157 "," 	3,584 "," 	8,236 "
,2009-10,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	503 ," 	1,458 "," 	1,961 ", 	112 , 	499 , 	611 , 	- 0, 	4 ," 	1,243 "," 	2,397 "," 	2,094 "," 	2,162 "," 	1,912 "," 	1,413 "," 	3,624 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	674 ," 	1,860 "," 	2,534 ", 	131 , 	500 , 	631 , 	360 , 	5 ," 	2,392 "," 	4,785 "," 	3,954 "," 	4,697 "," 	3,867 "," 	1,671 "," 	6,261 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	313 , 	944 ," 	1,257 ", 	37 , 	240 , 	277 , 	16 , 	- 0, 	788 ," 	1,866 "," 	1,773 "," 	1,834 "," 	1,769 ", 	581 ," 	3,034 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,733 "," 	6,239 "," 	7,972 ", 	250 ," 	2,103 "," 	2,353 ", 	165 , 	- 0," 	5,510 "," 	11,374 "," 	9,650 "," 	11,127 "," 	9,413 "," 	5,009 "," 	15,820 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	623 ," 	2,561 "," 	3,184 ", 	103 , 	898 ," 	1,001 ", 	4 , 	25 ," 	2,464 "," 	4,412 "," 	3,224 "," 	4,356 "," 	3,187 "," 	1,802 "," 	5,041 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,754 "," 	5,485 "," 	7,239 ", 	190 ," 	1,194 "," 	1,384 ", 	645 , 	81 ," 	4,952 "," 	10,696 "," 	9,289 "," 	10,524 "," 	9,149 "," 	3,585 "," 	14,199 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,328 "," 	6,862 "," 	9,190 ", 	492 ," 	2,781 "," 	3,273 ", 	453 , 	- 0," 	5,351 "," 	14,657 "," 	12,190 "," 	14,095 "," 	11,946 "," 	5,894 "," 	17,353 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,556 "," 	5,216 "," 	6,772 ", 	214 ," 	2,076 "," 	2,290 ", 	45 , 	- 0," 	4,993 "," 	10,081 "," 	7,863 "," 	9,686 "," 	8,296 "," 	6,764 "," 	12,961 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	653 ," 	2,209 "," 	2,862 ", 	98 , 	915 ," 	1,013 ", 	26 , 	- 0," 	3,111 "," 	5,074 "," 	3,819 "," 	5,014 "," 	4,081 "," 	3,691 "," 	6,127 "
,2009-10,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,589 "," 	5,877 "," 	7,466 ", 	272 ," 	2,020 "," 	2,292 ", 	362 , 	- 0," 	4,830 "," 	8,792 "," 	8,499 "," 	7,918 "," 	8,382 "," 	3,841 "," 	11,778 "
,2009-10,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	376 ," 	1,296 "," 	1,672 ", 	71 , 	517 , 	588 , 	- 0, 	6 ," 	1,144 "," 	2,343 "," 	2,338 "," 	2,290 "," 	2,292 "," 	1,164 "," 	3,234 "
,2009-10,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	871 ," 	2,254 "," 	3,125 ", 	145 , 	553 , 	698 , 	- 0, 	206 ," 	2,722 "," 	6,537 "," 	6,195 "," 	5,077 "," 	4,831 "," 	3,634 "," 	8,569 "
,2009-10,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	686 ," 	2,437 "," 	3,123 ", 	129 , 	950 ," 	1,079 ", 	- 0, 	3 ," 	2,065 "," 	4,511 "," 	2,305 "," 	4,428 "," 	2,220 "," 	2,230 "," 	5,220 "
,2009-10,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	530 ," 	2,340 "," 	2,870 ", 	93 , 	836 , 	929 , 	- 0, 	51 ," 	1,794 "," 	5,149 "," 	4,017 "," 	4,792 "," 	3,901 "," 	2,075 "," 	6,701 "
,2009-10,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	749 ," 	2,617 "," 	3,366 ", 	105 , 	838 , 	943 , 	- 0, 	4 ," 	2,612 "," 	6,209 "," 	4,519 "," 	5,919 "," 	4,348 "," 	4,096 "," 	7,631 "
,2009-10,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	330 ," 	1,184 "," 	1,514 ", 	42 , 	414 , 	456 , 	- 0, 	1 ," 	1,173 "," 	2,678 "," 	1,100 "," 	2,610 "," 	1,029 "," 	1,391 "," 	2,885 "
