,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,AUGUST,,,,England," 	133,957 "," 	378,081 "," 	512,038 "," 	22,179 "," 	111,894 "," 	134,073 "," 	6,483 "," 	15,041 "," 	404,388 "," 	816,623 "," 	671,458 "," 	777,762 "," 	629,963 "," 	413,372 "," 	1,057,369 "
,2008-09,AUGUST,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,237 "," 	44,345 "," 	59,582 "," 	2,592 "," 	16,265 "," 	18,857 ", 	788 ," 	1,124 "," 	38,913 "," 	75,241 "," 	65,584 "," 	79,008 "," 	65,623 "," 	38,961 "," 	109,099 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	859 ," 	2,286 "," 	3,145 ", 	143 , 	820 , 	963 , 	36 , 	6 ," 	2,463 "," 	3,900 "," 	3,616 "," 	3,815 "," 	3,547 "," 	3,021 "," 	6,423 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	631 ," 	2,090 "," 	2,721 ", 	74 , 	746 , 	820 , 	29 , 	3 ," 	2,343 "," 	3,479 "," 	3,174 "," 	3,393 "," 	3,096 "," 	2,039 "," 	5,051 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	255 , 	910 ," 	1,165 ", 	30 , 	306 , 	336 , 	- 0, 	7 , 	908 ," 	1,311 "," 	1,085 "," 	1,265 ", 	995 , 	768 ," 	1,715 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	474 ," 	1,595 "," 	2,069 ", 	51 , 	503 , 	554 , 	- 0, 	19 ," 	1,769 "," 	2,694 "," 	2,200 "," 	2,658 "," 	2,184 "," 	1,438 "," 	3,647 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	236 , 	587 , 	823 , 	20 , 	119 , 	139 , 	- 0, 	2 , 	920 ," 	1,405 "," 	1,134 "," 	1,375 "," 	1,103 ", 	977 ," 	1,943 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	657 ," 	1,008 "," 	1,665 ", 	137 , 	271 , 	408 , 	- 0, 	358 ," 	1,952 "," 	3,700 "," 	2,995 "," 	3,594 "," 	3,011 "," 	2,250 "," 	5,011 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	491 ," 	1,518 "," 	2,009 ", 	53 , 	486 , 	539 , 	- 0, 	40 ," 	1,418 "," 	3,536 "," 	2,340 "," 	3,323 "," 	2,309 "," 	1,600 "," 	3,629 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	916 ," 	2,854 "," 	3,770 ", 	109 , 	729 , 	838 , 	- 0, 	82 ," 	2,883 "," 	4,201 "," 	4,341 "," 	4,117 "," 	3,469 "," 	4,254 "," 	6,700 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	372 ," 	1,297 "," 	1,669 ", 	82 , 	712 , 	794 , 	- 0, 	89 ," 	1,624 "," 	2,037 "," 	1,710 "," 	2,035 "," 	1,606 "," 	1,372 "," 	3,194 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,509 "," 	4,315 "," 	5,824 ", 	216 ," 	1,403 "," 	1,619 ", 	- 0, 	23 ," 	4,458 "," 	8,049 "," 	6,384 "," 	7,855 "," 	6,250 "," 	5,101 "," 	10,614 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	336 ," 	1,187 "," 	1,523 ", 	68 , 	625 , 	693 , 	- 0, 	69 ," 	1,299 "," 	1,849 "," 	1,512 "," 	1,755 "," 	1,441 "," 	1,047 "," 	2,690 "
,2008-09,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	970 ," 	2,873 "," 	3,843 ", 	146 , 	935 ," 	1,081 ", 	53 , 	5 ," 	2,998 "," 	4,630 "," 	4,531 "," 	4,607 "," 	4,508 "," 	2,751 "," 	7,259 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	556 , 	960 ," 	1,516 ", 	185 , 	203 , 	388 , 	76 , 	- 0," 	1,464 "," 	2,560 "," 	1,926 "," 	2,294 "," 	1,868 "," 	1,441 "," 	2,698 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	713 ," 	1,798 "," 	2,511 ", 	154 , 	476 , 	630 , 	54 , 	9 ," 	2,249 "," 	3,845 "," 	2,971 "," 	3,654 "," 	2,819 "," 	2,147 "," 	4,592 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	922 ," 	1,960 "," 	2,882 ", 	188 , 	375 , 	563 , 	73 , 	- 0," 	2,682 "," 	4,917 "," 	3,743 "," 	4,925 "," 	3,778 "," 	3,167 "," 	6,168 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	889 ," 	2,588 "," 	3,477 ", 	146 , 	748 , 	894 , 	62 , 	1 ," 	2,857 "," 	5,576 "," 	4,196 "," 	5,294 "," 	4,122 "," 	2,798 "," 	6,713 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	415 ," 	1,812 "," 	2,227 ", 	46 , 	422 , 	468 , 	1 , 	- 0," 	1,648 "," 	2,311 "," 	1,839 "," 	2,189 "," 	1,778 "," 	1,594 "," 	3,015 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	770 ," 	1,645 "," 	2,415 ", 	93 , 	344 , 	437 , 	4 , 	- 0," 	2,446 "," 	4,898 "," 	4,097 "," 	4,631 "," 	3,827 "," 	2,417 "," 	6,182 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	447 ," 	1,260 "," 	1,707 ", 	54 , 	294 , 	348 , 	7 , 	2 ," 	1,773 "," 	2,223 "," 	1,984 "," 	2,161 "," 	1,956 "," 	1,144 "," 	3,131 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	418 ," 	1,247 "," 	1,665 ", 	42 , 	251 , 	293 , 	21 , 	1 ," 	2,188 "," 	3,282 "," 	2,527 "," 	3,163 "," 	2,432 "," 	1,480 "," 	3,951 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	712 ," 	1,651 "," 	2,363 ", 	85 , 	622 , 	707 , 	1 , 	4 ," 	2,033 "," 	3,549 "," 	2,842 "," 	3,218 "," 	2,628 "," 	1,844 "," 	4,201 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	544 ," 	1,694 "," 	2,238 ", 	99 , 	510 , 	609 , 	4 , 	17 ," 	1,660 "," 	3,152 "," 	2,658 "," 	2,925 "," 	2,272 "," 	1,603 "," 	3,644 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	706 ," 	1,813 "," 	2,519 ", 	88 , 	339 , 	427 , 	10 , 	22 ," 	1,849 "," 	4,283 "," 	3,539 "," 	4,013 "," 	3,347 "," 	2,379 "," 	5,550 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,701 "," 	3,645 "," 	5,346 ", 	359 , 	677 ," 	1,036 ", 	5 , 	33 ," 	4,156 "," 	8,455 "," 	6,466 "," 	8,229 "," 	6,304 "," 	2,568 "," 	9,322 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,047 "," 	3,591 "," 	4,638 ", 	244 , 	897 ," 	1,141 ", 	63 , 	15 ," 	2,825 "," 	5,378 "," 	4,488 "," 	5,191 "," 	4,414 "," 	1,907 "," 	6,727 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,277 "," 	4,401 "," 	5,678 ", 	222 ," 	1,070 "," 	1,292 ", 	247 , 	306 ," 	3,937 "," 	8,227 "," 	6,469 "," 	7,806 "," 	6,157 "," 	3,474 "," 	9,962 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,390 "," 	2,822 "," 	4,212 ", 	382 , 	785 ," 	1,167 ", 	161 , 	1 ," 	3,131 "," 	7,131 "," 	5,667 "," 	6,685 "," 	5,332 "," 	3,931 "," 	7,793 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	735 ," 	2,714 "," 	3,449 ", 	113 , 	704 , 	817 , 	- 0, 	454 ," 	3,192 "," 	5,305 "," 	4,092 "," 	5,112 "," 	3,908 "," 	3,866 "," 	6,452 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	873 ," 	2,418 "," 	3,291 ", 	103 , 	670 , 	773 , 	64 , 	- 0," 	3,518 "," 	4,931 "," 	4,384 "," 	4,621 "," 	4,108 "," 	2,597 "," 	6,423 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,325 "," 	3,365 "," 	4,690 ", 	279 , 	925 ," 	1,204 ", 	130 , 	3 ," 	5,449 "," 	7,074 "," 	6,007 "," 	7,000 "," 	5,926 "," 	5,647 "," 	13,708 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	761 ," 	2,271 "," 	3,032 ", 	75 , 	381 , 	456 , 	20 , 	- 0," 	3,217 "," 	5,127 "," 	4,318 "," 	4,856 "," 	3,972 "," 	1,961 "," 	5,986 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	682 ," 	1,813 "," 	2,495 ", 	146 , 	339 , 	485 , 	1 , 	59 ," 	2,149 "," 	4,211 "," 	3,797 "," 	4,093 "," 	3,566 "," 	3,617 "," 	5,688 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	997 ," 	2,741 "," 	3,738 ", 	137 , 	358 , 	495 , 	2 ," 	1,328 "," 	3,833 "," 	6,945 "," 	5,957 "," 	6,588 "," 	5,486 "," 	4,019 "," 	9,619 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	686 ," 	1,972 "," 	2,658 ", 	110 , 	620 , 	730 , 	2 , 	4 ," 	1,871 "," 	3,594 "," 	3,110 "," 	3,225 "," 	2,674 "," 	1,860 "," 	4,038 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	772 ," 	1,940 "," 	2,712 ", 	140 , 	401 , 	541 , 	5 , 	139 ," 	1,466 "," 	4,433 "," 	3,404 "," 	4,023 "," 	3,161 "," 	1,999 "," 	4,996 "
,2008-09,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,472 "," 	3,479 "," 	4,951 ", 	271 , 	825 ," 	1,096 ", 	48 , 	216 ," 	5,000 "," 	9,273 "," 	6,333 "," 	8,666 "," 	5,930 "," 	7,212 "," 	11,703 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	495 ," 	1,441 "," 	1,936 ", 	99 , 	433 , 	532 , 	- 0, 	158 ," 	1,227 "," 	2,315 "," 	2,046 "," 	2,275 "," 	1,972 "," 	1,182 "," 	3,445 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	737 ," 	2,412 "," 	3,149 ", 	96 , 	736 , 	832 , 	16 , 	1 ," 	2,284 "," 	4,019 "," 	3,502 "," 	3,981 "," 	3,466 "," 	2,166 "," 	6,079 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	528 ," 	1,359 "," 	1,887 ", 	95 , 	354 , 	449 , 	- 0, 	1 ," 	1,513 "," 	2,922 "," 	2,412 "," 	2,808 "," 	2,001 ", 	704 ," 	3,638 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	741 ," 	2,120 "," 	2,861 ", 	127 , 	720 , 	847 , 	- 0, 	- 0," 	2,261 "," 	4,280 "," 	3,530 "," 	4,231 "," 	3,520 "," 	2,694 "," 	6,229 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,836 "," 	4,937 "," 	6,773 ", 	253 , 	994 ," 	1,247 ", 	185 , 	19 ," 	6,839 "," 	11,917 "," 	8,916 "," 	11,357 "," 	8,046 "," 	7,696 "," 	13,480 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	992 ," 	2,395 "," 	3,387 ", 	212 , 	677 , 	889 , 	- 0, 	16 ," 	2,978 "," 	5,976 "," 	4,714 "," 	5,483 "," 	4,579 "," 	2,152 "," 	8,368 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,050 "," 	2,330 "," 	3,380 ", 	249 , 	698 , 	947 , 	- 0, 	293 ," 	2,876 "," 	5,463 "," 	4,363 "," 	5,280 "," 	4,177 "," 	2,313 "," 	6,112 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,527 "," 	3,970 "," 	5,497 ", 	312 ," 	1,320 "," 	1,632 ", 	34 , 	- 0," 	4,453 "," 	8,802 "," 	7,327 "," 	8,093 "," 	6,670 "," 	5,471 "," 	12,987 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	734 ," 	2,116 "," 	2,850 ", 	101 , 	628 , 	729 , 	27 , 	45 ," 	2,691 "," 	4,921 "," 	4,455 "," 	5,125 "," 	4,625 "," 	2,965 "," 	7,782 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,036 "," 	5,665 "," 	7,701 ", 	498 ," 	2,256 "," 	2,754 ", 	- 0, 	228 ," 	5,646 "," 	11,580 "," 	9,019 "," 	11,282 "," 	8,894 "," 	5,204 "," 	13,841 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	929 ," 	2,669 "," 	3,598 ", 	146 , 	725 , 	871 , 	- 0, 	201 ," 	2,343 "," 	5,167 "," 	4,373 "," 	5,086 "," 	4,323 "," 	1,522 "," 	5,946 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	839 ," 	2,007 "," 	2,846 ", 	70 , 	362 , 	432 , 	- 0, 	8 ," 	2,482 "," 	4,561 "," 	3,671 "," 	4,543 "," 	3,668 ", 	917 ," 	5,014 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,282 "," 	4,502 "," 	5,784 ", 	179 , 	942 ," 	1,121 ", 	525 , 	1 ," 	4,451 "," 	6,464 "," 	6,073 "," 	6,065 "," 	5,744 "," 	2,585 "," 	8,186 "
,2008-09,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	487 ," 	1,666 "," 	2,153 ", 	132 , 	681 , 	813 , 	- 0, 	2 ," 	1,112 "," 	2,523 "," 	1,837 "," 	2,331 "," 	1,691 "," 	1,478 "," 	2,973 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	746 ," 	1,524 "," 	2,270 ", 	138 , 	183 , 	321 , 	- 0, 	6 ," 	2,275 "," 	3,267 "," 	2,477 "," 	3,118 "," 	2,347 "," 	1,586 "," 	4,343 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	299 , 	754 ," 	1,053 ", 	39 , 	229 , 	268 , 	13 , 	- 0, 	749 ," 	1,784 "," 	1,733 "," 	1,720 "," 	1,664 ", 	643 ," 	2,566 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,800 "," 	5,425 "," 	7,225 ", 	277 ," 	1,718 "," 	1,995 ", 	165 , 	- 0," 	5,477 "," 	10,581 "," 	8,606 "," 	10,332 "," 	8,437 "," 	4,741 "," 	12,855 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	705 ," 	2,465 "," 	3,170 ", 	114 , 	831 , 	945 , 	- 0, 	10 ," 	2,270 "," 	4,209 "," 	3,221 "," 	4,161 "," 	3,190 "," 	1,850 "," 	4,929 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,103 "," 	4,595 "," 	6,698 ", 	216 , 	720 , 	936 , 	66 , 	51 ," 	4,642 "," 	9,358 "," 	7,647 "," 	9,158 "," 	7,455 "," 	3,418 "," 	11,280 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,029 "," 	6,238 "," 	8,267 ", 	388 ," 	2,201 "," 	2,589 ", 	219 , 	- 0," 	5,243 "," 	12,167 "," 	10,194 "," 	11,361 "," 	9,670 "," 	3,865 "," 	15,313 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,445 "," 	4,721 "," 	6,166 ", 	178 ," 	1,704 "," 	1,882 ", 	- 0, 	- 0," 	4,626 "," 	9,083 "," 	6,942 "," 	8,943 "," 	7,202 "," 	6,576 "," 	11,234 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	604 ," 	1,991 "," 	2,595 ", 	74 , 	701 , 	775 , 	- 0, 	- 0," 	3,315 "," 	4,497 "," 	3,348 "," 	4,441 "," 	3,423 "," 	3,874 "," 	5,284 "
,2008-09,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,579 "," 	5,275 "," 	6,854 ", 	339 ," 	1,866 "," 	2,205 ", 	73 , 	- 0," 	4,631 "," 	8,680 "," 	7,605 "," 	7,974 "," 	6,894 "," 	3,433 "," 	10,830 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	412 ," 	1,256 "," 	1,668 ", 	94 , 	617 , 	711 , 	- 0, 	1 ," 	1,016 "," 	2,592 "," 	2,319 "," 	2,537 "," 	2,274 "," 	1,264 "," 	3,182 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	947 ," 	2,304 "," 	3,251 ", 	244 , 	462 , 	706 , 	- 0, 	181 ," 	2,895 "," 	6,482 "," 	5,961 "," 	4,899 "," 	4,539 "," 	3,193 "," 	7,673 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	754 ," 	2,639 "," 	3,393 ", 	129 ," 	1,108 "," 	1,237 ", 	6 , 	36 ," 	2,012 "," 	3,953 "," 	2,511 "," 	3,838 "," 	2,421 "," 	2,740 "," 	5,347 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	537 ," 	2,283 "," 	2,820 ", 	72 , 	939 ," 	1,011 ", 	- 0, 	21 ," 	1,879 "," 	4,661 "," 	4,132 "," 	4,318 "," 	4,067 "," 	2,290 "," 	6,890 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	842 ," 	2,398 "," 	3,240 ", 	102 , 	833 , 	935 , 	- 0, 	3 ," 	2,426 "," 	5,811 "," 	4,750 "," 	5,329 "," 	4,406 "," 	3,597 "," 	7,046 "
,2008-09,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	337 ," 	1,244 "," 	1,581 ", 	50 , 	445 , 	495 , 	- 0, 	1 ," 	1,166 "," 	2,158 "," 	1,123 "," 	2,034 "," 	1,004 "," 	1,534 "," 	1,419 "
