,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,FEBRUARY,,,,England," 	127,268 "," 	450,244 "," 	577,512 "," 	19,679 "," 	137,383 "," 	157,063 "," 	21,308 "," 	426,451 "," 	932,246 "," 	752,468 "," 	882,156 "," 	712,835 "," 	488,760 "," 	1,235,195 "
,2010-11,FEBRUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,309 "," 	49,151 "," 	62,460 "," 	2,112 "," 	16,885 "," 	18,997 ", 	825 ," 	40,207 "," 	85,640 "," 	71,558 "," 	83,804 "," 	70,204 "," 	41,086 "," 	116,934 "
,2010-11,FEBRUARY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,205 "," 	5,102 "," 	7,307 ", 	591 ," 	3,697 "," 	4,288 ", 	4 ," 	1,593 ", 	855 ," 	1,534 ", 	854 ," 	1,533 "," 	1,795 "," 	4,791 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	779 ," 	2,784 "," 	3,563 ", 	134 , 	930 ," 	1,064 ", 	120 ," 	2,840 "," 	4,768 "," 	4,191 "," 	4,617 "," 	4,036 "," 	4,934 "," 	8,717 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	605 ," 	2,384 "," 	2,989 ", 	82 , 	767 , 	849 , 	111 ," 	2,430 "," 	4,096 "," 	3,528 "," 	3,892 "," 	3,366 "," 	2,588 "," 	6,274 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	234 , 	869 ," 	1,103 ", 	21 , 	221 , 	242 , 	2 , 	916 ," 	1,432 "," 	1,156 "," 	1,373 "," 	1,093 ", 	876 ," 	1,837 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	484 ," 	1,864 "," 	2,348 ", 	61 , 	555 , 	616 , 	60 ," 	1,806 "," 	3,260 "," 	2,499 "," 	3,229 "," 	2,480 "," 	1,486 "," 	3,949 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	237 , 	844 ," 	1,081 ", 	48 , 	174 , 	222 , 	3 ," 	1,004 "," 	1,745 "," 	1,170 "," 	1,711 "," 	1,168 "," 	1,097 "," 	2,361 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	617 ," 	1,810 "," 	2,427 ", 	135 , 	425 , 	560 , 	485 ," 	2,079 "," 	4,148 "," 	3,255 "," 	3,980 "," 	3,154 "," 	2,293 "," 	5,506 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	483 ," 	1,927 "," 	2,410 ", 	61 , 	666 , 	727 , 	45 ," 	1,659 "," 	3,388 "," 	2,641 "," 	3,225 "," 	2,485 "," 	2,582 "," 	4,758 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	892 ," 	3,317 "," 	4,209 ", 	144 , 	898 ," 	1,042 ", 	88 ," 	2,661 "," 	5,223 "," 	3,736 "," 	5,125 "," 	3,697 "," 	4,655 "," 	7,211 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	347 ," 	1,343 "," 	1,690 ", 	69 , 	619 , 	688 , 	125 ," 	1,773 "," 	2,440 "," 	1,792 "," 	2,282 "," 	1,693 "," 	1,517 "," 	3,167 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,438 "," 	5,209 "," 	6,647 ", 	233 ," 	1,557 "," 	1,790 ", 	33 ," 	4,961 "," 	9,103 "," 	7,056 "," 	8,707 "," 	6,896 "," 	5,694 "," 	12,492 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	369 ," 	1,282 "," 	1,651 ", 	67 , 	590 , 	657 , 	145 ," 	1,534 "," 	2,169 "," 	1,731 "," 	2,071 "," 	1,664 "," 	1,208 "," 	2,908 "
,2010-11,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	951 ," 	3,662 "," 	4,613 ", 	110 ," 	1,166 "," 	1,276 ", 	106 ," 	3,290 "," 	5,711 "," 	4,908 "," 	5,661 "," 	4,871 "," 	3,233 "," 	8,417 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	649 ," 	1,936 "," 	2,585 ", 	122 , 	591 , 	713 , 	13 ," 	2,826 "," 	4,189 "," 	3,325 "," 	3,977 "," 	3,151 "," 	2,941 "," 	5,292 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	723 ," 	2,351 "," 	3,074 ", 	162 , 	580 , 	742 , 	38 ," 	2,839 "," 	5,694 "," 	4,224 "," 	5,554 "," 	4,154 "," 	3,524 "," 	6,703 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	889 ," 	3,272 "," 	4,161 ", 	130 ," 	1,210 "," 	1,340 ", 	146 ," 	2,710 "," 	6,143 "," 	5,015 "," 	6,061 "," 	4,933 "," 	3,229 "," 	8,267 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	312 ," 	1,613 "," 	1,925 ", 	23 , 	384 , 	407 , 	- 0," 	1,782 "," 	2,997 "," 	2,275 "," 	2,771 "," 	2,116 "," 	2,039 "," 	4,402 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	734 ," 	1,906 "," 	2,640 ", 	130 , 	583 , 	713 , 	8 ," 	2,427 "," 	5,949 "," 	4,822 "," 	5,526 "," 	4,519 "," 	3,027 "," 	7,300 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	490 ," 	1,599 "," 	2,089 ", 	47 , 	381 , 	428 , 	101 ," 	1,930 "," 	2,757 "," 	2,111 "," 	2,743 "," 	2,088 "," 	1,707 "," 	3,720 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	379 ," 	1,427 "," 	1,806 ", 	43 , 	246 , 	289 , 	42 ," 	1,757 "," 	3,715 "," 	2,881 "," 	3,544 "," 	2,686 "," 	1,956 "," 	4,671 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	578 ," 	1,857 "," 	2,435 ", 	85 , 	687 , 	772 , 	11 ," 	2,320 "," 	3,573 "," 	2,953 "," 	3,323 "," 	2,675 "," 	2,102 "," 	5,357 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	557 ," 	1,619 "," 	2,176 ", 	100 , 	610 , 	710 , 	15 ," 	1,738 "," 	2,988 "," 	2,404 "," 	2,940 "," 	2,351 "," 	1,747 "," 	4,528 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	598 ," 	1,912 "," 	2,510 ", 	72 , 	392 , 	464 , 	31 ," 	2,231 "," 	4,376 "," 	3,850 "," 	4,193 "," 	3,692 "," 	3,517 "," 	7,131 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,435 "," 	4,597 "," 	6,032 ", 	218 ," 	1,304 "," 	1,522 ", 	130 ," 	4,206 "," 	9,582 "," 	7,469 "," 	9,427 "," 	7,301 "," 	2,734 "," 	10,901 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	877 ," 	3,570 "," 	4,447 ", 	122 , 	981 ," 	1,103 ", 	12 ," 	2,999 "," 	6,032 "," 	4,778 "," 	5,824 "," 	4,601 "," 	3,436 "," 	7,769 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,320 "," 	5,117 "," 	6,437 ", 	204 ," 	1,259 "," 	1,463 ", 	347 ," 	3,987 "," 	9,584 "," 	7,659 "," 	9,096 "," 	7,349 "," 	4,236 "," 	11,441 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,120 "," 	3,797 "," 	4,917 ", 	246 ," 	1,081 "," 	1,327 ", 	13 ," 	3,311 "," 	7,740 "," 	6,695 "," 	7,311 "," 	6,272 "," 	2,371 "," 	9,449 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	757 ," 	2,777 "," 	3,534 ", 	92 , 	711 , 	803 , 	470 ," 	2,573 "," 	6,066 "," 	4,795 "," 	5,783 "," 	4,494 "," 	3,257 "," 	7,484 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	856 ," 	2,777 "," 	3,633 ", 	79 , 	476 , 	555 , 	136 ," 	3,198 "," 	5,535 "," 	4,341 "," 	5,118 "," 	4,009 "," 	4,890 "," 	7,193 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,161 "," 	4,040 "," 	5,201 ", 	149 , 	942 ," 	1,091 ", 	181 ," 	4,995 "," 	10,609 "," 	8,672 "," 	9,985 "," 	7,973 "," 	8,086 "," 	16,892 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	851 ," 	2,742 "," 	3,593 ", 	80 , 	491 , 	571 , 	87 ," 	3,236 "," 	6,116 "," 	4,902 "," 	5,826 "," 	4,653 "," 	2,662 "," 	7,637 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	713 ," 	2,559 "," 	3,272 ", 	69 , 	623 , 	692 , 	185 ," 	2,144 "," 	4,356 "," 	3,489 "," 	4,235 "," 	3,406 "," 	4,178 "," 	6,313 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	987 ," 	3,444 "," 	4,431 ", 	127 , 	598 , 	725 ," 	1,448 "," 	4,222 "," 	7,087 "," 	5,564 "," 	7,028 "," 	5,484 "," 	4,205 "," 	9,960 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	568 ," 	2,038 "," 	2,606 ", 	110 , 	790 , 	900 , 	6 ," 	2,098 "," 	3,699 "," 	3,034 "," 	3,466 "," 	2,847 "," 	2,793 "," 	5,594 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	689 ," 	2,261 "," 	2,950 ", 	134 , 	714 , 	848 , 	166 ," 	1,832 "," 	5,162 "," 	4,008 "," 	5,117 "," 	3,939 "," 	2,229 "," 	6,003 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,356 "," 	4,052 "," 	5,408 ", 	236 ," 	1,346 "," 	1,582 ", 	223 ," 	5,740 "," 	9,528 "," 	7,287 "," 	9,129 "," 	6,877 "," 	7,829 "," 	13,988 "
,2010-11,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	440 ," 	1,497 "," 	1,937 ", 	114 , 	425 , 	539 , 	- 0," 	1,573 "," 	3,110 "," 	2,680 "," 	2,912 "," 	2,488 ", 	888 ," 	3,765 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	514 ," 	1,445 "," 	1,959 ", 	141 , 	411 , 	552 , 	74 ," 	1,522 "," 	2,702 "," 	1,926 "," 	2,647 "," 	1,871 "," 	1,539 "," 	3,796 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	672 ," 	2,677 "," 	3,349 ", 	56 , 	736 , 	792 , 	1 ," 	2,489 "," 	4,671 "," 	3,901 "," 	4,618 "," 	3,844 "," 	2,169 "," 	6,733 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	531 ," 	1,572 "," 	2,103 ", 	75 , 	583 , 	658 , 	3 ," 	2,045 "," 	3,538 "," 	2,616 "," 	3,495 "," 	2,581 "," 	1,033 "," 	4,601 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	618 ," 	2,517 "," 	3,135 ", 	75 , 	448 , 	524 , 	1 ," 	2,373 "," 	4,993 "," 	4,421 "," 	4,975 "," 	4,406 "," 	2,679 "," 	7,418 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,814 "," 	5,076 "," 	6,890 ", 	233 , 	896 ," 	1,129 ", 	17 ," 	7,566 "," 	12,065 "," 	10,050 "," 	11,946 "," 	9,364 "," 	8,476 "," 	16,578 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,014 "," 	3,072 "," 	4,086 ", 	209 ," 	1,034 "," 	1,243 ", 	20 ," 	3,584 "," 	7,014 "," 	5,367 "," 	6,679 "," 	5,198 "," 	2,570 "," 	8,546 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	923 ," 	2,815 "," 	3,738 ", 	150 , 	971 ," 	1,121 ", 	221 ," 	3,217 "," 	6,570 "," 	5,290 "," 	6,270 "," 	5,012 "," 	2,819 "," 	7,558 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,278 "," 	4,731 "," 	6,009 ", 	255 ," 	1,199 "," 	1,454 ", 	13 ," 	4,571 "," 	8,388 "," 	7,042 "," 	7,607 "," 	6,336 "," 	5,964 "," 	15,641 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	681 ," 	2,435 "," 	3,116 ", 	76 , 	737 , 	813 , 	16 ," 	2,827 "," 	5,559 "," 	5,047 "," 	5,543 "," 	5,034 "," 	2,562 "," 	7,838 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,005 "," 	7,317 "," 	9,322 ", 	377 ," 	2,894 "," 	3,271 ", 	197 ," 	6,520 "," 	14,099 "," 	10,929 "," 	13,760 "," 	10,678 "," 	5,950 "," 	16,269 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	951 ," 	3,469 "," 	4,420 ", 	102 ," 	1,156 "," 	1,258 ", 	260 ," 	2,504 "," 	6,145 "," 	4,938 "," 	6,090 "," 	4,875 "," 	1,778 "," 	6,834 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	773 ," 	2,726 "," 	3,499 ", 	81 , 	735 , 	816 , 	16 ," 	2,626 "," 	5,473 "," 	4,553 "," 	5,272 "," 	4,374 "," 	1,146 "," 	6,078 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,343 "," 	4,952 "," 	6,295 ", 	180 ," 	1,823 "," 	2,003 ", 	1 ," 	5,210 "," 	7,333 "," 	5,809 "," 	6,944 "," 	5,369 "," 	5,170 "," 	10,467 "
,2010-11,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	438 ," 	1,437 "," 	1,875 ", 	96 , 	533 , 	629 , 	23 ," 	1,473 "," 	2,765 "," 	1,994 "," 	2,571 "," 	1,815 "," 	1,622 "," 	3,624 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	741 ," 	2,132 "," 	2,873 ", 	131 , 	746 , 	877 , 	4 ," 	2,619 "," 	4,444 "," 	3,822 "," 	4,309 "," 	3,697 "," 	1,635 "," 	6,234 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	298 , 	975 ," 	1,273 ", 	44 , 	329 , 	373 , 	8 , 	942 ," 	1,927 "," 	1,817 "," 	1,833 "," 	1,736 ", 	867 ," 	2,701 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,611 "," 	6,867 "," 	8,478 ", 	195 ," 	2,085 "," 	2,280 ", 	172 ," 	5,841 "," 	11,505 "," 	9,807 "," 	11,256 "," 	9,579 "," 	5,191 "," 	14,807 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	643 ," 	2,745 "," 	3,388 ", 	104 , 	995 ," 	1,099 ", 	16 ," 	2,459 "," 	3,342 "," 	2,545 "," 	3,293 "," 	2,449 "," 	1,464 "," 	4,265 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,764 "," 	5,722 "," 	7,486 ", 	211 ," 	1,760 "," 	1,971 ", 	25 ," 	5,035 "," 	9,978 "," 	8,687 "," 	9,822 "," 	8,522 "," 	3,569 "," 	13,070 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,076 "," 	7,491 "," 	9,567 ", 	319 ," 	2,789 "," 	3,108 ", 	230 ," 	5,793 "," 	14,947 "," 	11,437 "," 	14,301 "," 	10,722 "," 	5,872 "," 	16,426 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,307 "," 	5,436 "," 	6,743 ", 	156 ," 	2,139 "," 	2,295 ", 	4 ," 	4,864 "," 	9,934 "," 	7,262 "," 	9,852 "," 	7,215 "," 	6,731 "," 	11,839 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	541 ," 	2,155 "," 	2,696 ", 	73 , 	789 , 	862 , 	1 ," 	3,082 "," 	5,389 "," 	3,726 "," 	5,387 "," 	3,724 "," 	4,144 "," 	5,783 "
,2010-11,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,603 "," 	6,182 "," 	7,785 ", 	343 ," 	2,158 "," 	2,501 ", 	43 ," 	4,603 "," 	10,103 "," 	8,550 "," 	9,920 "," 	8,425 "," 	4,336 "," 	12,392 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	457 ," 	1,299 "," 	1,756 ", 	66 , 	465 , 	531 , 	15 ," 	1,189 "," 	2,783 "," 	2,828 "," 	2,592 "," 	2,783 "," 	1,247 "," 	3,882 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	967 ," 	2,453 "," 	3,420 ", 	182 , 	519 , 	701 , 	197 ," 	2,994 "," 	7,362 "," 	6,458 "," 	6,043 "," 	5,366 "," 	4,029 "," 	9,877 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	706 ," 	2,835 "," 	3,541 ", 	117 ," 	1,042 "," 	1,159 ", 	53 ," 	1,947 "," 	5,055 "," 	3,370 "," 	4,424 "," 	3,290 "," 	2,907 "," 	6,871 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	599 ," 	2,436 "," 	3,035 ", 	96 , 	970 ," 	1,066 ", 	48 ," 	1,943 "," 	5,081 "," 	3,761 "," 	4,743 "," 	3,455 "," 	2,280 "," 	6,838 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	812 ," 	2,897 "," 	3,709 ", 	99 ," 	1,060 "," 	1,159 ", 	3 ," 	2,638 "," 	6,451 "," 	4,757 "," 	6,378 "," 	4,702 "," 	4,281 "," 	8,108 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	378 ," 	1,394 "," 	1,772 ", 	50 , 	456 , 	506 , 	4 ," 	1,211 "," 	2,752 "," 	1,332 "," 	2,362 "," 	1,318 "," 	1,881 "," 	4,074 "
,2010-11,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	530 ," 	2,257 "," 	2,787 ", 	82 , 	940 ," 	1,022 ", 	4 ," 	2,267 "," 	4,828 "," 	4,210 "," 	4,428 "," 	3,504 "," 	2,252 "," 	6,761 "
