,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,MARCH,,,,England," 	146,046 "," 	492,268 "," 	638,314 "," 	21,676 "," 	142,656 "," 	164,332 "," 	11,979 "," 	17,958 "," 	463,614 "," 	1,051,589 "," 	890,779 "," 	995,409 "," 	835,742 "," 	532,830 "," 	1,388,273 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	557 ," 	1,977 "," 	2,534 ", 	72 , 	558 , 	630 , 	- 0, 	74 ," 	2,051 "," 	3,592 "," 	3,127 "," 	3,550 "," 	3,091 "," 	1,726 "," 	4,831 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	293 , 	940 ," 	1,233 ", 	54 , 	202 , 	256 , 	- 0, 	1 ," 	1,125 "," 	1,760 "," 	1,476 "," 	1,759 "," 	1,473 "," 	1,262 "," 	2,640 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	689 ," 	1,087 "," 	1,776 ", 	137 , 	280 , 	417 , 	- 0, 	441 ," 	2,264 "," 	4,670 "," 	4,048 "," 	4,476 "," 	3,259 "," 	2,695 "," 	5,231 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	532 ," 	1,768 "," 	2,300 ", 	49 , 	524 , 	573 , 	- 0, 	48 ," 	1,431 "," 	3,517 "," 	2,671 "," 	3,505 "," 	2,671 "," 	1,838 "," 	4,600 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,103 "," 	3,036 "," 	4,139 ", 	129 , 	664 , 	793 , 	- 0, 	126 ," 	2,839 "," 	5,622 "," 	5,195 "," 	5,558 "," 	4,119 "," 	5,316 "," 	7,876 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	454 ," 	1,541 "," 	1,995 ", 	109 , 	622 , 	731 , 	- 0, 	175 ," 	1,824 "," 	2,587 "," 	2,221 "," 	2,433 "," 	2,097 "," 	1,669 "," 	3,993 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,581 "," 	5,768 "," 	7,349 ", 	199 ," 	1,725 "," 	1,924 ", 	- 0, 	44 ," 	5,118 "," 	10,422 "," 	8,929 "," 	10,150 "," 	8,709 "," 	6,481 "," 	14,494 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	512 ," 	1,496 "," 	2,008 ", 	121 , 	668 , 	789 , 	- 0, 	174 ," 	1,530 "," 	2,405 "," 	2,006 "," 	2,310 "," 	1,920 "," 	1,375 "," 	3,556 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	976 ," 	3,742 "," 	4,718 ", 	147 ," 	1,185 "," 	1,332 ", 	83 , 	14 ," 	3,394 "," 	5,751 "," 	5,284 "," 	5,698 "," 	5,204 "," 	3,011 "," 	8,716 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	531 ," 	1,472 "," 	2,003 ", 	74 , 	390 , 	464 , 	83 , 	- 0," 	1,743 "," 	3,031 "," 	2,909 "," 	2,912 "," 	2,697 "," 	1,017 "," 	4,184 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	692 ," 	1,823 "," 	2,515 ", 	96 , 	579 , 	675 , 	56 , 	22 ," 	2,440 "," 	4,994 "," 	3,808 "," 	4,400 "," 	3,430 "," 	3,114 "," 	5,634 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,082 "," 	2,369 "," 	3,451 ", 	205 , 	660 , 	865 , 	18 , 	19 ," 	3,278 "," 	6,249 "," 	4,778 "," 	5,745 "," 	4,750 "," 	4,457 "," 	7,976 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	990 ," 	3,500 "," 	4,490 ", 	98 ," 	1,215 "," 	1,313 ", 	- 0, 	137 ," 	3,043 "," 	7,090 "," 	5,756 "," 	6,987 "," 	5,666 "," 	3,854 "," 	9,538 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	350 ," 	1,737 "," 	2,087 ", 	29 , 	396 , 	425 , 	- 0, 	1 ," 	1,759 "," 	3,071 "," 	2,431 "," 	2,562 "," 	1,958 "," 	1,920 "," 	3,549 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	785 ," 	2,147 "," 	2,932 ", 	133 , 	592 , 	725 , 	2 , 	7 ," 	2,588 "," 	6,390 "," 	5,218 "," 	5,998 "," 	4,896 "," 	3,515 "," 	8,309 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	544 ," 	1,798 "," 	2,342 ", 	75 , 	377 , 	452 , 	7 , 	60 ," 	2,129 "," 	3,370 "," 	2,757 "," 	3,345 "," 	2,733 "," 	2,212 "," 	4,883 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	421 ," 	1,735 "," 	2,156 ", 	42 , 	434 , 	476 , 	35 , 	1 ," 	2,156 "," 	4,330 "," 	3,529 "," 	4,106 "," 	3,327 "," 	2,223 "," 	5,654 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	753 ," 	2,273 "," 	3,026 ", 	79 , 	697 , 	776 , 	- 0, 	6 ," 	2,456 "," 	4,613 "," 	3,746 "," 	4,297 "," 	3,440 "," 	2,655 "," 	6,098 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	706 ," 	2,476 "," 	3,182 ", 	122 , 	812 , 	934 , 	1 , 	61 ," 	1,823 "," 	3,501 "," 	2,984 "," 	3,376 "," 	2,994 "," 	2,438 "," 	5,250 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	712 ," 	2,310 "," 	3,022 ", 	71 , 	510 , 	581 , 	4 , 	31 ," 	2,366 "," 	4,965 "," 	4,105 "," 	5,294 "," 	4,489 "," 	3,404 "," 	7,561 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,719 "," 	4,884 "," 	6,603 ", 	305 ," 	1,117 "," 	1,422 ", 	- 0, 	124 ," 	4,527 "," 	10,554 "," 	8,624 "," 	10,385 "," 	8,624 "," 	3,091 "," 	12,243 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	974 ," 	4,118 "," 	5,092 ", 	104 ," 	1,038 "," 	1,142 ", 	75 , 	5 ," 	3,182 "," 	6,543 "," 	5,398 "," 	6,246 "," 	5,184 "," 	2,690 "," 	8,158 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,456 "," 	5,672 "," 	7,128 ", 	220 ," 	1,388 "," 	1,608 ", 	1 , 	406 ," 	4,581 "," 	10,744 "," 	9,353 "," 	10,193 "," 	8,936 "," 	5,071 "," 	13,838 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,360 "," 	4,372 "," 	5,732 ", 	201 ," 	1,288 "," 	1,489 ", 	376 , 	1 ," 	3,751 "," 	8,394 "," 	7,779 "," 	8,051 "," 	7,276 "," 	2,655 "," 	11,031 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	811 ," 	3,427 "," 	4,238 ", 	99 ," 	1,027 "," 	1,126 ", 	178 , 	510 ," 	3,072 "," 	6,437 "," 	5,489 "," 	6,124 "," 	5,097 "," 	3,744 "," 	9,154 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT," 	1,043 "," 	3,604 "," 	4,647 ", 	127 , 	985 ," 	1,112 ", 	62 , 	54 ," 	3,844 "," 	6,313 "," 	5,719 "," 	5,902 "," 	5,357 "," 	3,649 "," 	9,254 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,177 "," 	4,736 "," 	5,913 ", 	141 ," 	1,365 "," 	1,506 ", 	144 , 	69 ," 	6,143 "," 	11,809 "," 	10,165 "," 	11,130 "," 	9,508 "," 	10,065 "," 	20,148 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	907 ," 	3,092 "," 	3,999 ", 	88 , 	568 , 	656 , 	7 , 	69 ," 	3,359 "," 	7,234 "," 	5,954 "," 	7,006 "," 	5,748 "," 	3,149 "," 	8,257 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	792 ," 	2,729 "," 	3,521 ", 	103 , 	501 , 	604 , 	1 , 	224 ," 	2,565 "," 	4,728 "," 	4,222 "," 	4,580 "," 	4,123 "," 	4,317 "," 	7,091 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,290 "," 	4,136 "," 	5,426 ", 	151 , 	556 , 	707 , 	- 0," 	1,873 "," 	4,785 "," 	8,188 "," 	7,579 "," 	8,033 "," 	7,311 "," 	5,551 "," 	12,649 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	784 ," 	2,780 "," 	3,564 ", 	135 , 	936 ," 	1,071 ", 	1 , 	11 ," 	2,371 "," 	4,171 "," 	3,921 "," 	3,814 "," 	3,365 "," 	2,701 "," 	6,152 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	692 ," 	2,578 "," 	3,270 ", 	120 , 	800 , 	920 , 	- 0, 	151 ," 	2,000 "," 	5,785 "," 	4,195 "," 	5,488 "," 	4,109 "," 	3,263 "," 	7,360 "
,2009-10,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,672 "," 	4,831 "," 	6,503 ", 	269 ," 	1,393 "," 	1,662 ", 	263 , 	21 ," 	6,292 "," 	12,606 "," 	8,523 "," 	12,606 "," 	8,523 "," 	10,331 "," 	17,722 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	521 ," 	1,821 "," 	2,342 ", 	100 , 	471 , 	571 , 	- 0, 	66 ," 	1,514 "," 	2,989 "," 	2,476 "," 	2,906 "," 	2,406 "," 	1,697 "," 	4,845 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	922 ," 	3,063 "," 	3,985 ", 	96 , 	973 ," 	1,069 ", 	3 , 	- 0," 	2,810 "," 	5,461 "," 	4,612 "," 	5,419 "," 	4,569 "," 	2,682 "," 	7,870 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	630 ," 	1,824 "," 	2,454 ", 	93 , 	729 , 	822 , 	- 0, 	- 0," 	2,204 "," 	3,795 "," 	3,306 "," 	3,711 "," 	2,781 "," 	1,255 "," 	4,698 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	961 ," 	2,670 "," 	3,631 ", 	146 , 	820 , 	966 , 	689 , 	3 ," 	2,544 "," 	5,815 "," 	4,733 "," 	5,056 "," 	4,738 "," 	3,275 "," 	7,811 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,154 "," 	6,117 "," 	8,271 ", 	265 ," 	1,193 "," 	1,458 ", 	128 , 	33 ," 	7,965 "," 	14,092 "," 	12,109 "," 	14,006 "," 	11,320 "," 	10,009 "," 	19,515 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,059 "," 	2,888 "," 	3,947 ", 	189 , 	847 ," 	1,036 ", 	- 0, 	40 ," 	3,413 "," 	7,931 "," 	5,696 "," 	6,291 "," 	5,392 "," 	2,537 "," 	8,716 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,100 "," 	3,345 "," 	4,445 ", 	185 ," 	1,100 "," 	1,285 ", 	- 0, 	289 ," 	3,654 "," 	7,250 "," 	4,975 "," 	6,920 "," 	4,730 "," 	2,539 "," 	7,053 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,791 "," 	5,216 "," 	7,007 ", 	326 ," 	1,716 "," 	2,042 ", 	179 , 	1 ," 	4,949 "," 	11,087 "," 	9,162 "," 	10,274 "," 	9,167 "," 	7,929 "," 	17,257 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	862 ," 	2,811 "," 	3,673 ", 	117 , 	843 , 	960 , 	72 , 	- 0," 	2,790 "," 	6,271 "," 	6,239 "," 	6,285 "," 	5,583 "," 	3,525 "," 	9,420 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,068 "," 	8,452 "," 	10,520 ", 	447 ," 	2,779 "," 	3,226 ", 	- 0, 	613 ," 	7,100 "," 	16,722 "," 	12,591 "," 	15,452 "," 	12,377 "," 	7,481 "," 	18,901 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,036 "," 	3,879 "," 	4,915 ", 	110 ," 	1,111 "," 	1,221 ", 	- 0, 	277 ," 	2,978 "," 	6,863 "," 	5,653 "," 	6,848 "," 	6,005 "," 	2,071 "," 	8,050 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	946 ," 	2,929 "," 	3,875 ", 	63 , 	788 , 	851 , 	- 0, 	8 ," 	2,735 "," 	6,023 "," 	5,007 "," 	6,006 "," 	5,007 "," 	1,397 "," 	7,086 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,464 "," 	5,326 "," 	6,790 ", 	307 ," 	1,804 "," 	2,111 ", 	770 , 	- 0," 	5,314 "," 	7,196 "," 	7,059 "," 	6,595 "," 	6,405 "," 	4,316 "," 	11,132 "
,2009-10,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	536 ," 	1,881 "," 	2,417 ", 	114 , 	644 , 	758 , 	- 0, 	2 ," 	1,202 "," 	3,314 "," 	2,584 "," 	3,157 "," 	2,407 "," 	1,781 "," 	4,623 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	834 ," 	2,350 "," 	3,184 ", 	152 , 	907 ," 	1,059 ", 	489 , 	7 ," 	2,835 "," 	5,613 "," 	4,953 "," 	5,488 "," 	4,836 "," 	1,669 "," 	7,544 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	448 ," 	1,149 "," 	1,597 ", 	103 , 	278 , 	381 , 	18 , 	- 0, 	899 ," 	2,297 "," 	2,269 "," 	2,241 "," 	2,183 ", 	676 ," 	3,481 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,996 "," 	7,403 "," 	9,399 ", 	264 ," 	2,489 "," 	2,753 ", 	218 , 	- 0," 	6,400 "," 	14,408 "," 	11,639 "," 	14,049 "," 	11,357 "," 	6,468 "," 	19,695 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	836 ," 	3,145 "," 	3,981 ", 	184 ," 	1,208 "," 	1,392 ", 	- 0, 	31 ," 	2,837 "," 	5,326 "," 	3,815 "," 	5,277 "," 	3,772 "," 	2,358 "," 	5,952 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,230 "," 	6,448 "," 	8,678 ", 	241 ," 	1,934 "," 	2,175 ", 	784 , 	60 ," 	5,840 "," 	12,808 "," 	11,228 "," 	12,638 "," 	11,046 "," 	4,380 "," 	16,779 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,894 "," 	8,805 "," 	11,699 ", 	574 ," 	2,686 "," 	3,260 ", 	508 , 	- 0," 	6,119 "," 	15,783 "," 	14,193 "," 	14,994 "," 	13,483 "," 	5,692 "," 	18,925 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,601 "," 	6,213 "," 	7,814 ", 	234 ," 	2,493 "," 	2,727 ", 	54 , 	- 0," 	5,865 "," 	12,469 "," 	9,274 "," 	12,008 "," 	8,756 "," 	8,286 "," 	13,716 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	695 ," 	2,724 "," 	3,419 ", 	104 ," 	1,121 "," 	1,225 ", 	12 , 	- 0," 	3,937 "," 	6,346 "," 	4,390 "," 	6,326 "," 	4,376 "," 	4,555 "," 	6,744 "
,2009-10,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,747 "," 	6,994 "," 	8,741 ", 	276 ," 	2,254 "," 	2,530 ", 	328 , 	- 0," 	5,466 "," 	11,555 "," 	11,557 "," 	10,762 "," 	10,609 "," 	4,753 "," 	8,227 "
,2009-10,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	494 ," 	1,414 "," 	1,908 ", 	96 , 	451 , 	547 , 	- 0, 	2 ," 	1,304 "," 	3,290 "," 	3,383 "," 	3,177 "," 	3,329 "," 	1,190 "," 	4,463 "
,2009-10,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,057 "," 	2,786 "," 	3,843 ", 	190 , 	588 , 	778 , 	- 0, 	231 ," 	3,399 "," 	8,023 "," 	7,898 "," 	6,307 "," 	6,150 "," 	4,013 "," 	10,745 "
,2009-10,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	849 ," 	3,254 "," 	4,103 ", 	124 ," 	1,098 "," 	1,222 ", 	- 0, 	3 ," 	2,450 "," 	5,330 "," 	3,753 "," 	4,643 "," 	3,643 "," 	3,816 "," 	6,716 "
,2009-10,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	614 ," 	3,001 "," 	3,615 ", 	89 ," 	1,018 "," 	1,107 ", 	- 0, 	52 ," 	1,940 "," 	6,053 "," 	5,355 "," 	5,585 "," 	5,220 "," 	2,491 "," 	8,665 "
,2009-10,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	955 ," 	3,370 "," 	4,325 ", 	76 ," 	1,055 "," 	1,131 ", 	- 0, 	3 ," 	2,923 "," 	7,858 "," 	6,041 "," 	7,504 "," 	5,789 "," 	5,000 "," 	10,148 "
,2009-10,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	429 ," 	1,723 "," 	2,152 ", 	54 , 	527 , 	581 , 	- 0, 	9 ," 	1,263 "," 	3,026 "," 	1,549 "," 	2,622 "," 	1,514 "," 	2,209 "," 	3,714 "
