,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JUNE,,,,England," 	142,169 "," 	457,890 "," 	600,059 "," 	21,946 "," 	130,524 "," 	152,470 "," 	11,295 "," 	17,876 "," 	433,256 "," 	1,007,393 "," 	857,665 "," 	962,775 "," 	816,569 "," 	529,695 "," 	1,368,926 "
,2009-10,JUNE,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,735 "," 	50,699 "," 	66,434 "," 	2,424 "," 	16,998 "," 	19,422 ", 	825 ," 	1,588 "," 	41,933 "," 	96,179 "," 	84,457 "," 	94,293 "," 	80,740 "," 	48,858 "," 	134,232 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	933 ," 	2,638 "," 	3,571 ", 	164 , 	748 , 	912 , 	58 , 	9 ," 	2,596 "," 	4,778 "," 	4,506 "," 	4,668 "," 	4,415 "," 	3,202 "," 	8,055 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	712 ," 	2,494 "," 	3,206 ", 	110 , 	798 , 	908 , 	69 , 	4 ," 	2,487 "," 	4,063 "," 	4,054 "," 	3,936 "," 	3,954 "," 	2,309 "," 	6,446 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	300 , 	977 ," 	1,277 ", 	32 , 	315 , 	347 , 	- 0, 	- 0," 	1,025 "," 	1,619 "," 	1,360 "," 	1,566 "," 	1,320 ", 	891 ," 	2,174 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	553 ," 	1,815 "," 	2,368 ", 	59 , 	558 , 	617 , 	2 , 	- 0," 	1,997 "," 	3,418 "," 	2,793 "," 	3,382 "," 	2,767 "," 	1,732 "," 	4,654 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	262 , 	819 ," 	1,081 ", 	46 , 	155 , 	201 , 	- 0, 	- 0," 	1,105 "," 	1,712 "," 	1,505 "," 	1,678 "," 	1,464 "," 	1,312 "," 	2,570 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	687 ," 	1,173 "," 	1,860 ", 	142 , 	268 , 	410 , 	- 0, 	416 ," 	2,086 "," 	4,598 "," 	3,945 "," 	4,468 "," 	3,935 "," 	2,436 "," 	6,591 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	539 ," 	1,898 "," 	2,437 ", 	61 , 	619 , 	680 , 	- 0, 	47 ," 	1,514 "," 	3,634 "," 	2,982 "," 	3,419 "," 	2,971 "," 	1,721 "," 	4,905 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,028 "," 	3,250 "," 	4,278 ", 	152 , 	869 ," 	1,021 ", 	- 0, 	113 ," 	2,850 "," 	5,416 "," 	5,285 "," 	5,335 "," 	4,377 "," 	5,675 "," 	7,995 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	403 ," 	1,253 "," 	1,656 ", 	87 , 	666 , 	753 , 	6 , 	- 0," 	1,813 "," 	2,500 "," 	2,070 "," 	2,350 "," 	1,954 "," 	1,870 "," 	4,191 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,622 "," 	5,543 "," 	7,165 ", 	231 ," 	1,629 "," 	1,860 ", 	- 0, 	44 ," 	4,796 "," 	9,756 "," 	8,492 "," 	9,499 "," 	8,284 "," 	6,292 "," 	13,987 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	407 , 	625 ," 	1,032 ", 	68 , 	580 , 	648 , 	4 , 	- 0," 	1,391 "," 	2,314 "," 	1,753 "," 	2,208 "," 	1,669 "," 	1,536 "," 	3,459 "
,2009-10,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,045 "," 	3,664 "," 	4,709 ", 	275 ," 	1,072 "," 	1,347 ", 	75 , 	7 ," 	3,136 "," 	5,549 "," 	5,537 "," 	5,524 "," 	5,507 "," 	3,564 "," 	9,030 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	525 ," 	1,329 "," 	1,854 ", 	143 , 	308 , 	451 , 	84 , 	1 ," 	1,609 "," 	3,157 "," 	2,857 "," 	3,012 "," 	2,610 ", 	776 ," 	3,835 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	770 ," 	2,013 "," 	2,783 ", 	111 , 	543 , 	654 , 	95 , 	62 ," 	2,332 "," 	4,785 "," 	3,778 "," 	4,694 "," 	3,700 "," 	3,472 "," 	5,975 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,021 "," 	2,247 "," 	3,268 ", 	182 , 	638 , 	820 , 	45 , 	20 ," 	2,837 "," 	5,929 "," 	4,964 "," 	5,700 "," 	4,867 "," 	3,830 "," 	7,785 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	874 ," 	2,954 "," 	3,828 ", 	114 , 	977 ," 	1,091 ", 	1 , 	77 ," 	2,998 "," 	6,282 "," 	4,933 "," 	5,897 "," 	4,848 "," 	3,562 "," 	8,295 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	411 ," 	1,936 "," 	2,347 ", 	35 , 	440 , 	475 , 	73 , 	2 ," 	1,713 "," 	3,103 "," 	2,211 "," 	2,906 "," 	2,152 "," 	2,057 "," 	3,850 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	829 ," 	1,991 "," 	2,820 ", 	105 , 	461 , 	566 , 	1 , 	6 ," 	2,279 "," 	6,024 "," 	5,235 "," 	5,636 "," 	4,884 "," 	3,221 "," 	7,916 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	489 ," 	1,718 "," 	2,207 ", 	53 , 	389 , 	442 , 	5 , 	40 ," 	1,977 "," 	3,352 "," 	2,789 "," 	3,330 "," 	2,774 "," 	1,961 "," 	4,747 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	452 ," 	1,529 "," 	1,981 ", 	45 , 	291 , 	336 , 	42 , 	- 0," 	1,951 "," 	4,327 "," 	3,506 "," 	4,131 "," 	3,325 "," 	1,930 "," 	5,367 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	682 ," 	2,123 "," 	2,805 ", 	53 , 	777 , 	830 , 	- 0, 	3 ," 	2,040 "," 	4,000 "," 	3,851 "," 	3,651 "," 	3,500 "," 	2,731 "," 	6,477 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	665 ," 	2,236 "," 	2,901 ", 	79 , 	642 , 	721 , 	- 0, 	47 ," 	1,656 "," 	3,779 "," 	3,207 "," 	3,497 "," 	3,029 "," 	2,103 "," 	5,312 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	682 ," 	2,094 "," 	2,776 ", 	65 , 	424 , 	489 , 	11 , 	23 ," 	2,009 "," 	4,767 "," 	4,361 "," 	4,640 "," 	4,277 "," 	3,076 "," 	7,431 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,635 "," 	4,733 "," 	6,368 ", 	226 ," 	1,076 "," 	1,302 ", 	1 , 	76 ," 	4,639 "," 	10,623 "," 	8,580 "," 	10,466 "," 	8,391 "," 	3,224 "," 	12,203 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	931 ," 	3,780 "," 	4,711 ", 	127 , 	957 ," 	1,084 ", 	100 , 	- 0," 	3,113 "," 	6,309 "," 	5,183 "," 	6,161 "," 	5,092 "," 	2,401 "," 	7,561 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,490 "," 	5,347 "," 	6,837 ", 	256 ," 	1,282 "," 	1,538 ", 	474 , 	385 ," 	4,022 "," 	9,718 "," 	8,678 "," 	9,227 "," 	8,314 "," 	4,396 "," 	13,259 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,352 "," 	3,940 "," 	5,292 ", 	303 ," 	1,166 "," 	1,469 ", 	337 , 	1 ," 	3,269 "," 	7,996 "," 	7,619 "," 	7,588 "," 	7,106 "," 	2,259 "," 	10,562 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	884 ," 	3,138 "," 	4,022 ", 	140 , 	843 , 	983 , 	121 , 	506 ," 	2,803 "," 	6,735 "," 	5,635 "," 	6,474 "," 	5,328 "," 	3,657 "," 	9,086 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	922 ," 	3,075 "," 	3,997 ", 	128 , 	772 , 	900 , 	62 , 	43 ," 	3,432 "," 	6,082 "," 	5,418 "," 	5,610 "," 	5,064 "," 	3,262 "," 	8,800 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,218 "," 	4,288 "," 	5,506 ", 	204 ," 	1,044 "," 	1,248 ", 	127 , 	51 ," 	5,433 "," 	10,859 "," 	9,573 "," 	10,263 "," 	8,898 "," 	9,086 "," 	18,525 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	843 ," 	2,957 "," 	3,800 ", 	92 , 	591 , 	683 , 	8 , 	82 ," 	3,246 "," 	6,679 "," 	5,750 "," 	6,455 "," 	5,544 "," 	2,896 "," 	8,117 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	816 ," 	2,355 "," 	3,171 ", 	122 , 	460 , 	582 , 	1 , 	173 ," 	2,399 "," 	4,914 "," 	4,407 "," 	4,790 "," 	4,114 "," 	4,392 "," 	7,089 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,155 "," 	3,660 "," 	4,815 ", 	133 , 	552 , 	685 , 	5 ," 	1,557 "," 	4,269 "," 	7,388 "," 	7,087 "," 	7,214 "," 	6,731 "," 	5,192 "," 	12,147 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	746 ," 	2,475 "," 	3,221 ", 	110 , 	806 , 	916 , 	3 , 	5 ," 	2,165 "," 	4,163 "," 	3,992 "," 	3,806 "," 	3,545 "," 	2,549 "," 	6,297 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	675 ," 	2,362 "," 	3,037 ", 	101 , 	694 , 	795 , 	20 , 	163 ," 	1,613 "," 	5,954 "," 	4,438 "," 	5,605 "," 	4,277 "," 	2,574 "," 	6,988 "
,2009-10,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,636 "," 	4,236 "," 	5,872 ", 	301 ," 	1,109 "," 	1,410 ", 	46 , 	244 ," 	5,440 "," 	11,788 "," 	8,250 "," 	11,583 "," 	8,250 "," 	8,939 "," 	16,465 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	529 ," 	1,652 "," 	2,181 ", 	124 , 	481 , 	605 , 	- 0, 	94 ," 	1,480 "," 	2,905 "," 	2,722 "," 	2,837 "," 	2,652 "," 	1,783 "," 	4,930 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	764 ," 	2,945 "," 	3,709 ", 	108 , 	893 ," 	1,001 ", 	8 , 	1 ," 	2,544 "," 	5,320 "," 	4,523 "," 	5,276 "," 	4,490 "," 	2,660 "," 	7,659 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	627 ," 	1,570 "," 	2,197 ", 	102 , 	538 , 	640 , 	- 0, 	- 0," 	1,877 "," 	3,621 "," 	3,359 "," 	3,600 "," 	2,833 "," 	1,064 "," 	4,525 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	820 ," 	2,438 "," 	3,258 ", 	105 , 	572 , 	677 , 	- 0, 	3 ," 	2,357 "," 	5,427 "," 	4,485 "," 	4,610 "," 	4,078 "," 	2,782 "," 	6,768 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,020 "," 	5,760 "," 	7,780 ", 	270 ," 	1,394 "," 	1,664 ", 	188 , 	28 ," 	7,487 "," 	13,548 "," 	11,198 "," 	13,446 "," 	10,494 "," 	9,228 "," 	18,611 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,164 "," 	3,178 "," 	4,342 ", 	227 , 	920 ," 	1,147 ", 	- 0, 	48 ," 	3,349 "," 	7,675 "," 	6,084 "," 	6,880 "," 	5,825 "," 	2,841 "," 	9,474 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,116 "," 	3,096 "," 	4,212 ", 	162 ," 	1,066 "," 	1,228 ", 	- 0, 	312 ," 	3,145 "," 	6,944 "," 	5,339 "," 	6,423 "," 	4,983 "," 	3,059 "," 	7,587 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,803 "," 	5,117 "," 	6,920 ", 	314 ," 	1,429 "," 	1,743 ", 	146 , 	- 0," 	4,632 "," 	10,409 "," 	8,582 "," 	10,406 "," 	8,578 "," 	6,752 "," 	17,994 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	824 ," 	2,688 "," 	3,512 ", 	112 , 	805 , 	917 , 	42 , 	31 ," 	2,700 "," 	5,823 "," 	5,349 "," 	6,011 "," 	5,339 "," 	3,371 "," 	9,009 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,276 "," 	7,511 "," 	9,787 ", 	505 ," 	2,985 "," 	3,490 ", 	- 0, 	338 ," 	6,289 "," 	13,777 "," 	11,551 "," 	13,172 "," 	11,286 "," 	7,080 "," 	17,727 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,034 "," 	3,491 "," 	4,525 ", 	129 ," 	1,112 "," 	1,241 ", 	- 0, 	240 ," 	2,548 "," 	6,722 "," 	5,236 "," 	6,600 "," 	5,236 "," 	2,072 "," 	7,318 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	784 ," 	2,698 "," 	3,482 ", 	43 , 	749 , 	792 , 	- 0, 	7 ," 	2,670 "," 	5,436 "," 	4,682 "," 	5,427 "," 	4,862 "," 	1,207 "," 	6,518 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,446 "," 	5,032 "," 	6,478 ", 	294 ," 	1,632 "," 	1,926 ", 	699 , 	- 0," 	4,693 "," 	7,740 "," 	6,302 "," 	7,008 "," 	5,755 "," 	4,016 "," 	9,666 "
,2009-10,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	530 ," 	1,668 "," 	2,198 ", 	97 , 	486 , 	583 , 	- 0, 	2 ," 	1,285 "," 	2,848 "," 	2,443 "," 	2,648 "," 	2,247 "," 	1,698 "," 	4,340 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	654 ," 	2,100 "," 	2,754 ", 	120 , 	522 , 	642 , 	421 , 	8 ," 	2,662 "," 	5,349 "," 	4,473 "," 	5,215 "," 	4,352 "," 	2,157 "," 	7,318 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	345 ," 	1,091 "," 	1,436 ", 	52 , 	281 , 	333 , 	18 , 	- 0, 	890 ," 	2,255 "," 	2,135 "," 	2,190 "," 	2,132 ", 	729 ," 	3,582 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,935 "," 	6,974 "," 	8,909 ", 	263 ," 	2,272 "," 	2,535 ", 	232 , 	- 0," 	5,719 "," 	13,381 "," 	10,357 "," 	13,104 "," 	9,956 "," 	6,805 "," 	18,066 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	759 ," 	3,093 "," 	3,852 ", 	126 ," 	1,031 "," 	1,157 ", 	9 , 	16 ," 	2,438 "," 	5,075 "," 	4,134 "," 	5,038 "," 	4,052 "," 	2,257 "," 	6,239 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,063 "," 	5,936 "," 	7,999 ", 	243 ," 	1,264 "," 	1,507 ", 	735 , 	53 ," 	5,343 "," 	12,080 "," 	10,504 "," 	11,896 "," 	10,334 "," 	4,564 "," 	16,298 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,601 "," 	7,610 "," 	10,211 ", 	475 ," 	2,689 "," 	3,164 ", 	601 , 	- 0," 	5,800 "," 	15,645 "," 	14,418 "," 	14,270 "," 	13,588 "," 	5,239 "," 	18,522 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,553 "," 	5,891 "," 	7,444 ", 	200 ," 	2,418 "," 	2,618 ", 	29 , 	- 0," 	5,293 "," 	11,754 "," 	9,007 "," 	11,492 "," 	9,521 "," 	8,199 "," 	14,826 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	609 ," 	2,510 "," 	3,119 ", 	81 , 	948 ," 	1,029 ", 	22 , 	- 0," 	3,312 "," 	5,806 "," 	4,198 "," 	5,850 "," 	4,502 "," 	4,433 "," 	6,768 "
,2009-10,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,694 "," 	6,611 "," 	8,305 ", 	232 ," 	2,385 "," 	2,617 ", 	229 , 	10 ," 	5,037 "," 	10,335 "," 	9,500 "," 	10,091 "," 	9,155 "," 	4,485 "," 	13,601 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	387 ," 	1,349 "," 	1,736 ", 	74 , 	443 , 	517 , 	- 0, 	2 ," 	1,196 "," 	3,008 "," 	2,901 "," 	2,950 "," 	2,858 "," 	1,381 "," 	3,912 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	953 ," 	2,639 "," 	3,592 ", 	152 , 	556 , 	708 , 	- 0, 	242 ," 	2,985 "," 	7,222 "," 	7,294 "," 	5,661 "," 	5,773 "," 	4,290 "," 	10,238 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	776 ," 	2,931 "," 	3,707 ", 	112 ," 	1,022 "," 	1,134 ", 	- 0, 	5 ," 	2,212 "," 	4,166 "," 	2,781 "," 	4,109 "," 	2,658 "," 	3,207 "," 	6,808 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	566 ," 	2,660 "," 	3,226 ", 	94 , 	950 ," 	1,044 ", 	- 0, 	38 ," 	1,915 "," 	5,483 "," 	4,793 "," 	5,056 "," 	4,668 "," 	2,582 "," 	8,058 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	889 ," 	3,046 "," 	3,935 ", 	94 ," 	1,004 "," 	1,098 ", 	- 0, 	- 0," 	2,757 "," 	6,903 "," 	5,516 "," 	6,567 "," 	5,245 "," 	4,919 "," 	9,764 "
,2009-10,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	384 ," 	1,478 "," 	1,862 ", 	47 , 	487 , 	534 , 	- 0, 	7 ," 	1,221 "," 	2,142 "," 	1,383 "," 	2,109 "," 	1,274 "," 	1,761 "," 	3,920 "
