,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JULY,,,,England," 	144,940 "," 	477,674 "," 	622,614 "," 	23,120 "," 	144,366 "," 	167,486 "," 	23,607 "," 	458,096 "," 	1,039,442 "," 	864,466 "," 	986,708 "," 	818,848 "," 	534,076 "," 	1,389,422 "
,2010-11,JULY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,787 "," 	51,921 "," 	67,708 "," 	2,423 "," 	17,851 "," 	20,274 ", 	505 ," 	44,216 "," 	94,183 "," 	80,157 "," 	91,928 "," 	78,467 "," 	45,305 "," 	129,136 "
,2010-11,JULY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,422 "," 	3,810 "," 	6,232 ", 	694 ," 	2,225 "," 	2,919 ", 	1 ," 	1,689 ", 	921 ," 	1,755 ", 	921 ," 	1,750 "," 	1,574 "," 	5,469 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	900 ," 	2,771 "," 	3,671 ", 	169 , 	978 ," 	1,147 ", 	161 ," 	2,850 "," 	5,356 "," 	4,524 "," 	5,157 "," 	4,342 "," 	4,820 "," 	8,617 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	665 ," 	2,483 "," 	3,148 ", 	96 , 	814 , 	910 , 	113 ," 	2,561 "," 	4,680 "," 	4,033 "," 	4,493 "," 	3,866 "," 	2,829 "," 	6,850 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	276 , 	948 ," 	1,224 ", 	23 , 	262 , 	285 , 	5 ," 	1,135 "," 	1,606 "," 	1,281 "," 	1,555 "," 	1,234 ", 	987 ," 	2,142 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	547 ," 	1,960 "," 	2,507 ", 	72 , 	569 , 	641 , 	85 ," 	1,969 "," 	3,301 "," 	2,705 "," 	3,264 "," 	2,678 "," 	1,924 "," 	4,485 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	278 , 	903 ," 	1,181 ", 	51 , 	223 , 	274 , 	1 ," 	1,081 "," 	1,866 "," 	1,379 "," 	1,855 "," 	1,376 "," 	1,240 "," 	3,141 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	679 ," 	1,691 "," 	2,370 ", 	140 , 	431 , 	571 , 	459 ," 	2,227 "," 	4,561 "," 	3,689 "," 	4,431 "," 	3,589 "," 	2,661 "," 	6,509 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	515 ," 	1,858 "," 	2,373 ", 	51 , 	601 , 	652 , 	36 ," 	1,622 "," 	3,694 "," 	2,891 "," 	3,533 "," 	2,728 "," 	2,838 "," 	5,258 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,034 "," 	3,215 "," 	4,249 ", 	174 , 	984 ," 	1,158 ", 	98 ," 	2,907 "," 	5,802 "," 	4,377 "," 	5,657 "," 	4,326 "," 	5,095 "," 	8,121 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	428 ," 	1,402 "," 	1,830 ", 	109 , 	677 , 	786 , 	142 ," 	2,009 "," 	2,458 "," 	2,024 "," 	2,316 "," 	1,936 "," 	1,532 "," 	3,401 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,639 "," 	5,770 "," 	7,409 ", 	200 ," 	1,861 "," 	2,061 ", 	51 ," 	5,244 "," 	9,569 "," 	8,205 "," 	9,281 "," 	7,948 "," 	6,214 "," 	14,925 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	388 ," 	1,317 "," 	1,705 ", 	89 , 	651 , 	740 , 	137 ," 	1,568 "," 	2,332 "," 	1,900 "," 	2,229 "," 	1,836 "," 	1,409 "," 	3,190 "
,2010-11,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,088 "," 	3,711 "," 	4,799 ", 	144 ," 	1,169 "," 	1,313 ", 	136 ," 	3,329 "," 	6,410 "," 	5,602 "," 	6,347 "," 	5,554 "," 	3,719 "," 	9,430 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	736 ," 	1,969 "," 	2,705 ", 	100 , 	640 , 	740 , 	19 ," 	3,004 "," 	4,994 "," 	3,908 "," 	4,803 "," 	3,721 "," 	3,248 "," 	6,057 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,001 "," 	2,488 "," 	3,489 ", 	207 , 	646 , 	853 , 	32 ," 	2,970 "," 	5,866 "," 	4,728 "," 	5,747 "," 	4,632 "," 	4,084 "," 	7,651 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	956 ," 	3,316 "," 	4,272 ", 	124 ," 	1,238 "," 	1,362 ", 	118 ," 	3,126 "," 	6,573 "," 	5,504 "," 	6,479 "," 	5,420 "," 	3,990 "," 	9,098 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	410 ," 	1,908 "," 	2,318 ", 	27 , 	381 , 	408 , 	1 ," 	1,809 "," 	3,297 "," 	2,635 "," 	3,095 "," 	2,463 "," 	2,159 "," 	4,859 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	886 ," 	2,204 "," 	3,090 ", 	196 , 	763 , 	959 , 	6 ," 	2,306 "," 	6,528 "," 	5,299 "," 	6,135 "," 	4,939 "," 	3,179 "," 	8,099 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	518 ," 	1,677 "," 	2,195 ", 	43 , 	398 , 	441 , 	63 ," 	2,061 "," 	3,212 "," 	2,820 "," 	3,178 "," 	2,794 "," 	2,043 "," 	4,867 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	464 ," 	1,767 "," 	2,231 ", 	65 , 	379 , 	444 , 	57 ," 	1,954 "," 	4,217 "," 	3,477 "," 	3,999 "," 	3,286 "," 	2,178 "," 	5,436 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	665 ," 	2,224 "," 	2,889 ", 	96 , 	741 , 	837 , 	8 ," 	2,515 "," 	4,529 "," 	3,755 "," 	4,172 "," 	3,411 "," 	2,462 "," 	6,036 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	650 ," 	2,275 "," 	2,925 ", 	112 , 	882 , 	994 , 	8 ," 	1,803 "," 	4,072 "," 	3,276 "," 	3,989 "," 	3,213 "," 	2,574 "," 	5,682 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	736 ," 	2,249 "," 	2,985 ", 	82 , 	432 , 	514 , 	32 ," 	2,257 "," 	5,301 "," 	4,494 "," 	5,101 "," 	4,107 "," 	3,407 "," 	7,568 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,633 "," 	4,589 "," 	6,222 ", 	233 ," 	1,269 "," 	1,502 ", 	95 ," 	4,271 "," 	10,242 "," 	8,042 "," 	10,089 "," 	7,906 "," 	2,997 "," 	11,651 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,031 "," 	3,824 "," 	4,855 ", 	121 ," 	1,064 "," 	1,185 ", 	4 ," 	3,060 "," 	6,652 "," 	5,506 "," 	6,361 "," 	5,272 "," 	4,014 "," 	8,630 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,428 "," 	5,286 "," 	6,714 ", 	217 ," 	1,397 "," 	1,614 ", 	331 ," 	4,204 "," 	10,484 "," 	8,794 "," 	9,953 "," 	8,357 "," 	4,689 "," 	12,986 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,238 "," 	4,153 "," 	5,391 ", 	215 ," 	1,272 "," 	1,487 ", 	1 ," 	3,533 "," 	8,310 "," 	7,254 "," 	7,826 "," 	6,927 "," 	2,326 "," 	10,250 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	733 ," 	3,039 "," 	3,772 ", 	111 ," 	1,019 "," 	1,130 ", 	419 ," 	2,896 "," 	6,195 "," 	5,268 "," 	5,911 "," 	4,971 "," 	3,644 "," 	8,568 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	899 ," 	3,100 "," 	3,999 ", 	81 , 	806 , 	887 , 	137 ," 	3,494 "," 	6,333 "," 	5,007 "," 	5,909 "," 	4,673 "," 	3,436 "," 	8,070 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,205 "," 	4,484 "," 	5,689 ", 	185 ," 	1,213 "," 	1,398 ", 	227 ," 	5,313 "," 	11,596 "," 	9,839 "," 	10,986 "," 	9,182 "," 	9,709 "," 	17,025 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	926 ," 	3,096 "," 	4,022 ", 	95 , 	517 , 	612 , 	92 ," 	3,469 "," 	6,886 "," 	6,145 "," 	6,595 "," 	5,858 "," 	3,015 "," 	9,192 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	828 ," 	2,623 "," 	3,451 ", 	90 , 	523 , 	613 , 	171 ," 	2,259 "," 	4,591 "," 	3,986 "," 	4,467 "," 	3,919 "," 	4,411 "," 	7,046 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,152 "," 	3,934 "," 	5,086 ", 	140 , 	644 , 	784 ," 	1,613 "," 	4,471 "," 	7,820 "," 	6,998 "," 	7,751 "," 	6,908 "," 	5,012 "," 	12,227 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	739 ," 	2,552 "," 	3,291 ", 	132 , 	942 ," 	1,074 ", 	7 ," 	2,411 "," 	4,431 "," 	3,605 "," 	4,081 "," 	3,337 "," 	2,600 "," 	5,995 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	723 ," 	2,257 "," 	2,980 ", 	186 , 	708 , 	894 , 	136 ," 	1,867 "," 	5,455 "," 	4,386 "," 	5,390 "," 	4,254 "," 	2,847 "," 	6,573 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,526 "," 	4,167 "," 	5,693 ", 	278 ," 	1,338 "," 	1,616 ", 	202 ," 	6,030 "," 	11,739 "," 	8,531 "," 	11,268 "," 	8,047 "," 	8,688 "," 	15,540 "
,2010-11,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	483 ," 	1,639 "," 	2,122 ", 	119 , 	440 , 	559 , 	- 0," 	1,615 "," 	3,319 "," 	3,026 "," 	3,100 "," 	2,833 ", 	881 ," 	4,166 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	549 ," 	1,828 "," 	2,377 ", 	140 , 	697 , 	837 , 	82 ," 	1,371 "," 	2,935 "," 	2,501 "," 	2,888 "," 	2,453 "," 	1,589 "," 	4,480 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	824 ," 	2,630 "," 	3,454 ", 	95 , 	741 , 	836 , 	- 0," 	2,765 "," 	5,012 "," 	4,444 "," 	4,951 "," 	4,375 "," 	2,321 "," 	7,659 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	665 ," 	1,718 "," 	2,383 ", 	106 , 	538 , 	644 , 	2 ," 	2,071 "," 	3,653 "," 	3,106 "," 	3,622 "," 	3,047 "," 	1,192 "," 	5,146 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	655 ," 	2,539 "," 	3,194 ", 	70 , 	433 , 	503 , 	4 ," 	2,447 "," 	5,462 "," 	4,303 "," 	5,434 "," 	4,223 "," 	3,274 "," 	7,528 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,931 "," 	5,192 "," 	7,123 ", 	195 ," 	1,011 "," 	1,206 ", 	33 ," 	7,662 "," 	13,232 "," 	10,946 "," 	13,105 "," 	10,253 "," 	9,199 "," 	17,493 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,185 "," 	3,322 "," 	4,507 ", 	187 ," 	1,074 "," 	1,261 ", 	35 ," 	3,608 "," 	7,705 "," 	5,731 "," 	7,171 "," 	5,612 "," 	2,697 "," 	9,643 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,099 "," 	3,103 "," 	4,202 ", 	157 ," 	1,144 "," 	1,301 ", 	319 ," 	3,467 "," 	7,633 "," 	5,659 "," 	7,306 "," 	5,268 "," 	2,712 "," 	7,797 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,537 "," 	4,771 "," 	6,308 ", 	307 ," 	1,270 "," 	1,577 ", 	16 ," 	5,329 "," 	10,509 "," 	8,660 "," 	9,659 "," 	7,837 "," 	6,301 "," 	18,381 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	828 ," 	2,559 "," 	3,387 ", 	89 , 	696 , 	785 , 	29 ," 	2,987 "," 	5,819 "," 	5,826 "," 	5,792 "," 	5,769 "," 	2,091 "," 	9,568 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,245 "," 	7,849 "," 	10,094 ", 	461 ," 	2,895 "," 	3,356 ", 	79 ," 	6,337 "," 	15,077 "," 	12,296 "," 	14,661 "," 	12,000 "," 	7,217 "," 	18,274 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,158 "," 	3,720 "," 	4,878 ", 	136 ," 	1,102 "," 	1,238 ", 	271 ," 	2,576 "," 	6,877 "," 	5,727 "," 	6,755 "," 	5,610 "," 	1,810 "," 	7,891 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	840 ," 	2,937 "," 	3,777 ", 	70 , 	748 , 	818 , 	5 ," 	2,784 "," 	6,300 "," 	5,322 "," 	6,072 "," 	5,132 "," 	1,198 "," 	7,115 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,331 "," 	5,148 "," 	6,479 ", 	208 ," 	1,768 "," 	1,976 ", 	- 0," 	5,724 "," 	7,527 "," 	6,281 "," 	7,126 "," 	5,801 "," 	5,597 "," 	11,658 "
,2010-11,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	517 ," 	1,720 "," 	2,237 ", 	112 , 	573 , 	685 , 	3 ," 	1,259 "," 	2,982 "," 	2,410 "," 	2,738 "," 	2,229 "," 	1,709 "," 	4,153 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	850 ," 	2,205 "," 	3,055 ", 	143 , 	729 , 	872 , 	7 ," 	2,798 "," 	5,125 "," 	4,688 "," 	5,015 "," 	4,581 "," 	1,771 "," 	7,045 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	318 , 	925 ," 	1,243 ", 	34 , 	202 , 	236 , 	- 0, 	818 ," 	1,789 "," 	1,877 "," 	1,745 "," 	1,831 ", 	649 ," 	2,976 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,898 "," 	7,104 "," 	9,002 ", 	241 ," 	2,229 "," 	2,470 ", 	350 ," 	6,184 "," 	13,764 "," 	11,815 "," 	13,331 "," 	11,212 "," 	5,410 "," 	18,480 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	748 ," 	3,108 "," 	3,856 ", 	150 ," 	1,067 "," 	1,217 ", 	25 ," 	2,755 "," 	4,157 "," 	3,606 "," 	4,100 "," 	3,456 "," 	1,703 "," 	5,674 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,010 "," 	6,291 "," 	8,301 ", 	239 ," 	1,846 "," 	2,085 ", 	45 ," 	5,340 "," 	11,492 "," 	10,959 "," 	11,321 "," 	10,657 "," 	4,141 "," 	16,160 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,188 "," 	8,026 "," 	10,214 ", 	306 ," 	3,048 "," 	3,354 ", 	291 ," 	6,202 "," 	15,502 "," 	12,833 "," 	15,036 "," 	11,979 "," 	6,086 "," 	17,816 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,609 "," 	5,718 "," 	7,327 ", 	248 ," 	2,308 "," 	2,556 ", 	82 ," 	5,225 "," 	11,305 "," 	8,713 "," 	11,173 "," 	8,594 "," 	7,208 "," 	13,512 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	689 ," 	2,302 "," 	2,991 ", 	124 , 	930 ," 	1,054 ", 	- 0," 	3,372 "," 	5,947 "," 	4,182 "," 	5,947 "," 	4,182 "," 	4,285 "," 	6,558 "
,2010-11,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,839 "," 	6,805 "," 	8,644 ", 	387 ," 	2,438 "," 	2,825 ", 	44 ," 	5,127 "," 	11,030 "," 	9,776 "," 	10,866 "," 	9,616 "," 	5,015 "," 	13,580 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	429 ," 	1,356 "," 	1,785 ", 	71 , 	433 , 	504 , 	14 ," 	1,210 "," 	3,233 "," 	3,294 "," 	3,012 "," 	3,217 "," 	1,466 "," 	4,495 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,044 "," 	2,635 "," 	3,679 ", 	253 , 	589 , 	842 , 	219 ," 	3,424 "," 	8,510 "," 	7,899 "," 	6,881 "," 	6,318 "," 	3,781 "," 	10,985 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	800 ," 	2,922 "," 	3,722 ", 	105 ," 	1,177 "," 	1,282 ", 	39 ," 	2,208 "," 	5,696 "," 	3,441 "," 	5,015 "," 	3,337 "," 	4,109 "," 	7,835 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	650 ," 	2,774 "," 	3,424 ", 	108 , 	781 , 	889 , 	55 ," 	2,396 "," 	5,817 "," 	4,624 "," 	5,421 "," 	4,231 "," 	2,342 "," 	7,834 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	868 ," 	3,202 "," 	4,070 ", 	90 ," 	1,156 "," 	1,246 ", 	4 ," 	2,683 "," 	7,324 "," 	5,589 "," 	7,022 "," 	5,415 "," 	4,546 "," 	9,415 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	424 ," 	1,431 "," 	1,855 ", 	58 , 	494 , 	552 , 	4 ," 	1,286 "," 	3,161 "," 	1,377 "," 	2,737 "," 	1,350 "," 	2,437 "," 	4,528 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	673 ," 	2,433 "," 	3,106 ", 	146 , 	986 ," 	1,132 ", 	6 ," 	2,345 "," 	5,397 "," 	5,357 "," 	4,991 "," 	4,459 "," 	2,422 "," 	7,929 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	623 ," 	1,802 "," 	2,425 ", 	114 , 	394 , 	508 , 	543 ," 	2,954 "," 	6,170 "," 	5,481 "," 	5,232 "," 	4,432 "," 	3,648 "," 	8,487 "
,2010-11,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	892 ," 	3,308 "," 	4,200 ", 	144 ," 	1,231 "," 	1,375 ", 	60 ," 	2,781 "," 	5,060 "," 	5,211 "," 	4,297 "," 	4,632 "," 	1,518 "," 	8,177 "
