,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JANUARY,,,,England," 	115,354 "," 	450,832 "," 	566,186 "," 	18,374 "," 	137,001 "," 	155,375 "," 	22,245 "," 	463,837 "," 	897,146 "," 	765,527 "," 	844,109 "," 	724,866 "," 	498,270 "," 	1,264,870 "
,2010-11,JANUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	12,504 "," 	49,257 "," 	61,761 "," 	2,042 "," 	16,698 "," 	18,740 ", 	796 ," 	43,520 "," 	82,805 "," 	72,927 "," 	80,888 "," 	71,580 "," 	40,890 "," 	119,866 "
,2010-11,JANUARY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	1,987 "," 	5,412 "," 	7,399 ", 	541 ," 	3,866 "," 	4,407 ", 	1 ," 	1,739 ", 	731 ," 	1,582 ", 	731 ," 	1,582 "," 	1,781 "," 	5,145 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	774 ," 	2,802 "," 	3,576 ", 	148 , 	982 ," 	1,130 ", 	133 ," 	3,016 "," 	4,698 "," 	4,317 "," 	4,526 "," 	4,157 "," 	4,639 "," 	8,680 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	613 ," 	2,451 "," 	3,064 ", 	91 , 	795 , 	886 , 	113 ," 	2,672 "," 	3,858 "," 	3,591 "," 	3,675 "," 	3,423 "," 	2,601 "," 	6,342 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	241 , 	856 ," 	1,097 ", 	19 , 	232 , 	251 , 	4 ," 	1,041 "," 	1,378 "," 	1,063 "," 	1,304 "," 	1,005 ", 	832 ," 	1,785 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	431 ," 	1,916 "," 	2,347 ", 	59 , 	608 , 	667 , 	39 ," 	1,906 "," 	3,038 "," 	2,470 "," 	3,010 "," 	2,447 "," 	1,668 "," 	4,111 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	195 , 	839 ," 	1,034 ", 	36 , 	173 , 	209 , 	- 0," 	1,080 "," 	1,647 "," 	1,142 "," 	1,612 "," 	1,133 "," 	1,118 "," 	2,588 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	531 ," 	1,683 "," 	2,214 ", 	103 , 	433 , 	536 , 	426 ," 	2,334 "," 	4,062 "," 	3,287 "," 	3,922 "," 	3,198 "," 	2,298 "," 	5,653 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	457 ," 	1,831 "," 	2,288 ", 	50 , 	658 , 	708 , 	49 ," 	1,686 "," 	3,242 "," 	2,669 "," 	3,066 "," 	2,512 "," 	2,645 "," 	4,868 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	875 ," 	3,225 "," 	4,100 ", 	154 , 	890 ," 	1,044 ", 	81 ," 	2,974 "," 	5,184 "," 	3,709 "," 	5,063 "," 	3,665 "," 	4,807 "," 	7,226 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	336 ," 	1,268 "," 	1,604 ", 	64 , 	576 , 	640 , 	85 ," 	2,016 "," 	2,231 "," 	1,635 "," 	2,118 "," 	1,552 "," 	1,531 "," 	3,072 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,470 "," 	5,293 "," 	6,763 ", 	254 ," 	1,601 "," 	1,855 ", 	56 ," 	5,537 "," 	8,342 "," 	7,105 "," 	7,905 "," 	6,893 "," 	5,868 "," 	13,388 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	294 ," 	1,298 "," 	1,592 ", 	49 , 	604 , 	653 , 	125 ," 	1,537 "," 	2,143 "," 	1,629 "," 	2,026 "," 	1,536 "," 	1,295 "," 	2,821 "
,2010-11,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	847 ," 	3,708 "," 	4,555 ", 	109 ," 	1,141 "," 	1,250 ", 	126 ," 	3,502 "," 	5,383 "," 	5,086 "," 	5,345 "," 	5,046 "," 	3,355 "," 	8,713 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	535 ," 	1,851 "," 	2,386 ", 	111 , 	528 , 	639 , 	21 ," 	3,038 "," 	3,959 "," 	3,583 "," 	3,754 "," 	3,396 "," 	2,970 "," 	5,594 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	701 ," 	2,343 "," 	3,044 ", 	200 , 	590 , 	790 , 	27 ," 	3,164 "," 	5,058 "," 	4,067 "," 	4,899 "," 	3,998 "," 	3,723 "," 	6,634 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	697 ," 	3,092 "," 	3,789 ", 	107 ," 	1,080 "," 	1,187 ", 	127 ," 	2,982 "," 	5,946 "," 	4,727 "," 	5,841 "," 	4,651 "," 	3,266 "," 	7,957 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	287 ," 	1,622 "," 	1,909 ", 	18 , 	365 , 	383 , 	- 0," 	1,935 "," 	2,783 "," 	2,092 "," 	2,595 "," 	1,916 "," 	2,017 "," 	4,291 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	588 ," 	1,982 "," 	2,570 ", 	133 , 	505 , 	638 , 	9 ," 	2,549 "," 	5,789 "," 	4,810 "," 	5,366 "," 	4,498 "," 	2,893 "," 	7,441 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	409 ," 	1,534 "," 	1,943 ", 	53 , 	322 , 	375 , 	119 ," 	2,037 "," 	2,524 "," 	1,868 "," 	2,500 "," 	1,847 "," 	1,712 "," 	3,598 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	332 ," 	1,303 "," 	1,635 ", 	37 , 	238 , 	275 , 	30 ," 	2,073 "," 	3,862 "," 	2,842 "," 	3,613 "," 	2,634 "," 	1,916 "," 	4,681 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	509 ," 	1,871 "," 	2,380 ", 	79 , 	644 , 	723 , 	12 ," 	2,682 "," 	3,398 "," 	2,882 "," 	3,068 "," 	2,653 "," 	2,353 "," 	5,342 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	497 ," 	1,753 "," 	2,250 ", 	108 , 	633 , 	741 , 	5 ," 	1,846 "," 	2,515 "," 	2,536 "," 	2,451 "," 	2,478 "," 	1,729 "," 	4,739 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	561 ," 	1,999 "," 	2,560 ", 	91 , 	455 , 	546 , 	23 ," 	2,492 "," 	4,467 "," 	3,466 "," 	4,270 "," 	3,307 "," 	3,758 "," 	6,831 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,252 "," 	4,541 "," 	5,793 ", 	170 ," 	1,262 "," 	1,432 ", 	110 ," 	4,567 "," 	9,207 "," 	7,521 "," 	9,066 "," 	7,344 "," 	2,852 "," 	11,247 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	735 ," 	3,661 "," 	4,396 ", 	101 , 	936 ," 	1,037 ", 	15 ," 	3,294 "," 	5,645 "," 	4,916 "," 	5,449 "," 	4,707 "," 	3,510 "," 	8,000 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,032 "," 	4,913 "," 	5,945 ", 	155 ," 	1,191 "," 	1,346 ", 	345 ," 	4,396 "," 	8,793 "," 	7,657 "," 	8,233 "," 	7,349 "," 	4,361 "," 	11,759 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,012 "," 	3,827 "," 	4,839 ", 	181 ," 	1,037 "," 	1,218 ", 	- 0," 	3,580 "," 	7,537 "," 	6,611 "," 	7,071 "," 	6,216 "," 	2,082 "," 	9,356 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	662 ," 	2,877 "," 	3,539 ", 	60 , 	686 , 	746 , 	481 ," 	2,973 "," 	5,866 "," 	4,634 "," 	5,558 "," 	4,328 "," 	3,184 "," 	7,638 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	748 ," 	2,695 "," 	3,443 ", 	98 , 	475 , 	573 , 	141 ," 	3,608 "," 	5,505 "," 	4,279 "," 	5,142 "," 	3,947 "," 	4,951 "," 	6,976 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT, 	991 ," 	3,992 "," 	4,983 ", 	118 , 	939 ," 	1,057 ", 	206 ," 	5,529 "," 	10,462 "," 	8,294 "," 	9,786 "," 	7,689 "," 	8,229 "," 	16,747 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	613 ," 	2,415 "," 	3,028 ", 	57 , 	433 , 	490 , 	133 ," 	3,464 "," 	5,730 "," 	4,770 "," 	5,419 "," 	4,525 "," 	2,863 "," 	7,513 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	527 ," 	2,390 "," 	2,917 ", 	61 , 	507 , 	568 , 	209 ," 	2,368 "," 	4,166 "," 	3,467 "," 	4,053 "," 	3,388 "," 	4,091 "," 	6,270 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	744 ," 	3,364 "," 	4,108 ", 	111 , 	537 , 	648 ," 	1,467 "," 	4,433 "," 	6,797 "," 	5,814 "," 	6,741 "," 	5,742 "," 	4,429 "," 	10,190 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	521 ," 	2,125 "," 	2,646 ", 	110 , 	767 , 	877 , 	3 ," 	2,424 "," 	3,590 "," 	3,100 "," 	3,331 "," 	2,884 "," 	2,125 "," 	5,676 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	504 ," 	2,164 "," 	2,668 ", 	106 , 	703 , 	809 , 	140 ," 	2,037 "," 	4,871 "," 	4,086 "," 	4,823 "," 	3,986 "," 	2,428 "," 	6,424 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,126 "," 	3,959 "," 	5,085 ", 	241 ," 	1,327 "," 	1,568 ", 	218 ," 	6,093 "," 	8,199 "," 	7,191 "," 	7,746 "," 	6,782 "," 	7,767 "," 	14,092 "
,2010-11,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	389 ," 	1,466 "," 	1,855 ", 	74 , 	293 , 	367 , 	2 ," 	1,627 "," 	3,255 "," 	2,742 "," 	3,060 "," 	2,582 ", 	858 ," 	3,793 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	499 ," 	1,559 "," 	2,058 ", 	131 , 	467 , 	598 , 	79 ," 	1,411 "," 	2,112 "," 	2,013 "," 	2,073 "," 	1,966 "," 	1,456 "," 	4,034 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	598 ," 	2,574 "," 	3,172 ", 	63 , 	740 , 	803 , 	- 0," 	2,737 "," 	4,324 "," 	4,036 "," 	4,272 "," 	3,987 "," 	2,146 "," 	6,972 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	555 ," 	1,595 "," 	2,150 ", 	96 , 	544 , 	640 , 	- 0," 	2,175 "," 	3,324 "," 	2,639 "," 	3,254 "," 	2,593 "," 	1,111 "," 	4,816 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	490 ," 	2,330 "," 	2,820 ", 	68 , 	429 , 	497 , 	2 ," 	2,536 "," 	4,755 "," 	4,000 "," 	4,727 "," 	3,977 "," 	2,703 "," 	6,985 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,804 "," 	5,477 "," 	7,281 ", 	200 , 	925 ," 	1,125 ", 	18 ," 	8,295 "," 	11,777 "," 	9,979 "," 	11,648 "," 	9,374 "," 	8,822 "," 	17,174 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	946 ," 	3,276 "," 	4,222 ", 	189 ," 	1,043 "," 	1,232 ", 	8 ," 	3,826 "," 	7,066 "," 	5,733 "," 	6,624 "," 	5,548 "," 	2,657 "," 	9,213 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	807 ," 	3,050 "," 	3,857 ", 	144 , 	969 ," 	1,113 ", 	144 ," 	3,623 "," 	6,435 "," 	5,617 "," 	6,201 "," 	5,337 "," 	3,098 "," 	7,943 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,091 "," 	4,848 "," 	5,939 ", 	232 ," 	1,206 "," 	1,438 ", 	11 ," 	4,960 "," 	7,493 "," 	7,883 "," 	6,593 "," 	7,122 "," 	6,177 "," 	16,514 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	622 ," 	2,436 "," 	3,058 ", 	67 , 	731 , 	798 , 	24 ," 	3,223 "," 	5,684 "," 	4,648 "," 	5,667 "," 	4,640 "," 	2,706 "," 	7,671 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,800 "," 	7,456 "," 	9,256 ", 	324 ," 	2,836 "," 	3,160 ", 	245 ," 	7,170 "," 	13,051 "," 	11,433 "," 	12,638 "," 	11,168 "," 	6,217 "," 	17,146 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	855 ," 	3,569 "," 	4,424 ", 	109 ," 	1,178 "," 	1,287 ", 	265 ," 	2,775 "," 	5,778 "," 	4,981 "," 	5,684 "," 	4,918 "," 	1,736 "," 	7,034 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	708 ," 	2,899 "," 	3,607 ", 	63 , 	802 , 	865 , 	6 ," 	2,963 "," 	5,554 "," 	4,641 "," 	5,360 "," 	4,487 "," 	1,080 "," 	6,318 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,170 "," 	4,908 "," 	6,078 ", 	185 ," 	1,763 "," 	1,948 ", 	1 ," 	5,869 "," 	6,938 "," 	6,136 "," 	6,512 "," 	5,624 "," 	5,686 "," 	11,201 "
,2010-11,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	428 ," 	1,590 "," 	2,018 ", 	79 , 	535 , 	614 , 	5 ," 	1,261 "," 	2,546 "," 	1,997 "," 	2,284 "," 	1,813 "," 	1,627 "," 	3,680 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	685 ," 	2,139 "," 	2,824 ", 	139 , 	764 , 	903 , 	3 ," 	2,830 "," 	4,009 "," 	3,767 "," 	3,888 "," 	3,653 "," 	1,657 "," 	6,201 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	212 , 	899 ," 	1,111 ", 	19 , 	270 , 	289 , 	- 0, 	999 ," 	1,832 "," 	1,641 "," 	1,761 "," 	1,555 ", 	792 ," 	2,560 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,305 "," 	6,623 "," 	7,928 ", 	156 ," 	2,006 "," 	2,162 ", 	333 ," 	6,593 "," 	11,355 "," 	9,832 "," 	11,061 "," 	9,581 "," 	5,117 "," 	16,579 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	495 ," 	2,707 "," 	3,202 ", 	104 ," 	1,009 "," 	1,113 ", 	12 ," 	2,807 "," 	3,446 "," 	2,688 "," 	3,404 "," 	2,598 "," 	1,472 "," 	4,579 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,643 "," 	5,844 "," 	7,487 ", 	199 ," 	1,828 "," 	2,027 ", 	31 ," 	5,501 "," 	9,255 "," 	8,611 "," 	9,085 "," 	8,441 "," 	3,753 "," 	13,464 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,825 "," 	7,731 "," 	9,556 ", 	241 ," 	3,003 "," 	3,244 ", 	197 ," 	6,186 "," 	14,012 "," 	11,776 "," 	13,382 "," 	11,096 "," 	5,939 "," 	16,849 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,210 "," 	5,470 "," 	6,680 ", 	165 ," 	2,143 "," 	2,308 ", 	66 ," 	5,259 "," 	9,370 "," 	7,193 "," 	9,288 "," 	7,133 "," 	6,975 "," 	11,891 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	487 ," 	2,172 "," 	2,659 ", 	100 , 	784 , 	884 , 	- 0," 	3,309 "," 	5,092 "," 	3,586 "," 	5,090 "," 	3,582 "," 	3,988 "," 	5,686 "
,2010-11,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,458 "," 	6,288 "," 	7,746 ", 	308 ," 	2,176 "," 	2,484 ", 	38 ," 	5,047 "," 	9,607 "," 	8,741 "," 	9,427 "," 	8,597 "," 	4,201 "," 	12,607 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	343 ," 	1,300 "," 	1,643 ", 	47 , 	464 , 	511 , 	17 ," 	1,359 "," 	2,921 "," 	2,906 "," 	2,756 "," 	2,853 "," 	1,375 "," 	4,014 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	928 ," 	2,417 "," 	3,345 ", 	183 , 	501 , 	684 , 	213 ," 	3,348 "," 	7,053 "," 	6,651 "," 	5,819 "," 	5,570 "," 	3,652 "," 	10,050 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	644 ," 	2,957 "," 	3,601 ", 	105 ," 	1,175 "," 	1,280 ", 	52 ," 	2,300 "," 	4,925 "," 	3,344 "," 	4,339 "," 	3,234 "," 	3,092 "," 	7,099 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	476 ," 	2,514 "," 	2,990 ", 	95 , 	961 ," 	1,056 ", 	39 ," 	2,255 "," 	5,195 "," 	4,015 "," 	4,794 "," 	3,694 "," 	2,349 "," 	7,044 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	723 ," 	2,837 "," 	3,560 ", 	52 , 	967 ," 	1,019 ", 	3 ," 	2,970 "," 	6,160 "," 	5,060 "," 	6,087 "," 	5,001 "," 	4,496 "," 	8,564 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	287 ," 	1,372 "," 	1,659 ", 	48 , 	475 , 	523 , 	8 ," 	1,347 "," 	2,746 "," 	1,238 "," 	2,346 "," 	1,222 "," 	2,022 "," 	3,814 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	538 ," 	2,426 "," 	2,964 ", 	95 ," 	1,098 "," 	1,193 ", 	7 ," 	2,428 "," 	4,657 "," 	4,423 "," 	4,191 "," 	3,680 "," 	2,183 "," 	7,104 "
,2010-11,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	470 ," 	1,730 "," 	2,200 ", 	86 , 	387 , 	473 , 	450 ," 	2,812 "," 	5,213 "," 	4,299 "," 	4,367 "," 	3,452 "," 	3,887 "," 	7,415 "
