,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,NOVEMBER,,,,England," 	143,021 "," 	414,948 "," 	557,969 "," 	22,563 "," 	119,263 "," 	141,826 "," 	9,370 "," 	17,065 "," 	422,489 "," 	841,257 "," 	750,375 "," 	806,813 "," 	708,597 "," 	452,756 "," 	1,171,818 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,692 "," 	5,112 "," 	6,804 ", 	284 ," 	1,561 "," 	1,845 ", 	- 0, 	34 ," 	4,880 "," 	8,371 "," 	7,619 "," 	8,143 "," 	7,404 "," 	5,271 "," 	11,977 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	362 ," 	1,255 "," 	1,617 ", 	96 , 	698 , 	794 , 	95 , 	- 0," 	1,273 "," 	1,979 "," 	1,564 "," 	1,918 "," 	1,519 ", 	954 ," 	2,945 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,051 "," 	3,239 "," 	4,290 ", 	115 ," 	1,128 "," 	1,243 ", 	74 , 	7 ," 	3,086 "," 	5,036 "," 	4,941 "," 	5,019 "," 	4,922 "," 	2,888 "," 	7,969 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	473 ," 	1,198 "," 	1,671 ", 	98 , 	284 , 	382 , 	31 , 	1 ," 	1,539 "," 	2,744 "," 	2,167 "," 	2,507 "," 	1,954 "," 	1,416 "," 	3,019 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	779 ," 	1,601 "," 	2,380 ", 	132 , 	416 , 	548 , 	64 , 	21 ," 	2,564 "," 	3,588 "," 	2,946 "," 	3,518 "," 	1,884 "," 	3,218 "," 	4,669 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,079 "," 	2,240 "," 	3,319 ", 	186 , 	477 , 	663 , 	71 , 	- 0," 	2,890 "," 	4,671 "," 	3,870 "," 	4,981 "," 	4,163 "," 	3,296 "," 	7,089 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	883 ," 	2,816 "," 	3,699 ", 	103 , 	787 , 	890 , 	- 0, 	116 ," 	2,903 "," 	5,585 "," 	4,783 "," 	5,340 "," 	4,721 "," 	3,134 "," 	7,708 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	419 ," 	2,082 "," 	2,501 ", 	24 , 	526 , 	550 , 	7 , 	2 ," 	1,845 "," 	2,454 "," 	1,910 "," 	2,340 "," 	1,858 "," 	1,675 "," 	3,305 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	738 ," 	1,791 "," 	2,529 ", 	91 , 	321 , 	412 , 	2 , 	14 ," 	2,371 "," 	4,949 "," 	4,301 "," 	4,772 "," 	4,194 "," 	2,519 "," 	6,873 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	452 ," 	1,480 "," 	1,932 ", 	32 , 	306 , 	338 , 	11 , 	2 ," 	1,926 "," 	2,284 "," 	2,190 "," 	2,261 "," 	2,166 "," 	1,374 "," 	3,440 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	412 ," 	1,379 "," 	1,791 ", 	50 , 	275 , 	325 , 	34 , 	1 ," 	2,234 "," 	3,557 "," 	2,882 "," 	3,448 "," 	2,785 "," 	1,609 "," 	4,303 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	774 ," 	2,092 "," 	2,866 ", 	88 , 	690 , 	778 , 	- 0, 	4 ," 	2,293 "," 	3,605 "," 	3,211 "," 	3,315 "," 	2,946 "," 	2,080 "," 	4,797 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	607 ," 	1,916 "," 	2,523 ", 	86 , 	526 , 	612 , 	1 , 	19 ," 	1,763 "," 	3,097 "," 	2,757 "," 	2,834 "," 	2,485 "," 	1,716 "," 	3,985 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	751 ," 	1,978 "," 	2,729 ", 	165 , 	325 , 	490 , 	2 , 	24 ," 	2,148 "," 	4,421 "," 	3,927 "," 	4,186 "," 	3,717 "," 	2,488 "," 	6,265 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,693 "," 	4,066 "," 	5,759 ", 	244 , 	887 ," 	1,131 ", 	- 0, 	45 ," 	4,491 "," 	9,198 "," 	8,054 "," 	9,006 "," 	7,775 "," 	2,569 "," 	11,107 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	959 ," 	3,951 "," 	4,910 ", 	106 ," 	1,136 "," 	1,242 ", 	67 , 	10 ," 	2,991 "," 	5,299 "," 	4,607 "," 	5,116 "," 	4,491 "," 	1,950 "," 	6,862 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,511 "," 	4,592 "," 	6,103 ", 	238 ," 	1,042 "," 	1,280 ", 	393 , 	342 ," 	4,166 "," 	8,746 "," 	7,296 "," 	8,285 "," 	7,002 "," 	3,867 "," 	11,038 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,325 "," 	3,495 "," 	4,820 ", 	277 , 	988 ," 	1,265 ", 	250 , 	1 ," 	3,426 "," 	7,450 "," 	6,137 "," 	6,999 "," 	5,715 "," 	4,151 "," 	8,654 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	817 ," 	3,033 "," 	3,850 ", 	127 , 	862 , 	989 , 	549 , 	21 ," 	3,235 "," 	5,366 "," 	4,784 "," 	5,181 "," 	4,567 "," 	3,786 "," 	7,499 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	980 ," 	2,649 "," 	3,629 ", 	128 , 	664 , 	792 , 	62 , 	- 0," 	3,509 "," 	5,227 "," 	4,838 "," 	4,915 "," 	4,513 "," 	2,872 "," 	7,201 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,218 "," 	3,811 "," 	5,029 ", 	186 , 	846 ," 	1,032 ", 	153 , 	4 ," 	6,045 "," 	8,133 "," 	7,298 "," 	8,057 "," 	7,173 "," 	7,923 "," 	14,426 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	781 ," 	2,511 "," 	3,292 ", 	47 , 	427 , 	474 , 	22 , 	- 0," 	3,515 "," 	5,630 "," 	4,627 "," 	5,393 "," 	4,431 "," 	2,108 "," 	6,422 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	785 ," 	1,924 "," 	2,709 ", 	187 , 	352 , 	539 , 	1 , 	57 ," 	2,184 "," 	4,197 "," 	3,905 "," 	4,085 "," 	3,699 "," 	3,532 "," 	5,776 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,127 "," 	3,508 "," 	4,635 ", 	133 , 	489 , 	622 , 	1 ," 	1,382 "," 	4,249 "," 	6,977 "," 	6,457 "," 	6,597 "," 	6,074 "," 	4,411 "," 	10,496 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	675 ," 	2,286 "," 	2,961 ", 	103 , 	733 , 	836 , 	- 0, 	6 ," 	2,081 "," 	3,720 "," 	3,533 "," 	3,360 "," 	3,124 "," 	2,197 "," 	4,803 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	700 ," 	2,115 "," 	2,815 ", 	105 , 	541 , 	646 , 	8 , 	153 ," 	1,478 "," 	4,748 "," 	4,461 "," 	4,583 "," 	4,460 "," 	2,033 "," 	5,577 "
,2008-09,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,519 "," 	3,848 "," 	5,367 ", 	259 , 	955 ," 	1,214 ", 	17 , 	217 ," 	5,264 "," 	9,870 "," 	7,285 "," 	9,210 "," 	6,908 "," 	7,316 "," 	13,535 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	487 ," 	1,544 "," 	2,031 ", 	101 , 	423 , 	524 , 	- 0, 	142 ," 	1,286 "," 	2,200 "," 	2,032 "," 	2,156 "," 	1,972 "," 	1,261 "," 	3,835 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	857 ," 	2,516 "," 	3,373 ", 	113 , 	655 , 	768 , 	16 , 	- 0," 	2,548 "," 	4,065 "," 	3,853 "," 	4,027 "," 	3,815 "," 	2,180 "," 	6,484 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	609 ," 	1,549 "," 	2,158 ", 	94 , 	523 , 	617 , 	- 0, 	- 0," 	1,891 "," 	3,131 "," 	2,608 "," 	3,038 "," 	2,192 "," 	1,002 "," 	3,953 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	784 ," 	2,043 "," 	2,827 ", 	112 , 	783 , 	895 , 	- 0, 	- 0," 	2,472 "," 	4,142 "," 	4,079 "," 	4,122 "," 	4,070 "," 	2,320 "," 	6,671 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,969 "," 	5,119 "," 	7,088 ", 	228 ," 	1,301 "," 	1,529 ", 	208 , 	30 ," 	6,839 "," 	10,562 "," 	9,658 "," 	10,509 "," 	9,131 "," 	8,426 "," 	15,121 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,067 "," 	2,724 "," 	3,791 ", 	206 , 	730 , 	936 , 	- 0, 	39 ," 	3,365 "," 	6,066 "," 	5,172 "," 	5,503 "," 	4,995 "," 	2,453 "," 	8,181 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,090 "," 	2,539 "," 	3,629 ", 	259 , 	745 ," 	1,004 ", 	- 0, 	295 ," 	3,126 "," 	5,474 "," 	4,921 "," 	5,163 "," 	4,760 "," 	2,421 "," 	6,935 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,675 "," 	4,664 "," 	6,339 ", 	315 ," 	1,415 "," 	1,730 ", 	118 , 	1 ," 	4,522 "," 	8,965 "," 	8,152 "," 	8,149 "," 	7,530 "," 	5,998 "," 	15,214 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	734 ," 	2,116 "," 	2,850 ", 	101 , 	628 , 	729 , 	49 , 	87 ," 	2,604 "," 	4,440 "," 	4,667 "," 	5,125 "," 	4,625 "," 	2,965 "," 	7,782 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,856 "," 	5,439 "," 	8,295 ", 	930 ," 	1,611 "," 	2,541 ", 	- 0, 	304 ," 	5,829 "," 	11,707 "," 	10,198 "," 	11,088 "," 	10,001 "," 	5,910 "," 	16,068 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,047 "," 	3,020 "," 	4,067 ", 	164 , 	721 , 	885 , 	- 0, 	256 ," 	2,391 "," 	5,319 "," 	5,646 "," 	5,203 "," 	4,634 "," 	1,628 "," 	6,426 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	872 ," 	2,376 "," 	3,248 ", 	62 , 	400 , 	462 , 	- 0, 	29 ," 	2,579 "," 	4,595 "," 	4,091 "," 	4,584 "," 	4,090 "," 	1,089 "," 	5,628 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,422 "," 	4,706 "," 	6,128 ", 	245 ," 	1,618 "," 	1,863 ", 	687 , 	1 ," 	4,683 "," 	7,105 "," 	5,922 "," 	5,437 "," 	5,430 "," 	2,740 "," 	8,297 "
,2008-09,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	688 ," 	1,744 "," 	2,432 ", 	236 , 	777 ," 	1,013 ", 	- 0, 	2 ," 	1,144 "," 	2,554 "," 	2,199 "," 	2,357 "," 	2,034 "," 	1,353 "," 	3,605 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	798 ," 	2,132 "," 	2,930 ", 	172 , 	455 , 	627 , 	626 , 	8 ," 	2,721 "," 	4,431 "," 	3,450 "," 	4,290 "," 	3,317 "," 	1,875 "," 	5,936 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	297 , 	947 ," 	1,244 ", 	42 , 	259 , 	301 , 	16 , 	- 0, 	812 ," 	1,746 "," 	1,871 "," 	1,690 "," 	1,819 ", 	567 ," 	2,965 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,832 "," 	6,531 "," 	8,363 ", 	243 ," 	2,164 "," 	2,407 ", 	209 , 	- 0," 	5,645 "," 	11,053 "," 	9,902 "," 	10,786 "," 	9,697 "," 	4,727 "," 	14,524 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	785 ," 	2,685 "," 	3,470 ", 	114 , 	928 ," 	1,042 ", 	14 , 	41 ," 	2,506 "," 	4,306 "," 	3,637 "," 	4,255 "," 	3,611 "," 	1,907 "," 	5,922 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,933 "," 	5,313 "," 	7,246 ", 	239 ," 	1,174 "," 	1,413 ", 	456 , 	71 ," 	5,232 "," 	9,793 "," 	8,445 "," 	9,585 "," 	8,263 "," 	3,885 "," 	12,672 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,639 "," 	7,604 "," 	10,243 ", 	483 ," 	2,737 "," 	3,220 ", 	194 , 	- 0," 	5,406 "," 	12,108 "," 	12,227 "," 	11,009 "," 	11,479 "," 	4,887 "," 	17,164 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,594 "," 	5,248 "," 	6,842 ", 	167 ," 	1,825 "," 	1,992 ", 	- 0, 	- 0," 	5,104 "," 	9,311 "," 	7,851 "," 	9,209 "," 	8,163 "," 	6,790 "," 	12,564 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	682 ," 	2,138 "," 	2,820 ", 	86 , 	691 , 	777 , 	- 0, 	- 0," 	3,493 "," 	4,762 "," 	3,519 "," 	4,719 "," 	3,576 "," 	3,863 "," 	5,514 "
,2008-09,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,904 "," 	6,102 "," 	8,006 ", 	360 ," 	2,092 "," 	2,452 ", 	133 , 	- 0," 	5,060 "," 	8,776 "," 	8,379 "," 	8,231 "," 	7,855 "," 	3,519 "," 	11,514 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	399 ," 	1,294 "," 	1,693 ", 	50 , 	511 , 	561 , 	- 0, 	8 ," 	1,076 "," 	2,598 "," 	2,855 "," 	2,545 "," 	2,803 "," 	1,150 "," 	3,799 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,055 "," 	2,436 "," 	3,491 ", 	250 , 	489 , 	739 , 	- 0, 	203 ," 	3,055 "," 	6,486 "," 	6,698 "," 	4,976 "," 	5,123 "," 	3,509 "," 	8,484 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	742 ," 	2,781 "," 	3,523 ", 	127 ," 	1,068 "," 	1,195 ", 	7 , 	51 ," 	1,985 "," 	3,794 "," 	2,905 "," 	3,671 "," 	2,796 "," 	3,060 "," 	6,390 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	541 ," 	2,347 "," 	2,888 ", 	67 , 	817 , 	884 , 	- 0, 	35 ," 	1,953 "," 	4,831 "," 	4,319 "," 	4,465 "," 	4,211 "," 	2,655 "," 	7,369 "
,2008-09,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	854 ," 	2,862 "," 	3,716 ", 	126 , 	936 ," 	1,062 ", 	- 0, 	2 ," 	2,262 "," 	5,893 "," 	5,455 "," 	5,400 "," 	5,011 "," 	3,695 "," 	8,454 "
