,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JULY,,,,England," 	146,658 "," 	464,249 "," 	610,907 "," 	23,246 "," 	135,745 "," 	158,991 "," 	10,364 "," 	17,795 "," 	437,212 "," 	1,005,667 "," 	843,856 "," 	961,704 "," 	801,989 "," 	516,215 "," 	1,348,798 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,038 "," 	3,588 "," 	4,626 ", 	128 ," 	1,093 "," 	1,221 ", 	81 , 	2 ," 	3,283 "," 	5,846 "," 	5,516 "," 	5,802 "," 	5,477 "," 	3,307 "," 	9,033 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	590 ," 	1,382 "," 	1,972 ", 	146 , 	332 , 	478 , 	91 , 	1 ," 	1,592 "," 	3,201 "," 	2,897 "," 	3,077 "," 	2,660 ", 	883 ," 	3,879 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	897 ," 	2,047 "," 	2,944 ", 	95 , 	669 , 	764 , 	87 , 	53 ," 	2,637 "," 	4,733 "," 	3,561 "," 	4,621 "," 	3,561 "," 	3,353 "," 	5,724 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,067 "," 	2,466 "," 	3,533 ", 	217 , 	634 , 	851 , 	17 , 	34 ," 	2,997 "," 	5,754 "," 	4,779 "," 	5,791 "," 	4,887 "," 	3,972 "," 	7,717 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	890 ," 	3,075 "," 	3,965 ", 	109 ," 	1,039 "," 	1,148 ", 	3 , 	120 ," 	2,931 "," 	6,370 "," 	5,135 "," 	5,986 "," 	5,069 "," 	3,793 "," 	8,474 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	375 ," 	1,843 "," 	2,218 ", 	22 , 	415 , 	437 , 	19 , 	- 0," 	1,841 "," 	2,982 "," 	2,008 "," 	2,813 "," 	1,959 "," 	2,056 "," 	3,607 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	832 ," 	2,193 "," 	3,025 ", 	117 , 	492 , 	609 , 	3 , 	20 ," 	2,424 "," 	5,923 "," 	4,717 "," 	5,489 "," 	4,342 "," 	3,337 "," 	7,264 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	536 ," 	1,764 "," 	2,300 ", 	46 , 	353 , 	399 , 	4 , 	35 ," 	2,066 "," 	3,414 "," 	2,742 "," 	3,396 "," 	2,730 "," 	2,115 "," 	4,761 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	504 ," 	1,718 "," 	2,222 ", 	73 , 	361 , 	434 , 	37 , 	- 0," 	2,033 "," 	4,205 "," 	3,516 "," 	4,020 "," 	3,324 "," 	2,019 "," 	5,370 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	761 ," 	2,094 "," 	2,855 ", 	94 , 	732 , 	826 , 	4 , 	3 ," 	2,139 "," 	4,049 "," 	3,593 "," 	3,711 "," 	3,240 "," 	2,712 "," 	6,048 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	719 ," 	2,076 "," 	2,795 ", 	122 , 	647 , 	769 , 	- 0, 	41 ," 	1,818 "," 	3,717 "," 	3,119 "," 	3,449 "," 	2,826 "," 	2,149 "," 	4,956 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	754 ," 	2,118 "," 	2,872 ", 	82 , 	394 , 	476 , 	19 , 	25 ," 	1,922 "," 	4,720 "," 	4,165 "," 	4,662 "," 	4,166 "," 	3,187 "," 	7,112 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,686 "," 	4,761 "," 	6,447 ", 	254 ," 	1,149 "," 	1,403 ", 	- 0, 	106 ," 	4,569 "," 	10,434 "," 	8,736 "," 	10,264 "," 	8,558 "," 	2,876 "," 	12,282 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	955 ," 	4,016 "," 	4,971 ", 	130 ," 	1,042 "," 	1,172 ", 	78 , 	32 ," 	3,171 "," 	6,401 "," 	4,800 "," 	6,335 "," 	4,695 "," 	2,396 "," 	7,416 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,459 "," 	5,452 "," 	6,911 ", 	205 ," 	1,200 "," 	1,405 ", 	674 , 	377 ," 	4,076 "," 	9,793 "," 	8,412 "," 	9,331 "," 	8,051 "," 	4,307 "," 	13,143 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,404 "," 	4,007 "," 	5,411 ", 	323 ," 	1,262 "," 	1,585 ", 	3 , 	303 ," 	3,325 "," 	8,366 "," 	7,455 "," 	7,927 "," 	6,937 "," 	2,392 "," 	10,352 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	892 ," 	3,306 "," 	4,198 ", 	155 , 	942 ," 	1,097 ", 	146 , 	541 ," 	2,847 "," 	6,628 "," 	5,712 "," 	6,323 "," 	5,425 "," 	3,772 "," 	9,044 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	984 ," 	3,073 "," 	4,057 ", 	115 , 	798 , 	913 , 	62 , 	35 ," 	3,298 "," 	5,834 "," 	5,144 "," 	5,437 "," 	4,755 "," 	3,206 "," 	8,498 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,323 "," 	4,446 "," 	5,769 ", 	192 ," 	1,199 "," 	1,391 ", 	143 , 	58 ," 	5,627 "," 	10,813 "," 	9,441 "," 	10,230 "," 	8,803 "," 	9,184 "," 	18,112 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	921 ," 	3,202 "," 	4,123 ", 	89 , 	606 , 	695 , 	8 , 	77 ," 	3,379 "," 	7,081 "," 	5,781 "," 	6,557 "," 	5,337 "," 	2,636 "," 	8,082 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	826 ," 	2,438 "," 	3,264 ", 	153 , 	484 , 	637 , 	1 , 	178 ," 	2,442 "," 	4,872 "," 	4,526 "," 	4,740 "," 	4,267 "," 	4,710 "," 	7,420 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,147 "," 	3,511 "," 	4,658 ", 	136 , 	464 , 	600 , 	4 ," 	1,529 "," 	4,274 "," 	7,448 "," 	6,833 "," 	7,305 "," 	6,564 "," 	4,891 "," 	11,713 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	770 ," 	2,309 "," 	3,079 ", 	101 , 	739 , 	840 , 	3 , 	5 ," 	2,276 "," 	4,171 "," 	3,854 "," 	3,804 "," 	3,325 "," 	2,468 "," 	5,999 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	763 ," 	2,520 "," 	3,283 ", 	134 , 	717 , 	851 , 	59 , 	180 ," 	1,662 "," 	5,525 "," 	4,113 "," 	5,513 "," 	4,200 "," 	2,612 "," 	7,455 "
,2009-10,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,707 "," 	4,089 "," 	5,796 ", 	278 ," 	1,009 "," 	1,287 ", 	126 , 	267 ," 	5,700 "," 	11,969 "," 	8,045 "," 	11,757 "," 	8,045 "," 	9,197 "," 	16,116 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	554 ," 	1,680 "," 	2,234 ", 	136 , 	502 , 	638 , 	- 0, 	96 ," 	1,537 "," 	3,022 "," 	2,410 "," 	2,959 "," 	2,345 "," 	2,006 "," 	4,653 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	848 ," 	2,848 "," 	3,696 ", 	128 , 	832 , 	960 , 	9 , 	- 0," 	2,631 "," 	5,256 "," 	4,506 "," 	5,215 "," 	4,471 "," 	2,489 "," 	7,609 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	628 ," 	1,629 "," 	2,257 ", 	85 , 	591 , 	676 , 	- 0, 	- 0," 	1,805 "," 	3,709 "," 	3,286 "," 	3,613 "," 	2,753 "," 	1,164 "," 	4,312 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	833 ," 	2,283 "," 	3,116 ", 	150 , 	821 , 	971 , 	- 0, 	3 ," 	2,362 "," 	5,277 "," 	4,529 "," 	4,726 "," 	4,113 "," 	2,852 "," 	6,838 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,000 "," 	5,797 "," 	7,797 ", 	272 ," 	1,542 "," 	1,814 ", 	219 , 	27 ," 	7,363 "," 	13,144 "," 	11,141 "," 	13,012 "," 	10,400 "," 	9,343 "," 	18,169 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,167 "," 	3,085 "," 	4,252 ", 	222 , 	966 ," 	1,188 ", 	- 0, 	52 ," 	3,473 "," 	7,419 "," 	5,945 "," 	6,829 "," 	5,717 "," 	2,828 "," 	9,345 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,026 "," 	3,076 "," 	4,102 ", 	168 ," 	1,063 "," 	1,231 ", 	- 0, 	265 ," 	3,168 "," 	6,581 "," 	5,492 "," 	6,155 "," 	5,174 "," 	3,081 "," 	7,461 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,814 "," 	5,152 "," 	6,966 ", 	312 ," 	1,533 "," 	1,845 ", 	146 , 	- 0," 	4,680 "," 	11,233 "," 	9,126 "," 	10,372 "," 	8,335 "," 	6,658 "," 	18,405 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	861 ," 	2,810 "," 	3,671 ", 	116 , 	842 , 	958 , 	59 , 	25 ," 	2,790 "," 	5,797 "," 	4,932 "," 	6,284 "," 	5,582 "," 	3,524 "," 	9,419 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,203 "," 	7,631 "," 	9,834 ", 	442 ," 	2,605 "," 	3,047 ", 	- 0, 	322 ," 	6,394 "," 	13,026 "," 	10,983 "," 	12,800 "," 	10,753 "," 	6,649 "," 	18,031 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,047 "," 	3,508 "," 	4,555 ", 	145 ," 	1,112 "," 	1,257 ", 	- 0, 	231 ," 	2,503 "," 	6,468 "," 	5,146 "," 	6,434 "," 	5,140 "," 	2,148 "," 	7,285 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	888 ," 	2,625 "," 	3,513 ", 	70 , 	794 , 	864 , 	- 0, 	7 ," 	2,785 "," 	5,345 "," 	4,148 "," 	5,334 "," 	4,148 "," 	1,143 "," 	5,818 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,558 "," 	4,976 "," 	6,534 ", 	331 ," 	1,678 "," 	2,009 ", 	661 , 	1 ," 	4,609 "," 	7,618 "," 	6,337 "," 	7,020 "," 	6,018 "," 	3,679 "," 	9,669 "
,2009-10,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	629 ," 	1,721 "," 	2,350 ", 	121 , 	593 , 	714 , 	- 0, 	1 ," 	1,327 "," 	2,953 "," 	2,441 "," 	2,744 "," 	2,252 "," 	1,650 "," 	4,181 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	768 ," 	2,229 "," 	2,997 ", 	129 , 	683 , 	812 , 	447 , 	9 ," 	2,736 "," 	5,355 "," 	4,366 "," 	5,223 "," 	4,163 "," 	1,969 "," 	6,858 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	408 , 	972 ," 	1,380 ", 	95 , 	265 , 	360 , 	16 , 	- 0, 	926 ," 	2,210 "," 	1,990 "," 	2,148 "," 	1,923 ", 	687 ," 	3,292 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	2,087 "," 	7,230 "," 	9,317 ", 	303 ," 	2,466 "," 	2,769 ", 	223 , 	1 ," 	5,865 "," 	13,266 "," 	11,286 "," 	12,968 "," 	11,015 "," 	5,782 "," 	18,365 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	806 ," 	3,096 "," 	3,902 ", 	144 ," 	1,093 "," 	1,237 ", 	25 , 	12 ," 	2,456 "," 	5,104 "," 	3,991 "," 	5,041 "," 	3,946 "," 	2,064 "," 	6,082 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,253 "," 	6,156 "," 	8,409 ", 	297 ," 	1,436 "," 	1,733 ", 	767 , 	56 ," 	5,391 "," 	12,243 "," 	10,554 "," 	12,060 "," 	10,252 "," 	4,413 "," 	16,141 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,498 "," 	7,904 "," 	10,402 ", 	538 ," 	3,043 "," 	3,581 ", 	444 , 	- 0," 	5,948 "," 	16,024 "," 	13,858 "," 	15,409 "," 	13,060 "," 	5,971 "," 	18,971 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,565 "," 	5,849 "," 	7,414 ", 	209 ," 	2,248 "," 	2,457 ", 	46 , 	- 0," 	5,317 "," 	11,275 "," 	8,801 "," 	10,742 "," 	9,334 "," 	7,462 "," 	14,332 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	656 ," 	2,415 "," 	3,071 ", 	98 , 	972 ," 	1,070 ", 	18 , 	- 0," 	3,547 "," 	5,587 "," 	4,064 "," 	5,608 "," 	4,391 "," 	4,255 "," 	6,578 "
,2009-10,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	2,271 "," 	7,227 "," 	9,498 ", 	340 ," 	2,660 "," 	3,000 ", 	238 , 	- 0," 	5,318 "," 	10,014 "," 	9,226 "," 	9,858 "," 	9,005 "," 	4,412 "," 	13,111 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	424 ," 	1,423 "," 	1,847 ", 	58 , 	497 , 	555 , 	- 0, 	4 ," 	1,204 "," 	2,762 "," 	3,073 "," 	2,694 "," 	3,015 "," 	1,225 "," 	4,069 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,021 "," 	2,638 "," 	3,659 ", 	206 , 	600 , 	806 , 	- 0, 	264 ," 	3,053 "," 	7,997 "," 	7,483 "," 	6,307 "," 	5,847 "," 	4,219 "," 	10,125 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	770 ," 	3,058 "," 	3,828 ", 	126 ," 	1,072 "," 	1,198 ", 	- 0, 	2 ," 	2,160 "," 	4,599 "," 	2,784 "," 	4,121 "," 	2,669 "," 	3,356 "," 	6,736 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	577 ," 	2,779 "," 	3,356 ", 	111 ," 	1,060 "," 	1,171 ", 	- 0, 	53 ," 	2,184 "," 	5,620 "," 	4,741 "," 	5,183 "," 	4,609 "," 	2,366 "," 	7,892 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	871 ," 	3,097 "," 	3,968 ", 	112 ," 	1,031 "," 	1,143 ", 	- 0, 	4 ," 	2,623 "," 	6,653 "," 	5,043 "," 	6,338 "," 	4,861 "," 	4,495 "," 	8,655 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	384 ," 	1,471 "," 	1,855 ", 	47 , 	499 , 	546 , 	- 0, 	6 ," 	1,230 "," 	2,597 "," 	1,299 "," 	2,234 "," 	1,210 "," 	2,151 "," 	4,266 "
,2009-10,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	633 ," 	2,409 "," 	3,042 ", 	115 ," 	1,098 "," 	1,213 ", 	- 0, 	16 ," 	2,368 "," 	5,356 "," 	5,263 "," 	5,008 "," 	4,757 "," 	3,364 "," 	8,099 "
