,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JUNE,,,,England," 	136,475 "," 	501,450 "," 	637,925 "," 	22,358 "," 	153,608 "," 	175,966 "," 	21,786 "," 	442,509 "," 	1,024,225 "," 	862,757 "," 	969,284 "," 	818,842 "," 	559,438 "," 	1,419,113 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	953 ," 	3,420 "," 	4,373 ", 	180 ," 	1,102 "," 	1,282 ", 	110 ," 	2,762 "," 	6,013 "," 	4,370 "," 	5,889 "," 	4,320 "," 	5,638 "," 	8,455 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	389 ," 	1,508 "," 	1,897 ", 	86 , 	712 , 	798 , 	123 ," 	1,564 "," 	2,426 "," 	2,031 "," 	2,274 "," 	1,923 "," 	1,663 "," 	3,574 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,619 "," 	6,084 "," 	7,703 ", 	214 ," 	2,077 "," 	2,291 ", 	38 ," 	4,939 "," 	9,709 "," 	8,449 "," 	9,282 "," 	8,256 "," 	6,610 "," 	15,048 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	385 ," 	1,536 "," 	1,921 ", 	68 , 	716 , 	784 , 	155 ," 	1,282 "," 	2,231 "," 	1,852 "," 	2,120 "," 	1,778 "," 	1,349 "," 	3,140 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,022 "," 	4,249 "," 	5,271 ", 	123 ," 	1,331 "," 	1,454 ", 	122 ," 	3,229 "," 	6,170 "," 	5,884 "," 	6,116 "," 	5,843 "," 	4,068 "," 	10,044 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	660 ," 	1,995 "," 	2,655 ", 	88 , 	587 , 	675 , 	24 ," 	2,515 "," 	4,694 "," 	4,235 "," 	4,456 "," 	4,041 "," 	3,408 "," 	6,568 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	898 ," 	2,628 "," 	3,526 ", 	217 , 	604 , 	821 , 	49 ," 	3,307 "," 	6,100 "," 	4,973 "," 	5,995 "," 	4,904 "," 	4,090 "," 	7,940 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	907 ," 	3,472 "," 	4,379 ", 	126 ," 	1,215 "," 	1,341 ", 	140 ," 	2,972 "," 	6,337 "," 	5,570 "," 	6,244 "," 	5,486 "," 	3,520 "," 	9,254 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	326 ," 	1,869 "," 	2,195 ", 	23 , 	401 , 	424 , 	1 ," 	1,830 "," 	2,932 "," 	2,481 "," 	2,725 "," 	2,345 "," 	2,274 "," 	5,030 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	729 ," 	2,222 "," 	2,951 ", 	107 , 	564 , 	671 , 	3 ," 	2,497 "," 	6,538 "," 	5,561 "," 	6,072 "," 	5,200 "," 	3,072 "," 	8,400 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	500 ," 	1,606 "," 	2,106 ", 	78 , 	408 , 	486 , 	4 ," 	2,017 "," 	2,845 "," 	2,462 "," 	2,828 "," 	2,440 "," 	1,985 "," 	4,368 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	431 ," 	1,688 "," 	2,119 ", 	59 , 	344 , 	403 , 	18 ," 	1,800 "," 	4,198 "," 	3,331 "," 	4,003 "," 	3,168 "," 	2,232 "," 	5,454 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	596 ," 	2,035 "," 	2,631 ", 	84 , 	754 , 	838 , 	9 ," 	2,502 "," 	3,818 "," 	3,475 "," 	3,521 "," 	3,177 "," 	2,486 "," 	6,017 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	500 ," 	1,987 "," 	2,487 ", 	81 , 	701 , 	782 , 	10 ," 	1,715 "," 	3,036 "," 	2,588 "," 	2,989 "," 	2,537 "," 	2,144 "," 	5,105 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	641 ," 	2,205 "," 	2,846 ", 	95 , 	418 , 	513 , 	28 ," 	2,323 "," 	4,692 "," 	4,060 "," 	4,543 "," 	3,937 "," 	4,445 "," 	7,700 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,542 "," 	5,161 "," 	6,703 ", 	202 ," 	1,395 "," 	1,597 ", 	89 ," 	4,448 "," 	10,321 "," 	8,576 "," 	10,061 "," 	8,299 "," 	3,177 "," 	12,566 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	855 ," 	4,088 "," 	4,943 ", 	120 ," 	1,210 "," 	1,330 ", 	9 ," 	3,095 "," 	6,141 "," 	5,228 "," 	5,945 "," 	5,031 "," 	3,766 "," 	8,573 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,324 "," 	5,785 "," 	7,109 ", 	210 ," 	1,474 "," 	1,684 ", 	430 ," 	4,208 "," 	10,461 "," 	9,145 "," 	9,941 "," 	8,784 "," 	4,759 "," 	13,526 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,094 "," 	3,920 "," 	5,014 ", 	198 , 	843 ," 	1,041 ", 	2 ," 	3,623 "," 	8,405 "," 	7,444 "," 	7,894 "," 	6,977 "," 	2,551 "," 	10,864 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	808 ," 	3,141 "," 	3,949 ", 	106 , 	875 , 	981 , 	546 ," 	2,822 "," 	6,485 "," 	5,282 "," 	6,201 "," 	4,997 "," 	3,706 "," 	8,621 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	805 ," 	3,291 "," 	4,096 ", 	116 , 	684 , 	800 , 	72 ," 	3,471 "," 	5,993 "," 	4,875 "," 	5,608 "," 	4,523 "," 	4,403 "," 	8,256 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,228 "," 	4,411 "," 	5,639 ", 	241 ," 	1,318 "," 	1,559 ", 	167 ," 	4,568 "," 	10,893 "," 	9,402 "," 	10,278 "," 	8,781 "," 	8,768 "," 	18,239 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	890 ," 	3,014 "," 	3,904 ", 	116 , 	561 , 	677 , 	13 ," 	3,459 "," 	6,349 "," 	5,399 "," 	6,071 "," 	5,159 "," 	3,120 "," 	8,551 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	820 ," 	2,731 "," 	3,551 ", 	189 , 	770 , 	959 , 	83 ," 	2,203 "," 	4,421 "," 	3,820 "," 	4,317 "," 	3,690 "," 	4,506 "," 	6,710 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	982 ," 	3,729 "," 	4,711 ", 	148 , 	582 , 	730 ," 	1,576 "," 	4,087 "," 	7,134 "," 	6,639 "," 	7,090 "," 	6,560 "," 	4,957 "," 	12,026 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	573 ," 	2,270 "," 	2,843 ", 	77 , 	864 , 	941 , 	4 ," 	2,462 "," 	4,090 "," 	3,496 "," 	3,850 "," 	3,303 "," 	2,613 "," 	6,621 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	668 ," 	2,336 "," 	3,004 ", 	153 , 	742 , 	895 , 	145 ," 	1,799 "," 	5,793 "," 	4,332 "," 	5,744 "," 	4,272 "," 	2,734 "," 	6,908 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,408 "," 	4,258 "," 	5,666 ", 	245 ," 	1,480 "," 	1,725 ", 	240 ," 	5,515 "," 	10,586 "," 	8,524 "," 	10,179 "," 	8,153 "," 	9,061 "," 	16,322 "
,2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	458 ," 	1,599 "," 	2,057 ", 	78 , 	304 , 	382 , 	- 0," 	1,628 "," 	3,402 "," 	3,073 "," 	3,209 "," 	2,870 ", 	829 ," 	4,340 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	575 ," 	1,553 "," 	2,128 ", 	200 , 	394 , 	594 , 	77 ," 	1,411 "," 	2,727 "," 	2,221 "," 	2,657 "," 	2,166 "," 	2,002 "," 	4,562 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	762 ," 	2,739 "," 	3,501 ", 	69 , 	679 , 	748 , 	- 0," 	2,634 "," 	4,659 "," 	4,322 "," 	4,565 "," 	4,247 "," 	2,511 "," 	7,682 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	623 ," 	1,885 "," 	2,508 ", 	105 , 	643 , 	748 , 	- 0," 	2,008 "," 	3,924 "," 	3,042 "," 	3,848 "," 	2,984 "," 	1,090 "," 	5,462 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	633 ," 	2,783 "," 	3,416 ", 	81 , 	414 , 	495 , 	- 0," 	2,423 "," 	5,337 "," 	4,843 "," 	5,295 "," 	4,805 "," 	2,998 "," 	8,269 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,115 "," 	5,930 "," 	8,045 ", 	355 ," 	1,406 "," 	1,761 ", 	4 ," 	7,837 "," 	13,538 "," 	12,146 "," 	13,386 "," 	11,380 "," 	9,829 "," 	19,823 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,128 "," 	3,620 "," 	4,748 ", 	214 ," 	1,127 "," 	1,341 ", 	- 0," 	3,554 "," 	7,887 "," 	6,432 "," 	7,362 "," 	6,202 "," 	3,015 "," 	10,298 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,098 "," 	3,631 "," 	4,729 ", 	178 ," 	1,164 "," 	1,342 ", 	21 ," 	3,319 "," 	7,141 "," 	6,314 "," 	6,809 "," 	5,993 "," 	3,614 "," 	9,088 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,397 "," 	4,892 "," 	6,289 ", 	257 , 	816 ," 	1,073 ", 	- 0," 	4,805 "," 	9,945 "," 	8,852 "," 	9,479 "," 	7,944 "," 	5,907 "," 	18,022 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	772 ," 	2,600 "," 	3,372 ", 	93 , 	857 , 	950 , 	17 ," 	2,922 "," 	6,216 "," 	5,309 "," 	6,197 "," 	5,290 "," 	2,924 "," 	9,025 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,120 "," 	8,115 "," 	10,235 ", 	419 ," 	3,033 "," 	3,452 ", 	281 ," 	6,685 "," 	15,278 "," 	13,009 "," 	14,875 "," 	12,854 "," 	7,330 "," 	18,990 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,048 "," 	3,876 "," 	4,924 ", 	173 ," 	1,396 "," 	1,569 ", 	322 ," 	2,381 "," 	6,771 "," 	5,523 "," 	6,684 "," 	5,459 "," 	2,022 "," 	7,747 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	829 ," 	3,069 "," 	3,898 ", 	120 ," 	1,039 "," 	1,159 ", 	12 ," 	2,770 "," 	5,865 "," 	5,315 "," 	5,727 "," 	5,173 "," 	1,134 "," 	7,290 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,337 "," 	5,357 "," 	6,694 ", 	230 ," 	1,907 "," 	2,137 ", 	2 ," 	5,761 "," 	7,807 "," 	6,251 "," 	7,372 "," 	5,776 "," 	5,721 "," 	11,714 "
,2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	509 ," 	1,630 "," 	2,139 ", 	118 , 	562 , 	680 , 	5 ," 	1,168 "," 	2,836 "," 	2,289 "," 	2,598 "," 	2,060 "," 	1,784 "," 	4,167 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	707 ," 	2,299 "," 	3,006 ", 	132 , 	910 ," 	1,042 ", 	3 ," 	2,832 "," 	4,224 "," 	3,869 "," 	4,117 "," 	3,777 "," 	1,716 "," 	6,539 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	306 ," 	1,052 "," 	1,358 ", 	33 , 	329 , 	362 , 	- 0, 	989 ," 	1,990 "," 	1,860 "," 	1,899 "," 	1,747 ", 	903 ," 	3,104 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,660 "," 	6,841 "," 	8,501 ", 	165 ," 	1,988 "," 	2,153 ", 	187 ," 	6,368 "," 	12,664 "," 	10,793 "," 	12,231 "," 	10,446 "," 	5,887 "," 	16,583 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	673 ," 	2,521 "," 	3,194 ", 	96 , 	834 , 	930 , 	14 ," 	2,943 "," 	4,057 "," 	3,227 "," 	3,992 "," 	3,188 "," 	1,650 "," 	5,579 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,698 "," 	6,139 "," 	7,837 ", 	178 ," 	1,977 "," 	2,155 ", 	22 ," 	5,408 "," 	10,431 "," 	9,659 "," 	10,244 "," 	9,460 "," 	3,873 "," 	14,763 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,231 "," 	8,381 "," 	10,612 ", 	388 ," 	3,201 "," 	3,589 ", 	183 ," 	5,853 "," 	15,555 "," 	13,698 "," 	14,873 "," 	12,980 "," 	6,488 "," 	19,436 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,404 "," 	5,942 "," 	7,346 ", 	185 ," 	2,291 "," 	2,476 ", 	6 ," 	4,542 "," 	10,675 "," 	8,592 "," 	10,578 "," 	8,551 "," 	6,888 "," 	14,141 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	591 ," 	2,721 "," 	3,312 ", 	89 ," 	1,094 "," 	1,183 ", 	- 0," 	2,607 "," 	5,809 "," 	4,242 "," 	5,800 "," 	4,241 "," 	3,867 "," 	7,098 "
,2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,809 "," 	7,172 "," 	8,981 ", 	380 ," 	2,477 "," 	2,857 ", 	56 ," 	5,039 "," 	9,993 "," 	9,403 "," 	9,769 "," 	9,217 "," 	5,259 "," 	13,542 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	610 ," 	1,486 "," 	2,096 ", 	150 , 	546 , 	696 , 	10 ," 	1,276 "," 	2,995 "," 	3,053 "," 	2,948 "," 	3,000 "," 	1,580 "," 	4,301 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	998 ," 	2,622 "," 	3,620 ", 	220 , 	559 , 	779 , 	206 ," 	3,278 "," 	8,328 "," 	7,692 "," 	6,715 "," 	6,374 "," 	4,479 "," 	11,158 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	744 ," 	2,783 "," 	3,527 ", 	114 , 	968 ," 	1,082 ", 	77 ," 	2,131 "," 	5,511 "," 	3,919 "," 	4,891 "," 	3,806 "," 	3,285 "," 	7,952 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	671 ," 	2,693 "," 	3,364 ", 	126 , 	999 ," 	1,125 ", 	47 ," 	2,196 "," 	5,797 "," 	4,681 "," 	5,365 "," 	4,292 "," 	2,484 "," 	8,112 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	849 ," 	3,002 "," 	3,851 ", 	64 ," 	1,090 "," 	1,154 ", 	5 ," 	2,934 "," 	6,004 "," 	5,164 "," 	5,876 "," 	5,087 "," 	5,059 "," 	9,255 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	368 ," 	1,467 "," 	1,835 ", 	47 , 	475 , 	522 , 	2 ," 	1,276 "," 	2,970 "," 	1,475 "," 	2,582 "," 	1,456 "," 	1,823 "," 	4,518 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	634 ," 	2,425 "," 	3,059 ", 	113 , 	981 ," 	1,094 ", 	2 ," 	2,076 "," 	5,844 "," 	5,478 "," 	5,375 "," 	4,601 "," 	2,281 "," 	7,686 "
,2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	605 ," 	1,893 "," 	2,498 ", 	138 , 	411 , 	549 , 	525 ," 	2,787 "," 	5,981 "," 	5,017 "," 	4,999 "," 	3,884 "," 	4,804 "," 	8,365 "
