,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,OCTOBER,,,,England," 	133,808 "," 	485,380 "," 	619,188 "," 	21,454 "," 	149,715 "," 	171,169 "," 	20,927 "," 	451,353 "," 	956,082 "," 	816,141 "," 	907,111 "," 	773,727 "," 	543,928 "," 	1,346,998 "
,2011-12,OCTOBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,266 "," 	52,868 "," 	67,134 "," 	2,217 "," 	18,671 "," 	20,888 ", 	907 ," 	42,653 "," 	88,789 "," 	79,534 "," 	87,128 "," 	77,912 "," 	47,427 "," 	130,913 "
,2011-12,OCTOBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,311 "," 	5,754 "," 	8,065 ", 	516 ," 	3,766 "," 	4,282 ", 	1 ," 	1,894 "," 	1,388 "," 	1,987 "," 	1,387 "," 	1,986 "," 	2,131 "," 	5,842 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	810 ," 	3,490 "," 	4,300 ", 	163 ," 	1,229 "," 	1,392 ", 	151 ," 	2,934 "," 	5,089 "," 	4,343 "," 	4,919 "," 	4,196 "," 	4,103 "," 	9,542 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	600 ," 	2,777 "," 	3,377 ", 	90 , 	888 , 	978 , 	133 ," 	2,457 "," 	4,298 "," 	4,027 "," 	4,080 "," 	3,848 "," 	2,870 "," 	7,160 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	251 , 	954 ," 	1,205 ", 	22 , 	242 , 	264 , 	10 , 	909 ," 	1,484 "," 	1,194 "," 	1,429 "," 	1,149 ", 	802 ," 	1,869 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	464 ," 	2,107 "," 	2,571 ", 	54 , 	661 , 	715 , 	80 ," 	1,637 "," 	3,037 "," 	2,682 "," 	2,994 "," 	2,651 "," 	1,492 "," 	4,053 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	321 , 	993 ," 	1,314 ", 	52 , 	206 , 	258 , 	1 ," 	1,005 "," 	1,586 "," 	1,293 "," 	1,583 "," 	1,278 "," 	1,324 "," 	2,808 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	663 ," 	2,532 "," 	3,195 ", 	155 , 	820 , 	975 , 	574 ," 	2,168 "," 	4,301 "," 	3,643 "," 	4,193 "," 	3,543 "," 	2,076 "," 	6,074 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	469 ," 	2,117 "," 	2,586 ", 	51 , 	668 , 	719 , 	74 ," 	1,504 "," 	3,433 "," 	2,875 "," 	3,282 "," 	2,725 "," 	2,899 "," 	5,512 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	914 ," 	3,599 "," 	4,513 ", 	178 ," 	1,236 "," 	1,414 ", 	100 ," 	2,769 "," 	6,197 "," 	4,427 "," 	6,130 "," 	4,385 "," 	5,163 "," 	8,364 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	359 ," 	1,440 "," 	1,799 ", 	96 , 	639 , 	735 , 	154 ," 	1,518 "," 	2,325 "," 	2,014 "," 	2,187 "," 	1,927 "," 	1,566 "," 	3,400 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,613 "," 	6,022 "," 	7,635 ", 	257 ," 	1,916 "," 	2,173 ", 	49 ," 	5,108 "," 	9,689 "," 	8,068 "," 	9,635 "," 	7,817 "," 	6,259 "," 	14,522 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	378 ," 	1,439 "," 	1,817 ", 	84 , 	643 , 	727 , 	184 ," 	1,191 "," 	2,081 "," 	1,860 "," 	1,979 "," 	1,805 "," 	1,290 "," 	3,062 "
,2011-12,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,034 "," 	4,183 "," 	5,217 ", 	123 ," 	1,276 "," 	1,399 ", 	108 ," 	3,611 "," 	5,762 "," 	5,288 "," 	5,711 "," 	5,233 "," 	3,659 "," 	9,137 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	639 ," 	2,182 "," 	2,821 ", 	87 , 	659 , 	746 , 	15 ," 	2,797 "," 	5,104 "," 	4,163 "," 	4,606 "," 	3,985 "," 	3,344 "," 	6,365 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	815 ," 	2,830 "," 	3,645 ", 	194 , 	714 , 	908 , 	47 ," 	3,226 "," 	5,810 "," 	4,789 "," 	5,683 "," 	4,673 "," 	3,803 "," 	7,428 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	841 ," 	3,351 "," 	4,192 ", 	112 ," 	1,165 "," 	1,277 ", 	6 ," 	3,047 "," 	6,204 "," 	5,481 "," 	6,098 "," 	5,394 "," 	3,310 "," 	8,947 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	346 ," 	1,813 "," 	2,159 ", 	41 , 	373 , 	414 , 	- 0," 	1,995 "," 	2,564 "," 	2,312 "," 	2,368 "," 	2,174 "," 	2,035 "," 	4,594 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	771 ," 	2,209 "," 	2,980 ", 	102 , 	525 , 	627 , 	- 0," 	2,451 "," 	6,156 "," 	5,414 "," 	5,720 "," 	5,079 "," 	3,446 "," 	7,965 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	559 ," 	1,813 "," 	2,372 ", 	69 , 	456 , 	525 , 	9 ," 	2,112 "," 	2,886 "," 	2,503 "," 	2,867 "," 	2,478 "," 	1,950 "," 	4,302 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	467 ," 	1,595 "," 	2,062 ", 	78 , 	347 , 	425 , 	25 ," 	1,794 "," 	3,770 "," 	2,961 "," 	3,631 "," 	2,826 "," 	2,138 "," 	5,133 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	670 ," 	2,077 "," 	2,747 ", 	91 , 	683 , 	774 , 	7 ," 	2,606 "," 	3,586 "," 	3,076 "," 	3,559 "," 	3,034 "," 	2,432 "," 	5,711 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	548 ," 	1,885 "," 	2,433 ", 	79 , 	674 , 	753 , 	5 ," 	1,860 "," 	2,625 "," 	2,446 "," 	2,560 "," 	2,406 "," 	1,976 "," 	4,687 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	589 ," 	2,250 "," 	2,839 ", 	88 , 	493 , 	581 , 	21 ," 	2,291 "," 	4,529 "," 	3,923 "," 	4,410 "," 	3,817 "," 	2,987 "," 	7,203 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,542 "," 	4,873 "," 	6,415 ", 	229 ," 	1,377 "," 	1,606 ", 	105 ," 	4,562 "," 	9,626 "," 	8,294 "," 	9,406 "," 	8,006 "," 	3,100 "," 	12,092 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	835 ," 	4,096 "," 	4,931 ", 	109 ," 	1,092 "," 	1,201 ", 	14 ," 	3,147 "," 	5,413 "," 	5,260 "," 	5,256 "," 	5,135 "," 	3,293 "," 	8,617 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,334 "," 	5,598 "," 	6,932 ", 	193 ," 	1,343 "," 	1,536 ", 	373 ," 	4,169 "," 	9,774 "," 	8,666 "," 	9,306 "," 	8,312 "," 	4,579 "," 	12,667 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,087 "," 	3,800 "," 	4,887 ", 	170 , 	899 ," 	1,069 ", 	1 ," 	3,509 "," 	7,904 "," 	6,846 "," 	7,186 "," 	6,234 "," 	2,528 "," 	10,260 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	748 ," 	3,146 "," 	3,894 ", 	91 , 	979 ," 	1,070 ", 	454 ," 	2,829 "," 	6,101 "," 	5,004 "," 	5,841 "," 	4,759 "," 	3,489 "," 	8,205 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	865 ," 	3,250 "," 	4,115 ", 	136 , 	797 , 	933 , 	90 ," 	3,725 "," 	5,705 "," 	4,821 "," 	5,372 "," 	4,527 "," 	3,732 "," 	7,836 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,151 "," 	4,389 "," 	5,540 ", 	251 ," 	1,406 "," 	1,657 ", 	233 ," 	4,953 "," 	10,591 "," 	8,868 "," 	9,964 "," 	8,159 "," 	8,527 "," 	17,353 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	903 ," 	2,888 "," 	3,791 ", 	110 , 	611 , 	721 , 	18 ," 	3,542 "," 	5,496 "," 	4,897 "," 	5,244 "," 	4,621 "," 	3,092 "," 	7,792 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	713 ," 	2,655 "," 	3,368 ", 	132 , 	819 , 	951 , 	70 ," 	2,257 "," 	4,715 "," 	4,020 "," 	4,595 "," 	3,946 "," 	4,304 "," 	6,694 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,034 "," 	3,828 "," 	4,862 ", 	143 , 	649 , 	792 ," 	1,437 "," 	3,584 "," 	6,931 "," 	6,497 "," 	6,883 "," 	6,431 "," 	4,772 "," 	12,137 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	597 ," 	2,441 "," 	3,038 ", 	86 , 	888 , 	974 , 	1 ," 	2,338 "," 	4,183 "," 	3,561 "," 	4,015 "," 	3,397 "," 	2,884 "," 	6,310 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	646 ," 	2,346 "," 	2,992 ", 	122 , 	733 , 	855 , 	143 ," 	1,817 "," 	5,041 "," 	4,242 "," 	4,992 "," 	4,202 "," 	2,443 "," 	6,813 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,380 "," 	4,168 "," 	5,548 ", 	248 ," 	1,491 "," 	1,739 ", 	199 ," 	5,522 "," 	9,312 "," 	8,053 "," 	8,910 "," 	7,703 "," 	8,357 "," 	15,264 "
,2011-12,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	394 ," 	1,513 "," 	1,907 ", 	81 , 	287 , 	368 , 	- 0," 	1,720 "," 	3,096 "," 	2,748 "," 	2,930 "," 	2,565 ", 	908 ," 	4,084 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	514 ," 	1,741 "," 	2,255 ", 	125 , 	502 , 	627 , 	90 ," 	1,460 "," 	2,422 "," 	2,095 "," 	2,326 "," 	2,053 "," 	1,980 "," 	4,388 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	629 ," 	2,736 "," 	3,365 ", 	63 , 	761 , 	824 , 	- 0," 	2,733 "," 	4,465 "," 	4,004 "," 	4,401 "," 	3,637 "," 	2,380 "," 	6,615 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	549 ," 	1,827 "," 	2,376 ", 	96 , 	679 , 	775 , 	- 0," 	2,060 "," 	3,405 "," 	2,992 "," 	3,345 "," 	2,947 "," 	1,082 "," 	5,049 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	648 ," 	2,750 "," 	3,398 ", 	83 , 	501 , 	584 , 	- 0," 	2,466 "," 	4,715 "," 	4,299 "," 	4,678 "," 	4,267 "," 	2,797 "," 	7,166 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,819 "," 	5,601 "," 	7,420 ", 	340 ," 	1,031 "," 	1,371 ", 	5 ," 	6,986 "," 	13,379 "," 	10,968 "," 	13,222 "," 	10,236 "," 	9,620 "," 	17,839 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,112 "," 	3,506 "," 	4,618 ", 	223 ," 	1,119 "," 	1,342 ", 	- 0," 	3,724 "," 	7,163 "," 	6,068 "," 	6,889 "," 	5,855 "," 	2,914 "," 	9,666 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	865 ," 	3,527 "," 	4,392 ", 	190 ," 	1,114 "," 	1,304 ", 	3 ," 	3,444 "," 	6,749 "," 	5,461 "," 	6,493 "," 	5,118 "," 	3,552 "," 	8,012 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,182 "," 	4,883 "," 	6,065 ", 	236 ," 	1,126 "," 	1,362 ", 	- 0," 	4,928 "," 	8,988 "," 	7,939 "," 	8,392 "," 	7,229 "," 	5,492 "," 	16,258 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	762 ," 	2,578 "," 	3,340 ", 	100 , 	793 , 	893 , 	14 ," 	3,150 "," 	5,467 "," 	5,331 "," 	5,440 "," 	5,311 "," 	3,021 "," 	9,180 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,108 "," 	8,081 "," 	10,189 ", 	362 ," 	2,771 "," 	3,133 ", 	234 ," 	6,703 "," 	14,117 "," 	11,721 "," 	13,737 "," 	11,535 "," 	7,118 "," 	17,701 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	950 ," 	3,615 "," 	4,565 ", 	145 ," 	1,272 "," 	1,417 ", 	306 ," 	2,657 "," 	6,409 "," 	5,264 "," 	6,337 "," 	5,190 "," 	1,877 "," 	7,617 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	800 ," 	2,827 "," 	3,627 ", 	124 , 	920 ," 	1,044 ", 	5 ," 	2,905 "," 	5,467 "," 	4,702 "," 	5,319 "," 	4,593 "," 	1,476 "," 	6,627 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,371 "," 	5,156 "," 	6,527 ", 	266 ," 	1,713 "," 	1,979 ", 	- 0," 	5,834 "," 	8,145 "," 	6,183 "," 	7,673 "," 	5,736 "," 	5,864 "," 	11,652 "
,2011-12,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	488 ," 	1,542 "," 	2,030 ", 	99 , 	554 , 	653 , 	4 ," 	1,255 "," 	2,568 "," 	2,012 "," 	2,392 "," 	1,826 "," 	1,831 "," 	3,701 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	683 ," 	2,175 "," 	2,858 ", 	120 , 	826 , 	946 , 	2 ," 	2,860 "," 	4,169 "," 	3,790 "," 	4,050 "," 	3,665 "," 	1,771 "," 	6,373 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	283 , 	985 ," 	1,268 ", 	25 , 	322 , 	347 , 	- 0, 	946 ," 	2,095 "," 	1,934 "," 	1,988 "," 	1,857 ", 	832 ," 	3,130 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,669 "," 	6,775 "," 	8,444 ", 	190 ," 	2,030 "," 	2,220 ", 	147 ," 	6,318 "," 	11,078 "," 	9,850 "," 	10,661 "," 	9,504 "," 	5,754 "," 	15,085 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	692 ," 	2,498 "," 	3,190 ", 	100 , 	965 ," 	1,065 ", 	13 ," 	2,762 "," 	3,827 "," 	3,119 "," 	3,778 "," 	3,076 "," 	1,313 "," 	5,177 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,669 "," 	5,778 "," 	7,447 ", 	156 ," 	1,868 "," 	2,024 ", 	19 ," 	5,505 "," 	9,631 "," 	8,872 "," 	9,437 "," 	8,686 "," 	3,901 "," 	13,591 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,245 "," 	8,139 "," 	10,384 ", 	346 ," 	3,206 "," 	3,552 ", 	197 ," 	6,432 "," 	14,487 "," 	12,639 "," 	13,825 "," 	12,041 "," 	6,962 "," 	18,159 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,439 "," 	5,789 "," 	7,228 ", 	231 ," 	2,383 "," 	2,614 ", 	2 ," 	4,482 "," 	9,724 "," 	7,610 "," 	9,650 "," 	7,554 "," 	7,353 "," 	12,719 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	554 ," 	2,435 "," 	2,989 ", 	111 ," 	1,017 "," 	1,128 ", 	- 0," 	2,486 "," 	5,089 "," 	3,842 "," 	5,086 "," 	3,840 "," 	4,012 "," 	6,541 "
,2011-12,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,659 "," 	6,874 "," 	8,533 ", 	306 ," 	2,126 "," 	2,432 ", 	40 ," 	5,400 "," 	9,527 "," 	8,954 "," 	9,335 "," 	8,777 "," 	5,189 "," 	13,043 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	526 ," 	1,463 "," 	1,989 ", 	110 , 	518 , 	628 , 	14 ," 	1,327 "," 	2,651 "," 	2,855 "," 	2,602 "," 	2,841 "," 	1,595 "," 	4,251 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,060 "," 	2,577 "," 	3,637 ", 	211 , 	622 , 	833 , 	242 ," 	3,059 "," 	8,075 "," 	7,159 "," 	6,448 "," 	5,979 "," 	3,855 "," 	10,242 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	760 ," 	2,989 "," 	3,749 ", 	129 ," 	1,039 "," 	1,168 ", 	48 ," 	2,126 "," 	5,257 "," 	3,767 "," 	5,213 "," 	3,661 "," 	3,310 "," 	7,969 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	708 ," 	2,489 "," 	3,197 ", 	166 , 	993 ," 	1,159 ", 	38 ," 	2,010 "," 	5,541 "," 	4,611 "," 	5,141 "," 	4,245 "," 	2,385 "," 	7,966 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	822 ," 	2,900 "," 	3,722 ", 	95 , 	982 ," 	1,077 ", 	2 ," 	2,616 "," 	4,891 "," 	4,005 "," 	4,816 "," 	3,949 "," 	4,905 "," 	7,822 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	437 ," 	1,531 "," 	1,968 ", 	63 , 	511 , 	574 , 	5 ," 	1,372 "," 	2,758 "," 	1,492 "," 	2,742 "," 	1,471 "," 	2,135 "," 	4,625 "
,2011-12,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	571 ," 	2,389 "," 	2,960 ", 	98 ," 	1,045 "," 	1,143 ", 	9 ," 	2,304 "," 	5,221 "," 	5,130 "," 	4,749 "," 	4,339 "," 	2,299 "," 	7,500 "
