,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,DECEMBER,,,,England," 	119,445 "," 	444,135 "," 	563,580 "," 	19,370 "," 	139,459 "," 	158,829 "," 	18,857 "," 	464,950 "," 	803,021 "," 	717,726 "," 	759,668 "," 	679,446 "," 	482,439 "," 	1,176,382 "
,2011-12,DECEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	12,529 "," 	47,732 "," 	60,261 "," 	1,922 "," 	17,130 "," 	19,052 ", 	708 ," 	45,604 "," 	74,397 "," 	68,261 "," 	73,085 "," 	66,880 "," 	40,210 "," 	113,041 "
,2011-12,DECEMBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,139 "," 	3,587 "," 	5,726 ", 	518 ," 	1,550 "," 	2,068 ", 	3 ," 	1,917 "," 	1,052 "," 	1,735 "," 	1,051 "," 	1,733 "," 	1,895 "," 	5,177 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	699 ," 	3,148 "," 	3,847 ", 	141 ," 	1,143 "," 	1,284 ", 	101 ," 	3,053 "," 	4,196 "," 	3,793 "," 	4,069 "," 	3,680 "," 	3,628 "," 	8,175 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	574 ," 	2,551 "," 	3,125 ", 	77 , 	917 , 	994 , 	121 ," 	2,580 "," 	3,492 "," 	3,381 "," 	3,295 "," 	3,218 "," 	2,962 "," 	6,226 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	184 , 	821 ," 	1,005 ", 	20 , 	217 , 	237 , 	10 , 	958 ," 	1,117 "," 	1,070 "," 	1,067 "," 	1,023 ", 	727 ," 	1,677 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	452 ," 	1,816 "," 	2,268 ", 	58 , 	627 , 	685 , 	58 ," 	1,695 "," 	2,409 "," 	2,324 "," 	2,380 "," 	2,299 "," 	1,316 "," 	3,533 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	243 , 	956 ," 	1,199 ", 	29 , 	199 , 	228 , 	2 ," 	1,115 "," 	1,265 "," 	1,117 "," 	1,217 "," 	1,101 "," 	1,164 "," 	2,449 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	629 ," 	2,403 "," 	3,032 ", 	139 , 	890 ," 	1,029 ", 	513 ," 	2,348 "," 	3,264 "," 	3,000 "," 	3,158 "," 	2,927 "," 	2,019 "," 	5,339 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	415 ," 	1,961 "," 	2,376 ", 	56 , 	711 , 	767 , 	52 ," 	1,455 "," 	2,805 "," 	2,470 "," 	2,645 "," 	2,327 "," 	2,593 "," 	4,725 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	858 ," 	3,291 "," 	4,149 ", 	174 ," 	1,059 "," 	1,233 ", 	121 ," 	2,834 "," 	4,439 "," 	3,886 "," 	4,359 "," 	3,843 "," 	4,622 "," 	7,444 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	364 ," 	1,394 "," 	1,758 ", 	99 , 	679 , 	778 , 	108 ," 	1,563 "," 	1,894 "," 	1,706 "," 	1,744 "," 	1,614 "," 	1,414 "," 	2,934 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,346 "," 	5,694 "," 	7,040 ", 	198 ," 	1,767 "," 	1,965 ", 	60 ," 	5,289 "," 	7,820 "," 	6,863 "," 	7,384 "," 	6,671 "," 	5,504 "," 	12,496 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	365 ," 	1,240 "," 	1,605 ", 	85 , 	572 , 	657 , 	124 ," 	1,374 "," 	1,680 "," 	1,511 "," 	1,583 "," 	1,452 "," 	1,150 "," 	2,551 "
,2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	896 ," 	3,986 "," 	4,882 ", 	103 ," 	1,190 "," 	1,293 ", 	78 ," 	3,726 "," 	4,782 "," 	4,670 "," 	4,744 "," 	4,630 "," 	3,618 "," 	8,231 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	610 ," 	2,063 "," 	2,673 ", 	98 , 	628 , 	726 , 	23 ," 	2,709 "," 	4,262 "," 	3,804 "," 	3,999 "," 	3,605 "," 	2,909 "," 	5,608 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	753 ," 	2,523 "," 	3,276 ", 	175 , 	631 , 	806 , 	48 ," 	3,318 "," 	5,055 "," 	4,347 "," 	4,910 "," 	4,235 "," 	3,540 "," 	6,777 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	770 ," 	2,989 "," 	3,759 ", 	106 ," 	1,091 "," 	1,197 ", 	4 ," 	3,061 "," 	4,933 "," 	4,652 "," 	4,858 "," 	4,590 "," 	3,101 "," 	7,737 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	292 ," 	1,807 "," 	2,099 ", 	42 , 	373 , 	415 , 	- 0," 	1,899 "," 	2,365 "," 	2,060 "," 	2,255 "," 	1,981 "," 	1,894 "," 	4,179 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	648 ," 	2,166 "," 	2,814 ", 	102 , 	509 , 	611 , 	- 0," 	2,577 "," 	5,201 "," 	4,481 "," 	4,820 "," 	4,156 "," 	2,916 "," 	6,843 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	441 ," 	1,692 "," 	2,133 ", 	45 , 	466 , 	511 , 	9 ," 	2,180 "," 	2,405 "," 	2,262 "," 	2,389 "," 	2,248 "," 	1,989 "," 	3,859 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	396 ," 	1,465 "," 	1,861 ", 	62 , 	355 , 	417 , 	30 ," 	1,716 "," 	3,658 "," 	2,697 "," 	3,533 "," 	2,568 "," 	1,918 "," 	4,432 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	579 ," 	1,895 "," 	2,474 ", 	64 , 	634 , 	698 , 	9 ," 	2,621 "," 	2,915 "," 	2,753 "," 	2,890 "," 	2,719 "," 	2,092 "," 	4,787 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	484 ," 	1,850 "," 	2,334 ", 	65 , 	752 , 	817 , 	7 ," 	1,894 "," 	2,581 "," 	2,105 "," 	2,528 "," 	2,047 "," 	1,785 "," 	3,880 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	541 ," 	1,765 "," 	2,306 ", 	68 , 	435 , 	503 , 	19 ," 	2,444 "," 	3,953 "," 	3,544 "," 	3,849 "," 	3,444 "," 	2,790 "," 	6,317 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,444 "," 	4,565 "," 	6,009 ", 	208 ," 	1,178 "," 	1,386 ", 	84 ," 	4,621 "," 	7,944 "," 	7,357 "," 	7,751 "," 	7,147 "," 	2,896 "," 	10,777 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	756 ," 	3,853 "," 	4,609 ", 	106 ," 	1,078 "," 	1,184 ", 	8 ," 	3,176 "," 	4,938 "," 	4,632 "," 	4,830 "," 	4,526 "," 	3,292 "," 	7,691 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,149 "," 	5,282 "," 	6,431 ", 	177 ," 	1,380 "," 	1,557 ", 	350 ," 	4,367 "," 	8,130 "," 	7,840 "," 	7,716 "," 	7,490 "," 	4,131 "," 	11,674 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT, 	939 ," 	3,532 "," 	4,471 ", 	141 , 	887 ," 	1,028 ", 	2 ," 	3,756 "," 	6,824 "," 	6,015 "," 	6,235 "," 	5,502 "," 	2,217 "," 	9,046 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	603 ," 	2,890 "," 	3,493 ", 	69 , 	885 , 	954 , 	447 ," 	2,815 "," 	4,722 "," 	4,281 "," 	4,474 "," 	4,057 "," 	3,240 "," 	7,080 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	870 ," 	3,184 "," 	4,054 ", 	126 , 	762 , 	888 , 	90 ," 	3,746 "," 	4,743 "," 	4,536 "," 	4,414 "," 	4,217 "," 	3,302 "," 	7,391 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,050 "," 	4,057 "," 	5,107 ", 	214 ," 	1,344 "," 	1,558 ", 	276 ," 	4,828 "," 	7,950 "," 	7,421 "," 	7,411 "," 	6,802 "," 	7,190 "," 	14,436 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	769 ," 	2,689 "," 	3,458 ", 	85 , 	517 , 	602 , 	9 ," 	3,686 "," 	4,712 "," 	4,308 "," 	4,509 "," 	4,131 "," 	2,928 "," 	7,149 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	673 ," 	2,574 "," 	3,247 ", 	136 , 	759 , 	895 , 	58 ," 	2,251 "," 	3,922 "," 	3,358 "," 	3,781 "," 	3,264 "," 	4,359 "," 	5,782 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	910 ," 	3,419 "," 	4,329 ", 	138 , 	620 , 	758 ," 	1,348 "," 	3,885 "," 	5,852 "," 	5,524 "," 	5,826 "," 	5,481 "," 	3,964 "," 	9,752 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	644 ," 	2,174 "," 	2,818 ", 	83 , 	893 , 	976 , 	1 ," 	2,541 "," 	3,530 "," 	3,311 "," 	3,362 "," 	3,162 "," 	2,125 "," 	5,428 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	544 ," 	2,149 "," 	2,693 ", 	97 , 	762 , 	859 , 	116 ," 	2,033 "," 	4,208 "," 	3,767 "," 	4,173 "," 	3,734 "," 	2,466 "," 	6,106 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,192 "," 	3,713 "," 	4,905 ", 	228 ," 	1,345 "," 	1,573 ", 	208 ," 	5,536 "," 	8,528 "," 	6,797 "," 	8,180 "," 	6,489 "," 	7,200 "," 	12,653 "
,2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	319 ," 	1,327 "," 	1,646 ", 	61 , 	254 , 	315 , 	- 0," 	1,776 "," 	2,568 "," 	2,391 "," 	2,376 "," 	2,237 ", 	859 ," 	3,620 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	473 ," 	1,578 "," 	2,051 ", 	123 , 	491 , 	614 , 	96 ," 	1,478 "," 	2,109 "," 	1,676 "," 	2,083 "," 	1,646 "," 	1,717 "," 	3,431 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	615 ," 	2,485 "," 	3,100 ", 	51 , 	639 , 	690 , 	- 0," 	2,776 "," 	3,843 "," 	3,360 "," 	3,799 "," 	3,311 "," 	2,112 "," 	6,026 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	549 ," 	1,759 "," 	2,308 ", 	98 , 	601 , 	699 , 	3 ," 	2,154 "," 	2,978 "," 	2,665 "," 	2,920 "," 	2,627 "," 	1,035 "," 	4,593 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	538 ," 	2,571 "," 	3,109 ", 	65 , 	417 , 	482 , 	- 0," 	2,615 "," 	3,885 "," 	3,741 "," 	3,855 "," 	3,708 "," 	2,501 "," 	6,205 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,649 "," 	5,353 "," 	7,002 ", 	300 ," 	1,084 "," 	1,384 ", 	7 ," 	7,222 "," 	11,107 "," 	10,229 "," 	10,994 "," 	9,588 "," 	8,699 "," 	16,879 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	951 ," 	3,250 "," 	4,201 ", 	207 , 	923 ," 	1,130 ", 	- 0," 	3,819 "," 	5,715 "," 	5,307 "," 	5,528 "," 	5,197 "," 	2,640 "," 	8,581 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	809 ," 	3,395 "," 	4,204 ", 	175 ," 	1,042 "," 	1,217 ", 	6 ," 	3,502 "," 	5,515 "," 	4,970 "," 	5,250 "," 	4,709 "," 	3,142 "," 	7,238 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,043 "," 	4,627 "," 	5,670 ", 	219 , 	872 ," 	1,091 ", 	2 ," 	5,328 "," 	8,063 "," 	7,576 "," 	7,645 "," 	6,830 "," 	5,018 "," 	15,253 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	655 ," 	2,424 "," 	3,079 ", 	96 , 	712 , 	808 , 	8 ," 	3,199 "," 	4,613 "," 	4,759 "," 	4,595 "," 	4,737 "," 	2,573 "," 	8,010 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,941 "," 	7,542 "," 	9,483 ", 	398 ," 	2,829 "," 	3,227 ", 	235 ," 	7,198 "," 	12,097 "," 	10,431 "," 	11,743 "," 	10,301 "," 	6,797 "," 	15,939 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	908 ," 	3,489 "," 	4,397 ", 	127 ," 	1,349 "," 	1,476 ", 	257 ," 	2,704 "," 	5,498 "," 	4,931 "," 	5,448 "," 	4,848 "," 	1,752 "," 	6,992 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	691 ," 	2,759 "," 	3,450 ", 	71 , 	935 ," 	1,006 ", 	1 ," 	2,840 "," 	4,469 "," 	4,103 "," 	4,334 "," 	3,980 "," 	1,134 "," 	5,698 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,153 "," 	4,756 "," 	5,909 ", 	247 ," 	1,716 "," 	1,963 ", 	- 0," 	5,951 "," 	6,964 "," 	5,589 "," 	6,578 "," 	5,175 "," 	5,256 "," 	10,576 "
,2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	388 ," 	1,522 "," 	1,910 ", 	95 , 	537 , 	632 , 	5 ," 	1,231 "," 	2,135 "," 	1,736 "," 	1,965 "," 	1,588 "," 	1,523 "," 	3,030 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	621 ," 	1,899 "," 	2,520 ", 	124 , 	771 , 	895 , 	6 ," 	2,837 "," 	3,431 "," 	3,251 "," 	3,305 "," 	3,148 "," 	1,489 "," 	5,118 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	263 , 	928 ," 	1,191 ", 	31 , 	293 , 	324 , 	- 0, 	967 ," 	1,621 "," 	1,644 "," 	1,536 "," 	1,549 ", 	722 ," 	2,641 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,561 "," 	6,400 "," 	7,961 ", 	177 ," 	1,941 "," 	2,118 ", 	188 ," 	6,815 "," 	9,266 "," 	8,766 "," 	8,919 "," 	8,534 "," 	5,090 "," 	13,542 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	697 ," 	2,463 "," 	3,160 ", 	107 , 	931 ," 	1,038 ", 	9 ," 	2,925 "," 	3,374 "," 	2,861 "," 	3,304 "," 	2,827 "," 	1,192 "," 	4,662 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,622 "," 	5,466 "," 	7,088 ", 	185 ," 	1,840 "," 	2,025 ", 	17 ," 	5,872 "," 	8,098 "," 	7,900 "," 	7,913 "," 	7,713 "," 	3,390 "," 	12,043 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,946 "," 	7,493 "," 	9,439 ", 	319 ," 	3,033 "," 	3,352 ", 	123 ," 	6,721 "," 	13,103 "," 	11,226 "," 	12,553 "," 	10,626 "," 	5,682 "," 	15,720 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,287 "," 	5,630 "," 	6,917 ", 	186 ," 	2,308 "," 	2,494 ", 	4 ," 	4,943 "," 	8,360 "," 	6,910 "," 	8,301 "," 	6,864 "," 	6,893 "," 	11,921 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	538 ," 	2,371 "," 	2,909 ", 	100 , 	945 ," 	1,045 ", 	1 ," 	2,624 "," 	4,327 "," 	3,337 "," 	4,325 "," 	3,334 "," 	3,758 "," 	5,831 "
,2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,468 "," 	5,737 "," 	7,205 ", 	266 ," 	1,915 "," 	2,181 ", 	24 ," 	5,348 "," 	7,592 "," 	7,423 "," 	7,421 "," 	7,279 "," 	4,799 "," 	11,215 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	557 ," 	1,374 "," 	1,931 ", 	127 , 	477 , 	604 , 	7 ," 	1,344 "," 	2,153 "," 	2,364 "," 	2,103 "," 	2,347 "," 	1,405 "," 	3,578 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	895 ," 	2,462 "," 	3,357 ", 	181 , 	638 , 	819 , 	205 ," 	3,239 "," 	6,547 "," 	6,402 "," 	5,038 "," 	5,230 "," 	3,390 "," 	8,917 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	677 ," 	2,934 "," 	3,611 ", 	105 , 	974 ," 	1,079 ", 	50 ," 	2,304 "," 	4,460 "," 	3,209 "," 	4,430 "," 	3,139 "," 	3,194 "," 	6,953 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	516 ," 	2,428 "," 	2,944 ", 	101 , 	916 ," 	1,017 ", 	38 ," 	2,161 "," 	4,579 "," 	4,068 "," 	4,179 "," 	3,693 "," 	2,335 "," 	6,921 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	733 ," 	2,695 "," 	3,428 ", 	87 , 	960 ," 	1,047 ", 	4 ," 	2,824 "," 	4,581 "," 	3,801 "," 	4,504 "," 	3,744 "," 	3,741 "," 	7,284 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	433 ," 	1,616 "," 	2,049 ", 	64 , 	560 , 	624 , 	4 ," 	1,371 "," 	2,417 "," 	1,402 "," 	2,405 "," 	1,388 "," 	2,096 "," 	4,190 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	497 ," 	2,225 "," 	2,722 ", 	117 , 	926 ," 	1,043 ", 	7 ," 	2,420 "," 	4,497 "," 	4,689 "," 	3,991 "," 	3,835 "," 	2,441 "," 	6,673 "
,2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	547 ," 	1,700 "," 	2,247 ", 	100 , 	373 , 	473 , 	494 ," 	2,826 "," 	4,889 "," 	4,127 "," 	3,952 "," 	3,203 "," 	4,024 "," 	6,491 "
