,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JANUARY,,,,England," 	121,865 "," 	413,862 "," 	535,727 "," 	18,823 "," 	121,263 "," 	140,086 "," 	10,243 "," 	14,851 "," 	434,834 "," 	844,839 "," 	718,947 "," 	805,520 "," 	685,633 "," 	461,915 "," 	1,185,751 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	262 , 	885 ," 	1,147 ", 	27 , 	262 , 	289 , 	- 0, 	6 ," 	1,074 "," 	1,333 "," 	1,093 "," 	1,283 "," 	1,042 ", 	774 ," 	1,758 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	493 ," 	1,802 "," 	2,295 ", 	73 , 	523 , 	596 , 	- 0, 	67 ," 	2,017 "," 	2,969 "," 	2,623 "," 	2,930 "," 	2,594 "," 	1,547 "," 	4,218 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	249 , 	757 ," 	1,006 ", 	32 , 	161 , 	193 , 	- 0, 	- 0," 	1,049 "," 	1,515 "," 	1,243 "," 	1,501 "," 	1,227 "," 	1,136 "," 	2,219 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	657 , 	995 ," 	1,652 ", 	156 , 	171 , 	327 , 	- 0, 	396 ," 	2,216 "," 	3,662 "," 	3,262 "," 	3,531 "," 	3,078 "," 	1,985 "," 	4,848 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	422 ," 	1,586 "," 	2,008 ", 	49 , 	483 , 	532 , 	- 0, 	39 ," 	1,585 "," 	2,874 "," 	2,260 "," 	2,869 "," 	2,369 "," 	1,680 "," 	4,087 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	957 ," 	2,834 "," 	3,791 ", 	168 , 	667 , 	835 , 	- 0, 	97 ," 	2,753 "," 	4,721 "," 	3,893 "," 	4,681 "," 	3,804 "," 	4,698 "," 	7,231 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	387 ," 	1,275 "," 	1,662 ", 	133 , 	502 , 	635 , 	- 0, 	99 ," 	1,817 "," 	2,181 "," 	1,934 "," 	2,043 "," 	1,838 "," 	1,509 "," 	3,687 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,355 "," 	4,772 "," 	6,127 ", 	184 ," 	1,563 "," 	1,747 ", 	- 0, 	45 ," 	4,719 "," 	8,177 "," 	6,735 "," 	7,974 "," 	6,540 "," 	5,218 "," 	11,179 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	371 ," 	1,243 "," 	1,614 ", 	116 , 	539 , 	655 , 	- 0, 	107 ," 	1,377 "," 	1,887 "," 	1,637 "," 	1,797 "," 	1,569 "," 	1,237 "," 	3,056 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	965 ," 	3,314 "," 	4,279 ", 	110 ," 	1,005 "," 	1,115 ", 	81 , 	9 ," 	3,158 "," 	4,680 "," 	4,569 "," 	4,624 "," 	4,495 "," 	2,652 "," 	7,260 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	485 ," 	1,220 "," 	1,705 ", 	112 , 	301 , 	413 , 	77 , 	- 0," 	1,522 "," 	2,483 "," 	2,292 "," 	2,352 "," 	2,092 ", 	761 ," 	3,266 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	587 ," 	1,724 "," 	2,311 ", 	79 , 	509 , 	588 , 	90 , 	60 ," 	2,091 "," 	4,327 "," 	3,249 "," 	4,224 "," 	3,188 "," 	3,020 "," 	5,929 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	907 ," 	2,123 "," 	3,030 ", 	180 , 	627 , 	807 , 	14 , 	11 ," 	2,981 "," 	5,030 "," 	3,800 "," 	5,229 "," 	4,210 "," 	4,054 "," 	7,174 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	801 ," 	2,594 "," 	3,395 ", 	115 , 	905 ," 	1,020 ", 	- 0, 	102 ," 	2,768 "," 	5,264 "," 	4,174 "," 	5,180 "," 	4,102 "," 	3,111 "," 	7,051 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	305 ," 	1,590 "," 	1,895 ", 	20 , 	359 , 	379 , 	- 0, 	7 ," 	1,786 "," 	2,584 "," 	1,882 "," 	2,292 "," 	1,721 "," 	2,034 "," 	3,287 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	690 ," 	1,748 "," 	2,438 ", 	133 , 	433 , 	566 , 	1 , 	18 ," 	2,301 "," 	4,832 "," 	4,301 "," 	4,425 "," 	3,999 "," 	2,669 "," 	6,756 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	443 ," 	1,432 "," 	1,875 ", 	38 , 	318 , 	356 , 	6 , 	55 ," 	1,874 "," 	2,685 "," 	2,201 "," 	2,664 "," 	2,187 "," 	1,824 "," 	3,958 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	392 ," 	1,376 "," 	1,768 ", 	50 , 	355 , 	405 , 	45 , 	2 ," 	1,847 "," 	3,393 "," 	2,748 "," 	3,224 "," 	2,575 "," 	1,753 "," 	4,440 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	543 ," 	1,773 "," 	2,316 ", 	58 , 	582 , 	640 , 	- 0, 	4 ," 	2,250 "," 	3,417 "," 	2,812 "," 	3,127 "," 	2,568 "," 	2,616 "," 	4,859 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	622 ," 	1,887 "," 	2,509 ", 	97 , 	645 , 	742 , 	1 , 	38 ," 	1,573 "," 	2,681 "," 	2,323 "," 	2,584 "," 	2,386 "," 	1,959 "," 	4,183 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	556 ," 	1,751 "," 	2,307 ", 	55 , 	403 , 	458 , 	7 , 	15 ," 	2,206 "," 	3,571 "," 	3,405 "," 	3,808 "," 	3,690 "," 	2,717 "," 	6,403 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,468 "," 	4,362 "," 	5,830 ", 	197 ," 	1,100 "," 	1,297 ", 	- 0, 	108 ," 	4,212 "," 	8,282 "," 	7,132 "," 	8,159 "," 	7,001 "," 	2,662 "," 	10,354 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	843 ," 	3,459 "," 	4,302 ", 	120 , 	880 ," 	1,000 ", 	75 , 	32 ," 	3,092 "," 	5,451 "," 	4,329 "," 	5,242 "," 	4,173 "," 	2,367 "," 	7,162 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,212 "," 	4,773 "," 	5,985 ", 	195 ," 	1,197 "," 	1,392 ", 	595 , 	258 ," 	4,139 "," 	8,299 "," 	6,773 "," 	7,774 "," 	6,416 "," 	4,398 "," 	11,110 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,368 "," 	3,398 "," 	4,766 ", 	202 ," 	1,035 "," 	1,237 ", 	284 , 	- 0," 	3,309 "," 	6,849 "," 	6,226 "," 	6,448 "," 	5,759 "," 	2,204 "," 	8,983 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	692 ," 	2,752 "," 	3,444 ", 	74 , 	827 , 	901 , 	127 , 	390 ," 	2,728 "," 	5,130 "," 	4,319 "," 	4,796 "," 	4,036 "," 	3,101 "," 	7,277 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	821 ," 	2,577 "," 	3,398 ", 	92 , 	748 , 	840 , 	62 , 	35 ," 	3,695 "," 	4,884 "," 	4,305 "," 	4,429 "," 	3,931 "," 	2,965 "," 	7,314 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,066 "," 	3,855 "," 	4,921 ", 	130 ," 	1,138 "," 	1,268 ", 	135 , 	59 ," 	5,759 "," 	9,539 "," 	8,009 "," 	8,833 "," 	7,314 "," 	6,919 "," 	16,302 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	741 ," 	2,421 "," 	3,162 ", 	65 , 	452 , 	517 , 	2 , 	83 ," 	3,224 "," 	5,540 "," 	4,640 "," 	5,326 "," 	4,474 "," 	2,432 "," 	7,069 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	631 ," 	2,222 "," 	2,853 ", 	97 , 	478 , 	575 , 	2 , 	217 ," 	2,514 "," 	3,979 "," 	3,454 "," 	3,861 "," 	3,391 "," 	3,670 "," 	5,978 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	973 ," 	3,310 "," 	4,283 ", 	110 , 	495 , 	605 , 	3 ," 	1,569 "," 	4,255 "," 	6,734 "," 	5,920 "," 	6,579 "," 	5,705 "," 	4,981 "," 	10,896 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	609 ," 	2,172 "," 	2,781 ", 	87 , 	711 , 	798 , 	1 , 	2 ," 	2,074 "," 	3,396 "," 	3,220 "," 	3,047 "," 	2,783 "," 	2,803 "," 	5,165 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	613 ," 	1,823 "," 	2,436 ", 	109 , 	609 , 	718 , 	- 0, 	116 ," 	1,823 "," 	4,820 "," 	3,657 "," 	4,583 "," 	3,522 "," 	2,463 "," 	6,195 "
,2009-10,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,349 "," 	3,467 "," 	4,816 ", 	247 ," 	1,148 "," 	1,395 ", 	24 , 	181 ," 	5,447 "," 	9,207 "," 	6,566 "," 	9,207 "," 	6,566 "," 	8,190 "," 	13,938 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	493 ," 	1,628 "," 	2,121 ", 	94 , 	421 , 	515 , 	- 0, 	79 ," 	1,470 "," 	2,172 "," 	2,032 "," 	2,123 "," 	1,984 "," 	1,823 "," 	3,957 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	654 ," 	2,579 "," 	3,233 ", 	83 , 	769 , 	852 , 	10 , 	- 0," 	2,513 "," 	4,097 "," 	3,586 "," 	4,058 "," 	3,558 "," 	2,170 "," 	6,267 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	531 ," 	1,494 "," 	2,025 ", 	100 , 	553 , 	653 , 	- 0, 	- 0," 	1,995 "," 	2,861 "," 	2,667 "," 	2,807 "," 	2,230 "," 	1,052 "," 	3,662 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	898 ," 	2,571 "," 	3,469 ", 	135 , 	788 , 	923 , 	- 0, 	- 0," 	2,712 "," 	4,111 "," 	3,773 "," 	4,914 "," 	4,295 "," 	3,295 "," 	7,083 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,788 "," 	5,061 "," 	6,849 ", 	227 , 	914 ," 	1,141 ", 	163 , 	17 ," 	7,402 "," 	10,526 "," 	9,340 "," 	10,452 "," 	8,770 "," 	8,086 "," 	15,373 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	850 ," 	2,670 "," 	3,520 ", 	166 , 	797 , 	963 , 	- 0, 	27 ," 	3,181 "," 	5,945 "," 	4,719 "," 	5,504 "," 	4,637 "," 	2,242 "," 	7,703 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	728 ," 	2,538 "," 	3,266 ", 	125 , 	975 ," 	1,100 ", 	- 0, 	147 ," 	3,149 "," 	5,227 "," 	4,596 "," 	4,970 "," 	4,371 "," 	2,227 "," 	6,474 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,397 "," 	4,706 "," 	6,103 ", 	226 ," 	1,343 "," 	1,569 ", 	165 , 	- 0," 	4,625 "," 	8,549 "," 	7,156 "," 	7,654 "," 	6,438 "," 	5,969 "," 	16,424 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	749 ," 	2,444 "," 	3,193 ", 	102 , 	732 , 	834 , 	- 0, 	59 ," 	2,790 "," 	5,049 "," 	4,545 "," 	5,465 "," 	4,854 "," 	3,065 "," 	8,190 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,989 "," 	6,825 "," 	8,814 ", 	358 ," 	2,265 "," 	2,623 ", 	- 0, 	354 ," 	6,656 "," 	12,040 "," 	10,115 "," 	11,783 "," 	9,922 "," 	6,510 "," 	15,745 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	902 ," 	3,360 "," 	4,262 ", 	104 , 	985 ," 	1,089 ", 	- 0, 	286 ," 	2,789 "," 	5,677 "," 	4,759 "," 	5,661 "," 	4,758 "," 	1,711 "," 	6,722 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	761 ," 	2,715 "," 	3,476 ", 	68 , 	729 , 	797 , 	- 0, 	6 ," 	2,691 "," 	4,957 "," 	4,121 "," 	4,943 "," 	4,121 "," 	1,098 "," 	5,939 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,326 "," 	4,354 "," 	5,680 ", 	241 ," 	1,435 "," 	1,676 ", 	631 , 	1 ," 	4,716 "," 	6,483 "," 	5,652 "," 	5,957 "," 	5,072 "," 	3,917 "," 	8,964 "
,2009-10,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	479 ," 	1,674 "," 	2,153 ", 	96 , 	520 , 	616 , 	- 0, 	1 ," 	1,088 "," 	2,532 "," 	2,067 "," 	2,342 "," 	1,908 "," 	1,363 "," 	3,531 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	609 ," 	1,932 "," 	2,541 ", 	119 , 	499 , 	618 , 	408 , 	10 ," 	2,650 "," 	4,548 "," 	3,961 "," 	4,443 "," 	3,855 "," 	1,761 "," 	6,425 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	329 , 	958 ," 	1,287 ", 	85 , 	216 , 	301 , 	19 , 	- 0, 	825 ," 	1,823 "," 	1,693 "," 	1,763 "," 	1,628 ", 	530 ," 	2,639 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,573 "," 	6,285 "," 	7,858 ", 	228 ," 	2,053 "," 	2,281 ", 	252 , 	- 0," 	6,156 "," 	11,271 "," 	9,183 "," 	10,998 "," 	8,994 "," 	5,469 "," 	15,805 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	721 ," 	2,849 "," 	3,570 ", 	133 , 	995 ," 	1,128 ", 	21 , 	11 ," 	2,670 "," 	4,756 "," 	3,619 "," 	4,675 "," 	3,589 "," 	2,009 "," 	5,486 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,690 "," 	5,685 "," 	7,375 ", 	192 ," 	1,279 "," 	1,471 ", 	798 , 	55 ," 	5,343 "," 	10,245 "," 	8,922 "," 	10,059 "," 	8,746 "," 	3,914 "," 	13,940 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,390 "," 	7,235 "," 	9,625 ", 	455 ," 	2,580 "," 	3,035 ", 	400 , 	- 0," 	5,686 "," 	12,382 "," 	11,543 "," 	11,763 "," 	10,965 "," 	4,903 "," 	15,949 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,426 "," 	5,371 "," 	6,797 ", 	178 ," 	2,078 "," 	2,256 ", 	36 , 	- 0," 	5,470 "," 	10,404 "," 	8,001 "," 	9,951 "," 	8,383 "," 	7,401 "," 	13,188 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	654 ," 	2,121 "," 	2,775 ", 	92 , 	883 , 	975 , 	21 , 	- 0," 	3,388 "," 	5,114 "," 	3,757 "," 	5,020 "," 	4,000 "," 	4,248 "," 	6,248 "
,2009-10,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,395 "," 	6,110 "," 	7,505 ", 	353 ," 	2,022 "," 	2,375 ", 	269 , 	- 0," 	6,486 "," 	9,266 "," 	9,208 "," 	8,402 "," 	8,363 "," 	4,121 "," 	15,675 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	395 ," 	1,325 "," 	1,720 ", 	78 , 	544 , 	622 , 	- 0, 	- 0," 	1,211 "," 	2,488 "," 	2,381 "," 	2,394 "," 	2,324 "," 	1,085 "," 	3,295 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	900 ," 	2,315 "," 	3,215 ", 	214 , 	544 , 	758 , 	- 0, 	195 ," 	3,100 "," 	6,798 "," 	6,230 "," 	5,272 "," 	4,798 "," 	3,435 "," 	8,669 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	694 ," 	2,706 "," 	3,400 ", 	110 ," 	1,068 "," 	1,178 ", 	- 0, 	6 ," 	2,378 "," 	4,140 "," 	2,897 "," 	3,565 "," 	2,766 "," 	3,769 "," 	5,642 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	476 ," 	2,258 "," 	2,734 ", 	83 , 	855 , 	938 , 	- 0, 	48 ," 	1,817 "," 	5,243 "," 	4,459 "," 	4,832 "," 	4,336 "," 	2,135 "," 	7,162 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	688 ," 	2,789 "," 	3,477 ", 	85 , 	955 ," 	1,040 ", 	- 0, 	5 ," 	2,655 "," 	6,514 "," 	5,410 "," 	6,189 "," 	5,239 "," 	4,201 "," 	8,929 "
,2009-10,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	293 ," 	1,314 "," 	1,607 ", 	49 , 	489 , 	538 , 	- 0, 	3 ," 	1,172 "," 	2,260 "," 	1,315 "," 	1,906 "," 	1,190 "," 	2,252 "," 	2,736 "
