,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,OCTOBER,,,,England," 	146,341 "," 	457,964 "," 	604,305 "," 	22,177 "," 	132,120 "," 	154,297 "," 	11,105 "," 	16,805 "," 	454,451 "," 	976,748 "," 	830,034 "," 	934,300 "," 	791,033 "," 	503,510 "," 	1,329,690 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	816 ," 	2,540 "," 	3,356 ", 	119 , 	748 , 	867 , 	82 , 	9 ," 	2,560 "," 	4,071 "," 	3,799 "," 	3,917 "," 	3,685 "," 	2,329 "," 	5,796 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	297 , 	901 ," 	1,198 ", 	43 , 	307 , 	350 , 	- 0, 	1 ," 	1,040 "," 	1,470 "," 	1,250 "," 	1,416 "," 	1,208 ", 	863 ," 	2,033 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	545 ," 	1,958 "," 	2,503 ", 	62 , 	586 , 	648 , 	1 , 	1 ," 	2,068 "," 	3,196 "," 	2,787 "," 	3,159 "," 	2,767 "," 	1,736 "," 	4,479 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	304 , 	797 ," 	1,101 ", 	51 , 	157 , 	208 , 	- 0, 	- 0," 	1,059 "," 	1,636 "," 	1,339 "," 	1,610 "," 	1,304 "," 	1,172 "," 	2,260 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	681 ," 	1,155 "," 	1,836 ", 	149 , 	307 , 	456 , 	- 0, 	428 ," 	2,290 "," 	4,371 "," 	3,740 "," 	4,254 "," 	3,783 "," 	2,454 "," 	6,171 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	502 ," 	1,910 "," 	2,412 ", 	49 , 	606 , 	655 , 	- 0, 	47 ," 	1,696 "," 	3,356 "," 	2,715 "," 	3,352 "," 	2,911 "," 	1,837 "," 	4,752 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,024 "," 	3,131 "," 	4,155 ", 	167 , 	750 , 	917 , 	- 0, 	119 ," 	2,957 "," 	5,290 "," 	4,874 "," 	5,237 "," 	4,492 "," 	5,943 "," 	8,313 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	457 ," 	1,320 "," 	1,777 ", 	103 , 	641 , 	744 , 	1 , 	1 ," 	1,815 "," 	2,278 "," 	1,915 "," 	2,147 "," 	1,822 "," 	1,649 "," 	3,727 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,620 "," 	5,306 "," 	6,926 ", 	205 ," 	1,556 "," 	1,761 ", 	- 0, 	34 ," 	5,391 "," 	9,293 "," 	7,987 "," 	9,024 "," 	7,765 "," 	5,900 "," 	13,016 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	431 ," 	1,212 "," 	1,643 ", 	93 , 	617 , 	710 , 	4 , 	- 0," 	1,446 "," 	2,053 "," 	1,646 "," 	1,974 "," 	1,602 "," 	1,356 "," 	3,153 "
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,122 "," 	3,856 "," 	4,978 ", 	147 ," 	1,095 "," 	1,242 ", 	85 , 	8 ," 	3,302 "," 	5,697 "," 	5,478 "," 	5,661 "," 	5,448 "," 	3,176 "," 	8,681 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	579 ," 	1,349 "," 	1,928 ", 	152 , 	308 , 	460 , 	114 , 	1 ," 	1,635 "," 	2,961 "," 	2,762 "," 	2,839 "," 	2,529 ", 	949 ," 	3,782 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	710 ," 	1,804 "," 	2,514 ", 	90 , 	532 , 	622 , 	69 , 	21 ," 	2,431 "," 	4,746 "," 	3,715 "," 	4,638 "," 	3,640 "," 	3,080 "," 	5,919 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,073 "," 	2,455 "," 	3,528 ", 	210 , 	633 , 	843 , 	11 , 	28 ," 	3,035 "," 	5,604 "," 	4,590 "," 	5,446 "," 	4,763 "," 	4,178 "," 	7,874 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	964 ," 	2,965 "," 	3,929 ", 	111 , 	814 , 	925 , 	2 , 	126 ," 	2,978 "," 	6,181 "," 	5,248 "," 	5,921 "," 	5,154 "," 	3,398 "," 	8,623 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	376 ," 	1,725 "," 	2,101 ", 	37 , 	398 , 	435 , 	14 , 	4 ," 	1,707 "," 	2,830 "," 	2,060 "," 	2,699 "," 	1,939 "," 	1,981 "," 	3,602 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	838 ," 	1,932 "," 	2,770 ", 	154 , 	365 , 	519 , 	1 , 	1 ," 	2,404 "," 	5,699 "," 	4,901 "," 	5,295 "," 	4,557 "," 	2,943 "," 	7,511 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	501 ," 	1,618 "," 	2,119 ", 	44 , 	358 , 	402 , 	4 , 	40 ," 	2,015 "," 	3,073 "," 	2,445 "," 	3,042 "," 	2,416 "," 	1,902 "," 	4,448 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	529 ," 	1,521 "," 	2,050 ", 	52 , 	329 , 	381 , 	57 , 	2 ," 	2,008 "," 	4,457 "," 	3,518 "," 	4,267 "," 	3,324 "," 	2,000 "," 	5,480 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	707 ," 	1,985 "," 	2,692 ", 	112 , 	571 , 	683 , 	- 0, 	5 ," 	2,440 "," 	3,999 "," 	3,529 "," 	3,683 "," 	3,235 "," 	2,533 "," 	6,472 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	712 ," 	2,133 "," 	2,845 ", 	113 , 	605 , 	718 , 	- 0, 	52 ," 	1,829 "," 	3,462 "," 	3,028 "," 	3,252 "," 	2,979 "," 	2,413 "," 	5,223 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	818 ," 	2,101 "," 	2,919 ", 	110 , 	427 , 	537 , 	2 , 	38 ," 	2,329 "," 	4,636 "," 	4,131 "," 	4,796 "," 	4,310 "," 	3,061 "," 	7,423 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,803 "," 	4,588 "," 	6,391 ", 	286 ," 	1,108 "," 	1,394 ", 	- 0, 	124 ," 	4,533 "," 	9,923 "," 	8,396 "," 	9,773 "," 	8,256 "," 	2,900 "," 	11,893 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	963 ," 	3,815 "," 	4,778 ", 	126 , 	975 ," 	1,101 ", 	81 , 	30 ," 	3,198 "," 	6,129 "," 	5,151 "," 	5,950 "," 	5,027 "," 	2,497 "," 	7,735 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,517 "," 	5,020 "," 	6,537 ", 	258 ," 	1,057 "," 	1,315 ", 	604 , 	366 ," 	4,264 "," 	9,807 "," 	8,594 "," 	9,295 "," 	8,220 "," 	4,577 "," 	13,077 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,450 "," 	3,937 "," 	5,387 ", 	264 ," 	1,083 "," 	1,347 ", 	371 , 	- 0," 	3,601 "," 	8,068 "," 	7,400 "," 	7,671 "," 	6,893 "," 	2,507 "," 	10,295 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	858 ," 	3,230 "," 	4,088 ", 	94 , 	970 ," 	1,064 ", 	140 , 	514 ," 	2,751 "," 	6,007 "," 	5,295 "," 	5,736 "," 	5,002 "," 	3,594 "," 	8,788 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT," 	1,020 "," 	3,296 "," 	4,316 ", 	143 , 	969 ," 	1,112 ", 	62 , 	45 ," 	3,754 "," 	5,891 "," 	5,072 "," 	5,536 "," 	4,760 "," 	3,301 "," 	8,177 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,468 "," 	4,305 "," 	5,773 ", 	180 ," 	1,118 "," 	1,298 ", 	141 , 	58 ," 	6,162 "," 	10,733 "," 	10,012 "," 	10,135 "," 	9,245 "," 	9,069 "," 	19,090 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	923 ," 	2,804 "," 	3,727 ", 	74 , 	468 , 	542 , 	6 , 	51 ," 	3,473 "," 	6,677 "," 	5,473 "," 	6,448 "," 	5,262 "," 	2,689 "," 	7,943 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	741 ," 	2,470 "," 	3,211 ", 	81 , 	483 , 	564 , 	3 , 	178 ," 	2,668 "," 	4,643 "," 	4,402 "," 	4,518 "," 	4,147 "," 	4,278 "," 	7,524 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,199 "," 	3,757 "," 	4,956 ", 	162 , 	574 , 	736 , 	1 ," 	1,691 "," 	4,489 "," 	7,549 "," 	6,620 "," 	7,402 "," 	6,375 "," 	5,137 "," 	11,576 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	799 ," 	2,515 "," 	3,314 ", 	138 , 	832 , 	970 , 	- 0, 	8 ," 	2,471 "," 	4,119 "," 	3,748 "," 	3,769 "," 	3,279 "," 	2,543 "," 	6,204 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	826 ," 	2,345 "," 	3,171 ", 	132 , 	735 , 	867 , 	- 0, 	186 ," 	1,820 "," 	5,954 "," 	4,536 "," 	5,705 "," 	4,392 "," 	2,978 "," 	7,235 "
,2009-10,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,719 "," 	4,048 "," 	5,767 ", 	294 ," 	1,105 "," 	1,399 ", 	13 , 	266 ," 	5,760 "," 	10,954 "," 	8,188 "," 	10,954 "," 	8,188 "," 	8,988 "," 	16,660 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	557 ," 	1,755 "," 	2,312 ", 	102 , 	524 , 	626 , 	- 0, 	77 ," 	1,522 "," 	2,653 "," 	2,368 "," 	2,595 "," 	2,290 "," 	2,053 "," 	4,727 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	872 ," 	3,011 "," 	3,883 ", 	106 , 	811 , 	917 , 	12 , 	1 ," 	2,694 "," 	4,975 "," 	4,408 "," 	4,930 "," 	4,374 "," 	2,302 "," 	7,350 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	596 ," 	1,707 "," 	2,303 ", 	76 , 	606 , 	682 , 	- 0, 	- 0," 	2,037 "," 	3,616 "," 	3,336 "," 	3,601 "," 	2,807 "," 	1,164 "," 	4,374 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	854 ," 	2,364 "," 	3,218 ", 	137 , 	825 , 	962 , 	- 0, 	1 ," 	2,518 "," 	5,403 "," 	4,612 "," 	5,030 "," 	4,294 "," 	2,951 "," 	7,006 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,034 "," 	5,488 "," 	7,522 ", 	258 ," 	1,340 "," 	1,598 ", 	167 , 	44 ," 	7,049 "," 	12,456 "," 	10,706 "," 	12,374 "," 	10,040 "," 	9,514 "," 	17,764 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,199 "," 	3,006 "," 	4,205 ", 	192 , 	866 ," 	1,058 ", 	- 0, 	46 ," 	3,553 "," 	7,182 "," 	6,023 "," 	6,761 "," 	5,872 "," 	2,738 "," 	9,299 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,092 "," 	3,026 "," 	4,118 ", 	163 ," 	1,075 "," 	1,238 ", 	- 0, 	312 ," 	3,314 "," 	6,399 "," 	5,340 "," 	5,959 "," 	5,010 "," 	2,785 "," 	7,660 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,782 "," 	5,239 "," 	7,021 ", 	311 ," 	1,614 "," 	1,925 ", 	176 , 	- 0," 	5,045 "," 	11,067 "," 	8,898 "," 	10,152 "," 	8,151 "," 	6,588 "," 	18,697 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	824 ," 	2,689 "," 	3,513 ", 	112 , 	806 , 	918 , 	33 , 	22 ," 	2,790 "," 	6,087 "," 	5,303 "," 	6,012 "," 	5,340 "," 	3,372 "," 	9,010 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,220 "," 	7,400 "," 	9,620 ", 	415 ," 	2,633 "," 	3,048 ", 	- 0, 	333 ," 	6,690 "," 	12,855 "," 	10,449 "," 	12,665 "," 	10,293 "," 	6,690 "," 	16,833 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,135 "," 	3,502 "," 	4,637 ", 	168 ," 	1,062 "," 	1,230 ", 	- 0, 	282 ," 	2,796 "," 	6,295 "," 	5,486 "," 	6,273 "," 	5,206 "," 	1,849 "," 	7,342 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	864 ," 	2,760 "," 	3,624 ", 	75 , 	789 , 	864 , 	- 0, 	5 ," 	2,720 "," 	5,280 "," 	4,377 "," 	5,267 "," 	4,376 "," 	1,090 "," 	6,213 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,557 "," 	5,134 "," 	6,691 ", 	284 ," 	1,440 "," 	1,724 ", 	828 , 	- 0," 	4,866 "," 	7,235 "," 	6,503 "," 	6,663 "," 	5,877 "," 	3,857 "," 	9,921 "
,2009-10,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	590 ," 	1,762 "," 	2,352 ", 	93 , 	618 , 	711 , 	- 0, 	2 ," 	1,339 "," 	2,671 "," 	2,187 "," 	2,493 "," 	1,995 "," 	1,562 "," 	3,892 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	774 ," 	2,062 "," 	2,836 ", 	150 , 	520 , 	670 , 	443 , 	7 ," 	2,771 "," 	5,062 "," 	4,541 "," 	4,906 "," 	4,422 "," 	1,856 "," 	7,048 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	354 ," 	1,092 "," 	1,446 ", 	71 , 	276 , 	347 , 	11 , 	3 , 	962 ," 	2,342 "," 	2,124 "," 	2,301 "," 	2,078 ", 	667 ," 	3,471 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	2,042 "," 	6,864 "," 	8,906 ", 	225 ," 	2,312 "," 	2,537 ", 	248 , 	- 0," 	6,251 "," 	12,908 "," 	10,961 "," 	12,606 "," 	10,690 "," 	5,797 "," 	17,468 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	740 ," 	3,035 "," 	3,775 ", 	135 ," 	1,064 "," 	1,199 ", 	19 , 	23 ," 	2,672 "," 	4,402 "," 	3,539 "," 	4,343 "," 	3,466 "," 	1,892 "," 	5,281 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,081 "," 	5,994 "," 	8,075 ", 	227 ," 	1,281 "," 	1,508 ", 	772 , 	45 ," 	5,500 "," 	11,797 "," 	10,303 "," 	11,594 "," 	10,143 "," 	4,111 "," 	15,590 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,531 "," 	8,246 "," 	10,777 ", 	521 ," 	2,941 "," 	3,462 ", 	471 , 	- 0," 	5,992 "," 	13,990 "," 	13,129 "," 	13,418 "," 	12,866 "," 	4,716 "," 	17,841 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,568 "," 	5,767 "," 	7,335 ", 	225 ," 	2,161 "," 	2,386 ", 	36 , 	- 0," 	5,538 "," 	11,419 "," 	8,921 "," 	11,141 "," 	9,425 "," 	7,268 "," 	14,441 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	698 ," 	2,492 "," 	3,190 ", 	95 , 	996 ," 	1,091 ", 	20 , 	- 0," 	3,597 "," 	5,446 "," 	4,118 "," 	5,399 "," 	4,482 "," 	4,127 "," 	6,497 "
,2009-10,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,821 "," 	6,071 "," 	7,892 ", 	409 ," 	2,070 "," 	2,479 ", 	110 , 	- 0," 	5,285 "," 	9,906 "," 	9,950 "," 	9,738 "," 	9,810 "," 	4,440 "," 	14,438 "
,2009-10,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	475 ," 	1,458 "," 	1,933 ", 	65 , 	591 , 	656 , 	- 0, 	5 ," 	1,246 "," 	2,932 "," 	2,822 "," 	2,823 "," 	2,759 "," 	1,393 "," 	3,842 "
,2009-10,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,001 "," 	2,748 "," 	3,749 ", 	190 , 	656 , 	846 , 	- 0, 	257 ," 	3,146 "," 	7,664 "," 	7,282 "," 	5,981 "," 	5,754 "," 	3,603 "," 	9,701 "
,2009-10,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	809 ," 	3,013 "," 	3,822 ", 	136 ," 	1,193 "," 	1,329 ", 	- 0, 	6 ," 	2,243 "," 	4,907 "," 	2,816 "," 	3,920 "," 	2,721 "," 	3,694 "," 	6,307 "
,2009-10,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	628 ," 	2,663 "," 	3,291 ", 	97 ," 	1,032 "," 	1,129 ", 	- 0, 	64 ," 	2,118 "," 	5,901 "," 	4,682 "," 	5,484 "," 	4,558 "," 	2,241 "," 	7,470 "
,2009-10,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	880 ," 	3,023 "," 	3,903 ", 	102 ," 	1,017 "," 	1,119 ", 	- 0, 	4 ," 	2,999 "," 	7,249 "," 	5,593 "," 	6,883 "," 	5,376 "," 	4,515 "," 	9,116 "
