,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,MAY,,,,England," 	126,110 "," 	466,616 "," 	592,726 "," 	21,235 "," 	145,811 "," 	167,046 "," 	21,082 "," 	449,039 "," 	987,843 "," 	799,321 "," 	934,319 "," 	757,040 "," 	541,674 "," 	1,323,319 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	262 ," 	1,021 "," 	1,283 ", 	43 , 	256 , 	299 , 	12 , 	864 ," 	1,505 "," 	1,291 "," 	1,447 "," 	1,235 ", 	859 ," 	2,037 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	482 ," 	1,946 "," 	2,428 ", 	48 , 	642 , 	690 , 	50 ," 	1,629 "," 	3,331 "," 	2,557 "," 	3,283 "," 	2,526 "," 	1,494 "," 	3,985 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	283 ," 	1,000 "," 	1,283 ", 	51 , 	237 , 	288 , 	4 ," 	1,016 "," 	1,798 "," 	1,291 "," 	1,754 "," 	1,289 "," 	1,268 "," 	2,874 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	632 ," 	2,399 "," 	3,031 ", 	114 , 	598 , 	712 , 	580 ," 	2,332 "," 	4,363 "," 	3,583 "," 	4,228 "," 	3,469 "," 	2,324 "," 	6,144 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	458 ," 	2,047 "," 	2,505 ", 	43 , 	723 , 	766 , 	57 ," 	1,654 "," 	3,705 "," 	2,888 "," 	3,509 "," 	2,723 "," 	2,856 "," 	5,335 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	855 ," 	3,289 "," 	4,144 ", 	181 , 	950 ," 	1,131 ", 	116 ," 	2,766 "," 	5,613 "," 	3,977 "," 	5,503 "," 	3,935 "," 	5,275 "," 	7,315 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	355 ," 	1,415 "," 	1,770 ", 	82 , 	642 , 	724 , 	138 ," 	1,635 "," 	2,303 "," 	1,829 "," 	2,149 "," 	1,728 "," 	1,660 "," 	3,301 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,509 "," 	5,669 "," 	7,178 ", 	227 ," 	1,769 "," 	1,996 ", 	50 ," 	5,150 "," 	9,868 "," 	7,710 "," 	9,407 "," 	7,494 "," 	6,329 "," 	14,267 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	368 ," 	1,419 "," 	1,787 ", 	76 , 	660 , 	736 , 	157 ," 	1,338 "," 	2,323 "," 	1,732 "," 	2,216 "," 	1,649 "," 	1,303 "," 	2,890 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	942 ," 	3,856 "," 	4,798 ", 	116 ," 	1,167 "," 	1,283 ", 	121 ," 	3,325 "," 	6,424 "," 	5,399 "," 	6,362 "," 	5,347 "," 	3,809 "," 	9,369 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	594 ," 	1,982 "," 	2,576 ", 	105 , 	629 , 	734 , 	17 ," 	2,502 "," 	4,599 "," 	4,114 "," 	4,361 "," 	3,935 "," 	3,361 "," 	6,364 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	733 ," 	2,473 "," 	3,206 ", 	187 , 	605 , 	792 , 	50 ," 	3,079 "," 	5,599 "," 	4,506 "," 	5,457 "," 	4,404 "," 	3,858 "," 	7,315 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	836 ," 	3,303 "," 	4,139 ", 	107 ," 	1,222 "," 	1,329 ", 	124 ," 	2,881 "," 	6,121 "," 	5,028 "," 	6,019 "," 	4,960 "," 	3,553 "," 	8,308 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	288 ," 	1,816 "," 	2,104 ", 	39 , 	436 , 	475 , 	1 ," 	1,825 "," 	3,053 "," 	2,224 "," 	2,863 "," 	2,060 "," 	2,221 "," 	4,555 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	687 ," 	2,288 "," 	2,975 ", 	98 , 	620 , 	718 , 	7 ," 	2,491 "," 	6,107 "," 	5,184 "," 	5,675 "," 	4,858 "," 	3,179 "," 	7,900 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	452 ," 	1,587 "," 	2,039 ", 	58 , 	424 , 	482 , 	13 ," 	2,029 "," 	2,925 "," 	2,407 "," 	2,905 "," 	2,393 "," 	1,982 "," 	4,356 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	422 ," 	1,503 "," 	1,925 ", 	55 , 	349 , 	404 , 	15 ," 	1,924 "," 	4,164 "," 	3,112 "," 	4,004 "," 	2,969 "," 	2,095 "," 	5,105 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	552 ," 	1,968 "," 	2,520 ", 	77 , 	791 , 	868 , 	8 ," 	2,445 "," 	3,824 "," 	3,270 "," 	3,530 "," 	3,013 "," 	2,427 "," 	5,764 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	517 ," 	1,827 "," 	2,344 ", 	105 , 	682 , 	787 , 	5 ," 	1,741 "," 	3,016 "," 	2,363 "," 	2,953 "," 	2,320 "," 	2,083 "," 	4,580 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	591 ," 	2,080 "," 	2,671 ", 	85 , 	439 , 	524 , 	31 ," 	2,284 "," 	4,544 "," 	3,882 "," 	4,421 "," 	3,772 "," 	3,301 "," 	7,405 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,423 "," 	4,776 "," 	6,199 ", 	208 ," 	1,276 "," 	1,484 ", 	121 ," 	4,389 "," 	10,048 "," 	7,974 "," 	9,915 "," 	7,832 "," 	3,306 "," 	11,841 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	739 ," 	3,935 "," 	4,674 ", 	97 ," 	1,136 "," 	1,233 ", 	4 ," 	3,199 "," 	6,265 "," 	4,898 "," 	6,030 "," 	4,701 "," 	3,666 "," 	8,113 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,188 "," 	5,279 "," 	6,467 ", 	220 ," 	1,297 "," 	1,517 ", 	321 ," 	4,206 "," 	9,866 "," 	8,385 "," 	9,355 "," 	8,013 "," 	4,559 "," 	12,593 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,084 "," 	3,638 "," 	4,722 ", 	214 , 	850 ," 	1,064 ", 	2 ," 	3,493 "," 	8,121 "," 	6,794 "," 	7,651 "," 	6,366 "," 	2,570 "," 	10,218 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	729 ," 	2,821 "," 	3,550 ", 	105 , 	873 , 	978 , 	393 ," 	2,804 "," 	6,457 "," 	4,899 "," 	6,132 "," 	4,622 "," 	3,495 "," 	7,931 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	754 ," 	2,999 "," 	3,753 ", 	94 , 	652 , 	746 , 	71 ," 	3,538 "," 	5,802 "," 	4,255 "," 	5,347 "," 	3,930 "," 	3,926 "," 	7,176 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,165 "," 	4,249 "," 	5,414 ", 	228 ," 	1,329 "," 	1,557 ", 	162 ," 	4,853 "," 	10,371 "," 	8,926 "," 	9,733 "," 	8,252 "," 	8,551 "," 	17,086 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	768 ," 	2,710 "," 	3,478 ", 	86 , 	540 , 	626 , 	16 ," 	3,452 "," 	6,112 "," 	4,940 "," 	5,810 "," 	4,689 "," 	3,161 "," 	7,918 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	739 ," 	2,642 "," 	3,381 ", 	165 , 	779 , 	944 , 	99 ," 	2,363 "," 	4,546 "," 	3,600 "," 	4,398 "," 	3,507 "," 	4,437 "," 	6,509 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	936 ," 	3,696 "," 	4,632 ", 	140 , 	597 , 	737 ," 	1,534 "," 	4,386 "," 	7,109 "," 	6,112 "," 	7,070 "," 	6,053 "," 	4,547 "," 	10,977 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	544 ," 	2,049 "," 	2,593 ", 	102 , 	739 , 	841 , 	5 ," 	2,430 "," 	3,899 "," 	3,341 "," 	3,634 "," 	3,127 "," 	2,506 "," 	6,059 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	593 ," 	2,275 "," 	2,868 ", 	105 , 	784 , 	889 , 	157 ," 	1,751 "," 	5,375 "," 	4,164 "," 	5,321 "," 	4,110 "," 	2,668 "," 	6,530 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,217 "," 	4,008 "," 	5,225 ", 	232 ," 	1,475 "," 	1,707 ", 	212 ," 	5,548 "," 	10,204 "," 	7,589 "," 	9,803 "," 	7,234 "," 	8,920 "," 	14,820 "
,2011-12,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	430 ," 	1,413 "," 	1,843 ", 	97 , 	266 , 	363 , 	1 ," 	1,622 "," 	3,333 "," 	2,914 "," 	3,130 "," 	2,769 ", 	962 ," 	4,187 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	537 ," 	1,508 "," 	2,045 ", 	209 , 	416 , 	625 , 	75 ," 	1,368 "," 	2,541 "," 	2,107 "," 	2,484 "," 	2,056 "," 	2,499 "," 	4,304 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	668 ," 	2,567 "," 	3,235 ", 	75 , 	712 , 	787 , 	- 0," 	2,613 "," 	4,552 "," 	3,936 "," 	4,460 "," 	3,862 "," 	2,434 "," 	6,989 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	560 ," 	1,798 "," 	2,358 ", 	111 , 	728 , 	839 , 	1 ," 	2,003 "," 	3,554 "," 	2,790 "," 	3,477 "," 	2,742 "," 	1,042 "," 	4,998 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	601 ," 	2,571 "," 	3,172 ", 	77 , 	420 , 	497 , 	- 0," 	2,428 "," 	5,125 "," 	4,235 "," 	5,090 "," 	4,208 "," 	2,965 "," 	7,495 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,873 "," 	5,469 "," 	7,342 ", 	394 ," 	1,361 "," 	1,755 ", 	5 ," 	8,243 "," 	12,751 "," 	11,269 "," 	12,620 "," 	10,541 "," 	9,617 "," 	18,374 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,016 "," 	3,467 "," 	4,483 ", 	194 ," 	1,215 "," 	1,409 ", 	- 0," 	3,550 "," 	7,630 "," 	5,973 "," 	7,189 "," 	5,822 "," 	2,736 "," 	9,592 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,012 "," 	3,099 "," 	4,111 ", 	173 ," 	1,000 "," 	1,173 ", 	15 ," 	3,335 "," 	6,928 "," 	5,484 "," 	6,613 "," 	5,142 "," 	3,502 "," 	7,900 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,302 "," 	4,413 "," 	5,715 ", 	271 , 	859 ," 	1,130 ", 	1 ," 	5,003 "," 	9,688 "," 	8,130 "," 	8,920 "," 	7,189 "," 	5,540 "," 	16,931 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	728 ," 	2,478 "," 	3,206 ", 	104 , 	776 , 	880 , 	13 ," 	3,149 "," 	5,793 "," 	4,928 "," 	5,760 "," 	4,895 "," 	2,862 "," 	8,514 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,112 "," 	7,611 "," 	9,723 ", 	395 ," 	2,868 "," 	3,263 ", 	236 ," 	6,604 "," 	15,057 "," 	11,979 "," 	14,676 "," 	11,797 "," 	6,891 "," 	17,750 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	900 ," 	3,569 "," 	4,469 ", 	150 ," 	1,272 "," 	1,422 ", 	288 ," 	2,522 "," 	6,507 "," 	5,114 "," 	6,442 "," 	5,050 "," 	1,940 "," 	7,238 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	785 ," 	2,777 "," 	3,562 ", 	109 , 	948 ," 	1,057 ", 	6 ," 	2,811 "," 	6,047 "," 	4,827 "," 	5,872 "," 	4,677 "," 	1,248 "," 	6,681 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,226 "," 	5,075 "," 	6,301 ", 	240 ," 	1,936 "," 	2,176 ", 	- 0," 	6,098 "," 	7,310 "," 	5,654 "," 	6,916 "," 	5,249 "," 	5,533 "," 	10,456 "
,2011-12,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	455 ," 	1,617 "," 	2,072 ", 	112 , 	568 , 	680 , 	4 ," 	1,174 "," 	2,921 "," 	2,111 "," 	2,675 "," 	1,930 "," 	1,692 "," 	3,941 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	680 ," 	2,184 "," 	2,864 ", 	119 , 	764 , 	883 , 	4 ," 	2,763 "," 	4,142 "," 	3,664 "," 	4,021 "," 	3,567 "," 	1,635 "," 	6,198 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	261 , 	928 ," 	1,189 ", 	29 , 	291 , 	320 , 	- 0, 	966 ," 	1,974 "," 	1,723 "," 	1,845 "," 	1,617 ", 	824 ," 	2,896 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,580 "," 	6,551 "," 	8,131 ", 	175 ," 	2,058 "," 	2,233 ", 	198 ," 	6,223 "," 	12,179 "," 	10,102 "," 	11,778 "," 	9,787 "," 	5,460 "," 	15,625 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	608 ," 	2,471 "," 	3,079 ", 	88 , 	969 ," 	1,057 ", 	12 ," 	2,869 "," 	3,973 "," 	3,062 "," 	3,855 "," 	3,013 "," 	1,654 "," 	5,307 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,645 "," 	5,918 "," 	7,563 ", 	161 ," 	1,842 "," 	2,003 ", 	22 ," 	5,363 "," 	10,043 "," 	9,408 "," 	9,827 "," 	9,233 "," 	3,759 "," 	14,327 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,055 "," 	7,863 "," 	9,918 ", 	330 ," 	2,985 "," 	3,315 ", 	208 ," 	6,094 "," 	15,324 "," 	12,661 "," 	14,695 "," 	11,892 "," 	6,118 "," 	17,982 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,267 "," 	5,452 "," 	6,719 ", 	188 ," 	2,237 "," 	2,425 ", 	4 ," 	4,489 "," 	10,636 "," 	7,903 "," 	10,566 "," 	7,840 "," 	6,660 "," 	13,012 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	501 ," 	2,327 "," 	2,828 ", 	105 , 	936 ," 	1,041 ", 	- 0," 	2,614 "," 	5,442 "," 	3,834 "," 	5,441 "," 	3,832 "," 	3,662 "," 	6,389 "
,2011-12,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,655 "," 	6,486 "," 	8,141 ", 	310 ," 	2,490 "," 	2,800 ", 	59 ," 	5,192 "," 	9,955 "," 	8,640 "," 	9,761 "," 	8,478 "," 	4,887 "," 	12,139 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	504 ," 	1,391 "," 	1,895 ", 	133 , 	500 , 	633 , 	9 ," 	1,343 "," 	2,803 "," 	2,830 "," 	2,723 "," 	2,793 "," 	1,569 "," 	4,020 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	940 ," 	2,423 "," 	3,363 ", 	202 , 	512 , 	714 , 	206 ," 	3,330 "," 	8,055 "," 	6,992 "," 	6,482 "," 	5,760 "," 	4,169 "," 	10,360 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	649 ," 	2,764 "," 	3,413 ", 	98 ," 	1,000 "," 	1,098 ", 	64 ," 	2,159 "," 	5,123 "," 	3,667 "," 	4,543 "," 	3,560 "," 	3,393 "," 	7,488 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	579 ," 	2,578 "," 	3,157 ", 	115 ," 	1,039 "," 	1,154 ", 	51 ," 	2,162 "," 	5,922 "," 	4,581 "," 	5,487 "," 	4,165 "," 	2,484 "," 	7,728 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	764 ," 	2,887 "," 	3,651 ", 	69 ," 	1,057 "," 	1,126 ", 	3 ," 	2,875 "," 	5,854 "," 	4,516 "," 	5,760 "," 	4,438 "," 	5,156 "," 	8,350 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	338 ," 	1,362 "," 	1,700 ", 	45 , 	472 , 	517 , 	2 ," 	1,212 "," 	2,870 "," 	1,213 "," 	2,460 "," 	1,203 "," 	1,955 "," 	4,099 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	578 ," 	2,333 "," 	2,911 ", 	111 ," 	1,027 "," 	1,138 ", 	5 ," 	2,005 "," 	5,642 "," 	5,347 "," 	5,148 "," 	4,522 "," 	2,344 "," 	7,532 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	507 ," 	1,594 "," 	2,101 ", 	108 , 	381 , 	489 , 	401 ," 	2,681 "," 	5,695 "," 	4,721 "," 	4,661 "," 	3,656 "," 	4,503 "," 	7,910 "
,2011-12,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	781 ," 	3,130 "," 	3,911 ", 	125 ," 	1,190 "," 	1,315 ", 	61 ," 	2,629 "," 	4,580 "," 	5,389 "," 	4,036 "," 	4,830 "," 	1,299 "," 	8,619 "
