,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,APRIL,,,,England," 	119,566 "," 	422,570 "," 	542,136 "," 	19,841 "," 	133,553 "," 	153,394 "," 	18,585 "," 	438,684 "," 	866,660 "," 	693,785 "," 	821,241 "," 	656,372 "," 	479,775 "," 	1,149,382 "
,2011-12,APRIL,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	12,432 "," 	47,368 "," 	59,800 "," 	1,982 "," 	16,473 "," 	18,455 ", 	779 ," 	41,930 "," 	80,101 "," 	67,084 "," 	77,884 "," 	65,623 "," 	41,601 "," 	110,547 "
,2011-12,APRIL,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,107 "," 	5,240 "," 	7,347 ", 	590 ," 	3,798 "," 	4,388 ", 	12 ," 	1,715 ", 	873 ," 	1,487 ", 	872 ," 	1,487 "," 	1,517 "," 	4,529 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	753 ," 	2,806 "," 	3,559 ", 	130 , 	997 ," 	1,127 ", 	119 ," 	2,845 "," 	4,594 "," 	4,003 "," 	4,243 "," 	3,859 "," 	3,339 "," 	8,044 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	597 ," 	2,351 "," 	2,948 ", 	82 , 	820 , 	902 , 	92 ," 	2,302 "," 	3,792 "," 	3,429 "," 	3,584 "," 	3,280 "," 	2,582 "," 	6,224 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	219 , 	854 ," 	1,073 ", 	24 , 	234 , 	258 , 	8 , 	951 ," 	1,481 "," 	1,005 "," 	1,424 ", 	975 , 	841 ," 	1,587 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	458 ," 	1,848 "," 	2,306 ", 	68 , 	547 , 	615 , 	58 ," 	1,732 "," 	2,775 "," 	2,222 "," 	2,734 "," 	2,195 "," 	1,508 "," 	3,507 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	214 , 	892 ," 	1,106 ", 	36 , 	225 , 	261 , 	1 ," 	1,132 "," 	1,690 "," 	1,075 "," 	1,643 "," 	1,074 "," 	1,196 "," 	2,384 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	625 ," 	2,267 "," 	2,892 ", 	138 , 	574 , 	712 , 	514 ," 	2,095 "," 	4,002 "," 	3,068 "," 	3,856 "," 	2,977 "," 	1,912 "," 	5,366 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	424 ," 	1,841 "," 	2,265 ", 	57 , 	663 , 	720 , 	44 ," 	1,587 "," 	2,975 "," 	2,469 "," 	2,808 "," 	2,309 "," 	2,434 "," 	4,588 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	854 ," 	3,000 "," 	3,854 ", 	188 , 	922 ," 	1,110 ", 	99 ," 	2,770 "," 	4,987 "," 	3,663 "," 	4,837 "," 	3,630 "," 	4,366 "," 	6,629 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	341 ," 	1,279 "," 	1,620 ", 	75 , 	650 , 	725 , 	107 ," 	1,651 "," 	2,174 "," 	1,542 "," 	2,027 "," 	1,438 "," 	1,582 "," 	2,746 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,440 "," 	5,159 "," 	6,599 ", 	229 ," 	1,691 "," 	1,920 ", 	57 ," 	5,099 "," 	8,779 "," 	6,748 "," 	8,385 "," 	6,599 "," 	5,881 "," 	12,373 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	357 ," 	1,217 "," 	1,574 ", 	88 , 	573 , 	661 , 	127 ," 	1,336 "," 	1,931 "," 	1,520 "," 	1,826 "," 	1,452 "," 	1,293 "," 	2,598 "
,2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	823 ," 	3,538 "," 	4,361 ", 	90 ," 	1,118 "," 	1,208 ", 	103 ," 	3,324 "," 	5,273 "," 	4,858 "," 	5,191 "," 	4,810 "," 	3,341 "," 	8,377 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	549 ," 	1,750 "," 	2,299 ", 	93 , 	542 , 	635 , 	17 ," 	2,508 "," 	4,164 "," 	3,353 "," 	3,969 "," 	3,188 "," 	3,064 "," 	5,330 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	801 ," 	2,336 "," 	3,137 ", 	195 , 	559 , 	754 , 	41 ," 	2,944 "," 	5,310 "," 	4,004 "," 	5,173 "," 	3,907 "," 	3,408 "," 	6,391 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	789 ," 	2,832 "," 	3,621 ", 	106 ," 	1,143 "," 	1,249 ", 	120 ," 	2,904 "," 	5,368 "," 	4,157 "," 	5,295 "," 	4,092 "," 	3,114 "," 	7,075 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	286 ," 	1,584 "," 	1,870 ", 	38 , 	353 , 	391 , 	- 0," 	1,866 "," 	2,722 "," 	1,939 "," 	2,513 "," 	1,813 "," 	1,983 "," 	4,102 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	622 ," 	1,958 "," 	2,580 ", 	95 , 	465 , 	560 , 	2 ," 	2,469 "," 	5,419 "," 	4,774 "," 	5,018 "," 	4,463 "," 	2,887 "," 	7,228 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	453 ," 	1,396 "," 	1,849 ", 	64 , 	335 , 	399 , 	69 ," 	1,783 "," 	2,587 "," 	2,020 "," 	2,575 "," 	1,998 "," 	1,750 "," 	3,736 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	385 ," 	1,310 "," 	1,695 ", 	57 , 	334 , 	391 , 	36 ," 	1,843 "," 	3,329 "," 	2,585 "," 	3,215 "," 	2,438 "," 	1,733 "," 	4,204 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	500 ," 	1,660 "," 	2,160 ", 	59 , 	630 , 	689 , 	6 ," 	2,551 "," 	3,412 "," 	2,847 "," 	3,170 "," 	2,611 "," 	2,257 "," 	5,145 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	521 ," 	1,587 "," 	2,108 ", 	93 , 	590 , 	683 , 	5 ," 	1,745 "," 	2,436 "," 	2,183 "," 	2,380 "," 	2,141 "," 	2,061 "," 	4,213 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	572 ," 	1,900 "," 	2,472 ", 	88 , 	356 , 	444 , 	24 ," 	2,202 "," 	4,067 "," 	3,508 "," 	3,942 "," 	3,378 "," 	3,057 "," 	6,789 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,392 "," 	4,415 "," 	5,807 ", 	190 ," 	1,207 "," 	1,397 ", 	128 ," 	4,399 "," 	8,974 "," 	7,114 "," 	8,844 "," 	6,968 "," 	2,809 "," 	10,728 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	757 ," 	3,553 "," 	4,310 ", 	84 , 	982 ," 	1,066 ", 	10 ," 	3,134 "," 	5,768 "," 	4,502 "," 	5,575 "," 	4,301 "," 	3,431 "," 	7,446 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,231 "," 	4,922 "," 	6,153 ", 	211 ," 	1,198 "," 	1,409 ", 	299 ," 	4,316 "," 	8,543 "," 	7,817 "," 	8,114 "," 	7,445 "," 	4,079 "," 	11,463 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT, 	990 ," 	3,253 "," 	4,243 ", 	174 , 	666 , 	840 , 	1 ," 	3,469 "," 	7,090 "," 	6,266 "," 	6,695 "," 	5,910 "," 	2,069 "," 	9,163 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	685 ," 	2,778 "," 	3,463 ", 	111 , 	881 , 	992 , 	429 ," 	2,684 "," 	5,277 "," 	4,247 "," 	5,065 "," 	3,984 "," 	2,912 "," 	6,602 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	753 ," 	2,618 "," 	3,371 ", 	109 , 	602 , 	711 , 	132 ," 	3,428 "," 	5,011 "," 	3,814 "," 	4,721 "," 	3,534 "," 	3,812 "," 	6,591 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,120 "," 	3,719 "," 	4,839 ", 	214 ," 	1,170 "," 	1,384 ", 	195 ," 	4,773 "," 	9,160 "," 	7,637 "," 	8,623 "," 	6,980 "," 	7,005 "," 	14,463 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	769 ," 	2,430 "," 	3,199 ", 	82 , 	504 , 	586 , 	70 ," 	3,343 "," 	5,207 "," 	4,167 "," 	4,971 "," 	3,917 "," 	2,731 "," 	6,672 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	652 ," 	2,297 "," 	2,949 ", 	106 , 	637 , 	743 , 	162 ," 	2,228 "," 	3,992 "," 	2,907 "," 	3,902 "," 	2,835 "," 	3,904 "," 	5,262 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	898 ," 	3,158 "," 	4,056 ", 	131 , 	540 , 	671 ," 	1,163 "," 	4,453 "," 	6,225 "," 	5,114 "," 	6,168 "," 	5,049 "," 	4,124 "," 	9,099 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	493 ," 	1,836 "," 	2,329 ", 	73 , 	743 , 	816 , 	7 ," 	2,307 "," 	3,684 "," 	3,027 "," 	3,430 "," 	2,835 "," 	2,347 "," 	5,430 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	644 ," 	2,051 "," 	2,695 ", 	123 , 	673 , 	796 , 	139 ," 	1,843 "," 	4,471 "," 	3,564 "," 	4,441 "," 	3,515 "," 	2,179 "," 	5,599 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,238 "," 	3,599 "," 	4,837 ", 	249 ," 	1,298 "," 	1,547 ", 	167 ," 	5,357 "," 	8,930 "," 	6,464 "," 	8,571 "," 	6,100 "," 	8,182 "," 	12,978 "
,2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	353 ," 	1,290 "," 	1,643 ", 	65 , 	245 , 	310 , 	1 ," 	1,582 "," 	3,032 "," 	2,590 "," 	2,883 "," 	2,416 ", 	727 ," 	3,595 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	540 ," 	1,451 "," 	1,991 ", 	178 , 	394 , 	572 , 	48 ," 	1,404 "," 	2,326 "," 	1,889 "," 	2,272 "," 	1,844 "," 	1,804 "," 	3,674 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	630 ," 	2,530 "," 	3,160 ", 	57 , 	710 , 	767 , 	- 0," 	2,621 "," 	4,015 "," 	3,501 "," 	3,943 "," 	3,441 "," 	2,081 "," 	6,208 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	535 ," 	1,657 "," 	2,192 ", 	91 , 	525 , 	616 , 	- 0," 	1,980 "," 	3,201 "," 	2,705 "," 	3,143 "," 	2,665 ", 	978 ," 	4,992 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	562 ," 	2,311 "," 	2,873 ", 	83 , 	399 , 	482 , 	- 0," 	2,345 "," 	4,444 "," 	3,812 "," 	4,411 "," 	3,786 "," 	2,576 "," 	6,625 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,791 "," 	4,848 "," 	6,639 ", 	264 , 	967 ," 	1,231 ", 	4 ," 	7,860 "," 	11,914 "," 	10,042 "," 	11,820 "," 	9,396 "," 	8,610 "," 	16,403 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,057 "," 	3,057 "," 	4,114 ", 	211 ," 	1,029 "," 	1,240 ", 	- 0," 	3,574 "," 	6,650 "," 	5,521 "," 	6,256 "," 	5,366 "," 	2,396 "," 	8,816 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	953 ," 	3,027 "," 	3,980 ", 	168 ," 	1,036 "," 	1,204 ", 	7 ," 	3,333 "," 	6,428 "," 	5,142 "," 	6,132 "," 	4,855 "," 	3,075 "," 	7,403 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,181 "," 	4,212 "," 	5,393 ", 	284 ," 	1,146 "," 	1,430 ", 	1 ," 	5,113 "," 	8,752 "," 	6,741 "," 	8,032 "," 	5,958 "," 	5,431 "," 	14,397 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	696 ," 	2,225 "," 	2,921 ", 	97 , 	696 , 	793 , 	16 ," 	2,925 "," 	5,265 "," 	4,310 "," 	5,237 "," 	4,287 "," 	2,437 "," 	7,369 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,899 "," 	6,966 "," 	8,865 ", 	420 ," 	2,643 "," 	3,063 ", 	161 ," 	6,471 "," 	13,295 "," 	9,952 "," 	12,947 "," 	9,812 "," 	6,590 "," 	15,134 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	852 ," 	3,301 "," 	4,153 ", 	151 ," 	1,204 "," 	1,355 ", 	235 ," 	2,430 "," 	5,422 "," 	4,375 "," 	5,342 "," 	4,320 "," 	1,736 "," 	6,223 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	724 ," 	2,596 "," 	3,320 ", 	93 , 	891 , 	984 , 	2 ," 	2,713 "," 	5,079 "," 	4,076 "," 	4,935 "," 	3,918 "," 	1,156 "," 	5,740 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,217 "," 	4,646 "," 	5,863 ", 	197 ," 	1,647 "," 	1,844 ", 	- 0," 	5,643 "," 	6,517 "," 	5,228 "," 	6,175 "," 	4,820 "," 	4,911 "," 	10,026 "
,2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	430 ," 	1,441 "," 	1,871 ", 	100 , 	514 , 	614 , 	3 ," 	1,181 "," 	2,411 "," 	1,935 "," 	2,264 "," 	1,771 "," 	1,635 "," 	3,513 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	623 ," 	1,961 "," 	2,584 ", 	102 , 	692 , 	794 , 	5 ," 	2,765 "," 	3,645 "," 	3,312 "," 	3,541 "," 	3,212 "," 	1,621 "," 	5,534 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	279 , 	841 ," 	1,120 ", 	32 , 	267 , 	299 , 	- 0, 	955 ," 	1,742 "," 	1,475 "," 	1,640 "," 	1,391 ", 	769 ," 	2,546 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,559 "," 	6,083 "," 	7,642 ", 	186 ," 	1,908 "," 	2,094 ", 	181 ," 	6,142 "," 	10,329 "," 	8,615 "," 	9,978 "," 	8,315 "," 	5,084 "," 	13,451 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	542 ," 	2,226 "," 	2,768 ", 	79 , 	881 , 	960 , 	12 ," 	2,725 "," 	3,323 "," 	2,557 "," 	3,279 "," 	2,529 "," 	1,317 "," 	4,462 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,600 "," 	5,285 "," 	6,885 ", 	152 ," 	1,751 "," 	1,903 ", 	21 ," 	5,265 "," 	8,931 "," 	7,818 "," 	8,746 "," 	7,657 "," 	3,752 "," 	12,086 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,936 "," 	7,156 "," 	9,092 ", 	315 ," 	2,816 "," 	3,131 ", 	206 ," 	6,074 "," 	13,445 "," 	10,959 "," 	12,891 "," 	10,337 "," 	5,347 "," 	15,607 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,224 "," 	5,154 "," 	6,378 ", 	180 ," 	2,109 "," 	2,289 ", 	1 ," 	4,445 "," 	9,466 "," 	6,839 "," 	9,398 "," 	6,785 "," 	5,850 "," 	11,387 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	522 ," 	2,171 "," 	2,693 ", 	109 , 	867 , 	976 , 	- 0," 	2,552 "," 	4,691 "," 	3,332 "," 	4,689 "," 	3,330 "," 	3,177 "," 	5,566 "
,2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,505 "," 	5,977 "," 	7,482 ", 	277 ," 	2,352 "," 	2,629 ", 	44 ," 	5,103 "," 	8,084 "," 	7,370 "," 	7,943 "," 	7,263 "," 	4,074 "," 	10,779 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	502 ," 	1,314 "," 	1,816 ", 	163 , 	457 , 	620 , 	9 ," 	1,261 "," 	2,474 "," 	2,659 "," 	2,425 "," 	2,621 "," 	1,467 "," 	3,787 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	883 ," 	2,295 "," 	3,178 ", 	140 , 	557 , 	697 , 	197 ," 	3,126 "," 	6,611 "," 	5,988 "," 	5,597 "," 	4,930 "," 	3,487 "," 	8,810 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	607 ," 	2,488 "," 	3,095 ", 	113 , 	956 ," 	1,069 ", 	38 ," 	2,086 "," 	4,774 "," 	3,023 "," 	4,219 "," 	2,938 "," 	3,046 "," 	6,424 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	555 ," 	2,450 "," 	3,005 ", 	118 ," 	1,039 "," 	1,157 ", 	37 ," 	2,118 "," 	4,756 "," 	3,552 "," 	4,321 "," 	3,242 "," 	2,246 "," 	6,337 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	691 ," 	2,643 "," 	3,334 ", 	66 , 	946 ," 	1,012 ", 	2 ," 	2,814 "," 	6,124 "," 	4,547 "," 	6,026 "," 	4,471 "," 	4,245 "," 	8,049 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	303 ," 	1,229 "," 	1,532 ", 	52 , 	394 , 	446 , 	4 ," 	1,260 "," 	2,461 "," 	1,002 "," 	2,118 ", 	988 ," 	1,821 "," 	3,340 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	514 ," 	2,091 "," 	2,605 ", 	88 , 	919 ," 	1,007 ", 	7 ," 	2,104 "," 	4,969 "," 	4,096 "," 	4,508 "," 	3,501 "," 	2,154 "," 	6,230 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	481 ," 	1,565 "," 	2,046 ", 	82 , 	376 , 	458 , 	393 ," 	2,657 "," 	4,621 "," 	3,959 "," 	3,938 "," 	3,014 "," 	3,725 "," 	6,652 "
,2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	802 ," 	2,797 "," 	3,599 ", 	139 , 	990 ," 	1,129 ", 	64 ," 	2,361 "," 	3,786 "," 	4,385 "," 	3,287 "," 	3,843 "," 	1,026 "," 	6,899 "
