,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,FEBRUARY,,,,England," 	129,290 "," 	433,162 "," 	562,452 "," 	19,191 "," 	125,328 "," 	144,519 "," 	10,938 "," 	15,320 "," 	411,442 "," 	898,435 "," 	758,275 "," 	859,282 "," 	719,258 "," 	457,084 "," 	1,217,200 "
,2009-10,FEBRUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,369 "," 	48,341 "," 	62,710 "," 	2,155 "," 	16,339 "," 	18,494 ", 	695 ," 	1,069 "," 	39,513 "," 	80,556 "," 	69,777 "," 	82,443 "," 	71,107 "," 	43,981 "," 	120,966 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	822 ," 	2,434 "," 	3,256 ", 	123 , 	887 ," 	1,010 ", 	109 , 	28 ," 	2,664 "," 	4,226 "," 	4,110 "," 	4,073 "," 	3,793 "," 	3,251 "," 	7,066 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	713 ," 	2,300 "," 	3,013 ", 	83 , 	872 , 	955 , 	126 , 	10 ," 	2,321 "," 	3,781 "," 	3,645 "," 	3,610 "," 	3,422 "," 	2,023 "," 	5,345 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	242 , 	854 ," 	1,096 ", 	31 , 	227 , 	258 , 	- 0, 	4 ," 	1,011 "," 	1,527 "," 	1,111 "," 	1,471 "," 	1,076 ", 	786 ," 	1,733 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	475 ," 	1,816 "," 	2,291 ", 	62 , 	485 , 	547 , 	- 0, 	84 ," 	1,955 "," 	3,108 "," 	2,389 "," 	3,081 "," 	2,365 "," 	1,451 "," 	3,825 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	251 , 	811 ," 	1,062 ", 	39 , 	185 , 	224 , 	- 0, 	- 0, 	922 ," 	1,548 "," 	1,250 "," 	1,541 "," 	1,248 "," 	1,177 "," 	2,149 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	708 ," 	1,117 "," 	1,825 ", 	133 , 	282 , 	415 , 	- 0, 	412 ," 	1,968 "," 	4,112 "," 	3,384 "," 	3,942 "," 	2,735 "," 	2,153 "," 	4,368 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	526 ," 	1,644 "," 	2,170 ", 	46 , 	484 , 	530 , 	- 0, 	46 ," 	1,342 "," 	2,683 "," 	2,327 "," 	2,674 "," 	2,274 "," 	1,460 "," 	3,957 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	998 ," 	2,916 "," 	3,914 ", 	92 , 	586 , 	678 , 	- 0, 	126 ," 	2,586 "," 	4,822 "," 	4,045 "," 	4,756 "," 	3,732 "," 	4,270 "," 	6,894 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	407 ," 	1,281 "," 	1,688 ", 	103 , 	517 , 	620 , 	- 0, 	149 ," 	1,653 "," 	2,325 "," 	1,792 "," 	2,176 "," 	1,684 "," 	1,472 "," 	3,351 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,439 "," 	5,188 "," 	6,627 ", 	180 ," 	1,608 "," 	1,788 ", 	- 0, 	34 ," 	4,384 "," 	8,899 "," 	7,217 "," 	8,666 "," 	7,056 "," 	5,304 "," 	11,600 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	381 ," 	1,232 "," 	1,613 ", 	100 , 	574 , 	674 , 	- 0, 	118 ," 	1,253 "," 	2,080 "," 	1,636 "," 	1,977 "," 	1,561 "," 	1,219 "," 	3,047 "
,2009-10,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	953 ," 	3,502 "," 	4,455 ", 	139 ," 	1,214 "," 	1,353 ", 	150 , 	8 ," 	3,035 "," 	4,976 "," 	4,896 "," 	4,928 "," 	4,832 "," 	2,591 "," 	7,737 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	548 ," 	1,526 "," 	2,074 ", 	134 , 	452 , 	586 , 	179 , 	- 0," 	1,544 "," 	2,844 "," 	2,548 "," 	2,707 "," 	2,380 ", 	823 ," 	3,696 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	676 ," 	1,948 "," 	2,624 ", 	98 , 	570 , 	668 , 	95 , 	19 ," 	2,401 "," 	4,495 "," 	3,396 "," 	4,399 "," 	3,331 "," 	2,978 "," 	5,602 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	953 ," 	2,248 "," 	3,201 ", 	195 , 	640 , 	835 , 	- 0, 	34 ," 	2,765 "," 	5,423 "," 	4,248 "," 	5,283 "," 	4,342 "," 	3,845 "," 	7,229 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	821 ," 	2,882 "," 	3,703 ", 	109 , 	938 ," 	1,047 ", 	1 , 	94 ," 	2,664 "," 	5,953 "," 	4,811 "," 	5,822 "," 	4,737 "," 	3,283 "," 	7,897 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	353 ," 	1,746 "," 	2,099 ", 	29 , 	403 , 	432 , 	- 0, 	1 ," 	1,769 "," 	2,604 "," 	1,960 "," 	2,563 "," 	1,949 "," 	1,911 "," 	3,529 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	701 ," 	1,952 "," 	2,653 ", 	127 , 	448 , 	575 , 	1 , 	7 ," 	2,254 "," 	5,457 "," 	4,416 "," 	5,064 "," 	4,085 "," 	3,048 "," 	6,838 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	493 ," 	1,552 "," 	2,045 ", 	39 , 	314 , 	353 , 	5 , 	58 ," 	1,841 "," 	2,581 "," 	2,523 "," 	2,549 "," 	2,502 "," 	1,742 "," 	4,413 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	422 ," 	1,496 "," 	1,918 ", 	47 , 	391 , 	438 , 	46 , 	2 ," 	1,742 "," 	3,909 "," 	2,961 "," 	3,708 "," 	2,788 "," 	1,884 "," 	4,713 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	631 ," 	1,984 "," 	2,615 ", 	76 , 	588 , 	664 , 	- 0, 	6 ," 	2,213 "," 	3,854 "," 	3,209 "," 	3,524 "," 	2,929 "," 	2,306 "," 	5,267 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	622 ," 	2,223 "," 	2,845 ", 	86 , 	679 , 	765 , 	- 0, 	44 ," 	1,607 "," 	3,065 "," 	2,583 "," 	2,980 "," 	2,499 "," 	1,914 "," 	4,382 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	674 ," 	1,906 "," 	2,580 ", 	54 , 	372 , 	426 , 	3 , 	42 ," 	2,160 "," 	4,524 "," 	3,630 "," 	4,869 "," 	4,025 "," 	2,891 "," 	6,660 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,534 "," 	4,332 "," 	5,866 ", 	214 ," 	1,056 "," 	1,270 ", 	- 0, 	100 ," 	3,847 "," 	9,244 "," 	7,360 "," 	9,090 "," 	7,244 "," 	2,493 "," 	10,430 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	836 ," 	3,452 "," 	4,288 ", 	85 , 	908 , 	993 , 	75 , 	6 ," 	2,794 "," 	5,414 "," 	4,594 "," 	5,207 "," 	4,421 "," 	2,414 "," 	7,197 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,232 "," 	5,122 "," 	6,354 ", 	201 ," 	1,297 "," 	1,498 ", 	569 , 	326 ," 	3,881 "," 	9,399 "," 	8,058 "," 	8,836 "," 	7,648 "," 	4,221 "," 	11,918 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,219 "," 	3,917 "," 	5,136 ", 	173 ," 	1,139 "," 	1,312 ", 	410 , 	- 0," 	3,332 "," 	7,454 "," 	6,849 "," 	7,072 "," 	6,435 "," 	2,215 "," 	9,654 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	726 ," 	2,990 "," 	3,716 ", 	75 , 	947 ," 	1,022 ", 	152 , 	411 ," 	2,529 "," 	5,717 "," 	4,731 "," 	5,415 "," 	4,431 "," 	3,213 "," 	7,917 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	884 ," 	3,165 "," 	4,049 ", 	95 , 	788 , 	883 , 	62 , 	42 ," 	3,305 "," 	5,538 "," 	4,882 "," 	5,158 "," 	4,557 "," 	3,032 "," 	7,822 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,131 "," 	4,241 "," 	5,372 ", 	145 ," 	1,289 "," 	1,434 ", 	159 , 	69 ," 	5,462 "," 	10,342 "," 	8,485 "," 	9,816 "," 	7,902 "," 	9,058 "," 	16,978 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	771 ," 	2,602 "," 	3,373 ", 	67 , 	519 , 	586 , 	9 , 	78 ," 	2,902 "," 	6,185 "," 	5,005 "," 	6,016 "," 	4,867 "," 	2,323 "," 	7,176 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	699 ," 	2,346 "," 	3,045 ", 	91 , 	482 , 	573 , 	3 , 	197 ," 	2,184 "," 	4,185 "," 	3,594 "," 	4,057 "," 	3,525 "," 	3,638 "," 	6,185 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,134 "," 	3,445 "," 	4,579 ", 	145 , 	558 , 	703 , 	3 ," 	1,541 "," 	4,081 "," 	6,854 "," 	6,143 "," 	6,745 "," 	5,935 "," 	4,692 "," 	10,945 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	709 ," 	2,403 "," 	3,112 ", 	106 , 	848 , 	954 , 	- 0, 	5 ," 	2,028 "," 	3,635 "," 	3,327 "," 	3,273 "," 	2,871 "," 	2,123 "," 	5,148 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	632 ," 	2,054 "," 	2,686 ", 	123 , 	613 , 	736 , 	- 0, 	149 ," 	1,766 "," 	5,295 "," 	3,858 "," 	4,999 "," 	3,768 "," 	2,820 "," 	6,279 "
,2009-10,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,524 "," 	4,014 "," 	5,538 ", 	254 ," 	1,180 "," 	1,434 ", 	228 , 	18 ," 	5,381 "," 	10,473 "," 	7,428 "," 	10,473 "," 	7,428 "," 	8,374 "," 	15,384 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	510 ," 	1,536 "," 	2,046 ", 	103 , 	399 , 	502 , 	- 0, 	63 ," 	1,310 "," 	2,434 "," 	2,095 "," 	2,368 "," 	2,024 "," 	1,819 "," 	4,186 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	755 ," 	2,665 "," 	3,420 ", 	63 , 	820 , 	883 , 	13 , 	- 0," 	2,426 "," 	4,821 "," 	4,048 "," 	4,769 "," 	4,007 "," 	2,240 "," 	6,831 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	567 ," 	1,610 "," 	2,177 ", 	86 , 	583 , 	669 , 	- 0, 	- 0," 	1,920 "," 	3,081 "," 	2,689 "," 	3,080 "," 	2,266 "," 	1,072 "," 	3,785 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	877 ," 	2,410 "," 	3,287 ", 	132 , 	738 , 	870 , 	- 0, 	- 0," 	2,456 "," 	4,758 "," 	4,020 "," 	4,681 "," 	4,165 "," 	2,918 "," 	6,868 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,669 "," 	5,058 "," 	6,727 ", 	180 , 	836 ," 	1,016 ", 	171 , 	32 ," 	6,892 "," 	11,713 "," 	9,835 "," 	11,635 "," 	9,238 "," 	8,150 "," 	16,225 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	929 ," 	2,790 "," 	3,719 ", 	155 , 	807 , 	962 , 	- 0, 	30 ," 	3,162 "," 	6,726 "," 	5,103 "," 	6,137 "," 	5,001 "," 	2,274 "," 	8,033 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	882 ," 	2,739 "," 	3,621 ", 	155 , 	962 ," 	1,117 ", 	- 0, 	372 ," 	3,173 "," 	6,295 "," 	4,469 "," 	5,930 "," 	4,284 "," 	2,080 "," 	6,235 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,583 "," 	4,958 "," 	6,541 ", 	205 ," 	1,548 "," 	1,753 ", 	159 , 	- 0," 	4,417 "," 	9,257 "," 	7,748 "," 	8,484 "," 	6,983 "," 	5,694 "," 	17,683 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	749 ," 	2,444 "," 	3,193 ", 	102 , 	733 , 	835 , 	- 0, 	64 ," 	2,520 "," 	5,656 "," 	4,852 "," 	5,465 "," 	4,855 "," 	3,065 "," 	8,191 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,993 "," 	6,903 "," 	8,896 ", 	351 ," 	2,380 "," 	2,731 ", 	- 0, 	343 ," 	6,168 "," 	12,731 "," 	10,217 "," 	12,575 "," 	9,916 "," 	6,373 "," 	15,474 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	927 ," 	3,252 "," 	4,179 ", 	112 , 	993 ," 	1,105 ", 	- 0, 	246 ," 	2,465 "," 	5,932 "," 	4,992 "," 	5,920 "," 	4,990 "," 	1,885 "," 	6,922 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	777 ," 	2,525 "," 	3,302 ", 	62 , 	726 , 	788 , 	- 0, 	3 ," 	2,487 "," 	4,899 "," 	4,097 "," 	4,891 "," 	4,097 "," 	1,004 "," 	5,748 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,227 "," 	4,786 "," 	6,013 ", 	199 ," 	1,609 "," 	1,808 ", 	734 , 	2 ," 	4,381 "," 	6,416 "," 	5,872 "," 	5,871 "," 	5,317 "," 	3,588 "," 	9,263 "
,2009-10,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	478 ," 	1,686 "," 	2,164 ", 	101 , 	488 , 	589 , 	- 0, 	- 0," 	1,088 "," 	2,696 "," 	2,129 "," 	2,492 "," 	1,965 "," 	1,559 "," 	3,710 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	691 ," 	1,864 "," 	2,555 ", 	113 , 	516 , 	629 , 	428 , 	2 ," 	2,454 "," 	4,849 "," 	3,994 "," 	4,724 "," 	3,871 "," 	1,440 "," 	6,147 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	389 , 	986 ," 	1,375 ", 	91 , 	245 , 	336 , 	26 , 	- 0, 	845 ," 	2,012 "," 	1,814 "," 	1,930 "," 	1,727 ", 	566 ," 	2,659 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,817 "," 	6,359 "," 	8,176 ", 	236 ," 	2,141 "," 	2,377 ", 	234 , 	- 0," 	5,692 "," 	11,851 "," 	10,217 "," 	11,566 "," 	9,993 "," 	5,045 "," 	16,634 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	596 ," 	2,685 "," 	3,281 ", 	152 , 	993 ," 	1,145 ", 	11 , 	14 ," 	2,779 "," 	4,211 "," 	3,255 "," 	4,159 "," 	3,218 "," 	1,953 "," 	5,278 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,896 "," 	5,768 "," 	7,664 ", 	211 ," 	1,292 "," 	1,503 ", 	795 , 	51 ," 	5,054 "," 	10,884 "," 	9,704 "," 	10,718 "," 	9,535 "," 	3,592 "," 	14,664 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,401 "," 	7,393 "," 	9,794 ", 	449 ," 	2,547 "," 	2,996 ", 	284 , 	- 0," 	5,477 "," 	13,015 "," 	11,744 "," 	12,364 "," 	11,156 "," 	4,707 "," 	15,817 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,534 "," 	5,357 "," 	6,891 ", 	193 ," 	2,132 "," 	2,325 ", 	66 , 	- 0," 	5,224 "," 	10,700 "," 	7,729 "," 	10,316 "," 	7,940 "," 	7,166 "," 	12,835 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	635 ," 	2,252 "," 	2,887 ", 	112 , 	909 ," 	1,021 ", 	31 , 	- 0," 	3,347 "," 	5,303 "," 	3,724 "," 	5,182 "," 	3,716 "," 	3,696 "," 	5,710 "
,2009-10,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,507 "," 	6,251 "," 	7,758 ", 	254 ," 	1,984 "," 	2,238 ", 	262 , 	- 0," 	4,807 "," 	9,690 "," 	9,866 "," 	8,777 "," 	8,256 "," 	3,639 "," 	9,061 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	427 ," 	1,277 "," 	1,704 ", 	63 , 	467 , 	530 , 	- 0, 	3 ," 	1,420 "," 	2,692 "," 	2,711 "," 	2,617 "," 	2,659 "," 	1,059 "," 	3,555 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	919 ," 	2,446 "," 	3,365 ", 	153 , 	527 , 	680 , 	- 0, 	228 ," 	2,894 "," 	6,852 "," 	6,666 "," 	5,278 "," 	5,115 "," 	3,361 "," 	9,144 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	715 ," 	2,762 "," 	3,477 ", 	110 , 	948 ," 	1,058 ", 	- 0, 	4 ," 	2,085 "," 	4,193 "," 	3,166 "," 	3,635 "," 	3,064 "," 	3,608 "," 	5,784 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	514 ," 	2,520 "," 	3,034 ", 	81 , 	899 , 	980 , 	- 0, 	50 ," 	1,708 "," 	5,437 "," 	4,594 "," 	5,053 "," 	4,465 "," 	2,038 "," 	7,320 "
,2009-10,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	749 ," 	2,722 "," 	3,471 ", 	53 , 	834 , 	887 , 	- 0, 	4 ," 	2,459 "," 	6,423 "," 	4,789 "," 	6,073 "," 	4,576 "," 	4,011 "," 	8,476 "
