,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,NOVEMBER,,,,England," 	138,073 "," 	451,076 "," 	589,149 "," 	21,013 "," 	130,385 "," 	151,398 "," 	10,948 "," 	16,735 "," 	441,204 "," 	927,866 "," 	829,736 "," 	887,157 "," 	789,498 "," 	478,041 "," 	1,316,225 "
,2009-10,NOVEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,111 "," 	49,986 "," 	65,097 "," 	2,378 "," 	17,236 "," 	19,614 ", 	737 ," 	1,648 "," 	42,524 "," 	85,081 "," 	79,686 "," 	86,316 "," 	78,915 "," 	45,645 "," 	131,167 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	842 ," 	2,287 "," 	3,129 ", 	192 , 	652 , 	844 , 	64 , 	9 ," 	3,287 "," 	4,337 "," 	3,984 "," 	4,169 "," 	3,889 "," 	3,318 "," 	6,805 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	707 ," 	2,204 "," 	2,911 ", 	117 , 	649 , 	766 , 	74 , 	5 ," 	2,757 "," 	3,711 "," 	3,548 "," 	3,530 "," 	3,429 "," 	2,061 "," 	5,415 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	323 , 	964 ," 	1,287 ", 	30 , 	328 , 	358 , 	- 0, 	6 ," 	1,063 "," 	1,578 "," 	1,247 "," 	1,521 "," 	1,206 ", 	786 ," 	1,863 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	495 ," 	1,878 "," 	2,373 ", 	54 , 	516 , 	570 , 	- 0, 	51 ," 	2,004 "," 	3,258 "," 	2,881 "," 	3,224 "," 	2,854 "," 	1,668 "," 	4,512 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	255 , 	822 ," 	1,077 ", 	25 , 	154 , 	179 , 	- 0, 	- 0, 	996 ," 	1,542 "," 	1,436 "," 	1,514 "," 	1,403 "," 	1,153 "," 	2,436 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	657 ," 	1,190 "," 	1,847 ", 	134 , 	296 , 	430 , 	- 0, 	455 ," 	2,233 "," 	4,021 "," 	3,591 "," 	3,902 "," 	3,551 "," 	2,273 "," 	5,466 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	506 ," 	1,736 "," 	2,242 ", 	55 , 	565 , 	620 , 	- 0, 	67 ," 	1,656 "," 	3,289 "," 	2,636 "," 	3,289 "," 	2,713 "," 	1,792 "," 	4,415 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	960 ," 	2,908 "," 	3,868 ", 	146 , 	712 , 	858 , 	- 0, 	103 ," 	2,867 "," 	5,285 "," 	4,863 "," 	5,233 "," 	4,363 "," 	5,317 "," 	7,976 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	390 ," 	1,307 "," 	1,697 ", 	100 , 	572 , 	672 , 	- 0, 	87 ," 	1,735 "," 	2,349 "," 	2,134 "," 	2,183 "," 	2,029 "," 	1,419 "," 	3,861 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,573 "," 	5,072 "," 	6,645 ", 	168 ," 	1,528 "," 	1,696 ", 	- 0, 	53 ," 	4,928 "," 	8,875 "," 	7,979 "," 	8,649 "," 	7,783 "," 	5,693 "," 	13,018 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	382 ," 	1,294 "," 	1,676 ", 	109 , 	603 , 	712 , 	- 0, 	133 ," 	1,396 "," 	2,148 "," 	1,881 "," 	2,043 "," 	1,816 "," 	1,158 "," 	3,270 "
,2009-10,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	989 ," 	3,458 "," 	4,447 ", 	125 , 	999 ," 	1,124 ", 	70 , 	6 ," 	3,356 "," 	5,024 "," 	4,869 "," 	4,979 "," 	4,844 "," 	2,770 "," 	7,948 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	527 ," 	1,355 "," 	1,882 ", 	93 , 	341 , 	434 , 	86 , 	- 0," 	1,721 "," 	2,935 "," 	2,799 "," 	2,802 "," 	2,568 ", 	956 ," 	3,886 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	732 ," 	1,918 "," 	2,650 ", 	95 , 	604 , 	699 , 	70 , 	40 ," 	2,564 "," 	4,498 "," 	3,830 "," 	4,382 "," 	3,723 "," 	3,130 "," 	6,040 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,025 "," 	2,345 "," 	3,370 ", 	179 , 	700 , 	879 , 	18 , 	16 ," 	3,002 "," 	5,347 "," 	4,649 "," 	5,006 "," 	4,457 "," 	3,550 "," 	7,397 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	949 ," 	3,060 "," 	4,009 ", 	114 , 	961 ," 	1,075 ", 	2 , 	134 ," 	3,024 "," 	6,046 "," 	5,032 "," 	5,859 "," 	4,947 "," 	3,233 "," 	8,271 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	339 ," 	1,672 "," 	2,011 ", 	37 , 	389 , 	426 , 	- 0, 	7 ," 	1,791 "," 	2,843 "," 	2,251 "," 	2,628 "," 	2,103 "," 	1,830 "," 	3,656 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	798 ," 	1,945 "," 	2,743 ", 	178 , 	318 , 	496 , 	- 0, 	27 ," 	2,509 "," 	5,410 "," 	4,901 "," 	5,031 "," 	4,571 "," 	2,781 "," 	7,518 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	519 ," 	1,569 "," 	2,088 ", 	42 , 	357 , 	399 , 	4 , 	49 ," 	2,045 "," 	2,868 "," 	2,685 "," 	2,852 "," 	2,661 "," 	1,838 "," 	4,778 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	403 ," 	1,572 "," 	1,975 ", 	40 , 	375 , 	415 , 	50 , 	3 ," 	2,093 "," 	4,077 "," 	3,488 "," 	3,889 "," 	3,093 "," 	1,979 "," 	5,173 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	674 ," 	1,946 "," 	2,620 ", 	85 , 	569 , 	654 , 	1 , 	10 ," 	2,336 "," 	3,746 "," 	3,427 "," 	3,493 "," 	3,154 "," 	2,586 "," 	5,847 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	634 ," 	2,295 "," 	2,929 ", 	108 , 	713 , 	821 , 	- 0, 	43 ," 	1,761 "," 	3,406 "," 	3,045 "," 	3,259 "," 	2,826 "," 	1,949 "," 	4,955 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	697 ," 	2,134 "," 	2,831 ", 	65 , 	466 , 	531 , 	1 , 	26 ," 	2,287 "," 	4,179 "," 	3,977 "," 	4,460 "," 	4,302 "," 	2,955 "," 	7,101 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,684 "," 	4,584 "," 	6,268 ", 	249 ," 	1,162 "," 	1,411 ", 	- 0, 	107 ," 	4,296 "," 	9,188 "," 	8,208 "," 	9,059 "," 	8,066 "," 	2,766 "," 	11,450 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	944 ," 	3,769 "," 	4,713 ", 	109 , 	998 ," 	1,107 ", 	75 , 	41 ," 	3,057 "," 	6,022 "," 	5,067 "," 	5,765 "," 	4,916 "," 	2,270 "," 	7,570 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,323 "," 	4,904 "," 	6,227 ", 	178 ," 	1,130 "," 	1,308 ", 	552 , 	352 ," 	4,318 "," 	9,826 "," 	8,075 "," 	9,300 "," 	7,748 "," 	4,446 "," 	12,414 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,299 "," 	3,896 "," 	5,195 ", 	211 ," 	1,161 "," 	1,372 ", 	343 , 	- 0," 	3,554 "," 	7,764 "," 	7,601 "," 	7,362 "," 	7,112 "," 	2,560 "," 	10,140 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	760 ," 	3,121 "," 	3,881 ", 	92 , 	973 ," 	1,065 ", 	140 , 	495 ," 	2,747 "," 	5,891 "," 	5,123 "," 	5,591 "," 	4,795 "," 	3,275 "," 	8,269 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	912 ," 	3,209 "," 	4,121 ", 	107 , 	879 , 	986 , 	62 , 	52 ," 	3,728 "," 	5,626 "," 	5,346 "," 	5,243 "," 	5,000 "," 	3,265 "," 	8,579 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,235 "," 	4,345 "," 	5,580 ", 	159 ," 	1,221 "," 	1,380 ", 	183 , 	53 ," 	5,927 "," 	10,023 "," 	9,467 "," 	9,452 "," 	8,751 "," 	8,329 "," 	18,001 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	886 ," 	2,853 "," 	3,739 ", 	76 , 	474 , 	550 , 	7 , 	66 ," 	3,344 "," 	6,154 "," 	5,730 "," 	5,934 "," 	5,537 "," 	2,505 "," 	8,161 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	761 ," 	2,501 "," 	3,262 ", 	119 , 	494 , 	613 , 	1 , 	190 ," 	2,518 "," 	4,211 "," 	4,030 "," 	4,075 "," 	3,818 "," 	4,280 "," 	6,673 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,180 "," 	3,551 "," 	4,731 ", 	143 , 	533 , 	676 , 	- 0," 	1,513 "," 	4,265 "," 	7,094 "," 	6,696 "," 	6,956 "," 	6,462 "," 	4,934 "," 	11,579 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	739 ," 	2,309 "," 	3,048 ", 	115 , 	713 , 	828 , 	- 0, 	8 ," 	2,280 "," 	3,618 "," 	3,595 "," 	3,281 "," 	3,128 "," 	2,337 "," 	5,630 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	653 ," 	2,261 "," 	2,914 ", 	130 , 	674 , 	804 , 	- 0, 	144 ," 	1,865 "," 	5,478 "," 	4,330 "," 	5,188 "," 	4,202 "," 	2,558 "," 	7,116 "
,2009-10,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,547 "," 	4,119 "," 	5,666 ", 	269 ," 	1,181 "," 	1,450 ", 	193 , 	18 ," 	5,586 "," 	10,232 "," 	7,683 "," 	10,232 "," 	7,683 "," 	8,279 "," 	16,054 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	482 ," 	1,696 "," 	2,178 ", 	101 , 	497 , 	598 , 	- 0, 	106 ," 	1,353 "," 	2,407 "," 	2,307 "," 	2,366 "," 	2,241 "," 	1,628 "," 	4,542 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	803 ," 	2,871 "," 	3,674 ", 	106 , 	838 , 	944 , 	11 , 	- 0," 	2,566 "," 	4,421 "," 	4,335 "," 	4,386 "," 	4,288 "," 	2,367 "," 	7,299 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	588 ," 	1,581 "," 	2,169 ", 	80 , 	538 , 	618 , 	- 0, 	- 0," 	1,998 "," 	3,231 "," 	3,176 "," 	3,211 "," 	2,677 ", 	997 ," 	4,150 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	824 ," 	2,264 "," 	3,088 ", 	127 , 	785 , 	912 , 	- 0, 	2 ," 	2,485 "," 	4,957 "," 	4,479 "," 	4,163 "," 	4,056 "," 	2,320 "," 	6,688 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,937 "," 	5,476 "," 	7,413 ", 	248 ," 	1,073 "," 	1,321 ", 	198 , 	119 ," 	7,323 "," 	11,337 "," 	10,995 "," 	11,264 "," 	10,276 "," 	8,374 "," 	17,506 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,088 "," 	3,042 "," 	4,130 ", 	159 , 	893 ," 	1,052 ", 	- 0, 	43 ," 	3,559 "," 	6,858 "," 	6,013 "," 	6,313 "," 	5,863 "," 	2,600 "," 	9,177 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,095 "," 	2,950 "," 	4,045 ", 	136 ," 	1,013 "," 	1,149 ", 	- 0, 	324 ," 	3,132 "," 	6,262 "," 	5,341 "," 	5,790 "," 	5,027 "," 	2,549 "," 	7,400 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,654 "," 	5,347 "," 	7,001 ", 	260 ," 	1,542 "," 	1,802 ", 	158 , 	1 ," 	4,883 "," 	9,881 "," 	8,868 "," 	9,034 "," 	8,107 "," 	6,456 "," 	18,527 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	787 ," 	2,566 "," 	3,353 ", 	107 , 	770 , 	877 , 	35 , 	3 ," 	2,700 "," 	5,248 "," 	5,316 "," 	5,738 "," 	5,097 "," 	3,219 "," 	8,601 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,105 "," 	7,477 "," 	9,582 ", 	373 ," 	2,639 "," 	3,012 ", 	- 0, 	374 ," 	6,477 "," 	12,533 "," 	11,061 "," 	11,991 "," 	10,547 "," 	6,560 "," 	17,229 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,018 "," 	3,434 "," 	4,452 ", 	128 ," 	1,038 "," 	1,166 ", 	- 0, 	253 ," 	2,542 "," 	5,994 "," 	5,303 "," 	5,976 "," 	5,302 "," 	1,781 "," 	7,475 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	806 ," 	2,622 "," 	3,428 ", 	64 , 	699 , 	763 , 	- 0, 	8 ," 	2,622 "," 	5,174 "," 	4,482 "," 	5,165 "," 	4,482 "," 	1,165 "," 	6,285 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,420 "," 	4,929 "," 	6,349 ", 	290 ," 	1,567 "," 	1,857 ", 	723 , 	- 0," 	4,720 "," 	7,185 "," 	6,408 "," 	6,576 "," 	5,771 "," 	3,711 "," 	9,904 "
,2009-10,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	548 ," 	1,646 "," 	2,194 ", 	107 , 	520 , 	627 , 	- 0, 	13 ," 	1,088 "," 	2,646 "," 	2,356 "," 	2,467 "," 	2,170 "," 	1,390 "," 	3,934 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	699 ," 	2,107 "," 	2,806 ", 	122 , 	600 , 	722 , 	462 , 	6 ," 	2,500 "," 	4,838 "," 	4,337 "," 	4,709 "," 	4,223 "," 	1,748 "," 	6,929 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	334 ," 	1,053 "," 	1,387 ", 	72 , 	243 , 	315 , 	8 , 	3 , 	880 ," 	1,905 "," 	2,150 "," 	1,839 "," 	2,090 ", 	622 ," 	3,404 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,907 "," 	6,764 "," 	8,671 ", 	224 ," 	2,235 "," 	2,459 ", 	249 , 	- 0," 	6,084 "," 	12,285 "," 	10,912 "," 	12,002 "," 	10,635 "," 	5,923 "," 	17,922 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	716 ," 	3,118 "," 	3,834 ", 	139 ," 	1,113 "," 	1,252 ", 	18 , 	25 ," 	2,616 "," 	4,577 "," 	3,773 "," 	4,520 "," 	3,736 "," 	2,062 "," 	5,657 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,021 "," 	5,746 "," 	7,767 ", 	215 ," 	1,405 "," 	1,620 ", 	798 , 	53 ," 	5,356 "," 	11,184 "," 	10,657 "," 	11,036 "," 	10,502 "," 	3,844 "," 	15,960 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,541 "," 	7,924 "," 	10,465 ", 	515 ," 	2,921 "," 	3,436 ", 	531 , 	- 0," 	5,666 "," 	12,868 "," 	12,937 "," 	12,224 "," 	12,290 "," 	5,198 "," 	17,686 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,616 "," 	5,607 "," 	7,223 ", 	234 ," 	2,040 "," 	2,274 ", 	53 , 	- 0," 	5,208 "," 	11,220 "," 	9,170 "," 	10,784 "," 	9,603 "," 	7,490 "," 	14,652 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	593 ," 	2,356 "," 	2,949 ", 	83 , 	909 , 	992 , 	21 , 	- 0," 	3,568 "," 	5,381 "," 	4,152 "," 	5,307 "," 	4,393 "," 	4,082 "," 	6,545 "
,2009-10,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,627 "," 	6,248 "," 	7,875 ", 	420 ," 	2,035 "," 	2,455 ", 	150 , 	- 0," 	5,000 "," 	9,806 "," 	9,299 "," 	9,629 "," 	9,096 "," 	4,189 "," 	12,836 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	410 ," 	1,311 "," 	1,721 ", 	60 , 	497 , 	557 , 	- 0, 	1 ," 	1,151 "," 	2,857 "," 	3,106 "," 	2,763 "," 	3,056 "," 	1,180 "," 	4,050 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	941 ," 	2,500 "," 	3,441 ", 	195 , 	680 , 	875 , 	- 0, 	176 ," 	3,106 "," 	6,935 "," 	7,204 "," 	5,284 "," 	5,655 "," 	3,419 "," 	9,583 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	810 ," 	2,856 "," 	3,666 ", 	111 ," 	1,086 "," 	1,197 ", 	- 0, 	2 ," 	2,188 "," 	4,559 "," 	2,793 "," 	3,978 "," 	2,719 "," 	3,582 "," 	5,833 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	593 ," 	2,563 "," 	3,156 ", 	106 , 	961 ," 	1,067 ", 	- 0, 	33 ," 	1,923 "," 	5,740 "," 	4,806 "," 	5,347 "," 	4,648 "," 	2,108 "," 	7,777 "
,2009-10,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	820 ," 	2,896 "," 	3,716 ", 	82 ," 	1,017 "," 	1,099 ", 	- 0, 	4 ," 	2,833 "," 	6,679 "," 	5,531 "," 	6,323 "," 	5,335 "," 	4,570 "," 	9,254 "
