,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,SEPTEMBER,,,,England," 	136,242 "," 	452,865 "," 	589,107 "," 	21,654 "," 	132,607 "," 	154,261 "," 	10,992 "," 	16,855 "," 	426,379 "," 	970,488 "," 	848,647 "," 	928,493 "," 	808,060 "," 	501,550 "," 	1,350,603 "
,2009-10,SEPTEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,121 "," 	50,015 "," 	65,136 "," 	2,679 "," 	17,154 "," 	19,833 ", 	658 ," 	1,665 "," 	41,890 "," 	91,782 "," 	82,507 "," 	91,023 "," 	80,351 "," 	48,392 "," 	133,815 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	836 ," 	2,625 "," 	3,461 ", 	182 , 	824 ," 	1,006 ", 	50 , 	13 ," 	2,463 "," 	4,515 "," 	4,348 "," 	4,407 "," 	4,248 "," 	3,422 "," 	7,579 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	714 ," 	2,442 "," 	3,156 ", 	94 , 	783 , 	877 , 	58 , 	2 ," 	2,467 "," 	4,097 "," 	3,843 "," 	3,966 "," 	3,737 "," 	2,376 "," 	6,008 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	298 , 	949 ," 	1,247 ", 	16 , 	305 , 	321 , 	- 0, 	- 0," 	1,027 "," 	1,432 "," 	1,266 "," 	1,373 "," 	1,227 ", 	912 ," 	2,024 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	536 ," 	1,875 "," 	2,411 ", 	69 , 	611 , 	680 , 	1 , 	- 0," 	1,877 "," 	3,138 "," 	2,844 "," 	3,114 "," 	2,821 "," 	1,616 "," 	4,477 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	267 , 	821 ," 	1,088 ", 	40 , 	161 , 	201 , 	- 0, 	- 0," 	1,027 "," 	1,587 "," 	1,370 "," 	1,554 "," 	1,342 "," 	1,188 "," 	2,459 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	673 ," 	1,226 "," 	1,899 ", 	137 , 	327 , 	464 , 	- 0, 	380 ," 	2,101 "," 	4,312 "," 	3,786 "," 	4,199 "," 	3,829 "," 	2,501 "," 	6,350 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	533 ," 	1,859 "," 	2,392 ", 	51 , 	616 , 	667 , 	- 0, 	41 ," 	1,499 "," 	3,366 "," 	2,684 "," 	3,210 "," 	2,845 "," 	1,815 "," 	4,812 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,019 "," 	3,101 "," 	4,120 ", 	167 , 	849 ," 	1,016 ", 	- 0, 	120 ," 	2,821 "," 	5,081 "," 	4,737 "," 	5,026 "," 	4,311 "," 	5,987 "," 	8,220 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	391 ," 	1,310 "," 	1,701 ", 	103 , 	705 , 	808 , 	3 , 	- 0," 	1,671 "," 	2,308 "," 	1,955 "," 	2,183 "," 	1,863 "," 	1,644 "," 	3,748 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,508 "," 	5,244 "," 	6,752 ", 	232 ," 	1,628 "," 	1,860 ", 	- 0, 	43 ," 	4,729 "," 	9,280 "," 	8,320 "," 	9,029 "," 	8,136 "," 	6,062 "," 	13,798 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	388 ," 	1,124 "," 	1,512 ", 	99 , 	576 , 	675 , 	5 , 	- 0," 	1,268 "," 	1,991 "," 	1,756 "," 	1,905 "," 	1,681 "," 	1,348 "," 	3,183 "
,2009-10,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,004 "," 	3,663 "," 	4,667 ", 	119 ," 	1,103 "," 	1,222 ", 	89 , 	10 ," 	3,335 "," 	5,437 "," 	5,640 "," 	5,401 "," 	5,609 "," 	3,235 "," 	8,967 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	509 ," 	1,367 "," 	1,876 ", 	123 , 	353 , 	476 , 	75 , 	- 0," 	1,537 "," 	2,975 "," 	2,953 "," 	2,856 "," 	2,736 ", 	851 ," 	4,055 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	730 ," 	2,011 "," 	2,741 ", 	103 , 	591 , 	694 , 	62 , 	32 ," 	2,381 "," 	4,853 "," 	3,977 "," 	4,761 "," 	3,908 "," 	3,435 "," 	6,326 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,051 "," 	2,324 "," 	3,375 ", 	220 , 	618 , 	838 , 	16 , 	18 ," 	2,841 "," 	5,746 "," 	4,744 "," 	5,597 "," 	4,857 "," 	3,902 "," 	7,810 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	849 ," 	2,878 "," 	3,727 ", 	119 , 	898 ," 	1,017 ", 	2 , 	110 ," 	2,800 "," 	6,174 "," 	5,320 "," 	5,985 "," 	5,230 "," 	3,452 "," 	8,656 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	341 ," 	1,826 "," 	2,167 ", 	22 , 	421 , 	443 , 	- 0, 	6 ," 	1,714 "," 	2,859 "," 	2,112 "," 	2,683 "," 	2,056 "," 	2,004 "," 	3,814 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	786 ," 	1,916 "," 	2,702 ", 	114 , 	471 , 	585 , 	1 , 	17 ," 	2,192 "," 	5,840 "," 	4,920 "," 	5,436 "," 	4,581 "," 	2,850 "," 	7,627 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	497 ," 	1,734 "," 	2,231 ", 	32 , 	422 , 	454 , 	7 , 	39 ," 	1,948 "," 	2,999 "," 	2,734 "," 	2,967 "," 	2,709 "," 	1,874 "," 	4,807 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	431 ," 	1,577 "," 	2,008 ", 	44 , 	341 , 	385 , 	55 , 	3 ," 	1,985 "," 	4,427 "," 	3,517 "," 	4,244 "," 	3,315 "," 	1,989 "," 	5,526 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	635 ," 	1,843 "," 	2,478 ", 	68 , 	581 , 	649 , 	- 0, 	- 0," 	2,320 "," 	4,100 "," 	3,436 "," 	3,748 "," 	3,113 "," 	3,046 "," 	6,092 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	634 ," 	2,092 "," 	2,726 ", 	107 , 	710 , 	817 , 	- 0, 	52 ," 	1,780 "," 	3,427 "," 	3,172 "," 	3,224 "," 	3,004 "," 	2,317 "," 	5,268 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	722 ," 	2,128 "," 	2,850 ", 	93 , 	432 , 	525 , 	4 , 	24 ," 	2,116 "," 	4,737 "," 	4,167 "," 	4,668 "," 	4,170 "," 	3,119 "," 	7,366 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,661 "," 	4,667 "," 	6,328 ", 	272 ," 	1,131 "," 	1,403 ", 	- 0, 	105 ," 	4,311 "," 	9,872 "," 	8,729 "," 	9,722 "," 	8,594 "," 	3,084 "," 	12,394 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	945 ," 	3,885 "," 	4,830 ", 	122 , 	992 ," 	1,114 ", 	81 , 	33 ," 	3,030 "," 	6,279 "," 	5,302 "," 	6,141 "," 	5,182 "," 	2,363 "," 	7,672 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,417 "," 	5,103 "," 	6,520 ", 	229 ," 	1,061 "," 	1,290 ", 	527 , 	390 ," 	4,032 "," 	10,487 "," 	8,670 "," 	9,974 "," 	8,355 "," 	4,599 "," 	13,446 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,249 "," 	3,862 "," 	5,111 ", 	263 ," 	1,111 "," 	1,374 ", 	322 , 	1 ," 	3,264 "," 	8,286 "," 	7,758 "," 	7,846 "," 	7,252 "," 	2,336 "," 	10,791 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	857 ," 	3,188 "," 	4,045 ", 	98 , 	847 , 	945 , 	134 , 	580 ," 	2,690 "," 	6,194 "," 	5,608 "," 	5,895 "," 	5,309 "," 	3,590 "," 	9,109 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	902 ," 	2,874 "," 	3,776 ", 	98 , 	906 ," 	1,004 ", 	62 , 	45 ," 	3,401 "," 	5,706 "," 	5,293 "," 	5,317 "," 	4,961 "," 	3,142 "," 	8,419 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,182 "," 	4,366 "," 	5,548 ", 	163 ," 	1,176 "," 	1,339 ", 	161 , 	55 ," 	5,744 "," 	10,922 "," 	9,792 "," 	10,300 "," 	9,180 "," 	8,942 "," 	18,843 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	847 ," 	2,737 "," 	3,584 ", 	73 , 	409 , 	482 , 	5 , 	95 ," 	3,264 "," 	6,102 "," 	5,465 "," 	5,895 "," 	5,297 "," 	2,624 "," 	8,044 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	695 ," 	2,481 "," 	3,176 ", 	101 , 	471 , 	572 , 	2 , 	171 ," 	2,376 "," 	4,745 "," 	4,352 "," 	4,604 "," 	4,091 "," 	4,444 "," 	7,051 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,161 "," 	3,725 "," 	4,886 ", 	126 , 	590 , 	716 , 	1 ," 	1,754 "," 	4,115 "," 	6,902 "," 	6,751 "," 	6,788 "," 	6,499 "," 	5,083 "," 	11,849 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	706 ," 	2,406 "," 	3,112 ", 	128 , 	785 , 	913 , 	- 0, 	7 ," 	2,086 "," 	4,112 "," 	3,753 "," 	3,752 "," 	3,313 "," 	2,608 "," 	6,030 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	711 ," 	2,387 "," 	3,098 ", 	145 , 	722 , 	867 , 	- 0, 	154 ," 	1,721 "," 	5,987 "," 	4,668 "," 	5,688 "," 	4,525 "," 	2,917 "," 	7,377 "
,2009-10,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,662 "," 	4,243 "," 	5,905 ", 	286 ," 	1,221 "," 	1,507 ", 	20 , 	248 ," 	5,493 "," 	10,572 "," 	8,139 "," 	10,572 "," 	8,139 "," 	8,632 "," 	16,062 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	532 ," 	1,710 "," 	2,242 ", 	118 , 	522 , 	640 , 	- 0, 	82 ," 	1,461 "," 	2,674 "," 	2,546 "," 	2,635 "," 	2,467 "," 	1,902 "," 	4,751 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	750 ," 	2,840 "," 	3,590 ", 	77 , 	845 , 	922 , 	6 , 	- 0," 	2,457 "," 	4,970 "," 	4,483 "," 	4,932 "," 	4,436 "," 	2,419 "," 	7,577 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	557 ," 	1,708 "," 	2,265 ", 	100 , 	551 , 	651 , 	- 0, 	- 0," 	1,927 "," 	3,591 "," 	3,271 "," 	3,524 "," 	2,749 ", 	991 ," 	4,369 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	842 ," 	2,294 "," 	3,136 ", 	154 , 	851 ," 	1,005 ", 	- 0, 	5 ," 	2,404 "," 	5,294 "," 	4,468 "," 	4,830 "," 	4,183 "," 	2,984 "," 	6,897 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,928 "," 	5,453 "," 	7,381 ", 	244 ," 	1,299 "," 	1,543 ", 	163 , 	28 ," 	7,030 "," 	12,533 "," 	11,173 "," 	12,424 "," 	10,488 "," 	9,160 "," 	18,093 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,133 "," 	3,173 "," 	4,306 ", 	178 , 	897 ," 	1,075 ", 	- 0, 	57 ," 	3,470 "," 	7,665 "," 	6,183 "," 	7,006 "," 	5,969 "," 	2,628 "," 	9,658 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,065 "," 	3,180 "," 	4,245 ", 	155 ," 	1,109 "," 	1,264 ", 	- 0, 	299 ," 	2,964 "," 	6,216 "," 	5,461 "," 	5,714 "," 	4,999 "," 	2,907 "," 	7,553 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,646 "," 	5,215 "," 	6,861 ", 	282 ," 	1,572 "," 	1,854 ", 	141 , 	- 0," 	4,653 "," 	10,555 "," 	9,085 "," 	9,733 "," 	8,282 "," 	6,467 "," 	18,672 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	823 ," 	2,688 "," 	3,511 ", 	111 , 	805 , 	916 , 	43 , 	13 ," 	2,699 "," 	5,714 "," 	5,212 "," 	6,011 "," 	5,339 "," 	3,371 "," 	9,009 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,141 "," 	7,397 "," 	9,538 ", 	437 ," 	2,534 "," 	2,971 ", 	- 0, 	379 ," 	6,339 "," 	12,369 "," 	10,892 "," 	12,171 "," 	10,703 "," 	6,609 "," 	17,465 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	986 ," 	3,510 "," 	4,496 ", 	152 ," 	1,072 "," 	1,224 ", 	- 0, 	261 ," 	2,533 "," 	6,423 "," 	5,369 "," 	6,383 "," 	5,354 "," 	1,874 "," 	7,618 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	826 ," 	2,712 "," 	3,538 ", 	78 , 	806 , 	884 , 	2 , 	11 ," 	2,637 "," 	5,327 "," 	4,690 "," 	5,319 "," 	4,690 "," 	1,137 "," 	6,674 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,381 "," 	5,123 "," 	6,504 ", 	303 ," 	1,435 "," 	1,738 ", 	780 , 	1 ," 	4,407 "," 	7,907 "," 	6,889 "," 	7,290 "," 	6,375 "," 	3,726 "," 	10,481 "
,2009-10,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	429 ," 	1,652 "," 	2,081 ", 	87 , 	532 , 	619 , 	- 0, 	6 ," 	1,306 "," 	2,557 "," 	2,352 "," 	2,338 "," 	2,165 "," 	1,779 "," 	4,142 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	698 ," 	2,042 "," 	2,740 ", 	76 , 	546 , 	622 , 	451 , 	7 ," 	2,492 "," 	5,569 "," 	4,418 "," 	5,435 "," 	4,310 "," 	1,828 "," 	6,982 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	319 ," 	1,060 "," 	1,379 ", 	33 , 	256 , 	289 , 	14 , 	13 , 	907 ," 	2,190 "," 	2,152 "," 	2,151 "," 	2,098 ", 	578 ," 	3,499 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,925 "," 	7,045 "," 	8,970 ", 	264 ," 	2,365 "," 	2,629 ", 	264 , 	- 0," 	5,947 "," 	12,993 "," 	11,011 "," 	12,711 "," 	10,763 "," 	5,764 "," 	18,025 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	679 ," 	3,100 "," 	3,779 ", 	119 ," 	1,155 "," 	1,274 ", 	14 , 	14 ," 	2,517 "," 	4,793 "," 	3,900 "," 	4,738 "," 	3,830 "," 	1,971 "," 	5,851 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,926 "," 	6,081 "," 	8,007 ", 	208 ," 	1,355 "," 	1,563 ", 	825 , 	55 ," 	5,234 "," 	12,221 "," 	10,799 "," 	12,047 "," 	10,620 "," 	4,203 "," 	16,564 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,470 "," 	7,415 "," 	9,885 ", 	494 ," 	2,790 "," 	3,284 ", 	377 , 	- 0," 	5,614 "," 	14,193 "," 	13,451 "," 	13,613 "," 	13,182 "," 	5,601 "," 	18,100 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,423 "," 	5,765 "," 	7,188 ", 	199 ," 	2,165 "," 	2,364 ", 	36 , 	- 0," 	5,033 "," 	11,560 "," 	8,795 "," 	11,145 "," 	9,341 "," 	7,425 "," 	14,708 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	650 ," 	2,447 "," 	3,097 ", 	107 , 	959 ," 	1,066 ", 	26 , 	- 0," 	3,201 "," 	5,607 "," 	4,258 "," 	5,600 "," 	4,569 "," 	3,849 "," 	6,849 "
,2009-10,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,581 "," 	6,164 "," 	7,745 ", 	257 ," 	2,135 "," 	2,392 ", 	107 , 	- 0," 	4,893 "," 	10,089 "," 	9,320 "," 	9,864 "," 	9,180 "," 	4,362 "," 	12,875 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	376 ," 	1,387 "," 	1,763 ", 	55 , 	496 , 	551 , 	- 0, 	4 ," 	1,161 "," 	3,194 "," 	2,933 "," 	3,148 "," 	2,895 "," 	1,265 "," 	3,997 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	952 ," 	2,558 "," 	3,510 ", 	201 , 	635 , 	836 , 	- 0, 	278 ," 	2,932 "," 	7,665 "," 	7,364 "," 	5,979 "," 	5,760 "," 	3,659 "," 	9,951 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	784 ," 	2,872 "," 	3,656 ", 	141 ," 	1,132 "," 	1,273 ", 	- 0, 	2 ," 	2,120 "," 	5,622 "," 	2,932 "," 	5,059 "," 	2,844 "," 	2,522 "," 	6,033 "
,2009-10,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	524 ," 	2,672 "," 	3,196 ", 	97 , 	998 ," 	1,095 ", 	- 0, 	56 ," 	1,897 "," 	5,417 "," 	4,836 "," 	5,048 "," 	4,715 "," 	2,075 "," 	7,907 "
