,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,OCTOBER,,,,England," 	152,388 "," 	449,882 "," 	602,270 "," 	23,985 "," 	129,755 "," 	153,740 "," 	9,280 "," 	18,261 "," 	438,160 "," 	951,691 "," 	817,721 "," 	910,842 "," 	769,665 "," 	492,935 "," 	1,271,542 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	448 ," 	2,244 "," 	2,692 ", 	34 , 	595 , 	629 , 	7 , 	- 0," 	1,888 "," 	2,847 "," 	2,099 "," 	2,734 "," 	2,047 "," 	1,895 "," 	3,456 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	845 ," 	1,994 "," 	2,839 ", 	94 , 	370 , 	464 , 	2 , 	12 ," 	2,651 "," 	6,030 "," 	4,796 "," 	5,756 "," 	4,638 "," 	2,707 "," 	7,657 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	483 ," 	1,465 "," 	1,948 ", 	48 , 	295 , 	343 , 	14 , 	1 ," 	1,996 "," 	2,621 "," 	2,370 "," 	2,565 "," 	2,321 "," 	1,403 "," 	3,763 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	508 ," 	1,573 "," 	2,081 ", 	73 , 	296 , 	369 , 	15 , 	4 ," 	2,348 "," 	4,186 "," 	3,263 "," 	4,081 "," 	3,156 "," 	1,746 "," 	4,821 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	742 ," 	2,105 "," 	2,847 ", 	94 , 	709 , 	803 , 	3 , 	4 ," 	2,240 "," 	4,168 "," 	3,310 "," 	3,856 "," 	3,021 "," 	2,519 "," 	4,935 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	717 ," 	2,132 "," 	2,849 ", 	121 , 	605 , 	726 , 	9 , 	17 ," 	1,945 "," 	3,686 "," 	2,877 "," 	3,403 "," 	2,571 "," 	1,930 "," 	4,124 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	749 ," 	2,207 "," 	2,956 ", 	112 , 	441 , 	553 , 	3 , 	35 ," 	2,117 "," 	5,064 "," 	4,310 "," 	4,803 "," 	4,050 "," 	2,984 "," 	6,788 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,825 "," 	4,498 "," 	6,323 ", 	243 , 	979 ," 	1,222 ", 	1 , 	56 ," 	4,457 "," 	9,889 "," 	8,200 "," 	9,709 "," 	8,016 "," 	3,031 "," 	11,523 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,070 "," 	4,608 "," 	5,678 ", 	108 ," 	1,439 "," 	1,547 ", 	67 , 	- 0," 	3,198 "," 	6,461 "," 	5,216 "," 	6,278 "," 	5,110 "," 	2,168 "," 	7,248 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,531 "," 	5,093 "," 	6,624 ", 	212 ," 	1,266 "," 	1,478 ", 	322 , 	358 ," 	4,175 "," 	10,231 "," 	8,269 "," 	9,655 "," 	7,966 "," 	4,285 "," 	12,507 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,540 "," 	3,840 "," 	5,380 ", 	299 ," 	1,159 "," 	1,458 ", 	310 , 	- 0," 	3,543 "," 	8,363 "," 	6,992 "," 	7,851 "," 	6,561 "," 	4,188 "," 	9,341 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	905 ," 	3,124 "," 	4,029 ", 	138 , 	882 ," 	1,020 ", 	448 , 	61 ," 	3,260 "," 	6,328 "," 	4,998 "," 	6,125 "," 	4,793 "," 	3,170 "," 	8,028 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT," 	1,060 "," 	3,018 "," 	4,078 ", 	110 , 	714 , 	824 , 	62 , 	- 0," 	3,663 "," 	5,873 "," 	5,361 "," 	5,507 "," 	5,040 "," 	3,143 "," 	8,011 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,547 "," 	3,920 "," 	5,467 ", 	266 , 	807 ," 	1,073 ", 	133 , 	2 ," 	6,153 "," 	9,892 "," 	8,010 "," 	9,789 "," 	7,885 "," 	8,335 "," 	15,835 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	909 ," 	2,740 "," 	3,649 ", 	63 , 	418 , 	481 , 	15 , 	- 0," 	3,599 "," 	6,525 "," 	5,555 "," 	6,165 "," 	5,226 "," 	2,315 "," 	7,685 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	830 ," 	2,287 "," 	3,117 ", 	179 , 	388 , 	567 , 	1 , 	70 ," 	2,332 "," 	4,896 "," 	4,325 "," 	4,749 "," 	4,053 "," 	3,964 "," 	6,513 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,187 "," 	3,772 "," 	4,959 ", 	146 , 	587 , 	733 , 	2 ," 	1,541 "," 	4,226 "," 	7,904 "," 	6,919 "," 	7,510 "," 	6,388 "," 	4,957 "," 	11,471 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	735 ," 	2,542 "," 	3,277 ", 	113 , 	796 , 	909 , 	- 0, 	4 ," 	2,169 "," 	4,158 "," 	3,644 "," 	3,787 "," 	3,184 "," 	2,252 "," 	5,002 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	836 ," 	2,382 "," 	3,218 ", 	128 , 	595 , 	723 , 	28 , 	153 ," 	1,678 "," 	5,631 "," 	5,184 "," 	5,135 "," 	4,864 "," 	2,337 "," 	6,295 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,649 "," 	4,498 "," 	6,147 ", 	266 ," 	1,110 "," 	1,376 ", 	61 , 	241 ," 	5,646 "," 	11,213 "," 	7,886 "," 	10,531 "," 	7,461 "," 	8,319 "," 	14,470 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	580 ," 	1,752 "," 	2,332 ", 	118 , 	481 , 	599 , 	- 0, 	144 ," 	1,397 "," 	2,590 "," 	2,373 "," 	2,522 "," 	2,301 "," 	1,359 "," 	3,961 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	843 ," 	2,917 "," 	3,760 ", 	96 , 	853 , 	949 , 	28 , 	- 0," 	2,740 "," 	4,979 "," 	4,405 "," 	4,932 "," 	4,359 "," 	2,365 "," 	7,522 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	646 ," 	1,554 "," 	2,200 ", 	82 , 	448 , 	530 , 	- 0, 	- 0," 	1,797 "," 	3,450 "," 	2,841 "," 	3,357 "," 	2,388 "," 	1,108 "," 	4,404 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	824 ," 	2,208 "," 	3,032 ", 	127 , 	831 , 	958 , 	- 0, 	- 0," 	2,518 "," 	4,980 "," 	4,216 "," 	4,940 "," 	4,189 "," 	2,951 "," 	7,229 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,047 "," 	5,414 "," 	7,461 ", 	247 ," 	1,312 "," 	1,559 ", 	198 , 	32 ," 	7,226 "," 	12,941 "," 	11,224 "," 	12,496 "," 	10,321 "," 	9,269 "," 	16,715 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,179 "," 	2,711 "," 	3,890 ", 	202 , 	741 , 	943 , 	- 0, 	29 ," 	3,425 "," 	7,056 "," 	5,544 "," 	6,562 "," 	5,365 "," 	2,678 "," 	8,834 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,135 "," 	2,758 "," 	3,893 ", 	220 , 	910 ," 	1,130 ", 	- 0, 	335 ," 	3,153 "," 	6,153 "," 	5,312 "," 	5,903 "," 	4,908 "," 	2,648 "," 	7,278 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,838 "," 	5,271 "," 	7,109 ", 	323 ," 	1,698 "," 	2,021 ", 	118 , 	1 ," 	4,924 "," 	10,565 "," 	9,048 "," 	9,722 "," 	8,340 "," 	6,483 "," 	16,351 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	845 ," 	2,435 "," 	3,280 ", 	118 , 	723 , 	841 , 	95 , 	87 ," 	2,691 "," 	5,705 "," 	5,239 "," 	5,895 "," 	5,320 "," 	3,410 "," 	8,950 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,319 "," 	6,284 "," 	8,603 ", 	539 ," 	2,038 "," 	2,577 ", 	- 0, 	309 ," 	6,126 "," 	13,282 "," 	11,469 "," 	12,564 "," 	11,248 "," 	6,623 "," 	17,512 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,169 "," 	3,259 "," 	4,428 ", 	160 , 	770 , 	930 , 	- 0, 	247 ," 	2,586 "," 	6,170 "," 	5,403 "," 	6,062 "," 	5,383 "," 	2,016 "," 	7,298 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	981 ," 	2,639 "," 	3,620 ", 	73 , 	402 , 	475 , 	- 0, 	35 ," 	2,633 "," 	5,472 "," 	4,687 "," 	5,461 "," 	4,685 "," 	1,202 "," 	6,467 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,529 "," 	5,110 "," 	6,639 ", 	237 , 	975 ," 	1,212 ", 	716 , 	- 0," 	4,881 "," 	7,832 "," 	7,002 "," 	7,207 "," 	6,188 "," 	3,390 "," 	9,062 "
,2008-09,OCTOBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	702 ," 	1,978 "," 	2,680 ", 	214 , 	784 , 	998 , 	- 0, 	4 ," 	1,225 "," 	2,678 "," 	2,369 "," 	2,470 "," 	2,199 "," 	1,484 "," 	3,870 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	865 ," 	2,035 "," 	2,900 ", 	166 , 	399 , 	565 , 	375 , 	16 ," 	2,661 "," 	4,486 "," 	3,495 "," 	4,318 "," 	3,347 "," 	2,139 "," 	6,312 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	339 , 	995 ," 	1,334 ", 	35 , 	265 , 	300 , 	18 , 	- 0, 	876 ," 	2,337 "," 	2,084 "," 	2,239 "," 	2,007 ", 	797 ," 	3,055 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	2,174 "," 	6,885 "," 	9,059 ", 	330 ," 	2,449 "," 	2,779 ", 	178 , 	- 0," 	5,900 "," 	12,748 "," 	10,895 "," 	12,447 "," 	10,655 "," 	5,593 "," 	15,640 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	836 ," 	3,077 "," 	3,913 ", 	118 ," 	1,103 "," 	1,221 ", 	24 , 	14 ," 	2,457 "," 	5,037 "," 	3,932 "," 	4,985 "," 	3,909 "," 	2,480 "," 	5,939 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,225 "," 	5,705 "," 	7,930 ", 	250 ," 	1,128 "," 	1,378 ", 	488 , 	73 ," 	5,361 "," 	10,532 "," 	9,016 "," 	10,313 "," 	8,798 "," 	4,401 "," 	13,406 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,473 "," 	6,892 "," 	9,365 ", 	458 ," 	2,595 "," 	3,053 ", 	206 , 	- 0," 	5,761 "," 	12,323 "," 	13,779 "," 	11,360 "," 	11,874 "," 	5,090 "," 	17,604 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,634 "," 	5,669 "," 	7,303 ", 	185 ," 	2,044 "," 	2,229 ", 	- 0, 	- 0," 	5,274 "," 	11,052 "," 	7,731 "," 	10,731 "," 	8,738 "," 	7,143 "," 	13,701 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	792 ," 	2,394 "," 	3,186 ", 	67 , 	781 , 	848 , 	- 0, 	- 0," 	3,299 "," 	5,349 "," 	3,356 "," 	5,349 "," 	4,062 "," 	3,873 "," 	6,203 "
,2008-09,OCTOBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	2,059 "," 	6,460 "," 	8,519 ", 	385 ," 	2,258 "," 	2,643 ", 	130 , 	- 0," 	5,015 "," 	10,054 "," 	9,213 "," 	9,681 "," 	8,320 "," 	3,973 "," 	12,922 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	475 ," 	1,309 "," 	1,784 ", 	71 , 	593 , 	664 , 	- 0, 	12 ," 	1,101 "," 	3,246 "," 	3,150 "," 	3,162 "," 	3,090 "," 	1,381 "," 	4,218 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,160 "," 	2,679 "," 	3,839 ", 	259 , 	547 , 	806 , 	- 0, 	235 ," 	3,006 "," 	7,189 "," 	7,028 "," 	5,591 "," 	5,414 "," 	3,873 "," 	9,096 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	800 ," 	2,914 "," 	3,714 ", 	112 ," 	1,120 "," 	1,232 ", 	6 , 	72 ," 	1,999 "," 	4,380 "," 	2,979 "," 	4,261 "," 	2,870 "," 	2,935 "," 	6,497 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	658 ," 	2,501 "," 	3,159 ", 	80 , 	924 ," 	1,004 ", 	- 0, 	42 ," 	2,107 "," 	4,986 "," 	4,764 "," 	4,572 "," 	4,668 "," 	2,859 "," 	8,208 "
,2008-09,OCTOBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	930 ," 	3,020 "," 	3,950 ", 	111 ," 	1,018 "," 	1,129 ", 	- 0, 	4 ," 	2,427 "," 	6,809 "," 	5,750 "," 	6,213 "," 	5,308 "," 	4,173 "," 	9,050 "
