,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,DECEMBER,,,,England," 	127,164 "," 	392,719 "," 	519,883 "," 	20,714 "," 	115,336 "," 	136,050 "," 	7,717 "," 	15,646 "," 	450,630 "," 	780,175 "," 	721,187 "," 	748,274 "," 	680,918 "," 	434,467 "," 	1,121,161 "
,2008-09,DECEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,347 "," 	46,199 "," 	61,546 "," 	2,509 "," 	16,559 "," 	19,068 ", 	644 ," 	1,286 "," 	42,998 "," 	73,279 "," 	72,848 "," 	78,119 "," 	72,403 "," 	40,864 "," 	118,637 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	778 ," 	2,291 "," 	3,069 ", 	110 , 	810 , 	920 , 	37 , 	2 ," 	2,677 "," 	3,498 "," 	3,775 "," 	3,394 "," 	3,690 "," 	3,181 "," 	6,832 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	636 ," 	2,204 "," 	2,840 ", 	99 , 	778 , 	877 , 	45 , 	4 ," 	2,647 "," 	3,180 "," 	3,609 "," 	3,104 "," 	3,502 "," 	2,193 "," 	5,602 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	248 , 	798 ," 	1,046 ", 	35 , 	217 , 	252 , 	8 , 	- 0," 	1,088 "," 	1,208 "," 	1,195 "," 	1,164 "," 	1,151 ", 	650 ," 	1,879 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	495 ," 	1,641 "," 	2,136 ", 	119 , 	740 , 	859 , 	16 , 	- 0," 	2,197 "," 	2,448 "," 	2,517 "," 	2,413 "," 	2,494 "," 	1,281 "," 	4,022 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	276 , 	790 ," 	1,066 ", 	36 , 	152 , 	188 , 	- 0, 	- 0," 	1,212 "," 	1,408 "," 	1,392 "," 	1,357 "," 	1,335 "," 	1,079 "," 	2,319 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	556 ," 	1,043 "," 	1,599 ", 	94 , 	251 , 	345 , 	- 0, 	379 ," 	2,388 "," 	3,256 "," 	3,190 "," 	3,149 "," 	3,158 "," 	2,170 "," 	5,206 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	409 ," 	1,615 "," 	2,024 ", 	46 , 	531 , 	577 , 	- 0, 	37 ," 	1,597 "," 	2,791 "," 	2,647 "," 	2,692 "," 	2,543 "," 	1,582 "," 	3,962 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	743 ," 	2,776 "," 	3,519 ", 	77 , 	670 , 	747 , 	- 0, 	94 ," 	2,923 "," 	3,946 "," 	4,537 "," 	3,883 "," 	3,761 "," 	4,934 "," 	7,165 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	346 ," 	1,237 "," 	1,583 ", 	68 , 	657 , 	725 , 	43 , 	- 0," 	1,774 "," 	2,009 "," 	1,750 "," 	1,879 "," 	1,659 "," 	1,179 "," 	3,606 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,422 "," 	4,823 "," 	6,245 ", 	223 ," 	1,430 "," 	1,653 ", 	- 0, 	39 ," 	5,421 "," 	7,572 "," 	7,001 "," 	7,308 "," 	6,823 "," 	5,462 "," 	11,520 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	314 ," 	1,124 "," 	1,438 ", 	56 , 	585 , 	641 , 	51 , 	- 0," 	1,388 "," 	1,724 "," 	1,514 "," 	1,632 "," 	1,454 ", 	944 ," 	2,847 "
,2008-09,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,003 "," 	3,132 "," 	4,135 ", 	119 ," 	1,085 "," 	1,204 ", 	58 , 	3 ," 	3,498 "," 	4,291 "," 	4,698 "," 	4,267 "," 	4,676 "," 	2,898 "," 	7,627 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	387 ," 	1,087 "," 	1,474 ", 	104 , 	256 , 	360 , 	33 , 	- 0," 	1,556 "," 	2,613 "," 	2,208 "," 	2,381 "," 	2,020 "," 	1,336 "," 	3,180 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	716 ," 	1,707 "," 	2,423 ", 	117 , 	435 , 	552 , 	54 , 	18 ," 	2,477 "," 	3,419 "," 	2,955 "," 	3,336 "," 	1,824 "," 	3,058 "," 	4,806 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	941 ," 	1,970 "," 	2,911 ", 	183 , 	378 , 	561 , 	63 , 	- 0," 	2,893 "," 	4,572 "," 	3,800 "," 	4,676 "," 	3,975 "," 	3,571 "," 	6,788 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	857 ," 	2,673 "," 	3,530 ", 	115 , 	793 , 	908 , 	- 0, 	91 ," 	3,015 "," 	4,933 "," 	4,712 "," 	4,649 "," 	4,634 "," 	3,034 "," 	7,574 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	342 ," 	1,835 "," 	2,177 ", 	42 , 	517 , 	559 , 	23 , 	- 0," 	1,836 "," 	2,228 "," 	1,761 "," 	2,065 "," 	1,716 "," 	1,635 "," 	2,969 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	679 ," 	1,609 "," 	2,288 ", 	106 , 	323 , 	429 , 	- 0, 	6 ," 	2,547 "," 	4,918 "," 	4,026 "," 	4,778 "," 	3,902 "," 	2,854 "," 	6,488 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	372 ," 	1,269 "," 	1,641 ", 	32 , 	250 , 	282 , 	8 , 	1 ," 	2,035 "," 	2,197 "," 	2,242 "," 	2,168 "," 	2,225 "," 	1,210 "," 	3,518 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	355 ," 	1,291 "," 	1,646 ", 	49 , 	250 , 	299 , 	19 , 	3 ," 	2,344 "," 	3,159 "," 	2,715 "," 	3,056 "," 	2,619 "," 	1,584 "," 	4,044 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	673 ," 	1,867 "," 	2,540 ", 	74 , 	569 , 	643 , 	1 , 	5 ," 	2,306 "," 	3,298 "," 	3,122 "," 	2,995 "," 	2,860 "," 	2,653 "," 	5,296 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	574 ," 	1,825 "," 	2,399 ", 	96 , 	564 , 	660 , 	- 0, 	22 ," 	1,843 "," 	3,201 "," 	2,661 "," 	2,924 "," 	2,704 "," 	1,615 "," 	4,336 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	652 ," 	1,791 "," 	2,443 ", 	98 , 	323 , 	421 , 	7 , 	18 ," 	2,223 "," 	3,875 "," 	3,866 "," 	3,618 "," 	3,683 "," 	2,477 "," 	6,238 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,540 "," 	3,885 "," 	5,425 ", 	242 , 	788 ," 	1,030 ", 	- 0, 	31 ," 	4,915 "," 	8,419 "," 	8,092 "," 	8,228 "," 	7,909 "," 	2,503 "," 	10,337 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	819 ," 	3,616 "," 	4,435 ", 	107 ," 	1,096 "," 	1,203 ", 	55 , 	8 ," 	3,262 "," 	4,885 "," 	4,439 "," 	4,721 "," 	4,359 "," 	1,908 "," 	6,573 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,204 "," 	4,388 "," 	5,592 ", 	254 ," 	1,043 "," 	1,297 ", 	292 , 	392 ," 	4,369 "," 	8,167 "," 	7,276 "," 	7,683 "," 	6,958 "," 	3,707 "," 	10,786 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,073 "," 	3,285 "," 	4,358 ", 	213 ," 	1,012 "," 	1,225 ", 	216 , 	- 0," 	3,522 "," 	6,663 "," 	6,379 "," 	6,206 "," 	5,983 "," 	3,822 "," 	8,941 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	774 ," 	2,917 "," 	3,691 ", 	130 , 	760 , 	890 , 	541 , 	12 ," 	3,585 "," 	5,651 "," 	5,031 "," 	5,056 "," 	4,401 "," 	2,800 "," 	7,028 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	830 ," 	2,696 "," 	3,526 ", 	102 , 	660 , 	762 , 	62 , 	- 0," 	3,798 "," 	4,502 "," 	4,953 "," 	4,173 "," 	4,637 "," 	2,798 "," 	7,249 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,038 "," 	3,252 "," 	4,290 ", 	140 , 	699 , 	839 , 	81 , 	- 0," 	5,940 "," 	7,293 "," 	6,583 "," 	7,221 "," 	6,482 "," 	7,498 "," 	13,178 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	716 ," 	2,325 "," 	3,041 ", 	61 , 	366 , 	427 , 	16 , 	- 0," 	3,636 "," 	5,014 "," 	4,888 "," 	4,651 "," 	4,611 "," 	2,023 "," 	6,661 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	570 ," 	1,942 "," 	2,512 ", 	96 , 	344 , 	440 , 	4 , 	59 ," 	2,440 "," 	3,905 "," 	3,717 "," 	3,796 "," 	3,483 "," 	3,593 "," 	5,520 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,005 "," 	3,209 "," 	4,214 ", 	119 , 	468 , 	587 , 	1 ," 	1,293 "," 	4,402 "," 	6,216 "," 	6,294 "," 	5,841 "," 	5,914 "," 	4,308 "," 	10,486 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	636 ," 	2,062 "," 	2,698 ", 	133 , 	650 , 	783 , 	- 0, 	4 ," 	2,286 "," 	3,235 "," 	3,354 "," 	2,904 "," 	2,899 "," 	2,193 "," 	5,308 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	642 ," 	1,901 "," 	2,543 ", 	116 , 	475 , 	591 , 	1 , 	117 ," 	1,690 "," 	4,300 "," 	3,598 "," 	4,022 "," 	3,443 "," 	1,976 "," 	5,299 "
,2008-09,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,330 "," 	3,543 "," 	4,873 ", 	254 , 	866 ," 	1,120 ", 	31 , 	231 ," 	5,656 "," 	9,218 "," 	6,543 "," 	8,574 "," 	6,152 "," 	7,238 "," 	12,895 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	456 ," 	1,396 "," 	1,852 ", 	96 , 	432 , 	528 , 	- 0, 	94 ," 	1,507 "," 	2,264 "," 	2,073 "," 	2,214 "," 	1,997 "," 	1,394 "," 	3,754 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	651 ," 	2,511 "," 	3,162 ", 	74 , 	725 , 	799 , 	20 , 	- 0," 	2,668 "," 	3,827 "," 	3,601 "," 	3,803 "," 	3,559 "," 	2,178 "," 	6,208 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	574 ," 	1,400 "," 	1,974 ", 	94 , 	499 , 	593 , 	- 0, 	- 0," 	1,947 "," 	2,748 "," 	2,846 "," 	2,660 "," 	2,397 ", 	965 ," 	4,067 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	688 ," 	2,067 "," 	2,755 ", 	94 , 	484 , 	578 , 	- 0, 	- 0," 	2,866 "," 	4,175 "," 	4,172 "," 	4,154 "," 	4,161 "," 	2,636 "," 	6,437 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,669 "," 	4,658 "," 	6,327 ", 	196 ," 	1,114 "," 	1,310 ", 	192 , 	29 ," 	7,279 "," 	10,786 "," 	9,112 "," 	10,714 "," 	8,583 "," 	8,232 "," 	14,350 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	993 ," 	2,505 "," 	3,498 ", 	212 , 	784 , 	996 , 	- 0, 	28 ," 	3,589 "," 	5,881 "," 	4,738 "," 	5,370 "," 	4,562 "," 	2,214 "," 	7,602 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,059 "," 	2,508 "," 	3,567 ", 	280 , 	740 ," 	1,020 ", 	- 0, 	312 ," 	3,401 "," 	5,261 "," 	4,533 "," 	4,769 "," 	4,160 "," 	2,550 "," 	6,234 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,442 "," 	4,311 "," 	5,753 ", 	273 ," 	1,332 "," 	1,605 ", 	118 , 	- 0," 	5,016 "," 	8,565 "," 	7,494 "," 	7,786 "," 	6,845 "," 	5,652 "," 	14,088 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	771 ," 	2,222 "," 	2,993 ", 	107 , 	659 , 	766 , 	58 , 	78 ," 	2,691 "," 	4,630 "," 	4,688 "," 	5,383 "," 	4,857 "," 	3,114 "," 	8,171 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,989 "," 	6,172 "," 	8,161 ", 	451 ," 	2,169 "," 	2,620 ", 	- 0, 	314 ," 	6,403 "," 	10,111 "," 	9,692 "," 	9,450 "," 	9,469 "," 	6,356 "," 	16,027 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	911 ," 	2,878 "," 	3,789 ", 	126 , 	754 , 	880 , 	- 0, 	211 ," 	2,615 "," 	4,914 "," 	4,446 "," 	4,789 "," 	4,425 "," 	1,541 "," 	6,226 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	712 ," 	2,474 "," 	3,186 ", 	41 , 	410 , 	451 , 	- 0, 	18 ," 	2,860 "," 	4,345 "," 	3,937 "," 	4,330 "," 	3,936 ", 	977 ," 	5,482 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,207 "," 	4,345 "," 	5,552 ", 	226 ," 	1,494 "," 	1,720 ", 	544 , 	- 0," 	4,975 "," 	6,349 "," 	6,117 "," 	5,831 "," 	5,658 "," 	2,727 "," 	8,281 "
,2008-09,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	496 ," 	1,735 "," 	2,231 ", 	137 , 	846 , 	983 , 	- 0, 	1 ," 	1,170 "," 	2,125 "," 	1,812 "," 	1,930 "," 	1,650 "," 	1,817 "," 	3,204 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	679 ," 	1,773 "," 	2,452 ", 	136 , 	421 , 	557 , 	270 , 	6 ," 	2,891 "," 	3,934 "," 	3,217 "," 	3,783 "," 	3,082 "," 	1,696 "," 	5,542 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	328 , 	888 ," 	1,216 ", 	50 , 	241 , 	291 , 	15 , 	- 0, 	906 ," 	1,854 "," 	1,854 "," 	1,790 "," 	1,807 ", 	613 ," 	2,877 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,786 "," 	6,116 "," 	7,902 ", 	317 ," 	2,085 "," 	2,402 ", 	148 , 	- 0," 	6,174 "," 	10,216 "," 	9,462 "," 	9,967 "," 	9,273 "," 	4,872 "," 	13,819 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	698 ," 	2,644 "," 	3,342 ", 	131 , 	897 ," 	1,028 ", 	24 , 	14 ," 	2,694 "," 	4,097 "," 	3,511 "," 	4,039 "," 	3,493 "," 	1,985 "," 	5,372 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,719 "," 	5,134 "," 	6,853 ", 	238 ," 	1,091 "," 	1,329 ", 	416 , 	60 ," 	5,642 "," 	9,068 "," 	8,182 "," 	8,835 "," 	7,987 "," 	3,667 "," 	12,179 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,526 "," 	7,603 "," 	10,129 ", 	517 ," 	2,931 "," 	3,448 ", 	255 , 	- 0," 	5,823 "," 	12,116 "," 	11,507 "," 	11,016 "," 	10,803 "," 	4,571 "," 	17,233 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,416 "," 	4,950 "," 	6,366 ", 	154 ," 	1,814 "," 	1,968 ", 	- 0, 	- 0," 	5,390 "," 	8,728 "," 	7,323 "," 	8,608 "," 	7,706 "," 	6,662 "," 	12,168 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	592 ," 	2,033 "," 	2,625 ", 	85 , 	639 , 	724 , 	- 0, 	- 0," 	3,516 "," 	4,494 "," 	3,529 "," 	4,517 "," 	3,613 "," 	3,778 "," 	5,472 "
,2008-09,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,553 "," 	5,585 "," 	7,138 ", 	232 ," 	2,023 "," 	2,255 ", 	146 , 	- 0," 	5,287 "," 	7,763 "," 	8,477 "," 	7,583 "," 	7,683 "," 	3,518 "," 	11,641 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	335 ," 	1,190 "," 	1,525 ", 	26 , 	425 , 	451 , 	- 0, 	17 ," 	1,225 "," 	2,448 "," 	2,663 "," 	2,371 "," 	2,620 "," 	1,152 "," 	3,555 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,024 "," 	2,252 "," 	3,276 ", 	283 , 	475 , 	758 , 	- 0, 	201 ," 	3,198 "," 	5,911 "," 	6,222 "," 	4,467 "," 	4,725 "," 	3,176 "," 	7,839 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	731 ," 	2,690 "," 	3,421 ", 	130 ," 	1,062 "," 	1,192 ", 	11 , 	72 ," 	2,241 "," 	3,441 "," 	2,664 "," 	3,316 "," 	2,547 "," 	2,923 "," 	5,886 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	542 ," 	2,221 "," 	2,763 ", 	88 , 	858 , 	946 , 	- 0, 	48 ," 	2,154 "," 	4,105 "," 	4,120 "," 	3,778 "," 	4,029 "," 	2,259 "," 	6,889 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	781 ," 	2,634 "," 	3,415 ", 	93 , 	905 , 	998 , 	- 0, 	1 ," 	2,471 "," 	5,356 "," 	5,276 "," 	4,841 "," 	4,835 "," 	3,674 "," 	8,209 "
,2008-09,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	307 ," 	1,292 "," 	1,599 ", 	50 , 	433 , 	483 , 	4 , 	11 ," 	1,274 "," 	2,047 "," 	1,148 "," 	1,940 "," 	1,055 "," 	1,814 "," 	1,486 "
