,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,MARCH,,,,England," 	145,920 "," 	456,706 "," 	602,626 "," 	23,212 "," 	131,200 "," 	154,412 "," 	9,270 "," 	18,645 "," 	459,737 "," 	1,001,469 "," 	818,454 "," 	959,774 "," 	771,725 "," 	511,038 "," 	1,302,049 "
,2008-09,MARCH,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,811 "," 	51,077 "," 	67,888 "," 	2,654 "," 	17,765 "," 	20,419 ", 	745 ," 	1,623 "," 	43,607 "," 	95,873 "," 	79,274 "," 	95,949 "," 	78,038 "," 	46,924 "," 	129,781 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	927 ," 	2,566 "," 	3,493 ", 	142 , 	759 , 	901 , 	47 , 	7 ," 	2,853 "," 	5,050 "," 	4,277 "," 	4,935 "," 	4,192 "," 	3,894 "," 	7,954 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	751 ," 	2,549 "," 	3,300 ", 	108 , 	769 , 	877 , 	44 , 	4 ," 	2,688 "," 	4,513 "," 	4,025 "," 	4,400 "," 	3,934 "," 	2,551 "," 	6,214 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	296 , 	912 ," 	1,208 ", 	34 , 	292 , 	326 , 	- 0, 	2 , 	978 ," 	1,590 "," 	1,224 "," 	1,536 "," 	1,171 ", 	844 ," 	1,946 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	518 ," 	1,816 "," 	2,334 ", 	77 , 	564 , 	641 , 	4 , 	- 0," 	2,086 "," 	3,358 "," 	2,683 "," 	3,319 "," 	2,663 "," 	1,692 "," 	4,523 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	287 , 	890 ," 	1,177 ", 	50 , 	168 , 	218 , 	- 0, 	- 0," 	1,140 "," 	1,797 "," 	1,453 "," 	1,770 "," 	1,419 "," 	1,262 "," 	2,463 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	732 ," 	1,146 "," 	1,878 ", 	156 , 	274 , 	430 , 	- 0, 	379 ," 	2,488 "," 	4,511 "," 	3,828 "," 	4,365 "," 	3,756 "," 	2,603 "," 	6,304 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	537 ," 	1,821 "," 	2,358 ", 	57 , 	548 , 	605 , 	- 0, 	41 ," 	1,519 "," 	3,356 "," 	2,820 "," 	3,101 "," 	2,797 "," 	1,660 "," 	4,521 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,078 "," 	3,287 "," 	4,365 ", 	160 , 	830 , 	990 , 	- 0, 	116 ," 	2,991 "," 	5,044 "," 	4,937 "," 	4,957 "," 	4,008 "," 	5,177 "," 	7,754 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	509 ," 	1,246 "," 	1,755 ", 	189 , 	563 , 	752 , 	18 , 	- 0," 	1,846 "," 	2,432 "," 	2,046 "," 	2,293 "," 	1,917 "," 	1,595 "," 	3,964 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,650 "," 	5,506 "," 	7,156 ", 	220 ," 	1,713 "," 	1,933 ", 	- 0, 	26 ," 	5,366 "," 	10,058 "," 	8,109 "," 	9,816 "," 	7,887 "," 	6,219 "," 	13,321 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	505 ," 	1,112 "," 	1,617 ", 	177 , 	518 , 	695 , 	12 , 	- 0," 	1,425 "," 	2,246 "," 	1,809 "," 	2,151 "," 	1,730 "," 	1,214 "," 	3,262 "
,2008-09,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,097 "," 	3,594 "," 	4,691 ", 	140 ," 	1,063 "," 	1,203 ", 	75 , 	5 ," 	3,463 "," 	5,773 "," 	5,321 "," 	5,720 "," 	5,277 "," 	3,465 "," 	8,824 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	529 ," 	1,379 "," 	1,908 ", 	137 , 	357 , 	494 , 	40 , 	- 0," 	1,610 "," 	3,396 "," 	2,734 "," 	3,158 "," 	2,469 "," 	1,581 "," 	3,686 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	792 ," 	2,125 "," 	2,917 ", 	129 , 	628 , 	757 , 	104 , 	38 ," 	2,657 "," 	4,537 "," 	3,566 "," 	4,442 "," 	3,480 "," 	2,414 "," 	5,703 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,139 "," 	2,264 "," 	3,403 ", 	214 , 	450 , 	664 , 	78 , 	- 0," 	3,156 "," 	5,672 "," 	4,331 "," 	5,716 "," 	4,437 "," 	4,138 "," 	7,644 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	978 ," 	3,065 "," 	4,043 ", 	132 , 	887 ," 	1,019 ", 	- 0, 	105 ," 	3,029 "," 	6,697 "," 	5,070 "," 	6,394 "," 	5,061 "," 	3,450 "," 	8,610 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	403 ," 	2,377 "," 	2,780 ", 	35 , 	651 , 	686 , 	33 , 	1 ," 	1,908 "," 	2,911 "," 	1,927 "," 	2,776 "," 	1,874 "," 	1,974 "," 	3,420 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	755 ," 	1,981 "," 	2,736 ", 	104 , 	509 , 	613 , 	- 0, 	22 ," 	2,567 "," 	6,253 "," 	4,742 "," 	5,897 "," 	4,637 "," 	2,870 "," 	7,673 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	544 ," 	1,601 "," 	2,145 ", 	43 , 	327 , 	370 , 	11 , 	36 ," 	2,141 "," 	2,996 "," 	2,668 "," 	2,980 "," 	2,645 "," 	1,552 "," 	4,177 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	461 ," 	1,617 "," 	2,078 ", 	36 , 	388 , 	424 , 	44 , 	1 ," 	2,315 "," 	4,622 "," 	3,791 "," 	4,438 "," 	3,613 "," 	2,039 "," 	5,597 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	803 ," 	2,229 "," 	3,032 ", 	88 , 	759 , 	847 , 	- 0, 	3 ," 	2,198 "," 	4,470 "," 	3,662 "," 	4,179 "," 	3,424 "," 	2,428 "," 	5,800 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	686 ," 	2,307 "," 	2,993 ", 	129 , 	733 , 	862 , 	6 , 	34 ," 	1,932 "," 	4,230 "," 	3,227 "," 	3,891 "," 	3,043 "," 	2,101 "," 	4,880 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	744 ," 	2,177 "," 	2,921 ", 	93 , 	449 , 	542 , 	4 , 	22 ," 	2,326 "," 	5,029 "," 	3,859 "," 	4,777 "," 	3,635 "," 	2,948 "," 	6,669 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,739 "," 	4,545 "," 	6,284 ", 	249 ," 	1,006 "," 	1,255 ", 	- 0, 	54 ," 	4,715 "," 	10,805 "," 	8,398 "," 	10,640 "," 	8,153 "," 	3,023 "," 	12,003 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,044 "," 	4,503 "," 	5,547 ", 	159 ," 	1,226 "," 	1,385 ", 	65 , 	23 ," 	3,368 "," 	6,373 "," 	5,029 "," 	6,218 "," 	4,926 "," 	2,365 "," 	7,326 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,426 "," 	5,054 "," 	6,480 ", 	202 ," 	1,170 "," 	1,372 ", 	461 , 	367 ," 	4,208 "," 	10,585 "," 	8,114 "," 	10,024 "," 	7,778 "," 	4,286 "," 	12,549 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,440 "," 	3,846 "," 	5,286 ", 	283 ," 	1,136 "," 	1,419 ", 	311 , 	- 0," 	3,548 "," 	8,848 "," 	7,583 "," 	7,857 "," 	6,606 "," 	4,241 "," 	10,439 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	922 ," 	3,323 "," 	4,245 ", 	130 , 	916 ," 	1,046 ", 	95 , 	479 ," 	3,469 "," 	6,734 "," 	5,668 "," 	6,457 "," 	5,376 "," 	3,573 "," 	8,858 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT," 	1,006 "," 	3,198 "," 	4,204 ", 	100 , 	897 , 	997 , 	62 , 	33 ," 	3,705 "," 	6,003 "," 	5,328 "," 	5,660 "," 	4,997 "," 	3,279 "," 	8,256 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,274 "," 	4,246 "," 	5,520 ", 	175 ," 	1,082 "," 	1,257 ", 	153 , 	42 ," 	6,390 "," 	11,017 "," 	9,265 "," 	10,438 "," 	8,554 "," 	9,419 "," 	17,185 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	965 ," 	2,971 "," 	3,936 ", 	72 , 	633 , 	705 , 	12 , 	77 ," 	3,671 "," 	6,974 "," 	5,891 "," 	6,761 "," 	5,701 "," 	2,602 "," 	7,833 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	810 ," 	2,499 "," 	3,309 ", 	153 , 	466 , 	619 , 	3 , 	183 ," 	2,382 "," 	5,182 "," 	4,389 "," 	5,044 "," 	4,101 "," 	4,447 "," 	6,959 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,298 "," 	3,988 "," 	5,286 ", 	158 , 	639 , 	797 , 	1 ," 	1,832 "," 	4,604 "," 	8,123 "," 	6,909 "," 	7,901 "," 	6,594 "," 	5,005 "," 	11,934 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	826 ," 	2,587 "," 	3,413 ", 	144 , 	859 ," 	1,003 ", 	3 , 	9 ," 	2,369 "," 	4,590 "," 	3,840 "," 	4,240 "," 	3,372 "," 	2,319 "," 	5,715 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	753 ," 	2,426 "," 	3,179 ", 	125 , 	577 , 	702 , 	1 , 	166 ," 	1,848 "," 	5,296 "," 	3,940 "," 	4,991 "," 	3,885 "," 	2,544 "," 	6,443 "
,2008-09,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,718 "," 	4,107 "," 	5,825 ", 	291 ," 	1,001 "," 	1,292 ", 	52 , 	227 ," 	5,850 "," 	11,675 "," 	7,902 "," 	11,005 "," 	7,480 "," 	8,835 "," 	15,288 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	575 ," 	1,766 "," 	2,341 ", 	115 , 	508 , 	623 , 	- 0, 	88 ," 	1,426 "," 	2,780 "," 	2,435 "," 	2,734 "," 	2,372 "," 	2,224 "," 	4,661 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	795 ," 	2,866 "," 	3,661 ", 	93 , 	865 , 	958 , 	15 , 	- 0," 	2,624 "," 	5,248 "," 	4,460 "," 	5,215 "," 	4,405 "," 	2,264 "," 	7,621 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	603 ," 	1,631 "," 	2,234 ", 	111 , 	594 , 	705 , 	- 0, 	- 0," 	2,018 "," 	3,633 "," 	3,110 "," 	3,594 "," 	2,609 "," 	1,070 "," 	4,217 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	825 ," 	2,605 "," 	3,430 ", 	116 , 	556 , 	672 , 	- 0, 	- 0," 	2,996 "," 	5,365 "," 	4,275 "," 	5,349 "," 	4,265 "," 	3,257 "," 	7,436 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,977 "," 	5,860 "," 	7,837 ", 	219 ," 	1,390 "," 	1,609 ", 	202 , 	29 ," 	7,470 "," 	11,895 "," 	9,696 "," 	11,822 "," 	9,056 "," 	9,001 "," 	15,533 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	929 ," 	2,701 "," 	3,630 ", 	170 , 	768 , 	938 , 	- 0, 	40 ," 	3,492 "," 	7,128 "," 	5,431 "," 	6,665 "," 	5,190 "," 	2,053 "," 	8,565 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,021 "," 	3,133 "," 	4,154 ", 	168 , 	952 ," 	1,120 ", 	- 0, 	299 ," 	3,390 "," 	6,576 "," 	4,918 "," 	6,163 "," 	4,621 "," 	2,787 "," 	7,055 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,746 "," 	5,087 "," 	6,833 ", 	328 ," 	1,529 "," 	1,857 ", 	104 , 	1 ," 	5,092 "," 	11,158 "," 	8,883 "," 	10,288 "," 	8,127 "," 	6,601 "," 	17,690 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	808 ," 	2,329 "," 	3,137 ", 	113 , 	692 , 	805 , 	15 , 	66 ," 	2,691 "," 	6,085 "," 	5,319 "," 	5,639 "," 	5,089 "," 	3,262 "," 	8,561 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,239 "," 	6,824 "," 	9,063 ", 	435 ," 	2,524 "," 	2,959 ", 	- 0, 	352 ," 	6,664 "," 	13,488 "," 	10,603 "," 	12,845 "," 	10,420 "," 	6,813 "," 	17,312 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,016 "," 	3,414 "," 	4,430 ", 	121 ," 	1,125 "," 	1,246 ", 	- 0, 	238 ," 	2,597 "," 	6,519 "," 	5,216 "," 	6,409 "," 	5,213 "," 	1,838 "," 	7,311 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	950 ," 	2,680 "," 	3,630 ", 	72 , 	840 , 	912 , 	- 0, 	12 ," 	2,821 "," 	5,749 "," 	4,274 "," 	5,739 "," 	4,284 "," 	1,251 "," 	6,015 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,360 "," 	4,779 "," 	6,139 ", 	247 ," 	1,544 "," 	1,791 ", 	640 , 	1 ," 	5,208 "," 	7,763 "," 	6,787 "," 	7,238 "," 	6,379 "," 	3,701 "," 	9,490 "
,2008-09,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	603 ," 	1,978 "," 	2,581 ", 	142 , 	816 , 	958 , 	- 0, 	1 ," 	1,318 "," 	2,974 "," 	2,061 "," 	2,770 "," 	1,905 "," 	1,840 "," 	3,963 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	727 ," 	2,148 "," 	2,875 ", 	130 , 	502 , 	632 , 	397 , 	11 ," 	2,934 "," 	5,116 "," 	4,063 "," 	4,928 "," 	3,886 "," 	2,040 "," 	6,809 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	339 ," 	1,067 "," 	1,406 ", 	50 , 	267 , 	317 , 	16 , 	- 0, 	900 ," 	2,245 "," 	2,169 "," 	2,200 "," 	2,096 ", 	711 ," 	3,558 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,972 "," 	7,003 "," 	8,975 ", 	251 ," 	2,385 "," 	2,636 ", 	271 , 	- 0," 	6,237 "," 	12,835 "," 	10,282 "," 	12,515 "," 	10,014 "," 	5,417 "," 	15,549 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	765 ," 	2,979 "," 	3,744 ", 	130 ," 	1,056 "," 	1,186 ", 	20 , 	11 ," 	2,633 "," 	5,167 "," 	3,880 "," 	5,076 "," 	3,824 "," 	2,550 "," 	6,001 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,937 "," 	5,871 "," 	7,808 ", 	236 ," 	1,240 "," 	1,476 ", 	537 , 	66 ," 	5,599 "," 	11,862 "," 	9,610 "," 	11,620 "," 	9,362 "," 	4,310 "," 	14,928 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,770 "," 	7,906 "," 	10,676 ", 	519 ," 	2,935 "," 	3,454 ", 	272 , 	- 0," 	5,823 "," 	14,644 "," 	12,148 "," 	13,314 "," 	11,405 "," 	5,108 "," 	17,082 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,610 "," 	5,826 "," 	7,436 ", 	240 ," 	2,298 "," 	2,538 ", 	- 0, 	- 0," 	5,635 "," 	11,445 "," 	8,464 "," 	11,267 "," 	8,748 "," 	7,698 "," 	13,827 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	711 ," 	2,299 "," 	3,010 ", 	100 , 	856 , 	956 , 	- 0, 	- 0," 	3,769 "," 	5,494 "," 	4,199 "," 	5,452 "," 	4,313 "," 	4,640 "," 	6,537 "
,2008-09,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,776 "," 	6,439 "," 	8,215 ", 	285 ," 	2,208 "," 	2,493 ", 	232 , 	10 ," 	5,457 "," 	10,306 "," 	9,556 "," 	10,166 "," 	9,416 "," 	4,395 "," 	14,622 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	392 ," 	1,386 "," 	1,778 ", 	54 , 	476 , 	530 , 	- 0, 	9 ," 	1,238 "," 	3,289 "," 	3,007 "," 	3,201 "," 	2,961 "," 	1,302 "," 	4,075 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,238 "," 	2,658 "," 	3,896 ", 	372 , 	599 , 	971 , 	- 0, 	247 ," 	3,289 "," 	7,544 "," 	7,316 "," 	5,945 "," 	5,668 "," 	4,063 "," 	9,955 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	788 ," 	2,918 "," 	3,706 ", 	92 ," 	1,066 "," 	1,158 ", 	- 0, 	56 ," 	2,232 "," 	4,384 "," 	2,755 "," 	4,258 "," 	2,638 "," 	3,388 "," 	6,476 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	633 ," 	2,643 "," 	3,276 ", 	105 , 	947 ," 	1,052 ", 	- 0, 	39 ," 	2,137 "," 	5,062 "," 	4,377 "," 	4,708 "," 	4,279 "," 	2,236 "," 	7,307 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	939 ," 	2,905 "," 	3,844 ", 	94 , 	929 ," 	1,023 ", 	- 0, 	1 ," 	2,646 "," 	7,234 "," 	5,749 "," 	6,655 "," 	5,281 "," 	4,134 "," 	9,184 "
,2008-09,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	387 ," 	1,459 "," 	1,846 ", 	43 , 	517 , 	560 , 	- 0, 	7 ," 	1,221 "," 	2,493 "," 	1,347 "," 	2,350 "," 	1,236 "," 	1,894 "," 	1,722 "
