,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,APRIL,,,,England," 	126,998 "," 	430,433 "," 	557,340 "," 	20,938 "," 	133,840 "," 	154,703 "," 	19,947 "," 	446,127 "," 	958,500 "," 	759,543 "," 	906,963 "," 	717,362 "," 	504,614 "," 	1,242,170 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	983 ," 	3,429 "," 	4,412 ", 	138 ," 	1,237 "," 	1,375 ", 	28 ," 	3,345 "," 	5,741 "," 	4,828 "," 	5,679 "," 	4,769 "," 	3,121 "," 	7,831 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	604 ," 	1,876 "," 	2,480 ", 	115 , 	642 , 	757 , 	9 ," 	2,482 "," 	4,950 "," 	3,512 "," 	4,819 "," 	3,423 "," 	3,163 "," 	5,661 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	864 ," 	2,336 "," 	3,200 ", 	177 , 	634 , 	811 , 	30 ," 	3,018 "," 	5,502 "," 	4,319 "," 	5,340 "," 	4,203 "," 	4,027 "," 	7,132 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	806 ," 	3,073 "," 	3,879 ", 	105 ," 	1,071 "," 	1,176 ", 	127 ," 	2,921 "," 	6,141 "," 	5,265 "," 	6,036 "," 	5,185 "," 	3,773 "," 	8,779 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	303 ," 	1,563 "," 	1,866 ", 	22 , 	208 , 	230 , 	3 ," 	1,757 "," 	2,744 "," 	2,122 "," 	2,521 "," 	1,959 "," 	2,154 "," 	4,433 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	683 ," 	1,882 "," 	2,565 ", 	112 , 	540 , 	652 , 	9 ," 	2,438 "," 	5,926 "," 	4,271 "," 	5,531 "," 	3,957 "," 	3,321 "," 	6,933 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	426 ," 	1,456 "," 	1,882 ", 	50 , 	287 , 	337 , 	58 ," 	1,966 "," 	3,043 "," 	2,477 "," 	3,019 "," 	2,457 "," 	1,963 "," 	4,335 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	381 ," 	1,636 "," 	2,017 ", 	41 , 	429 , 	470 , 	56 ," 	1,963 "," 	4,082 "," 	3,031 "," 	3,865 "," 	2,853 "," 	2,078 "," 	4,920 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	625 ," 	1,828 "," 	2,453 ", 	73 , 	582 , 	655 , 	4 ," 	2,434 "," 	4,098 "," 	3,477 "," 	3,787 "," 	3,206 "," 	2,802 "," 	5,660 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	578 ," 	1,974 "," 	2,552 ", 	89 , 	759 , 	848 , 	7 ," 	1,760 "," 	3,352 "," 	2,707 "," 	3,267 "," 	2,612 "," 	2,219 "," 	4,616 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	646 ," 	1,832 "," 	2,478 ", 	78 , 	388 , 	466 , 	18 ," 	2,251 "," 	4,842 "," 	3,835 "," 	4,625 "," 	3,650 "," 	3,029 "," 	6,744 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,493 "," 	4,488 "," 	5,981 ", 	197 ," 	1,167 "," 	1,364 ", 	85 ," 	4,378 "," 	9,364 "," 	7,514 "," 	9,217 "," 	7,388 "," 	3,163 "," 	10,671 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	822 ," 	3,452 "," 	4,274 ", 	105 , 	814 , 	919 , 	2 ," 	3,096 "," 	5,933 "," 	4,761 "," 	5,742 "," 	4,567 "," 	3,522 "," 	7,648 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,319 "," 	4,919 "," 	6,238 ", 	230 ," 	1,253 "," 	1,483 ", 	376 ," 	4,030 "," 	9,128 "," 	8,323 "," 	8,640 "," 	7,965 "," 	4,327 "," 	12,375 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,218 "," 	3,738 "," 	4,956 ", 	209 ," 	1,104 "," 	1,313 ", 	4 ," 	3,433 "," 	7,308 "," 	6,345 "," 	7,099 "," 	6,018 "," 	2,317 "," 	9,377 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	760 ," 	2,870 "," 	3,630 ", 	95 , 	874 , 	969 , 	474 ," 	2,800 "," 	5,875 "," 	4,810 "," 	5,551 "," 	4,525 "," 	3,698 "," 	8,140 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	922 ," 	3,244 "," 	4,166 ", 	94 , 	922 ," 	1,016 ", 	147 ," 	3,474 "," 	5,449 "," 	5,031 "," 	5,076 "," 	4,686 "," 	3,173 "," 	8,276 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,109 "," 	4,172 "," 	5,281 ", 	204 ," 	1,262 "," 	1,466 ", 	202 ," 	5,463 "," 	10,606 "," 	8,480 "," 	10,023 "," 	7,902 "," 	8,834 "," 	17,048 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	747 ," 	2,777 "," 	3,524 ", 	87 , 	494 , 	581 , 	98 ," 	3,380 "," 	6,411 "," 	4,951 "," 	6,118 "," 	4,730 "," 	3,156 "," 	7,550 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	645 ," 	2,348 "," 	2,993 ", 	74 , 	486 , 	560 , 	170 ," 	2,346 "," 	4,201 "," 	3,701 "," 	4,115 "," 	3,628 "," 	3,591 "," 	6,261 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,017 "," 	3,650 "," 	4,667 ", 	131 , 	514 , 	645 ," 	1,526 "," 	4,578 "," 	7,298 "," 	5,962 "," 	7,225 "," 	5,847 "," 	4,305 "," 	10,293 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	709 ," 	2,221 "," 	2,930 ", 	100 , 	744 , 	844 , 	9 ," 	2,159 "," 	4,217 "," 	3,888 "," 	3,877 "," 	3,405 "," 	2,594 "," 	5,771 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	603 ," 	2,086 "," 	2,689 ", 	121 , 	660 , 	781 , 	103 ," 	1,936 "," 	5,741 "," 	3,734 "," 	5,500 "," 	3,647 "," 	3,044 "," 	6,458 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,287 "," 	3,836 "," 	5,123 ", 	250 ," 	1,185 "," 	1,435 ", 	191 ," 	5,750 "," 	11,275 "," 	7,718 "," 	10,669 "," 	7,302 "," 	8,608 "," 	15,374 "
,2010-11,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	405 ," 	1,350 "," 	1,755 ", 	67 , 	356 , 	423 , 	1 ," 	1,687 "," 	2,894 "," 	2,425 "," 	2,748 "," 	2,264 ", 	853 ," 	3,563 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	493 ," 	1,498 "," 	1,991 ", 	107 , 	425 , 	530 , 	66 ," 	1,424 "," 	2,693 "," 	2,040 "," 	2,619 "," 	1,965 "," 	1,702 "," 	3,669 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	704 ," 	2,485 "," 	3,189 ", 	60 , 	639 , 	699 , 	- 0," 	2,599 "," 	4,811 "," 	3,850 "," 	4,760 "," 	3,782 "," 	2,417 "," 	6,631 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	557 ," 	1,611 "," 	2,168 ", 	76 , 	567 , 	643 , 	1 ," 	2,098 "," 	3,363 "," 	2,878 "," 	3,284 "," 	2,806 "," 	1,185 "," 	4,884 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	659 ," 	2,342 "," 	3,001 ", 	72 , 	430 , 	502 , 	5 ," 	2,273 "," 	5,173 "," 	3,988 "," 	5,146 "," 	3,947 "," 	2,766 "," 	6,975 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,719 "," 	4,728 "," 	6,428 ", 	248 , 	923 ," 	1,151 ", 	33 ," 	7,600 "," 	12,019 "," 	9,404 "," 	11,878 "," 	8,750 "," 	8,804 "," 	15,817 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	985 ," 	2,899 "," 	3,883 ", 	179 ," 	1,005 "," 	1,180 ", 	83 ," 	3,534 "," 	7,102 "," 	5,206 "," 	6,655 "," 	5,133 "," 	2,605 "," 	8,270 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,108 "," 	2,941 "," 	4,049 ", 	212 ," 	1,086 "," 	1,298 ", 	334 ," 	3,321 "," 	6,550 "," 	4,932 "," 	6,208 "," 	4,704 "," 	2,563 "," 	6,862 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,458 "," 	4,449 "," 	5,876 ", 	323 ," 	1,187 "," 	1,467 ", 	211 ," 	5,059 "," 	9,844 "," 	7,602 "," 	9,083 "," 	6,824 "," 	5,939 "," 	16,992 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	713 ," 	2,384 "," 	3,097 ", 	85 , 	651 , 	736 , 	20 ," 	3,062 "," 	5,631 "," 	4,813 "," 	5,589 "," 	4,780 "," 	1,891 "," 	8,143 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,837 "," 	6,895 "," 	8,732 ", 	328 ," 	2,608 "," 	2,936 ", 	28 ," 	6,180 "," 	13,702 "," 	10,277 "," 	13,350 "," 	9,798 "," 	6,681 "," 	15,251 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	912 ," 	3,205 "," 	4,117 ", 	108 , 	984 ," 	1,092 ", 	211 ," 	2,548 "," 	6,310 "," 	4,974 "," 	6,143 "," 	4,760 "," 	1,816 "," 	6,758 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	746 ," 	2,584 "," 	3,330 ", 	67 , 	770 , 	837 , 	9 ," 	2,609 "," 	5,762 "," 	4,469 "," 	5,491 "," 	4,216 "," 	1,095 "," 	6,068 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,204 "," 	4,205 "," 	5,409 ", 	215 ," 	1,558 "," 	1,773 ", 	- 0," 	4,990 "," 	5,996 "," 	4,963 "," 	5,340 "," 	4,476 "," 	4,136 "," 	9,934 "
,2010-11,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	489 ," 	1,580 "," 	2,069 ", 	97 , 	558 , 	655 , 	- 0," 	1,243 "," 	2,808 "," 	2,252 "," 	2,379 "," 	1,930 "," 	1,870 "," 	3,606 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	745 ," 	2,127 "," 	2,872 ", 	136 , 	603 , 	739 , 	- 0," 	2,556 "," 	5,073 "," 	4,561 "," 	4,937 "," 	4,450 "," 	1,613 "," 	6,881 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	388 , 	822 ," 	1,210 ", 	114 , 	186 , 	300 , 	- 0, 	885 ," 	2,072 "," 	1,859 "," 	2,031 "," 	1,762 ", 	647 ," 	2,894 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,676 "," 	6,292 "," 	7,968 ", 	224 ," 	2,247 "," 	2,471 ", 	1 ," 	6,146 "," 	12,590 "," 	10,123 "," 	12,113 "," 	9,633 "," 	5,154 "," 	14,997 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	665 ," 	2,971 "," 	3,636 ", 	173 ," 	1,127 "," 	1,300 ", 	- 0," 	2,847 "," 	4,778 "," 	3,270 "," 	4,709 "," 	3,140 "," 	1,496 "," 	5,216 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,808 "," 	5,538 "," 	7,316 ", 	255 ," 	1,453 "," 	1,708 ", 	1 ," 	5,684 "," 	10,963 "," 	9,696 "," 	10,790 "," 	9,446 "," 	3,877 "," 	14,514 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,988 "," 	7,042 "," 	9,029 ", 	268 ," 	3,007 "," 	3,275 ", 	15 ," 	5,726 "," 	13,808 "," 	11,676 "," 	13,350 "," 	10,909 "," 	5,454 "," 	16,115 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,316 "," 	5,347 "," 	6,663 ", 	196 ," 	2,280 "," 	2,476 ", 	- 0," 	5,245 "," 	11,214 "," 	7,809 "," 	11,088 "," 	7,718 "," 	7,369 "," 	12,104 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	611 ," 	2,243 "," 	2,854 ", 	99 , 	989 ," 	1,088 ", 	- 0," 	3,457 "," 	5,598 "," 	3,443 "," 	5,596 "," 	3,443 "," 	4,124 "," 	5,486 "
,2010-11,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,586 "," 	6,126 "," 	7,712 ", 	310 ," 	2,081 "," 	2,391 ", 	12 ," 	5,070 "," 	9,440 "," 	8,239 "," 	9,276 "," 	8,063 "," 	4,434 "," 	11,700 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	396 ," 	1,204 "," 	1,600 ", 	69 , 	428 , 	497 , 	16 ," 	1,280 "," 	3,181 "," 	2,774 "," 	3,038 "," 	2,703 "," 	1,393 "," 	3,952 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	849 ," 	2,175 "," 	3,024 ", 	192 , 	505 , 	697 , 	164 ," 	3,199 "," 	7,534 "," 	6,880 "," 	5,933 "," 	5,463 "," 	3,408 "," 	9,003 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	720 ," 	3,264 "," 	3,984 ", 	103 ," 	1,541 "," 	1,644 ", 	51 ," 	2,229 "," 	5,216 "," 	3,018 "," 	4,641 "," 	2,944 "," 	3,744 "," 	5,527 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	600 ," 	2,422 "," 	3,022 ", 	104 , 	883 , 	987 , 	30 ," 	2,043 "," 	5,375 "," 	4,096 "," 	4,971 "," 	3,746 "," 	2,309 "," 	6,929 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	804 ," 	2,763 "," 	3,567 ", 	63 , 	875 , 	938 , 	2 ," 	2,697 "," 	6,885 "," 	4,972 "," 	6,595 "," 	4,811 "," 	4,458 "," 	8,586 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	364 ," 	1,402 "," 	1,766 ", 	47 , 	449 , 	496 , 	1 ," 	1,207 "," 	2,824 "," 	1,187 "," 	2,495 "," 	1,180 "," 	2,259 "," 	3,048 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	546 ," 	2,345 "," 	2,891 ", 	117 ," 	1,072 "," 	1,189 ", 	6 ," 	2,278 "," 	4,974 "," 	4,583 "," 	4,583 "," 	3,775 "," 	2,231 "," 	6,809 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	523 ," 	1,405 "," 	1,928 ", 	94 , 	391 , 	485 , 	411 ," 	2,770 "," 	5,435 "," 	4,500 "," 	4,366 "," 	3,511 "," 	3,276 "," 	6,631 "
,2010-11,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	780 ," 	3,058 "," 	3,838 ", 	107 ," 	1,160 "," 	1,267 ", 	52 ," 	2,550 "," 	4,859 "," 	4,925 "," 	4,228 "," 	4,318 "," 	1,470 "," 	7,511 "
