,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,MARCH,,,,England," 	143,030 "," 	525,517 "," 	668,548 "," 	22,274 "," 	159,488 "," 	181,761 "," 	23,970 "," 	476,427 "," 	1,067,115 "," 	884,523 "," 	1,011,328 "," 	838,914 "," 	567,885 "," 	1,446,601 "
,2010-11,MARCH,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,037 "," 	56,885 "," 	71,922 "," 	2,373 "," 	19,437 "," 	21,810 ", 	975 ," 	44,980 "," 	97,445 "," 	82,428 "," 	95,055 "," 	80,617 "," 	47,546 "," 	133,542 "
,2010-11,MARCH,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,528 "," 	6,064 "," 	8,592 ", 	651 ," 	4,311 "," 	4,962 ", 	- 0," 	1,931 ", 	969 ," 	1,717 ", 	968 ," 	1,716 "," 	2,155 "," 	5,650 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	850 ," 	3,350 "," 	4,200 ", 	169 ," 	1,129 "," 	1,298 ", 	129 ," 	3,166 "," 	5,629 "," 	4,690 "," 	5,446 "," 	4,519 "," 	5,612 "," 	9,883 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	673 ," 	2,729 "," 	3,402 ", 	92 , 	911 ," 	1,003 ", 	128 ," 	2,436 "," 	4,655 "," 	4,159 "," 	4,445 "," 	3,967 "," 	3,230 "," 	7,535 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	275 ," 	1,047 "," 	1,322 ", 	38 , 	268 , 	306 , 	10 ," 	1,031 "," 	1,616 "," 	1,369 "," 	1,563 "," 	1,304 ", 	930 ," 	2,146 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	527 ," 	2,217 "," 	2,744 ", 	66 , 	659 , 	725 , 	47 ," 	1,915 "," 	3,707 "," 	3,148 "," 	3,673 "," 	3,123 "," 	1,742 "," 	4,796 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	269 ," 	1,095 "," 	1,364 ", 	31 , 	254 , 	285 , 	4 ," 	1,095 "," 	1,952 "," 	1,444 "," 	1,913 "," 	1,444 "," 	1,341 "," 	3,093 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	614 ," 	2,233 "," 	2,847 ", 	119 , 	518 , 	637 , 	563 ," 	2,242 "," 	4,971 "," 	3,992 "," 	4,813 "," 	3,858 "," 	2,485 "," 	6,700 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	494 ," 	2,307 "," 	2,801 ", 	68 , 	712 , 	780 , 	52 ," 	1,731 "," 	4,029 "," 	3,219 "," 	3,853 "," 	3,040 "," 	3,025 "," 	5,900 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,019 "," 	3,705 "," 	4,724 ", 	169 ," 	1,011 "," 	1,180 ", 	102 ," 	2,827 "," 	6,120 "," 	4,500 "," 	5,998 "," 	4,467 "," 	5,374 "," 	8,689 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	389 ," 	1,648 "," 	2,037 ", 	74 , 	759 , 	833 , 	136 ," 	1,900 "," 	2,680 "," 	2,187 "," 	2,537 "," 	2,074 "," 	1,757 "," 	3,806 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,650 "," 	6,306 "," 	7,956 ", 	240 ," 	2,002 "," 	2,242 ", 	53 ," 	5,555 "," 	10,434 "," 	8,976 "," 	9,968 "," 	8,727 "," 	6,917 "," 	16,054 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	424 ," 	1,517 "," 	1,941 ", 	89 , 	730 , 	819 , 	130 ," 	1,606 "," 	2,586 "," 	2,108 "," 	2,456 "," 	2,005 "," 	1,431 "," 	3,426 "
,2010-11,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,059 "," 	4,369 "," 	5,428 ", 	111 ," 	1,313 "," 	1,424 ", 	128 ," 	3,667 "," 	6,759 "," 	5,894 "," 	6,713 "," 	5,853 "," 	3,974 "," 	9,989 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	691 ," 	2,133 "," 	2,824 ", 	118 , 	603 , 	721 , 	16 ," 	3,156 "," 	4,708 "," 	4,553 "," 	4,501 "," 	4,330 "," 	3,726 "," 	7,093 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	917 ," 	2,888 "," 	3,805 ", 	219 , 	640 , 	859 , 	35 ," 	3,301 "," 	6,639 "," 	5,010 "," 	6,453 "," 	4,892 "," 	4,114 "," 	7,874 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	961 ," 	3,803 "," 	4,764 ", 	105 ," 	1,260 "," 	1,365 ", 	185 ," 	3,097 "," 	6,780 "," 	5,882 "," 	6,696 "," 	5,814 "," 	3,856 "," 	9,600 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	356 ," 	1,969 "," 	2,325 ", 	40 , 	465 , 	505 , 	- 0," 	1,996 "," 	3,404 "," 	2,664 "," 	3,169 "," 	2,472 "," 	2,391 "," 	5,103 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	863 ," 	2,310 "," 	3,173 ", 	157 , 	563 , 	720 , 	10 ," 	2,669 "," 	6,848 "," 	5,835 "," 	6,380 "," 	5,473 "," 	3,271 "," 	8,716 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	569 ," 	1,860 "," 	2,429 ", 	71 , 	481 , 	552 , 	82 ," 	2,190 "," 	2,909 "," 	2,690 "," 	2,893 "," 	2,664 "," 	2,154 "," 	4,782 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	460 ," 	1,807 "," 	2,267 ", 	60 , 	325 , 	385 , 	45 ," 	2,005 "," 	4,328 "," 	3,544 "," 	4,159 "," 	3,343 "," 	2,219 "," 	5,653 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	691 ," 	2,191 "," 	2,882 ", 	100 , 	820 , 	920 , 	10 ," 	2,662 "," 	4,201 "," 	3,594 "," 	3,863 "," 	3,320 "," 	2,664 "," 	6,291 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	614 ," 	2,070 "," 	2,684 ", 	94 , 	795 , 	889 , 	9 ," 	1,960 "," 	3,292 "," 	2,991 "," 	3,234 "," 	2,944 "," 	2,163 "," 	5,703 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	685 ," 	2,340 "," 	3,025 ", 	89 , 	425 , 	514 , 	27 ," 	2,534 "," 	5,120 "," 	4,140 "," 	4,959 "," 	3,993 "," 	3,941 "," 	7,756 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,704 "," 	5,171 "," 	6,875 ", 	236 ," 	1,384 "," 	1,620 ", 	148 ," 	4,704 "," 	10,811 "," 	9,018 "," 	10,658 "," 	8,856 "," 	3,205 "," 	13,290 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	922 ," 	4,335 "," 	5,257 ", 	99 ," 	1,191 "," 	1,290 ", 	19 ," 	3,278 "," 	6,678 "," 	5,992 "," 	6,445 "," 	5,770 "," 	3,969 "," 	9,487 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,367 "," 	5,836 "," 	7,203 ", 	195 ," 	1,394 "," 	1,589 ", 	424 ," 	4,563 "," 	11,245 "," 	8,988 "," 	10,683 "," 	8,648 "," 	4,824 "," 	13,409 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,286 "," 	4,488 "," 	5,774 ", 	235 ," 	1,166 "," 	1,401 ", 	- 0," 	3,847 "," 	8,809 "," 	7,894 "," 	8,347 "," 	7,481 "," 	2,426 "," 	11,186 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	818 ," 	3,387 "," 	4,205 ", 	85 , 	769 , 	854 , 	559 ," 	2,910 "," 	6,623 "," 	5,476 "," 	6,336 "," 	5,151 "," 	3,623 "," 	8,658 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	967 ," 	3,282 "," 	4,249 ", 	141 , 	591 , 	732 , 	178 ," 	3,915 "," 	6,293 "," 	5,172 "," 	5,930 "," 	4,822 "," 	5,135 "," 	8,582 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,313 "," 	4,647 "," 	5,960 ", 	245 ," 	1,296 "," 	1,541 ", 	203 ," 	5,096 "," 	11,913 "," 	10,205 "," 	11,282 "," 	9,375 "," 	9,190 "," 	19,377 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	991 ," 	3,330 "," 	4,321 ", 	142 , 	668 , 	810 , 	92 ," 	3,486 "," 	6,798 "," 	5,971 "," 	6,472 "," 	5,675 "," 	3,289 "," 	9,172 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	761 ," 	2,969 "," 	3,730 ", 	75 , 	776 , 	851 , 	204 ," 	2,387 "," 	4,790 "," 	4,019 "," 	4,675 "," 	3,940 "," 	4,915 "," 	7,196 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,074 "," 	4,070 "," 	5,144 ", 	156 , 	669 , 	825 ," 	1,774 "," 	4,743 "," 	7,712 "," 	6,663 "," 	7,664 "," 	6,580 "," 	4,815 "," 	11,946 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	631 ," 	2,415 "," 	3,046 ", 	70 , 	928 , 	998 , 	6 ," 	2,378 "," 	4,285 "," 	3,905 "," 	4,023 "," 	3,657 "," 	2,487 "," 	6,833 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	756 ," 	2,813 "," 	3,569 ", 	135 , 	923 ," 	1,058 ", 	172 ," 	2,100 "," 	5,784 "," 	4,506 "," 	5,729 "," 	4,434 "," 	2,759 "," 	7,114 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,513 "," 	4,922 "," 	6,435 ", 	313 ," 	1,657 "," 	1,970 ", 	245 ," 	6,529 "," 	10,894 "," 	9,140 "," 	10,356 "," 	8,535 "," 	9,398 "," 	17,100 "
,2010-11,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	496 ," 	1,727 "," 	2,223 ", 	116 , 	393 , 	509 , 	- 0," 	1,768 "," 	3,679 "," 	3,114 "," 	3,469 "," 	2,935 ", 	894 ," 	4,321 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	597 ," 	1,717 "," 	2,314 ", 	182 , 	503 , 	685 , 	74 ," 	1,656 "," 	2,889 "," 	2,435 "," 	2,838 "," 	2,368 "," 	1,978 "," 	4,571 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	735 ," 	3,117 "," 	3,852 ", 	61 , 	907 , 	968 , 	- 0," 	2,898 "," 	5,120 "," 	4,639 "," 	5,054 "," 	4,579 "," 	2,628 "," 	8,028 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	646 ," 	2,019 "," 	2,665 ", 	112 , 	656 , 	768 , 	1 ," 	2,145 "," 	3,850 "," 	2,935 "," 	3,799 "," 	2,898 "," 	1,101 "," 	5,448 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	658 ," 	2,833 "," 	3,491 ", 	75 , 	527 , 	602 , 	3 ," 	2,642 "," 	5,664 "," 	4,830 "," 	5,643 "," 	4,810 "," 	3,109 "," 	8,348 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,049 "," 	6,006 "," 	8,055 ", 	260 ," 	1,024 "," 	1,284 ", 	15 ," 	8,812 "," 	14,300 "," 	11,912 "," 	14,145 "," 	11,126 "," 	9,630 "," 	19,711 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,158 "," 	3,692 "," 	4,850 ", 	242 ," 	1,240 "," 	1,482 ", 	4 ," 	3,965 "," 	8,082 "," 	6,387 "," 	7,753 "," 	6,211 "," 	2,989 "," 	10,226 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,113 "," 	3,506 "," 	4,619 ", 	245 ," 	1,156 "," 	1,401 ", 	53 ," 	3,442 "," 	7,537 "," 	6,050 "," 	7,256 "," 	5,683 "," 	3,543 "," 	8,738 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,262 "," 	5,397 "," 	6,659 ", 	272 ," 	1,388 "," 	1,660 ", 	13 ," 	5,086 "," 	10,301 "," 	8,492 "," 	9,381 "," 	7,681 "," 	6,663 "," 	18,312 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	819 ," 	2,794 "," 	3,613 ", 	97 , 	902 , 	999 , 	12 ," 	3,359 "," 	6,299 "," 	5,508 "," 	6,281 "," 	5,488 "," 	3,124 "," 	8,788 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,346 "," 	8,714 "," 	11,060 ", 	390 ," 	3,291 "," 	3,681 ", 	247 ," 	7,321 "," 	16,176 "," 	13,154 "," 	15,754 "," 	12,865 "," 	7,009 "," 	19,395 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,018 "," 	4,288 "," 	5,306 ", 	148 ," 	1,496 "," 	1,644 ", 	321 ," 	2,740 "," 	6,743 "," 	5,765 "," 	6,689 "," 	5,708 "," 	2,251 "," 	8,165 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	876 ," 	3,426 "," 	4,302 ", 	103 , 	994 ," 	1,097 ", 	6 ," 	2,987 "," 	6,247 "," 	5,286 "," 	6,040 "," 	5,100 "," 	1,336 "," 	7,276 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,579 "," 	5,665 "," 	7,244 ", 	223 ," 	2,112 "," 	2,335 ", 	1 ," 	5,712 "," 	7,918 "," 	6,247 "," 	7,517 "," 	5,752 "," 	5,901 "," 	11,639 "
,2010-11,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	495 ," 	1,756 "," 	2,251 ", 	94 , 	617 , 	711 , 	8 ," 	1,627 "," 	2,950 "," 	2,295 "," 	2,737 "," 	2,086 "," 	1,780 "," 	4,162 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	770 ," 	2,461 "," 	3,231 ", 	108 , 	892 ," 	1,000 ", 	- 0," 	2,952 "," 	4,778 "," 	4,377 "," 	4,646 "," 	4,271 "," 	1,846 "," 	6,923 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	332 ," 	1,004 "," 	1,336 ", 	32 , 	326 , 	358 , 	- 0, 	990 ," 	2,143 "," 	1,954 "," 	2,062 "," 	1,861 ", 	981 ," 	3,068 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,684 "," 	7,724 "," 	9,408 ", 	181 ," 	2,433 "," 	2,614 ", 	237 ," 	6,474 "," 	13,123 "," 	10,675 "," 	12,815 "," 	10,421 "," 	5,826 "," 	16,332 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	649 ," 	2,989 "," 	3,638 ", 	98 ," 	1,098 "," 	1,196 ", 	15 ," 	2,684 "," 	3,890 "," 	2,856 "," 	3,829 "," 	2,777 "," 	1,748 "," 	4,960 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,960 "," 	6,691 "," 	8,651 ", 	179 ," 	2,108 "," 	2,287 ", 	24 ," 	5,461 "," 	11,406 "," 	10,201 "," 	11,208 "," 	10,019 "," 	4,183 "," 	15,323 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,275 "," 	8,729 "," 	11,004 ", 	311 ," 	3,214 "," 	3,525 ", 	233 ," 	6,458 "," 	17,304 "," 	13,734 "," 	16,584 "," 	12,906 "," 	6,730 "," 	19,421 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,474 "," 	6,339 "," 	7,813 ", 	198 ," 	2,449 "," 	2,647 ", 	1 ," 	5,469 "," 	11,460 "," 	8,628 "," 	11,369 "," 	8,551 "," 	8,020 "," 	14,477 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	590 ," 	2,606 "," 	3,196 ", 	112 , 	987 ," 	1,099 ", 	1 ," 	3,424 "," 	6,099 "," 	4,352 "," 	6,095 "," 	4,352 "," 	4,615 "," 	6,970 "
,2010-11,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,788 "," 	7,185 "," 	8,973 ", 	341 ," 	2,618 "," 	2,959 ", 	55 ," 	5,263 "," 	11,358 "," 	10,252 "," 	11,171 "," 	10,065 "," 	4,876 "," 	14,305 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	511 ," 	1,607 "," 	2,118 ", 	84 , 	573 , 	657 , 	27 ," 	1,319 "," 	3,470 "," 	3,453 "," 	3,258 "," 	3,392 "," 	1,737 "," 	4,788 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,076 "," 	2,930 "," 	4,006 ", 	203 , 	597 , 	800 , 	246 ," 	3,547 "," 	8,149 "," 	7,560 "," 	6,787 "," 	6,312 "," 	4,405 "," 	11,477 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	780 ," 	3,246 "," 	4,026 ", 	117 ," 	1,179 "," 	1,296 ", 	67 ," 	2,287 "," 	5,900 "," 	4,139 "," 	5,221 "," 	4,010 "," 	3,335 "," 	8,635 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	655 ," 	2,953 "," 	3,608 ", 	116 ," 	1,085 "," 	1,201 ", 	55 ," 	2,300 "," 	6,297 "," 	4,944 "," 	5,863 "," 	4,570 "," 	2,774 "," 	8,336 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	860 ," 	3,310 "," 	4,170 ", 	84 ," 	1,118 "," 	1,202 ", 	5 ," 	3,002 "," 	7,333 "," 	5,509 "," 	7,217 "," 	5,415 "," 	4,957 "," 	9,542 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	404 ," 	1,644 "," 	2,048 ", 	54 , 	501 , 	555 , 	5 ," 	1,423 "," 	3,065 "," 	1,436 "," 	2,667 "," 	1,416 "," 	2,151 "," 	4,778 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	599 ," 	2,593 "," 	3,192 ", 	101 ," 	1,132 "," 	1,233 ", 	11 ," 	2,426 "," 	5,717 "," 	5,093 "," 	5,375 "," 	4,333 "," 	2,348 "," 	7,548 "
,2010-11,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	612 ," 	1,901 "," 	2,513 ", 	112 , 	417 , 	529 , 	507 ," 	2,879 "," 	5,857 "," 	5,226 "," 	4,976 "," 	4,199 "," 	4,387 "," 	8,610 "
