,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JANUARY,,,,England," 	124,201 "," 	498,130 "," 	622,331 "," 	19,810 "," 	154,110 "," 	173,920 "," 	21,698 "," 	463,380 "," 	951,947 "," 	815,500 "," 	900,414 "," 	772,872 "," 	550,200 "," 	1,356,850 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	568 ," 	2,938 "," 	3,506 ", 	77 , 	981 ," 	1,058 ", 	171 ," 	2,681 "," 	4,202 "," 	3,925 "," 	3,961 "," 	3,701 "," 	2,919 "," 	6,691 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	236 , 	992 ," 	1,228 ", 	25 , 	271 , 	296 , 	8 ," 	1,026 "," 	1,446 "," 	1,204 "," 	1,389 "," 	1,150 ", 	810 ," 	1,830 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	426 ," 	2,134 "," 	2,560 ", 	38 , 	679 , 	717 , 	64 ," 	1,683 "," 	2,975 "," 	2,606 "," 	2,935 "," 	2,585 "," 	1,353 "," 	3,862 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	248 ," 	1,087 "," 	1,335 ", 	39 , 	234 , 	273 , 	2 ," 	1,057 "," 	1,642 "," 	1,357 "," 	1,622 "," 	1,339 "," 	1,251 "," 	2,854 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	636 ," 	2,685 "," 	3,321 ", 	156 ," 	1,000 "," 	1,156 ", 	608 ," 	2,301 "," 	4,242 "," 	3,591 "," 	4,102 "," 	3,486 "," 	2,103 "," 	6,271 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	436 ," 	2,176 "," 	2,612 ", 	67 , 	824 , 	891 , 	80 ," 	1,517 "," 	3,432 "," 	2,849 "," 	3,263 "," 	2,680 "," 	2,932 "," 	5,459 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	883 ," 	3,629 "," 	4,512 ", 	181 ," 	1,116 "," 	1,297 ", 	117 ," 	2,948 "," 	6,032 "," 	4,336 "," 	5,947 "," 	4,286 "," 	4,919 "," 	8,229 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	304 ," 	1,437 "," 	1,741 ", 	73 , 	696 , 	769 , 	118 ," 	1,483 "," 	2,184 "," 	1,984 "," 	2,018 "," 	1,855 "," 	1,650 "," 	3,362 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,455 "," 	6,215 "," 	7,670 ", 	236 ," 	1,859 "," 	2,095 ", 	60 ," 	5,377 "," 	9,666 "," 	8,226 "," 	9,330 "," 	8,003 "," 	6,023 "," 	14,845 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	293 ," 	1,421 "," 	1,714 ", 	62 , 	652 , 	714 , 	164 ," 	1,310 "," 	2,076 "," 	1,829 "," 	1,969 "," 	1,745 "," 	1,304 "," 	3,026 "
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	916 ," 	4,276 "," 	5,192 ", 	100 ," 	1,332 "," 	1,432 ", 	124 ," 	3,626 "," 	5,681 "," 	5,160 "," 	5,612 "," 	5,101 "," 	3,678 "," 	8,978 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	610 ," 	2,426 "," 	3,036 ", 	98 , 	762 , 	860 , 	19 ," 	2,905 "," 	5,334 "," 	4,117 "," 	5,094 "," 	3,976 "," 	3,430 "," 	6,498 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	732 ," 	2,754 "," 	3,486 ", 	164 , 	745 , 	909 , 	56 ," 	3,292 "," 	6,067 "," 	4,745 "," 	5,931 "," 	4,637 "," 	4,043 "," 	7,574 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	736 ," 	3,533 "," 	4,269 ", 	110 ," 	1,265 "," 	1,375 ", 	7 ," 	3,188 "," 	6,202 "," 	5,165 "," 	6,095 "," 	5,097 "," 	3,347 "," 	8,640 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	295 ," 	2,003 "," 	2,298 ", 	38 , 	491 , 	529 , 	- 0," 	1,868 "," 	2,891 "," 	2,400 "," 	2,700 "," 	2,237 "," 	2,327 "," 	4,875 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	668 ," 	2,336 "," 	3,004 ", 	105 , 	553 , 	658 , 	- 0," 	2,795 "," 	6,445 "," 	4,914 "," 	5,961 "," 	4,588 "," 	3,339 "," 	7,540 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	475 ," 	1,795 "," 	2,270 ", 	48 , 	480 , 	528 , 	9 ," 	2,179 "," 	2,978 "," 	2,424 "," 	2,962 "," 	2,404 "," 	1,892 "," 	4,215 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	455 ," 	1,760 "," 	2,215 ", 	58 , 	417 , 	475 , 	33 ," 	1,878 "," 	4,312 "," 	3,169 "," 	4,254 "," 	3,068 "," 	2,273 "," 	5,473 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	591 ," 	2,209 "," 	2,800 ", 	70 , 	809 , 	879 , 	7 ," 	2,529 "," 	3,569 "," 	3,028 "," 	3,555 "," 	3,005 "," 	2,635 "," 	5,783 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	524 ," 	2,082 "," 	2,606 ", 	71 , 	831 , 	902 , 	9 ," 	1,832 "," 	2,833 "," 	2,485 "," 	2,531 "," 	2,434 "," 	2,209 "," 	4,647 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	530 ," 	1,864 "," 	2,394 ", 	61 , 	446 , 	507 , 	35 ," 	2,402 "," 	4,294 "," 	3,861 "," 	4,185 "," 	3,738 "," 	2,992 "," 	7,178 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,494 "," 	5,261 "," 	6,755 ", 	211 ," 	1,504 "," 	1,715 ", 	121 ," 	4,471 "," 	9,184 "," 	7,991 "," 	8,983 "," 	7,775 "," 	3,317 "," 	12,118 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	816 ," 	4,122 "," 	4,938 ", 	92 ," 	1,187 "," 	1,279 ", 	11 ," 	3,212 "," 	5,858 "," 	5,151 "," 	5,694 "," 	5,016 "," 	3,994 "," 	8,771 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,167 "," 	5,470 "," 	6,637 ", 	164 ," 	1,306 "," 	1,470 ", 	381 ," 	4,227 "," 	9,908 "," 	8,820 "," 	9,320 "," 	8,443 "," 	4,688 "," 	13,245 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,012 "," 	4,059 "," 	5,071 ", 	153 , 	922 ," 	1,075 ", 	1 ," 	3,714 "," 	8,118 "," 	7,084 "," 	7,477 "," 	6,498 "," 	2,452 "," 	10,709 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	697 ," 	3,308 "," 	4,005 ", 	105 , 	902 ," 	1,007 ", 	499 ," 	2,855 "," 	5,859 "," 	4,794 "," 	5,676 "," 	4,551 "," 	3,613 "," 	8,295 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	863 ," 	3,933 "," 	4,796 ", 	110 , 	917 ," 	1,027 ", 	109 ," 	3,667 "," 	5,709 "," 	4,956 "," 	5,359 "," 	4,635 "," 	3,801 "," 	8,226 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,111 "," 	4,712 "," 	5,823 ", 	207 ," 	1,476 "," 	1,683 ", 	263 ," 	4,872 "," 	10,069 "," 	8,464 "," 	9,923 "," 	7,977 "," 	8,518 "," 	17,618 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	811 ," 	3,084 "," 	3,895 ", 	86 , 	669 , 	755 , 	19 ," 	3,536 "," 	5,599 "," 	4,791 "," 	5,382 "," 	4,569 "," 	3,055 "," 	8,118 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	687 ," 	2,813 "," 	3,500 ", 	94 , 	805 , 	899 , 	79 ," 	2,338 "," 	4,699 "," 	3,937 "," 	4,559 "," 	3,839 "," 	4,370 "," 	6,723 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	884 ," 	3,897 "," 	4,781 ", 	139 , 	738 , 	877 ," 	1,460 "," 	3,827 "," 	6,933 "," 	6,360 "," 	6,890 "," 	6,311 "," 	4,423 "," 	11,767 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	603 ," 	2,418 "," 	3,021 ", 	92 ," 	1,015 "," 	1,107 ", 	1 ," 	2,493 "," 	4,157 "," 	3,631 "," 	3,942 "," 	3,445 "," 	2,604 "," 	6,339 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	623 ," 	2,557 "," 	3,180 ", 	106 , 	922 ," 	1,028 ", 	137 ," 	1,858 "," 	5,194 "," 	4,191 "," 	5,132 "," 	4,136 "," 	2,522 "," 	6,793 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,209 "," 	4,145 "," 	5,354 ", 	206 ," 	1,474 "," 	1,680 ", 	222 ," 	5,505 "," 	9,367 "," 	8,107 "," 	8,971 "," 	7,761 "," 	8,332 "," 	15,211 "
,2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	340 ," 	1,542 "," 	1,882 ", 	64 , 	277 , 	341 , 	1 ," 	1,667 "," 	3,225 "," 	2,771 "," 	3,033 "," 	2,593 ", 	978 ," 	4,338 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	500 ," 	1,845 "," 	2,345 ", 	135 , 	562 , 	697 , 	130 ," 	1,551 "," 	2,524 "," 	2,059 "," 	2,488 "," 	2,010 "," 	2,051 "," 	4,455 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	615 ," 	2,875 "," 	3,490 ", 	59 , 	716 , 	775 , 	3 ," 	2,750 "," 	4,436 "," 	3,898 "," 	4,360 "," 	3,841 "," 	2,411 "," 	7,103 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	543 ," 	1,938 "," 	2,481 ", 	108 , 	706 , 	814 , 	1 ," 	2,161 "," 	3,640 "," 	3,016 "," 	3,563 "," 	2,946 "," 	1,116 "," 	5,213 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	584 ," 	2,794 "," 	3,378 ", 	67 , 	484 , 	551 , 	- 0," 	2,628 "," 	5,018 "," 	4,204 "," 	4,980 "," 	4,170 "," 	2,948 "," 	7,316 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,740 "," 	5,977 "," 	7,717 ", 	380 ," 	1,261 "," 	1,641 ", 	8 ," 	7,269 "," 	13,911 "," 	10,754 "," 	13,760 "," 	10,442 "," 	9,588 "," 	18,614 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	981 ," 	3,641 "," 	4,622 ", 	203 ," 	1,185 "," 	1,388 ", 	- 0," 	3,787 "," 	7,147 "," 	5,913 "," 	6,756 "," 	5,706 "," 	3,137 "," 	9,615 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	732 ," 	3,687 "," 	4,419 ", 	191 ," 	1,122 "," 	1,313 ", 	13 ," 	3,513 "," 	6,366 "," 	5,529 "," 	6,069 "," 	5,161 "," 	3,509 "," 	7,949 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,192 "," 	5,262 "," 	6,454 ", 	234 ," 	1,220 "," 	1,454 ", 	2 ," 	5,108 "," 	9,201 "," 	8,482 "," 	8,428 "," 	7,732 "," 	6,009 "," 	17,576 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	691 ," 	2,639 "," 	3,330 ", 	87 , 	794 , 	881 , 	14 ," 	3,239 "," 	5,529 "," 	5,114 "," 	5,496 "," 	5,089 "," 	2,909 "," 	8,947 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,028 "," 	8,341 "," 	10,369 ", 	351 ," 	3,052 "," 	3,403 ", 	270 ," 	6,959 "," 	14,401 "," 	11,833 "," 	14,010 "," 	11,668 "," 	7,596 "," 	18,013 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	889 ," 	3,805 "," 	4,694 ", 	123 ," 	1,358 "," 	1,481 ", 	303 ," 	2,646 "," 	6,213 "," 	5,396 "," 	6,163 "," 	5,356 "," 	2,039 "," 	7,769 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	743 ," 	3,026 "," 	3,769 ", 	80 , 	941 ," 	1,021 ", 	3 ," 	2,757 "," 	5,758 "," 	4,956 "," 	5,615 "," 	4,836 "," 	1,349 "," 	6,980 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,187 "," 	5,421 "," 	6,608 ", 	255 ," 	1,915 "," 	2,170 ", 	1 ," 	6,050 "," 	8,032 "," 	6,060 "," 	7,535 "," 	5,538 "," 	6,244 "," 	11,589 "
,2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	462 ," 	1,722 "," 	2,184 ", 	96 , 	661 , 	757 , 	6 ," 	1,236 "," 	2,634 "," 	2,156 "," 	2,419 "," 	1,949 "," 	1,817 "," 	3,923 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	579 ," 	2,215 "," 	2,794 ", 	125 , 	932 ," 	1,057 ", 	3 ," 	3,073 "," 	4,184 "," 	3,675 "," 	4,077 "," 	3,555 "," 	1,777 "," 	6,332 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	253 , 	938 ," 	1,191 ", 	29 , 	265 , 	294 , 	- 0, 	961 ," 	2,143 "," 	1,854 "," 	2,035 "," 	1,765 ", 	783 ," 	3,034 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,513 "," 	7,119 "," 	8,632 ", 	186 ," 	2,254 "," 	2,440 ", 	235 ," 	6,675 "," 	11,194 "," 	9,472 "," 	10,755 "," 	9,148 "," 	5,525 "," 	14,934 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	643 ," 	2,647 "," 	3,290 ", 	100 ," 	1,059 "," 	1,159 ", 	18 ," 	2,844 "," 	3,889 "," 	3,255 "," 	3,826 "," 	3,218 "," 	1,270 "," 	5,257 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,482 "," 	6,366 "," 	7,848 ", 	154 ," 	2,061 "," 	2,215 ", 	49 ," 	5,990 "," 	9,684 "," 	8,978 "," 	9,500 "," 	8,768 "," 	3,738 "," 	13,995 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,951 "," 	8,560 "," 	10,511 ", 	273 ," 	3,405 "," 	3,678 ", 	188 ," 	6,482 "," 	15,060 "," 	13,030 "," 	14,337 "," 	12,350 "," 	6,225 "," 	18,812 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,306 "," 	6,039 "," 	7,345 ", 	182 ," 	2,466 "," 	2,648 ", 	3 ," 	4,948 "," 	10,037 "," 	7,710 "," 	9,943 "," 	7,660 "," 	7,420 "," 	13,552 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	588 ," 	2,588 "," 	3,176 ", 	122 ," 	1,020 "," 	1,142 ", 	2 ," 	2,687 "," 	5,097 "," 	3,940 "," 	5,095 "," 	3,937 "," 	4,029 "," 	6,852 "
,2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,520 "," 	6,797 "," 	8,317 ", 	259 ," 	2,190 "," 	2,449 ", 	25 ," 	5,346 "," 	9,105 "," 	8,629 "," 	8,923 "," 	8,438 "," 	5,270 "," 	12,983 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	525 ," 	1,557 "," 	2,082 ", 	109 , 	553 , 	662 , 	18 ," 	1,327 "," 	2,479 "," 	2,849 "," 	2,417 "," 	2,834 "," 	1,488 "," 	4,212 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	947 ," 	2,660 "," 	3,607 ", 	199 , 	633 , 	832 , 	197 ," 	3,126 "," 	7,870 "," 	7,190 "," 	6,210 "," 	5,851 "," 	3,906 "," 	10,093 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	695 ," 	2,996 "," 	3,691 ", 	105 ," 	1,038 "," 	1,143 ", 	68 ," 	2,332 "," 	4,969 "," 	3,494 "," 	4,910 "," 	3,376 "," 	3,488 "," 	7,674 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	513 ," 	2,704 "," 	3,217 ", 	74 , 	990 ," 	1,064 ", 	49 ," 	2,184 "," 	5,172 "," 	4,395 "," 	4,747 "," 	3,957 "," 	2,527 "," 	7,643 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	761 ," 	2,985 "," 	3,746 ", 	58 ," 	1,039 "," 	1,097 ", 	3 ," 	2,877 "," 	5,141 "," 	4,221 "," 	5,054 "," 	4,131 "," 	4,782 "," 	8,369 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	418 ," 	1,626 "," 	2,044 ", 	66 , 	577 , 	643 , 	3 ," 	1,361 "," 	2,731 "," 	1,415 "," 	2,718 "," 	1,402 "," 	2,323 "," 	4,410 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	541 ," 	2,551 "," 	3,092 ", 	78 ," 	1,139 "," 	1,217 ", 	9 ," 	2,481 "," 	4,630 "," 	5,456 "," 	4,104 "," 	4,439 "," 	2,470 "," 	7,756 "
,2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	526 ," 	1,871 "," 	2,397 ", 	88 , 	338 , 	426 , 	496 ," 	2,945 "," 	5,743 "," 	4,787 "," 	4,604 "," 	3,679 "," 	4,663 "," 	7,658 "
