,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,NOVEMBER,,,,England," 	137,936 "," 	521,053 "," 	658,989 "," 	21,833 "," 	161,636 "," 	183,469 "," 	22,657 "," 	448,968 "," 	975,452 "," 	881,072 "," 	926,137 "," 	837,101 "," 	554,226 "," 	1,431,202 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,601 "," 	6,546 "," 	8,147 ", 	272 ," 	1,951 "," 	2,223 ", 	75 ," 	5,068 "," 	9,762 "," 	8,890 "," 	9,267 "," 	8,597 "," 	6,054 "," 	15,532 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	367 ," 	1,474 "," 	1,841 ", 	57 , 	670 , 	727 , 	166 ," 	1,247 "," 	2,079 "," 	2,102 "," 	1,996 "," 	2,030 "," 	1,369 "," 	3,455 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	990 ," 	4,542 "," 	5,532 ", 	124 ," 	1,378 "," 	1,502 ", 	132 ," 	3,470 "," 	5,677 "," 	5,669 "," 	5,636 "," 	5,624 "," 	4,155 "," 	9,909 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	664 ," 	2,324 "," 	2,988 ", 	103 , 	725 , 	828 , 	26 ," 	2,753 "," 	5,447 "," 	4,635 "," 	5,103 "," 	4,402 "," 	3,241 "," 	7,022 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	869 ," 	2,973 "," 	3,842 ", 	197 , 	762 , 	959 , 	54 ," 	3,184 "," 	6,119 "," 	5,527 "," 	5,987 "," 	5,430 "," 	3,900 "," 	8,423 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	862 ," 	3,645 "," 	4,507 ", 	130 ," 	1,263 "," 	1,393 ", 	2 ," 	3,060 "," 	5,972 "," 	5,542 "," 	5,896 "," 	5,479 "," 	3,431 "," 	9,122 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	319 ," 	2,032 "," 	2,351 ", 	44 , 	443 , 	487 , 	2 ," 	1,988 "," 	2,752 "," 	2,278 "," 	2,601 "," 	2,142 "," 	2,237 "," 	4,584 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	763 ," 	2,490 "," 	3,253 ", 	115 , 	640 , 	755 , 	1 ," 	2,567 "," 	6,371 "," 	5,559 "," 	5,937 "," 	5,193 "," 	3,612 "," 	8,467 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	492 ," 	1,860 "," 	2,352 ", 	42 , 	438 , 	480 , 	4 ," 	2,021 "," 	2,808 "," 	2,669 "," 	2,791 "," 	2,650 "," 	1,935 "," 	4,615 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	444 ," 	1,780 "," 	2,224 ", 	68 , 	397 , 	465 , 	35 ," 	1,792 "," 	4,158 "," 	3,302 "," 	4,035 "," 	3,167 "," 	2,284 "," 	5,542 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	624 ," 	2,441 "," 	3,065 ", 	76 , 	818 , 	894 , 	8 ," 	2,625 "," 	3,454 "," 	3,548 "," 	3,402 "," 	3,517 "," 	2,544 "," 	6,131 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	536 ," 	2,099 "," 	2,635 ", 	69 , 	777 , 	846 , 	5 ," 	1,900 "," 	2,670 "," 	2,668 "," 	2,608 "," 	2,611 "," 	2,018 "," 	4,880 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	612 ," 	2,364 "," 	2,976 ", 	90 , 	532 , 	622 , 	32 ," 	2,306 "," 	4,599 "," 	4,203 "," 	4,488 "," 	4,107 "," 	3,177 "," 	7,789 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,620 "," 	5,164 "," 	6,784 ", 	224 ," 	1,505 "," 	1,729 ", 	126 ," 	4,353 "," 	9,786 "," 	8,685 "," 	9,608 "," 	8,437 "," 	3,136 "," 	12,621 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	909 ," 	4,327 "," 	5,236 ", 	122 ," 	1,177 "," 	1,299 ", 	7 ," 	3,118 "," 	5,972 "," 	5,383 "," 	5,802 "," 	5,253 "," 	3,691 "," 	8,846 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,285 "," 	5,837 "," 	7,122 ", 	191 ," 	1,485 "," 	1,676 ", 	381 ," 	4,347 "," 	10,047 "," 	9,184 "," 	9,557 "," 	8,830 "," 	4,804 "," 	13,572 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,074 "," 	4,180 "," 	5,254 ", 	146 , 	963 ," 	1,109 ", 	3 ," 	3,407 "," 	8,173 "," 	7,136 "," 	7,573 "," 	6,630 "," 	2,714 "," 	10,839 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	819 ," 	3,414 "," 	4,233 ", 	104 , 	937 ," 	1,041 ", 	515 ," 	2,812 "," 	6,242 "," 	5,272 "," 	5,971 "," 	5,016 "," 	3,510 "," 	8,611 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	911 ," 	3,547 "," 	4,458 ", 	128 , 	769 , 	897 , 	105 ," 	3,780 "," 	5,805 "," 	5,105 "," 	5,463 "," 	4,798 "," 	3,784 "," 	8,499 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,256 "," 	4,812 "," 	6,068 ", 	258 ," 	1,543 "," 	1,801 ", 	214 ," 	4,617 "," 	10,701 "," 	9,063 "," 	10,117 "," 	8,477 "," 	8,248 "," 	18,186 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	902 ," 	3,201 "," 	4,103 ", 	125 , 	585 , 	710 , 	13 ," 	3,462 "," 	5,659 "," 	5,040 "," 	5,409 "," 	4,806 "," 	3,378 "," 	8,354 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	749 ," 	3,011 "," 	3,760 ", 	116 , 	886 ," 	1,002 ", 	96 ," 	2,312 "," 	4,687 "," 	4,267 "," 	4,557 "," 	4,181 "," 	4,565 "," 	7,195 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,006 "," 	3,977 "," 	4,983 ", 	124 , 	671 , 	795 ," 	1,513 "," 	3,778 "," 	7,081 "," 	6,720 "," 	7,040 "," 	6,658 "," 	4,557 "," 	12,366 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	594 ," 	2,525 "," 	3,119 ", 	77 ," 	1,039 "," 	1,116 ", 	1 ," 	2,380 "," 	4,196 "," 	3,781 "," 	4,031 "," 	3,609 "," 	2,766 "," 	6,416 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	610 ," 	2,576 "," 	3,186 ", 	94 , 	795 , 	889 , 	188 ," 	1,892 "," 	5,446 "," 	4,794 "," 	5,396 "," 	4,746 "," 	2,748 "," 	7,547 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,394 "," 	4,661 "," 	6,055 ", 	244 ," 	1,643 "," 	1,887 ", 	220 ," 	5,530 "," 	10,392 "," 	8,601 "," 	9,994 "," 	8,263 "," 	8,360 "," 	15,825 "
,2011-12,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	396 ," 	1,562 "," 	1,958 ", 	57 , 	301 , 	358 , 	- 0," 	1,618 "," 	3,170 "," 	2,964 "," 	2,970 "," 	2,832 ", 	987 ," 	4,553 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	514 ," 	1,727 "," 	2,241 ", 	132 , 	491 , 	623 , 	123 ," 	1,409 "," 	2,418 "," 	2,197 "," 	2,391 "," 	2,158 "," 	1,997 "," 	4,626 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	682 ," 	2,771 "," 	3,453 ", 	65 , 	728 , 	793 , 	- 0," 	2,780 "," 	4,491 "," 	4,011 "," 	4,423 "," 	3,948 "," 	2,436 "," 	7,142 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	553 ," 	2,068 "," 	2,621 ", 	92 , 	736 , 	828 , 	- 0," 	2,111 "," 	3,658 "," 	3,082 "," 	3,601 "," 	3,041 "," 	1,150 "," 	5,255 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	673 ," 	2,837 "," 	3,510 ", 	72 , 	507 , 	579 , 	- 0," 	2,430 "," 	4,971 "," 	4,392 "," 	4,928 "," 	4,360 "," 	2,624 "," 	7,305 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,878 "," 	5,944 "," 	7,822 ", 	341 ," 	1,210 "," 	1,551 ", 	4 ," 	6,965 "," 	13,935 "," 	12,427 "," 	13,813 "," 	11,661 "," 	9,720 "," 	20,165 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,092 "," 	3,747 "," 	4,839 ", 	225 ," 	1,199 "," 	1,424 ", 	- 0," 	3,741 "," 	6,858 "," 	6,287 "," 	6,667 "," 	6,097 "," 	2,943 "," 	9,967 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	921 ," 	3,968 "," 	4,889 ", 	191 ," 	1,198 "," 	1,389 ", 	6 ," 	3,507 "," 	6,667 "," 	5,817 "," 	6,455 "," 	5,448 "," 	3,337 "," 	8,399 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,320 "," 	5,048 "," 	6,368 ", 	270 ," 	1,026 "," 	1,296 ", 	- 0," 	5,059 "," 	9,466 "," 	8,726 "," 	8,794 "," 	7,938 "," 	5,786 "," 	17,519 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	792 ," 	2,665 "," 	3,457 ", 	114 , 	879 , 	993 , 	18 ," 	3,267 "," 	5,483 "," 	5,473 "," 	5,450 "," 	5,448 "," 	2,895 "," 	9,226 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,102 "," 	8,507 "," 	10,609 ", 	360 ," 	3,165 "," 	3,525 ", 	270 ," 	6,880 "," 	14,316 "," 	12,934 "," 	13,936 "," 	12,747 "," 	7,262 "," 	19,114 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,026 "," 	3,792 "," 	4,818 ", 	170 ," 	1,372 "," 	1,542 ", 	312 ," 	2,583 "," 	6,731 "," 	5,761 "," 	6,678 "," 	5,706 "," 	1,897 "," 	8,143 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	815 ," 	3,018 "," 	3,833 ", 	129 , 	978 ," 	1,107 ", 	5 ," 	2,703 "," 	5,605 "," 	5,118 "," 	5,461 "," 	4,966 "," 	1,477 "," 	7,047 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,414 "," 	5,562 "," 	6,976 ", 	287 ," 	1,935 "," 	2,222 ", 	2 ," 	5,808 "," 	8,264 "," 	6,475 "," 	7,846 "," 	6,011 "," 	6,254 "," 	11,932 "
,2011-12,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	483 ," 	1,696 "," 	2,179 ", 	115 , 	631 , 	746 , 	6 ," 	1,211 "," 	2,813 "," 	2,198 "," 	2,585 "," 	2,047 "," 	1,706 "," 	4,119 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	743 ," 	2,278 "," 	3,021 ", 	109 , 	864 , 	973 , 	2 ," 	2,812 "," 	4,232 "," 	3,899 "," 	4,128 "," 	3,796 "," 	1,830 "," 	6,418 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	288 , 	979 ," 	1,267 ", 	30 , 	295 , 	325 , 	- 0, 	918 ," 	1,954 "," 	1,971 "," 	1,857 "," 	1,864 ", 	894 ," 	3,231 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,902 "," 	7,330 "," 	9,232 ", 	183 ," 	2,188 "," 	2,371 ", 	252 ," 	6,331 "," 	11,392 "," 	10,394 "," 	11,016 "," 	10,077 "," 	5,781 "," 	16,087 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	744 ," 	2,780 "," 	3,524 ", 	108 ," 	1,121 "," 	1,229 ", 	9 ," 	2,852 "," 	4,094 "," 	3,471 "," 	4,012 "," 	3,437 "," 	1,447 "," 	5,633 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,825 "," 	6,150 "," 	7,975 ", 	163 ," 	1,992 "," 	2,155 ", 	40 ," 	5,463 "," 	9,931 "," 	9,659 "," 	9,732 "," 	9,485 "," 	3,832 "," 	14,547 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,343 "," 	9,084 "," 	11,427 ", 	349 ," 	3,537 "," 	3,886 ", 	181 ," 	6,332 "," 	15,119 "," 	13,945 "," 	14,531 "," 	13,314 "," 	6,123 "," 	19,337 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,527 "," 	6,203 "," 	7,730 ", 	278 ," 	2,564 "," 	2,842 ", 	7 ," 	4,476 "," 	10,193 "," 	8,184 "," 	10,121 "," 	8,130 "," 	7,898 "," 	14,106 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	644 ," 	2,691 "," 	3,335 ", 	145 ," 	1,144 "," 	1,289 ", 	- 0," 	2,502 "," 	5,305 "," 	4,191 "," 	5,299 "," 	4,188 "," 	4,445 "," 	7,006 "
,2011-12,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,758 "," 	7,295 "," 	9,053 ", 	302 ," 	2,299 "," 	2,601 ", 	58 ," 	5,291 "," 	9,291 "," 	9,659 "," 	9,109 "," 	9,483 "," 	5,406 "," 	14,085 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	606 ," 	1,557 "," 	2,163 ", 	162 , 	549 , 	711 , 	18 ," 	1,370 "," 	2,573 "," 	2,986 "," 	2,526 "," 	2,972 "," 	1,499 "," 	4,349 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	978 ," 	2,920 "," 	3,898 ", 	180 , 	680 , 	860 , 	225 ," 	3,075 "," 	8,047 "," 	7,760 "," 	6,420 "," 	6,479 "," 	4,159 "," 	11,033 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	783 ," 	3,186 "," 	3,969 ", 	120 ," 	1,067 "," 	1,187 ", 	56 ," 	2,195 "," 	5,249 "," 	3,908 "," 	5,206 "," 	3,801 "," 	3,538 "," 	8,107 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	560 ," 	2,753 "," 	3,313 ", 	101 ," 	1,131 "," 	1,232 ", 	39 ," 	1,993 "," 	5,490 "," 	5,102 "," 	5,012 "," 	4,711 "," 	2,554 "," 	8,445 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	814 ," 	3,062 "," 	3,876 ", 	75 ," 	1,075 "," 	1,150 ", 	2 ," 	2,711 "," 	5,545 "," 	4,503 "," 	5,458 "," 	4,400 "," 	4,610 "," 	8,668 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	441 ," 	1,769 "," 	2,210 ", 	65 , 	571 , 	636 , 	5 ," 	1,316 "," 	3,032 "," 	1,662 "," 	3,021 "," 	1,645 "," 	2,180 "," 	4,849 "
,2011-12,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	605 ," 	2,607 "," 	3,212 ", 	118 ," 	1,070 "," 	1,188 ", 	8 ," 	2,277 "," 	5,693 "," 	5,705 "," 	5,206 "," 	4,735 "," 	2,557 "," 	8,116 "
