Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2022,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1815,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5967,0,0,135,0,0,2492,0,0,23,0,0,224,232,1353,0,0,432
MSitAE-JUNE-2022,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5869,0,0,0,0,0,876,0,0,0,0,0,0,0,975,0,0,214
MSitAE-JUNE-2022,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15102,0,0,0,0,0,4082,0,0,0,0,0,780,2,2939,0,0,822
MSitAE-JUNE-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2504,0,0,73,0,0,71,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,4638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
MSitAE-JUNE-2022,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,5919,0,1509,442,0,305,1803,0,37,0,0,0,535,0,1579,0,0,111
MSitAE-JUNE-2022,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3082,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,9424,0,0,1499,0,0,4196,0,0,0,0,0,450,99,1496,0,0,812
MSitAE-JUNE-2022,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,14031,0,0,183,0,0,0,0,0,0,0,0,869,70,3846,4,0,1967
MSitAE-JUNE-2022,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7748,0,2694,332,0,0,2334,0,0,69,0,0,652,137,1955,0,0,90
MSitAE-JUNE-2022,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4419,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3849,0,0,178,0,0,183,0,0,10,0,0,0,0,0,0
MSitAE-JUNE-2022,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9593,1203,2996,0,0,0,3718,0,110,0,0,0,718,0,3570,0,976,821
MSitAE-JUNE-2022,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
MSitAE-JUNE-2022,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9897,0,1387,100,0,0,2867,0,0,7,0,0,929,0,2466,0,0,444
MSitAE-JUNE-2022,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7548,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2544,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3830,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE WILBERFORCE HEALTH CENTRE,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2673,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1389,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1879,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,591,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4847,0,0,260,0,0,825,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5814,0,11399,0,0,0,3193,0,616,0,0,0,482,607,1919,0,28,1066
MSitAE-JUNE-2022,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9387,0,0,0,0,0,2516,0,0,0,0,0,462,10,989,0,0,87
MSitAE-JUNE-2022,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,13350,0,7035,52,0,579,3933,0,366,0,0,4,683,30,5540,0,0,842
MSitAE-JUNE-2022,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9258,652,1624,251,0,54,3783,4,0,58,0,0,324,602,1691,0,0,1605
MSitAE-JUNE-2022,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4180,267,2005,159,0,0,1728,0,0,72,0,0,421,2,1260,0,0,655
MSitAE-JUNE-2022,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1495,0,0,0,0,0,12,0,0,0,0,0,0,0,6,614
MSitAE-JUNE-2022,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,912,0,0,56,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
MSitAE-JUNE-2022,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,7341,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6682,0,0,2008,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2273,0,0,93,0,0,99,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
MSitAE-JUNE-2022,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,9039,503,8319,811,0,0,4728,11,1419,231,0,0,763,372,1727,0,0,322
MSitAE-JUNE-2022,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,8131,0,4000,375,0,140,3199,0,140,77,0,0,830,1,2850,0,0,759
MSitAE-JUNE-2022,RBN,NHS ENGLAND NORTH WEST ,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,9866,0,5321,138,0,0,5241,0,82,32,0,0,284,0,4648,0,0,297
MSitAE-JUNE-2022,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4680,0,834,90,0,49,1573,0,0,29,0,0,211,15,1138,0,0,409
MSitAE-JUNE-2022,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8215,0,5473,621,0,76,2065,0,214,132,0,0,408,0,1646,0,0,472
MSitAE-JUNE-2022,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6410,0,1177,126,0,1,2286,0,3,24,0,0,455,319,1592,0,0,450
MSitAE-JUNE-2022,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4284,0,0,46,0,28,1871,0,0,0,0,0,222,78,957,0,0,138
MSitAE-JUNE-2022,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11691,0,3407,0,0,0,3945,0,5,0,0,0,761,5,2786,0,0,359
MSitAE-JUNE-2022,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,13407,0,3712,0,0,0,5076,0,55,0,0,0,1326,277,2854,0,469,745
MSitAE-JUNE-2022,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10702,0,0,297,0,0,1766,0,0,0,0,0,109,17,1559,0,0,199
MSitAE-JUNE-2022,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10316,0,0,465,0,0,4489,0,0,35,0,0,203,1,2363,0,0,1148
MSitAE-JUNE-2022,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,20214,1731,0,0,0,0,9508,78,0,0,0,0,1398,967,4703,5,0,3000
MSitAE-JUNE-2022,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11740,0,5506,519,0,28,5949,0,2,167,0,0,1185,277,3304,0,0,1159
MSitAE-JUNE-2022,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,4377,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,8354,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,6949,0,0,124,0,0,335,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5873,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,29487,2777,6580,1035,63,2472,14711,77,743,478,0,68,3273,68,7955,55,4,1933
MSitAE-JUNE-2022,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11808,1398,6517,518,0,205,4850,10,199,248,0,9,677,3,4517,19,0,1101
MSitAE-JUNE-2022,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3044,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
MSitAE-JUNE-2022,RA4,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5617,0,0,0,0,0,878,0,0,0,0,0,69,0,1712,0,0,309
MSitAE-JUNE-2022,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4097,0,0,238,0,2269,1998,0,0,59,0,0,157,5,1390,0,0,352
MSitAE-JUNE-2022,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5698,0,0,0,0,0,1269,0,0,0,0,0,0,0,1035,0,0,220
MSitAE-JUNE-2022,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,9370,362,9019,0,0,427,4702,0,526,0,0,16,823,727,3718,4,0,1464
MSitAE-JUNE-2022,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,19042,0,0,2038,0,0,0,0,0,0,0,0,1404,0,5009,0,0,1042
MSitAE-JUNE-2022,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12963,2161,11945,0,0,0,8934,262,2275,0,0,0,1231,481,4656,0,0,512
MSitAE-JUNE-2022,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,7791,0,0,124,0,0,0,0,0,0,0,0,541,0,2425,0,0,565
MSitAE-JUNE-2022,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11716,0,2874,1039,0,45,5180,0,79,375,0,1,849,86,3241,0,0,2155
MSitAE-JUNE-2022,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,10771,1343,0,730,0,0,3840,59,0,219,0,0,279,2,3066,10,0,1318
MSitAE-JUNE-2022,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,13060,0,4231,43,0,0,4339,0,0,12,0,0,476,208,1154,0,0,251
MSitAE-JUNE-2022,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,7246,0,0,65,0,0,2550,0,0,11,0,0,361,0,1987,0,0,676
MSitAE-JUNE-2022,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7822,152,3897,0,0,127,0,0,0,0,0,0,396,475,2200,0,962,0
MSitAE-JUNE-2022,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8805,0,0,487,0,0,0,0,0,0,0,0,980,0,1936,0,0,158
MSitAE-JUNE-2022,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,5934,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,218
MSitAE-JUNE-2022,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19492,0,10119,679,0,0,0,0,0,0,0,0,704,19,2543,0,0,308
MSitAE-JUNE-2022,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,6022,0,3592,12,0,33,2180,0,29,3,0,0,918,11,1683,0,0,734
MSitAE-JUNE-2022,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12386,1440,6482,0,0,583,3879,53,0,0,0,0,332,0,3386,24,3,2290
MSitAE-JUNE-2022,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8899,0,11182,0,0,0,1422,0,98,0,0,0,0,0,5052,0,43,822
MSitAE-JUNE-2022,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,5123,0,0,0,0,0,28,0,0,0,0,0,0,0,0,8
MSitAE-JUNE-2022,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3892,0,12269,0,0,0,0,0,0,0,0,0,367,13,1478,0,649,2193
MSitAE-JUNE-2022,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,17235,0,2473,0,0,0,2455,0,29,0,0,0,593,10,5170,0,0,989
MSitAE-JUNE-2022,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,8975,0,1903,853,0,1438,3212,0,33,0,0,0,161,0,3381,0,0,578
MSitAE-JUNE-2022,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8597,0,10967,284,0,244,3834,0,77,61,0,0,917,524,2486,0,0,989
MSitAE-JUNE-2022,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,10605,0,7526,0,0,0,4300,0,521,0,0,0,817,233,4232,0,17,1306
MSitAE-JUNE-2022,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,69
MSitAE-JUNE-2022,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,19606,1399,6733,1742,0,231,9491,3,1963,610,0,0,1528,609,6236,30,343,1474
MSitAE-JUNE-2022,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4970,0,0,479,0,0,925,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,124,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,137,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,60,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,557,0,0,2055,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,56,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1807,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3607,0,2253,28,0,41,1046,0,2,4,0,0,359,29,1128,0,0,178
MSitAE-JUNE-2022,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5651,0,2917,83,0,0,3707,0,167,60,0,0,578,178,1618,0,0,1163
MSitAE-JUNE-2022,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,11139,0,1072,0,0,0,3075,0,1,0,0,0,918,4,2724,0,32,1498
MSitAE-JUNE-2022,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6933,0,2551,104,0,34,3828,0,11,12,0,1,868,192,2268,0,0,794
MSitAE-JUNE-2022,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544
MSitAE-JUNE-2022,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,16754,0,6122,0,0,477,0,0,0,0,0,0,85,1,4359,0,0,1629
MSitAE-JUNE-2022,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7827,0,0,0,0,0,3210,0,0,0,0,0,650,11,2311,0,6,1455
MSitAE-JUNE-2022,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,11616,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1115,0,0,60,0,0,92,0,0,0,0,0,0,0,80,13,18
MSitAE-JUNE-2022,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12077,0,4858,174,0,542,7137,0,966,32,0,38,611,517,2935,0,84,1536
MSitAE-JUNE-2022,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8824,882,7806,302,5,957,4626,0,147,136,0,7,1204,3,3209,0,0,2383
MSitAE-JUNE-2022,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11103,0,893,1064,0,0,3698,0,0,222,0,0,396,426,2418,0,0,860
MSitAE-JUNE-2022,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54
