,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,AUGUST,,,,England," 	128,995 "," 	483,740 "," 	612,735 "," 	21,582 "," 	150,940 "," 	172,522 "," 	22,057 "," 	436,133 "," 	957,833 "," 	804,040 "," 	909,070 "," 	762,671 "," 	532,317 "," 	1,326,879 "
,2011-12,AUGUST,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,366 "," 	6,030 "," 	8,396 ", 	672 ," 	4,123 "," 	4,795 ", 	- 0," 	1,869 "," 	1,497 "," 	1,940 "," 	1,496 "," 	1,938 "," 	2,022 "," 	5,715 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	766 ," 	3,306 "," 	4,072 ", 	149 ," 	1,177 "," 	1,326 ", 	156 ," 	2,909 "," 	5,038 "," 	4,300 "," 	4,872 "," 	4,173 "," 	3,865 "," 	8,772 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	595 ," 	2,805 "," 	3,400 ", 	84 , 	903 , 	987 , 	147 ," 	2,563 "," 	4,532 "," 	4,085 "," 	4,339 "," 	3,892 "," 	2,973 "," 	7,373 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	247 , 	942 ," 	1,189 ", 	34 , 	286 , 	320 , 	9 , 	881 ," 	1,357 "," 	1,221 "," 	1,291 "," 	1,171 ", 	978 ," 	1,826 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	501 ," 	2,141 "," 	2,642 ", 	68 , 	687 , 	755 , 	53 ," 	1,609 "," 	2,947 "," 	2,772 "," 	2,894 "," 	2,740 "," 	1,578 "," 	4,026 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	333 , 	924 ," 	1,257 ", 	32 , 	189 , 	221 , 	3 ," 	1,038 "," 	1,537 "," 	1,221 "," 	1,492 "," 	1,217 "," 	1,192 "," 	2,565 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	623 ," 	2,632 "," 	3,255 ", 	131 , 	917 ," 	1,048 ", 	583 ," 	2,173 "," 	4,518 "," 	3,499 "," 	4,364 "," 	3,387 "," 	2,255 "," 	6,140 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	465 ," 	2,034 "," 	2,499 ", 	65 , 	796 , 	861 , 	54 ," 	1,537 "," 	3,429 "," 	2,859 "," 	3,273 "," 	2,716 "," 	2,923 "," 	5,423 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	880 ," 	3,543 "," 	4,423 ", 	158 ," 	1,188 "," 	1,346 ", 	88 ," 	2,725 "," 	5,858 "," 	4,287 "," 	5,758 "," 	4,238 "," 	5,161 "," 	8,499 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	320 ," 	1,458 "," 	1,778 ", 	84 , 	712 , 	796 , 	126 ," 	1,478 "," 	2,295 "," 	1,878 "," 	2,157 "," 	1,780 "," 	1,489 "," 	3,191 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,613 "," 	5,811 "," 	7,424 ", 	250 ," 	1,882 "," 	2,132 ", 	40 ," 	5,027 "," 	9,763 "," 	7,751 "," 	9,321 "," 	7,592 "," 	5,959 "," 	14,007 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	430 ," 	1,436 "," 	1,866 ", 	94 , 	699 , 	793 , 	155 ," 	1,245 "," 	2,009 "," 	1,859 "," 	1,897 "," 	1,794 "," 	1,237 "," 	3,028 "
,2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	928 ," 	4,093 "," 	5,021 ", 	130 ," 	1,306 "," 	1,436 ", 	129 ," 	3,549 "," 	5,873 "," 	5,384 "," 	5,813 "," 	5,342 "," 	3,752 "," 	9,383 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	689 ," 	2,079 "," 	2,768 ", 	112 , 	606 , 	718 , 	16 ," 	2,814 "," 	4,686 "," 	4,000 "," 	4,447 "," 	3,799 "," 	3,165 "," 	6,082 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	816 ," 	2,623 "," 	3,439 ", 	175 , 	631 , 	806 , 	35 ," 	3,079 "," 	5,894 "," 	4,712 "," 	5,732 "," 	4,599 "," 	3,947 "," 	7,407 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	812 ," 	3,520 "," 	4,332 ", 	92 ," 	1,250 "," 	1,342 ", 	170 ," 	3,191 "," 	6,011 "," 	5,059 "," 	5,934 "," 	4,993 "," 	3,630 "," 	8,434 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	335 ," 	1,786 "," 	2,121 ", 	37 , 	405 , 	442 , 	- 0," 	1,759 "," 	2,925 "," 	2,176 "," 	2,783 "," 	2,048 "," 	2,098 "," 	4,539 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	702 ," 	2,200 "," 	2,902 ", 	109 , 	572 , 	681 , 	3 ," 	2,415 "," 	6,271 "," 	4,870 "," 	5,837 "," 	4,514 "," 	3,061 "," 	7,343 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	483 ," 	1,585 "," 	2,068 ", 	63 , 	359 , 	422 , 	- 0," 	1,941 "," 	2,545 "," 	2,362 "," 	2,526 "," 	2,344 "," 	1,807 "," 	4,232 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	406 ," 	1,512 "," 	1,918 ", 	70 , 	313 , 	383 , 	29 ," 	1,894 "," 	3,902 "," 	3,148 "," 	3,761 "," 	2,999 "," 	2,028 "," 	5,254 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	611 ," 	2,039 "," 	2,650 ", 	79 , 	683 , 	762 , 	10 ," 	2,504 "," 	3,710 "," 	3,301 "," 	3,425 "," 	3,010 "," 	2,313 "," 	5,664 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	530 ," 	2,081 "," 	2,611 ", 	73 , 	694 , 	767 , 	4 ," 	1,700 "," 	2,858 "," 	2,502 "," 	2,794 "," 	2,448 "," 	1,914 "," 	4,845 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	569 ," 	2,060 "," 	2,629 ", 	68 , 	421 , 	489 , 	20 ," 	2,333 "," 	4,512 "," 	3,700 "," 	4,372 "," 	3,596 "," 	3,468 "," 	6,989 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,422 "," 	4,684 "," 	6,106 ", 	213 ," 	1,317 "," 	1,530 ", 	115 ," 	4,395 "," 	9,946 "," 	8,166 "," 	9,714 "," 	7,873 "," 	3,099 "," 	11,730 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	792 ," 	3,905 "," 	4,697 ", 	96 ," 	1,095 "," 	1,191 ", 	12 ," 	3,079 "," 	6,008 "," 	5,198 "," 	5,875 "," 	5,063 "," 	3,702 "," 	8,448 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,248 "," 	5,626 "," 	6,874 ", 	206 ," 	1,411 "," 	1,617 ", 	432 ," 	4,141 "," 	9,568 "," 	8,860 "," 	9,106 "," 	8,539 "," 	4,447 "," 	12,759 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT, 	966 ," 	3,673 "," 	4,639 ", 	156 , 	820 , 	976 , 	2 ," 	3,481 "," 	7,871 "," 	7,038 "," 	7,297 "," 	6,515 "," 	2,317 "," 	10,281 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	745 ," 	3,130 "," 	3,875 ", 	112 , 	850 , 	962 , 	517 ," 	2,806 "," 	5,990 "," 	4,826 "," 	5,732 "," 	4,577 "," 	3,406 "," 	8,175 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	859 ," 	3,284 "," 	4,143 ", 	157 , 	773 , 	930 , 	107 ," 	3,433 "," 	5,510 "," 	4,863 "," 	5,142 "," 	4,553 "," 	3,645 "," 	8,159 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,068 "," 	4,241 "," 	5,309 ", 	235 ," 	1,290 "," 	1,525 ", 	195 ," 	4,786 "," 	10,682 "," 	8,149 "," 	10,109 "," 	7,560 "," 	8,209 "," 	16,850 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	864 ," 	2,865 "," 	3,729 ", 	108 , 	575 , 	683 , 	12 ," 	3,414 "," 	5,631 "," 	5,141 "," 	5,380 "," 	4,899 "," 	2,916 "," 	8,118 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	694 ," 	2,677 "," 	3,371 ", 	144 , 	771 , 	915 , 	81 ," 	2,190 "," 	4,812 "," 	3,800 "," 	4,709 "," 	3,726 "," 	4,351 "," 	6,681 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	959 ," 	3,886 "," 	4,845 ", 	118 , 	712 , 	830 ," 	1,516 "," 	3,310 "," 	6,836 "," 	6,305 "," 	6,781 "," 	6,243 "," 	4,584 "," 	11,926 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	629 ," 	2,303 "," 	2,932 ", 	76 , 	819 , 	895 , 	4 ," 	2,327 "," 	4,063 "," 	3,349 "," 	3,873 "," 	3,148 "," 	2,543 "," 	6,135 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	607 ," 	2,366 "," 	2,973 ", 	129 , 	804 , 	933 , 	135 ," 	1,724 "," 	5,218 "," 	4,154 "," 	5,185 "," 	4,112 "," 	2,682 "," 	6,677 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,327 "," 	4,282 "," 	5,609 ", 	216 ," 	1,428 "," 	1,644 ", 	189 ," 	5,111 "," 	9,949 "," 	7,866 "," 	9,575 "," 	7,504 "," 	8,754 "," 	15,216 "
,2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	381 ," 	1,409 "," 	1,790 ", 	80 , 	292 , 	372 , 	- 0," 	1,565 "," 	3,130 "," 	2,890 "," 	2,946 "," 	2,718 ", 	797 ," 	4,130 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	497 ," 	1,713 "," 	2,210 ", 	127 , 	513 , 	640 , 	71 ," 	1,299 "," 	2,515 "," 	2,170 "," 	2,416 "," 	2,115 "," 	2,145 "," 	4,524 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	673 ," 	2,767 "," 	3,440 ", 	56 , 	756 , 	812 , 	- 0," 	2,618 "," 	4,525 "," 	4,159 "," 	4,456 "," 	4,076 "," 	2,286 "," 	7,328 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	533 ," 	1,804 "," 	2,337 ", 	88 , 	672 , 	760 , 	- 0," 	2,034 "," 	3,798 "," 	2,853 "," 	3,750 "," 	2,806 "," 	1,066 "," 	5,190 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	560 ," 	2,883 "," 	3,443 ", 	77 , 	515 , 	592 , 	- 0," 	2,405 "," 	5,100 "," 	4,251 "," 	5,047 "," 	4,210 "," 	2,809 "," 	7,348 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,862 "," 	5,873 "," 	7,735 ", 	360 ," 	1,114 "," 	1,474 ", 	3 ," 	7,779 "," 	13,836 "," 	10,999 "," 	13,714 "," 	10,260 "," 	9,133 "," 	18,220 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,092 "," 	3,510 "," 	4,602 ", 	243 ," 	1,076 "," 	1,319 ", 	- 0," 	3,571 "," 	7,547 "," 	5,859 "," 	7,146 "," 	5,582 "," 	3,064 "," 	9,228 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,056 "," 	3,279 "," 	4,335 ", 	206 ," 	1,151 "," 	1,357 ", 	14 ," 	3,220 "," 	6,723 "," 	5,354 "," 	6,412 "," 	5,003 "," 	3,745 "," 	7,844 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,260 "," 	4,701 "," 	5,961 ", 	249 ," 	1,056 "," 	1,305 ", 	- 0," 	4,718 "," 	9,530 "," 	8,046 "," 	8,881 "," 	7,411 "," 	5,504 "," 	15,906 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	716 ," 	2,563 "," 	3,279 ", 	94 , 	827 , 	921 , 	15 ," 	2,977 "," 	5,630 "," 	5,345 "," 	5,608 "," 	5,320 "," 	2,979 "," 	9,072 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,929 "," 	7,799 "," 	9,728 ", 	337 ," 	3,069 "," 	3,406 ", 	205 ," 	6,504 "," 	14,505 "," 	11,712 "," 	14,114 "," 	11,520 "," 	6,656 "," 	17,384 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	898 ," 	3,702 "," 	4,600 ", 	135 ," 	1,373 "," 	1,508 ", 	322 ," 	2,405 "," 	6,298 "," 	5,351 "," 	6,240 "," 	5,278 "," 	1,856 "," 	7,404 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	794 ," 	3,084 "," 	3,878 ", 	107 ," 	1,018 "," 	1,125 ", 	3 ," 	2,733 "," 	5,729 "," 	4,788 "," 	5,577 "," 	4,647 "," 	1,357 "," 	6,694 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,284 "," 	5,113 "," 	6,397 ", 	222 ," 	1,777 "," 	1,999 ", 	1 ," 	5,650 "," 	8,344 "," 	6,183 "," 	8,085 "," 	5,692 "," 	5,816 "," 	10,993 "
,2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	469 ," 	1,670 "," 	2,139 ", 	98 , 	624 , 	722 , 	4 ," 	1,187 "," 	2,554 "," 	2,077 "," 	2,405 "," 	1,881 "," 	1,555 "," 	3,810 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	675 ," 	2,158 "," 	2,833 ", 	106 , 	842 , 	948 , 	3 ," 	2,832 "," 	4,094 "," 	3,460 "," 	3,965 "," 	3,347 "," 	1,716 "," 	6,050 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	273 ," 	1,001 "," 	1,274 ", 	36 , 	287 , 	323 , 	- 0, 	927 ," 	1,788 "," 	1,786 "," 	1,741 "," 	1,692 ", 	884 ," 	3,044 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,491 "," 	6,924 "," 	8,415 ", 	166 ," 	2,088 "," 	2,254 ", 	213 ," 	6,285 "," 	11,391 "," 	10,252 "," 	10,970 "," 	9,911 "," 	5,512 "," 	15,558 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	586 ," 	2,454 "," 	3,040 ", 	106 , 	957 ," 	1,063 ", 	19 ," 	2,842 "," 	3,890 "," 	3,022 "," 	3,828 "," 	2,978 "," 	1,362 "," 	5,165 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,621 "," 	5,722 "," 	7,343 ", 	181 ," 	1,911 "," 	2,092 ", 	29 ," 	5,416 "," 	9,712 "," 	9,278 "," 	9,498 "," 	9,077 "," 	3,938 "," 	14,113 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,189 "," 	8,430 "," 	10,619 ", 	324 ," 	3,230 "," 	3,554 ", 	174 ," 	5,967 "," 	14,951 "," 	13,031 "," 	14,346 "," 	12,327 "," 	6,157 "," 	18,112 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,402 "," 	5,797 "," 	7,199 ", 	230 ," 	2,413 "," 	2,643 ", 	8 ," 	4,366 "," 	10,280 "," 	7,852 "," 	10,196 "," 	7,798 "," 	6,484 "," 	13,228 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	585 ," 	2,397 "," 	2,982 ", 	122 , 	979 ," 	1,101 ", 	1 ," 	2,543 "," 	5,310 "," 	3,944 "," 	5,308 "," 	3,942 "," 	3,368 "," 	6,756 "
,2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,710 "," 	6,665 "," 	8,375 ", 	359 ," 	2,189 "," 	2,548 ", 	37 ," 	5,209 "," 	9,100 "," 	8,421 "," 	8,949 "," 	8,277 "," 	5,685 "," 	12,294 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	545 ," 	1,460 "," 	2,005 ", 	160 , 	553 , 	713 , 	15 ," 	1,269 "," 	2,591 "," 	2,716 "," 	2,556 "," 	2,669 "," 	1,480 "," 	3,966 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	970 ," 	2,515 "," 	3,485 ", 	241 , 	578 , 	819 , 	214 ," 	3,157 "," 	7,559 "," 	6,788 "," 	6,197 "," 	5,588 "," 	3,949 "," 	9,937 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	671 ," 	2,770 "," 	3,441 ", 	134 ," 	1,079 "," 	1,213 ", 	57 ," 	2,098 "," 	4,894 "," 	3,870 "," 	4,850 "," 	3,790 "," 	3,403 "," 	7,631 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	586 ," 	2,401 "," 	2,987 ", 	134 , 	909 ," 	1,043 ", 	53 ," 	2,041 "," 	5,641 "," 	4,366 "," 	5,256 "," 	4,019 "," 	2,470 "," 	7,598 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	836 ," 	2,977 "," 	3,813 ", 	71 ," 	1,070 "," 	1,141 ", 	3 ," 	2,647 "," 	5,235 "," 	4,457 "," 	5,115 "," 	4,359 "," 	4,484 "," 	8,170 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	366 ," 	1,473 "," 	1,839 ", 	43 , 	503 , 	546 , 	6 ," 	1,212 "," 	2,693 "," 	1,377 "," 	2,675 "," 	1,364 "," 	2,015 "," 	4,191 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	589 ," 	2,313 "," 	2,902 ", 	90 ," 	1,043 "," 	1,133 ", 	11 ," 	2,125 "," 	5,365 "," 	4,826 "," 	4,907 "," 	4,043 "," 	2,257 "," 	7,087 "
,2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	551 ," 	1,667 "," 	2,218 ", 	116 , 	342 , 	458 , 	468 ," 	2,490 "," 	5,690 "," 	4,543 "," 	4,825 "," 	3,467 "," 	3,899 "," 	7,447 "
