,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,FEBRUARY,,,,England," 	129,306 "," 	495,177 "," 	624,483 "," 	19,835 "," 	152,909 "," 	172,744 "," 	21,725 "," 	446,044 "," 	961,608 "," 	792,234 "," 	914,764 "," 	751,521 "," 	536,553 "," 	1,314,131 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	264 , 	927 ," 	1,191 ", 	34 , 	241 , 	275 , 	8 , 	980 ," 	1,474 "," 	1,236 "," 	1,421 "," 	1,185 ", 	758 ," 	1,841 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	436 ," 	1,993 "," 	2,429 ", 	56 , 	631 , 	687 , 	50 ," 	1,673 "," 	3,000 "," 	2,506 "," 	2,963 "," 	2,475 "," 	1,406 "," 	3,791 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	262 ," 	1,083 "," 	1,345 ", 	28 , 	202 , 	230 , 	2 ," 	1,106 "," 	1,589 "," 	1,256 "," 	1,583 "," 	1,252 "," 	1,237 "," 	2,782 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	640 ," 	2,699 "," 	3,339 ", 	142 , 	997 ," 	1,139 ", 	594 ," 	2,214 "," 	4,178 "," 	3,434 "," 	4,044 "," 	3,332 "," 	2,157 "," 	5,978 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	498 ," 	2,039 "," 	2,537 ", 	57 , 	689 , 	746 , 	52 ," 	1,481 "," 	3,388 "," 	2,540 "," 	3,219 "," 	2,372 "," 	2,875 "," 	5,198 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	958 ," 	3,621 "," 	4,579 ", 	184 ," 	1,085 "," 	1,269 ", 	119 ," 	2,983 "," 	5,703 "," 	4,311 "," 	5,605 "," 	4,285 "," 	4,624 "," 	8,123 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	323 ," 	1,482 "," 	1,805 ", 	86 , 	737 , 	823 , 	118 ," 	1,627 "," 	2,172 "," 	1,831 "," 	2,040 "," 	1,727 "," 	1,425 "," 	3,150 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,449 "," 	6,250 "," 	7,699 ", 	202 ," 	1,982 "," 	2,184 ", 	76 ," 	5,348 "," 	10,012 "," 	7,855 "," 	9,769 "," 	7,660 "," 	5,973 "," 	14,241 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	348 ," 	1,432 "," 	1,780 ", 	67 , 	706 , 	773 , 	164 ," 	1,317 "," 	2,030 "," 	1,809 "," 	1,933 "," 	1,722 "," 	1,198 "," 	2,938 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	932 ," 	4,256 "," 	5,188 ", 	75 ," 	1,314 "," 	1,389 ", 	119 ," 	3,450 "," 	5,883 "," 	5,024 "," 	5,803 "," 	4,962 "," 	3,759 "," 	8,874 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	649 ," 	2,319 "," 	2,968 ", 	83 , 	688 , 	771 , 	17 ," 	2,806 "," 	5,119 "," 	4,246 "," 	4,925 "," 	4,044 "," 	3,345 "," 	6,374 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	796 ," 	2,805 "," 	3,601 ", 	165 , 	742 , 	907 , 	58 ," 	3,229 "," 	6,107 "," 	5,042 "," 	5,979 "," 	4,904 "," 	3,870 "," 	7,684 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	784 ," 	3,592 "," 	4,376 ", 	121 ," 	1,356 "," 	1,477 ", 	5 ," 	2,934 "," 	6,139 "," 	5,140 "," 	6,049 "," 	5,057 "," 	3,402 "," 	8,521 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	321 ," 	2,057 "," 	2,378 ", 	37 , 	530 , 	567 , 	2 ," 	1,805 "," 	3,065 "," 	2,270 "," 	2,884 "," 	2,156 "," 	2,285 "," 	4,707 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	706 ," 	2,340 "," 	3,046 ", 	101 , 	544 , 	645 , 	3 ," 	2,989 "," 	6,123 "," 	5,165 "," 	5,723 "," 	4,852 "," 	3,588 "," 	7,961 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	500 ," 	1,796 "," 	2,296 ", 	61 , 	500 , 	561 , 	8 ," 	2,030 "," 	2,857 "," 	2,477 "," 	2,842 "," 	2,459 "," 	1,860 "," 	4,309 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	453 ," 	1,801 "," 	2,254 ", 	64 , 	423 , 	487 , 	42 ," 	1,711 "," 	4,128 "," 	3,216 "," 	4,081 "," 	3,159 "," 	2,196 "," 	5,357 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	647 ," 	2,062 "," 	2,709 ", 	75 , 	726 , 	801 , 	6 ," 	2,468 "," 	3,546 "," 	2,965 "," 	3,529 "," 	2,957 "," 	2,500 "," 	5,527 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	553 ," 	1,953 "," 	2,506 ", 	74 , 	771 , 	845 , 	5 ," 	1,835 "," 	3,270 "," 	2,470 "," 	3,173 "," 	2,417 "," 	2,132 "," 	4,629 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	531 ," 	2,150 "," 	2,681 ", 	64 , 	561 , 	625 , 	24 ," 	2,399 "," 	4,726 "," 	3,986 "," 	4,592 "," 	3,870 "," 	3,178 "," 	7,021 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,584 "," 	4,882 "," 	6,466 ", 	215 ," 	1,291 "," 	1,506 ", 	75 ," 	4,290 "," 	9,640 "," 	7,640 "," 	9,495 "," 	7,501 "," 	3,158 "," 	11,737 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	850 ," 	4,262 "," 	5,112 ", 	107 ," 	1,203 "," 	1,310 ", 	5 ," 	3,261 "," 	6,094 "," 	4,937 "," 	5,943 "," 	4,821 "," 	3,768 "," 	8,381 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,290 "," 	5,583 "," 	6,873 ", 	171 ," 	1,424 "," 	1,595 ", 	478 ," 	4,915 "," 	10,265 "," 	8,714 "," 	9,738 "," 	8,319 "," 	4,447 "," 	12,674 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,056 "," 	3,806 "," 	4,862 ", 	163 , 	879 ," 	1,042 ", 	4 ," 	3,731 "," 	7,984 "," 	6,841 "," 	7,352 "," 	6,285 "," 	2,333 "," 	10,117 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	832 ," 	3,403 "," 	4,235 ", 	116 , 	895 ," 	1,011 ", 	596 ," 	2,804 "," 	5,927 "," 	4,787 "," 	5,795 "," 	4,638 "," 	3,377 "," 	8,105 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	864 ," 	3,668 "," 	4,532 ", 	118 , 	946 ," 	1,064 ", 	104 ," 	3,502 "," 	5,760 "," 	4,707 "," 	5,391 "," 	4,446 "," 	3,470 "," 	7,949 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,200 "," 	4,448 "," 	5,648 ", 	203 ," 	1,453 "," 	1,656 ", 	269 ," 	4,631 "," 	9,799 "," 	8,139 "," 	9,755 "," 	7,964 "," 	8,520 "," 	17,177 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	909 ," 	3,149 "," 	4,058 ", 	101 , 	741 , 	842 , 	13 ," 	3,402 "," 	5,906 "," 	4,745 "," 	5,733 "," 	4,565 "," 	3,157 "," 	7,854 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	639 ," 	2,798 "," 	3,437 ", 	108 , 	723 , 	831 , 	79 ," 	2,274 "," 	4,752 "," 	3,830 "," 	4,645 "," 	3,743 "," 	4,303 "," 	6,589 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	990 ," 	3,982 "," 	4,972 ", 	151 , 	679 , 	830 ," 	1,542 "," 	3,701 "," 	6,825 "," 	6,196 "," 	6,800 "," 	6,154 "," 	4,265 "," 	11,327 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	673 ," 	2,378 "," 	3,051 ", 	95 ," 	1,016 "," 	1,111 ", 	1 ," 	2,423 "," 	4,196 "," 	3,555 "," 	4,024 "," 	3,399 "," 	2,390 "," 	6,175 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	613 ," 	2,558 "," 	3,171 ", 	96 , 	875 , 	971 , 	145 ," 	1,752 "," 	5,332 "," 	4,080 "," 	5,289 "," 	4,036 "," 	2,403 "," 	6,567 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,278 "," 	4,420 "," 	5,698 ", 	238 ," 	1,681 "," 	1,919 ", 	233 ," 	5,136 "," 	10,206 "," 	7,764 "," 	9,850 "," 	7,421 "," 	8,159 "," 	14,478 "
,2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	386 ," 	1,536 "," 	1,922 ", 	63 , 	308 , 	371 , 	1 ," 	1,714 "," 	3,104 "," 	2,661 "," 	2,926 "," 	2,477 "," 	1,057 "," 	4,204 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	515 ," 	1,753 "," 	2,268 ", 	121 , 	559 , 	680 , 	118 ," 	1,389 "," 	2,508 "," 	1,974 "," 	2,441 "," 	1,901 "," 	1,984 "," 	4,389 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	647 ," 	2,723 "," 	3,370 ", 	61 , 	687 , 	748 , 	- 0," 	2,527 "," 	4,593 "," 	3,825 "," 	4,521 "," 	3,764 "," 	2,513 "," 	6,805 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	555 ," 	1,910 "," 	2,465 ", 	105 , 	728 , 	833 , 	- 0," 	2,075 "," 	3,609 "," 	2,797 "," 	3,556 "," 	2,759 "," 	1,024 "," 	4,823 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	567 ," 	2,825 "," 	3,392 ", 	70 , 	532 , 	602 , 	2 ," 	2,368 "," 	5,249 "," 	4,179 "," 	5,214 "," 	4,146 "," 	2,656 "," 	7,183 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,924 "," 	6,153 "," 	8,077 ", 	410 ," 	1,296 "," 	1,706 ", 	8 ," 	6,833 "," 	13,654 "," 	10,280 "," 	13,536 "," 	10,081 "," 	9,602 "," 	18,117 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,016 "," 	3,646 "," 	4,662 ", 	219 ," 	1,156 "," 	1,375 ", 	1 ," 	3,748 "," 	6,840 "," 	5,637 "," 	6,640 "," 	5,432 "," 	2,840 "," 	9,110 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	999 ," 	3,631 "," 	4,630 ", 	265 ," 	1,081 "," 	1,346 ", 	18 ," 	3,356 "," 	6,562 "," 	5,607 "," 	6,367 "," 	5,201 "," 	3,604 "," 	8,074 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,151 "," 	5,177 "," 	6,328 ", 	205 ," 	1,274 "," 	1,479 ", 	1 ," 	4,755 "," 	9,410 "," 	8,017 "," 	8,708 "," 	7,271 "," 	5,870 "," 	16,722 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	693 ," 	2,813 "," 	3,506 ", 	78 , 	844 , 	922 , 	17 ," 	3,284 "," 	5,621 "," 	5,022 "," 	5,583 "," 	5,004 "," 	2,872 "," 	8,636 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,946 "," 	8,234 "," 	10,180 ", 	399 ," 	3,065 "," 	3,464 ", 	190 ," 	6,847 "," 	14,555 "," 	11,583 "," 	14,196 "," 	11,427 "," 	7,460 "," 	17,579 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	916 ," 	3,742 "," 	4,658 ", 	112 ," 	1,326 "," 	1,438 ", 	307 ," 	2,667 "," 	6,604 "," 	5,257 "," 	6,556 "," 	5,213 "," 	1,889 "," 	7,470 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	742 ," 	2,948 "," 	3,690 ", 	117 , 	994 ," 	1,111 ", 	2 ," 	2,698 "," 	5,124 "," 	4,465 "," 	5,007 "," 	4,351 "," 	1,237 "," 	6,281 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,246 "," 	5,248 "," 	6,494 ", 	252 ," 	1,822 "," 	2,074 ", 	- 0," 	5,726 "," 	8,058 "," 	5,864 "," 	7,663 "," 	5,430 "," 	5,993 "," 	11,147 "
,2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	484 ," 	1,581 "," 	2,065 ", 	98 , 	607 , 	705 , 	5 ," 	1,209 "," 	2,606 "," 	1,867 "," 	2,428 "," 	1,694 "," 	1,646 "," 	3,956 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	632 ," 	2,276 "," 	2,908 ", 	117 , 	890 ," 	1,007 ", 	10 ," 	2,843 "," 	4,123 "," 	3,689 "," 	4,024 "," 	3,571 "," 	1,822 "," 	6,225 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	283 , 	979 ," 	1,262 ", 	33 , 	286 , 	319 , 	- 0, 	943 ," 	2,064 "," 	1,974 "," 	1,964 "," 	1,892 ", 	737 ," 	3,087 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,552 "," 	6,877 "," 	8,429 ", 	191 ," 	2,279 "," 	2,470 ", 	203 ," 	6,313 "," 	11,023 "," 	9,194 "," 	10,638 "," 	8,926 "," 	5,352 "," 	14,487 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	610 ," 	2,605 "," 	3,215 ", 	101 ," 	1,002 "," 	1,103 ", 	6 ," 	2,673 "," 	4,158 "," 	3,077 "," 	4,117 "," 	3,043 "," 	1,335 "," 	5,054 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,541 "," 	6,027 "," 	7,568 ", 	163 ," 	2,011 "," 	2,174 ", 	37 ," 	5,645 "," 	9,472 "," 	8,541 "," 	9,306 "," 	8,362 "," 	3,873 "," 	13,146 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,046 "," 	8,320 "," 	10,366 ", 	283 ," 	3,261 "," 	3,544 ", 	170 ," 	6,285 "," 	14,859 "," 	12,412 "," 	14,240 "," 	11,711 "," 	5,684 "," 	17,589 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,471 "," 	6,026 "," 	7,497 ", 	198 ," 	2,341 "," 	2,539 ", 	3 ," 	4,575 "," 	10,021 "," 	7,464 "," 	9,940 "," 	7,411 "," 	6,976 "," 	13,027 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	625 ," 	2,582 "," 	3,207 ", 	114 , 	979 ," 	1,093 ", 	- 0," 	2,668 "," 	4,981 "," 	3,735 "," 	4,979 "," 	3,732 "," 	4,077 "," 	6,537 "
,2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,595 "," 	6,892 "," 	8,487 ", 	237 ," 	2,277 "," 	2,514 ", 	45 ," 	4,962 "," 	8,990 "," 	8,395 "," 	8,833 "," 	8,246 "," 	5,259 "," 	12,987 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	597 ," 	1,488 "," 	2,085 ", 	118 , 	548 , 	666 , 	21 ," 	1,312 "," 	2,566 "," 	2,610 "," 	2,505 "," 	2,600 "," 	1,404 "," 	3,854 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	946 ," 	2,826 "," 	3,772 ", 	149 , 	707 , 	856 , 	229 ," 	2,986 "," 	8,125 "," 	6,940 "," 	6,415 "," 	5,626 "," 	3,894 "," 	9,730 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	728 ," 	2,932 "," 	3,660 ", 	110 ," 	1,106 "," 	1,216 ", 	54 ," 	2,345 "," 	5,333 "," 	3,470 "," 	5,184 "," 	3,372 "," 	3,950 "," 	7,732 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	580 ," 	2,820 "," 	3,400 ", 	75 ," 	1,031 "," 	1,106 ", 	44 ," 	2,072 "," 	5,614 "," 	4,131 "," 	5,189 "," 	3,714 "," 	2,563 "," 	7,258 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	808 ," 	3,156 "," 	3,964 ", 	60 ," 	1,110 "," 	1,170 ", 	6 ," 	2,817 "," 	5,484 "," 	4,360 "," 	5,387 "," 	4,284 "," 	4,663 "," 	8,337 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	411 ," 	1,542 "," 	1,953 ", 	67 , 	544 , 	611 , 	4 ," 	1,321 "," 	2,956 "," 	1,494 "," 	2,941 "," 	1,483 "," 	2,839 "," 	4,634 "
,2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	578 ," 	2,433 "," 	3,011 ", 	111 ," 	1,101 "," 	1,212 ", 	17 ," 	2,272 "," 	5,349 "," 	5,143 "," 	4,821 "," 	4,167 "," 	2,499 "," 	7,384 "
