,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,SEPTEMBER,,,,England," 	136,743 "," 	480,977 "," 	617,718 "," 	21,884 "," 	147,774 "," 	169,658 "," 	23,829 "," 	449,293 "," 	1,001,854 "," 	873,209 "," 	947,148 "," 	827,326 "," 	525,634 "," 	1,409,958 "
,2010-11,SEPTEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,410 "," 	53,422 "," 	67,832 "," 	2,564 "," 	19,662 "," 	22,226 ", 	750 ," 	42,180 "," 	90,841 "," 	82,329 "," 	88,582 "," 	80,689 "," 	45,176 "," 	132,829 "
,2010-11,SEPTEMBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,283 "," 	5,293 "," 	7,576 ", 	601 ," 	3,780 "," 	4,381 ", 	- 0," 	1,738 ", 	959 ," 	1,809 ", 	959 ," 	1,809 "," 	1,863 "," 	5,603 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	897 ," 	2,887 "," 	3,784 ", 	183 , 	993 ," 	1,176 ", 	107 ," 	2,915 "," 	4,998 "," 	4,615 "," 	4,782 "," 	4,414 "," 	4,550 "," 	8,793 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	708 ," 	2,474 "," 	3,182 ", 	92 , 	796 , 	888 , 	106 ," 	2,453 "," 	4,234 "," 	4,195 "," 	4,015 "," 	4,027 "," 	2,799 "," 	7,146 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	269 , 	938 ," 	1,207 ", 	22 , 	255 , 	277 , 	11 ," 	1,003 "," 	1,586 "," 	1,314 "," 	1,509 "," 	1,250 ", 	987 ," 	2,094 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	538 ," 	2,112 "," 	2,650 ", 	60 , 	673 , 	733 , 	79 ," 	1,771 "," 	3,456 "," 	2,913 "," 	3,416 "," 	2,885 "," 	1,702 "," 	4,690 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	257 , 	945 ," 	1,202 ", 	40 , 	215 , 	255 , 	6 ," 	1,058 "," 	1,950 "," 	1,421 "," 	1,945 "," 	1,417 "," 	1,298 "," 	3,061 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	666 ," 	1,798 "," 	2,464 ", 	139 , 	430 , 	569 , 	460 ," 	2,116 "," 	4,371 "," 	3,829 "," 	4,236 "," 	3,692 "," 	2,458 "," 	6,418 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	454 ," 	1,922 "," 	2,376 ", 	55 , 	645 , 	700 , 	50 ," 	1,594 "," 	3,591 "," 	2,995 "," 	3,424 "," 	2,818 "," 	2,507 "," 	5,364 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	989 ," 	3,191 "," 	4,180 ", 	188 , 	895 ," 	1,083 ", 	85 ," 	2,866 "," 	5,770 "," 	4,556 "," 	5,668 "," 	4,512 "," 	4,973 "," 	8,437 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	370 ," 	1,469 "," 	1,839 ", 	74 , 	680 , 	754 , 	135 ," 	1,802 "," 	2,435 "," 	2,068 "," 	2,277 "," 	1,959 "," 	1,547 "," 	3,422 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,517 "," 	5,872 "," 	7,389 ", 	200 ," 	1,882 "," 	2,082 ", 	50 ," 	5,135 "," 	9,528 "," 	8,258 "," 	9,216 "," 	8,012 "," 	6,020 "," 	15,029 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	347 ," 	1,385 "," 	1,732 ", 	85 , 	662 , 	747 , 	119 ," 	1,467 "," 	2,291 "," 	1,915 "," 	2,167 "," 	1,851 "," 	1,264 "," 	3,087 "
,2010-11,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,032 "," 	3,859 "," 	4,891 ", 	112 ," 	1,213 "," 	1,325 ", 	125 ," 	3,409 "," 	6,070 "," 	5,804 "," 	5,998 "," 	5,752 "," 	3,461 "," 	9,503 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	647 ," 	2,007 "," 	2,654 ", 	106 , 	702 , 	808 , 	17 ," 	2,748 "," 	5,036 "," 	3,965 "," 	4,882 "," 	3,780 "," 	3,186 "," 	6,113 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	909 ," 	2,467 "," 	3,376 ", 	222 , 	638 , 	860 , 	37 ," 	2,954 "," 	5,677 "," 	4,817 "," 	5,528 "," 	4,696 "," 	4,189 "," 	7,909 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	980 ," 	3,296 "," 	4,276 ", 	157 ," 	1,251 "," 	1,408 ", 	130 ," 	3,065 "," 	6,448 "," 	5,727 "," 	6,366 "," 	5,645 "," 	3,949 "," 	9,369 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	374 ," 	2,053 "," 	2,427 ", 	38 , 	412 , 	450 , 	1 ," 	1,804 "," 	3,124 "," 	2,697 "," 	2,903 "," 	2,522 "," 	2,089 "," 	5,173 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	864 ," 	2,066 "," 	2,930 ", 	162 , 	653 , 	815 , 	6 ," 	2,290 "," 	6,023 "," 	5,635 "," 	5,580 "," 	5,283 "," 	2,811 "," 	8,406 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	530 ," 	1,613 "," 	2,143 ", 	49 , 	384 , 	433 , 	90 ," 	2,151 "," 	3,008 "," 	2,727 "," 	2,991 "," 	2,702 "," 	1,826 "," 	4,565 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	420 ," 	1,621 "," 	2,041 ", 	55 , 	360 , 	415 , 	54 ," 	1,977 "," 	4,169 "," 	3,352 "," 	3,953 "," 	3,163 "," 	2,124 "," 	5,259 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	674 ," 	2,293 "," 	2,967 ", 	91 , 	747 , 	838 , 	11 ," 	2,620 "," 	4,401 "," 	3,996 "," 	4,110 "," 	3,678 "," 	2,938 "," 	6,588 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	613 ," 	2,071 "," 	2,684 ", 	101 , 	696 , 	797 , 	6 ," 	1,704 "," 	3,620 "," 	3,342 "," 	3,544 "," 	3,246 "," 	2,130 "," 	5,676 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	621 ," 	2,183 "," 	2,804 ", 	86 , 	479 , 	565 , 	32 ," 	2,146 "," 	4,718 "," 	4,274 "," 	4,538 "," 	3,904 "," 	3,310 "," 	7,254 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,572 "," 	4,667 "," 	6,239 ", 	244 ," 	1,300 "," 	1,544 ", 	111 ," 	4,524 "," 	9,913 "," 	7,853 "," 	9,773 "," 	7,709 "," 	2,986 "," 	11,602 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	938 ," 	3,920 "," 	4,858 ", 	124 ," 	1,037 "," 	1,161 ", 	13 ," 	3,227 "," 	6,552 "," 	5,455 "," 	6,286 "," 	5,227 "," 	3,688 "," 	8,725 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,342 "," 	5,334 "," 	6,676 ", 	209 ," 	1,393 "," 	1,602 ", 	354 ," 	4,284 "," 	10,087 "," 	9,502 "," 	9,520 "," 	9,052 "," 	4,978 "," 	13,828 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,205 "," 	4,056 "," 	5,261 ", 	204 ," 	1,251 "," 	1,455 ", 	1 ," 	3,514 "," 	7,982 "," 	7,361 "," 	7,461 "," 	6,904 "," 	2,199 "," 	10,312 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	780 ," 	3,213 "," 	3,993 ", 	102 ," 	1,060 "," 	1,162 ", 	475 ," 	2,998 "," 	6,006 "," 	5,334 "," 	5,753 "," 	5,069 "," 	3,695 "," 	8,615 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	915 ," 	3,339 "," 	4,254 ", 	95 , 	866 , 	961 , 	169 ," 	3,553 "," 	5,814 "," 	5,377 "," 	5,467 "," 	5,046 "," 	3,191 "," 	8,781 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,144 "," 	4,457 "," 	5,601 ", 	189 ," 	1,161 "," 	1,350 ", 	201 ," 	5,659 "," 	11,016 "," 	9,444 "," 	10,456 "," 	8,819 "," 	8,892 "," 	16,375 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	886 ," 	3,058 "," 	3,944 ", 	86 , 	559 , 	645 , 	98 ," 	3,427 "," 	6,646 "," 	6,007 "," 	6,364 "," 	5,742 "," 	2,963 "," 	9,027 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	803 ," 	2,558 "," 	3,361 ", 	147 , 	518 , 	665 , 	198 ," 	2,271 "," 	4,536 "," 	3,939 "," 	4,428 "," 	3,872 "," 	4,174 "," 	6,956 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,111 "," 	3,783 "," 	4,894 ", 	129 , 	638 , 	767 ," 	1,547 "," 	4,356 "," 	7,819 "," 	6,919 "," 	7,740 "," 	6,817 "," 	4,715 "," 	11,758 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	694 ," 	2,430 "," 	3,124 ", 	124 , 	917 ," 	1,041 ", 	2 ," 	2,321 "," 	4,425 "," 	4,012 "," 	4,117 "," 	3,759 "," 	2,514 "," 	6,520 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	666 ," 	2,432 "," 	3,098 ", 	114 , 	764 , 	878 , 	154 ," 	1,815 "," 	5,522 "," 	4,738 "," 	5,484 "," 	4,629 "," 	2,950 "," 	7,138 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,449 "," 	4,526 "," 	5,975 ", 	267 ," 	1,482 "," 	1,749 ", 	218 ," 	5,756 "," 	10,498 "," 	8,850 "," 	10,070 "," 	8,397 "," 	8,777 "," 	16,031 "
,2010-11,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	507 ," 	1,511 "," 	2,018 ", 	119 , 	427 , 	546 , 	1 ," 	1,578 "," 	2,935 "," 	2,840 "," 	2,778 "," 	2,684 ", 	756 ," 	3,900 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	506 ," 	1,635 "," 	2,141 ", 	111 , 	505 , 	616 , 	90 ," 	1,567 "," 	2,515 "," 	2,239 "," 	2,461 "," 	2,179 "," 	1,625 "," 	4,140 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	675 ," 	2,689 "," 	3,364 ", 	56 , 	708 , 	764 , 	1 ," 	2,604 "," 	5,075 "," 	4,612 "," 	5,026 "," 	4,564 "," 	2,328 "," 	7,798 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	652 ," 	1,672 "," 	2,324 ", 	104 , 	557 , 	661 , 	1 ," 	1,970 "," 	3,800 "," 	3,330 "," 	3,733 "," 	3,283 "," 	1,156 "," 	5,285 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	631 ," 	2,581 "," 	3,212 ", 	79 , 	487 , 	566 , 	2 ," 	2,422 "," 	5,130 "," 	4,459 "," 	5,107 "," 	4,414 "," 	2,523 "," 	7,640 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,902 "," 	5,392 "," 	7,294 ", 	173 , 	927 ," 	1,100 ", 	117 ," 	7,573 "," 	13,203 "," 	11,200 "," 	12,882 "," 	10,631 "," 	9,318 "," 	18,726 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,104 "," 	3,264 "," 	4,368 ", 	207 ," 	1,008 "," 	1,215 ", 	30 ," 	3,527 "," 	7,566 "," 	6,155 "," 	7,115 "," 	6,038 "," 	3,001 "," 	9,775 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,084 "," 	3,189 "," 	4,273 ", 	182 , 	983 ," 	1,165 ", 	289 ," 	3,154 "," 	7,223 "," 	6,241 "," 	6,974 "," 	5,917 "," 	3,153 "," 	8,611 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,377 "," 	4,984 "," 	6,361 ", 	263 ," 	1,243 "," 	1,506 ", 	13 ," 	5,311 "," 	9,982 "," 	8,821 "," 	9,093 "," 	8,043 "," 	6,178 "," 	18,708 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	748 ," 	2,575 "," 	3,323 ", 	85 , 	540 , 	625 , 	27 ," 	2,881 "," 	5,895 "," 	5,529 "," 	5,879 "," 	5,500 "," 	1,997 "," 	9,214 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,042 "," 	7,550 "," 	9,592 ", 	423 ," 	2,838 "," 	3,261 ", 	94 ," 	6,578 "," 	14,692 "," 	12,510 "," 	14,300 "," 	12,250 "," 	6,900 "," 	18,383 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,007 "," 	3,666 "," 	4,673 ", 	97 ," 	1,133 "," 	1,230 ", 	310 ," 	2,544 "," 	6,692 "," 	5,634 "," 	6,602 "," 	5,549 "," 	1,809 "," 	7,768 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	757 ," 	2,823 "," 	3,580 ", 	49 , 	721 , 	770 , 	10 ," 	2,698 "," 	6,120 "," 	4,868 "," 	5,871 "," 	4,654 "," 	1,136 "," 	6,774 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,265 "," 	5,312 "," 	6,577 ", 	215 ," 	1,824 "," 	2,039 ", 	68 ," 	5,565 "," 	7,147 "," 	6,558 "," 	6,673 "," 	5,945 "," 	5,705 "," 	11,787 "
,2010-11,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	475 ," 	1,638 "," 	2,113 ", 	87 , 	549 , 	636 , 	2 ," 	1,267 "," 	2,868 "," 	2,186 "," 	2,657 "," 	2,000 "," 	1,682 "," 	4,357 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	724 ," 	2,134 "," 	2,858 ", 	114 , 	691 , 	805 , 	8 ," 	2,772 "," 	4,941 "," 	4,726 "," 	4,816 "," 	4,636 "," 	1,624 "," 	7,326 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	292 , 	929 ," 	1,219 ", 	36 , 	251 , 	287 , 	1 , 	864 ," 	1,974 "," 	1,913 "," 	1,908 "," 	1,879 ", 	642 ," 	3,019 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,704 "," 	7,085 "," 	8,789 ", 	215 ," 	2,183 "," 	2,398 ", 	348 ," 	6,088 "," 	13,149 "," 	11,626 "," 	12,784 "," 	11,144 "," 	5,340 "," 	18,911 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	716 ," 	2,984 "," 	3,700 ", 	141 , 	986 ," 	1,127 ", 	25 ," 	2,731 "," 	3,864 "," 	3,420 "," 	3,835 "," 	3,293 "," 	1,626 "," 	5,551 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,906 "," 	6,195 "," 	8,101 ", 	244 ," 	1,892 "," 	2,136 ", 	39 ," 	5,225 "," 	10,685 "," 	10,814 "," 	10,495 "," 	10,587 "," 	3,948 "," 	16,511 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,106 "," 	7,976 "," 	10,082 ", 	297 ," 	3,016 "," 	3,313 ", 	217 ," 	6,018 "," 	14,907 "," 	13,379 "," 	14,425 "," 	12,605 "," 	6,138 "," 	18,648 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,487 "," 	5,850 "," 	7,337 ", 	193 ," 	2,242 "," 	2,435 ", 	100 ," 	5,116 "," 	10,711 "," 	8,504 "," 	10,587 "," 	8,383 "," 	7,592 "," 	13,496 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	630 ," 	2,340 "," 	2,970 ", 	114 , 	921 ," 	1,035 ", 	1 ," 	3,257 "," 	5,685 "," 	4,074 "," 	5,682 "," 	4,072 "," 	4,063 "," 	6,393 "
,2010-11,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,849 "," 	6,650 "," 	8,499 ", 	395 ," 	2,190 "," 	2,585 ", 	41 ," 	5,079 "," 	11,550 "," 	10,419 "," 	11,356 "," 	10,248 "," 	5,057 "," 	14,821 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	409 ," 	1,380 "," 	1,789 ", 	55 , 	430 , 	485 , 	22 ," 	1,242 "," 	3,213 "," 	3,096 "," 	3,027 "," 	3,030 "," 	1,540 "," 	4,346 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,047 "," 	2,511 "," 	3,558 ", 	255 , 	568 , 	823 , 	237 ," 	3,256 "," 	8,015 "," 	8,055 "," 	6,402 "," 	6,461 "," 	3,947 "," 	10,967 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	760 ," 	3,146 "," 	3,906 ", 	129 ," 	1,294 "," 	1,423 ", 	53 ," 	2,079 "," 	5,430 "," 	3,747 "," 	4,803 "," 	3,608 "," 	3,810 "," 	8,106 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	529 ," 	2,507 "," 	3,036 ", 	114 , 	954 ," 	1,068 ", 	35 ," 	2,124 "," 	5,364 "," 	4,635 "," 	5,015 "," 	4,223 "," 	2,222 "," 	7,607 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	760 ," 	3,253 "," 	4,013 ", 	92 ," 	1,106 "," 	1,198 ", 	3 ," 	2,768 "," 	6,761 "," 	6,234 "," 	6,642 "," 	6,043 "," 	4,317 "," 	10,029 "
,2010-11,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	358 ," 	1,476 "," 	1,834 ", 	46 , 	474 , 	520 , 	1 ," 	1,197 "," 	2,766 "," 	1,549 "," 	2,408 "," 	1,533 "," 	2,358 "," 	4,754 "
