,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,SEPTEMBER,,,,England," 	134,791 "," 	494,818 "," 	629,609 "," 	22,002 "," 	153,650 "," 	175,652 "," 	21,172 "," 	441,718 "," 	963,623 "," 	839,078 "," 	913,005 "," 	796,256 "," 	546,668 "," 	1,386,015 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	504 ," 	2,226 "," 	2,730 ", 	60 , 	748 , 	808 , 	63 ," 	1,461 "," 	3,412 "," 	2,831 "," 	3,232 "," 	2,672 "," 	2,907 "," 	5,498 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	976 ," 	3,537 "," 	4,513 ", 	193 ," 	1,246 "," 	1,439 ", 	111 ," 	2,751 "," 	5,956 "," 	4,564 "," 	5,832 "," 	4,522 "," 	5,618 "," 	8,589 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	353 ," 	1,503 "," 	1,856 ", 	80 , 	626 , 	706 , 	127 ," 	1,678 "," 	2,333 "," 	2,141 "," 	2,190 "," 	2,028 "," 	1,626 "," 	3,591 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,742 "," 	5,994 "," 	7,736 ", 	256 ," 	1,935 "," 	2,191 ", 	58 ," 	4,985 "," 	10,019 "," 	8,284 "," 	9,521 "," 	8,069 "," 	6,119 "," 	14,655 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	343 ," 	1,363 "," 	1,706 ", 	82 , 	638 , 	720 , 	135 ," 	1,388 "," 	2,078 "," 	1,879 "," 	1,982 "," 	1,806 "," 	1,305 "," 	3,041 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	999 ," 	4,221 "," 	5,220 ", 	129 ," 	1,315 "," 	1,444 ", 	106 ," 	3,589 "," 	5,718 "," 	5,664 "," 	5,629 "," 	5,579 "," 	3,681 "," 	9,787 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	640 ," 	2,134 "," 	2,774 ", 	127 , 	620 , 	747 , 	21 ," 	2,647 "," 	4,727 "," 	4,220 "," 	4,463 "," 	4,003 "," 	3,429 "," 	6,477 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	798 ," 	2,789 "," 	3,587 ", 	179 , 	677 , 	856 , 	48 ," 	3,012 "," 	5,692 "," 	4,727 "," 	5,552 "," 	4,636 "," 	4,082 "," 	7,628 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	833 ," 	3,555 "," 	4,388 ", 	106 ," 	1,246 "," 	1,352 ", 	138 ," 	3,057 "," 	6,166 "," 	5,489 "," 	6,073 "," 	5,423 "," 	3,512 "," 	9,000 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	350 ," 	1,775 "," 	2,125 ", 	44 , 	434 , 	478 , 	- 0," 	1,828 "," 	2,818 "," 	2,276 "," 	2,616 "," 	2,183 "," 	2,075 "," 	4,718 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	733 ," 	2,355 "," 	3,088 ", 	95 , 	540 , 	635 , 	8 ," 	2,483 "," 	6,183 "," 	5,323 "," 	5,689 "," 	4,994 "," 	3,228 "," 	8,116 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	470 ," 	1,863 "," 	2,333 ", 	62 , 	468 , 	530 , 	10 ," 	2,048 "," 	2,820 "," 	2,499 "," 	2,793 "," 	2,481 "," 	1,859 "," 	4,331 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	494 ," 	1,724 "," 	2,218 ", 	69 , 	398 , 	467 , 	25 ," 	1,832 "," 	4,266 "," 	3,508 "," 	4,099 "," 	3,345 "," 	2,131 "," 	5,593 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	738 ," 	2,243 "," 	2,981 ", 	89 , 	746 , 	835 , 	12 ," 	2,588 "," 	3,693 "," 	3,463 "," 	3,524 "," 	3,219 "," 	2,459 "," 	6,071 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	648 ," 	1,974 "," 	2,622 ", 	108 , 	686 , 	794 , 	10 ," 	1,689 "," 	2,757 "," 	2,653 "," 	2,716 "," 	2,603 "," 	2,030 "," 	5,039 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	616 ," 	2,173 "," 	2,789 ", 	83 , 	498 , 	581 , 	23 ," 	2,229 "," 	4,481 "," 	3,902 "," 	4,354 "," 	3,786 "," 	2,967 "," 	7,318 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,625 "," 	5,032 "," 	6,657 ", 	263 ," 	1,404 "," 	1,667 ", 	105 ," 	4,385 "," 	9,760 "," 	8,922 "," 	9,548 "," 	8,656 "," 	3,145 "," 	12,642 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	836 ," 	3,973 "," 	4,809 ", 	94 ," 	1,127 "," 	1,221 ", 	7 ," 	3,024 "," 	6,012 "," 	5,301 "," 	5,823 "," 	5,163 "," 	3,699 "," 	8,766 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,296 "," 	5,907 "," 	7,203 ", 	206 ," 	1,575 "," 	1,781 ", 	407 ," 	4,073 "," 	10,415 "," 	9,250 "," 	9,886 "," 	8,914 "," 	4,512 "," 	13,702 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,060 "," 	3,996 "," 	5,056 ", 	157 , 	926 ," 	1,083 ", 	- 0," 	3,375 "," 	7,936 "," 	7,513 "," 	7,275 "," 	6,908 "," 	2,443 "," 	10,974 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	817 ," 	3,263 "," 	4,080 ", 	106 ," 	1,012 "," 	1,118 ", 	566 ," 	2,730 "," 	6,232 "," 	5,178 "," 	5,958 "," 	4,948 "," 	3,841 "," 	8,571 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	892 ," 	3,304 "," 	4,196 ", 	134 , 	794 , 	928 , 	104 ," 	3,578 "," 	5,812 "," 	4,791 "," 	5,372 "," 	4,449 "," 	3,523 "," 	7,934 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,244 "," 	4,489 "," 	5,733 ", 	270 ," 	1,544 "," 	1,814 ", 	253 ," 	5,002 "," 	11,034 "," 	9,063 "," 	10,370 "," 	8,347 "," 	8,763 "," 	17,838 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT," 	1,001 "," 	2,989 "," 	3,990 ", 	136 , 	593 , 	729 , 	19 ," 	3,386 "," 	5,744 "," 	5,260 "," 	5,449 "," 	5,004 "," 	3,209 "," 	8,460 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	651 ," 	2,782 "," 	3,433 ", 	126 , 	860 , 	986 , 	85 ," 	2,215 "," 	4,753 "," 	4,117 "," 	4,640 "," 	4,028 "," 	4,414 "," 	6,940 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	994 ," 	3,983 "," 	4,977 ", 	134 , 	705 , 	839 ," 	1,540 "," 	3,454 "," 	6,838 "," 	6,726 "," 	6,796 "," 	6,670 "," 	4,707 "," 	12,660 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	656 ," 	2,398 "," 	3,054 ", 	68 , 	883 , 	951 , 	3 ," 	2,376 "," 	4,096 "," 	3,519 "," 	3,887 "," 	3,336 "," 	2,917 "," 	6,558 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	698 ," 	2,370 "," 	3,068 ", 	129 , 	798 , 	927 , 	143 ," 	1,820 "," 	5,182 "," 	4,351 "," 	5,148 "," 	4,307 "," 	2,858 "," 	7,081 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,440 "," 	4,542 "," 	5,982 ", 	256 ," 	1,615 "," 	1,871 ", 	204 ," 	5,350 "," 	9,890 "," 	8,627 "," 	9,508 "," 	8,296 "," 	8,600 "," 	16,327 "
,2011-12,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	424 ," 	1,569 "," 	1,993 ", 	74 , 	308 , 	382 , 	- 0," 	1,638 "," 	3,121 "," 	3,108 "," 	2,911 "," 	2,920 ", 	966 ," 	4,400 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	526 ," 	1,685 "," 	2,211 ", 	131 , 	507 , 	638 , 	103 ," 	1,427 "," 	2,500 "," 	2,131 "," 	2,432 "," 	2,089 "," 	2,445 "," 	4,610 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	738 ," 	2,785 "," 	3,523 ", 	54 , 	686 , 	740 , 	- 0," 	2,706 "," 	4,629 "," 	4,087 "," 	4,566 "," 	4,023 "," 	2,385 "," 	7,260 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	617 ," 	1,927 "," 	2,544 ", 	104 , 	703 , 	807 , 	- 0," 	1,967 "," 	3,587 "," 	3,021 "," 	3,532 "," 	2,978 "," 	1,084 "," 	5,276 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	649 ," 	2,799 "," 	3,448 ", 	70 , 	512 , 	582 , 	- 0," 	2,415 "," 	5,219 "," 	4,219 "," 	5,183 "," 	4,188 "," 	2,826 "," 	7,202 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,846 "," 	6,065 "," 	7,911 ", 	321 ," 	1,252 "," 	1,573 ", 	2 ," 	7,790 "," 	13,520 "," 	11,999 "," 	13,359 "," 	11,214 "," 	9,291 "," 	19,276 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,093 "," 	3,528 "," 	4,621 ", 	222 ," 	1,123 "," 	1,345 ", 	1 ," 	3,497 "," 	7,333 "," 	6,188 "," 	6,898 "," 	5,956 "," 	2,893 "," 	9,820 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	959 ," 	3,496 "," 	4,455 ", 	217 ," 	1,239 "," 	1,456 ", 	6 ," 	3,325 "," 	6,526 "," 	5,843 "," 	6,264 "," 	5,532 "," 	3,372 "," 	8,453 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,293 "," 	5,080 "," 	6,373 ", 	253 ," 	1,101 "," 	1,354 ", 	- 0," 	4,745 "," 	9,265 "," 	8,394 "," 	8,755 "," 	7,617 "," 	5,618 "," 	17,030 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	736 ," 	2,661 "," 	3,397 ", 	108 , 	806 , 	914 , 	15 ," 	3,246 "," 	5,877 "," 	5,563 "," 	5,857 "," 	5,547 "," 	3,059 "," 	9,420 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,023 "," 	8,141 "," 	10,164 ", 	348 ," 	2,967 "," 	3,315 ", 	273 ," 	6,616 "," 	14,264 "," 	12,030 "," 	13,907 "," 	11,837 "," 	6,822 "," 	18,122 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	959 ," 	3,671 "," 	4,630 ", 	158 ," 	1,334 "," 	1,492 ", 	329 ," 	2,599 "," 	6,525 "," 	5,477 "," 	6,443 "," 	5,416 "," 	1,812 "," 	7,810 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	794 ," 	3,000 "," 	3,794 ", 	116 ," 	1,012 "," 	1,128 ", 	4 ," 	2,663 "," 	5,861 "," 	4,857 "," 	5,722 "," 	4,720 "," 	1,362 "," 	6,799 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,342 "," 	5,211 "," 	6,553 ", 	245 ," 	1,817 "," 	2,062 ", 	1 ," 	5,736 "," 	7,815 "," 	6,493 "," 	7,426 "," 	5,962 "," 	5,755 "," 	11,864 "
,2011-12,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	474 ," 	1,632 "," 	2,106 ", 	94 , 	586 , 	680 , 	3 ," 	1,231 "," 	2,711 "," 	2,057 "," 	2,502 "," 	1,870 "," 	2,073 "," 	3,804 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	719 ," 	2,197 "," 	2,916 ", 	131 , 	873 ," 	1,004 ", 	6 ," 	2,748 "," 	4,060 "," 	3,726 "," 	3,940 "," 	3,609 "," 	1,695 "," 	6,286 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	278 , 	935 ," 	1,213 ", 	32 , 	297 , 	329 , 	1 , 	951 ," 	1,913 "," 	1,764 "," 	1,850 "," 	1,693 ", 	796 ," 	3,030 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,704 "," 	6,945 "," 	8,649 ", 	191 ," 	2,133 "," 	2,324 ", 	236 ," 	6,116 "," 	11,747 "," 	10,468 "," 	11,376 "," 	10,128 "," 	5,532 "," 	16,043 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	665 ," 	2,545 "," 	3,210 ", 	116 , 	986 ," 	1,102 ", 	10 ," 	2,966 "," 	4,049 "," 	3,274 "," 	3,987 "," 	3,230 "," 	1,332 "," 	5,499 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,681 "," 	5,802 "," 	7,483 ", 	173 ," 	1,877 "," 	2,050 ", 	33 ," 	5,376 "," 	9,848 "," 	9,434 "," 	9,674 "," 	9,224 "," 	3,955 "," 	14,600 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,187 "," 	8,649 "," 	10,836 ", 	313 ," 	3,348 "," 	3,661 ", 	144 ," 	6,125 "," 	14,460 "," 	13,354 "," 	13,874 "," 	12,683 "," 	6,820 "," 	18,915 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,376 "," 	5,871 "," 	7,247 ", 	238 ," 	2,447 "," 	2,685 ", 	2 ," 	4,309 "," 	10,126 "," 	8,098 "," 	10,048 "," 	8,031 "," 	7,257 "," 	13,665 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	605 ," 	2,555 "," 	3,160 ", 	115 ," 	1,049 "," 	1,164 ", 	2 ," 	2,498 "," 	5,432 "," 	4,017 "," 	5,427 "," 	4,014 "," 	3,834 "," 	6,863 "
,2011-12,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,766 "," 	6,703 "," 	8,469 ", 	322 ," 	2,074 "," 	2,396 ", 	51 ," 	5,145 "," 	9,269 "," 	8,947 "," 	9,063 "," 	8,773 "," 	5,156 "," 	13,245 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	506 ," 	1,524 "," 	2,030 ", 	120 , 	498 , 	618 , 	16 ," 	1,336 "," 	2,662 "," 	2,957 "," 	2,589 "," 	2,923 "," 	1,626 "," 	4,277 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,080 "," 	2,724 "," 	3,804 ", 	274 , 	594 , 	868 , 	246 ," 	3,121 "," 	8,217 "," 	7,433 "," 	6,593 "," 	6,157 "," 	4,082 "," 	10,698 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	761 ," 	2,882 "," 	3,643 ", 	123 ," 	1,011 "," 	1,134 ", 	54 ," 	2,171 "," 	5,461 "," 	3,813 "," 	5,426 "," 	3,683 "," 	3,542 "," 	7,828 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	637 ," 	2,666 "," 	3,303 ", 	124 ," 	1,044 "," 	1,168 ", 	40 ," 	1,920 "," 	5,982 "," 	4,792 "," 	5,572 "," 	4,361 "," 	2,433 "," 	8,041 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	832 ," 	3,046 "," 	3,878 ", 	74 ," 	1,072 "," 	1,146 ", 	3 ," 	2,699 "," 	4,818 "," 	4,588 "," 	4,731 "," 	4,501 "," 	4,753 "," 	8,458 "
,2011-12,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	368 ," 	1,534 "," 	1,902 ", 	49 , 	525 , 	574 , 	3 ," 	1,350 "," 	2,754 "," 	1,556 "," 	2,734 "," 	1,536 "," 	2,206 "," 	4,679 "
