,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JULY,,,,England," 	149,480 "," 	437,984 "," 	587,464 "," 	24,208 "," 	127,610 "," 	151,818 "," 	8,052 "," 	16,778 "," 	424,751 "," 	944,448 "," 	793,814 "," 	901,783 "," 	753,847 "," 	483,791 "," 	1,247,964 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,123 "," 	2,356 "," 	3,479 ", 	227 , 	433 , 	660 , 	80 , 	- 0," 	2,885 "," 	5,779 "," 	4,487 "," 	5,762 "," 	4,565 "," 	3,688 "," 	7,396 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	983 ," 	3,104 "," 	4,087 ", 	125 , 	870 , 	995 , 	106 , 	1 ," 	2,796 "," 	6,486 "," 	5,139 "," 	6,153 "," 	5,082 "," 	3,093 "," 	8,147 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	443 ," 	2,076 "," 	2,519 ", 	36 , 	478 , 	514 , 	3 , 	- 0," 	1,674 "," 	2,783 "," 	2,141 "," 	2,624 "," 	2,068 "," 	1,740 "," 	3,596 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	863 ," 	1,918 "," 	2,781 ", 	124 , 	321 , 	445 , 	10 , 	1 ," 	2,485 "," 	5,723 "," 	4,808 "," 	5,358 "," 	4,468 "," 	2,894 "," 	7,264 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	501 ," 	1,472 "," 	1,973 ", 	59 , 	358 , 	417 , 	11 , 	3 ," 	1,878 "," 	2,618 "," 	2,429 "," 	2,590 "," 	2,400 "," 	1,506 "," 	3,964 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	534 ," 	1,502 "," 	2,036 ", 	75 , 	318 , 	393 , 	23 , 	3 ," 	2,218 "," 	3,594 "," 	3,094 "," 	3,466 "," 	2,988 "," 	1,851 "," 	4,803 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	800 ," 	2,039 "," 	2,839 ", 	98 , 	693 , 	791 , 	1 , 	3 ," 	2,065 "," 	4,336 "," 	2,869 "," 	4,044 "," 	2,567 "," 	2,355 "," 	4,484 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	703 ," 	1,801 "," 	2,504 ", 	110 , 	434 , 	544 , 	7 , 	36 ," 	1,796 "," 	4,044 "," 	2,806 "," 	3,688 "," 	2,488 "," 	1,627 "," 	3,990 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	805 ," 	2,252 "," 	3,057 ", 	104 , 	471 , 	575 , 	9 , 	31 ," 	2,014 "," 	5,053 "," 	4,304 "," 	4,739 "," 	4,076 "," 	2,885 "," 	6,858 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,856 "," 	4,220 "," 	6,076 ", 	405 , 	825 ," 	1,230 ", 	- 0, 	3 ," 	4,457 "," 	9,734 "," 	8,087 "," 	9,468 "," 	7,892 "," 	2,735 "," 	11,449 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,090 "," 	3,813 "," 	4,903 ", 	233 , 	917 ," 	1,150 ", 	121 , 	10 ," 	2,938 "," 	5,758 "," 	4,777 "," 	5,574 "," 	4,693 "," 	1,898 "," 	6,822 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,522 "," 	5,035 "," 	6,557 ", 	225 ," 	1,180 "," 	1,405 ", 	239 , 	340 ," 	4,120 "," 	9,689 "," 	8,131 "," 	9,141 "," 	7,811 "," 	4,153 "," 	12,392 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,525 "," 	3,560 "," 	5,085 ", 	459 ," 	1,187 "," 	1,646 ", 	232 , 	- 0," 	3,279 "," 	8,383 "," 	6,616 "," 	7,962 "," 	6,245 "," 	4,838 "," 	9,233 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	857 ," 	3,139 "," 	3,996 ", 	112 , 	970 ," 	1,082 ", 	481 , 	- 0," 	3,260 "," 	5,868 "," 	4,328 "," 	5,985 "," 	4,388 "," 	3,433 "," 	7,543 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	997 ," 	2,958 "," 	3,955 ", 	107 , 	802 , 	909 , 	74 , 	- 0," 	3,399 "," 	5,874 "," 	5,241 "," 	5,527 "," 	4,934 "," 	3,114 "," 	7,865 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,580 "," 	4,088 "," 	5,668 ", 	280 , 	983 ," 	1,263 ", 	115 , 	3 ," 	6,003 "," 	8,357 "," 	7,335 "," 	8,246 "," 	7,184 "," 	7,112 "," 	16,673 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	971 ," 	2,699 "," 	3,670 ", 	105 , 	493 , 	598 , 	21 , 	- 0," 	3,287 "," 	6,024 "," 	5,281 "," 	5,706 "," 	5,005 "," 	2,459 "," 	7,234 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	803 ," 	2,090 "," 	2,893 ", 	141 , 	387 , 	528 , 	- 0, 	81 ," 	2,197 "," 	4,783 "," 	4,283 "," 	4,639 "," 	4,033 "," 	4,160 "," 	6,512 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,139 "," 	3,287 "," 	4,426 ", 	153 , 	457 , 	610 , 	3 ," 	1,530 "," 	3,925 "," 	8,185 "," 	6,823 "," 	7,818 "," 	6,298 "," 	5,130 "," 	11,152 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	778 ," 	2,313 "," 	3,091 ", 	140 , 	687 , 	827 , 	4 , 	5 ," 	1,959 "," 	4,498 "," 	3,527 "," 	4,010 "," 	3,019 "," 	2,083 "," 	4,714 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	828 ," 	2,317 "," 	3,145 ", 	156 , 	532 , 	688 , 	6 , 	155 ," 	1,501 "," 	4,923 "," 	4,048 "," 	4,693 "," 	3,942 "," 	2,483 "," 	5,997 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,865 "," 	3,862 "," 	5,727 ", 	340 , 	944 ," 	1,284 ", 	45 , 	238 ," 	5,400 "," 	11,445 "," 	7,365 "," 	10,646 "," 	6,943 "," 	7,917 "," 	13,687 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	595 ," 	1,664 "," 	2,259 ", 	128 , 	515 , 	643 , 	- 0, 	154 ," 	1,244 "," 	2,750 "," 	2,228 "," 	2,663 "," 	2,146 "," 	1,557 "," 	3,854 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	849 ," 	2,718 "," 	3,567 ", 	113 , 	760 , 	873 , 	18 , 	1 ," 	2,557 "," 	4,724 "," 	3,853 "," 	4,680 "," 	3,826 "," 	2,541 "," 	6,381 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	608 ," 	1,585 "," 	2,193 ", 	86 , 	412 , 	498 , 	- 0, 	- 0," 	1,489 "," 	3,417 "," 	2,909 "," 	3,330 "," 	2,435 "," 	1,058 "," 	4,404 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	861 ," 	2,394 "," 	3,255 ", 	157 , 	851 ," 	1,008 ", 	- 0, 	- 0," 	2,362 "," 	4,709 "," 	4,240 "," 	4,679 "," 	4,225 "," 	2,852 "," 	7,349 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,087 "," 	5,780 "," 	7,867 ", 	349 ," 	1,199 "," 	1,548 ", 	284 , 	29 ," 	7,146 "," 	12,518 "," 	10,637 "," 	12,225 "," 	9,614 "," 	9,179 "," 	15,663 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,102 "," 	2,761 "," 	3,863 ", 	179 , 	732 , 	911 , 	- 0, 	26 ," 	3,111 "," 	7,280 "," 	5,623 "," 	6,720 "," 	5,467 "," 	2,487 "," 	8,686 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,054 "," 	2,904 "," 	3,958 ", 	191 , 	863 ," 	1,054 ", 	- 0, 	319 ," 	3,122 "," 	6,643 "," 	5,522 "," 	6,339 "," 	5,298 "," 	2,897 "," 	7,630 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,723 "," 	4,794 "," 	6,517 ", 	321 ," 	1,554 "," 	1,875 ", 	32 , 	- 0," 	4,735 "," 	10,490 "," 	8,414 "," 	9,564 "," 	7,646 "," 	6,520 "," 	14,724 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	844 ," 	2,434 "," 	3,278 ", 	117 , 	722 , 	839 , 	38 , 	51 ," 	2,690 "," 	5,967 "," 	5,238 "," 	5,894 "," 	5,320 "," 	3,409 "," 	8,949 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,099 "," 	6,277 "," 	8,376 ", 	488 ," 	2,481 "," 	2,969 ", 	- 0, 	233 ," 	5,987 "," 	13,167 "," 	10,408 "," 	12,772 "," 	10,261 "," 	6,179 "," 	16,716 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,098 "," 	3,229 "," 	4,327 ", 	147 , 	803 , 	950 , 	- 0, 	171 ," 	2,428 "," 	6,114 "," 	4,953 "," 	6,050 "," 	4,624 "," 	1,762 "," 	6,522 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT," 	1,026 "," 	2,583 "," 	3,609 ", 	70 , 	424 , 	494 , 	- 0, 	10 ," 	2,584 "," 	5,637 "," 	4,140 "," 	5,595 "," 	4,130 "," 	1,166 "," 	5,910 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,497 "," 	4,497 "," 	5,994 ", 	270 ," 	1,133 "," 	1,403 ", 	498 , 	- 0," 	4,800 "," 	7,552 "," 	6,830 "," 	6,915 "," 	6,289 "," 	2,999 "," 	9,233 "
,2008-09,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	714 ," 	1,800 "," 	2,514 ", 	273 , 	620 , 	893 , 	6 , 	- 0," 	1,217 "," 	2,952 "," 	2,384 "," 	2,724 "," 	2,214 "," 	1,577 "," 	3,927 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	681 ," 	1,966 "," 	2,647 ", 	52 , 	281 , 	333 , 	- 0, 	7 ," 	2,317 "," 	4,392 "," 	3,368 "," 	4,204 "," 	3,202 "," 	2,020 "," 	4,878 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	367 , 	959 ," 	1,326 ", 	59 , 	289 , 	348 , 	14 , 	- 0, 	802 ," 	2,270 "," 	1,962 "," 	2,234 "," 	1,898 ", 	731 ," 	3,033 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	2,024 "," 	6,792 "," 	8,816 ", 	329 ," 	2,472 "," 	2,801 ", 	154 , 	1 ," 	5,550 "," 	12,118 "," 	10,624 "," 	11,824 "," 	10,371 "," 	5,581 "," 	15,697 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	764 ," 	2,879 "," 	3,643 ", 	139 ," 	1,080 "," 	1,219 ", 	13 , 	4 ," 	2,311 "," 	4,782 "," 	4,066 "," 	4,733 "," 	4,027 "," 	2,114 "," 	6,226 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,958 "," 	5,358 "," 	7,316 ", 	218 , 	817 ," 	1,035 ", 	78 , 	32 ," 	5,280 "," 	10,607 "," 	8,881 "," 	10,342 "," 	8,640 "," 	4,236 "," 	12,655 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,340 "," 	7,302 "," 	9,642 ", 	432 ," 	2,453 "," 	2,885 ", 	208 , 	- 0," 	5,418 "," 	14,165 "," 	11,584 "," 	13,226 "," 	10,989 "," 	4,816 "," 	16,538 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,660 "," 	5,469 "," 	7,129 ", 	200 ," 	1,984 "," 	2,184 ", 	- 0, 	- 0," 	4,898 "," 	10,377 "," 	8,642 "," 	10,107 "," 	8,648 "," 	7,691 "," 	13,417 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	728 ," 	2,220 "," 	2,948 ", 	78 , 	753 , 	831 , 	- 0, 	- 0," 	3,425 "," 	5,350 "," 	4,275 "," 	5,272 "," 	4,124 "," 	4,452 "," 	6,386 "
,2008-09,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,878 "," 	5,650 "," 	7,528 ", 	387 ," 	1,865 "," 	2,252 ", 	34 , 	- 0," 	5,545 "," 	10,075 "," 	9,630 "," 	9,639 "," 	9,276 "," 	4,183 "," 	13,671 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	429 ," 	1,347 "," 	1,776 ", 	102 , 	560 , 	662 , 	- 0, 	13 ," 	1,030 "," 	2,996 "," 	2,881 "," 	2,944 "," 	2,834 "," 	1,282 "," 	3,893 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,033 "," 	2,706 "," 	3,739 ", 	204 , 	513 , 	717 , 	- 0, 	205 ," 	3,082 "," 	9,957 "," 	7,169 "," 	5,981 "," 	5,590 "," 	4,029 "," 	9,291 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	859 ," 	2,955 "," 	3,814 ", 	120 ," 	1,193 "," 	1,313 ", 	7 , 	47 ," 	2,126 "," 	4,592 "," 	2,906 "," 	4,449 "," 	2,839 "," 	3,177 "," 	6,566 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	632 ," 	2,718 "," 	3,350 ", 	86 ," 	1,133 "," 	1,219 ", 	- 0, 	37 ," 	2,129 "," 	5,633 "," 	4,836 "," 	5,251 "," 	4,747 "," 	2,770 "," 	7,966 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	923 ," 	2,755 "," 	3,678 ", 	108 , 	883 , 	991 , 	- 0, 	8 ," 	2,379 "," 	6,420 "," 	5,036 "," 	5,901 "," 	4,587 "," 	4,006 "," 	7,174 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	412 ," 	1,458 "," 	1,870 ", 	61 , 	457 , 	518 , 	- 0, 	9 ," 	1,252 "," 	2,610 "," 	1,368 "," 	2,451 "," 	1,243 "," 	2,018 "," 	2,219 "
,2008-09,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	660 ," 	2,354 "," 	3,014 ", 	123 , 	996 ," 	1,119 ", 	- 0, 	6 ," 	2,272 "," 	4,847 "," 	4,594 "," 	4,521 "," 	4,218 "," 	3,532 "," 	7,651 "
