,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,APRIL,,,,England," 	141,966 "," 	421,825 "," 	563,791 "," 	24,225 "," 	122,080 "," 	146,305 "," 	9,098 "," 	14,335 "," 	408,413 "," 	914,131 "," 	762,501 "," 	866,763 "," 	711,755 "," 	459,669 "," 	1,189,155 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	623 ," 	2,594 "," 	3,217 ", 	97 , 	722 , 	819 , 	38 , 	- 0," 	2,184 "," 	5,499 "," 	4,590 "," 	5,085 "," 	4,502 "," 	2,820 "," 	6,829 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	898 ," 	2,752 "," 	3,650 ", 	96 , 	867 , 	963 , 	3 , 	- 0," 	2,101 "," 	6,124 "," 	5,485 "," 	5,636 "," 	5,110 "," 	2,579 "," 	12,710 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	390 ," 	1,414 "," 	1,804 ", 	48 , 	486 , 	534 , 	8 , 	- 0," 	1,154 "," 	2,323 "," 	1,239 "," 	2,217 "," 	1,102 "," 	1,321 "," 	4,014 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	657 ," 	2,279 "," 	2,936 ", 	146 , 	494 , 	640 , 	4 , 	- 0," 	2,232 "," 	5,098 "," 	4,215 "," 	4,733 "," 	3,876 "," 	3,303 "," 	7,262 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	539 ," 	1,514 "," 	2,053 ", 	71 , 	344 , 	415 , 	389 , 	- 0," 	2,254 "," 	4,682 "," 	4,199 "," 	3,471 "," 	3,056 "," 	3,772 "," 	6,348 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	869 ," 	3,586 "," 	4,455 ", 	112 ," 	1,895 "," 	2,007 ", 	58 , 	16 ," 	2,048 "," 	5,383 "," 	4,882 "," 	5,168 "," 	4,698 "," 	1,637 "," 	7,842 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PF,SANDWELL PCT, 	874 ," 	3,163 "," 	4,037 ", 	108 , 	795 , 	903 , 	352 , 	- 0," 	2,623 "," 	5,996 "," 	5,293 "," 	5,255 "," 	4,665 "," 	3,635 "," 	7,852 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PG,BIRMINGHAM EAST AND NORTH PCT," 	1,009 "," 	3,801 "," 	4,810 ", 	183 ," 	1,430 "," 	1,613 ", 	178 , 	- 0," 	3,488 "," 	5,403 "," 	6,378 "," 	4,223 "," 	5,390 "," 	10,532 "," 	11,331 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PH,NORTH STAFFORDSHIRE PCT, 	524 ," 	1,851 "," 	2,375 ", 	173 , 	496 , 	669 , 	27 , 	- 0," 	1,486 "," 	3,321 "," 	2,724 "," 	3,171 "," 	2,384 "," 	1,632 "," 	3,302 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PJ,STOKE ON TRENT PCT, 	630 ," 	2,508 "," 	3,138 ", 	154 , 	743 , 	897 , 	14 , 	- 0," 	2,648 "," 	4,640 "," 	4,186 "," 	4,349 "," 	3,486 "," 	2,504 "," 	5,028 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PK,SOUTH STAFFORDSHIRE PCT," 	1,502 "," 	5,249 "," 	6,751 ", 	116 ," 	1,428 "," 	1,544 ", 	508 , 	- 0," 	4,132 "," 	11,346 "," 	8,339 "," 	10,711 "," 	7,980 "," 	8,058 "," 	13,301 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PL,WORCESTERSHIRE PCT," 	1,266 "," 	3,615 "," 	4,881 ", 	111 , 	946 ," 	1,057 "," 	1,038 ", 	168 ," 	3,766 "," 	9,797 "," 	8,144 "," 	9,418 "," 	7,859 "," 	3,666 "," 	11,219 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PM,WARWICKSHIRE PCT," 	1,443 "," 	4,603 "," 	6,046 ", 	190 ," 	1,599 "," 	1,789 ", 	12 , 	7 ," 	3,305 "," 	7,921 "," 	8,320 "," 	7,394 "," 	8,048 "," 	3,371 "," 	13,524 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,TAM,SOLIHULL CARE TRUST, 	438 ," 	1,710 "," 	2,148 ", 	92 , 	663 , 	755 , 	25 , 	- 0," 	1,369 "," 	2,952 "," 	3,146 "," 	2,497 "," 	2,757 "," 	4,875 "," 	5,313 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5GC,LUTON PCT, 	543 ," 	1,150 "," 	1,693 ", 	87 , 	249 , 	336 , 	- 0, 	- 0," 	1,567 "," 	3,521 "," 	3,312 "," 	3,085 "," 	2,731 "," 	1,515 "," 	4,401 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P1,SOUTH EAST ESSEX PCT, 	909 ," 	3,290 "," 	4,199 ", 	135 ," 	1,038 "," 	1,173 ", 	- 0, 	- 0," 	3,020 "," 	7,333 "," 	5,528 "," 	7,331 "," 	5,523 "," 	2,756 "," 	7,657 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P2,BEDFORDSHIRE PCT," 	1,020 "," 	2,515 "," 	3,535 ", 	120 , 	483 , 	603 , 	- 0, 	- 0," 	2,483 "," 	6,954 "," 	5,495 "," 	6,448 "," 	5,208 "," 	3,002 "," 	7,495 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P3,EAST AND NORTH HERTFORDSHIRE PCT," 	1,559 "," 	3,986 "," 	5,545 ", 	189 , 	863 ," 	1,052 ", 	- 0, 	- 0," 	3,440 "," 	10,612 "," 	8,906 "," 	9,826 "," 	8,246 "," 	5,533 "," 	12,625 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5P4,WEST HERTFORDSHIRE PCT," 	1,628 "," 	3,969 "," 	5,597 ", 	274 , 	765 ," 	1,039 ", 	- 0, 	- 0," 	3,454 "," 	10,899 "," 	10,213 "," 	9,819 "," 	9,201 "," 	6,242 "," 	14,991 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PN,PETERBOROUGH PCT, 	456 ," 	1,156 "," 	1,612 ", 	74 , 	96 , 	170 , 	- 0, 	16 ," 	1,230 "," 	3,061 "," 	2,422 "," 	2,653 "," 	2,242 "," 	1,567 "," 	3,580 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PP,CAMBRIDGESHIRE PCT," 	1,618 "," 	5,009 "," 	6,627 ", 	299 ," 	1,817 "," 	2,116 ", 	14 ," 	1,163 "," 	3,624 "," 	8,833 "," 	6,922 "," 	8,747 "," 	6,700 "," 	4,780 "," 	11,020 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PQ,NORFOLK PCT," 	2,070 "," 	6,900 "," 	8,970 ", 	950 ," 	1,670 "," 	2,620 ", 	- 0, 	34 ," 	5,290 "," 	11,483 "," 	10,587 "," 	14,450 "," 	10,000 "," 	3,290 "," 	14,440 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PR,GREAT YARMOUTH AND WAVENEY PCT, 	771 ," 	1,937 "," 	2,708 ", 	95 , 	491 , 	586 , 	- 0, 	- 0," 	1,619 "," 	4,311 "," 	4,111 "," 	4,192 "," 	3,997 "," 	1,046 "," 	4,768 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PT,SUFFOLK PCT," 	1,581 "," 	4,671 "," 	6,252 ", 	214 ," 	1,647 "," 	1,861 ", 	- 0, 	- 0," 	3,943 "," 	9,808 "," 	9,025 "," 	9,424 "," 	8,720 "," 	4,733 "," 	14,013 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PV,WEST ESSEX PCT, 	691 ," 	2,729 "," 	3,420 ", 	86 , 	943 ," 	1,029 ", 	- 0, 	- 0," 	2,087 "," 	4,930 "," 	4,342 "," 	4,729 "," 	4,013 "," 	2,145 "," 	6,027 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PW,NORTH EAST ESSEX PCT, 	866 ," 	2,001 "," 	2,867 ", 	77 , 	542 , 	619 , 	- 0, 	- 0," 	2,391 "," 	6,083 "," 	4,305 "," 	5,982 "," 	4,122 "," 	2,625 "," 	6,053 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PX,MID ESSEX PCT, 	958 ," 	2,413 "," 	3,371 ", 	133 , 	774 , 	907 , 	3 , 	- 0," 	2,924 "," 	5,406 "," 	5,240 "," 	5,323 "," 	4,432 "," 	4,693 "," 	7,250 "
,2008-09,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,5PY,SOUTH WEST ESSEX PCT, 	893 ," 	2,962 "," 	3,855 ", 	141 , 	869 ," 	1,010 ", 	- 0, 	- 0," 	2,740 "," 	6,912 "," 	5,736 "," 	6,801 "," 	5,693 "," 	3,374 "," 	8,928 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A4,HAVERING PCT, 	610 ," 	1,885 "," 	2,495 ", 	41 , 	775 , 	816 , 	418 , 	- 0," 	1,593 "," 	3,169 "," 	2,806 "," 	3,070 "," 	1,625 "," 	2,726 "," 	4,809 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A5,KINGSTON PCT, 	381 ," 	1,193 "," 	1,574 ", 	95 , 	159 , 	254 , 	- 0, 	- 0, 	676 ," 	2,272 "," 	1,944 "," 	2,093 "," 	1,790 ", 	984 ," 	4,278 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A7,BROMLEY PCT, 	726 ," 	2,857 "," 	3,583 ", 	208 , 	651 , 	859 , 	- 0, 	167 ," 	2,198 "," 	6,754 "," 	5,217 "," 	5,737 "," 	4,612 "," 	1,191 "," 	6,405 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A8,GREENWICH TEACHING PCT, 	526 ," 	2,053 "," 	2,579 ", 	97 , 	785 , 	882 , 	- 0, 	2 ," 	1,367 "," 	3,450 "," 	3,307 "," 	3,373 "," 	3,243 "," 	3,030 "," 	6,123 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5A9,BARNET PCT, 	750 ," 	2,768 "," 	3,518 ", 	112 ," 	1,145 "," 	1,257 ", 	- 0, 	- 0," 	2,087 "," 	8,723 "," 	6,001 "," 	7,806 "," 	5,186 "," 	3,107 "," 	9,821 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5AT,HILLINGDON PCT, 	587 ," 	1,567 "," 	2,154 ", 	89 , 	407 , 	496 , 	- 0, 	- 0," 	1,728 "," 	4,149 "," 	4,208 "," 	3,730 "," 	3,602 "," 	1,590 "," 	4,940 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C1,ENFIELD PCT, 	670 ," 	2,141 "," 	2,811 ", 	55 , 	591 , 	646 , 	- 0, 	373 ," 	1,992 "," 	5,092 "," 	3,767 "," 	4,678 "," 	3,413 "," 	2,752 "," 	6,052 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C2,BARKING AND DAGENHAM PCT, 	347 ," 	1,096 "," 	1,443 ", 	37 , 	412 , 	449 , 	154 , 	- 0," 	1,340 "," 	2,990 "," 	2,602 "," 	2,938 "," 	2,552 "," 	1,106 "," 	3,881 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C3,CITY AND HACKNEY TEACHING PCT, 	485 ," 	1,285 "," 	1,770 ", 	67 , 	159 , 	226 , 	- 0, 	- 0," 	1,711 "," 	4,452 "," 	3,950 "," 	3,787 "," 	3,547 "," 	2,524 "," 	6,386 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C4,TOWER HAMLETS PCT, 	398 , 	970 ," 	1,368 ", 	57 , 	170 , 	227 , 	23 , 	- 0," 	1,955 "," 	3,362 "," 	3,169 "," 	2,696 "," 	2,560 "," 	1,974 "," 	4,774 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C5,NEWHAM PCT, 	522 ," 	1,573 "," 	2,095 ", 	80 , 	273 , 	353 , 	- 0, 	- 0," 	2,350 "," 	4,501 "," 	4,764 "," 	3,835 "," 	3,515 "," 	2,310 "," 	6,193 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5C9,HARINGEY TEACHING PCT, 	509 ," 	1,670 "," 	2,179 ", 	54 , 	493 , 	547 , 	- 0, 	10 ," 	1,635 "," 	4,803 "," 	3,679 "," 	4,327 "," 	3,285 "," 	2,643 "," 	5,771 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5H1,HAMMERSMITH AND FULHAM PCT, 	455 , 	960 ," 	1,415 ", 	33 , 	149 , 	182 , 	- 0, 	- 0," 	1,275 "," 	2,963 "," 	1,738 "," 	2,679 "," 	1,687 "," 	1,361 "," 	4,397 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HX,EALING PCT, 	812 ," 	2,677 "," 	3,489 ", 	82 , 	682 , 	764 , 	- 0, 	- 0," 	2,713 "," 	7,049 "," 	5,341 "," 	6,311 "," 	5,101 "," 	2,694 "," 	8,772 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5HY,HOUNSLOW PCT, 	628 ," 	1,475 "," 	2,103 ", 	73 , 	195 , 	268 , 	- 0, 	- 0," 	1,997 "," 	5,603 "," 	4,027 "," 	5,043 "," 	3,962 "," 	2,325 "," 	6,379 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K5,BRENT TEACHING PCT, 	740 ," 	2,080 "," 	2,820 ", 	112 , 	933 ," 	1,045 ", 	- 0, 	- 0," 	2,091 "," 	6,009 "," 	4,972 "," 	5,557 "," 	4,481 "," 	2,214 "," 	7,331 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K6,HARROW PCT, 	512 ," 	1,502 "," 	2,014 ", 	89 , 	717 , 	806 , 	- 0, 	- 0," 	1,589 "," 	3,685 "," 	2,979 "," 	3,319 "," 	2,986 "," 	1,940 "," 	4,760 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K7,CAMDEN PCT, 	323 ," 	1,193 "," 	1,516 ", 	52 , 	297 , 	349 , 	- 0, 	- 0," 	1,357 "," 	4,366 "," 	3,796 "," 	4,366 "," 	3,796 "," 	2,086 "," 	4,382 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K8,ISLINGTON PCT, 	480 ," 	1,279 "," 	1,759 ", 	117 , 	273 , 	390 , 	- 0, 	- 0," 	1,371 "," 	4,240 "," 	3,144 "," 	4,240 "," 	3,144 "," 	2,875 "," 	5,898 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5K9,CROYDON PCT, 	754 ," 	3,182 "," 	3,936 ", 	92 ," 	1,051 "," 	1,143 ", 	- 0, 	35 ," 	2,036 "," 	5,718 "," 	4,612 "," 	5,647 "," 	4,516 "," 	3,805 "," 	8,684 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LA,KENSINGTON AND CHELSEA PCT, 	419 , 	918 ," 	1,337 ", 	62 , 	187 , 	249 , 	- 0, 	- 0," 	1,158 "," 	3,066 "," 	2,336 "," 	2,912 "," 	2,258 "," 	1,551 "," 	4,597 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LC,WESTMINSTER PCT, 	554 ," 	1,503 "," 	2,057 ", 	85 , 	453 , 	538 , 	- 0, 	- 0," 	1,507 "," 	4,163 "," 	3,173 "," 	3,926 "," 	2,694 "," 	2,327 "," 	4,969 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LD,LAMBETH PCT, 	576 ," 	1,792 "," 	2,368 ", 	80 , 	248 , 	328 , 	- 0, 	- 0," 	2,142 "," 	4,870 "," 	3,985 "," 	5,232 "," 	4,167 "," 	3,239 "," 	8,824 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LE,SOUTHWARK PCT, 	453 ," 	1,750 "," 	2,203 ", 	68 , 	291 , 	359 , 	- 0, 	- 0," 	1,972 "," 	4,275 "," 	3,732 "," 	4,294 "," 	3,536 "," 	3,067 "," 	8,166 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LF,LEWISHAM PCT, 	545 ," 	2,223 "," 	2,768 ", 	128 , 	501 , 	629 , 	- 0, 	- 0," 	1,795 "," 	4,684 "," 	3,812 "," 	4,964 "," 	3,669 "," 	2,177 "," 	6,833 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5LG,WANDSWORTH PCT, 	724 , 	932 ," 	1,656 ", 	178 , 	542 , 	720 , 	- 0, 	- 0," 	1,822 "," 	7,509 "," 	3,837 "," 	6,784 "," 	3,682 "," 	2,341 "," 	7,206 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M6,RICHMOND AND TWICKENHAM PCT, 	423 ," 	1,090 "," 	1,513 ", 	9 , 	6 , 	15 , 	- 0, 	- 0," 	1,097 "," 	3,076 "," 	2,735 "," 	3,076 "," 	2,735 "," 	1,389 "," 	4,042 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5M7,SUTTON AND MERTON PCT, 	848 ," 	2,267 "," 	3,115 ", 	615 , 	492 ," 	1,107 ", 	- 0, 	130 ," 	2,523 "," 	7,432 "," 	5,115 "," 	6,801 "," 	4,992 "," 	1,840 "," 	13,338 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NA,REDBRIDGE PCT, 	497 ," 	1,568 "," 	2,065 ", 	162 , 	608 , 	770 , 	109 , 	- 0," 	1,834 "," 	4,465 "," 	3,269 "," 	4,453 "," 	3,115 "," 	1,823 "," 	4,497 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,5NC,WALTHAM FOREST PCT, 	523 ," 	1,868 "," 	2,391 ", 	80 , 	677 , 	757 , 	1 , 	24 ," 	1,737 "," 	4,277 "," 	3,214 "," 	4,277 "," 	3,214 "," 	1,155 "," 	5,755 "
,2008-09,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,TAK,BEXLEY CARE TRUST, 	463 ," 	1,529 "," 	1,992 ", 	61 , 	241 , 	302 , 	- 0, 	27 ," 	1,299 "," 	2,743 "," 	2,597 "," 	2,428 "," 	2,305 "," 	1,547 "," 	2,440 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5L3,MEDWAY PCT, 	617 ," 	1,461 "," 	2,078 ", 	50 , 	151 , 	201 , 	124 , 	- 0," 	1,882 "," 	5,077 "," 	3,975 "," 	4,942 "," 	3,698 "," 	1,924 "," 	5,482 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5LQ,BRIGHTON AND HOVE CITY PCT, 	634 ," 	1,381 "," 	2,015 ", 	610 , 	1 , 	611 , 	254 , 	- 0," 	1,997 "," 	5,568 "," 	4,243 "," 	5,438 "," 	3,789 "," 	2,525 "," 	5,424 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P5,SURREY PCT," 	2,149 "," 	6,710 "," 	8,859 ", 	91 ," 	1,321 "," 	1,412 ", 	- 0, 	605 ," 	6,841 "," 	17,089 "," 	14,529 "," 	16,419 "," 	14,158 "," 	5,319 "," 	22,366 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P6,WEST SUSSEX PCT," 	2,339 "," 	5,642 "," 	7,981 ", 	444 , 	912 ," 	1,356 ", 	- 0," 	1,747 "," 	6,449 "," 	12,529 "," 	10,737 "," 	11,764 "," 	10,038 "," 	7,431 "," 	18,649 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P7,EAST SUSSEX DOWNS AND WEALD PCT," 	1,094 "," 	2,427 "," 	3,521 ", 	141 , 	837 , 	978 , 	- 0, 	- 0," 	2,740 "," 	7,413 "," 	6,249 "," 	6,821 "," 	5,674 "," 	2,398 "," 	8,347 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P8,HASTINGS AND ROTHER PCT, 	518 ," 	1,526 "," 	2,044 ", 	108 , 	543 , 	651 , 	- 0, 	- 0," 	1,809 "," 	3,643 "," 	3,182 "," 	3,643 "," 	3,180 "," 	1,178 "," 	4,383 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5P9,WEST KENT PCT," 	1,677 "," 	3,894 "," 	5,571 ", 	154 , 	603 , 	757 , 	488 , 	332 ," 	4,419 "," 	10,895 "," 	9,039 "," 	9,815 "," 	7,939 "," 	4,825 "," 	13,011 "
,2008-09,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,5QA,EASTERN AND COASTAL KENT PCT," 	1,933 "," 	4,982 "," 	6,915 ", 	287 ," 	1,102 "," 	1,389 ", 	40 , 	- 0," 	5,853 "," 	11,750 "," 	9,507 "," 	11,684 "," 	9,507 "," 	7,664 "," 	15,897 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5CQ,MILTON KEYNES PCT, 	480 ," 	1,760 "," 	2,240 ", 	74 , 	430 , 	504 , 	96 , 	- 0," 	1,841 "," 	3,422 "," 	3,310 "," 	3,409 "," 	3,158 "," 	2,375 "," 	5,900 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5FE,PORTSMOUTH CITY TEACHING PCT, 	478 ," 	1,510 "," 	1,988 ", 	81 , 	252 , 	333 , 	174 , 	389 ," 	1,807 "," 	4,370 "," 	3,023 "," 	3,961 "," 	2,846 "," 	1,314 "," 	5,000 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5L1,SOUTHAMPTON CITY PCT, 	585 ," 	1,562 "," 	2,147 ", 	105 , 	642 , 	747 , 	83 , 	15 ," 	1,980 "," 	3,214 "," 	2,585 "," 	3,170 "," 	2,549 "," 	2,318 "," 	4,669 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QC,HAMPSHIRE PCT," 	3,287 "," 	10,911 "," 	14,198 ", 	456 ," 	3,577 "," 	4,033 ", 	367 ," 	3,256 "," 	9,013 "," 	22,177 "," 	17,959 "," 	21,690 "," 	17,705 "," 	7,081 "," 	26,783 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QD,BUCKINGHAMSHIRE PCT," 	1,062 "," 	3,361 "," 	4,423 ", 	154 , 	893 ," 	1,047 ", 	57 , 	- 0," 	4,784 "," 	7,358 "," 	5,344 "," 	7,318 "," 	5,294 "," 	2,514 "," 	8,663 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QE,OXFORDSHIRE PCT," 	1,526 "," 	4,459 "," 	5,985 ", 	245 ," 	1,317 "," 	1,562 ", 	183 , 	- 0," 	4,338 "," 	8,716 "," 	10,884 "," 	8,248 "," 	8,052 "," 	4,917 "," 	14,605 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QF,BERKSHIRE WEST PCT," 	1,015 "," 	2,503 "," 	3,518 ", 	175 , 	613 , 	788 , 	99 , 	- 0," 	2,546 "," 	6,125 "," 	4,961 "," 	5,701 "," 	4,629 "," 	2,408 "," 	8,428 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QG,BERKSHIRE EAST PCT, 	760 ," 	2,704 "," 	3,464 ", 	136 , 	490 , 	626 , 	70 , 	- 0," 	2,422 "," 	4,548 "," 	4,250 "," 	4,406 "," 	4,036 "," 	2,701 "," 	7,111 "
,2008-09,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT, 	342 ," 	1,142 "," 	1,484 ", 	46 , 	160 , 	206 , 	1 , 	3 ," 	1,029 "," 	2,877 "," 	2,245 "," 	2,782 "," 	2,188 "," 	1,423 "," 	3,969 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5A3,SOUTH GLOUCESTERSHIRE PCT, 	640 ," 	2,059 "," 	2,699 ", 	81 , 	905 , 	986 , 	46 , 	- 0," 	1,672 "," 	3,449 "," 	2,931 "," 	3,364 "," 	2,772 "," 	1,694 "," 	4,560 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5F1,PLYMOUTH TEACHING PCT, 	894 ," 	2,187 "," 	3,081 ", 	215 , 	510 , 	725 , 	83 , 	148 ," 	2,052 "," 	3,628 "," 	3,863 "," 	3,998 "," 	4,229 "," 	1,572 "," 	6,489 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5FL,BATH AND NORTH EAST SOMERSET PCT, 	349 ," 	1,331 "," 	1,680 ", 	37 , 	197 , 	234 , 	81 , 	- 0," 	1,238 "," 	3,626 "," 	2,967 "," 	3,389 "," 	2,647 "," 	1,785 "," 	4,130 "
,2008-09,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5K3,SWINDON PCT, 	424 ," 	1,606 "," 	2,030 ", 	76 , 	447 , 	523 , 	- 0, 	173 ," 	1,455 "," 	2,597 "," 	2,939 "," 	3,320 "," 	2,875 "," 	1,914 "," 	4,993 "
