,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JUNE,,,,England," 	139,030 "," 	483,870 "," 	622,927 "," 	22,690 "," 	144,721 "," 	167,441 "," 	23,779 "," 	449,326 "," 	1,062,591 "," 	894,979 "," 	1,008,219 "," 	848,213 "," 	544,019 "," 	1,428,070 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	891 ," 	2,762 "," 	3,653 ", 	169 , 	964 ," 	1,133 ", 	163 ," 	2,840 "," 	5,827 "," 	4,841 "," 	5,628 "," 	4,686 "," 	4,378 "," 	8,858 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	695 ," 	2,474 "," 	3,169 ", 	101 , 	799 , 	900 , 	108 ," 	2,612 "," 	4,690 "," 	4,336 "," 	4,496 "," 	4,164 "," 	2,591 "," 	7,151 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	285 , 	949 ," 	1,234 ", 	36 , 	254 , 	290 , 	8 ," 	1,167 "," 	1,689 "," 	1,511 "," 	1,630 "," 	1,451 ", 	982 ," 	2,385 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	545 ," 	1,975 "," 	2,520 ", 	76 , 	623 , 	699 , 	85 ," 	1,927 "," 	3,553 "," 	3,167 "," 	3,513 "," 	3,141 "," 	1,827 "," 	5,074 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	308 , 	932 ," 	1,240 ", 	76 , 	202 , 	278 , 	2 ," 	1,101 "," 	1,718 "," 	1,434 "," 	1,717 "," 	1,434 "," 	1,346 "," 	2,736 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	648 ," 	1,355 "," 	2,003 ", 	122 , 	396 , 	518 , 	469 ," 	2,181 "," 	4,723 "," 	4,106 "," 	4,588 "," 	3,986 "," 	2,524 "," 	6,840 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	476 ," 	2,044 "," 	2,520 ", 	41 , 	714 , 	755 , 	52 ," 	1,617 "," 	3,785 "," 	3,046 "," 	3,599 "," 	2,859 "," 	2,795 "," 	5,292 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	944 ," 	3,258 "," 	4,202 ", 	151 , 	905 ," 	1,056 ", 	76 ," 	2,843 "," 	5,766 "," 	4,633 "," 	5,655 "," 	4,585 "," 	4,779 "," 	8,418 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	408 ," 	1,374 "," 	1,782 ", 	124 , 	613 , 	737 , 	114 ," 	1,881 "," 	2,781 "," 	2,147 "," 	2,635 "," 	2,040 "," 	1,682 "," 	3,622 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,521 "," 	5,710 "," 	7,231 ", 	212 ," 	1,839 "," 	2,051 ", 	39 ," 	5,206 "," 	9,828 "," 	8,716 "," 	9,526 "," 	8,525 "," 	6,260 "," 	15,201 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	429 ," 	1,361 "," 	1,790 ", 	129 , 	620 , 	749 , 	119 ," 	1,575 "," 	2,455 "," 	1,848 "," 	2,365 "," 	1,784 "," 	1,315 "," 	3,043 "
,2010-11,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,041 "," 	3,873 "," 	4,914 ", 	143 ," 	1,217 "," 	1,360 ", 	115 ," 	3,386 "," 	6,475 "," 	5,956 "," 	6,413 "," 	5,901 "," 	3,492 "," 	9,620 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	671 ," 	2,088 "," 	2,759 ", 	113 , 	677 , 	790 , 	18 ," 	2,839 "," 	5,253 "," 	3,938 "," 	5,023 "," 	3,735 "," 	3,148 "," 	6,084 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	893 ," 	2,508 "," 	3,401 ", 	212 , 	596 , 	808 , 	31 ," 	2,869 "," 	6,115 "," 	4,863 "," 	5,960 "," 	4,754 "," 	4,548 "," 	7,846 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	901 ," 	3,276 "," 	4,177 ", 	117 ," 	1,091 "," 	1,208 ", 	139 ," 	3,046 "," 	7,080 "," 	5,811 "," 	6,980 "," 	5,730 "," 	4,197 "," 	9,555 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	344 ," 	1,933 "," 	2,277 ", 	23 , 	352 , 	375 , 	1 ," 	1,849 "," 	3,804 "," 	2,784 "," 	3,545 "," 	2,528 "," 	2,219 "," 	5,163 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	787 ," 	2,221 "," 	3,008 ", 	206 , 	706 , 	912 , 	11 ," 	2,338 "," 	6,654 "," 	5,637 "," 	6,228 "," 	5,304 "," 	3,369 "," 	8,719 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	530 ," 	1,713 "," 	2,243 ", 	53 , 	396 , 	449 , 	76 ," 	1,978 "," 	3,166 "," 	2,981 "," 	3,150 "," 	2,959 "," 	2,024 "," 	5,063 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	433 ," 	1,682 "," 	2,115 ", 	60 , 	360 , 	420 , 	60 ," 	1,937 "," 	4,425 "," 	3,665 "," 	4,247 "," 	3,476 "," 	2,239 "," 	5,776 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	744 ," 	2,149 "," 	2,893 ", 	160 , 	679 , 	839 , 	4 ," 	2,488 "," 	4,743 "," 	4,102 "," 	4,393 "," 	3,749 "," 	2,770 "," 	6,847 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	665 ," 	2,304 "," 	2,969 ", 	142 , 	789 , 	931 , 	9 ," 	1,780 "," 	4,054 "," 	3,317 "," 	3,966 "," 	3,244 "," 	2,379 "," 	5,756 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	702 ," 	2,269 "," 	2,971 ", 	83 , 	436 , 	519 , 	21 ," 	2,126 "," 	5,355 "," 	4,791 "," 	5,150 "," 	4,413 "," 	3,710 "," 	8,028 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,598 "," 	4,894 "," 	6,492 ", 	224 ," 	1,532 "," 	1,756 ", 	92 ," 	4,275 "," 	10,326 "," 	7,959 "," 	10,157 "," 	7,809 "," 	2,767 "," 	11,818 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	943 ," 	3,794 "," 	4,737 ", 	133 , 	960 ," 	1,093 ", 	2 ," 	3,052 "," 	7,323 "," 	5,293 "," 	6,990 "," 	5,047 "," 	3,828 "," 	8,251 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,356 "," 	5,414 "," 	6,770 ", 	217 ," 	1,376 "," 	1,593 ", 	373 ," 	4,154 "," 	10,622 "," 	8,970 "," 	10,103 "," 	8,648 "," 	4,982 "," 	13,693 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,223 "," 	4,137 "," 	5,360 ", 	226 ," 	1,242 "," 	1,468 ", 	3 ," 	3,556 "," 	8,281 "," 	7,225 "," 	8,042 "," 	6,967 "," 	2,377 "," 	10,554 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	779 ," 	3,143 "," 	3,922 ", 	106 ," 	1,000 "," 	1,106 ", 	485 ," 	2,675 "," 	6,569 "," 	5,588 "," 	6,291 "," 	5,273 "," 	3,741 "," 	9,186 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	885 ," 	3,409 "," 	4,294 ", 	91 , 	925 ," 	1,016 ", 	162 ," 	3,449 "," 	6,447 "," 	5,649 "," 	6,029 "," 	5,272 "," 	3,621 "," 	9,042 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,156 "," 	4,544 "," 	5,700 ", 	190 ," 	1,227 "," 	1,417 ", 	200 ," 	5,371 "," 	12,435 "," 	10,195 "," 	11,814 "," 	9,486 "," 	9,757 "," 	19,569 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	839 ," 	2,929 "," 	3,768 ", 	78 , 	477 , 	555 , 	75 ," 	3,474 "," 	7,045 "," 	5,994 "," 	6,767 "," 	5,736 "," 	3,016 "," 	8,873 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	760 ," 	2,648 "," 	3,408 ", 	100 , 	508 , 	608 , 	179 ," 	2,322 "," 	4,380 "," 	3,927 "," 	4,285 "," 	3,852 "," 	3,973 "," 	6,737 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,095 "," 	4,035 "," 	5,130 ", 	135 , 	638 , 	773 ," 	1,740 "," 	4,368 "," 	7,995 "," 	7,202 "," 	7,937 "," 	7,091 "," 	4,574 "," 	12,453 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	797 ," 	2,542 "," 	3,339 ", 	241 , 	960 ," 	1,201 ", 	10 ," 	2,247 "," 	4,657 "," 	3,961 "," 	4,348 "," 	3,676 "," 	2,739 "," 	6,765 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	635 ," 	2,436 "," 	3,071 ", 	131 , 	739 , 	870 , 	124 ," 	1,875 "," 	5,902 "," 	4,495 "," 	5,823 "," 	4,356 "," 	3,270 "," 	6,806 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,456 "," 	4,336 "," 	5,792 ", 	264 ," 	1,355 "," 	1,619 ", 	212 ," 	5,852 "," 	12,290 "," 	8,989 "," 	11,793 "," 	8,481 "," 	9,026 "," 	16,311 "
,2010-11,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	490 ," 	1,544 "," 	2,034 ", 	111 , 	374 , 	485 , 	- 0," 	1,565 "," 	3,514 "," 	2,868 "," 	3,337 "," 	2,688 ", 	912 ," 	4,081 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	488 ," 	1,720 "," 	2,208 ", 	114 , 	458 , 	572 , 	72 ," 	1,259 "," 	2,842 "," 	2,531 "," 	2,795 "," 	2,473 "," 	2,092 "," 	4,632 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	757 ," 	2,547 "," 	3,304 ", 	76 , 	615 , 	691 , 	1 ," 	2,683 "," 	5,064 "," 	4,720 "," 	5,026 "," 	4,678 "," 	2,264 "," 	7,916 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	600 ," 	1,744 "," 	2,344 ", 	89 , 	629 , 	718 , 	1 ," 	2,133 "," 	3,916 "," 	3,330 "," 	3,848 "," 	3,270 "," 	1,304 "," 	5,304 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	611 ," 	2,695 "," 	3,306 ", 	59 , 	468 , 	527 , 	5 ," 	2,348 "," 	5,452 "," 	4,519 "," 	5,422 "," 	4,477 "," 	3,138 "," 	7,852 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,777 "," 	5,366 "," 	7,143 ", 	208 ," 	1,046 "," 	1,254 ", 	44 ," 	7,736 "," 	13,602 "," 	11,175 "," 	13,453 "," 	10,454 "," 	9,168 "," 	18,147 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,142 "," 	3,222 "," 	4,364 ", 	194 ," 	1,040 "," 	1,234 ", 	31 ," 	3,486 "," 	8,012 "," 	6,192 "," 	7,414 "," 	6,075 "," 	2,722 "," 	9,724 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,178 "," 	3,134 "," 	4,312 ", 	216 ," 	1,069 "," 	1,285 ", 	322 ," 	3,392 "," 	7,691 "," 	6,055 "," 	7,233 "," 	5,641 "," 	2,656 "," 	8,036 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,454 "," 	4,859 "," 	6,313 ", 	306 ," 	1,286 "," 	1,592 ", 	20 ," 	5,222 "," 	11,164 "," 	8,800 "," 	10,323 "," 	8,019 "," 	6,386 "," 	18,165 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	747 ," 	2,611 "," 	3,358 ", 	95 , 	696 , 	791 , 	20 ," 	2,867 "," 	6,666 "," 	5,694 "," 	6,639 "," 	5,669 "," 	2,080 "," 	9,768 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,066 "," 	7,648 "," 	9,714 ", 	365 ," 	2,740 "," 	3,105 ", 	90 ," 	6,265 "," 	15,421 "," 	12,521 "," 	15,021 "," 	12,225 "," 	7,273 "," 	18,572 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,049 "," 	3,739 "," 	4,788 ", 	127 ," 	1,072 "," 	1,199 ", 	336 ," 	2,557 "," 	7,674 "," 	6,058 "," 	7,538 "," 	5,922 "," 	2,137 "," 	8,252 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	861 ," 	2,910 "," 	3,771 ", 	93 , 	822 , 	915 , 	5 ," 	2,611 "," 	6,970 "," 	5,568 "," 	6,736 "," 	5,338 "," 	1,225 "," 	7,440 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,329 "," 	5,193 "," 	6,522 ", 	192 ," 	1,820 "," 	2,012 ", 	1 ," 	5,412 "," 	7,520 "," 	6,279 "," 	7,127 "," 	5,757 "," 	6,051 "," 	11,739 "
,2010-11,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	480 ," 	1,800 "," 	2,280 ", 	99 , 	575 , 	674 , 	1 ," 	1,104 "," 	3,157 "," 	2,551 "," 	2,920 "," 	2,353 "," 	1,870 "," 	4,194 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	794 ," 	2,276 "," 	3,070 ", 	142 , 	766 , 	908 , 	10 ," 	2,698 "," 	5,202 "," 	4,875 "," 	5,085 "," 	4,759 "," 	1,702 "," 	7,325 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	285 , 	924 ," 	1,209 ", 	42 , 	190 , 	232 , 	3 , 	939 ," 	2,152 "," 	2,096 "," 	2,110 "," 	2,072 ", 	751 ," 	3,397 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,755 "," 	7,020 "," 	8,775 ", 	234 ," 	2,198 "," 	2,432 ", 	356 ," 	6,287 "," 	13,282 "," 	11,718 "," 	12,875 "," 	11,169 "," 	5,477 "," 	18,462 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	732 ," 	3,265 "," 	3,997 ", 	162 ," 	1,188 "," 	1,350 ", 	30 ," 	2,837 "," 	4,476 "," 	3,783 "," 	4,413 "," 	3,634 "," 	1,589 "," 	5,898 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,941 "," 	6,251 "," 	8,192 ", 	219 ," 	1,747 "," 	1,966 ", 	49 ," 	5,443 "," 	11,964 "," 	10,939 "," 	11,779 "," 	10,694 "," 	4,173 "," 	16,235 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,149 "," 	8,230 "," 	10,379 ", 	338 ," 	2,981 "," 	3,319 ", 	277 ," 	5,962 "," 	15,438 "," 	13,462 "," 	14,907 "," 	12,693 "," 	6,095 "," 	18,769 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,432 "," 	5,865 "," 	7,297 ", 	193 ," 	2,430 "," 	2,623 ", 	88 ," 	5,100 "," 	11,801 "," 	9,201 "," 	11,693 "," 	9,095 "," 	7,374 "," 	14,150 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	649 ," 	2,436 "," 	3,085 ", 	104 ," 	1,006 "," 	1,110 ", 	1 ," 	3,350 "," 	6,207 "," 	4,624 "," 	6,207 "," 	4,622 "," 	4,550 "," 	7,004 "
,2010-11,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,819 "," 	6,956 "," 	8,775 ", 	368 ," 	2,432 "," 	2,830 ", 	35 ," 	5,228 "," 	10,947 "," 	10,116 "," 	10,779 "," 	9,976 "," 	5,219 "," 	14,122 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	426 ," 	1,416 "," 	1,842 ", 	60 , 	494 , 	554 , 	20 ," 	1,241 "," 	3,236 "," 	3,246 "," 	3,056 "," 	3,182 "," 	1,499 "," 	4,510 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	990 ," 	2,561 "," 	3,551 ", 	235 , 	521 , 	756 , 	236 ," 	3,305 "," 	8,176 "," 	8,012 "," 	6,656 "," 	6,528 "," 	3,631 "," 	10,776 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	793 ," 	3,580 "," 	4,373 ", 	98 ," 	1,659 "," 	1,757 ", 	46 ," 	2,129 "," 	5,527 "," 	3,475 "," 	4,837 "," 	3,367 "," 	3,839 "," 	6,300 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	605 ," 	2,733 "," 	3,338 ", 	106 ," 	1,008 "," 	1,114 ", 	52 ," 	2,263 "," 	6,054 "," 	5,003 "," 	5,637 "," 	4,565 "," 	2,484 "," 	8,199 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	758 ," 	2,992 "," 	3,750 ", 	70 ," 	1,014 "," 	1,084 ", 	4 ," 	2,654 "," 	7,326 "," 	5,594 "," 	7,046 "," 	5,413 "," 	4,796 "," 	9,703 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	418 ," 	1,510 "," 	1,928 ", 	44 , 	475 , 	519 , 	6 ," 	1,172 "," 	2,960 "," 	1,443 "," 	2,562 "," 	1,430 "," 	2,390 "," 	3,657 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	583 ," 	2,534 "," 	3,117 ", 	95 ," 	1,056 "," 	1,151 ", 	11 ," 	2,355 "," 	5,567 "," 	5,235 "," 	5,168 "," 	4,440 "," 	2,509 "," 	7,657 "
,2010-11,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	542 ," 	1,833 "," 	2,375 ", 	118 , 	447 , 	565 , 	550 ," 	2,893 "," 	6,294 "," 	5,537 "," 	5,314 "," 	4,506 "," 	3,492 "," 	8,290 "
