,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,MAY,,,,England," 	132,990 "," 	404,155 "," 	537,145 "," 	20,921 "," 	119,121 "," 	140,042 "," 	9,322 "," 	16,010 "," 	431,844 "," 	902,489 "," 	730,103 "," 	859,452 "," 	694,061 "," 	478,983 "," 	1,182,159 "
,2009-10,MAY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,241 "," 	45,365 "," 	60,606 "," 	2,417 "," 	15,590 "," 	18,007 ", 	732 ," 	1,537 "," 	41,514 "," 	86,201 "," 	70,891 "," 	84,008 "," 	70,181 "," 	43,177 "," 	117,116 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	898 ," 	2,392 "," 	3,290 ", 	189 , 	743 , 	932 , 	54 , 	11 ," 	2,569 "," 	4,034 "," 	3,727 "," 	3,960 "," 	3,664 "," 	3,546 "," 	6,845 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	691 ," 	2,245 "," 	2,936 ", 	100 , 	792 , 	892 , 	55 , 	4 ," 	2,535 "," 	3,652 "," 	3,319 "," 	3,565 "," 	3,250 "," 	2,379 "," 	5,438 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	257 , 	829 ," 	1,086 ", 	36 , 	268 , 	304 , 	- 0, 	- 0," 	1,028 "," 	1,396 "," 	1,185 "," 	1,343 "," 	1,135 ", 	793 ," 	1,810 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	543 ," 	1,589 "," 	2,132 ", 	79 , 	518 , 	597 , 	- 0, 	1 ," 	1,874 "," 	2,842 "," 	2,375 "," 	2,802 "," 	2,351 "," 	1,562 "," 	3,892 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	277 , 	687 , 	964 , 	39 , 	118 , 	157 , 	- 0, 	1 , 	986 ," 	1,511 "," 	1,181 "," 	1,497 "," 	1,157 "," 	1,191 "," 	2,133 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	638 ," 	1,083 "," 	1,721 ", 	138 , 	282 , 	420 , 	- 0, 	405 ," 	2,214 "," 	3,883 "," 	3,457 "," 	3,770 "," 	3,302 "," 	2,393 "," 	5,454 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	458 ," 	1,775 "," 	2,233 ", 	53 , 	546 , 	599 , 	- 0, 	52 ," 	1,405 "," 	2,984 "," 	2,463 "," 	2,765 "," 	2,398 "," 	1,627 "," 	4,015 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	938 ," 	2,830 "," 	3,768 ", 	141 , 	785 , 	926 , 	- 0, 	113 ," 	2,783 "," 	4,945 "," 	4,497 "," 	4,856 "," 	3,731 "," 	5,603 "," 	6,902 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	393 ," 	1,163 "," 	1,556 ", 	109 , 	611 , 	720 , 	14 , 	- 0," 	1,714 "," 	2,248 "," 	1,762 "," 	2,103 "," 	1,646 "," 	1,606 "," 	3,438 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,487 "," 	4,842 "," 	6,329 ", 	222 ," 	1,539 "," 	1,761 ", 	- 0, 	35 ," 	4,986 "," 	8,674 "," 	6,949 "," 	8,458 "," 	6,796 "," 	5,902 "," 	11,612 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	357 ," 	1,070 "," 	1,427 ", 	93 , 	549 , 	642 , 	8 , 	- 0," 	1,334 "," 	1,972 "," 	1,539 "," 	1,858 "," 	1,464 "," 	1,275 "," 	2,917 "
,2009-10,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,044 "," 	3,199 "," 	4,243 ", 	198 ," 	1,369 "," 	1,567 ", 	80 , 	3 ," 	3,234 "," 	5,088 "," 	4,496 "," 	5,059 "," 	4,479 "," 	3,220 "," 	7,761 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	541 ," 	1,175 "," 	1,716 ", 	131 , 	289 , 	420 , 	61 , 	- 0," 	1,535 "," 	2,881 "," 	2,444 "," 	2,681 "," 	2,232 "," 	1,241 "," 	3,245 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	563 ," 	1,430 "," 	1,993 ", 	88 , 	506 , 	594 , 	105 , 	16 ," 	2,571 "," 	4,294 "," 	3,150 "," 	4,217 "," 	3,081 "," 	3,096 "," 	4,937 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	909 ," 	2,056 "," 	2,965 ", 	196 , 	484 , 	680 , 	43 , 	20 ," 	2,862 "," 	5,375 "," 	4,107 "," 	5,409 "," 	4,238 "," 	3,849 "," 	6,861 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	814 ," 	2,618 "," 	3,432 ", 	102 , 	807 , 	909 , 	- 0, 	84 ," 	2,855 "," 	5,749 "," 	4,718 "," 	5,421 "," 	4,652 "," 	3,008 "," 	7,574 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	337 ," 	1,797 "," 	2,134 ", 	36 , 	348 , 	384 , 	34 , 	- 0," 	1,908 "," 	2,737 "," 	1,931 "," 	2,560 "," 	1,884 "," 	1,750 "," 	3,294 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	687 ," 	1,710 "," 	2,397 ", 	66 , 	356 , 	422 , 	1 , 	11 ," 	2,342 "," 	5,421 "," 	4,295 "," 	5,061 "," 	3,981 "," 	2,894 "," 	6,573 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	440 ," 	1,484 "," 	1,924 ", 	39 , 	350 , 	389 , 	3 , 	31 ," 	1,972 "," 	2,500 "," 	2,301 "," 	2,486 "," 	2,286 "," 	1,763 "," 	3,944 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	389 ," 	1,373 "," 	1,762 ", 	53 , 	265 , 	318 , 	27 , 	3 ," 	1,981 "," 	3,890 "," 	3,142 "," 	3,686 "," 	2,942 "," 	1,774 "," 	4,659 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	646 ," 	1,852 "," 	2,498 ", 	67 , 	649 , 	716 , 	- 0, 	3 ," 	2,023 "," 	3,826 "," 	3,408 "," 	3,483 "," 	3,171 "," 	2,516 "," 	5,905 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	604 ," 	2,004 "," 	2,608 ", 	93 , 	561 , 	654 , 	1 , 	52 ," 	1,729 "," 	3,098 "," 	2,653 "," 	2,834 "," 	2,591 "," 	2,197 "," 	4,544 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	664 ," 	1,912 "," 	2,576 ", 	74 , 	420 , 	494 , 	1 , 	22 ," 	2,074 "," 	4,352 "," 	3,589 "," 	4,160 "," 	3,550 "," 	2,662 "," 	6,322 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,573 "," 	4,065 "," 	5,638 ", 	218 , 	895 ," 	1,113 ", 	- 0, 	75 ," 	4,482 "," 	9,644 "," 	7,586 "," 	9,496 "," 	7,406 "," 	2,693 "," 	10,709 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	808 ," 	3,601 "," 	4,409 ", 	109 , 	969 ," 	1,078 ", 	68 , 	32 ," 	3,063 "," 	5,380 "," 	4,478 "," 	5,267 "," 	4,380 "," 	2,063 "," 	6,995 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,279 "," 	4,517 "," 	5,796 ", 	193 ," 	1,087 "," 	1,280 ", 	488 , 	332 ," 	4,017 "," 	8,715 "," 	7,409 "," 	8,305 "," 	7,107 "," 	3,795 "," 	11,377 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,340 "," 	3,425 "," 	4,765 ", 	273 ," 	1,005 "," 	1,278 ", 	343 , 	- 0," 	3,438 "," 	7,633 "," 	6,170 "," 	7,157 "," 	5,771 "," 	3,892 "," 	8,648 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	798 ," 	2,844 "," 	3,642 ", 	141 , 	883 ," 	1,024 ", 	87 , 	445 ," 	2,765 "," 	5,934 "," 	4,853 "," 	5,668 "," 	4,585 "," 	3,190 "," 	7,676 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	939 ," 	2,568 "," 	3,507 ", 	118 , 	665 , 	783 , 	62 , 	42 ," 	3,450 "," 	5,418 "," 	4,369 "," 	5,098 "," 	4,049 "," 	3,025 "," 	6,932 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,134 "," 	3,605 "," 	4,739 ", 	188 , 	881 ," 	1,069 ", 	123 , 	54 ," 	5,469 "," 	10,061 "," 	8,016 "," 	9,515 "," 	7,333 "," 	8,212 "," 	15,556 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	792 ," 	2,622 "," 	3,414 ", 	76 , 	517 , 	593 , 	6 , 	91 ," 	3,315 "," 	5,884 "," 	4,906 "," 	5,695 "," 	4,722 "," 	2,674 "," 	7,042 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	714 ," 	2,150 "," 	2,864 ", 	117 , 	386 , 	503 , 	- 0, 	151 ," 	2,271 "," 	4,561 "," 	3,914 "," 	4,424 "," 	3,704 "," 	3,996 "," 	6,376 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,059 "," 	3,160 "," 	4,219 ", 	104 , 	437 , 	541 , 	1 ," 	1,351 "," 	4,155 "," 	6,812 "," 	5,912 "," 	6,656 "," 	5,635 "," 	4,815 "," 	10,078 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	737 ," 	2,260 "," 	2,997 ", 	137 , 	738 , 	875 , 	1 , 	2 ," 	2,245 "," 	4,213 "," 	3,362 "," 	3,457 "," 	2,767 "," 	2,207 "," 	5,180 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	653 ," 	2,089 "," 	2,742 ", 	115 , 	641 , 	756 , 	- 0, 	149 ," 	1,534 "," 	5,523 "," 	3,772 "," 	5,259 "," 	3,594 "," 	2,292 "," 	6,106 "
,2009-10,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,565 "," 	3,788 "," 	5,353 ", 	275 , 	999 ," 	1,274 ", 	17 , 	213 ," 	5,444 "," 	10,442 "," 	6,897 "," 	9,896 "," 	6,593 "," 	8,319 "," 	13,732 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	519 ," 	1,458 "," 	1,977 ", 	110 , 	449 , 	559 , 	- 0, 	68 ," 	1,534 "," 	2,684 "," 	2,113 "," 	2,638 "," 	2,063 "," 	1,566 "," 	3,927 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	769 ," 	2,440 "," 	3,209 ", 	85 , 	687 , 	772 , 	10 , 	- 0," 	2,437 "," 	4,808 "," 	3,709 "," 	4,772 "," 	3,682 "," 	2,231 "," 	6,193 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	532 ," 	1,403 "," 	1,935 ", 	76 , 	498 , 	574 , 	- 0, 	- 0," 	1,922 "," 	3,141 "," 	2,644 "," 	3,078 "," 	2,212 ", 	957 ," 	3,726 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	820 ," 	2,379 "," 	3,199 ", 	113 , 	544 , 	657 , 	15 , 	- 0," 	2,405 "," 	4,946 "," 	3,716 "," 	4,121 "," 	3,947 "," 	2,810 "," 	6,547 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,915 "," 	5,103 "," 	7,018 ", 	279 ," 	1,308 "," 	1,587 ", 	178 , 	30 ," 	6,970 "," 	11,938 "," 	9,296 "," 	11,873 "," 	8,754 "," 	8,463 "," 	15,066 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,083 "," 	2,626 "," 	3,709 ", 	209 , 	752 , 	961 , 	- 0, 	51 ," 	3,531 "," 	6,719 "," 	5,191 "," 	6,230 "," 	5,010 "," 	2,480 "," 	8,123 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,064 "," 	2,688 "," 	3,752 ", 	201 , 	872 ," 	1,073 ", 	- 0, 	271 ," 	3,151 "," 	6,204 "," 	4,777 "," 	5,665 "," 	4,399 "," 	2,807 "," 	6,504 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,584 "," 	4,305 "," 	5,889 ", 	294 ," 	1,331 "," 	1,625 ", 	146 , 	- 0," 	4,800 "," 	10,122 "," 	7,704 "," 	9,323 "," 	6,966 "," 	5,877 "," 	14,883 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	712 ," 	2,322 "," 	3,034 ", 	97 , 	696 , 	793 , 	45 , 	15 ," 	2,790 "," 	5,452 "," 	4,687 "," 	5,192 "," 	4,612 "," 	2,912 "," 	7,782 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,035 "," 	6,430 "," 	8,465 ", 	386 ," 	2,286 "," 	2,672 ", 	- 0, 	345 ," 	6,200 "," 	12,357 "," 	9,312 "," 	11,714 "," 	9,081 "," 	6,383 "," 	15,306 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	927 ," 	2,937 "," 	3,864 ", 	114 , 	974 ," 	1,088 ", 	- 0, 	203 ," 	2,488 "," 	5,900 "," 	4,587 "," 	5,780 "," 	4,584 "," 	1,707 "," 	6,366 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	789 ," 	2,266 "," 	3,055 ", 	56 , 	687 , 	743 , 	- 0, 	6 ," 	2,662 "," 	5,424 "," 	3,982 "," 	5,405 "," 	3,982 "," 	1,189 "," 	5,524 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,313 "," 	4,527 "," 	5,840 ", 	288 ," 	1,543 "," 	1,831 ", 	654 , 	- 0," 	4,695 "," 	7,023 "," 	5,559 "," 	6,322 "," 	4,978 "," 	3,641 "," 	8,196 "
,2009-10,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	418 ," 	1,393 "," 	1,811 ", 	114 , 	450 , 	564 , 	- 0, 	3 ," 	1,263 "," 	2,462 "," 	1,777 "," 	2,158 "," 	1,637 "," 	1,434 "," 	3,408 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	641 ," 	1,955 "," 	2,596 ", 	114 , 	543 , 	657 , 	344 , 	8 ," 	2,693 "," 	4,418 "," 	3,531 "," 	4,299 "," 	3,431 "," 	1,934 "," 	6,029 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	305 , 	945 ," 	1,250 ", 	42 , 	254 , 	296 , 	18 , 	- 0, 	868 ," 	1,998 "," 	1,799 "," 	1,951 "," 	1,744 ", 	639 ," 	2,970 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,813 "," 	6,019 "," 	7,832 ", 	257 ," 	2,064 "," 	2,321 ", 	215 , 	- 0," 	5,686 "," 	11,773 "," 	9,138 "," 	11,524 "," 	8,901 "," 	5,287 "," 	14,973 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	651 ," 	2,455 "," 	3,106 ", 	129 , 	894 ," 	1,023 ", 	9 , 	12 ," 	2,430 "," 	4,451 "," 	3,401 "," 	4,373 "," 	3,387 "," 	2,081 "," 	5,257 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,862 "," 	5,339 "," 	7,201 ", 	238 ," 	1,214 "," 	1,452 ", 	589 , 	54 ," 	5,292 "," 	10,739 "," 	8,769 "," 	10,580 "," 	8,608 "," 	3,852 "," 	13,589 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,539 "," 	7,072 "," 	9,611 ", 	488 ," 	2,766 "," 	3,254 ", 	509 , 	- 0," 	5,801 "," 	14,370 "," 	12,326 "," 	13,065 "," 	11,572 "," 	4,634 "," 	17,333 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,371 "," 	5,175 "," 	6,546 ", 	178 ," 	2,188 "," 	2,366 ", 	44 , 	- 0," 	5,286 "," 	10,816 "," 	7,592 "," 	10,700 "," 	8,054 "," 	7,181 "," 	12,473 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	595 ," 	2,237 "," 	2,832 ", 	78 , 	926 ," 	1,004 ", 	15 , 	- 0," 	3,469 "," 	5,181 "," 	3,335 "," 	5,148 "," 	3,585 "," 	3,970 "," 	5,477 "
,2009-10,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,625 "," 	5,843 "," 	7,468 ", 	279 ," 	2,096 "," 	2,375 ", 	208 , 	- 0," 	4,880 "," 	10,306 "," 	9,556 "," 	10,166 "," 	9,416 "," 	4,395 "," 	15,030 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	390 ," 	1,189 "," 	1,579 ", 	65 , 	443 , 	508 , 	- 0, 	5 ," 	1,221 "," 	2,748 "," 	2,474 "," 	2,683 "," 	2,416 "," 	1,223 "," 	3,324 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	905 ," 	2,304 "," 	3,209 ", 	161 , 	498 , 	659 , 	- 0, 	240 ," 	2,955 "," 	6,318 "," 	6,551 "," 	4,898 "," 	5,101 "," 	3,484 "," 	8,688 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	715 ," 	2,728 "," 	3,443 ", 	89 ," 	1,014 "," 	1,103 ", 	- 0, 	5 ," 	2,047 "," 	4,159 "," 	2,319 "," 	4,111 "," 	2,204 "," 	3,214 "," 	5,312 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	543 ," 	2,371 "," 	2,914 ", 	81 , 	945 ," 	1,026 ", 	- 0, 	54 ," 	2,083 "," 	5,051 "," 	4,157 "," 	4,682 "," 	4,061 "," 	2,453 "," 	6,942 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	841 ," 	2,640 "," 	3,481 ", 	89 , 	915 ," 	1,004 ", 	- 0, 	5 ," 	2,759 "," 	6,140 "," 	4,753 "," 	5,792 "," 	4,497 "," 	4,275 "," 	8,091 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	355 ," 	1,273 "," 	1,628 ", 	45 , 	447 , 	492 , 	- 0, 	3 ," 	1,188 "," 	2,334 "," 	1,122 "," 	2,313 ", 	985 ," 	1,842 "," 	3,406 "
,2009-10,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	570 ," 	2,166 "," 	2,736 ", 	81 , 	995 ," 	1,076 ", 	- 0, 	34 ," 	2,377 "," 	4,826 "," 	4,018 "," 	4,523 "," 	3,615 "," 	3,115 "," 	6,819 "
