,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,SEPTEMBER,,,,England," 	141,197 "," 	424,593 "," 	565,790 "," 	22,995 "," 	122,047 "," 	145,042 "," 	7,912 "," 	17,547 "," 	416,592 "," 	909,481 "," 	791,371 "," 	872,152 "," 	749,270 "," 	470,448 "," 	1,247,588 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	281 , 	903 ," 	1,184 ", 	30 , 	143 , 	173 , 	- 0, 	2 , 	977 ," 	1,741 "," 	1,494 "," 	1,672 "," 	1,444 "," 	1,087 "," 	2,450 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	726 ," 	1,165 "," 	1,891 ", 	130 , 	280 , 	410 , 	- 0, 	417 ," 	2,007 "," 	4,079 "," 	3,673 "," 	3,925 "," 	3,660 "," 	2,468 "," 	6,066 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	554 ," 	1,794 "," 	2,348 ", 	60 , 	558 , 	618 , 	- 0, 	55 ," 	1,479 "," 	3,490 "," 	2,820 "," 	3,277 "," 	2,786 "," 	1,685 "," 	4,344 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,061 "," 	3,100 "," 	4,161 ", 	114 , 	738 , 	852 , 	- 0, 	110 ," 	2,755 "," 	4,717 "," 	4,969 "," 	4,796 "," 	4,196 "," 	4,764 "," 	8,092 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	376 ," 	1,439 "," 	1,815 ", 	82 , 	785 , 	867 , 	101 , 	- 0," 	1,708 "," 	2,496 "," 	2,067 "," 	2,356 "," 	1,965 "," 	1,514 "," 	3,552 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,634 "," 	4,932 "," 	6,566 ", 	256 ," 	1,532 "," 	1,788 ", 	- 0, 	41 ," 	4,792 "," 	9,163 "," 	7,731 "," 	8,917 "," 	7,520 "," 	5,578 "," 	12,651 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	354 ," 	1,255 "," 	1,609 ", 	67 , 	622 , 	689 , 	80 , 	- 0," 	1,324 "," 	2,199 "," 	1,741 "," 	2,128 "," 	1,664 "," 	1,117 "," 	2,918 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,057 "," 	3,312 "," 	4,369 ", 	134 ," 	1,164 "," 	1,298 ", 	61 , 	8 ," 	3,251 "," 	5,051 "," 	5,202 "," 	5,018 "," 	5,180 "," 	3,046 "," 	8,407 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	471 ," 	1,267 "," 	1,738 ", 	107 , 	318 , 	425 , 	44 , 	- 0," 	1,538 "," 	3,010 "," 	2,386 "," 	2,766 "," 	2,263 "," 	1,315 "," 	3,180 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	815 ," 	1,929 "," 	2,744 ", 	167 , 	544 , 	711 , 	69 , 	13 ," 	2,381 "," 	4,242 "," 	3,472 "," 	4,148 "," 	3,400 "," 	2,670 "," 	4,770 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,107 "," 	2,220 "," 	3,327 ", 	230 , 	422 , 	652 , 	61 , 	- 0," 	2,735 "," 	5,668 "," 	4,468 "," 	5,569 "," 	4,537 "," 	3,622 "," 	7,485 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	932 ," 	2,737 "," 	3,669 ", 	129 , 	812 , 	941 , 	- 0, 	97 ," 	2,892 "," 	6,247 "," 	5,237 "," 	5,946 "," 	5,205 "," 	3,175 "," 	8,440 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	388 ," 	2,019 "," 	2,407 ", 	33 , 	442 , 	475 , 	6 , 	- 0," 	1,628 "," 	2,560 "," 	2,036 "," 	2,414 "," 	1,980 "," 	1,719 "," 	3,487 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	829 ," 	1,896 "," 	2,725 ", 	121 , 	395 , 	516 , 	2 , 	5 ," 	2,368 "," 	5,280 "," 	4,821 "," 	4,975 "," 	4,535 "," 	2,693 "," 	7,378 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	459 ," 	1,384 "," 	1,843 ", 	39 , 	297 , 	336 , 	13 , 	1 ," 	1,735 "," 	2,589 "," 	2,506 "," 	2,569 "," 	2,479 "," 	1,430 "," 	3,909 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	484 ," 	1,375 "," 	1,859 ", 	52 , 	264 , 	316 , 	15 , 	- 0," 	2,285 "," 	3,851 "," 	3,332 "," 	3,731 "," 	3,208 "," 	1,759 "," 	4,892 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	684 ," 	1,905 "," 	2,589 ", 	79 , 	626 , 	705 , 	2 , 	3 ," 	2,138 "," 	3,928 "," 	3,462 "," 	3,554 "," 	3,202 "," 	2,489 "," 	5,061 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	596 ," 	1,934 "," 	2,530 ", 	98 , 	557 , 	655 , 	3 , 	18 ," 	1,722 "," 	3,665 "," 	3,132 "," 	3,378 "," 	2,722 "," 	1,994 "," 	4,365 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	728 ," 	2,051 "," 	2,779 ", 	96 , 	424 , 	520 , 	8 , 	31 ," 	1,969 "," 	4,827 "," 	3,988 "," 	4,551 "," 	3,760 "," 	2,703 "," 	6,384 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,794 "," 	4,187 "," 	5,981 ", 	328 , 	859 ," 	1,187 ", 	2 , 	45 ," 	4,237 "," 	9,349 "," 	7,711 "," 	9,122 "," 	7,522 "," 	3,063 "," 	11,148 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,097 "," 	3,988 "," 	5,085 ", 	292 , 	889 ," 	1,181 ", 	79 , 	- 0," 	2,911 "," 	6,074 "," 	5,082 "," 	5,882 "," 	4,965 "," 	2,114 "," 	7,124 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,394 "," 	4,694 "," 	6,088 ", 	224 ," 	1,098 "," 	1,322 ", 	292 , 	331 ," 	4,070 "," 	9,535 "," 	7,856 "," 	9,003 "," 	7,557 "," 	4,058 "," 	11,961 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,317 "," 	3,557 "," 	4,874 ", 	288 ," 	1,002 "," 	1,290 ", 	230 , 	- 0," 	3,142 "," 	8,492 "," 	6,891 "," 	7,928 "," 	6,486 "," 	4,489 "," 	9,211 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	817 ," 	3,102 "," 	3,919 ", 	112 , 	864 , 	976 , 	52 , 	405 ," 	3,303 "," 	5,982 "," 	5,259 "," 	5,787 "," 	5,060 "," 	3,341 "," 	8,222 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	932 ," 	2,863 "," 	3,795 ", 	106 , 	667 , 	773 , 	62 , 	- 0," 	3,555 "," 	5,559 "," 	5,144 "," 	5,217 "," 	4,840 "," 	2,789 "," 	7,799 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,363 "," 	3,526 "," 	4,889 ", 	255 , 	806 ," 	1,061 ", 	133 , 	170 ," 	5,816 "," 	9,380 "," 	7,800 "," 	9,290 "," 	7,690 "," 	6,779 "," 	15,637 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	815 ," 	2,463 "," 	3,278 ", 	64 , 	379 , 	443 , 	15 , 	- 0," 	3,256 "," 	5,976 "," 	5,444 "," 	5,643 "," 	5,156 "," 	2,323 "," 	7,607 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	758 ," 	2,095 "," 	2,853 ", 	164 , 	343 , 	507 , 	1 , 	71 ," 	2,294 "," 	4,693 "," 	4,134 "," 	4,539 "," 	3,887 "," 	3,994 "," 	6,276 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,177 "," 	3,381 "," 	4,558 ", 	135 , 	546 , 	681 , 	3 ," 	1,416 "," 	3,875 "," 	7,671 "," 	6,653 "," 	7,295 "," 	6,157 "," 	4,860 "," 	11,141 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	671 ," 	2,240 "," 	2,911 ", 	105 , 	701 , 	806 , 	- 0, 	8 ," 	2,037 "," 	3,958 "," 	3,561 "," 	3,570 "," 	3,094 "," 	2,205 "," 	4,884 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	743 ," 	2,281 "," 	3,024 ", 	217 , 	433 , 	650 , 	5 , 	128 ," 	1,577 "," 	5,268 "," 	4,600 "," 	4,860 "," 	4,324 "," 	2,141 "," 	6,361 "
,2008-09,SEPTEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,630 "," 	4,058 "," 	5,688 ", 	288 ," 	1,072 "," 	1,360 ", 	36 , 	238 ," 	5,432 "," 	11,520 "," 	7,582 "," 	10,835 "," 	7,179 "," 	7,818 "," 	14,165 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	511 ," 	1,661 "," 	2,172 ", 	90 , 	500 , 	590 , 	- 0, 	170 ," 	1,326 "," 	2,540 "," 	2,378 "," 	2,475 "," 	2,318 "," 	1,297 "," 	3,870 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	791 ," 	2,642 "," 	3,433 ", 	124 , 	783 , 	907 , 	20 , 	- 0," 	2,403 "," 	4,793 "," 	4,153 "," 	4,756 "," 	4,115 "," 	2,388 "," 	7,237 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	565 ," 	1,506 "," 	2,071 ", 	101 , 	376 , 	477 , 	- 0, 	- 0," 	1,620 "," 	3,425 "," 	2,846 "," 	3,326 "," 	2,384 "," 	1,069 "," 	4,441 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	815 ," 	2,378 "," 	3,193 ", 	163 , 	838 ," 	1,001 ", 	- 0, 	- 0," 	2,404 "," 	4,491 "," 	4,216 "," 	4,450 "," 	4,192 "," 	2,984 "," 	7,414 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,864 "," 	5,247 "," 	7,111 ", 	325 , 	976 ," 	1,301 ", 	149 , 	28 ," 	6,716 "," 	12,232 "," 	10,643 "," 	11,831 "," 	9,663 "," 	8,937 "," 	15,821 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,026 "," 	2,709 "," 	3,735 ", 	197 , 	781 , 	978 , 	- 0, 	20 ," 	3,187 "," 	7,072 "," 	5,409 "," 	6,455 "," 	5,233 "," 	2,566 "," 	8,758 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	960 ," 	2,846 "," 	3,806 ", 	147 , 	962 ," 	1,109 ", 	- 0, 	287 ," 	2,932 "," 	6,426 "," 	5,230 "," 	5,832 "," 	4,805 "," 	2,512 "," 	6,715 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,789 "," 	4,831 "," 	6,620 ", 	332 ," 	1,569 "," 	1,901 ", 	48 , 	1 ," 	4,594 "," 	10,133 "," 	8,710 "," 	9,333 "," 	7,973 "," 	6,197 "," 	15,769 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	808 ," 	2,329 "," 	3,137 ", 	113 , 	692 , 	805 , 	36 , 	63 ," 	2,603 "," 	5,607 "," 	5,121 "," 	5,639 "," 	5,089 "," 	3,262 "," 	8,561 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,841 "," 	5,725 "," 	7,566 ", 	396 ," 	2,150 "," 	2,546 ", 	- 0, 	293 ," 	5,681 "," 	12,891 "," 	11,254 "," 	12,243 "," 	10,964 "," 	6,991 "," 	16,835 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,039 "," 	3,109 "," 	4,148 ", 	123 , 	813 , 	936 , 	- 0, 	239 ," 	2,326 "," 	6,011 "," 	5,334 "," 	5,871 "," 	5,308 "," 	1,909 "," 	7,403 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	895 ," 	2,505 "," 	3,400 ", 	72 , 	392 , 	464 , 	- 0, 	30 ," 	2,509 "," 	5,221 "," 	4,727 "," 	5,209 "," 	4,721 "," 	1,196 "," 	6,556 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,403 "," 	4,904 "," 	6,307 ", 	236 , 	892 ," 	1,128 ", 	484 , 	- 0," 	4,682 "," 	7,454 "," 	6,999 "," 	6,802 "," 	6,579 "," 	3,169 "," 	9,487 "
,2008-09,SEPTEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	556 ," 	1,812 "," 	2,368 ", 	132 , 	695 , 	827 , 	- 0, 	6 ," 	1,214 "," 	2,849 "," 	2,287 "," 	2,545 "," 	2,034 "," 	1,497 "," 	3,490 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	726 ," 	2,051 "," 	2,777 ", 	110 , 	288 , 	398 , 	366 , 	12 ," 	2,466 "," 	4,116 "," 	3,352 "," 	3,965 "," 	3,218 "," 	1,761 "," 	6,402 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	366 , 	993 ," 	1,359 ", 	55 , 	283 , 	338 , 	15 , 	2 , 	833 ," 	2,095 "," 	1,854 "," 	2,055 "," 	1,783 ", 	717 ," 	2,948 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	2,039 "," 	6,347 "," 	8,386 ", 	283 ," 	2,030 "," 	2,313 ", 	170 , 	- 0," 	5,719 "," 	12,175 "," 	10,402 "," 	11,934 "," 	10,138 "," 	5,243 "," 	15,446 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	733 ," 	2,958 "," 	3,691 ", 	102 ," 	1,033 "," 	1,135 ", 	19 , 	16 ," 	2,307 "," 	4,607 "," 	3,817 "," 	4,558 "," 	3,788 "," 	2,042 "," 	5,823 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,927 "," 	5,632 "," 	7,559 ", 	197 , 	824 ," 	1,021 ", 	500 , 	12 ," 	5,025 "," 	9,810 "," 	8,624 "," 	9,729 "," 	8,568 "," 	3,847 "," 	13,734 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,392 "," 	7,198 "," 	9,590 ", 	440 ," 	2,496 "," 	2,936 ", 	187 , 	- 0," 	5,307 "," 	11,676 "," 	12,013 "," 	10,902 "," 	11,395 "," 	4,885 "," 	17,212 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,517 "," 	5,467 "," 	6,984 ", 	164 ," 	1,884 "," 	2,048 ", 	- 0, 	- 0," 	4,897 "," 	10,402 "," 	7,536 "," 	10,322 "," 	8,557 "," 	6,990 "," 	13,412 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	681 ," 	2,201 "," 	2,882 ", 	77 , 	760 , 	837 , 	- 0, 	- 0," 	3,295 "," 	5,117 "," 	3,357 "," 	5,056 "," 	4,131 "," 	3,992 "," 	6,367 "
,2008-09,SEPTEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,860 "," 	5,604 "," 	7,464 ", 	387 ," 	1,946 "," 	2,333 ", 	187 , 	- 0," 	5,574 "," 	9,843 "," 	9,999 "," 	8,885 "," 	8,697 "," 	3,932 "," 	13,206 "
,2008-09,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	421 ," 	1,277 "," 	1,698 ", 	70 , 	540 , 	610 , 	- 0, 	13 ," 	1,088 "," 	2,973 "," 	3,002 "," 	2,926 "," 	2,949 "," 	1,460 "," 	4,021 "
,2008-09,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	988 ," 	2,566 "," 	3,554 ", 	268 , 	484 , 	752 , 	- 0, 	209 ," 	2,981 "," 	7,072 "," 	7,008 "," 	5,365 "," 	5,236 "," 	3,517 "," 	8,773 "
,2008-09,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	789 ," 	3,026 "," 	3,815 ", 	132 ," 	1,168 "," 	1,300 ", 	9 , 	52 ," 	1,903 "," 	4,146 "," 	2,861 "," 	4,017 "," 	2,761 "," 	2,936 "," 	7,138 "
,2008-09,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	589 ," 	2,444 "," 	3,033 ", 	83 , 	942 ," 	1,025 ", 	- 0, 	41 ," 	2,067 "," 	5,201 "," 	4,622 "," 	4,834 "," 	4,515 "," 	2,713 "," 	7,833 "
,2008-09,SEPTEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	941 ," 	2,722 "," 	3,663 ", 	115 , 	918 ," 	1,033 ", 	- 0, 	5 ," 	2,382 "," 	6,295 "," 	5,633 "," 	5,780 "," 	5,160 "," 	4,009 "," 	8,917 "
