,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,AUGUST,,,,England," 	129,794 "," 	443,312 "," 	573,106 "," 	21,148 "," 	135,563 "," 	156,711 "," 	21,179 "," 	440,323 "," 	948,316 "," 	796,634 "," 	899,953 "," 	754,865 "," 	493,704 "," 	1,284,967 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	924 ," 	3,071 "," 	3,995 ", 	119 ," 	1,101 "," 	1,220 ", 	121 ," 	3,121 "," 	5,912 "," 	5,205 "," 	5,838 "," 	5,109 "," 	3,715 "," 	8,383 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	403 ," 	1,812 "," 	2,215 ", 	38 , 	366 , 	404 , 	1 ," 	1,630 "," 	2,963 "," 	2,618 "," 	2,742 "," 	2,441 "," 	2,100 "," 	4,712 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	781 ," 	1,921 "," 	2,702 ", 	161 , 	611 , 	772 , 	9 ," 	2,331 "," 	5,773 "," 	5,007 "," 	5,384 "," 	4,697 "," 	2,891 "," 	7,503 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	508 ," 	1,549 "," 	2,057 ", 	45 , 	339 , 	384 , 	70 ," 	2,066 "," 	2,855 "," 	2,619 "," 	2,834 "," 	2,587 "," 	1,832 "," 	4,522 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	455 ," 	1,506 "," 	1,961 ", 	59 , 	337 , 	396 , 	59 ," 	1,888 "," 	3,831 "," 	3,212 "," 	3,653 "," 	3,018 "," 	1,966 "," 	5,058 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	587 ," 	1,905 "," 	2,492 ", 	93 , 	618 , 	711 , 	9 ," 	2,426 "," 	4,075 "," 	3,745 "," 	3,794 "," 	3,434 "," 	2,241 "," 	6,084 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	567 ," 	1,946 "," 	2,513 ", 	91 , 	681 , 	772 , 	8 ," 	1,707 "," 	3,604 "," 	3,133 "," 	3,516 "," 	3,060 "," 	2,145 "," 	5,353 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	645 ," 	1,886 "," 	2,531 ", 	84 , 	379 , 	463 , 	17 ," 	2,105 "," 	4,342 "," 	3,751 "," 	4,140 "," 	3,417 "," 	2,842 "," 	6,463 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,567 "," 	4,187 "," 	5,754 ", 	244 ," 	1,114 "," 	1,358 ", 	95 ," 	4,411 "," 	9,248 "," 	7,680 "," 	9,133 "," 	7,555 "," 	2,715 "," 	11,243 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	918 ," 	3,741 "," 	4,659 ", 	115 ," 	1,010 "," 	1,125 ", 	8 ," 	3,080 "," 	6,125 "," 	4,921 "," 	5,870 "," 	4,669 "," 	3,724 "," 	7,740 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,236 "," 	5,037 "," 	6,273 ", 	234 ," 	1,362 "," 	1,596 ", 	310 ," 	4,085 "," 	9,122 "," 	8,267 "," 	8,642 "," 	7,867 "," 	4,399 "," 	12,161 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,102 "," 	3,803 "," 	4,905 ", 	192 ," 	1,149 "," 	1,341 ", 	2 ," 	3,295 "," 	7,226 "," 	6,314 "," 	6,795 "," 	5,916 "," 	2,299 "," 	9,077 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	643 ," 	2,732 "," 	3,375 ", 	99 , 	940 ," 	1,039 ", 	408 ," 	2,762 "," 	5,528 "," 	4,810 "," 	5,271 "," 	4,526 "," 	3,420 "," 	7,984 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	795 ," 	3,059 "," 	3,854 ", 	89 , 	811 , 	900 , 	136 ," 	3,578 "," 	5,675 "," 	5,208 "," 	5,365 "," 	4,845 "," 	3,016 "," 	8,378 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,003 "," 	3,937 "," 	4,940 ", 	170 ," 	1,107 "," 	1,277 ", 	223 ," 	5,431 "," 	10,708 "," 	9,021 "," 	10,148 "," 	8,463 "," 	8,587 "," 	15,593 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	826 ," 	2,761 "," 	3,587 ", 	75 , 	493 , 	568 , 	89 ," 	3,310 "," 	6,528 "," 	5,627 "," 	6,230 "," 	5,377 "," 	2,725 "," 	8,409 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	652 ," 	2,354 "," 	3,006 ", 	92 , 	476 , 	568 , 	167 ," 	2,335 "," 	4,342 "," 	3,753 "," 	4,212 "," 	3,657 "," 	3,977 "," 	6,475 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,070 "," 	3,503 "," 	4,573 ", 	131 , 	615 , 	746 ," 	1,521 "," 	4,115 "," 	7,240 "," 	6,301 "," 	7,188 "," 	6,217 "," 	4,464 "," 	10,824 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	661 ," 	2,164 "," 	2,825 ", 	133 , 	852 , 	985 , 	4 ," 	2,170 "," 	4,178 "," 	3,290 "," 	3,860 "," 	3,036 "," 	2,283 "," 	5,691 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	735 ," 	2,085 "," 	2,820 ", 	229 , 	579 , 	808 , 	112 ," 	1,827 "," 	5,165 "," 	4,123 "," 	5,104 "," 	4,019 "," 	2,398 "," 	6,292 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,424 "," 	3,971 "," 	5,395 ", 	279 ," 	1,202 "," 	1,481 ", 	190 ," 	5,838 "," 	10,921 "," 	7,856 "," 	10,495 "," 	7,403 "," 	8,203 "," 	14,270 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	505 ," 	1,287 "," 	1,792 ", 	127 , 	359 , 	486 , 	- 0," 	1,529 "," 	2,861 "," 	2,595 "," 	2,665 "," 	2,423 ", 	787 ," 	3,580 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	462 ," 	1,541 "," 	2,003 ", 	120 , 	441 , 	561 , 	97 ," 	1,393 "," 	2,446 "," 	2,092 "," 	2,401 "," 	2,047 "," 	2,098 "," 	3,837 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	726 ," 	2,562 "," 	3,288 ", 	70 , 	754 , 	824 , 	- 0," 	2,506 "," 	4,665 "," 	4,097 "," 	4,609 "," 	4,056 "," 	2,173 "," 	7,181 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	569 ," 	1,763 "," 	2,332 ", 	92 , 	624 , 	716 , 	- 0," 	1,944 "," 	3,338 "," 	3,146 "," 	3,279 "," 	3,082 "," 	1,126 "," 	5,246 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	614 ," 	2,375 "," 	2,989 ", 	87 , 	454 , 	541 , 	4 ," 	2,346 "," 	4,790 "," 	4,359 "," 	4,765 "," 	4,324 "," 	2,544 "," 	7,447 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,699 "," 	4,448 "," 	6,147 ", 	209 , 	918 ," 	1,127 ", 	38 ," 	7,231 "," 	11,640 "," 	9,824 "," 	11,527 "," 	9,306 "," 	8,403 "," 	16,004 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	976 ," 	2,937 "," 	3,913 ", 	175 , 	963 ," 	1,138 ", 	20 ," 	3,466 "," 	7,107 "," 	5,695 "," 	6,700 "," 	5,578 "," 	2,841 "," 	9,098 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	917 ," 	2,850 "," 	3,767 ", 	142 ," 	1,032 "," 	1,174 ", 	207 ," 	3,273 "," 	6,932 "," 	5,663 "," 	6,657 "," 	5,373 "," 	3,258 "," 	7,820 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,313 "," 	4,276 "," 	5,589 ", 	270 ," 	1,275 "," 	1,545 ", 	9 ," 	5,194 "," 	9,693 "," 	8,269 "," 	8,943 "," 	7,517 "," 	5,722 "," 	17,703 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	797 ," 	2,303 "," 	3,100 ", 	102 , 	538 , 	640 , 	20 ," 	2,883 "," 	5,204 "," 	5,361 "," 	5,184 "," 	5,346 "," 	1,951 "," 	8,809 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,966 "," 	7,277 "," 	9,243 ", 	411 ," 	2,743 "," 	3,154 ", 	50 ," 	6,409 "," 	13,351 "," 	11,560 "," 	13,000 "," 	11,302 "," 	6,848 "," 	16,751 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	963 ," 	3,249 "," 	4,212 ", 	111 ," 	1,007 "," 	1,118 ", 	229 ," 	2,632 "," 	6,104 "," 	5,075 "," 	6,003 "," 	4,985 "," 	1,792 "," 	7,011 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	756 ," 	2,681 "," 	3,437 ", 	54 , 	750 , 	804 , 	3 ," 	2,595 "," 	5,776 "," 	4,734 "," 	5,594 "," 	4,548 "," 	1,160 "," 	6,443 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,230 "," 	4,921 "," 	6,151 ", 	207 ," 	1,698 "," 	1,905 ", 	18 ," 	5,528 "," 	7,011 "," 	5,924 "," 	6,609 "," 	5,476 "," 	5,366 "," 	10,785 "
,2010-11,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	426 ," 	1,647 "," 	2,073 ", 	85 , 	502 , 	587 , 	1 ," 	1,187 "," 	2,623 "," 	2,159 "," 	2,405 "," 	1,979 "," 	1,677 "," 	3,510 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	694 ," 	2,165 "," 	2,859 ", 	151 , 	737 , 	888 , 	4 ," 	2,635 "," 	4,828 "," 	4,239 "," 	4,693 "," 	4,146 "," 	1,621 "," 	6,398 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	310 , 	909 ," 	1,219 ", 	38 , 	264 , 	302 , 	1 , 	879 ," 	1,699 "," 	1,808 "," 	1,654 "," 	1,790 ", 	585 ," 	2,807 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,635 "," 	6,606 "," 	8,241 ", 	199 ," 	2,042 "," 	2,241 ", 	357 ," 	6,086 "," 	12,143 "," 	10,416 "," 	11,773 "," 	10,015 "," 	4,960 "," 	16,862 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	615 ," 	2,765 "," 	3,380 ", 	118 , 	939 ," 	1,057 ", 	19 ," 	2,699 "," 	3,875 "," 	3,103 "," 	3,824 "," 	2,978 "," 	1,379 "," 	5,014 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,795 "," 	5,796 "," 	7,591 ", 	237 ," 	1,756 "," 	1,993 ", 	53 ," 	5,153 "," 	10,648 "," 	9,781 "," 	10,457 "," 	9,597 "," 	3,765 "," 	14,623 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,977 "," 	7,414 "," 	9,391 ", 	309 ," 	2,854 "," 	3,163 ", 	211 ," 	5,766 "," 	14,069 "," 	12,297 "," 	13,606 "," 	11,579 "," 	5,680 "," 	16,976 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,353 "," 	5,255 "," 	6,608 ", 	201 ," 	2,173 "," 	2,374 ", 	85 ," 	4,969 "," 	10,236 "," 	8,078 "," 	10,124 "," 	7,608 "," 	6,902 "," 	12,649 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	610 ," 	2,197 "," 	2,807 ", 	103 , 	873 , 	976 , 	- 0," 	3,210 "," 	5,302 "," 	3,847 "," 	5,300 "," 	3,845 "," 	3,952 "," 	5,930 "
,2010-11,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,684 "," 	5,867 "," 	7,551 ", 	333 ," 	1,969 "," 	2,302 ", 	42 ," 	5,072 "," 	11,090 "," 	9,840 "," 	10,940 "," 	9,595 "," 	4,738 "," 	13,417 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	368 ," 	1,192 "," 	1,560 ", 	65 , 	401 , 	466 , 	13 ," 	1,178 "," 	3,031 "," 	2,816 "," 	2,790 "," 	2,747 "," 	1,383 "," 	3,870 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	951 ," 	2,458 "," 	3,409 ", 	196 , 	582 , 	778 , 	229 ," 	3,118 "," 	7,264 "," 	7,141 "," 	5,822 "," 	5,816 "," 	3,507 "," 	9,876 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	684 ," 	2,804 "," 	3,488 ", 	115 ," 	1,168 "," 	1,283 ", 	41 ," 	2,063 "," 	5,457 "," 	3,311 "," 	4,773 "," 	3,211 "," 	4,000 "," 	7,126 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	526 ," 	2,423 "," 	2,949 ", 	102 , 	930 ," 	1,032 ", 	55 ," 	2,209 "," 	5,501 "," 	4,215 "," 	5,180 "," 	3,890 "," 	2,370 "," 	7,098 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	833 ," 	2,922 "," 	3,755 ", 	76 ," 	1,014 "," 	1,090 ", 	3 ," 	2,753 "," 	7,425 "," 	5,649 "," 	7,132 "," 	5,456 "," 	3,746 "," 	9,021 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	352 ," 	1,313 "," 	1,665 ", 	47 , 	449 , 	496 , 	6 ," 	1,259 "," 	3,086 "," 	1,222 "," 	2,671 "," 	1,203 "," 	2,417 "," 	3,886 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	543 ," 	2,379 "," 	2,922 ", 	100 ," 	1,056 "," 	1,156 ", 	13 ," 	2,211 "," 	5,043 "," 	4,765 "," 	4,614 "," 	3,969 "," 	2,177 "," 	7,025 "
,2010-11,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	494 ," 	1,633 "," 	2,127 ", 	86 , 	415 , 	501 , 	473 ," 	2,619 "," 	5,459 "," 	4,850 "," 	4,668 "," 	3,885 "," 	3,350 "," 	7,426 "
