,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,DECEMBER,,,,England," 	117,728 "," 	412,977 "," 	530,706 "," 	18,969 "," 	127,182 "," 	146,151 "," 	19,459 "," 	477,973 "," 	757,046 "," 	695,750 "," 	710,958 "," 	657,780 "," 	460,450 "," 	1,131,647 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	353 ," 	1,254 "," 	1,607 ", 	40 , 	235 , 	275 , 	45 ," 	2,103 "," 	2,909 "," 	2,723 "," 	2,732 "," 	2,550 "," 	1,637 "," 	4,093 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	601 ," 	1,840 "," 	2,441 ", 	97 , 	668 , 	765 , 	8 ," 	2,738 "," 	2,723 "," 	2,951 "," 	2,482 "," 	2,717 "," 	2,231 "," 	5,031 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	539 ," 	1,677 "," 	2,216 ", 	95 , 	525 , 	620 , 	7 ," 	1,977 "," 	2,755 "," 	2,432 "," 	2,691 "," 	2,385 "," 	1,696 "," 	4,397 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	589 ," 	1,621 "," 	2,210 ", 	77 , 	328 , 	405 , 	12 ," 	2,420 "," 	3,464 "," 	3,376 "," 	3,285 "," 	3,226 "," 	3,733 "," 	6,058 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,395 "," 	4,262 "," 	5,657 ", 	170 ," 	1,136 "," 	1,306 ", 	98 ," 	4,739 "," 	7,721 "," 	7,060 "," 	7,371 "," 	6,893 "," 	2,759 "," 	10,512 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	800 ," 	3,465 "," 	4,265 ", 	84 , 	939 ," 	1,023 ", 	13 ," 	3,409 "," 	4,945 "," 	4,758 "," 	4,758 "," 	4,598 "," 	3,408 "," 	7,796 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,219 "," 	4,805 "," 	6,024 ", 	208 ," 	1,199 "," 	1,407 ", 	284 ," 	4,492 "," 	7,351 "," 	7,427 "," 	6,907 "," 	7,073 "," 	4,121 "," 	11,035 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT, 	985 ," 	3,543 "," 	4,528 ", 	174 , 	981 ," 	1,155 ", 	1 ," 	3,779 "," 	6,100 "," 	6,273 "," 	5,672 "," 	5,894 "," 	2,131 "," 	8,843 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	702 ," 	2,513 "," 	3,215 ", 	99 , 	697 , 	796 , 	462 ," 	2,906 "," 	4,643 "," 	4,144 "," 	4,400 "," 	3,877 "," 	2,601 "," 	6,672 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	755 ," 	2,540 "," 	3,295 ", 	82 , 	514 , 	596 , 	101 ," 	4,026 "," 	4,943 "," 	4,076 "," 	4,560 "," 	3,748 "," 	4,069 "," 	6,488 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,003 "," 	3,400 "," 	4,403 ", 	141 , 	839 , 	980 , 	154 ," 	5,856 "," 	8,227 "," 	7,997 "," 	7,704 "," 	7,342 "," 	7,020 "," 	14,782 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	633 ," 	2,374 "," 	3,007 ", 	56 , 	418 , 	474 , 	109 ," 	3,577 "," 	4,833 "," 	4,582 "," 	4,544 "," 	4,329 "," 	2,514 "," 	7,172 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	583 ," 	2,238 "," 	2,821 ", 	68 , 	427 , 	495 , 	140 ," 	2,454 "," 	3,491 "," 	3,207 "," 	3,368 "," 	3,146 "," 	3,934 "," 	5,663 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT, 	840 ," 	3,124 "," 	3,964 ", 	115 , 	546 , 	661 ," 	1,247 "," 	4,672 "," 	5,458 "," 	5,721 "," 	5,413 "," 	5,646 "," 	4,165 "," 	9,859 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	591 ," 	2,014 "," 	2,605 ", 	106 , 	700 , 	806 , 	8 ," 	2,356 "," 	3,130 "," 	3,025 "," 	2,865 "," 	2,824 "," 	2,276 "," 	5,293 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	625 ," 	2,019 "," 	2,644 ", 	124 , 	644 , 	768 , 	124 ," 	2,049 "," 	4,233 "," 	3,931 "," 	4,183 "," 	3,868 "," 	2,086 "," 	5,937 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,229 "," 	3,790 "," 	5,019 ", 	224 ," 	1,193 "," 	1,417 ", 	194 ," 	6,431 "," 	8,695 "," 	6,762 "," 	8,345 "," 	6,405 "," 	7,119 "," 	12,798 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	413 ," 	1,311 "," 	1,724 ", 	96 , 	308 , 	404 , 	- 0," 	1,768 "," 	2,560 "," 	2,475 "," 	2,399 "," 	2,327 ", 	776 ," 	3,541 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	396 ," 	1,345 "," 	1,741 ", 	99 , 	427 , 	526 , 	64 ," 	1,636 "," 	1,839 "," 	1,665 "," 	1,804 "," 	1,620 "," 	1,323 "," 	3,238 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	556 ," 	2,175 "," 	2,731 ", 	47 , 	568 , 	615 , 	- 0," 	2,637 "," 	3,490 "," 	3,233 "," 	3,435 "," 	3,201 "," 	1,883 "," 	5,765 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	512 ," 	1,543 "," 	2,055 ", 	86 , 	504 , 	590 , 	7 ," 	2,252 "," 	2,746 "," 	2,398 "," 	2,691 "," 	2,359 "," 	1,031 "," 	4,192 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	488 ," 	1,927 "," 	2,415 ", 	62 , 	361 , 	423 , 	3 ," 	2,475 "," 	3,651 "," 	3,231 "," 	3,629 "," 	3,210 "," 	2,479 "," 	5,616 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,757 "," 	4,518 "," 	6,275 ", 	188 , 	745 , 	933 , 	31 ," 	8,208 "," 	9,835 "," 	9,247 "," 	9,750 "," 	8,699 "," 	8,155 "," 	15,437 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	952 ," 	2,829 "," 	3,781 ", 	167 , 	838 ," 	1,005 ", 	11 ," 	3,966 "," 	6,102 "," 	4,909 "," 	5,705 "," 	4,766 "," 	2,568 "," 	7,833 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	874 ," 	2,705 "," 	3,579 ", 	192 , 	906 ," 	1,098 ", 	209 ," 	3,642 "," 	5,403 "," 	4,653 "," 	5,150 "," 	4,437 "," 	3,117 "," 	6,737 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,090 "," 	3,674 "," 	4,764 ", 	225 ," 	1,034 "," 	1,259 ", 	22 ," 	4,983 "," 	7,624 "," 	7,085 "," 	6,866 "," 	6,303 "," 	5,388 "," 	14,387 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	648 ," 	1,951 "," 	2,599 ", 	84 , 	489 , 	573 , 	30 ," 	3,232 "," 	4,549 "," 	3,928 "," 	4,529 "," 	3,921 "," 	2,274 "," 	6,759 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,014 "," 	7,153 "," 	9,167 ", 	435 ," 	2,592 "," 	3,027 ", 	213 ," 	7,389 "," 	11,059 "," 	10,267 "," 	10,719 "," 	10,023 "," 	6,629 "," 	15,133 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	887 ," 	3,111 "," 	3,998 ", 	119 ," 	1,051 "," 	1,170 ", 	193 ," 	2,744 "," 	4,642 "," 	4,413 "," 	4,580 "," 	4,347 "," 	1,743 "," 	6,138 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	727 ," 	2,483 "," 	3,210 ", 	38 , 	718 , 	756 , 	6 ," 	2,962 "," 	4,291 "," 	3,985 "," 	4,118 "," 	3,801 ", 	927 ," 	5,435 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,184 "," 	4,568 "," 	5,752 ", 	198 ," 	1,619 "," 	1,817 ", 	2 ," 	5,936 "," 	6,124 "," 	5,373 "," 	5,777 "," 	4,927 "," 	5,024 "," 	9,822 "
,2010-11,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	397 ," 	1,269 "," 	1,666 ", 	97 , 	420 , 	517 , 	1 ," 	1,425 "," 	2,040 "," 	1,718 "," 	1,832 "," 	1,551 "," 	1,443 "," 	3,155 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	674 ," 	1,978 "," 	2,652 ", 	113 , 	742 , 	855 , 	4 ," 	2,893 "," 	3,592 "," 	3,593 "," 	3,496 "," 	3,494 "," 	1,496 "," 	5,641 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	202 , 	718 , 	920 , 	23 , 	211 , 	234 , 	- 0," 	1,037 "," 	1,358 "," 	1,235 "," 	1,253 "," 	1,231 ", 	463 ," 	2,078 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,391 "," 	5,865 "," 	7,256 ", 	165 ," 	1,796 "," 	1,961 ", 	298 ," 	6,626 "," 	9,272 "," 	8,720 "," 	9,074 "," 	8,521 "," 	4,746 "," 	14,484 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	603 ," 	2,622 "," 	3,225 ", 	123 , 	898 ," 	1,021 ", 	27 ," 	2,796 "," 	2,753 "," 	2,725 "," 	2,718 "," 	2,652 "," 	1,450 "," 	4,700 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,657 "," 	5,169 "," 	6,826 ", 	198 ," 	1,663 "," 	1,861 ", 	24 ," 	5,438 "," 	7,848 "," 	7,689 "," 	7,662 "," 	7,540 "," 	3,686 "," 	11,961 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,830 "," 	6,865 "," 	8,695 ", 	245 ," 	2,617 "," 	2,862 ", 	187 ," 	6,399 "," 	11,388 "," 	10,551 "," 	10,811 "," 	9,857 "," 	5,275 "," 	14,957 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,344 "," 	5,117 "," 	6,461 ", 	193 ," 	2,137 "," 	2,330 ", 	60 ," 	5,488 "," 	8,058 "," 	6,827 "," 	7,960 "," 	6,743 "," 	6,391 "," 	11,289 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	572 ," 	2,098 "," 	2,670 ", 	107 , 	873 , 	980 , 	- 0," 	3,389 "," 	4,120 "," 	3,306 "," 	4,112 "," 	3,306 "," 	3,420 "," 	5,292 "
,2010-11,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,617 "," 	5,997 "," 	7,614 ", 	339 ," 	2,178 "," 	2,517 ", 	27 ," 	5,355 "," 	8,298 "," 	8,361 "," 	8,144 "," 	8,212 "," 	4,251 "," 	11,932 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	388 ," 	1,221 "," 	1,609 ", 	43 , 	463 , 	506 , 	16 ," 	1,365 "," 	2,374 "," 	2,613 "," 	2,193 "," 	2,564 "," 	1,343 "," 	3,685 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	849 ," 	2,090 "," 	2,939 ", 	179 , 	414 , 	593 , 	217 ," 	3,541 "," 	5,781 "," 	5,992 "," 	4,694 "," 	4,928 "," 	3,454 "," 	8,657 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	730 ," 	2,862 "," 	3,592 ", 	123 ," 	1,108 "," 	1,231 ", 	40 ," 	2,303 "," 	4,305 "," 	3,020 "," 	3,796 "," 	2,901 "," 	3,255 "," 	6,703 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	536 ," 	2,305 "," 	2,841 ", 	130 , 	933 ," 	1,063 ", 	33 ," 	2,176 "," 	4,174 "," 	3,839 "," 	3,892 "," 	3,516 "," 	2,340 "," 	6,747 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	736 ," 	2,816 "," 	3,552 ", 	62 , 	973 ," 	1,035 ", 	6 ," 	3,027 "," 	5,309 "," 	4,690 "," 	5,264 "," 	4,624 "," 	4,090 "," 	8,048 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	367 ," 	1,362 "," 	1,729 ", 	52 , 	443 , 	495 , 	16 ," 	1,432 "," 	2,266 "," 	1,254 "," 	1,981 "," 	1,235 "," 	1,814 "," 	3,741 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	506 ," 	2,305 "," 	2,811 ", 	76 , 	999 ," 	1,075 ", 	9 ," 	2,562 "," 	3,873 "," 	4,094 "," 	3,500 "," 	3,394 "," 	2,347 "," 	5,945 "
,2010-11,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	495 ," 	1,577 "," 	2,072 ", 	106 , 	347 , 	453 , 	409 ," 	2,909 "," 	4,295 "," 	4,038 "," 	3,503 "," 	3,239 "," 	3,285 "," 	6,670 "
