,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,DECEMBER,,,,England," 	126,732 "," 	414,951 "," 	541,683 "," 	19,504 "," 	121,841 "," 	141,345 "," 	9,676 "," 	15,432 "," 	459,820 "," 	821,467 "," 	750,260 "," 	786,182 "," 	713,490 "," 	458,668 "," 	1,197,598 "
,2009-10,DECEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,522 "," 	46,987 "," 	61,509 "," 	2,364 "," 	16,331 "," 	18,695 ", 	690 ," 	1,527 "," 	44,536 "," 	74,427 "," 	71,231 "," 	77,163 "," 	71,546 "," 	44,731 "," 	120,233 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	842 ," 	2,357 "," 	3,199 ", 	178 , 	366 , 	544 , 	52 , 	6 ," 	2,694 "," 	3,683 "," 	3,627 "," 	3,535 "," 	3,504 "," 	2,843 "," 	6,056 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	683 ," 	2,279 "," 	2,962 ", 	81 , 	584 , 	665 , 	71 , 	6 ," 	2,573 "," 	3,347 "," 	3,348 "," 	3,185 "," 	3,218 "," 	1,856 "," 	4,959 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	263 , 	846 ," 	1,109 ", 	32 , 	277 , 	309 , 	- 0, 	7 ," 	1,094 "," 	1,287 "," 	1,183 "," 	1,232 "," 	1,135 ", 	825 ," 	1,794 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	507 ," 	1,807 "," 	2,314 ", 	71 , 	565 , 	636 , 	- 0, 	51 ," 	2,153 "," 	2,821 "," 	2,535 "," 	2,776 "," 	2,504 "," 	1,524 "," 	4,013 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	274 , 	733 ," 	1,007 ", 	43 , 	139 , 	182 , 	- 0, 	- 0," 	1,060 "," 	1,412 "," 	1,124 "," 	1,394 "," 	1,103 "," 	1,093 "," 	2,017 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	558 ," 	1,099 "," 	1,657 ", 	134 , 	212 , 	346 , 	- 0, 	357 ," 	2,337 "," 	3,715 "," 	3,400 "," 	3,592 "," 	3,277 "," 	1,966 "," 	5,191 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	381 ," 	1,792 "," 	2,173 ", 	53 , 	563 , 	616 , 	- 0, 	40 ," 	1,672 "," 	2,765 "," 	2,386 "," 	2,765 "," 	2,545 "," 	1,657 "," 	4,180 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	904 ," 	2,738 "," 	3,642 ", 	151 , 	711 , 	862 , 	- 0, 	105 ," 	3,011 "," 	4,097 "," 	3,933 "," 	4,073 "," 	3,864 "," 	4,720 "," 	7,278 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	408 ," 	1,178 "," 	1,586 ", 	104 , 	539 , 	643 , 	- 0, 	86 ," 	1,854 "," 	2,112 "," 	1,823 "," 	1,981 "," 	1,723 "," 	1,329 "," 	3,302 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,426 "," 	4,927 "," 	6,353 ", 	200 ," 	1,380 "," 	1,580 ", 	- 0, 	32 ," 	5,145 "," 	7,759 "," 	7,132 "," 	7,539 "," 	6,956 "," 	5,543 "," 	11,760 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	396 ," 	1,160 "," 	1,556 ", 	102 , 	561 , 	663 , 	- 0, 	114 ," 	1,514 "," 	1,969 "," 	1,716 "," 	1,867 "," 	1,639 "," 	1,193 "," 	2,987 "
,2009-10,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	993 ," 	3,447 "," 	4,440 ", 	139 , 	852 , 	991 , 	84 , 	6 ," 	3,350 "," 	4,534 "," 	4,672 "," 	4,489 "," 	4,641 "," 	2,515 "," 	7,630 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	428 ," 	1,298 "," 	1,726 ", 	63 , 	326 , 	389 , 	50 , 	- 0," 	1,804 "," 	2,476 "," 	2,469 "," 	2,368 "," 	2,268 ", 	850 ," 	3,445 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	608 ," 	1,601 "," 	2,209 ", 	88 , 	469 , 	557 , 	64 , 	30 ," 	2,548 "," 	4,006 "," 	3,468 "," 	3,934 "," 	3,403 "," 	2,845 "," 	5,453 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	894 ," 	2,061 "," 	2,955 ", 	176 , 	554 , 	730 , 	16 , 	17 ," 	3,005 "," 	4,893 "," 	4,279 "," 	4,700 "," 	4,256 "," 	3,846 "," 	7,082 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	859 ," 	2,619 "," 	3,478 ", 	124 , 	924 ," 	1,048 ", 	- 0, 	118 ," 	3,068 "," 	4,857 "," 	4,594 "," 	4,690 "," 	4,493 "," 	3,128 "," 	7,584 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	348 ," 	1,543 "," 	1,891 ", 	26 , 	381 , 	407 , 	- 0, 	4 ," 	1,769 "," 	2,434 "," 	2,074 "," 	2,171 "," 	1,933 "," 	1,757 "," 	3,481 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	743 ," 	1,672 "," 	2,415 ", 	125 , 	371 , 	496 , 	- 0, 	11 ," 	2,537 "," 	4,970 "," 	4,317 "," 	4,595 "," 	4,017 "," 	2,854 "," 	6,806 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	456 ," 	1,407 "," 	1,863 ", 	34 , 	307 , 	341 , 	6 , 	30 ," 	2,152 "," 	2,489 "," 	2,414 "," 	2,463 "," 	2,389 "," 	1,782 "," 	4,311 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	385 ," 	1,395 "," 	1,780 ", 	36 , 	365 , 	401 , 	33 , 	2 ," 	1,970 "," 	3,565 "," 	3,012 "," 	3,370 "," 	2,817 "," 	1,756 "," 	4,609 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	658 ," 	1,678 "," 	2,336 ", 	78 , 	577 , 	655 , 	- 0, 	3 ," 	2,434 "," 	3,262 "," 	2,973 "," 	2,985 "," 	2,751 "," 	2,292 "," 	5,233 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	618 ," 	2,017 "," 	2,635 ", 	91 , 	683 , 	774 , 	1 , 	29 ," 	1,746 "," 	2,769 "," 	2,658 "," 	2,666 "," 	2,605 "," 	1,911 "," 	4,567 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	716 ," 	1,791 "," 	2,507 ", 	80 , 	433 , 	513 , 	7 , 	25 ," 	2,349 "," 	3,818 "," 	3,432 "," 	4,137 "," 	3,803 "," 	2,652 "," 	6,347 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,535 "," 	4,212 "," 	5,747 ", 	262 ," 	1,042 "," 	1,304 ", 	- 0, 	102 ," 	4,623 "," 	7,832 "," 	7,425 "," 	7,691 "," 	7,333 "," 	2,667 "," 	10,508 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	817 ," 	3,390 "," 	4,207 ", 	117 , 	973 ," 	1,090 ", 	75 , 	31 ," 	3,115 "," 	5,222 "," 	4,663 "," 	4,946 "," 	4,463 "," 	2,212 "," 	7,066 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,226 "," 	4,668 "," 	5,894 ", 	178 ," 	1,129 "," 	1,307 ", 	526 , 	372 ," 	4,353 "," 	8,190 "," 	7,538 "," 	7,699 "," 	7,188 "," 	4,219 "," 	11,749 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,112 "," 	3,625 "," 	4,737 ", 	181 ," 	1,084 "," 	1,265 ", 	299 , 	- 0," 	3,765 "," 	6,496 "," 	6,472 "," 	6,087 "," 	6,017 "," 	2,358 "," 	9,052 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	701 ," 	2,703 "," 	3,404 ", 	93 , 	816 , 	909 , 	112 , 	491 ," 	2,975 "," 	5,136 "," 	4,682 "," 	4,879 "," 	4,422 "," 	3,104 "," 	7,701 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	869 ," 	2,666 "," 	3,535 ", 	106 , 	795 , 	901 , 	- 0, 	47 ," 	3,736 "," 	4,412 "," 	4,888 "," 	4,082 "," 	4,533 "," 	3,037 "," 	7,783 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,078 "," 	3,811 "," 	4,889 ", 	118 ," 	1,150 "," 	1,268 ", 	153 , 	41 ," 	6,056 "," 	9,177 "," 	8,186 "," 	8,570 "," 	7,429 "," 	8,452 "," 	15,990 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	834 ," 	2,402 "," 	3,236 ", 	66 , 	432 , 	498 , 	9 , 	53 ," 	3,428 "," 	5,383 "," 	4,722 "," 	5,176 "," 	4,616 "," 	2,542 "," 	6,925 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	705 ," 	2,229 "," 	2,934 ", 	93 , 	439 , 	532 , 	1 , 	146 ," 	2,648 "," 	3,815 "," 	3,828 "," 	3,681 "," 	3,636 "," 	4,097 "," 	6,211 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,023 "," 	3,445 "," 	4,468 ", 	119 , 	534 , 	653 , 	1 ," 	1,569 "," 	4,466 "," 	6,021 "," 	5,980 "," 	5,892 "," 	5,760 "," 	4,866 "," 	10,592 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	651 ," 	2,068 "," 	2,719 ", 	103 , 	748 , 	851 , 	- 0, 	10 ," 	2,291 "," 	3,149 "," 	3,385 "," 	2,848 "," 	2,896 "," 	2,167 "," 	5,294 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	634 ," 	2,058 "," 	2,692 ", 	114 , 	642 , 	756 , 	- 0, 	116 ," 	1,858 "," 	4,934 "," 	3,870 "," 	4,853 "," 	3,734 "," 	2,408 "," 	6,413 "
,2009-10,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,433 "," 	3,668 "," 	5,101 ", 	222 ," 	1,123 "," 	1,345 ", 	168 , 	19 ," 	5,860 "," 	8,958 "," 	6,871 "," 	8,958 "," 	6,871 "," 	7,610 "," 	13,989 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	491 ," 	1,495 "," 	1,986 ", 	89 , 	419 , 	508 , 	- 0, 	63 ," 	1,458 "," 	2,421 "," 	2,217 "," 	2,385 "," 	2,158 "," 	1,347 "," 	4,134 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	713 ," 	2,659 "," 	3,372 ", 	93 , 	763 , 	856 , 	7 , 	1 ," 	2,664 "," 	3,991 "," 	3,754 "," 	3,954 "," 	3,721 "," 	2,214 "," 	6,386 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	574 ," 	1,531 "," 	2,105 ", 	71 , 	550 , 	621 , 	- 0, 	1 ," 	2,043 "," 	2,638 "," 	2,994 "," 	2,586 "," 	2,514 "," 	1,086 "," 	3,956 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	822 ," 	2,143 "," 	2,965 ", 	123 , 	657 , 	780 , 	- 0, 	2 ," 	2,741 "," 	4,091 "," 	4,175 "," 	3,345 "," 	3,672 "," 	2,873 "," 	6,053 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,757 "," 	4,642 "," 	6,399 ", 	213 , 	967 ," 	1,180 ", 	142 , 	23 ," 	7,587 "," 	10,757 "," 	9,852 "," 	10,662 "," 	8,771 "," 	8,559 "," 	15,628 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT, 	953 ," 	2,852 "," 	3,805 ", 	158 , 	815 , 	973 , 	- 0, 	34 ," 	3,526 "," 	5,676 "," 	5,281 "," 	5,342 "," 	5,194 "," 	2,422 "," 	8,346 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	906 ," 	2,720 "," 	3,626 ", 	118 ," 	1,009 "," 	1,127 ", 	- 0, 	249 ," 	3,370 "," 	5,471 "," 	4,863 "," 	5,170 "," 	4,664 "," 	2,567 "," 	6,717 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,466 "," 	4,523 "," 	5,989 ", 	220 ," 	1,443 "," 	1,663 ", 	158 , 	- 0," 	4,828 "," 	8,746 "," 	7,901 "," 	7,943 "," 	7,127 "," 	5,650 "," 	16,495 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	786 ," 	2,565 "," 	3,351 ", 	106 , 	769 , 	875 , 	29 , 	26 ," 	2,790 "," 	5,071 "," 	5,205 "," 	5,737 "," 	5,096 "," 	3,218 "," 	8,600 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,077 "," 	6,889 "," 	8,966 ", 	408 ," 	2,268 "," 	2,676 ", 	- 0, 	357 ," 	6,533 "," 	11,632 "," 	10,577 "," 	11,477 "," 	10,419 "," 	6,477 "," 	16,504 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,002 "," 	3,105 "," 	4,107 ", 	98 ," 	1,001 "," 	1,099 ", 	- 0, 	214 ," 	2,537 "," 	5,364 "," 	4,974 "," 	5,357 "," 	4,971 "," 	1,801 "," 	6,989 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	751 ," 	2,611 "," 	3,362 ", 	58 , 	764 , 	822 , 	- 0, 	5 ," 	2,631 "," 	4,535 "," 	4,324 "," 	4,527 "," 	4,324 "," 	1,031 "," 	6,087 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,263 "," 	4,726 "," 	5,989 ", 	220 ," 	1,513 "," 	1,733 ", 	666 , 	- 0," 	5,060 "," 	6,262 "," 	6,021 "," 	5,741 "," 	5,497 "," 	3,785 "," 	9,597 "
,2009-10,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	446 ," 	1,628 "," 	2,074 ", 	76 , 	505 , 	581 , 	- 0, 	3 ," 	1,088 "," 	2,441 "," 	2,284 "," 	2,231 "," 	2,111 "," 	1,246 "," 	3,814 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	669 ," 	1,931 "," 	2,600 ", 	100 , 	530 , 	630 , 	406 , 	2 ," 	2,628 "," 	4,169 "," 	4,028 "," 	4,052 "," 	3,914 "," 	1,652 "," 	6,292 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	355 , 	955 ," 	1,310 ", 	79 , 	240 , 	319 , 	13 , 	1 , 	905 ," 	1,851 "," 	1,967 "," 	1,809 "," 	1,901 ", 	565 ," 	3,007 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,678 "," 	6,721 "," 	8,399 ", 	220 ," 	2,161 "," 	2,381 ", 	- 0, 	244 ," 	6,489 "," 	11,194 "," 	10,286 "," 	10,898 "," 	10,093 "," 	5,393 "," 	16,689 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	669 ," 	2,826 "," 	3,495 ", 	158 ," 	1,017 "," 	1,175 ", 	21 , 	8 ," 	2,844 "," 	4,203 "," 	3,438 "," 	4,095 "," 	3,345 "," 	1,982 "," 	5,373 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,638 "," 	5,761 "," 	7,399 ", 	181 ," 	1,266 "," 	1,447 ", 	748 , 	56 ," 	5,651 "," 	10,051 "," 	9,617 "," 	9,874 "," 	9,540 "," 	3,781 "," 	14,756 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,371 "," 	7,217 "," 	9,588 ", 	501 ," 	2,838 "," 	3,339 ", 	462 , 	- 0," 	5,945 "," 	12,688 "," 	11,950 "," 	12,053 "," 	11,352 "," 	4,698 "," 	17,635 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,420 "," 	5,172 "," 	6,592 ", 	164 ," 	2,067 "," 	2,231 ", 	40 , 	- 0," 	5,742 "," 	9,832 "," 	8,068 "," 	9,432 "," 	8,414 "," 	7,230 "," 	13,269 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	618 ," 	2,201 "," 	2,819 ", 	83 , 	863 , 	946 , 	15 , 	- 0," 	3,695 "," 	4,929 "," 	3,765 "," 	4,826 "," 	3,951 "," 	4,000 "," 	5,997 "
,2009-10,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,515 "," 	5,693 "," 	7,208 ", 	343 ," 	1,934 "," 	2,277 ", 	10 , 	- 0," 	5,384 "," 	8,127 "," 	8,326 "," 	8,085 "," 	8,167 "," 	4,037 "," 	11,626 "
,2009-10,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	397 ," 	1,318 "," 	1,715 ", 	62 , 	500 , 	562 , 	- 0, 	1 ," 	1,251 "," 	2,420 "," 	2,618 "," 	2,349 "," 	2,572 "," 	1,230 "," 	3,595 "
,2009-10,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	837 ," 	2,418 "," 	3,255 ", 	159 , 	632 , 	791 , 	- 0, 	187 ," 	3,192 "," 	6,213 "," 	6,175 "," 	5,031 "," 	4,862 "," 	3,163 "," 	8,459 "
,2009-10,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	706 ," 	2,659 "," 	3,365 ", 	107 ," 	1,003 "," 	1,110 ", 	- 0, 	1 ," 	2,208 "," 	4,175 "," 	2,874 "," 	3,593 "," 	2,801 "," 	3,698 "," 	5,843 "
,2009-10,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	539 ," 	2,418 "," 	2,957 ", 	88 , 	962 ," 	1,050 ", 	- 0, 	47 ," 	2,064 "," 	4,936 "," 	4,596 "," 	4,580 "," 	4,496 "," 	1,866 "," 	7,291 "
,2009-10,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	794 ," 	2,683 "," 	3,477 ", 	81 , 	881 , 	962 , 	- 0, 	1 ," 	2,852 "," 	6,054 "," 	5,011 "," 	5,769 "," 	4,824 "," 	4,023 "," 	8,499 "
,2009-10,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	331 ," 	1,177 "," 	1,508 ", 	42 , 	420 , 	462 , 	- 0, 	5 ," 	1,273 "," 	2,274 "," 	1,288 "," 	1,941 "," 	1,239 "," 	2,113 "," 	2,789 "
