,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,FEBRUARY,,,,England," 	131,078 "," 	401,326 "," 	532,404 "," 	20,254 "," 	116,392 "," 	136,646 "," 	8,391 "," 	17,025 "," 	403,583 "," 	848,071 "," 	692,127 "," 	808,810 "," 	651,499 "," 	444,581 "," 	1,107,312 "
,2008-09,FEBRUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,128 "," 	45,851 "," 	60,979 "," 	2,469 "," 	15,885 "," 	18,354 ", 	769 ," 	1,404 "," 	38,490 "," 	80,143 "," 	67,103 "," 	81,070 "," 	67,203 "," 	40,457 "," 	112,569 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	820 ," 	2,346 "," 	3,166 ", 	134 , 	782 , 	916 , 	64 , 	5 ," 	2,401 "," 	4,200 "," 	3,856 "," 	4,097 "," 	3,760 "," 	3,407 "," 	7,089 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	678 ," 	2,218 "," 	2,896 ", 	88 , 	756 , 	844 , 	45 , 	2 ," 	2,458 "," 	3,637 "," 	3,341 "," 	3,521 "," 	3,257 "," 	2,033 "," 	5,242 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	300 , 	818 ," 	1,118 ", 	34 , 	267 , 	301 , 	- 0, 	- 0, 	953 ," 	1,309 "," 	1,148 "," 	1,263 "," 	1,089 ", 	728 ," 	1,810 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	525 ," 	1,718 "," 	2,243 ", 	63 , 	490 , 	553 , 	6 , 	- 0," 	1,730 "," 	2,767 "," 	2,399 "," 	2,742 "," 	2,377 "," 	1,438 "," 	3,937 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	275 , 	747 ," 	1,022 ", 	43 , 	151 , 	194 , 	- 0, 	- 0," 	1,004 "," 	1,549 "," 	1,315 "," 	1,528 "," 	1,287 "," 	1,021 "," 	2,200 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	693 ," 	1,063 "," 	1,756 ", 	148 , 	264 , 	412 , 	- 0, 	396 ," 	2,073 "," 	3,831 "," 	3,172 "," 	3,689 "," 	3,152 "," 	2,348 "," 	5,262 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	501 ," 	1,622 "," 	2,123 ", 	54 , 	524 , 	578 , 	- 0, 	51 ," 	1,353 "," 	3,098 "," 	2,390 "," 	2,837 "," 	2,381 "," 	1,623 "," 	3,885 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	948 ," 	2,940 "," 	3,888 ", 	106 , 	682 , 	788 , 	- 0, 	113 ," 	2,726 "," 	4,477 "," 	4,723 "," 	4,259 "," 	3,632 "," 	4,661 "," 	6,787 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	391 ," 	1,265 "," 	1,656 ", 	92 , 	651 , 	743 , 	23 , 	- 0," 	1,631 "," 	2,256 "," 	1,782 "," 	2,120 "," 	1,686 "," 	1,331 "," 	3,369 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,566 "," 	4,830 "," 	6,396 ", 	202 ," 	1,529 "," 	1,731 ", 	- 0, 	45 ," 	4,697 "," 	8,401 "," 	6,996 "," 	8,197 "," 	6,803 "," 	5,449 "," 	11,579 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	386 ," 	1,132 "," 	1,518 ", 	83 , 	562 , 	645 , 	24 , 	- 0," 	1,237 "," 	1,948 "," 	1,585 "," 	1,845 "," 	1,505 "," 	1,009 "," 	2,845 "
,2008-09,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	953 ," 	3,216 "," 	4,169 ", 	124 ," 	1,096 "," 	1,220 ", 	65 , 	4 ," 	3,038 "," 	4,600 "," 	4,558 "," 	4,573 "," 	4,538 "," 	3,011 "," 	7,640 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	433 ," 	1,135 "," 	1,568 ", 	110 , 	265 , 	375 , 	30 , 	- 0," 	1,412 "," 	2,992 "," 	2,393 "," 	2,745 "," 	2,141 "," 	1,284 "," 	3,122 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	727 ," 	1,862 "," 	2,589 ", 	127 , 	498 , 	625 , 	74 , 	15 ," 	2,285 "," 	3,914 "," 	3,042 "," 	3,824 "," 	2,991 "," 	2,288 "," 	4,962 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,002 "," 	2,148 "," 	3,150 ", 	204 , 	436 , 	640 , 	44 , 	- 0," 	2,661 "," 	5,131 "," 	3,894 "," 	5,256 "," 	4,056 "," 	3,569 "," 	6,929 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	837 ," 	2,749 "," 	3,586 ", 	102 , 	782 , 	884 , 	104 , 	1 ," 	2,838 "," 	5,876 "," 	4,374 "," 	5,546 "," 	4,330 "," 	3,078 "," 	7,431 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	359 ," 	1,969 "," 	2,328 ", 	29 , 	533 , 	562 , 	33 , 	- 0," 	1,724 "," 	2,334 "," 	1,757 "," 	2,207 "," 	1,703 "," 	1,584 "," 	2,977 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	786 ," 	1,878 "," 	2,664 ", 	96 , 	401 , 	497 , 	- 0, 	22 ," 	2,335 "," 	5,355 "," 	3,747 "," 	5,046 "," 	3,680 "," 	3,176 "," 	6,463 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	480 ," 	1,474 "," 	1,954 ", 	31 , 	318 , 	349 , 	10 , 	42 ," 	1,915 "," 	2,741 "," 	2,170 "," 	2,729 "," 	2,150 "," 	1,436 "," 	3,409 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	421 ," 	1,381 "," 	1,802 ", 	50 , 	358 , 	408 , 	41 , 	3 ," 	2,052 "," 	4,094 "," 	2,995 "," 	3,924 "," 	2,813 "," 	1,716 "," 	4,538 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	646 ," 	1,956 "," 	2,602 ", 	80 , 	649 , 	729 , 	4 , 	4 ," 	1,976 "," 	3,579 "," 	3,008 "," 	3,279 "," 	2,703 "," 	2,152 "," 	4,931 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	622 ," 	1,973 "," 	2,595 ", 	81 , 	543 , 	624 , 	6 , 	21 ," 	1,628 "," 	3,357 "," 	2,574 "," 	3,069 "," 	2,652 "," 	1,715 "," 	4,253 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	682 ," 	1,976 "," 	2,658 ", 	78 , 	402 , 	480 , 	15 , 	20 ," 	1,980 "," 	3,839 "," 	3,550 "," 	3,578 "," 	3,346 "," 	2,527 "," 	6,045 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,540 "," 	4,162 "," 	5,702 ", 	217 , 	962 ," 	1,179 ", 	- 0, 	58 ," 	4,160 "," 	9,136 "," 	7,521 "," 	8,965 "," 	7,308 "," 	2,695 "," 	10,608 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	930 ," 	3,654 "," 	4,584 ", 	122 ," 	1,097 "," 	1,219 ", 	65 , 	13 ," 	2,832 "," 	5,646 "," 	4,530 "," 	5,506 "," 	4,438 "," 	1,946 "," 	6,773 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,367 "," 	4,464 "," 	5,831 ", 	157 ," 	1,122 "," 	1,279 ", 	371 , 	328 ," 	3,621 "," 	9,485 "," 	7,153 "," 	8,940 "," 	6,847 "," 	3,902 "," 	10,951 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,232 "," 	3,300 "," 	4,532 ", 	181 , 	981 ," 	1,162 ", 	220 , 	- 0," 	3,033 "," 	7,797 "," 	6,262 "," 	7,312 "," 	5,768 "," 	3,880 "," 	8,599 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	827 ," 	3,045 "," 	3,872 ", 	112 , 	907 ," 	1,019 ", 	69 , 	428 ," 	3,152 "," 	6,424 "," 	5,026 "," 	5,915 "," 	4,573 "," 	3,258 "," 	7,676 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	920 ," 	2,761 "," 	3,681 ", 	97 , 	687 , 	784 , 	62 , 	- 0," 	3,449 "," 	5,263 "," 	4,794 "," 	4,928 "," 	4,181 "," 	2,855 "," 	6,787 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,118 "," 	3,864 "," 	4,982 ", 	146 ," 	1,028 "," 	1,174 ", 	128 , 	40 ," 	5,553 "," 	9,516 "," 	7,970 "," 	9,011 "," 	7,330 "," 	8,728 "," 	15,216 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	802 ," 	2,761 "," 	3,563 ", 	61 , 	574 , 	635 , 	10 , 	70 ," 	3,281 "," 	5,865 "," 	4,984 "," 	5,514 "," 	4,671 "," 	2,370 "," 	7,295 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	619 ," 	2,248 "," 	2,867 ", 	80 , 	402 , 	482 , 	2 , 	145 ," 	2,113 "," 	4,343 "," 	3,843 "," 	4,236 "," 	3,613 "," 	3,940 "," 	5,785 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,084 "," 	3,341 "," 	4,425 ", 	122 , 	507 , 	629 , 	5 ," 	1,528 "," 	3,981 "," 	6,941 "," 	6,302 "," 	6,734 "," 	5,969 "," 	4,228 "," 	10,573 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	761 ," 	2,360 "," 	3,121 ", 	90 , 	741 , 	831 , 	- 0, 	5 ," 	2,042 "," 	3,817 "," 	3,364 "," 	3,473 "," 	2,894 "," 	1,966 "," 	5,199 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	680 ," 	2,051 "," 	2,731 ", 	103 , 	558 , 	661 , 	8 , 	153 ," 	1,557 "," 	5,060 "," 	3,564 "," 	4,672 "," 	3,324 "," 	2,212 "," 	5,344 "
,2008-09,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,605 "," 	3,801 "," 	5,406 ", 	296 , 	878 ," 	1,174 ", 	70 , 	212 ," 	5,154 "," 	10,680 "," 	7,052 "," 	10,007 "," 	6,656 "," 	7,685 "," 	13,897 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	507 ," 	1,573 "," 	2,080 ", 	107 , 	462 , 	569 , 	- 0, 	118 ," 	1,219 "," 	2,458 "," 	2,009 "," 	2,405 "," 	1,945 "," 	1,440 "," 	3,785 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	726 ," 	2,541 "," 	3,267 ", 	102 , 	738 , 	840 , 	10 , 	- 0," 	2,305 "," 	4,269 "," 	3,482 "," 	4,218 "," 	3,455 "," 	2,139 "," 	6,174 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	579 ," 	1,368 "," 	1,947 ", 	91 , 	442 , 	533 , 	- 0, 	- 0," 	1,761 "," 	3,151 "," 	2,504 "," 	3,065 "," 	2,100 ", 	920 ," 	3,493 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	749 ," 	2,202 "," 	2,951 ", 	105 , 	485 , 	590 , 	- 0, 	- 0," 	2,596 "," 	4,308 "," 	3,525 "," 	4,292 "," 	3,511 "," 	2,664 "," 	6,127 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,864 "," 	4,886 "," 	6,750 ", 	222 ," 	1,070 "," 	1,292 ", 	185 , 	23 ," 	6,817 "," 	11,274 "," 	9,196 "," 	10,768 "," 	8,290 "," 	8,475 "," 	14,146 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,026 "," 	2,624 "," 	3,650 ", 	198 , 	731 , 	929 , 	- 0, 	33 ," 	3,291 "," 	6,121 "," 	4,779 "," 	5,600 "," 	4,560 "," 	2,386 "," 	7,678 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	898 ," 	2,683 "," 	3,581 ", 	192 , 	816 ," 	1,008 ", 	- 0, 	266 ," 	2,931 "," 	5,436 "," 	4,267 "," 	4,949 "," 	3,912 "," 	2,672 "," 	6,129 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,596 "," 	4,178 "," 	5,774 ", 	295 ," 	1,354 "," 	1,649 ", 	104 , 	- 0," 	4,324 "," 	9,213 "," 	7,211 "," 	8,210 "," 	6,565 "," 	5,638 "," 	14,191 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	734 ," 	2,116 "," 	2,850 ", 	101 , 	628 , 	729 , 	27 , 	63 ," 	2,431 "," 	5,324 "," 	4,242 "," 	5,125 "," 	4,625 "," 	2,965 "," 	7,782 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,917 "," 	5,870 "," 	7,787 ", 	388 ," 	2,245 "," 	2,633 ", 	- 0, 	263 ," 	5,926 "," 	11,424 "," 	9,088 "," 	10,865 "," 	8,941 "," 	5,824 "," 	14,882 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	908 ," 	3,010 "," 	3,918 ", 	135 , 	977 ," 	1,112 ", 	- 0, 	199 ," 	2,326 "," 	5,478 "," 	4,417 "," 	5,394 "," 	4,404 "," 	1,790 "," 	6,140 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	769 ," 	2,454 "," 	3,223 ", 	55 , 	676 , 	731 , 	- 0, 	8 ," 	2,486 "," 	4,827 "," 	3,676 "," 	4,818 "," 	3,676 "," 	1,091 "," 	5,109 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,246 "," 	4,351 "," 	5,597 ", 	229 ," 	1,490 "," 	1,719 ", 	619 , 	- 0," 	4,564 "," 	6,789 "," 	5,683 "," 	6,359 "," 	5,301 "," 	3,070 "," 	7,985 "
,2008-09,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	602 ," 	1,791 "," 	2,393 ", 	143 , 	756 , 	899 , 	- 0, 	2 ," 	1,124 "," 	2,395 "," 	2,088 "," 	2,210 "," 	1,953 "," 	1,553 "," 	3,680 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	689 ," 	1,844 "," 	2,533 ", 	132 , 	433 , 	565 , 	273 , 	7 ," 	2,493 "," 	4,433 "," 	3,315 "," 	4,262 "," 	3,145 "," 	1,717 "," 	5,721 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	316 , 	853 ," 	1,169 ", 	46 , 	218 , 	264 , 	17 , 	- 0, 	804 ," 	2,085 "," 	1,767 "," 	2,032 "," 	1,709 ", 	627 ," 	2,856 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,805 "," 	6,125 "," 	7,930 ", 	255 ," 	2,227 "," 	2,482 ", 	216 , 	- 0," 	5,356 "," 	10,886 "," 	8,819 "," 	10,574 "," 	8,603 "," 	4,958 "," 	13,314 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	741 ," 	2,734 "," 	3,475 ", 	132 ," 	1,044 "," 	1,176 ", 	21 , 	11 ," 	2,670 "," 	4,756 "," 	3,619 "," 	4,675 "," 	3,589 "," 	2,009 "," 	5,486 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,825 "," 	5,093 "," 	6,918 ", 	219 ," 	1,140 "," 	1,359 ", 	459 , 	61 ," 	4,891 "," 	9,889 "," 	8,042 "," 	9,686 "," 	7,878 "," 	3,703 "," 	12,257 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,389 "," 	7,103 "," 	9,492 ", 	442 ," 	2,502 "," 	2,944 ", 	271 , 	- 0," 	5,212 "," 	12,929 "," 	10,491 "," 	11,755 "," 	9,849 "," 	4,177 "," 	15,659 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,402 "," 	4,911 "," 	6,313 ", 	147 ," 	2,033 "," 	2,180 ", 	- 0, 	- 0," 	4,750 "," 	9,449 "," 	7,107 "," 	9,438 "," 	7,423 "," 	6,407 "," 	11,697 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	576 ," 	1,976 "," 	2,552 ", 	74 , 	779 , 	853 , 	- 0, 	- 0," 	3,033 "," 	4,673 "," 	3,446 "," 	4,692 "," 	3,536 "," 	3,627 "," 	5,417 "
,2008-09,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,532 "," 	5,433 "," 	6,965 ", 	233 ," 	1,890 "," 	2,123 ", 	188 , 	10 ," 	4,382 "," 	8,095 "," 	7,862 "," 	7,583 "," 	7,683 "," 	3,518 "," 	10,978 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	367 ," 	1,225 "," 	1,592 ", 	48 , 	450 , 	498 , 	- 0, 	8 ," 	1,064 "," 	2,542 "," 	2,501 "," 	2,481 "," 	2,450 "," 	1,109 "," 	3,384 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,148 "," 	2,375 "," 	3,523 ", 	347 , 	536 , 	883 , 	- 0, 	234 ," 	2,789 "," 	6,205 "," 	5,990 "," 	4,806 "," 	4,643 "," 	3,447 "," 	7,970 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	751 ," 	2,536 "," 	3,287 ", 	98 ," 	1,040 "," 	1,138 ", 	- 0, 	40 ," 	2,029 "," 	3,862 "," 	2,355 "," 	3,745 "," 	2,247 "," 	2,970 "," 	5,537 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	584 ," 	2,367 "," 	2,951 ", 	90 , 	835 , 	925 , 	- 0, 	30 ," 	1,957 "," 	4,564 "," 	3,792 "," 	4,220 "," 	3,709 "," 	2,388 "," 	6,367 "
,2008-09,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	832 ," 	2,741 "," 	3,573 ", 	78 , 	970 ," 	1,048 ", 	- 0, 	2 ," 	2,296 "," 	6,101 "," 	4,749 "," 	5,607 "," 	4,344 "," 	3,466 "," 	7,652 "
