,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JANUARY,,,,England," 	129,318 "," 	423,750 "," 	553,068 "," 	20,741 "," 	122,552 "," 	143,293 "," 	9,627 "," 	17,445 "," 	430,316 "," 	887,926 "," 	750,586 "," 	846,405 "," 	705,970 "," 	466,074 "," 	1,196,376 "
,2008-09,JANUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,605 "," 	47,329 "," 	61,934 "," 	2,401 "," 	16,670 "," 	19,071 ", 	766 ," 	1,489 "," 	41,708 "," 	82,963 "," 	73,122 "," 	83,026 "," 	72,272 "," 	41,730 "," 	120,732 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	866 ," 	2,592 "," 	3,458 ", 	123 , 	533 , 	656 , 	53 , 	11 ," 	2,568 "," 	4,245 "," 	4,290 "," 	4,152 "," 	4,198 "," 	3,291 "," 	7,626 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	682 ," 	2,455 "," 	3,137 ", 	114 , 	780 , 	894 , 	47 , 	12 ," 	2,525 "," 	3,738 "," 	3,861 "," 	3,646 "," 	3,766 "," 	2,338 "," 	6,120 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	256 , 	928 ," 	1,184 ", 	27 , 	290 , 	317 , 	3 , 	- 0, 	965 ," 	1,456 "," 	1,165 "," 	1,366 "," 	1,102 ", 	727 ," 	1,802 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	462 ," 	1,761 "," 	2,223 ", 	34 , 	511 , 	545 , 	13 , 	- 0," 	1,969 "," 	2,985 "," 	2,360 "," 	2,949 "," 	2,335 "," 	1,386 "," 	3,937 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	258 , 	765 ," 	1,023 ", 	26 , 	152 , 	178 , 	- 0, 	- 0," 	1,035 "," 	1,596 "," 	1,342 "," 	1,578 "," 	1,300 "," 	1,098 "," 	2,289 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	737 ," 	1,082 "," 	1,819 ", 	132 , 	256 , 	388 , 	- 0, 	401 ," 	2,359 "," 	4,045 "," 	3,557 "," 	3,907 "," 	3,547 "," 	2,570 "," 	5,835 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	515 ," 	1,807 "," 	2,322 ", 	58 , 	556 , 	614 , 	- 0, 	34 ," 	1,482 "," 	3,031 "," 	2,519 "," 	2,786 "," 	2,481 "," 	1,724 "," 	4,016 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	946 ," 	2,973 "," 	3,919 ", 	118 , 	678 , 	796 , 	- 0, 	86 ," 	2,906 "," 	4,651 "," 	4,765 "," 	4,600 "," 	3,701 "," 	5,250 "," 	7,119 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	343 ," 	1,373 "," 	1,716 ", 	64 , 	701 , 	765 , 	48 , 	- 0," 	1,664 "," 	2,309 "," 	1,877 "," 	2,166 "," 	1,772 "," 	1,354 "," 	3,616 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,445 "," 	5,172 "," 	6,617 ", 	194 ," 	1,641 "," 	1,835 ", 	- 0, 	50 ," 	5,204 "," 	9,136 "," 	7,400 "," 	8,866 "," 	7,198 "," 	5,745 "," 	12,271 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	288 ," 	1,254 "," 	1,542 ", 	93 , 	708 , 	801 , 	42 , 	- 0," 	1,340 "," 	2,044 "," 	1,684 "," 	1,921 "," 	1,604 "," 	1,095 "," 	2,943 "
,2008-09,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,017 "," 	3,267 "," 	4,284 ", 	119 ," 	1,153 "," 	1,272 ", 	65 , 	6 ," 	3,112 "," 	5,017 "," 	5,178 "," 	4,985 "," 	5,136 "," 	3,206 "," 	8,194 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	423 ," 	1,194 "," 	1,617 ", 	104 , 	312 , 	416 , 	57 , 	- 0," 	1,445 "," 	3,105 "," 	2,334 "," 	2,832 "," 	2,087 "," 	1,264 "," 	3,237 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	663 ," 	1,915 "," 	2,578 ", 	65 , 	428 , 	493 , 	52 , 	16 ," 	2,347 "," 	4,146 "," 	3,089 "," 	4,048 "," 	3,013 "," 	2,307 "," 	4,996 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	955 ," 	2,028 "," 	2,983 ", 	187 , 	427 , 	614 , 	87 , 	- 0," 	2,869 "," 	5,353 "," 	4,113 "," 	5,203 "," 	3,932 "," 	3,763 "," 	6,875 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	905 ," 	2,827 "," 	3,732 ", 	108 , 	859 , 	967 , 	- 0, 	122 ," 	2,659 "," 	6,056 "," 	4,473 "," 	5,713 "," 	4,435 "," 	3,227 "," 	7,564 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	371 ," 	2,012 "," 	2,383 ", 	38 , 	484 , 	522 , 	33 , 	- 0," 	1,865 "," 	2,658 "," 	1,990 "," 	2,476 "," 	1,922 "," 	1,758 "," 	3,303 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	733 ," 	1,930 "," 	2,663 ", 	84 , 	414 , 	498 , 	1 , 	10 ," 	2,304 "," 	5,923 "," 	4,389 "," 	5,502 "," 	4,277 "," 	2,780 "," 	7,010 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	461 ," 	1,518 "," 	1,979 ", 	31 , 	250 , 	281 , 	11 , 	2 ," 	1,959 "," 	2,463 "," 	2,154 "," 	2,426 "," 	2,116 "," 	1,365 "," 	3,464 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	410 ," 	1,420 "," 	1,830 ", 	43 , 	295 , 	338 , 	28 , 	5 ," 	2,172 "," 	4,126 "," 	3,176 "," 	3,871 "," 	2,954 "," 	1,788 "," 	4,715 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	698 ," 	2,158 "," 	2,856 ", 	89 , 	693 , 	782 , 	- 0, 	2 ," 	2,041 "," 	3,908 "," 	3,275 "," 	3,544 "," 	2,978 "," 	2,347 "," 	5,350 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	566 ," 	1,958 "," 	2,524 ", 	94 , 	658 , 	752 , 	2 , 	22 ," 	1,702 "," 	3,275 "," 	3,084 "," 	2,972 "," 	2,921 "," 	1,772 "," 	4,685 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	721 ," 	2,051 "," 	2,772 ", 	95 , 	412 , 	507 , 	5 , 	23 ," 	2,159 "," 	4,720 "," 	3,673 "," 	4,453 "," 	3,454 "," 	3,019 "," 	6,244 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,624 "," 	4,257 "," 	5,881 ", 	234 , 	925 ," 	1,159 ", 	- 0, 	53 ," 	4,529 "," 	9,390 "," 	7,942 "," 	9,284 "," 	7,820 "," 	2,797 "," 	11,222 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	864 ," 	3,999 "," 	4,863 ", 	128 ," 	1,144 "," 	1,272 ", 	65 , 	10 ," 	3,087 "," 	5,886 "," 	4,619 "," 	5,654 "," 	4,515 "," 	2,119 "," 	6,894 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,389 "," 	4,770 "," 	6,159 ", 	211 ," 	1,115 "," 	1,326 ", 	434 , 	309 ," 	4,005 "," 	9,107 "," 	7,404 "," 	8,585 "," 	7,071 "," 	3,993 "," 	11,443 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,210 "," 	3,551 "," 	4,761 ", 	210 ," 	1,059 "," 	1,269 ", 	343 , 	- 0," 	3,330 "," 	8,063 "," 	6,637 "," 	7,502 "," 	6,128 "," 	4,008 "," 	9,115 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	798 ," 	3,026 "," 	3,824 ", 	88 , 	937 ," 	1,025 ", 	85 , 	509 ," 	3,303 "," 	6,226 "," 	5,306 "," 	5,709 "," 	4,835 "," 	3,327 "," 	8,019 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	872 ," 	2,881 "," 	3,753 ", 	95 , 	734 , 	829 , 	61 , 	- 0," 	3,461 "," 	5,327 "," 	4,689 "," 	4,896 "," 	4,294 "," 	2,882 "," 	7,094 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,140 "," 	3,879 "," 	5,019 ", 	153 , 	943 ," 	1,096 ", 	137 , 	47 ," 	5,768 "," 	9,872 "," 	8,581 "," 	9,203 "," 	7,841 "," 	8,959 "," 	15,719 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	842 ," 	2,583 "," 	3,425 ", 	80 , 	437 , 	517 , 	18 , 	- 0," 	3,512 "," 	6,015 "," 	5,036 "," 	5,624 "," 	4,707 "," 	2,396 "," 	7,285 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	648 ," 	2,207 "," 	2,855 ", 	100 , 	377 , 	477 , 	- 0, 	68 ," 	2,381 "," 	4,523 "," 	4,065 "," 	4,371 "," 	3,802 "," 	4,170 "," 	6,243 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,036 "," 	3,275 "," 	4,311 ", 	141 , 	508 , 	649 , 	- 0," 	1,400 "," 	4,130 "," 	7,428 "," 	6,516 "," 	7,047 "," 	6,165 "," 	4,636 "," 	11,144 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	677 ," 	2,535 "," 	3,212 ", 	116 , 	928 ," 	1,044 ", 	- 0, 	4 ," 	2,163 "," 	4,036 "," 	3,668 "," 	3,575 "," 	3,175 "," 	2,003 "," 	5,372 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	586 ," 	2,181 "," 	2,767 ", 	105 , 	577 , 	682 , 	6 , 	150 ," 	1,725 "," 	5,302 "," 	3,843 "," 	4,915 "," 	3,677 "," 	2,412 "," 	5,763 "
,2008-09,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,336 "," 	3,902 "," 	5,238 ", 	234 , 	966 ," 	1,200 ", 	43 , 	236 ," 	5,294 "," 	10,729 "," 	7,338 "," 	9,925 "," 	6,907 "," 	8,312 "," 	14,327 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	449 ," 	1,579 "," 	2,028 ", 	97 , 	504 , 	601 , 	- 0, 	114 ," 	1,374 "," 	2,484 "," 	2,190 "," 	2,435 "," 	2,123 "," 	1,454 "," 	3,712 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	647 ," 	2,726 "," 	3,373 ", 	90 , 	783 , 	873 , 	11 , 	- 0," 	2,650 "," 	4,521 "," 	3,900 "," 	4,484 "," 	3,874 "," 	2,252 "," 	6,717 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	555 ," 	1,582 "," 	2,137 ", 	89 , 	550 , 	639 , 	- 0, 	- 0," 	1,930 "," 	3,317 "," 	2,874 "," 	3,239 "," 	2,402 "," 	1,001 "," 	3,981 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	694 ," 	2,328 "," 	3,022 ", 	99 , 	555 , 	654 , 	- 0, 	- 0," 	2,760 "," 	4,822 "," 	3,792 "," 	4,790 "," 	3,786 "," 	2,710 "," 	6,600 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,853 "," 	5,586 "," 	7,439 ", 	219 ," 	1,091 "," 	1,310 ", 	243 , 	18 ," 	7,140 "," 	11,764 "," 	10,072 "," 	11,713 "," 	9,412 "," 	8,580 "," 	15,698 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,041 "," 	2,862 "," 	3,903 ", 	229 , 	820 ," 	1,049 ", 	- 0, 	27 ," 	3,478 "," 	6,843 "," 	5,282 "," 	6,147 "," 	5,094 "," 	2,446 "," 	8,257 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	981 ," 	2,868 "," 	3,849 ", 	294 , 	770 ," 	1,064 ", 	- 0, 	300 ," 	3,149 "," 	5,937 "," 	4,924 "," 	5,330 "," 	4,517 "," 	2,620 "," 	6,922 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,397 "," 	4,665 "," 	6,062 ", 	321 ," 	1,365 "," 	1,686 ", 	118 , 	- 0," 	4,859 "," 	10,118 "," 	8,023 "," 	9,174 "," 	7,306 "," 	6,090 "," 	15,920 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	772 ," 	2,223 "," 	2,995 ", 	107 , 	660 , 	767 , 	30 , 	66 ," 	2,691 "," 	5,046 "," 	4,684 "," 	5,383 "," 	4,858 "," 	3,113 "," 	8,172 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,971 "," 	6,474 "," 	8,445 ", 	405 ," 	2,345 "," 	2,750 ", 	- 0, 	283 ," 	6,454 "," 	11,680 "," 	9,848 "," 	11,091 "," 	9,683 "," 	6,514 "," 	16,264 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	939 ," 	3,233 "," 	4,172 ", 	149 , 	971 ," 	1,120 ", 	- 0, 	223 ," 	2,584 "," 	5,713 "," 	4,498 "," 	5,599 "," 	4,489 "," 	1,721 "," 	6,196 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	807 ," 	2,507 "," 	3,314 ", 	48 , 	575 , 	623 , 	755 , 	14 ," 	2,754 "," 	5,042 "," 	4,031 "," 	5,023 "," 	4,031 "," 	1,140 "," 	5,454 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,389 "," 	4,828 "," 	6,217 ", 	226 ," 	1,557 "," 	1,783 ", 	619 , 	- 0," 	4,787 "," 	6,952 "," 	6,340 "," 	6,459 "," 	5,958 "," 	2,704 "," 	8,678 "
,2008-09,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	583 ," 	1,842 "," 	2,425 ", 	178 , 	729 , 	907 , 	- 0, 	6 ," 	1,185 "," 	2,397 "," 	2,093 "," 	2,199 "," 	2,004 "," 	1,811 "," 	3,589 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	691 ," 	1,865 "," 	2,556 ", 	130 , 	509 , 	639 , 	327 , 	6 ," 	2,612 "," 	4,687 "," 	3,512 "," 	4,502 "," 	3,387 "," 	1,878 "," 	6,010 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	284 , 	932 ," 	1,216 ", 	35 , 	247 , 	282 , 	15 , 	- 0, 	871 ," 	1,987 "," 	1,905 "," 	1,928 "," 	1,845 ", 	606 ," 	3,115 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,876 "," 	6,407 "," 	8,283 ", 	297 ," 	2,233 "," 	2,530 ", 	189 , 	- 0," 	6,010 "," 	11,708 "," 	9,757 "," 	11,424 "," 	9,500 "," 	4,813 "," 	14,304 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	721 ," 	2,849 "," 	3,570 ", 	133 , 	995 ," 	1,128 ", 	21 , 	11 ," 	2,670 "," 	4,756 "," 	3,619 "," 	4,675 "," 	3,589 "," 	2,009 "," 	5,486 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,793 "," 	5,393 "," 	7,186 ", 	206 ," 	1,181 "," 	1,387 ", 	473 , 	64 ," 	5,177 "," 	10,344 "," 	8,517 "," 	10,095 "," 	8,284 "," 	3,698 "," 	13,095 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	1,893 "," 	6,750 "," 	8,643 ", 	425 ," 	2,404 "," 	2,829 ", 	235 , 	- 0," 	5,643 "," 	12,552 "," 	11,545 "," 	12,529 "," 	11,545 "," 	4,384 "," 	14,818 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,377 "," 	5,533 "," 	6,910 ", 	168 ," 	2,106 "," 	2,274 ", 	- 0, 	- 0," 	5,135 "," 	10,033 "," 	7,825 "," 	9,919 "," 	8,165 "," 	7,201 "," 	12,824 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	543 ," 	2,147 "," 	2,690 ", 	58 , 	728 , 	786 , 	- 0, 	- 0," 	3,322 "," 	4,994 "," 	3,809 "," 	5,037 "," 	3,873 "," 	3,649 "," 	5,856 "
,2008-09,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,607 "," 	6,273 "," 	7,880 ", 	252 ," 	2,209 "," 	2,461 ", 	146 , 	- 0," 	4,975 "," 	9,112 "," 	9,761 "," 	8,990 "," 	8,790 "," 	3,784 "," 	13,718 "
,2008-09,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	401 ," 	1,390 "," 	1,791 ", 	40 , 	489 , 	529 , 	- 0, 	7 ," 	1,103 "," 	2,727 "," 	2,820 "," 	2,660 "," 	2,769 "," 	1,151 "," 	3,815 "
,2008-09,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,055 "," 	2,575 "," 	3,630 ", 	294 , 	583 , 	877 , 	- 0, 	224 ," 	2,993 "," 	6,899 "," 	6,440 "," 	5,223 "," 	4,958 "," 	3,722 "," 	8,674 "
,2008-09,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	695 ," 	2,879 "," 	3,574 ", 	119 ," 	1,145 "," 	1,264 ", 	- 0, 	55 ," 	2,140 "," 	3,932 "," 	2,509 "," 	3,783 "," 	2,386 "," 	3,197 "," 	5,796 "
,2008-09,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	527 ," 	2,301 "," 	2,828 ", 	82 , 	867 , 	949 , 	- 0, 	37 ," 	2,050 "," 	4,603 "," 	4,084 "," 	4,206 "," 	4,001 "," 	2,450 "," 	6,953 "
,2008-09,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	838 ," 	2,788 "," 	3,626 ", 	101 , 	954 ," 	1,055 ", 	- 0, 	3 ," 	2,332 "," 	6,096 "," 	5,785 "," 	5,791 "," 	5,570 "," 	3,991 "," 	9,310 "
,2008-09,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	313 ," 	1,359 "," 	1,672 ", 	54 , 	533 , 	587 , 	- 0, 	7 ," 	1,124 "," 	2,137 "," 	1,205 "," 	2,030 "," 	1,110 "," 	1,978 "," 	1,566 "
