,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,NOVEMBER,,,,England," 	138,866 "," 	496,102 "," 	634,968 "," 	21,609 "," 	148,087 "," 	169,737 "," 	24,807 "," 	456,852 "," 	999,983 "," 	887,316 "," 	945,775 "," 	843,356 "," 	524,886 "," 	1,415,776 "
,2010-11,NOVEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,703 "," 	55,143 "," 	69,846 "," 	2,320 "," 	18,376 "," 	20,696 ", 	841 ," 	43,117 "," 	90,965 "," 	85,343 "," 	88,442 "," 	83,661 "," 	45,424 "," 	135,480 "
,2010-11,NOVEMBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,396 "," 	5,283 "," 	7,679 ", 	628 ," 	3,731 "," 	4,359 ", 	1 ," 	1,720 ", 	888 ," 	1,680 ", 	887 ," 	1,680 "," 	1,906 "," 	5,464 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	885 ," 	2,943 "," 	3,828 ", 	161 ," 	1,026 "," 	1,187 ", 	157 ," 	2,715 "," 	4,950 "," 	4,650 "," 	4,746 "," 	4,456 "," 	4,752 "," 	9,079 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	726 ," 	2,699 "," 	3,425 ", 	119 , 	939 ," 	1,058 ", 	148 ," 	2,403 "," 	4,262 "," 	4,171 "," 	4,048 "," 	3,979 "," 	2,852 "," 	7,113 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	264 , 	904 ," 	1,168 ", 	21 , 	237 , 	258 , 	6 ," 	1,003 "," 	1,514 "," 	1,262 "," 	1,449 "," 	1,225 ", 	928 ," 	2,061 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	544 ," 	2,107 "," 	2,651 ", 	65 , 	626 , 	691 , 	64 ," 	1,882 "," 	3,346 "," 	3,022 "," 	3,305 "," 	2,988 "," 	1,687 "," 	4,687 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	272 , 	982 ," 	1,254 ", 	43 , 	208 , 	251 , 	2 ," 	1,005 "," 	1,700 "," 	1,391 "," 	1,663 "," 	1,389 "," 	1,180 "," 	2,814 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	701 ," 	1,818 "," 	2,519 ", 	155 , 	395 , 	550 , 	481 ," 	2,038 "," 	4,321 "," 	3,687 "," 	4,163 "," 	3,563 "," 	2,499 "," 	6,121 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	506 ," 	1,967 "," 	2,473 ", 	56 , 	651 , 	707 , 	55 ," 	1,594 "," 	3,507 "," 	3,072 "," 	3,315 "," 	2,905 "," 	2,654 "," 	5,326 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	970 ," 	3,334 "," 	4,304 ", 	164 , 	906 ," 	1,070 ", 	88 ," 	2,583 "," 	5,639 "," 	4,573 "," 	5,526 "," 	4,520 "," 	4,759 "," 	8,308 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	405 ," 	1,524 "," 	1,929 ", 	97 , 	735 , 	832 , 	109 ," 	1,844 "," 	2,572 "," 	2,100 "," 	2,437 "," 	1,996 "," 	1,621 "," 	3,459 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,570 "," 	5,795 "," 	7,365 ", 	259 ," 	1,771 "," 	2,030 ", 	43 ," 	5,280 "," 	8,969 "," 	8,106 "," 	8,538 "," 	7,885 "," 	5,875 "," 	14,421 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	360 ," 	1,398 "," 	1,758 ", 	69 , 	637 , 	706 , 	136 ," 	1,567 "," 	2,217 "," 	1,876 "," 	2,114 "," 	1,789 "," 	1,307 "," 	2,985 "
,2010-11,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	974 ," 	3,999 "," 	4,973 ", 	97 ," 	1,207 "," 	1,304 ", 	119 ," 	3,441 "," 	5,932 "," 	5,609 "," 	5,877 "," 	5,547 "," 	3,468 "," 	9,123 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	675 ," 	2,082 "," 	2,757 ", 	113 , 	624 , 	737 , 	19 ," 	2,901 "," 	4,209 "," 	4,088 "," 	3,989 "," 	3,880 "," 	3,030 "," 	6,322 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	872 ," 	2,591 "," 	3,463 ", 	233 , 	609 , 	842 , 	54 ," 	3,110 "," 	5,911 "," 	4,849 "," 	5,747 "," 	4,764 "," 	3,975 "," 	7,764 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	948 ," 	3,530 "," 	4,478 ", 	121 ," 	1,258 "," 	1,379 ", 	139 ," 	2,932 "," 	6,376 "," 	6,034 "," 	6,293 "," 	5,961 "," 	3,656 "," 	9,680 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	327 ," 	1,874 "," 	2,201 ", 	24 , 	401 , 	425 , 	1 ," 	1,799 "," 	2,922 "," 	2,577 "," 	2,785 "," 	2,429 "," 	2,129 "," 	5,013 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	729 ," 	2,179 "," 	2,908 ", 	145 , 	687 , 	832 , 	8 ," 	2,462 "," 	6,162 "," 	5,555 "," 	5,705 "," 	5,199 "," 	3,156 "," 	8,461 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	493 ," 	1,702 "," 	2,195 ", 	44 , 	306 , 	350 , 	118 ," 	1,971 "," 	2,503 "," 	2,743 "," 	2,488 "," 	2,720 "," 	1,800 "," 	4,695 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	421 ," 	1,619 "," 	2,040 ", 	68 , 	341 , 	409 , 	62 ," 	1,930 "," 	4,096 "," 	3,446 "," 	3,906 "," 	3,259 "," 	2,175 "," 	5,425 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	625 ," 	2,179 "," 	2,804 ", 	87 , 	720 , 	807 , 	5 ," 	2,630 "," 	4,156 "," 	3,630 "," 	3,842 "," 	3,364 "," 	2,365 "," 	6,265 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	608 ," 	2,112 "," 	2,720 ", 	87 , 	709 , 	796 , 	12 ," 	1,824 "," 	3,216 "," 	3,297 "," 	3,145 "," 	3,231 "," 	2,143 "," 	5,784 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	665 ," 	2,080 "," 	2,745 ", 	100 , 	468 , 	568 , 	28 ," 	2,321 "," 	4,972 "," 	4,398 "," 	4,796 "," 	4,233 "," 	2,938 "," 	7,577 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,606 "," 	5,037 "," 	6,643 ", 	211 ," 	1,335 "," 	1,546 ", 	157 ," 	4,546 "," 	9,970 "," 	8,634 "," 	9,794 "," 	8,480 "," 	3,013 "," 	12,581 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	882 ," 	3,995 "," 	4,877 ", 	96 ," 	1,061 "," 	1,157 ", 	16 ," 	3,281 "," 	6,078 "," 	5,603 "," 	5,852 "," 	5,426 "," 	3,681 "," 	9,045 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,357 "," 	5,639 "," 	6,996 ", 	188 ," 	1,343 "," 	1,531 ", 	325 ," 	4,336 "," 	9,901 "," 	9,195 "," 	9,403 "," 	8,641 "," 	4,503 "," 	13,224 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,152 "," 	4,040 "," 	5,192 ", 	190 ," 	1,204 "," 	1,394 ", 	2 ," 	3,536 "," 	7,806 "," 	7,266 "," 	7,286 "," 	6,776 "," 	2,257 "," 	10,162 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	753 ," 	3,221 "," 	3,974 ", 	97 ," 	1,004 "," 	1,101 ", 	515 ," 	2,975 "," 	6,123 "," 	5,447 "," 	5,842 "," 	5,135 "," 	3,567 "," 	8,916 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	969 ," 	3,130 "," 	4,099 ", 	109 , 	782 , 	891 , 	169 ," 	3,706 "," 	6,125 "," 	5,081 "," 	5,761 "," 	4,752 "," 	3,793 "," 	8,205 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,170 "," 	4,493 "," 	5,663 ", 	195 ," 	1,196 "," 	1,391 ", 	220 ," 	5,426 "," 	10,995 "," 	9,581 "," 	10,342 "," 	8,939 "," 	8,886 "," 	16,732 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	882 ," 	2,998 "," 	3,880 ", 	73 , 	512 , 	585 , 	132 ," 	3,395 "," 	6,439 "," 	5,915 "," 	6,138 "," 	5,641 "," 	3,011 "," 	8,876 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	795 ," 	2,658 "," 	3,453 ", 	106 , 	473 , 	579 , 	211 ," 	2,272 "," 	4,554 "," 	3,935 "," 	4,437 "," 	3,870 "," 	4,256 "," 	6,774 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,068 "," 	3,902 "," 	4,970 ", 	128 , 	669 , 	797 ," 	1,625 "," 	4,473 "," 	7,395 "," 	7,072 "," 	7,344 "," 	6,987 "," 	3,630 "," 	11,872 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	646 ," 	2,456 "," 	3,102 ", 	120 , 	896 ," 	1,016 ", 	11 ," 	2,337 "," 	4,269 "," 	3,942 "," 	3,986 "," 	3,682 "," 	2,552 "," 	6,870 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	680 ," 	2,518 "," 	3,198 ", 	123 , 	792 , 	915 , 	161 ," 	1,993 "," 	5,842 "," 	4,734 "," 	5,782 "," 	4,634 "," 	2,422 "," 	7,166 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,376 "," 	4,545 "," 	5,921 ", 	247 ," 	1,465 "," 	1,712 ", 	255 ," 	6,067 "," 	10,499 "," 	8,433 "," 	10,034 "," 	7,995 "," 	8,424 "," 	15,816 "
,2010-11,NOVEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	410 ," 	1,475 "," 	1,885 ", 	85 , 	412 , 	497 , 	2 ," 	1,584 "," 	3,259 "," 	2,946 "," 	3,080 "," 	2,803 ", 	927 ," 	4,127 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	508 ," 	1,627 "," 	2,135 ", 	108 , 	477 , 	585 , 	118 ," 	1,582 "," 	2,557 "," 	2,242 "," 	2,513 "," 	2,194 "," 	1,772 "," 	4,238 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	752 ," 	2,739 "," 	3,491 ", 	73 , 	688 , 	761 , 	6 ," 	2,623 "," 	5,071 "," 	4,503 "," 	5,000 "," 	4,449 "," 	2,277 "," 	7,562 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	659 ," 	1,843 "," 	2,502 ", 	96 , 	671 , 	767 , 	- 0," 	2,082 "," 	3,598 "," 	3,241 "," 	3,504 "," 	3,162 "," 	1,091 "," 	5,110 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	692 ," 	2,746 "," 	3,438 ", 	88 , 	529 , 	617 , 	2 ," 	2,473 "," 	5,222 "," 	4,531 "," 	5,196 "," 	4,509 "," 	2,882 "," 	7,283 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,071 "," 	5,612 "," 	7,683 ", 	211 , 	920 ," 	1,131 ", 	38 ," 	7,872 "," 	12,813 "," 	11,601 "," 	12,694 "," 	10,973 "," 	9,431 "," 	18,971 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,091 "," 	3,386 "," 	4,477 ", 	196 ," 	1,037 "," 	1,233 ", 	35 ," 	3,759 "," 	7,733 "," 	6,464 "," 	7,232 "," 	6,284 "," 	2,929 "," 	9,810 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,088 "," 	3,094 "," 	4,182 ", 	172 , 	982 ," 	1,154 ", 	299 ," 	3,367 "," 	7,113 "," 	6,092 "," 	6,794 "," 	5,790 "," 	3,255 "," 	8,506 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,326 "," 	4,922 "," 	6,248 ", 	295 ," 	1,274 "," 	1,569 ", 	19 ," 	4,994 "," 	11,401 "," 	8,771 "," 	10,526 "," 	8,070 "," 	6,358 "," 	17,714 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	754 ," 	2,541 "," 	3,295 ", 	98 , 	614 , 	712 , 	24 ," 	3,054 "," 	5,728 "," 	5,485 "," 	5,714 "," 	5,476 "," 	1,983 "," 	8,935 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,230 "," 	7,996 "," 	10,226 ", 	427 ," 	2,904 "," 	3,331 ", 	196 ," 	6,574 "," 	14,353 "," 	12,696 "," 	13,998 "," 	12,398 "," 	7,016 "," 	18,609 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,002 "," 	3,906 "," 	4,908 ", 	122 ," 	1,233 "," 	1,355 ", 	321 ," 	2,642 "," 	6,192 "," 	5,702 "," 	6,110 "," 	5,627 "," 	1,898 "," 	7,810 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	801 ," 	3,042 "," 	3,843 ", 	70 , 	851 , 	921 , 	2 ," 	2,760 "," 	5,837 "," 	5,321 "," 	5,637 "," 	5,149 "," 	1,140 "," 	7,041 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,359 "," 	5,276 "," 	6,635 ", 	214 ," 	1,770 "," 	1,984 ", 	1 ," 	5,735 "," 	7,334 "," 	6,665 "," 	6,915 "," 	6,190 "," 	5,583 "," 	11,871 "
,2010-11,NOVEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	522 ," 	1,674 "," 	2,196 ", 	142 , 	537 , 	679 , 	5 ," 	1,308 "," 	2,974 "," 	2,311 "," 	2,726 "," 	2,106 "," 	2,247 "," 	3,963 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	768 ," 	2,385 "," 	3,153 ", 	129 , 	767 , 	896 , 	3 ," 	2,833 "," 	4,835 "," 	4,597 "," 	4,691 "," 	4,497 "," 	1,770 "," 	7,220 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	255 , 	975 ," 	1,230 ", 	30 , 	238 , 	268 , 	- 0, 	964 ," 	1,904 "," 	1,838 "," 	1,883 "," 	1,826 ", 	704 ," 	2,912 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,784 "," 	7,437 "," 	9,221 ", 	219 ," 	2,231 "," 	2,450 ", 	384 ," 	6,261 "," 	12,702 "," 	12,166 "," 	12,382 "," 	11,825 "," 	5,252 "," 	18,971 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	728 ," 	3,013 "," 	3,741 ", 	121 ," 	1,030 "," 	1,151 ", 	13 ," 	2,618 "," 	3,845 "," 	3,378 "," 	3,799 "," 	3,284 "," 	1,594 "," 	5,445 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	2,011 "," 	6,220 "," 	8,231 ", 	212 ," 	1,782 "," 	1,994 ", 	32 ," 	5,489 "," 	10,461 "," 	10,253 "," 	10,284 "," 	10,105 "," 	3,820 "," 	15,299 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,267 "," 	8,421 "," 	10,688 ", 	343 ," 	3,009 "," 	3,352 ", 	209 ," 	6,084 "," 	15,760 "," 	14,030 "," 	15,150 "," 	13,192 "," 	6,397 "," 	19,329 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,509 "," 	6,077 "," 	7,586 ", 	204 ," 	2,407 "," 	2,611 ", 	113 ," 	5,241 "," 	10,734 "," 	8,662 "," 	10,582 "," 	8,536 "," 	7,565 "," 	13,947 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	636 ," 	2,456 "," 	3,092 ", 	106 , 	956 ," 	1,062 ", 	- 0," 	3,372 "," 	5,517 "," 	4,389 "," 	5,517 "," 	4,388 "," 	4,095 "," 	6,794 "
,2010-11,NOVEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,769 "," 	6,800 "," 	8,569 ", 	383 ," 	2,340 "," 	2,723 ", 	57 ," 	5,047 "," 	11,672 "," 	10,658 "," 	11,485 "," 	10,492 "," 	4,978 "," 	14,758 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	389 ," 	1,449 "," 	1,838 ", 	55 , 	472 , 	527 , 	15 ," 	1,247 "," 	3,319 "," 	3,291 "," 	3,076 "," 	3,228 "," 	1,522 "," 	4,574 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,024 "," 	2,783 "," 	3,807 ", 	229 , 	606 , 	835 , 	205 ," 	3,439 "," 	7,995 "," 	7,707 "," 	6,688 "," 	6,550 "," 	4,053 "," 	11,416 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	765 ," 	3,246 "," 	4,011 ", 	111 ," 	1,288 "," 	1,399 ", 	70 ," 	2,192 "," 	5,266 "," 	3,940 "," 	4,643 "," 	3,803 "," 	3,393 "," 	8,275 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	644 ," 	2,763 "," 	3,407 ", 	98 ," 	1,135 "," 	1,233 ", 	43 ," 	2,167 "," 	5,990 "," 	5,045 "," 	5,587 "," 	4,681 "," 	2,707 "," 	8,294 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	800 ," 	3,309 "," 	4,109 ", 	101 ," 	1,244 "," 	1,345 ", 	- 0," 	2,893 "," 	7,143 "," 	6,334 "," 	7,052 "," 	6,247 "," 	4,765 "," 	10,354 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	380 ," 	1,593 "," 	1,973 ", 	53 , 	530 , 	583 , 	3 ," 	1,263 "," 	2,864 "," 	1,528 "," 	2,494 "," 	1,505 "," 	1,992 "," 	4,485 "
,2010-11,NOVEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	694 ," 	2,433 "," 	3,127 ", 	100 ," 	1,066 "," 	1,166 ", 	8 ," 	2,414 "," 	5,120 "," 	5,338 "," 	4,737 "," 	4,465 "," 	2,641 "," 	7,628 "
