,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,MARCH,,,,England," 	141,913 "," 	534,470 "," 	676,383 "," 	21,380 "," 	161,064 "," 	182,444 "," 	23,218 "," 	480,163 "," 	1,041,984 "," 	839,603 "," 	991,642 "," 	796,046 "," 	579,067 "," 	1,389,669 "
,2011-12,MARCH,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,132 "," 	55,847 "," 	69,979 "," 	2,021 "," 	18,648 "," 	20,669 ", 	899 ," 	46,652 "," 	96,078 "," 	79,503 "," 	94,301 "," 	77,970 "," 	48,909 "," 	132,722 "
,2011-12,MARCH,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,553 "," 	4,150 "," 	6,703 ", 	691 ," 	2,441 "," 	3,132 ", 	37 ," 	1,938 "," 	1,509 "," 	2,360 "," 	1,508 "," 	2,360 "," 	2,425 "," 	6,203 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	918 ," 	3,652 "," 	4,570 ", 	113 ," 	1,173 "," 	1,286 ", 	197 ," 	3,145 "," 	5,532 "," 	4,559 "," 	5,387 "," 	4,383 "," 	4,504 "," 	9,978 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	643 ," 	3,103 "," 	3,746 ", 	76 , 	991 ," 	1,067 ", 	188 ," 	2,758 "," 	4,948 "," 	4,081 "," 	4,678 "," 	3,853 "," 	3,423 "," 	7,341 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	271 ," 	1,079 "," 	1,350 ", 	31 , 	255 , 	286 , 	11 , 	970 ," 	1,688 "," 	1,382 "," 	1,623 "," 	1,330 ", 	913 ," 	2,118 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	575 ," 	2,123 "," 	2,698 ", 	53 , 	713 , 	766 , 	66 ," 	1,802 "," 	3,319 "," 	2,798 "," 	3,272 "," 	2,762 "," 	1,506 "," 	4,230 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	312 ," 	1,172 "," 	1,484 ", 	48 , 	233 , 	281 , 	3 ," 	1,141 "," 	1,723 "," 	1,337 "," 	1,650 "," 	1,280 "," 	1,326 "," 	2,642 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	740 ," 	2,865 "," 	3,605 ", 	188 ," 	1,018 "," 	1,206 ", 	652 ," 	2,430 "," 	4,538 "," 	3,601 "," 	4,413 "," 	3,484 "," 	2,223 "," 	6,318 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	542 ," 	2,362 "," 	2,904 ", 	53 , 	776 , 	829 , 	108 ," 	1,679 "," 	3,841 "," 	3,016 "," 	3,669 "," 	2,850 "," 	3,023 "," 	5,795 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,021 "," 	3,919 "," 	4,940 ", 	216 ," 	1,093 "," 	1,309 ", 	154 ," 	3,222 "," 	6,410 "," 	4,664 "," 	6,306 "," 	4,624 "," 	5,032 "," 	8,554 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	380 ," 	1,635 "," 	2,015 ", 	90 , 	755 , 	845 , 	136 ," 	1,676 "," 	2,432 "," 	1,968 "," 	2,288 "," 	1,876 "," 	1,618 "," 	3,430 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,767 "," 	6,557 "," 	8,324 ", 	252 ," 	1,978 "," 	2,230 ", 	88 ," 	5,540 "," 	10,655 "," 	8,560 "," 	9,797 "," 	7,845 "," 	6,021 "," 	14,017 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	383 ," 	1,538 "," 	1,921 ", 	68 , 	747 , 	815 , 	173 ," 	1,313 "," 	2,261 "," 	1,853 "," 	2,146 "," 	1,770 "," 	1,267 "," 	3,020 "
,2011-12,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,046 "," 	4,749 "," 	5,795 ", 	90 ," 	1,427 "," 	1,517 ", 	123 ," 	3,775 "," 	6,152 "," 	5,384 "," 	6,092 "," 	5,322 "," 	4,492 "," 	9,641 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	648 ," 	2,509 "," 	3,157 ", 	90 , 	759 , 	849 , 	12 ," 	2,899 "," 	5,444 "," 	4,505 "," 	5,218 "," 	4,298 "," 	3,549 "," 	6,751 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	833 ," 	2,890 "," 	3,723 ", 	205 , 	814 ," 	1,019 ", 	47 ," 	3,541 "," 	6,506 "," 	5,080 "," 	6,338 "," 	4,942 "," 	4,173 "," 	7,831 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	880 ," 	4,300 "," 	5,180 ", 	133 ," 	1,553 "," 	1,686 ", 	3 ," 	3,170 "," 	6,448 "," 	5,552 "," 	6,361 "," 	5,476 "," 	3,565 "," 	9,290 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	377 ," 	2,141 "," 	2,518 ", 	31 , 	555 , 	586 , 	1 ," 	1,880 "," 	3,171 "," 	2,367 "," 	2,989 "," 	2,251 "," 	2,447 "," 	4,893 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	907 ," 	2,570 "," 	3,477 ", 	153 , 	591 , 	744 , 	4 ," 	3,130 "," 	6,793 "," 	5,823 "," 	6,449 "," 	5,472 "," 	3,879 "," 	9,018 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	522 ," 	1,939 "," 	2,461 ", 	84 , 	477 , 	561 , 	10 ," 	2,153 "," 	3,374 "," 	2,650 "," 	3,357 "," 	2,639 "," 	2,069 "," 	4,717 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	489 ," 	1,914 "," 	2,403 ", 	57 , 	462 , 	519 , 	42 ," 	1,894 "," 	4,643 "," 	3,596 "," 	4,589 "," 	3,531 "," 	2,355 "," 	5,984 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	709 ," 	2,257 "," 	2,966 ", 	82 , 	823 , 	905 , 	12 ," 	2,724 "," 	3,614 "," 	3,218 "," 	3,587 "," 	3,201 "," 	2,596 "," 	5,735 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	605 ," 	2,166 "," 	2,771 ", 	88 , 	817 , 	905 , 	11 ," 	1,978 "," 	3,115 "," 	2,865 "," 	2,997 "," 	2,707 "," 	3,117 "," 	4,985 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	592 ," 	2,335 "," 	2,927 ", 	75 , 	567 , 	642 , 	27 ," 	2,397 "," 	5,109 "," 	4,280 "," 	4,969 "," 	4,143 "," 	3,278 "," 	7,665 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,668 "," 	5,628 "," 	7,296 ", 	211 ," 	1,457 "," 	1,668 ", 	113 ," 	4,659 "," 	10,213 "," 	8,084 "," 	10,097 "," 	7,945 "," 	3,413 "," 	12,556 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	915 ," 	4,442 "," 	5,357 ", 	116 ," 	1,345 "," 	1,461 ", 	11 ," 	3,383 "," 	6,687 "," 	5,506 "," 	6,536 "," 	5,381 "," 	4,141 "," 	9,118 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,338 "," 	6,259 "," 	7,597 ", 	196 ," 	1,527 "," 	1,723 ", 	471 ," 	4,486 "," 	11,388 "," 	9,275 "," 	10,871 "," 	8,887 "," 	4,730 "," 	13,394 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,114 "," 	4,169 "," 	5,283 ", 	180 , 	882 ," 	1,062 ", 	1 ," 	3,897 "," 	8,511 "," 	7,011 "," 	7,851 "," 	6,430 "," 	2,438 "," 	10,763 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	889 ," 	3,809 "," 	4,698 ", 	93 ," 	1,043 "," 	1,136 ", 	615 ," 	2,860 "," 	6,170 "," 	5,319 "," 	6,029 "," 	5,162 "," 	3,736 "," 	8,765 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	941 ," 	3,862 "," 	4,803 ", 	137 , 	945 ," 	1,082 ", 	116 ," 	3,768 "," 	6,659 "," 	5,164 "," 	6,296 "," 	4,871 "," 	4,275 "," 	8,492 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,297 "," 	4,904 "," 	6,201 ", 	236 ," 	1,602 "," 	1,838 ", 	294 ," 	4,894 "," 	10,121 "," 	8,668 "," 	10,082 "," 	8,457 "," 	8,611 "," 	17,983 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT," 	1,014 "," 	3,277 "," 	4,291 ", 	125 , 	723 , 	848 , 	12 ," 	3,735 "," 	6,145 "," 	5,193 "," 	6,018 "," 	5,045 "," 	3,416 "," 	8,708 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	739 ," 	3,100 "," 	3,839 ", 	129 , 	809 , 	938 , 	128 ," 	2,269 "," 	4,966 "," 	4,191 "," 	4,837 "," 	4,106 "," 	4,802 "," 	7,266 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,167 "," 	4,710 "," 	5,877 ", 	161 , 	926 ," 	1,087 "," 	1,844 "," 	4,190 "," 	7,548 "," 	6,547 "," 	7,512 "," 	6,500 "," 	4,799 "," 	12,715 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	669 ," 	2,656 "," 	3,325 ", 	117 ," 	1,086 "," 	1,203 ", 	2 ," 	2,499 "," 	4,538 "," 	3,714 "," 	4,371 "," 	3,549 "," 	3,096 "," 	6,251 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	690 ," 	2,648 "," 	3,338 ", 	133 , 	960 ," 	1,093 ", 	145 ," 	1,913 "," 	5,639 "," 	4,240 "," 	5,590 "," 	4,194 "," 	2,652 "," 	6,874 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,482 "," 	4,765 "," 	6,247 ", 	286 ," 	1,785 "," 	2,071 ", 	274 ," 	5,521 "," 	10,522 "," 	8,292 "," 	10,174 "," 	7,963 "," 	8,878 "," 	15,379 "
,2011-12,MARCH,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	387 ," 	1,724 "," 	2,111 ", 	68 , 	376 , 	444 , 	1 ," 	1,751 "," 	3,476 "," 	2,796 "," 	3,279 "," 	2,597 "," 	1,151 "," 	4,571 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	580 ," 	1,991 "," 	2,571 ", 	117 , 	638 , 	755 , 	122 ," 	1,633 "," 	2,745 "," 	2,151 "," 	2,697 "," 	2,089 "," 	2,120 "," 	4,446 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	654 ," 	2,964 "," 	3,618 ", 	56 , 	707 , 	763 , 	1 ," 	2,774 "," 	4,838 "," 	3,975 "," 	4,789 "," 	3,903 "," 	2,670 "," 	7,238 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	650 ," 	2,031 "," 	2,681 ", 	124 , 	778 , 	902 , 	- 0," 	2,082 "," 	4,198 "," 	2,977 "," 	4,166 "," 	2,934 "," 	1,140 "," 	5,231 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	677 ," 	3,094 "," 	3,771 ", 	71 , 	513 , 	584 , 	1 ," 	2,555 "," 	5,749 "," 	4,387 "," 	5,695 "," 	4,360 "," 	2,835 "," 	7,045 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,946 "," 	6,446 "," 	8,392 ", 	399 ," 	1,337 "," 	1,736 ", 	5 ," 	7,395 "," 	14,858 "," 	11,561 "," 	14,708 "," 	11,332 "," 	10,147 "," 	20,123 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,133 "," 	3,717 "," 	4,850 ", 	226 ," 	1,074 "," 	1,300 ", 	4 ," 	3,861 "," 	8,007 "," 	5,812 "," 	7,693 "," 	5,643 "," 	3,151 "," 	9,451 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT, 	972 ," 	3,995 "," 	4,967 ", 	188 ," 	1,239 "," 	1,427 ", 	16 ," 	3,616 "," 	7,019 "," 	5,609 "," 	6,709 "," 	5,224 "," 	3,751 "," 	8,248 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,352 "," 	5,495 "," 	6,847 ", 	225 ," 	1,287 "," 	1,512 ", 	- 0," 	5,173 "," 	10,185 "," 	8,904 "," 	9,527 "," 	8,025 "," 	6,244 "," 	18,253 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	801 ," 	2,813 "," 	3,614 ", 	88 , 	782 , 	870 , 	20 ," 	3,361 "," 	5,821 "," 	5,407 "," 	5,769 "," 	5,364 "," 	2,956 "," 	9,147 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,264 "," 	8,948 "," 	11,212 ", 	479 ," 	3,419 "," 	3,898 ", 	237 ," 	7,264 "," 	15,537 "," 	11,975 "," 	15,184 "," 	11,802 "," 	7,966 "," 	17,950 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	970 ," 	4,080 "," 	5,050 ", 	145 ," 	1,468 "," 	1,613 ", 	286 ," 	2,697 "," 	7,186 "," 	5,563 "," 	7,129 "," 	5,525 "," 	2,050 "," 	7,910 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	815 ," 	3,232 "," 	4,047 ", 	88 , 	994 ," 	1,082 ", 	8 ," 	2,837 "," 	5,702 "," 	4,756 "," 	5,574 "," 	4,649 "," 	1,450 "," 	6,809 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,329 "," 	6,000 "," 	7,329 ", 	266 ," 	1,999 "," 	2,265 ", 	- 0," 	6,056 "," 	8,292 "," 	6,094 "," 	7,862 "," 	5,610 "," 	5,988 "," 	11,745 "
,2011-12,MARCH,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	538 ," 	1,857 "," 	2,395 ", 	103 , 	717 , 	820 , 	7 ," 	1,287 "," 	2,934 "," 	2,201 "," 	2,738 "," 	2,034 "," 	1,943 "," 	4,118 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	610 ," 	2,392 "," 	3,002 ", 	70 , 	963 ," 	1,033 ", 	4 ," 	2,961 "," 	4,419 "," 	3,807 "," 	4,310 "," 	3,691 "," 	1,939 "," 	6,412 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	298 ," 	1,085 "," 	1,383 ", 	30 , 	330 , 	360 , 	- 0, 	974 ," 	2,285 "," 	2,139 "," 	2,192 "," 	2,033 ", 	817 ," 	3,248 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,751 "," 	7,242 "," 	8,993 ", 	180 ," 	2,299 "," 	2,479 ", 	285 ," 	6,859 "," 	11,676 "," 	9,559 "," 	11,279 "," 	9,249 "," 	5,771 "," 	14,992 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	709 ," 	2,722 "," 	3,431 ", 	122 , 	993 ," 	1,115 ", 	19 ," 	2,801 "," 	4,100 "," 	3,156 "," 	4,058 "," 	3,120 "," 	1,278 "," 	5,186 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,542 "," 	6,208 "," 	7,750 ", 	135 ," 	1,977 "," 	2,112 ", 	38 ," 	6,072 "," 	10,418 "," 	8,999 "," 	10,193 "," 	8,803 "," 	4,145 "," 	14,030 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,289 "," 	9,062 "," 	11,351 ", 	327 ," 	3,580 "," 	3,907 ", 	240 ," 	6,818 "," 	15,660 "," 	13,561 "," 	15,012 "," 	12,776 "," 	6,499 "," 	18,968 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,669 "," 	6,422 "," 	8,091 ", 	221 ," 	2,375 "," 	2,596 ", 	4 ," 	4,865 "," 	10,698 "," 	7,797 "," 	10,618 "," 	7,749 "," 	7,694 "," 	13,757 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	681 ," 	2,745 "," 	3,426 ", 	97 , 	986 ," 	1,083 ", 	- 0," 	2,751 "," 	5,367 "," 	3,767 "," 	5,366 "," 	3,766 "," 	4,259 "," 	6,721 "
,2011-12,MARCH,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,828 "," 	7,247 "," 	9,075 ", 	284 ," 	2,267 "," 	2,551 ", 	46 ," 	5,713 "," 	10,056 "," 	8,865 "," 	9,736 "," 	8,620 "," 	5,682 "," 	13,691 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	638 ," 	1,571 "," 	2,209 ", 	143 , 	538 , 	681 , 	19 ," 	1,385 "," 	2,677 "," 	2,641 "," 	2,615 "," 	2,624 "," 	1,648 "," 	3,988 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT," 	1,046 "," 	2,950 "," 	3,996 ", 	169 , 	525 , 	694 , 	225 ," 	3,166 "," 	8,656 "," 	7,493 "," 	6,858 "," 	6,124 "," 	4,177 "," 	10,532 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	792 ," 	3,188 "," 	3,980 ", 	123 ," 	1,187 "," 	1,310 ", 	60 ," 	2,417 "," 	6,128 "," 	3,722 "," 	6,080 "," 	3,609 "," 	3,726 "," 	8,018 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	682 ," 	3,029 "," 	3,711 ", 	97 ," 	1,190 "," 	1,287 ", 	39 ," 	2,203 "," 	5,853 "," 	4,735 "," 	5,496 "," 	4,258 "," 	2,955 "," 	7,959 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	883 ," 	3,462 "," 	4,345 ", 	67 ," 	1,205 "," 	1,272 ", 	5 ," 	3,030 "," 	6,103 "," 	4,493 "," 	6,008 "," 	4,442 "," 	4,902 "," 	8,785 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	423 ," 	1,719 "," 	2,142 ", 	69 , 	524 , 	593 , 	4 ," 	1,446 "," 	3,326 "," 	1,595 "," 	3,309 "," 	1,579 "," 	2,477 "," 	4,865 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	654 ," 	2,759 "," 	3,413 ", 	116 ," 	1,181 "," 	1,297 ", 	9 ," 	2,418 "," 	5,968 "," 	5,534 "," 	5,448 "," 	4,657 "," 	2,716 "," 	8,035 "
,2011-12,MARCH,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	599 ," 	2,008 "," 	2,607 ", 	76 , 	349 , 	425 , 	558 ," 	2,940 "," 	5,982 "," 	5,187 "," 	4,838 "," 	3,716 "," 	4,601 "," 	7,818 "
