,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JUNE,,,,England," 	139,990 "," 	406,636 "," 	546,626 "," 	21,983 "," 	118,809 "," 	140,792 "," 	9,595 "," 	13,583 "," 	408,705 "," 	886,572 "," 	755,628 "," 	845,108 "," 	713,978 "," 	461,013 "," 	1,187,592 "
,2008-09,JUNE,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,221 "," 	47,690 "," 	63,911 "," 	2,697 "," 	17,539 "," 	20,236 ", 	904 ," 	1,154 "," 	40,002 "," 	84,974 "," 	74,140 "," 	86,588 "," 	73,293 "," 	43,999 "," 	122,383 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	882 ," 	2,413 "," 	3,295 ", 	145 , 	805 , 	950 , 	39 , 	5 ," 	2,407 "," 	4,409 "," 	4,082 "," 	4,307 "," 	4,003 "," 	3,388 "," 	7,405 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	708 ," 	2,163 "," 	2,871 ", 	74 , 	783 , 	857 , 	51 , 	1 ," 	2,405 "," 	4,028 "," 	3,632 "," 	3,904 "," 	3,547 "," 	2,283 "," 	5,799 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	292 , 	876 ," 	1,168 ", 	37 , 	286 , 	323 , 	- 0, 	12 , 	857 ," 	1,383 "," 	1,133 "," 	1,317 "," 	1,101 ", 	782 ," 	1,808 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	552 ," 	1,768 "," 	2,320 ", 	67 , 	559 , 	626 , 	- 0, 	15 ," 	1,800 "," 	2,894 "," 	2,522 "," 	2,864 "," 	2,509 "," 	1,604 "," 	4,007 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	285 , 	675 , 	960 , 	42 , 	129 , 	171 , 	- 0, 	- 0, 	945 ," 	1,538 "," 	1,284 "," 	1,485 "," 	1,235 "," 	1,224 "," 	2,336 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	734 ," 	1,178 "," 	1,912 ", 	151 , 	267 , 	418 , 	- 0, 	382 ," 	2,045 "," 	4,247 "," 	3,739 "," 	4,120 "," 	3,757 "," 	2,650 "," 	6,121 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	525 ," 	1,712 "," 	2,237 ", 	47 , 	510 , 	557 , 	- 0, 	41 ," 	1,434 "," 	3,060 "," 	2,659 "," 	2,865 "," 	2,661 "," 	1,668 "," 	4,234 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	966 ," 	2,920 "," 	3,886 ", 	118 , 	664 , 	782 , 	- 0, 	128 ," 	2,672 "," 	4,531 "," 	3,868 "," 	4,434 "," 	4,259 "," 	4,476 "," 	7,871 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	380 ," 	1,321 "," 	1,701 ", 	71 , 	646 , 	717 , 	- 0, 	76 ," 	1,606 "," 	2,371 "," 	1,891 "," 	2,258 "," 	1,814 "," 	1,424 "," 	3,876 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,693 "," 	4,549 "," 	6,242 ", 	251 ," 	1,411 "," 	1,662 ", 	- 0, 	39 ," 	4,924 "," 	8,838 "," 	7,587 "," 	8,606 "," 	7,362 "," 	5,563 "," 	12,668 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	358 ," 	1,203 "," 	1,561 ", 	73 , 	599 , 	672 , 	- 0, 	61 ," 	1,302 "," 	2,004 "," 	1,728 "," 	1,932 "," 	1,677 "," 	1,088 "," 	3,230 "
,2008-09,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,105 "," 	3,221 "," 	4,326 ", 	114 ," 	1,065 "," 	1,179 ", 	42 , 	6 ," 	3,057 "," 	5,311 "," 	5,000 "," 	5,262 "," 	4,976 "," 	3,032 "," 	7,688 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	569 ," 	1,090 "," 	1,659 ", 	152 , 	230 , 	382 , 	83 , 	- 0," 	1,478 "," 	2,884 "," 	2,031 "," 	2,865 "," 	2,007 "," 	1,949 "," 	3,016 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	757 ," 	1,964 "," 	2,721 ", 	115 , 	586 , 	701 , 	37 , 	20 ," 	2,332 "," 	4,057 "," 	3,528 "," 	3,967 "," 	3,456 "," 	2,593 "," 	5,619 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,074 "," 	2,148 "," 	3,222 ", 	189 , 	435 , 	624 , 	83 , 	- 0," 	2,732 "," 	5,445 "," 	4,270 "," 	5,671 "," 	4,546 "," 	3,556 "," 	7,461 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	899 ," 	2,761 "," 	3,660 ", 	103 , 	776 , 	879 , 	103 , 	1 ," 	2,760 "," 	6,127 "," 	4,987 "," 	5,821 "," 	4,949 "," 	2,958 "," 	8,103 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	353 ," 	1,962 "," 	2,315 ", 	45 , 	419 , 	464 , 	- 0, 	1 ," 	1,702 "," 	2,673 "," 	2,019 "," 	2,505 "," 	1,936 "," 	1,713 "," 	3,372 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	838 ," 	1,703 "," 	2,541 ", 	134 , 	357 , 	491 , 	10 , 	3 ," 	2,379 "," 	5,196 "," 	4,711 "," 	4,851 "," 	4,408 "," 	2,759 "," 	7,242 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	467 ," 	1,405 "," 	1,872 ", 	38 , 	335 , 	373 , 	10 , 	1 ," 	1,763 "," 	2,449 "," 	2,266 "," 	2,432 "," 	2,240 "," 	1,471 "," 	3,752 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	412 ," 	1,359 "," 	1,771 ", 	42 , 	267 , 	309 , 	25 , 	2 ," 	2,218 "," 	3,830 "," 	2,923 "," 	3,725 "," 	2,824 "," 	1,717 "," 	4,883 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	794 ," 	1,846 "," 	2,640 ", 	110 , 	617 , 	727 , 	2 , 	3 ," 	2,144 "," 	3,165 "," 	2,994 "," 	2,824 "," 	2,721 "," 	2,320 "," 	4,695 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	647 ," 	1,652 "," 	2,299 ", 	95 , 	377 , 	472 , 	4 , 	18 ," 	1,678 "," 	3,204 "," 	2,854 "," 	2,923 "," 	2,512 "," 	1,946 "," 	4,029 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	732 ," 	1,855 "," 	2,587 ", 	92 , 	389 , 	481 , 	9 , 	30 ," 	2,022 "," 	4,657 "," 	3,825 "," 	4,375 "," 	3,580 "," 	2,684 "," 	6,356 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,742 "," 	3,943 "," 	5,685 ", 	358 , 	793 ," 	1,151 ", 	1 , 	10 ," 	4,275 "," 	9,318 "," 	7,591 "," 	9,076 "," 	7,352 "," 	2,514 "," 	11,039 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,052 "," 	3,631 "," 	4,683 ", 	245 , 	907 ," 	1,152 ", 	16 , 	124 ," 	2,917 "," 	6,114 "," 	4,910 "," 	5,931 "," 	4,806 "," 	1,964 "," 	6,950 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,392 "," 	4,639 "," 	6,031 ", 	187 ," 	1,164 "," 	1,351 ", 	218 , 	336 ," 	3,917 "," 	9,376 "," 	7,596 "," 	8,872 "," 	7,324 "," 	3,642 "," 	11,701 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,402 "," 	3,211 "," 	4,613 ", 	372 , 	845 ," 	1,217 ", 	271 , 	- 0," 	3,260 "," 	7,591 "," 	6,175 "," 	7,252 "," 	5,871 "," 	4,646 "," 	8,666 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	756 ," 	2,994 "," 	3,750 ", 	87 , 	872 , 	959 , 	- 0, 	433 ," 	3,080 "," 	5,693 "," 	4,307 "," 	5,503 "," 	4,124 "," 	3,124 "," 	7,216 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	906 ," 	2,711 "," 	3,617 ", 	94 , 	786 , 	880 , 	72 , 	- 0," 	3,356 "," 	5,494 "," 	4,728 "," 	5,208 "," 	4,424 "," 	2,897 "," 	7,145 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,259 "," 	3,829 "," 	5,088 ", 	125 , 	940 ," 	1,065 ", 	144 , 	4 ," 	5,557 "," 	9,131 "," 	7,015 "," 	8,966 "," 	6,849 "," 	6,185 "," 	16,346 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	806 ," 	2,473 "," 	3,279 ", 	59 , 	350 , 	409 , 	30 , 	1 ," 	3,161 "," 	5,725 "," 	4,536 "," 	5,471 "," 	4,402 "," 	2,138 "," 	6,929 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	705 ," 	1,999 "," 	2,704 ", 	122 , 	402 , 	524 , 	3 , 	53 ," 	2,185 "," 	5,079 "," 	3,854 "," 	4,688 "," 	3,651 "," 	4,207 "," 	6,749 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,158 "," 	2,838 "," 	3,996 ", 	169 , 	434 , 	603 , 	- 0," 	1,263 "," 	3,870 "," 	7,368 "," 	6,431 "," 	7,010 "," 	5,927 "," 	4,514 "," 	10,394 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	769 ," 	2,074 "," 	2,843 ", 	147 , 	599 , 	746 , 	2 , 	7 ," 	1,891 "," 	3,513 "," 	3,481 "," 	3,152 "," 	3,034 "," 	1,773 "," 	4,708 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	820 ," 	1,966 "," 	2,786 ", 	173 , 	347 , 	520 , 	8 , 	126 ," 	1,454 "," 	4,954 "," 	4,012 "," 	4,660 "," 	3,853 "," 	2,609 "," 	5,978 "
,2008-09,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,813 "," 	3,424 "," 	5,237 ", 	336 , 	759 ," 	1,095 ", 	56 , 	209 ," 	5,163 "," 	9,204 "," 	7,116 "," 	8,611 "," 	6,738 "," 	8,019 "," 	13,450 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	529 ," 	1,598 "," 	2,127 ", 	131 , 	504 , 	635 , 	- 0, 	157 ," 	1,299 "," 	2,670 "," 	2,311 "," 	2,612 "," 	2,243 ", 	910 ," 	3,778 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	794 ," 	2,517 "," 	3,311 ", 	96 , 	708 , 	804 , 	20 , 	- 0," 	2,459 "," 	4,310 "," 	3,889 "," 	4,264 "," 	3,848 "," 	2,424 "," 	6,344 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	558 ," 	1,416 "," 	1,974 ", 	64 , 	303 , 	367 , 	- 0, 	- 0," 	1,459 "," 	3,307 "," 	2,885 "," 	3,221 "," 	2,422 ", 	959 ," 	4,458 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	828 ," 	2,416 "," 	3,244 ", 	103 , 	580 , 	683 , 	30 , 	- 0," 	2,357 "," 	4,587 "," 	3,986 "," 	4,564 "," 	3,962 "," 	2,782 "," 	6,021 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	2,136 "," 	5,104 "," 	7,240 ", 	298 ," 	1,087 "," 	1,385 ", 	477 , 	25 ," 	6,561 "," 	12,030 "," 	9,373 "," 	11,153 "," 	8,326 "," 	8,146 "," 	9,348 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,039 "," 	2,757 "," 	3,796 ", 	178 , 	847 ," 	1,025 ", 	- 0, 	24 ," 	3,016 "," 	7,055 "," 	5,512 "," 	6,502 "," 	5,114 "," 	2,406 "," 	8,230 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,060 "," 	2,693 "," 	3,753 ", 	181 , 	584 , 	765 , 	1 , 	306 ," 	2,808 "," 	6,146 "," 	5,004 "," 	5,899 "," 	4,830 "," 	2,818 "," 	7,049 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,640 "," 	4,542 "," 	6,182 ", 	334 ," 	1,480 "," 	1,814 ", 	28 , 	- 0," 	4,561 "," 	10,018 "," 	8,270 "," 	9,193 "," 	7,565 "," 	6,014 "," 	14,657 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	771 ," 	2,222 "," 	2,993 ", 	107 , 	659 , 	766 , 	45 , 	18 ," 	2,603 "," 	5,247 "," 	4,882 "," 	5,383 "," 	4,858 "," 	3,113 "," 	8,171 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	1,980 "," 	6,072 "," 	8,052 ", 	427 ," 	2,295 "," 	2,722 ", 	- 0, 	248 ," 	5,774 "," 	12,520 "," 	10,134 "," 	12,093 "," 	9,923 "," 	5,894 "," 	15,849 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,068 "," 	2,991 "," 	4,059 ", 	181 , 	824 ," 	1,005 ", 	- 0, 	204 ," 	2,347 "," 	5,706 "," 	4,438 "," 	5,611 "," 	4,392 "," 	1,402 "," 	6,176 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	944 ," 	2,486 "," 	3,430 ", 	73 , 	396 , 	469 , 	- 0, 	9 ," 	2,441 "," 	5,030 "," 	3,964 "," 	5,004 "," 	3,960 "," 	1,049 "," 	5,636 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,360 "," 	4,355 "," 	5,715 ", 	205 ," 	1,059 "," 	1,264 ", 	458 , 	- 0," 	4,425 "," 	6,607 "," 	6,285 "," 	6,106 "," 	5,896 "," 	2,660 "," 	8,617 "
,2008-09,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	681 ," 	1,523 "," 	2,204 ", 	255 , 	476 , 	731 , 	- 0, 	7 ," 	1,259 "," 	2,598 "," 	2,130 "," 	2,306 "," 	1,941 "," 	1,031 "," 	3,507 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	658 ," 	1,814 "," 	2,472 ", 	68 , 	464 , 	532 , 	- 0, 	3 ," 	2,402 "," 	4,146 "," 	3,332 "," 	3,983 "," 	3,192 "," 	1,859 "," 	4,774 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	307 , 	835 ," 	1,142 ", 	36 , 	264 , 	300 , 	16 , 	- 0, 	788 ," 	1,983 "," 	1,863 "," 	1,915 "," 	1,795 ", 	659 ," 	2,843 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,896 "," 	6,028 "," 	7,924 ", 	290 ," 	2,090 "," 	2,380 ", 	- 0, 	155 ," 	5,440 "," 	12,278 "," 	9,782 "," 	12,009 "," 	9,558 "," 	5,588 "," 	14,575 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	775 ," 	2,562 "," 	3,337 ", 	128 , 	931 ," 	1,059 ", 	14 , 	5 ," 	2,226 "," 	4,351 "," 	3,861 "," 	4,306 "," 	3,827 "," 	1,899 "," 	6,849 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,951 "," 	5,095 "," 	7,046 ", 	237 ," 	1,191 "," 	1,428 ", 	78 , 	35 ," 	4,755 "," 	9,911 "," 	8,454 "," 	9,669 "," 	8,257 "," 	4,129 "," 	12,021 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,263 "," 	6,727 "," 	8,990 ", 	395 ," 	2,242 "," 	2,637 ", 	241 , 	- 0," 	5,240 "," 	13,886 "," 	11,531 "," 	12,966 "," 	10,938 "," 	4,607 "," 	17,476 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,560 "," 	5,148 "," 	6,708 ", 	154 ," 	1,751 "," 	1,905 ", 	- 0, 	- 0," 	4,863 "," 	10,484 "," 	8,294 "," 	9,521 "," 	8,103 "," 	7,192 "," 	12,588 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	679 ," 	2,049 "," 	2,728 ", 	62 , 	670 , 	732 , 	- 0, 	- 0," 	3,315 "," 	5,355 "," 	4,094 "," 	4,729 "," 	3,890 "," 	4,255 "," 	5,922 "
,2008-09,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,776 "," 	5,109 "," 	6,885 ", 	415 ," 	1,724 "," 	2,139 ", 	46 , 	- 0," 	5,187 "," 	9,540 "," 	8,677 "," 	8,776 "," 	7,886 "," 	3,608 "," 	11,931 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	417 ," 	1,287 "," 	1,704 ", 	98 , 	543 , 	641 , 	7 , 	- 0," 	1,059 "," 	2,727 "," 	2,838 "," 	2,674 "," 	2,788 "," 	1,220 "," 	3,801 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	974 ," 	2,431 "," 	3,405 ", 	164 , 	462 , 	626 , 	191 , 	- 0," 	2,807 "," 	6,809 "," 	6,579 "," 	5,293 "," 	4,950 "," 	3,746 "," 	8,507 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	764 ," 	2,749 "," 	3,513 ", 	121 ," 	1,059 "," 	1,180 ", 	52 , 	6 ," 	2,089 "," 	3,583 "," 	2,821 "," 	3,555 "," 	2,762 "," 	3,144 "," 	7,415 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	601 ," 	2,554 "," 	3,155 ", 	75 , 	899 , 	974 , 	22 , 	- 0," 	2,057 "," 	5,266 "," 	4,254 "," 	4,873 "," 	4,164 "," 	2,584 "," 	7,201 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	894 ," 	2,639 "," 	3,533 ", 	108 , 	976 ," 	1,084 ", 	4 , 	- 0," 	2,358 "," 	5,684 "," 	5,456 "," 	4,911 "," 	4,819 "," 	1,882 "," 	6,819 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	360 ," 	1,299 "," 	1,659 ", 	36 , 	440 , 	476 , 	5 , 	1 ," 	1,259 "," 	1,971 "," 	1,309 "," 	1,950 "," 	1,292 "," 	2,159 "," 	4,002 "
,2008-09,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	591 ," 	2,231 "," 	2,822 ", 	88 , 	873 , 	961 , 	8 , 	- 0," 	2,208 "," 	4,586 "," 	3,938 "," 	4,218 "," 	3,525 "," 	3,801 "," 	6,739 "
