,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,MAY,,,,England," 	133,688 "," 	429,196 "," 	562,853 "," 	20,663 "," 	128,849 "," 	149,510 "," 	21,679 "," 	453,884 "," 	950,430 "," 	786,495 "," 	902,673 "," 	746,373 "," 	498,549 "," 	1,268,980 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	910 ," 	2,289 "," 	3,199 ", 	201 , 	571 , 	772 , 	26 ," 	3,117 "," 	5,501 "," 	4,428 "," 	5,363 "," 	4,332 "," 	3,832 "," 	7,123 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	814 ," 	2,824 "," 	3,638 ", 	103 , 	922 ," 	1,025 ", 	117 ," 	3,077 "," 	6,095 "," 	4,983 "," 	6,022 "," 	4,913 "," 	3,587 "," 	8,318 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	328 ," 	1,576 "," 	1,904 ", 	38 , 	298 , 	336 , 	- 0," 	1,883 "," 	2,691 "," 	2,088 "," 	2,438 "," 	1,916 "," 	2,141 "," 	4,259 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	719 ," 	1,765 "," 	2,484 ", 	143 , 	489 , 	632 , 	2 ," 	2,481 "," 	5,795 "," 	4,905 "," 	5,438 "," 	4,608 "," 	3,172 "," 	7,619 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	467 ," 	1,391 "," 	1,858 ", 	49 , 	352 , 	401 , 	57 ," 	1,882 "," 	2,862 "," 	2,439 "," 	2,845 "," 	2,419 "," 	2,054 "," 	4,340 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	415 ," 	1,572 "," 	1,987 ", 	57 , 	400 , 	457 , 	46 ," 	2,113 "," 	4,060 "," 	3,187 "," 	3,889 "," 	3,015 "," 	2,057 "," 	5,136 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	567 ," 	1,851 "," 	2,418 ", 	62 , 	579 , 	641 , 	2 ," 	2,490 "," 	4,223 "," 	3,653 "," 	3,929 "," 	3,387 "," 	2,422 "," 	5,844 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	656 ," 	1,913 "," 	2,569 ", 	100 , 	632 , 	732 , 	9 ," 	1,829 "," 	3,508 "," 	2,870 "," 	3,450 "," 	2,793 "," 	2,010 "," 	4,823 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	655 ," 	1,983 "," 	2,638 ", 	73 , 	372 , 	445 , 	16 ," 	2,232 "," 	4,861 "," 	4,330 "," 	4,662 "," 	3,967 "," 	2,948 "," 	7,261 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,693 "," 	4,290 "," 	5,983 ", 	245 ," 	1,159 "," 	1,404 ", 	77 ," 	4,496 "," 	9,157 "," 	7,500 "," 	9,027 "," 	7,370 "," 	2,746 "," 	11,175 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT, 	885 ," 	3,483 "," 	4,368 ", 	133 , 	895 ," 	1,028 ", 	3 ," 	3,274 "," 	6,145 "," 	4,612 "," 	5,900 "," 	4,393 "," 	3,349 "," 	7,483 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,247 "," 	4,797 "," 	6,044 ", 	231 ," 	1,226 "," 	1,457 ", 	368 ," 	4,125 "," 	9,055 "," 	8,169 "," 	8,584 "," 	7,882 "," 	4,569 "," 	12,262 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,175 "," 	3,878 "," 	5,053 ", 	206 ," 	1,158 "," 	1,364 ", 	1 ," 	3,679 "," 	7,316 "," 	6,511 "," 	7,056 "," 	6,285 "," 	2,286 "," 	9,491 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	824 ," 	2,841 "," 	3,665 ", 	106 , 	892 , 	998 , 	480 ," 	2,882 "," 	5,707 "," 	4,697 "," 	5,427 "," 	4,418 "," 	3,284 "," 	7,889 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT, 	918 ," 	2,926 "," 	3,844 ", 	100 , 	750 , 	850 , 	155 ," 	3,850 "," 	5,475 "," 	4,726 "," 	5,153 "," 	4,421 "," 	3,173 "," 	7,797 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,122 "," 	4,137 "," 	5,259 ", 	177 ," 	1,204 "," 	1,381 ", 	214 ," 	5,583 "," 	10,595 "," 	8,547 "," 	10,015 "," 	7,947 "," 	8,801 "," 	17,036 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	812 ," 	2,681 "," 	3,493 ", 	79 , 	496 , 	575 , 	95 ," 	3,358 "," 	6,263 "," 	5,017 "," 	5,947 "," 	4,808 "," 	2,794 "," 	7,821 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	681 ," 	2,452 "," 	3,133 ", 	64 , 	439 , 	503 , 	201 ," 	2,509 "," 	4,121 "," 	3,521 "," 	4,009 "," 	3,467 "," 	3,614 "," 	6,089 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,111 "," 	3,503 "," 	4,614 ", 	148 , 	533 , 	681 ," 	1,460 "," 	4,586 "," 	7,389 "," 	6,075 "," 	7,331 "," 	5,985 "," 	4,169 "," 	10,643 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	713 ," 	2,164 "," 	2,877 ", 	125 , 	746 , 	871 , 	3 ," 	2,346 "," 	4,091 "," 	3,904 "," 	3,781 "," 	3,420 "," 	2,368 "," 	5,833 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	644 ," 	2,003 "," 	2,647 ", 	117 , 	637 , 	754 , 	99 ," 	1,890 "," 	5,443 "," 	3,846 "," 	5,385 "," 	3,730 "," 	2,902 "," 	6,067 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,323 "," 	3,711 "," 	5,034 ", 	257 ," 	1,173 "," 	1,430 ", 	195 ," 	6,027 "," 	11,241 "," 	8,289 "," 	10,819 "," 	7,850 "," 	8,409 "," 	14,854 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,TAP,BLACKBURN WITH DARWEN TEACHING CARE TRUST PLUS, 	502 ," 	1,348 "," 	1,850 ", 	109 , 	295 , 	404 , 	- 0," 	1,720 "," 	2,852 "," 	2,389 "," 	2,688 "," 	2,258 ", 	840 ," 	3,510 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	479 ," 	1,582 "," 	2,061 ", 	107 , 	406 , 	513 , 	54 ," 	1,413 "," 	2,611 "," 	2,209 "," 	2,544 "," 	2,158 "," 	1,759 "," 	3,974 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	751 ," 	2,373 "," 	3,124 ", 	77 , 	653 , 	730 , 	- 0," 	2,574 "," 	4,621 "," 	4,012 "," 	4,579 "," 	3,957 "," 	2,431 "," 	6,845 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	574 ," 	1,565 "," 	2,139 ", 	100 , 	560 , 	660 , 	- 0," 	2,096 "," 	3,253 "," 	2,883 "," 	3,184 "," 	2,825 "," 	1,164 "," 	4,664 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	713 ," 	2,319 "," 	3,032 ", 	68 , 	425 , 	493 , 	3 ," 	2,264 "," 	4,800 "," 	4,219 "," 	4,781 "," 	4,184 "," 	2,969 "," 	7,278 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,846 "," 	4,725 "," 	6,571 ", 	245 , 	890 ," 	1,135 ", 	33 ," 	7,913 "," 	11,927 "," 	9,786 "," 	11,798 "," 	9,160 "," 	8,633 "," 	16,079 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,088 "," 	2,818 "," 	3,906 ", 	179 , 	891 ," 	1,070 ", 	25 ," 	3,625 "," 	7,118 "," 	5,552 "," 	6,583 "," 	5,451 "," 	2,584 "," 	8,789 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,117 "," 	2,811 "," 	3,928 ", 	189 ," 	1,011 "," 	1,200 ", 	313 ," 	3,281 "," 	6,578 "," 	5,348 "," 	6,187 "," 	5,052 "," 	2,457 "," 	7,244 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,456 "," 	4,529 "," 	5,985 ", 	261 ," 	1,182 "," 	1,443 ", 	1 ," 	5,291 "," 	10,354 "," 	7,842 "," 	9,605 "," 	7,173 "," 	6,000 "," 	16,915 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	724 ," 	2,313 "," 	3,037 ", 	86 , 	635 , 	721 , 	24 ," 	3,050 "," 	5,536 "," 	4,980 "," 	5,512 "," 	4,946 "," 	2,302 "," 	8,201 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,142 "," 	6,784 "," 	8,926 ", 	412 ," 	2,403 "," 	2,815 ", 	80 ," 	6,420 "," 	13,627 "," 	10,784 "," 	13,311 "," 	10,520 "," 	6,970 "," 	16,031 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT, 	953 ," 	3,140 "," 	4,093 ", 	109 , 	966 ," 	1,075 ", 	251 ," 	2,425 "," 	6,031 "," 	5,008 "," 	6,016 "," 	5,005 "," 	2,663 "," 	7,187 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	765 ," 	2,455 "," 	3,220 ", 	63 , 	700 , 	763 , 	6 ," 	2,682 "," 	5,476 "," 	4,475 "," 	5,454 "," 	4,475 "," 	1,698 "," 	6,359 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,397 "," 	4,713 "," 	6,110 ", 	209 ," 	1,627 "," 	1,836 ", 	- 0," 	5,431 "," 	6,359 "," 	5,661 "," 	6,134 "," 	5,415 "," 	5,357 "," 	10,898 "
,2010-11,MAY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	483 ," 	1,549 "," 	2,032 ", 	98 , 	511 , 	609 , 	1 ," 	1,142 "," 	2,861 "," 	2,249 "," 	2,625 "," 	2,078 "," 	1,482 "," 	3,782 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	786 ," 	2,089 "," 	2,875 ", 	144 , 	658 , 	802 , 	7 ," 	2,627 "," 	4,611 "," 	4,453 "," 	4,482 "," 	4,347 "," 	1,546 "," 	6,606 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	349 , 	831 ," 	1,180 ", 	101 , 	175 , 	276 , 	- 0, 	887 ," 	1,853 "," 	1,858 "," 	1,812 "," 	1,776 ", 	629 ," 	2,896 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,800 "," 	6,451 "," 	8,251 ", 	220 ," 	2,133 "," 	2,353 ", 	175 ," 	6,247 "," 	12,231 "," 	10,238 "," 	11,954 "," 	9,898 "," 	5,021 "," 	16,815 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	756 ," 	2,944 "," 	3,700 ", 	157 ," 	1,090 "," 	1,247 ", 	19 ," 	2,773 "," 	4,266 "," 	3,618 "," 	4,216 "," 	3,498 "," 	1,462 "," 	5,498 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,921 "," 	5,478 "," 	7,399 ", 	246 ," 	1,582 "," 	1,828 ", 	37 ," 	5,350 "," 	10,579 "," 	9,752 "," 	10,403 "," 	9,559 "," 	4,065 "," 	14,624 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,124 "," 	7,326 "," 	9,450 ", 	335 ," 	2,714 "," 	3,049 ", 	241 ," 	5,912 "," 	14,128 "," 	12,404 "," 	13,619 "," 	11,277 "," 	5,663 "," 	16,563 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,441 "," 	5,223 "," 	6,664 ", 	196 ," 	2,170 "," 	2,364 ", 	3 ," 	5,223 "," 	10,956 "," 	8,135 "," 	10,879 "," 	8,077 "," 	6,753 "," 	12,574 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	623 ," 	2,132 "," 	2,755 ", 	90 , 	876 , 	966 , 	- 0," 	3,531 "," 	5,747 "," 	3,868 "," 	5,746 "," 	3,867 "," 	3,869 "," 	5,887 "
,2010-11,MAY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,712 "," 	6,065 "," 	7,777 ", 	292 ," 	2,169 "," 	2,461 ", 	37 ," 	5,106 "," 	10,091 "," 	9,058 "," 	9,925 "," 	8,928 "," 	4,893 "," 	12,685 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	435 ," 	1,251 "," 	1,686 ", 	84 , 	407 , 	491 , 	12 ," 	1,210 "," 	2,988 "," 	3,016 "," 	2,828 "," 	2,950 "," 	1,437 "," 	4,100 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	906 ," 	2,290 "," 	3,196 ", 	184 , 	513 , 	697 , 	186 ," 	3,193 "," 	7,474 "," 	7,306 "," 	5,953 "," 	5,860 "," 	3,468 "," 	9,838 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	761 ," 	3,253 "," 	4,014 ", 	106 ," 	1,485 "," 	1,591 ", 	52 ," 	2,176 "," 	5,244 "," 	3,306 "," 	4,637 "," 	3,191 "," 	3,629 "," 	6,015 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M3,WALSALL TEACHING PCT, 	573 ," 	2,482 "," 	3,055 ", 	94 , 	900 , 	994 , 	41 ," 	2,211 "," 	5,433 "," 	4,538 "," 	5,055 "," 	4,167 "," 	2,141 "," 	7,485 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MD,COVENTRY TEACHING PCT, 	789 ," 	2,888 "," 	3,677 ", 	47 , 	888 , 	935 , 	3 ," 	2,715 "," 	6,428 "," 	5,209 "," 	6,174 "," 	5,049 "," 	4,500 "," 	9,136 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MK,TELFORD AND WREKIN PCT, 	418 ," 	1,381 "," 	1,799 ", 	55 , 	419 , 	474 , 	2 ," 	1,222 "," 	2,732 "," 	1,232 "," 	2,375 "," 	1,213 "," 	2,205 "," 	3,215 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MV,WOLVERHAMPTON CITY PCT, 	563 ," 	2,314 "," 	2,877 ", 	97 ," 	1,017 "," 	1,114 ", 	7 ," 	2,209 "," 	5,071 "," 	4,634 "," 	4,652 "," 	3,839 "," 	2,266 "," 	6,991 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5MX,HEART OF BIRMINGHAM TEACHING PCT, 	532 ," 	1,610 "," 	2,142 ", 	90 , 	384 , 	474 , 	456 ," 	2,852 "," 	5,424 "," 	4,596 "," 	4,578 "," 	3,791 "," 	3,346 "," 	7,291 "
,2010-11,MAY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PE,DUDLEY PCT, 	846 ," 	3,140 "," 	3,986 ", 	101 ," 	1,171 "," 	1,272 ", 	63 ," 	2,766 "," 	4,664 "," 	5,139 "," 	4,098 "," 	4,627 "," 	1,343 "," 	7,913 "
