,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTQ,2Gether NHS Foundation Trust,,,,,,"1,800","1,185",880,915,0,"1,000",25,100,60,3,3,65,32,47,0,0,0,*,0,*,*,25,40,160,155,155,160,145,140,175,135,110,100,110,65,70,25,10,15,"75,795",10,*,0,0,,
REM,Aintree University Hospital NHS Foundation Trust,,,,,,"140,215","105,140","67,330","72,880",*,"55,570","37,400","11,850",315,48,22,4,1,61,0,*,15,35,*,340,480,675,810,"4,465","5,520","5,970","5,965","5,745","8,065","9,640","13,665","13,015","12,795","14,065","12,940","12,535","8,675","4,595","42,900","274,380","23,295",575,60,,,
RCF,Airedale NHS Foundation Trust,,,,,,"73,020","65,565","31,015","42,000",*,"23,860","32,640","2,415","6,645",30,19,4,1,54,"3,655","1,735","1,010",760,185,250,235,300,300,"2,325","3,450","3,675","3,030","2,455","3,095","3,545","6,215","4,710","6,095","7,305","6,210","5,775","4,080","2,470","32,300","125,910","9,160",240,"2,005",,,
RBS,Alder Hey Children's NHS Foundation Trust,,,,,,"48,060","42,595","27,280","20,780",0,"15,735","14,845","11,700",310,109,48,3,1,7,"8,255","13,575","10,785","10,005","2,365","1,645",735,385,175,95,*,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,715","71,145","7,000","2,610",20,,,
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,,,,,,"83,860","74,335","37,670","46,185",*,"26,245","32,330","6,815","8,940",66,48,4,2,55,"4,845","1,820","1,385","1,335",280,280,340,270,335,"2,085","3,230","4,010","3,880","3,015","3,540","4,520","4,845","5,095","5,680","7,305","7,115","7,855","6,235","4,375","32,540","174,605","5,460","2,140","1,110",,,
NVC01,Ashtead Hospital,,,,,,"2,180","2,175","1,015","1,165",0,0,"2,175",0,0,83,56,2,2,59,0,0,0,0,0,0,0,0,*,65,80,100,120,150,135,205,190,180,220,250,220,135,80,40,"1,995",385,0,0,0,,,
NYW04,Aspen - Claremont Hospital,,,,,,"2,790","2,790","1,375","1,415",0,0,"2,785",*,0,43,28,2,1,56,0,0,0,0,0,0,0,*,10,60,95,140,175,230,265,310,315,260,270,330,175,100,35,10,"1,860","1,390",0,0,0,,,
NYW03,Aspen - Highgate Hospital,,,,,,"1,205",780,550,655,0,0,780,0,0,36,27,2,1,52,0,0,0,0,0,0,0,*,*,30,70,80,110,110,145,145,145,110,75,65,55,40,15,*,"1,110",205,0,0,0,,,
NYW02,Aspen - Parkside Hospital,,,,,,595,445,220,375,0,0,445,0,0,31,25,3,2,51,0,0,0,0,0,0,0,0,0,20,45,40,45,55,40,50,60,30,35,40,25,15,*,*,285,870,0,0,0,,,
NYW20,Aspen - The Chelmsford,,,,,,110,85,60,50,0,0,85,0,0,39,37,,,74,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,*,*,*,10,25,20,25,*,*,110,0,0,0,0,,,
NYW01,Aspen - The Holly,,,,,,"4,510","2,435","1,825","2,685",0,0,"2,435",0,0,58,54,2,2,53,0,0,0,0,0,0,0,10,20,115,195,260,325,400,460,595,565,375,380,345,235,150,60,20,"4,035",975,0,0,0,,,
NXP37,Aspen Centre,,,,,,30,30,15,20,0,0,30,0,0,,,1,1,60,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,10,*,*,*,*,*,*,*,30,*,0,0,0,,,
NYW17,Aspen Healthcare - Midland Eye,,,,,,"1,790","1,135",770,"1,020",0,0,"1,135",0,0,14,13,,,76,0,0,0,0,0,0,0,0,0,0,0,0,0,*,10,25,45,95,195,340,385,390,225,75,"1,790",0,0,0,0,,,
RVN,Avon and Wiltshire Mental Health Partnership NHS Trust,,,,,,"3,810","2,525","2,000","1,810",*,"1,135",245,780,360,,,70,33,47,0,0,0,10,10,10,10,40,40,325,300,390,445,315,350,335,275,175,140,170,185,145,65,35,*,"176,340",15,*,*,,,
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",,,,,,"161,295","133,115","70,145","91,135",15,"60,100","46,475","8,185","18,355",61,34,4,1,54,"10,335","2,820","2,115","1,775",370,470,595,670,700,"4,800","7,245","8,085","7,310","6,230","7,320","8,705","9,855","9,460","10,180","12,260","12,045","12,360","10,590","7,660","47,645","356,560","20,365","1,205","2,440",,,
NTP13,Barlborough NHS Treatment Centre,,,,,,"2,665","2,440","1,230","1,435",0,0,"2,440",0,0,55,53,2,2,64,0,0,0,0,0,0,0,0,*,*,35,55,55,80,145,225,270,300,405,500,325,200,50,*,"1,025","2,845",0,80,0,,,
RFF,Barnsley Hospital NHS Foundation Trust,,,,,,"87,915","73,640","39,485","48,430",*,"33,695","22,540","8,520","8,885",49,26,3,1,55,"4,050","1,365",915,710,185,285,325,430,470,"3,345","4,465","4,295","3,535","2,930","4,310","4,970","5,775","5,810","6,395","8,605","7,875","7,235","5,490","3,165","27,785","148,485","9,470",430,"2,885",,,
R1H,Barts Health NHS Trust,,,,,,"328,440","256,575","157,600","170,835",*,"118,420","85,795","17,510","34,850",52,33,4,1,47,"21,980","10,910","7,470","6,305","1,580","1,430","1,525","1,605","1,840","13,420","20,320","22,055","20,075","16,595","17,390","20,060","21,100","21,310","20,285","19,880","19,685","17,640","12,790","7,975","81,085","699,630","46,100","3,220","4,520",,,
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,,,,,,"141,945","118,145","62,325","79,595",25,"52,170","35,680","9,450","20,845",48,18,3,1,53,"7,350","1,160",930,800,185,485,630,790,"1,020","6,605","9,195","9,315","7,230","5,110","6,695","7,720","9,395","8,265","9,625","12,590","10,405","10,955","8,070","5,175","38,580","257,455","23,280",860,"11,875",,,
RC1,Bedford Hospital NHS Trust,,,,,,"84,260","65,325","38,665","45,595",0,"26,575","29,380","2,485","6,885",43,22,4,1,56,"4,380","1,380",790,765,230,250,295,425,400,"2,380","3,450","4,015","3,570","2,810","3,430","4,165","7,385","5,180","6,480","7,510","7,605","7,200","6,070","3,925","28,825","147,945","8,495",415,"1,410",,,
NWF01,Benenden Hospital,,,,,,"2,375","2,375","1,025","1,350",*,0,"2,375",0,0,45,39,2,2,65,0,0,0,0,0,0,0,*,10,40,35,50,50,80,120,165,175,230,325,455,325,210,95,10,"1,725","1,425",0,25,0,,,
RWX,Berkshire Healthcare NHS Foundation Trust,,,,,,"3,135","3,135","1,435","1,700",0,"1,055",610,710,760,,,33,22,70,0,0,0,*,*,10,15,15,20,95,120,110,105,85,90,110,90,110,155,200,290,450,555,495,0,"104,475",15,*,*,,,
NWX11,Bics-Community,,,,,,"2,480","2,480",905,"1,580",0,0,"2,480",0,0,39,25,2,2,59,0,0,0,0,0,0,0,*,*,45,55,85,145,155,215,280,235,230,265,305,230,135,55,25,"1,950","1,210",0,0,0,,,
RXT,Birmingham and Solihull Mental Health NHS Foundation Trust,,,,,,"3,395","2,245","1,885","1,505",*,"1,890",110,75,170,,,107,35,43,0,0,0,*,*,*,10,25,35,195,555,465,450,340,285,255,190,130,155,85,85,50,35,15,0,"243,430",20,*,0,,,
RYW,Birmingham Community Healthcare NHS Foundation Trust,,,,,,"4,550","3,810","2,055","2,495",0,460,880,565,"1,900",10,8,22,14,71,0,0,60,150,50,70,40,*,20,60,20,90,55,55,105,160,80,105,190,325,490,760,885,790,*,"84,460",15,0,30,,,
RXKTC,Birmingham Treatment Centre,,,,,,"9,370","9,355","3,625","5,745",0,*,"8,280","1,070",*,43,28,1,1,50,10,90,130,105,20,45,55,55,45,360,460,545,680,645,985,"1,120",980,815,675,565,395,310,140,40,"8,820",585,*,90,*,,,
RQ3,Birmingham Women's and Children's NHS Foundation Trust,,,,,,"70,080","65,635","30,995","39,075",15,"16,965","19,300","10,020","19,350",76,45,4,1,11,"15,425","15,440","10,725","9,555","2,165","1,175",420,200,205,"1,855","3,530","4,120","2,625",800,300,240,160,110,105,85,50,35,15,*,"21,700","157,040","7,635","1,615","2,470",,,
TAJ,Black Country Partnership NHS Foundation Trust,,,,,,"1,360","1,360",740,610,10,"1,330",0,10,20,,,49,20,43,0,0,0,0,0,0,0,20,25,170,180,150,135,135,115,100,75,45,45,40,50,25,25,10,0,"66,465",25,0,0,,,
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,,,,,,"135,750","105,525","64,695","71,050",*,"39,715","54,795","3,040","7,975",67,32,5,2,58,"4,790","3,030","1,750","1,445",380,350,350,460,520,"3,430","4,575","4,375","3,840","3,500","5,455","7,325","10,800","9,830","12,160","15,630","14,805","12,565","8,580","5,250","51,050","290,035","9,880","1,170","1,835",,,
NVC31,Blakelands Hospital,,,,,,"4,790","4,790","2,340","2,450",0,0,"4,790",0,0,47,38,2,2,55,0,0,0,0,0,0,0,15,20,165,210,285,335,335,375,440,450,460,495,495,385,215,90,20,"4,785",10,0,0,0,,,
NHW04,Blandford Hospital (Standard Health),,,,,,*,*,*,0,0,0,0,*,0,,,,,44,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,,,
NT402,BMI - Bath Clinic,,,,,,"1,800","1,800",810,990,0,0,"1,800",0,0,78,55,3,3,63,0,0,0,0,0,0,0,*,*,30,45,35,70,80,120,150,155,155,185,255,235,180,80,25,"1,430","1,020",0,20,0,,,
NT405,BMI - Bishops Wood,,,,,,"1,180","1,180",535,645,0,0,"1,180",0,0,87,56,2,3,59,0,*,*,0,0,0,0,*,*,35,40,50,70,90,80,105,105,75,110,130,85,120,40,25,"1,010",385,0,10,0,,,
NT409,BMI - Chelsfield Park Hospital,,,,,,"1,700","1,700",570,"1,135",0,0,"1,700",0,0,88,70,2,2,54,0,0,0,0,0,0,0,10,*,85,95,95,115,155,175,175,125,110,165,135,110,75,50,15,"1,375",590,0,25,0,,,
NT414,BMI - Fawkham Manor Hospital,,,,,,"1,205","1,205",500,700,0,0,"1,205",0,0,108,65,1,1,54,0,0,0,0,0,0,0,*,*,35,60,60,85,110,130,130,140,105,95,130,65,35,25,*,990,285,0,40,0,,,
NT417,BMI - Goring Hall Hospital,,,,,,"3,005","3,005","1,205","1,795",*,0,"3,005",0,0,110,57,2,2,66,0,0,0,0,0,0,0,*,*,45,60,65,90,85,170,235,190,225,290,450,435,360,205,80,"2,425","1,175",0,40,0,,,
NT416,BMI - Hendon Hospital,,,,,,"1,190","1,190",515,675,0,0,"1,190",0,0,58,36,9,9,55,0,0,0,0,0,0,0,*,*,40,50,60,80,120,115,115,95,125,115,115,75,45,20,*,"1,190",10,0,0,0,,,
NT433,BMI - Sarum Road Hospital,,,,,,"1,110","1,110",445,665,*,0,"1,110",0,0,203,79,3,3,61,0,0,0,0,0,0,0,*,0,15,20,30,45,75,80,115,110,125,115,140,125,70,40,15,895,575,0,*,0,,,
NT436,BMI - Shirley Oaks Hospital,,,,,,"4,195","4,195","1,765","2,430",0,0,"4,195",0,0,72,45,2,1,55,0,0,0,0,0,0,0,10,15,145,205,260,335,340,395,355,365,315,320,385,295,275,125,45,"3,770",735,0,30,0,,,
NT401,BMI - The Alexandra Hospital,,,,,,"5,165","5,165","2,320","2,845",0,0,"5,165",0,0,91,53,2,2,57,0,0,0,0,0,0,0,*,10,125,195,230,300,325,470,575,545,500,510,545,355,250,165,55,"3,985","2,785",0,105,0,,,
NT403,BMI - The Beardwood Hospital,,,,,,"7,275","7,275","2,845","4,430",*,0,"7,275",0,0,305,119,2,2,58,0,0,0,0,0,0,0,*,15,110,165,280,330,465,765,890,860,835,810,785,480,310,130,25,"6,550","1,425",0,50,0,,,
NT404,BMI - The Beaumont Hospital,,,,,,"5,345","5,345","2,515","2,810",20,0,"5,345",0,0,138,70,2,1,53,0,0,0,0,0,0,0,*,15,140,255,360,415,515,575,625,575,480,445,475,285,130,30,10,"4,710","1,130",0,45,0,,,
NT406,BMI - The Blackheath Hospital,,,,,,"2,265","2,265","1,105","1,155",*,0,"2,265",0,0,71,45,2,1,48,0,0,0,0,0,0,0,*,10,100,220,260,275,220,200,220,165,135,125,130,90,60,25,10,"1,845",660,0,35,0,,,
NT408,BMI - The Chaucer Hospital,,,,,,"2,710","2,710","1,165","1,545",*,0,"2,710",0,0,112,71,2,2,61,0,0,0,0,0,0,0,*,15,70,110,100,125,110,180,205,195,235,315,375,300,235,110,30,"2,445",465,0,25,0,,,
NT410,BMI - The Chiltern Hospital,,,,,,795,795,390,405,*,0,795,0,0,61,52,3,3,59,0,0,0,0,0,0,0,0,*,20,30,30,45,40,45,65,60,100,100,110,90,40,10,*,355,"1,190",0,25,0,,,
NT411,BMI - The Clementine Churchill Hospital,,,,,,"3,235","3,235","1,325","1,910",0,0,"3,235",0,0,90,46,2,1,52,0,0,0,0,0,0,0,10,10,125,225,190,290,270,295,355,315,310,250,285,155,95,35,*,"2,665","1,090",0,70,0,,,
NT412,BMI - The Droitwich Spa Hospital,,,,,,"3,265","3,265","1,390","1,875",*,0,"3,265",0,0,89,65,2,2,57,0,0,0,0,0,0,0,*,10,85,135,140,175,205,335,320,290,295,320,365,285,200,90,15,"2,840",985,0,25,0,,,
NT413,BMI - The Esperance Hospital,,,,,,"1,865","1,865",775,"1,090",0,0,"1,865",0,0,139,57,2,2,57,0,0,0,0,0,0,0,*,10,70,70,100,120,115,165,145,160,160,185,245,160,95,55,*,"1,555",620,0,15,0,,,
NT418,BMI - The Hampshire Clinic,,,,,,"2,985","2,985","1,150","1,830",0,0,"2,985",0,0,107,53,2,1,55,0,0,0,0,0,0,0,*,15,90,140,160,205,225,285,300,305,245,275,315,210,130,55,15,"2,605",575,0,50,0,,,
NT419,BMI - The Harbour Hospital,,,,,,565,565,225,340,0,0,565,0,0,70,59,3,3,68,0,0,0,0,0,0,0,0,0,*,*,10,15,15,25,40,45,35,60,85,95,85,35,15,480,260,0,*,0,,,
NT420,BMI - The Highfield Hospital,,,,,,"3,450","3,450","1,625","1,825",0,0,"3,450",0,0,90,40,2,3,55,0,0,0,0,0,0,0,10,15,105,185,200,215,205,315,360,365,355,335,375,235,115,40,*,"2,635","1,940",0,45,0,,,
NT421,BMI - The Kings Oak Hospital,,,,,,"1,830","1,830",735,"1,095",0,0,"1,830",0,0,99,63,2,2,55,0,0,0,0,0,0,0,*,10,50,70,80,125,160,200,245,175,145,140,170,115,85,30,15,"1,480",660,0,45,0,,,
NT422,BMI - The London Independent Hospital,,,,,,"7,800","7,800","3,680","4,115",*,0,"7,800",0,0,86,48,2,1,48,0,0,0,0,0,0,0,15,30,360,650,915,830,815,785,745,685,560,495,375,270,150,75,15,"7,295",805,0,90,0,,,
NT423,BMI - The Manor Hospital,,,,,,"1,405","1,405",645,760,0,0,"1,405",0,0,64,42,2,2,55,0,0,0,0,0,0,0,*,*,40,40,85,85,110,165,140,135,145,145,140,80,55,20,*,"1,090",535,0,20,0,,,
NT424,BMI - The Meriden Hospital,,,,,,"2,905","2,905","1,325","1,575",*,0,"2,905",0,0,70,49,2,2,53,0,0,0,0,0,0,0,10,10,105,145,170,185,215,340,300,320,300,255,280,160,75,25,*,"1,855","2,090",0,60,0,,,
NT427,BMI - The Park Hospital,,,,,,"2,670","2,670","1,010","1,660",*,0,"2,670",0,0,85,40,2,2,56,0,0,0,0,0,0,*,*,*,55,85,130,145,185,320,295,265,245,240,265,210,135,50,10,"1,965","1,420",0,55,0,,,
NT428,BMI - The Princess Margaret Hospital,,,,,,855,855,370,485,*,0,855,0,0,59,39,2,2,50,0,0,0,0,0,0,0,*,*,25,50,70,80,90,95,95,95,75,55,55,35,25,*,*,730,240,0,10,0,,,
NT429,BMI - The Priory Hospital,,,,,,"1,135","1,135",520,615,*,0,"1,135",0,0,91,68,2,2,49,0,0,0,0,0,0,0,*,*,45,100,85,110,115,120,115,110,90,85,70,40,20,10,*,775,710,0,45,0,,,
NT430,BMI - The Ridgeway Hospital,,,,,,"3,210","3,210","1,520","1,690",*,0,"3,210",0,0,98,63,2,2,61,0,0,0,0,0,0,0,*,10,75,75,130,140,165,205,245,275,255,365,490,340,265,135,35,"2,700","1,080",0,25,0,,,
NT431,BMI - The Runnymede Hospital,,,,,,465,465,210,255,0,0,465,0,0,142,43,2,1,55,0,0,0,0,0,0,0,*,*,15,15,30,35,45,50,35,45,25,40,45,45,30,*,*,395,130,0,*,0,,,
NT432,BMI - The Sandringham Hospital,,,,,,"1,705","1,705",940,765,*,0,"1,705",0,0,78,56,2,2,61,0,0,0,0,0,0,0,10,*,50,55,55,55,65,85,120,140,175,205,255,240,120,50,10,"1,385",615,0,15,0,,,
NT434,BMI - The Saxon Clinic,,,,,,"1,625","1,625",700,925,*,0,"1,625",0,0,120,77,2,2,56,0,0,0,0,0,0,0,*,*,15,40,55,100,165,165,165,205,195,175,150,115,40,20,*,"1,275",560,0,35,0,,,
NT435,BMI - The Shelburne Hospital,,,,,,310,310,185,125,*,0,310,0,0,62,58,1,1,54,0,0,0,0,0,0,0,0,0,*,15,20,20,20,30,40,45,35,30,25,20,10,*,0,300,15,0,0,0,,,
NT437,BMI - The Sloane Hospital,,,,,,"1,145","1,145",400,745,*,0,"1,145",0,0,63,48,2,2,53,0,0,0,0,0,0,0,*,*,55,65,80,85,100,110,115,90,85,95,90,70,55,25,10,955,380,0,15,0,,,
NT438,BMI - The Somerfield Hospital,,,,,,"1,060","1,060",460,600,0,0,"1,060",0,0,79,63,2,2,60,0,0,0,0,0,0,0,0,*,25,35,40,60,70,75,90,100,70,110,125,120,85,40,10,865,330,0,10,0,,,
NT439,BMI - The South Cheshire Private Hospital,,,,,,"2,660","2,660","1,205","1,450",*,0,"2,660",0,0,86,56,2,1,51,0,0,0,0,0,0,0,20,25,115,150,185,215,205,305,285,295,240,240,220,90,50,20,*,"2,230",660,0,50,0,,,
NT443,BMI - The Winterbourne Hospital,,,,,,"1,115","1,115",610,505,0,0,"1,115",0,0,78,55,3,3,64,0,0,0,0,0,0,0,0,*,10,15,15,30,40,55,95,120,115,155,185,130,95,45,*,830,730,0,10,0,,,
NT440,BMI - Thornbury Hospital,,,,,,"1,155","1,155",405,750,0,0,"1,155",0,0,70,43,2,1,51,0,0,0,0,0,0,0,*,*,45,70,85,85,115,155,125,105,100,80,100,50,25,*,*,735,725,0,30,0,,,
NT441,BMI - Three Shires Hospital,,,,,,"4,190","4,190","1,970","2,220",*,0,"4,190",0,0,103,66,2,2,57,0,0,0,0,0,0,0,*,15,100,130,180,235,285,405,455,410,480,495,465,265,190,65,10,"3,085","2,030",0,105,0,,,
NT497,BMI Gisburne Park Hospital,,,,,,"3,005","3,005","1,345","1,660",*,0,"3,005",0,0,149,88,1,1,62,0,0,0,0,0,0,0,10,*,45,65,100,125,145,210,240,295,280,315,440,325,275,95,35,"2,815",235,0,*,0,,,
NT455,BMI Mount Alvernia Hospital,,,,,,"1,000","1,000",405,590,*,0,"1,000",0,0,112,42,2,2,56,0,0,0,0,0,0,0,*,*,30,40,45,60,75,90,125,90,95,80,90,75,45,35,20,890,225,0,10,0,,,
NT490,BMI Southend Private Hospital,,,,,,"2,110","2,110",880,"1,180",50,0,"2,110",0,0,,,0,0,73,0,0,0,0,0,0,0,*,*,10,15,*,15,15,35,65,80,115,205,440,410,400,230,70,"2,105",0,0,*,0,,,
NT446,BMI St Edmunds Hospital,,,,,,"1,375","1,375",655,715,*,0,"1,375",0,0,76,60,2,2,60,0,0,0,0,0,0,0,*,*,20,40,60,65,70,95,115,125,140,160,210,150,85,30,*,905,810,0,20,0,,,
NT451,BMI The Cavell Hospital,,,,,,"2,350","2,350",855,"1,490",*,0,"2,350",0,0,60,38,2,2,52,0,0,0,0,0,0,0,*,10,85,135,170,235,230,250,235,205,150,160,175,145,95,30,10,"1,745","1,280",0,40,0,,,
NT447,BMI The Duchy Hospital,,,,,,830,830,435,395,0,0,830,0,0,81,38,2,1,58,0,0,0,0,0,0,0,*,*,10,30,35,45,55,80,75,90,65,85,100,70,60,15,*,490,560,0,15,0,,,
NT445,BMI The Edgbaston Hospital,,,,,,"2,895","2,895","1,395","1,495",*,0,"2,895",0,0,77,53,2,1,49,0,0,0,0,0,0,0,10,20,150,215,215,245,285,325,320,265,255,210,180,115,65,15,*,"2,495",825,0,30,0,,,
NT448,BMI The Huddersfield Hospital,,,,,,"2,870","2,870","1,370","1,495",*,0,"2,870",0,0,92,65,1,1,54,0,0,0,0,0,0,0,*,15,110,120,175,175,235,295,300,290,270,295,280,165,95,35,*,"2,380",580,0,50,0,,,
NT449,BMI The Lancaster Hospital,,,,,,"1,640","1,640",710,930,*,0,"1,640",0,0,114,68,2,2,58,0,0,0,0,0,0,0,*,*,35,35,65,80,95,145,185,200,195,165,175,130,85,30,*,"1,395",535,0,25,0,,,
NT450,BMI The Lincoln Hospital,,,,,,"1,240","1,240",565,675,0,0,"1,240",0,0,104,70,2,2,63,0,0,0,0,0,0,0,*,10,25,30,25,30,40,80,115,120,120,140,185,160,95,50,20,715,"1,205",0,25,0,,,
NT457,BMI Woodlands Hospital,,,,,,"5,065","5,065","2,180","2,880",*,0,"5,065",0,0,138,71,2,1,59,0,0,0,0,0,0,0,15,15,115,165,175,270,295,405,485,540,475,530,645,435,320,130,40,"3,770","2,095",0,155,0,,,
RMC,Bolton NHS Foundation Trust,,,,,,"95,735","85,330","38,775","56,960",*,"36,195","24,255","4,890","19,990",49,32,4,1,46,"8,400","3,340","2,075","1,375",305,310,440,515,715,"5,130","7,425","7,130","4,810","3,155","3,680","4,175","5,510","4,940","5,615","7,285","6,575","5,845","4,115","2,570","24,560","220,655","10,480",990,"7,220",,,
NVC27,Boston West Hospital,,,,,,"3,290","3,290","1,450","1,840",*,0,"3,290",0,0,82,51,,,60,0,0,0,0,0,0,0,10,10,80,115,120,135,165,280,305,315,290,340,400,335,245,120,30,"3,290",0,0,0,0,,,
TAD,Bradford District Care NHS Foundation Trust,,,,,,"1,320",980,750,570,0,520,125,290,40,29,21,63,32,42,0,0,0,*,*,*,*,30,25,145,165,165,135,95,100,125,75,60,50,50,35,25,15,10,0,"60,880",*,*,0,,,
RAE,Bradford Teaching Hospitals NHS Foundation Trust,,,,,,"171,595","142,055","71,405","100,185",*,"66,185","41,335","9,230","25,305",62,30,3,1,47,"9,085","5,860","3,495","2,965",835,795,"1,085","1,280","1,480","9,935","12,670","12,825","9,955","7,660","8,020","9,095","10,675","10,185","10,600","10,540","9,815","10,190","7,020","5,005","45,855","260,680","25,675",690,"14,050",,,
RXH,Brighton and Sussex University Hospitals NHS Trust,,,,,,"144,205","117,810","69,000","75,185",25,"46,170","46,540","13,135","11,960",66,42,5,2,54,"9,000","3,800","2,385","2,185",655,530,560,650,745,"4,010","4,975","6,205","6,155","5,080","6,300","8,095","10,955","8,640","9,930","12,765","11,555","11,200","8,655","6,605","49,060","331,690","13,470","2,060","1,515",,,
RXQ,Buckinghamshire Healthcare NHS Trust,,,,,,"122,780","115,795","54,340","68,445",0,"42,235","37,115","19,255","17,190",63,36,4,1,50,"9,380","4,695","2,620","2,135",480,360,420,445,500,"3,660","6,010","6,750","5,775","3,890","4,990","6,195","9,840","6,980","8,255","10,595","9,325","9,020","6,150","3,630","50,770","252,775","19,560",685,"5,695",,,
