Y62,North West,,,,,,"2,961,010","2,445,540","1,344,820","1,615,930",260,"965,855","934,845","297,575","247,265",61,31,4,1,53,"129,680","77,575","52,460","45,885","11,375","10,855","11,885","13,870","16,320","103,150","141,910","152,750","130,230","108,655","134,980","167,885","210,260","202,470","220,735","271,175","249,925","226,245","156,635","94,530","1,053,725","6,261,485","358,880","30,935","85,715"
Y63,North East & Yorkshire,,,,,,"3,419,445","2,852,815","1,549,505","1,869,660",280,"1,069,205","1,071,435","444,805","267,370",60,32,4,1,55,"145,290","76,625","55,585","47,380","11,785","11,575","12,460","15,250","18,045","115,445","151,675","156,995","138,370","119,985","153,780","193,545","244,280","245,150","270,675","335,185","299,930","272,195","193,170","119,440","1,294,630","7,081,585","348,310","34,575","78,110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF,AIREDALE NHS FOUNDATION TRUST,,,,,,"75,020","66,490","32,095","42,915",*,"24,245","33,300","2,615","6,335",30,18,4,1,55,"3,445","1,915","1,320",820,180,175,225,225,275,"2,020","3,275","3,515","2,810","2,490","3,020","4,000","6,000","4,975","6,050","7,540","7,020","6,150","4,515","2,940","33,595","131,400","9,280",225,"1,900"
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,,,,,,"47,700","42,275","27,045","20,655",0,"15,095","13,640","13,220",320,111,48,3,1,7,"7,920","13,285","10,715","10,045","2,550","1,540","1,015",285,165,125,*,0,0,*,0,0,0,0,0,0,0,0,0,0,"19,790","70,310","6,720","2,920",20
NX503,ANGLIA COMMUNITY EYE SERVICE - NEW QUEEN STREET SURGERY,,,,,,10,10,0,0,10,0,0,0,10,,,,,64,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,*,*,*,0,0,0,0,0,0,0
NX501,ANGLIA COMMUNITY EYE SERVICE LTD,,,,,,"3,715","3,715",0,0,"3,715",0,0,0,"3,715",,,,,74,0,0,0,0,0,0,0,*,*,*,10,20,30,25,70,80,140,255,395,695,770,700,390,130,0,0,0,0,0
NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,,,,,,*,*,0,0,*,0,0,0,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,*,0,*,0,0,0,0,0
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,,,,,,"86,760","77,500","39,135","47,620",*,"29,690","32,370","6,995","8,445",63,48,4,1,56,"4,645","1,465","1,260","1,450",295,310,365,310,410,"2,295","3,265","4,315","3,785","3,305","3,725","4,575","5,320","5,390","5,690","7,310","7,760","8,000","6,460","4,755","32,705","188,400","8,715","2,800",995
NVC01,ASHTEAD HOSPITAL,,,,,,"1,940","1,940",850,"1,090",0,0,"1,940",0,0,78,56,2,2,60,0,0,0,0,0,0,0,0,*,45,75,95,95,105,125,170,160,155,190,225,230,155,80,20,"1,770",340,0,0,0
NYW04,ASPEN - CLAREMONT HOSPITAL,,,,,,"3,175","3,175","1,515","1,660",0,*,"3,170",*,0,42,33,1,1,56,0,0,0,0,0,0,0,*,10,65,110,190,190,225,290,365,370,320,320,355,200,120,40,10,"2,170","1,500",0,0,0
NYW03,ASPEN - HIGHGATE HOSPITAL,,,,,,"1,065",710,465,600,0,0,710,0,0,29,23,2,1,50,0,0,0,0,0,0,0,*,*,30,95,75,105,110,100,125,105,95,75,60,40,15,15,*,935,250,0,0,0
NYW02,ASPEN - PARKSIDE HOSPITAL,,,,,,615,485,225,390,0,0,485,0,0,26,22,4,3,52,0,0,0,0,0,0,0,0,*,20,35,30,50,35,30,45,40,30,40,30,35,20,*,*,285,"1,180",0,0,0
NYW01,ASPEN - THE HOLLY,,,,,,"4,715","2,555","1,905","2,810",0,0,"2,555",0,0,54,50,2,2,54,0,0,0,0,0,0,0,*,20,110,205,235,360,415,530,545,595,475,390,385,215,145,70,10,"4,235",970,0,0,0
NXP37,ASPEN CENTRE,,,,,,55,55,20,35,0,0,55,0,0,,,,,58,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,55,0,0,0,0
NYW17,ASPEN HEALTHCARE - MIDLAND EYE,,,,,,"2,120","1,255",905,"1,220",0,0,"1,255",0,0,11,9,,,76,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,25,65,110,215,380,485,480,265,70,"2,120",0,0,0,0
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,,,,,,"3,535","2,375","1,910","1,625",0,"1,055",215,720,385,,,72,35,46,0,0,0,15,15,15,15,40,30,270,380,365,335,315,290,335,240,155,175,180,135,125,60,30,*,"163,470",15,*,*
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",,,,,,"161,930","133,695","70,990","90,925",20,"57,965","47,725","9,905","18,095",61,29,4,2,54,"10,620","2,665","2,090","1,745",390,475,565,650,665,"4,500","6,760","8,120","7,240","6,315","7,120","8,545","10,515","9,835","10,695","12,775","11,875","12,220","10,265","7,365","49,675","361,045","20,090","1,355","2,500"
NTP13,BARLBOROUGH NHS TREATMENT CENTRE,,,,,,"2,160","2,020",980,"1,180",*,0,"2,020",0,0,36,36,2,1,66,0,0,0,0,0,0,0,0,*,15,20,20,35,45,85,160,200,290,340,445,295,160,45,*,675,"2,145",0,135,0
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,,,,,,"96,425","80,280","43,850","52,575",*,"35,345","23,275","9,755","11,905",51,28,3,1,54,"6,770","1,255",970,680,180,285,410,475,510,"3,465","4,830","4,585","3,900","3,085","4,185","5,190","6,790","6,095","6,590","8,810","8,630","7,770","6,030","3,540","29,240","157,325","10,000",725,"3,760"
R1H,BARTS HEALTH NHS TRUST,,,,,,"321,750","254,170","154,055","167,690",*,"118,940","86,055","14,950","34,225",54,31,4,1,47,"22,115","10,645","6,845","6,335","1,460","1,450","1,400","1,575","1,845","12,695","19,100","21,795","19,625","16,930","17,720","19,990","21,155","20,990","20,095","19,770","18,730","16,920","11,905","7,505","80,370","710,140","46,075","3,415","4,495"
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"143,815","114,030","62,450","81,330",35,"50,965","34,025","9,085","19,955",50,18,3,1,54,"7,150","1,155",825,740,185,460,555,690,935,"5,830","8,830","9,350","7,125","5,385","6,185","7,760","9,615","8,415","9,675","13,045","11,235","11,290","8,885","6,065","36,750","257,485","22,445",885,"11,165"
RC1,BEDFORD HOSPITAL NHS TRUST,,,,,,"81,890","65,480","37,940","43,940",*,"27,755","29,350","2,115","6,260",43,23,4,1,56,"4,360","1,450",820,820,200,220,320,330,390,"2,295","3,245","3,880","3,475","2,795","3,240","4,295","7,095","4,965","6,225","7,405","7,225","7,280","5,545","3,815","28,805","151,300","8,830",330,"1,090"
NWF01,BENENDEN HOSPITAL,,,,,,"1,500","1,500",635,860,0,0,"1,500",0,0,53,50,2,2,65,0,0,0,0,0,0,0,*,*,25,20,25,30,45,80,95,105,140,215,295,215,145,45,10,965,"1,165",0,10,0
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,,,,,,"3,195","3,195","1,480","1,715",0,"1,040",560,825,770,,,34,22,69,0,0,0,10,15,15,15,20,15,95,125,125,100,100,100,95,105,105,145,230,315,445,570,455,*,"106,685",10,*,*
NWX11,BICS-COMMUNITY,,,,,,"2,595","2,595","1,000","1,595",0,0,"2,595",0,0,42,32,2,2,59,0,0,0,0,0,0,0,*,*,40,75,95,155,160,230,235,265,270,280,300,225,150,70,25,"2,005","1,355",0,0,0
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,,,,,,"3,605","3,300","1,660","1,945",0,335,885,510,"1,570",61,61,22,14,68,0,0,40,175,20,45,50,*,25,75,40,90,80,65,115,160,55,110,135,265,415,525,595,530,0,"71,805",*,0,10
RXKTC,BIRMINGHAM TREATMENT CENTRE,,,,,,"8,795","8,780","3,545","5,250",0,30,"7,860",895,0,35,21,1,1,50,10,50,40,65,20,25,50,70,45,355,425,560,670,685,905,"1,055",985,745,585,530,410,250,90,35,"7,880","1,020",20,130,0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,,,,,,"68,465","63,390","30,335","38,125",*,"15,600","17,950","10,545","19,295",78,44,4,1,11,"14,995","14,040","10,745","9,540","2,415","1,135",555,155,190,"1,770","3,550","4,160","2,535",780,320,240,180,95,85,80,50,35,15,*,"20,950","156,825","6,775","1,685","2,285"
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"136,490","107,600","64,740","71,750",*,"41,510","54,975","3,200","7,910",69,32,5,2,59,"4,510","2,550","1,620","1,225",355,290,400,470,510,"3,545","4,365","4,445","3,900","3,715","5,545","7,225","11,300","10,555","12,200","15,710","14,695","12,870","8,675","5,275","51,910","292,340","11,300","1,080","2,105"
NVC31,BLAKELANDS HOSPITAL,,,,,,"4,170","4,170","1,865","2,305",0,0,"4,170",0,0,57,46,3,2,57,0,0,0,0,0,0,0,15,15,140,170,200,250,305,310,360,340,355,435,450,370,280,140,25,"4,135",95,0,0,0
NT402,BMI - BATH CLINIC,,,,,,"1,935","1,935",875,"1,055",*,0,"1,935",0,0,73,50,3,3,61,0,0,0,0,0,0,0,*,10,45,65,55,80,105,135,165,150,160,200,265,225,160,65,30,"1,560",990,0,25,0
NT405,BMI - BISHOPS WOOD,,,,,,"1,590","1,590",705,885,0,0,"1,590",0,0,103,70,2,2,62,0,*,0,0,0,0,0,*,*,25,45,45,85,95,110,110,140,130,130,180,190,175,75,35,"1,420",350,0,15,0
NT409,BMI - CHELSFIELD PARK HOSPITAL,,,,,,"1,640","1,640",585,"1,055",0,0,"1,640",0,0,97,65,2,2,53,0,0,0,0,0,0,0,*,15,60,80,105,145,125,155,190,160,110,135,140,105,70,35,*,"1,380",475,0,20,0
NT414,BMI - FAWKHAM MANOR HOSPITAL,,,,,,170,170,70,100,0,0,170,0,0,136,70,1,1,53,0,0,0,0,0,0,0,*,0,*,10,10,15,15,15,15,15,20,15,15,10,*,*,0,150,25,0,*,0
NT417,BMI - GORING HALL HOSPITAL,,,,,,"2,635","2,635","1,065","1,570",*,0,"2,635",0,0,113,51,2,2,67,0,0,0,0,0,0,0,*,*,30,35,50,60,80,105,215,150,190,270,420,420,360,175,60,"2,060","1,215",0,40,0
NT416,BMI - HENDON HOSPITAL,,,,,,"1,265","1,265",480,790,0,0,"1,265",0,0,70,50,,,55,0,0,0,0,0,0,0,*,*,30,80,90,65,90,120,115,115,145,105,105,105,55,25,*,"1,265",0,0,0,0
NT433,BMI - SARUM ROAD HOSPITAL,,,,,,"1,025","1,025",390,640,0,0,"1,025",0,0,266,86,3,3,62,0,0,0,0,0,0,0,*,*,15,10,20,30,70,75,85,115,120,110,110,125,80,45,10,760,705,0,10,0
NT436,BMI - SHIRLEY OAKS HOSPITAL,,,,,,"3,050","3,050","1,310","1,735",*,0,"3,050",0,0,96,52,2,2,56,0,0,0,0,0,0,*,*,10,95,135,170,235,245,260,265,275,220,225,295,250,205,110,35,"2,810",435,0,15,0
NT401,BMI - THE ALEXANDRA HOSPITAL,,,,,,"5,370","5,370","2,380","2,990",0,0,"5,370",0,0,94,54,2,2,56,0,0,0,0,0,0,0,*,15,125,175,270,315,385,505,595,665,560,555,575,335,180,90,10,"4,120","3,015",0,95,0
NT403,BMI - THE BEARDWOOD HOSPITAL,,,,,,"7,710","7,710","2,980","4,725",*,0,"7,710",0,0,331,90,2,1,58,0,0,0,0,0,0,0,*,15,110,190,300,355,475,720,955,935,865,835,830,610,325,140,30,"6,910","1,370",0,75,0
NT404,BMI - THE BEAUMONT HOSPITAL,,,,,,"5,170","5,170","2,390","2,765",20,0,"5,170",0,0,146,67,2,2,52,0,0,0,0,0,0,0,10,15,150,240,340,435,480,600,575,570,495,390,420,270,130,40,*,"4,565","1,065",0,50,0
NT406,BMI - THE BLACKHEATH HOSPITAL,,,,,,"2,615","2,615","1,305","1,315",0,0,"2,615",0,0,85,56,2,1,50,0,0,0,0,0,0,0,*,15,120,235,250,275,230,225,230,195,185,170,175,150,95,50,10,"2,205",710,0,25,0
NT408,BMI - THE CHAUCER HOSPITAL,,,,,,"2,725","2,725","1,160","1,565",0,0,"2,725",0,0,134,77,2,2,61,0,0,0,0,0,0,0,*,10,90,95,95,125,140,165,190,175,230,280,410,325,270,110,15,"2,405",535,0,30,0
NT410,BMI - THE CHILTERN HOSPITAL,,,,,,880,880,400,480,0,0,880,0,0,65,56,3,3,59,0,0,0,0,0,0,0,*,*,25,35,25,30,40,50,75,95,110,115,125,90,50,10,*,315,"1,470",0,30,0
NT411,BMI - THE CLEMENTINE CHURCHILL HOSPITAL,,,,,,"3,800","3,800","1,675","2,125",0,0,"3,800",0,0,77,36,2,1,53,0,0,0,0,0,0,0,*,10,145,215,265,310,315,330,455,350,355,310,310,205,135,55,10,"3,080","1,335",0,100,0
NT412,BMI - THE DROITWICH SPA HOSPITAL,,,,,,"3,015","3,015","1,320","1,690",*,0,"3,015",0,0,96,63,2,2,59,0,0,0,0,0,0,0,*,15,70,100,145,135,190,205,285,255,270,295,370,290,240,115,25,"2,615",840,0,40,0
NT413,BMI - THE ESPERANCE HOSPITAL,,,,,,350,350,140,210,0,0,350,0,0,56,31,2,2,54,0,0,0,0,0,0,0,*,*,15,25,25,20,35,25,20,30,30,25,40,30,15,10,0,290,120,0,*,0
NT418,BMI - THE HAMPSHIRE CLINIC,,,,,,"3,025","3,025","1,180","1,840",0,0,"3,025",0,0,124,49,2,2,55,0,0,0,0,0,0,0,*,15,85,110,170,225,230,315,315,295,275,225,310,230,150,55,15,"2,700",545,0,15,0
NT419,BMI - THE HARBOUR HOSPITAL,,,,,,740,740,295,445,0,0,740,0,0,89,70,3,3,66,0,0,0,0,0,0,0,0,*,*,10,15,20,15,40,60,45,85,80,115,95,80,55,15,525,535,0,10,0
NT420,BMI - THE HIGHFIELD HOSPITAL,,,,,,"4,530","4,530","1,975","2,550",*,0,"4,530",0,0,82,42,2,3,53,0,0,0,0,0,0,0,15,30,175,240,315,285,320,450,500,480,395,425,410,275,135,55,20,"3,470","2,590",0,70,0
NT421,BMI - THE KINGS OAK HOSPITAL,,,,,,"1,685","1,685",675,"1,010",*,0,"1,685",0,0,103,66,2,2,54,0,0,0,0,0,0,0,*,10,65,65,85,140,125,160,195,165,150,125,155,110,75,35,10,"1,470",425,0,20,0
NT422,BMI - THE LONDON INDEPENDENT HOSPITAL,,,,,,"8,625","8,625","4,155","4,465",0,0,"8,625",0,0,91,49,2,1,47,0,0,0,0,0,0,0,15,40,410,825,930,880,910,900,805,800,635,505,370,275,165,75,25,"8,045","1,060",0,90,0
NT423,BMI - THE MANOR HOSPITAL,,,,,,"1,075","1,075",500,575,*,0,"1,075",0,0,56,35,2,2,53,0,0,0,0,0,0,0,*,*,30,40,65,75,100,120,120,125,85,85,105,60,35,10,0,835,425,0,20,0
NT424,BMI - THE MERIDEN HOSPITAL,,,,,,"2,595","2,595","1,175","1,420",0,0,"2,595",0,0,83,62,2,2,53,0,0,0,0,0,0,0,*,10,75,135,175,210,210,275,305,295,250,225,215,125,65,20,*,"1,730","1,660",0,45,0
NT427,BMI - THE PARK HOSPITAL,,,,,,"3,660","3,660","1,320","2,340",0,0,"3,660",0,0,85,36,2,2,58,0,0,0,0,0,0,0,*,10,60,110,155,200,230,405,390,370,345,355,375,330,195,90,25,"2,780","1,725",0,75,0
NT428,BMI - THE PRINCESS MARGARET HOSPITAL,,,,,,805,805,330,480,*,0,805,0,0,64,48,2,2,49,0,0,0,0,0,0,0,*,*,30,55,75,80,95,80,90,85,55,55,55,30,10,*,0,680,245,0,10,0
NT429,BMI - THE PRIORY HOSPITAL,,,,,,"1,050","1,050",485,565,0,0,"1,050",0,0,83,60,2,2,52,0,0,0,0,0,0,0,*,*,50,55,70,80,85,105,110,105,105,90,90,60,30,*,*,720,695,0,25,0
NT430,BMI - THE RIDGEWAY HOSPITAL,,,,,,"3,375","3,375","1,535","1,840",0,0,"3,375",0,0,121,62,2,2,60,0,0,0,0,0,0,0,*,10,80,110,170,155,195,230,230,340,265,370,445,345,240,135,40,"2,875","1,050",0,20,0
NT431,BMI - THE RUNNYMEDE HOSPITAL,,,,,,480,480,225,255,0,0,480,0,0,169,50,2,2,55,*,0,0,0,0,0,0,*,0,15,20,35,30,45,35,60,50,35,30,45,50,20,10,*,425,110,0,*,0
NT432,BMI - THE SANDRINGHAM HOSPITAL,,,,,,"1,550","1,550",900,650,0,0,"1,550",0,0,89,59,2,2,63,0,0,0,0,0,0,0,*,10,30,40,35,50,60,80,110,130,130,200,260,215,125,60,15,"1,225",625,0,20,0
NT434,BMI - THE SAXON CLINIC,,,,,,"1,725","1,725",695,"1,030",0,0,"1,725",0,0,141,80,2,2,56,0,0,0,0,0,0,0,*,10,25,70,75,110,120,190,195,210,170,170,185,110,70,15,*,"1,370",550,0,35,0
NT435,BMI - THE SHELBURNE HOSPITAL,,,,,,335,335,215,115,0,0,335,0,0,60,56,1,1,55,0,0,0,0,0,0,0,0,*,*,10,20,25,15,50,35,40,25,35,35,20,10,*,*,330,*,0,0,0
NT437,BMI - THE SLOANE HOSPITAL,,,,,,"1,230","1,230",445,790,0,0,"1,230",0,0,79,61,2,2,54,0,0,0,0,0,0,0,*,*,40,55,100,90,115,120,105,105,95,105,110,75,65,25,*,"1,050",395,0,15,0
NT439,BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,,,,,,"2,090","2,090",920,"1,165",0,0,"2,090",0,0,91,51,1,1,50,0,0,0,0,0,0,0,*,15,100,125,165,185,190,240,250,215,155,155,140,85,40,20,*,"1,730",525,0,50,0
NT443,BMI - THE WINTERBOURNE HOSPITAL,,,,,,"1,165","1,165",645,515,*,0,"1,165",0,0,90,68,3,3,65,0,0,0,0,0,0,0,*,0,10,15,15,15,55,45,90,120,140,165,200,130,105,35,15,820,870,0,20,0
NT440,BMI - THORNBURY HOSPITAL,,,,,,"1,060","1,060",385,675,0,0,"1,060",0,0,76,42,2,1,51,0,0,0,0,0,0,0,*,*,50,60,75,75,105,135,125,90,85,90,90,45,25,10,0,695,615,0,20,0
NT441,BMI - THREE SHIRES HOSPITAL,,,,,,"4,235","4,235","1,945","2,290",0,0,"4,235",0,0,98,57,2,2,56,0,0,0,0,0,0,0,*,20,100,130,215,245,305,395,450,440,435,510,440,310,155,65,15,"3,150","1,790",0,95,0
NT497,BMI GISBURNE PARK HOSPITAL,,,,,,"2,555","2,555","1,175","1,380",*,0,"2,555",0,0,184,89,1,1,62,0,0,0,0,0,0,0,*,10,45,50,80,100,135,155,200,210,255,265,365,320,215,125,25,"2,475",80,0,*,0
NT455,BMI MOUNT ALVERNIA HOSPITAL,,,,,,925,925,360,565,0,0,925,0,0,112,41,2,1,55,0,0,0,0,0,0,0,*,*,40,35,40,70,60,75,110,100,75,80,90,75,40,20,*,800,200,0,15,0
NT490,BMI SOUTHEND PRIVATE HOSPITAL,,,,,,"2,145","2,145",855,"1,270",20,0,"2,145",0,0,,,,,72,*,0,0,0,0,0,0,*,*,20,10,15,20,25,35,70,85,130,215,395,455,405,200,60,"2,145",0,0,0,0
NT446,BMI ST EDMUNDS HOSPITAL,,,,,,"1,165","1,165",585,575,*,0,"1,165",0,0,74,56,2,2,62,0,0,0,0,0,0,0,*,*,15,30,25,45,45,60,100,100,125,170,185,125,90,30,*,765,670,0,20,0
NT451,BMI THE CAVELL HOSPITAL,,,,,,"2,640","2,640",905,"1,730",*,0,"2,640",0,0,67,42,2,2,51,0,0,0,0,0,0,0,*,15,105,160,195,240,260,310,265,250,160,185,220,135,75,30,10,"1,920","1,495",0,50,0
NT447,BMI THE DUCHY HOSPITAL,,,,,,635,635,360,275,*,0,635,0,0,74,43,2,1,57,0,0,0,0,0,0,0,*,*,20,30,20,30,35,55,45,65,90,75,90,40,25,*,*,350,430,0,10,0
NT445,BMI THE EDGBASTON HOSPITAL,,,,,,"2,600","2,600","1,245","1,355",*,0,"2,600",0,0,83,49,2,2,50,0,0,0,0,0,0,0,15,20,155,170,195,220,240,255,270,240,230,220,180,110,50,20,*,"2,250",690,0,45,0
NT448,BMI THE HUDDERSFIELD HOSPITAL,,,,,,"3,010","3,010","1,385","1,620",*,0,"3,010",0,0,108,77,1,1,54,0,0,0,0,0,0,0,10,20,110,145,150,205,190,300,340,320,295,285,285,205,110,35,*,"2,510",495,0,95,0
NT449,BMI THE LANCASTER HOSPITAL,,,,,,"1,950","1,950",805,"1,145",*,0,"1,950",0,0,150,81,2,2,57,0,0,0,0,0,0,0,*,*,35,60,75,105,130,165,225,250,225,200,195,140,105,30,10,"1,680",570,0,15,0
NT450,BMI THE LINCOLN HOSPITAL,,,,,,"1,185","1,185",540,645,*,0,"1,185",0,0,111,71,2,2,62,0,0,0,0,0,0,0,0,*,30,30,20,30,40,75,95,115,120,150,190,145,100,40,*,700,"1,150",0,20,0
NT457,BMI WOODLANDS HOSPITAL,,,,,,"5,365","5,365","2,320","3,040",*,0,"5,365",0,0,138,77,2,2,60,0,0,0,0,0,0,0,10,15,120,180,210,240,320,370,470,480,470,580,695,555,400,195,55,"4,075","2,090",0,130,0
RMC,BOLTON NHS FOUNDATION TRUST,,,,,,"95,970","83,955","38,365","57,605",*,"35,485","23,325","4,670","20,470",54,36,4,1,47,"8,610","2,935","1,960","1,335",320,335,435,540,610,"5,005","7,640","7,200","5,055","3,065","3,415","3,995","5,280","4,875","5,725","7,400","6,870","5,875","4,260","2,925","23,845","230,175","10,435",830,"7,280"
NVC27,BOSTON WEST HOSPITAL,,,,,,"2,635","2,635","1,165","1,470",0,0,"2,635",0,0,62,40,37,37,59,0,0,0,0,0,0,0,10,20,80,95,115,150,145,200,240,235,200,230,305,295,200,95,15,"2,630",75,0,0,0
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,,,,,,"1,180",970,670,505,*,790,45,55,80,31,31,72,37,42,0,0,0,0,*,*,10,25,35,110,160,135,140,95,95,75,55,45,50,55,35,25,15,*,0,"69,645",*,0,0
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"164,055","138,000","67,770","96,275",*,"61,030","40,500","10,850","25,620",53,28,3,1,47,"8,835","5,250","2,965","2,855",690,760,955,"1,190","1,395","9,330","12,265","12,185","9,980","7,410","7,205","8,485","10,380","9,525","10,300","10,385","9,525","9,835","6,895","4,835","45,145","259,490","23,465","1,655","14,460"
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,,,,,,"157,125","128,550","74,980","82,120",25,"48,035","55,320","14,360","10,835",67,35,5,1,54,"8,765","3,455","2,440","2,050",630,610,585,755,750,"4,450","5,585","6,700","6,885","5,595","6,945","8,835","11,285","9,590","10,900","14,115","13,180","11,965","9,550","7,225","59,370","344,430","15,960","1,385","1,450"
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,,,,,,"119,765","112,490","53,450","66,315",*,"40,975","35,745","20,125","15,645",61,35,4,1,51,"7,870","4,065","2,515","2,015",375,345,390,420,520,"3,330","5,625","6,855","5,825","4,170","4,980","6,125","9,715","7,000","8,330","10,165","9,465","9,000","6,095","3,925","50,430","254,490","19,270",715,"5,105"
