RTQ,2Gether NHS Foundation Trust,,,,,," 	1,598 "," 	1,280 ", 	749 , 	849 , 	- 0," 	1,056 ", 	42 , 	139 , 	43 , 	5 , 	5 , 	61 , 	27 , 	48 , 	- 0, 	- 0,*,*,*,*, 	11 , 	13 , 	25 , 	126 , 	169 , 	142 , 	107 , 	148 , 	167 , 	142 , 	78 , 	105 , 	96 , 	85 , 	67 , 	52 , 	39 , 	16 , 	35 ," 	75,924 ", 	19 ,*, 	- 0
RTV,5 Boroughs Partnership NHS Foundation Trust,,,,,," 	2,956 "," 	2,380 "," 	1,587 "," 	1,369 ", 	- 0," 	2,287 ",*,*, 	75 ,*,*, 	44 , 	21 , 	46 , 	- 0, 	- 0,*,*, 	11 , 	23 , 	21 , 	39 , 	31 , 	317 , 	282 , 	288 , 	258 , 	296 , 	226 , 	243 , 	145 , 	133 , 	133 , 	151 , 	156 , 	115 , 	48 , 	21 , 	- 0," 	105,841 ", 	37 , 	- 0,*
REM,Aintree University Hospital NHS Foundation Trust,,,,,," 	122,188 "," 	87,581 "," 	59,890 "," 	62,298 ", 	- 0," 	39,071 "," 	33,767 "," 	14,448 ", 	295 , 	38 , 	23 , 	5 , 	2 , 	61 , 	- 0, 	7 , 	31 , 	36 , 	7 , 	324 , 	408 , 	494 , 	614 ," 	3,662 "," 	4,354 "," 	4,422 "," 	4,521 "," 	5,713 "," 	7,404 "," 	8,973 "," 	11,414 "," 	10,513 "," 	12,284 "," 	11,728 "," 	12,163 "," 	11,370 "," 	7,553 "," 	4,081 "," 	39,874 "," 	235,324 "," 	11,548 "," 	1,027 ", 	58 
RCF,Airedale NHS Foundation Trust,,,,,," 	76,991 "," 	64,729 "," 	31,118 "," 	45,857 ", 	16 ," 	21,103 "," 	30,765 "," 	2,007 "," 	10,854 ", 	35 , 	21 , 	3 , 	1 , 	53 ," 	3,817 "," 	1,664 ", 	964 , 	647 , 	184 , 	217 , 	250 , 	338 , 	375 ," 	3,363 "," 	4,691 "," 	4,680 "," 	3,290 "," 	2,911 "," 	3,210 "," 	3,612 "," 	5,435 "," 	4,904 "," 	6,536 "," 	6,393 "," 	6,189 "," 	5,774 "," 	4,337 "," 	2,982 "," 	29,558 "," 	120,278 "," 	5,928 ", 	299 ," 	5,922 "
RBS,Alder Hey Children's NHS Foundation Trust,,,,,," 	40,690 "," 	35,083 "," 	22,741 "," 	17,948 ",*," 	11,166 "," 	14,314 "," 	9,419 ", 	184 , 	50 , 	29 , 	3 , 	1 , 	7 ," 	6,435 "," 	12,395 "," 	8,735 "," 	8,393 "," 	2,041 "," 	1,272 ", 	735 , 	334 , 	186 , 	153 , 	- 0,*,*,*, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0," 	15,231 "," 	65,648 "," 	3,541 "," 	4,315 ", 	18 
ARH01,Arthur Rank Hospice,,,,,, 	278 , 	278 , 	140 , 	138 , 	- 0, 	- 0, 	- 0, 	278 , 	- 0,,, 	10 , 	6 , 	72 , 	- 0,*, 	- 0,*, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*,*,*, 	6 , 	7 , 	10 , 	13 , 	27 , 	32 , 	54 , 	41 , 	32 , 	28 , 	22 , 	- 0," 	2,724 ", 	- 0, 	28 , 	- 0
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,,,,,," 	84,362 "," 	74,094 "," 	37,837 "," 	46,524 ",*," 	24,670 "," 	31,537 "," 	8,426 "," 	9,461 ", 	54 , 	43 , 	4 , 	2 , 	55 ," 	5,207 "," 	1,793 "," 	1,488 "," 	1,104 ", 	281 , 	287 , 	347 , 	266 , 	302 ," 	2,260 "," 	3,190 "," 	4,039 "," 	3,660 "," 	3,213 "," 	3,923 "," 	4,625 "," 	4,476 "," 	4,944 "," 	6,532 "," 	6,406 "," 	7,712 "," 	7,641 "," 	6,196 "," 	4,265 "," 	33,325 "," 	177,023 "," 	3,705 "," 	1,550 "," 	1,196 "
NVC01,Ashtead Hospital,,,,,," 	2,607 "," 	2,607 "," 	1,141 "," 	1,466 ", 	- 0, 	- 0," 	2,607 ", 	- 0, 	- 0, 	63 , 	15 , 	3 , 	3 , 	56 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	11 , 	89 , 	87 , 	136 , 	148 , 	190 , 	256 , 	263 , 	243 , 	255 , 	283 , 	212 , 	212 , 	146 , 	60 , 	15 ," 	2,187 "," 	1,177 ", 	- 0, 	- 0, 	- 0
NYW04,Aspen - Claremont Hospital,,,,,," 	2,979 "," 	2,979 "," 	1,405 "," 	1,574 ", 	- 0, 	- 0," 	2,979 ", 	- 0, 	- 0, 	54 , 	29 , 	2 , 	1 , 	56 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	10 , 	7 , 	63 , 	91 , 	132 , 	156 , 	246 , 	291 , 	319 , 	310 , 	301 , 	352 , 	320 , 	214 , 	105 , 	47 ,*," 	1,636 "," 	2,357 ", 	- 0, 	- 0, 	- 0
NYW03,Aspen - Highgate Hospital,,,,,, 	660 , 	460 , 	288 , 	372 , 	- 0, 	- 0, 	417 , 	43 , 	- 0, 	20 , 	16 , 	2 , 	2 , 	51 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	25 , 	49 , 	56 , 	54 , 	63 , 	72 , 	83 , 	51 , 	51 , 	42 , 	33 , 	39 , 	23 , 	13 , 	- 0, 	580 , 	152 , 	- 0,*, 	- 0
NYW02,Aspen - Parkside Hospital,,,,,, 	448 , 	336 , 	175 , 	273 , 	- 0, 	- 0, 	336 , 	- 0, 	- 0, 	30 , 	23 , 	2 , 	1 , 	50 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	- 0, 	18 , 	39 , 	43 , 	37 , 	40 , 	49 , 	54 , 	36 , 	28 , 	29 , 	35 , 	15 ,*,*,*, 	304 , 	249 , 	- 0, 	- 0, 	- 0
NYW20,Aspen - The Chelmsford,,,,,, 	224 , 	135 , 	96 , 	128 , 	- 0, 	- 0, 	135 , 	- 0, 	- 0, 	39 , 	37 , 	1 , 	1 , 	62 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	6 , 	10 , 	9 , 	14 , 	11 , 	16 , 	19 , 	16 , 	20 , 	32 , 	30 , 	31 , 	6 ,*,*,*, 	- 0, 	- 0, 	- 0
NYW01,Aspen - The Holly,,,,,," 	3,813 "," 	2,273 "," 	1,636 "," 	2,177 ", 	- 0, 	- 0," 	2,273 ", 	- 0, 	- 0, 	28 , 	22 , 	2 , 	1 , 	52 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	14 , 	22 , 	27 , 	25 , 	120 , 	182 , 	216 , 	302 , 	382 , 	457 , 	427 , 	350 , 	310 , 	335 , 	255 , 	183 , 	127 , 	47 , 	20 ," 	3,150 "," 	1,312 ", 	- 0, 	- 0, 	- 0
NYW17,Aspen Healthcare - Midland Eye,,,,,," 	1,356 ", 	845 , 	553 , 	803 , 	- 0, 	- 0, 	845 , 	- 0, 	- 0, 	19 , 	15 ,,, 	75 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*,*,*, 	- 0, 	13 , 	23 , 	41 , 	82 , 	184 , 	243 , 	281 , 	292 , 	150 , 	41 ," 	1,356 ", 	- 0, 	- 0, 	- 0, 	- 0
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,,,,,," 	3,854 "," 	2,423 "," 	1,991 "," 	1,863 ", 	- 0," 	1,396 ", 	279 , 	648 , 	100 ,,, 	80 , 	34 , 	49 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	40 , 	32 , 	307 , 	348 , 	411 , 	319 , 	387 , 	325 , 	306 , 	222 , 	208 , 	224 , 	212 , 	171 , 	156 , 	134 , 	52 ,*," 	184,145 ", 	7 ,*, 	- 0
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",,,,,," 	154,990 "," 	133,948 "," 	69,178 "," 	85,779 ", 	33 ," 	59,264 "," 	48,190 "," 	7,761 "," 	18,733 ", 	53 , 	35 , 	4 , 	2 , 	52 ," 	10,637 "," 	3,009 "," 	2,287 "," 	1,574 ", 	361 , 	518 , 	681 , 	720 , 	786 ," 	5,406 "," 	8,363 "," 	8,825 "," 	7,373 "," 	6,756 "," 	7,707 "," 	8,446 "," 	9,214 "," 	8,972 "," 	11,067 "," 	10,596 "," 	11,944 "," 	12,552 "," 	10,008 "," 	6,580 "," 	48,074 "," 	366,393 "," 	17,743 "," 	1,041 "," 	2,221 "
NTP13,Barlborough NHS Treatment Centre,,,,,," 	3,028 "," 	2,791 "," 	1,445 "," 	1,576 ", 	7 , 	- 0," 	2,791 ", 	- 0, 	- 0, 	43 , 	39 , 	2 , 	2 , 	63 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	31 , 	36 , 	48 , 	63 , 	115 , 	178 , 	233 , 	306 , 	409 , 	547 , 	494 , 	336 , 	174 , 	49 , 	6 ," 	1,124 "," 	3,693 ", 	- 0, 	136 , 	- 0
RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust",,,,,," 	3,552 "," 	2,468 "," 	2,035 "," 	1,517 ", 	- 0, 	933 , 	496 , 	808 , 	231 , 	1 , 	1 , 	76 , 	25 , 	45 , 	- 0, 	- 0, 	- 0, 	18 , 	19 , 	18 , 	28 , 	30 , 	41 , 	360 , 	425 , 	410 , 	298 , 	327 , 	338 , 	274 , 	148 , 	120 , 	132 , 	82 , 	111 , 	120 , 	106 , 	83 , 	- 0," 	183,412 ", 	11 ,*,*
RFF,Barnsley Hospital NHS Foundation Trust,,,,,," 	77,809 "," 	67,504 "," 	34,268 "," 	43,541 ", 	- 0," 	30,942 "," 	18,484 "," 	8,997 "," 	9,081 ", 	41 , 	28 , 	3 , 	1 , 	51 ," 	5,833 "," 	1,882 "," 	1,227 ", 	875 , 	262 , 	216 , 	313 , 	398 , 	480 ," 	3,392 "," 	3,963 "," 	3,839 "," 	3,012 "," 	3,208 "," 	3,856 "," 	4,173 "," 	4,460 "," 	4,566 "," 	6,005 "," 	6,455 "," 	6,622 "," 	5,814 "," 	4,252 "," 	2,548 "," 	23,451 "," 	145,935 "," 	8,546 ", 	770 ," 	2,387 "
R1H,Barts Health NHS Trust,,,,,," 	286,411 "," 	232,694 "," 	133,737 "," 	152,623 ", 	51 ," 	95,494 "," 	78,645 "," 	18,537 "," 	40,018 ", 	53 , 	35 , 	4 , 	2 , 	46 ," 	22,824 "," 	9,761 "," 	6,893 "," 	5,087 "," 	1,200 "," 	1,185 "," 	1,321 "," 	1,466 "," 	1,782 "," 	12,958 "," 	19,667 "," 	20,451 "," 	16,948 "," 	14,152 "," 	15,176 "," 	16,478 "," 	16,994 "," 	16,649 "," 	16,851 "," 	15,959 "," 	18,207 "," 	15,027 "," 	10,389 "," 	6,681 "," 	76,674 "," 	692,925 "," 	26,614 "," 	3,383 "," 	5,627 "
RDD,Basildon And Thurrock University Hospitals NHS Foundation Trust,,,,,," 	98,522 "," 	85,395 "," 	41,536 "," 	56,969 ", 	17 ," 	28,769 "," 	26,299 "," 	10,847 "," 	19,480 ", 	46 , 	29 , 	5 , 	2 , 	52 ," 	6,971 "," 	1,327 "," 	1,114 ", 	943 , 	178 , 	254 , 	367 , 	521 , 	621 ," 	4,587 "," 	6,224 "," 	6,366 "," 	4,705 "," 	3,836 "," 	4,038 "," 	5,102 "," 	5,228 "," 	5,973 "," 	8,381 "," 	7,594 "," 	8,302 "," 	7,377 "," 	5,093 "," 	3,217 "," 	31,188 "," 	253,214 "," 	3,771 ", 	916 ," 	10,386 "
RC1,Bedford Hospital NHS Trust,,,,,," 	70,397 "," 	55,808 "," 	31,615 "," 	38,780 ",*," 	21,837 "," 	24,666 "," 	2,087 "," 	7,218 ", 	44 , 	27 , 	4 , 	2 , 	54 ," 	4,854 "," 	1,330 ", 	848 , 	800 , 	224 , 	251 , 	292 , 	301 , 	376 ," 	2,314 "," 	3,180 "," 	3,303 "," 	2,978 "," 	2,515 "," 	3,055 "," 	3,598 "," 	4,029 "," 	4,499 "," 	5,407 "," 	5,807 "," 	6,191 "," 	5,991 "," 	4,974 "," 	3,082 "," 	23,261 "," 	140,196 "," 	4,737 ", 	682 ," 	1,664 "
NWF01,Benenden Hospital,,,,,," 	2,667 "," 	2,667 "," 	1,117 "," 	1,550 ", 	- 0, 	- 0," 	2,667 ", 	- 0, 	- 0, 	34 , 	29 , 	2 , 	2 , 	64 , 	- 0, 	15 , 	15 , 	11 ,*,*,*, 	8 , 	9 , 	33 , 	47 , 	56 , 	57 , 	89 , 	125 , 	169 , 	208 , 	237 , 	396 , 	427 , 	344 , 	248 , 	117 , 	42 ," 	2,000 "," 	1,580 ", 	- 0, 	23 , 	- 0
RWX,Berkshire Healthcare NHS Foundation Trust,,,,,," 	3,245 "," 	3,206 "," 	1,540 "," 	1,705 ", 	- 0," 	1,298 ", 	140 , 	952 , 	816 ,,, 	37 , 	24 , 	67 , 	- 0, 	10 , 	13 , 	27 ,*,*, 	7 , 	19 , 	24 , 	126 , 	101 , 	113 , 	99 , 	93 , 	125 , 	99 , 	87 , 	84 , 	130 , 	173 , 	308 , 	403 , 	489 , 	441 ,*," 	117,105 ", 	8 ,*,*
NWX11,Bics-Community,,,,,," 	1,639 "," 	1,639 ", 	705 , 	934 , 	- 0, 	- 0," 	1,639 ", 	- 0, 	- 0, 	48 , 	38 , 	3 , 	2 , 	57 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*,*, 	30 , 	53 , 	63 , 	112 , 	125 , 	151 , 	165 , 	166 , 	175 , 	204 , 	150 , 	120 , 	75 , 	29 , 	10 ," 	1,090 "," 	1,399 ", 	- 0, 	- 0, 	- 0
RXT,Birmingham And Solihull Mental Health NHS Foundation Trust,,,,,," 	3,915 "," 	2,532 "," 	2,334 "," 	1,581 ", 	- 0," 	2,124 ", 	166 , 	100 , 	142 ,,, 	103 , 	30 , 	41 , 	- 0, 	- 0,*,*,*,*, 	40 , 	55 , 	85 , 	468 , 	548 , 	506 , 	352 , 	372 , 	345 , 	300 , 	197 , 	130 , 	114 , 	129 , 	115 , 	54 , 	41 , 	11 , 	- 0," 	253,907 ", 	21 ,*, 	- 0
RQ3,Birmingham Children's Hospital NHS Foundation Trust,,,,,," 	44,270 "," 	41,250 "," 	24,966 "," 	19,302 ",*," 	14,381 "," 	21,596 "," 	3,797 "," 	1,476 ", 	414 , 	115 , 	5 , 	1 , 	6 ," 	7,200 "," 	15,289 "," 	9,750 "," 	8,578 "," 	2,055 ", 	919 , 	358 , 	87 , 	12 , 	10 , 	- 0,*,*, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0," 	19,470 "," 	100,121 "," 	5,357 "," 	1,292 ", 	370 
RYW,Birmingham Community Healthcare NHS Foundation Trust,,,,,," 	5,322 "," 	5,248 "," 	2,336 "," 	2,986 ", 	- 0," 	1,394 "," 	3,179 ", 	277 , 	398 , 	37 , 	34 , 	27 , 	21 , 	33 , 	- 0, 	395 , 	921 , 	312 , 	46 , 	24 , 	22 , 	18 , 	24 , 	178 , 	190 , 	166 , 	131 , 	109 , 	127 , 	102 , 	75 , 	74 , 	87 , 	77 , 	130 , 	169 , 	168 , 	166 ," 	2,779 "," 	67,844 ",*,*,*
RXKTC,Birmingham Treatment Centre,,,,,," 	14,227 "," 	14,212 "," 	4,436 "," 	9,791 ", 	- 0,*," 	13,567 ", 	636 ,*, 	61 , 	55 , 	1 , 	1 , 	51 , 	15 , 	232 , 	378 , 	189 , 	51 , 	78 , 	65 , 	84 , 	81 , 	439 , 	629 , 	664 , 	731 , 	912 ," 	1,262 "," 	1,511 "," 	1,343 "," 	1,447 "," 	1,251 "," 	1,253 ", 	881 , 	514 , 	96 , 	63 ," 	13,671 ", 	598 ,*, 	101 ,*
RLU,Birmingham Women's NHS Foundation Trust,,,,,," 	24,232 "," 	23,458 "," 	4,402 "," 	19,824 ", 	6 ," 	1,713 "," 	2,538 ", 	126 ," 	19,081 ", 	46 , 	36 , 	3 , 	2 , 	20 ," 	8,559 ", 	- 0,*,*, 	9 , 	36 , 	77 , 	146 , 	205 ," 	2,069 "," 	3,764 "," 	4,123 "," 	2,405 ", 	814 , 	346 , 	259 , 	146 , 	103 , 	109 , 	105 , 	50 , 	38 , 	19 , 	7 ," 	1,252 "," 	62,751 ", 	742 , 	263 ," 	2,183 "
TAJ,Black Country Partnership NHS Foundation Trust,,,,,," 	1,732 "," 	1,732 ", 	930 , 	800 ,*," 	1,330 ", 	- 0, 	261 , 	141 ,,, 	39 , 	14 , 	42 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	21 , 	26 , 	212 , 	253 , 	223 , 	173 , 	158 , 	159 , 	145 , 	66 , 	68 , 	51 , 	50 , 	52 , 	44 , 	23 ,*, 	- 0," 	68,031 ", 	29 ,*,*
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,,,,,," 	135,302 "," 	110,122 "," 	64,418 "," 	70,884 ", 	- 0," 	39,852 "," 	58,246 "," 	2,878 "," 	9,146 ", 	42 , 	28 , 	5 , 	2 , 	57 ," 	4,990 "," 	2,822 "," 	1,669 "," 	1,323 ", 	428 , 	440 , 	471 , 	647 , 	728 ," 	4,415 "," 	5,080 "," 	4,609 "," 	3,738 "," 	4,462 "," 	6,540 "," 	7,901 "," 	10,082 "," 	9,625 "," 	12,974 "," 	13,663 "," 	13,487 "," 	11,745 "," 	8,414 "," 	4,644 "," 	53,214 "," 	298,835 "," 	10,356 "," 	1,513 "," 	2,851 "
NVC31,Blakelands Hospital,,,,,," 	3,409 "," 	3,409 "," 	1,598 "," 	1,809 ",*, 	- 0," 	3,409 ", 	- 0, 	- 0, 	48 , 	30 , 	1 , 	1 , 	58 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	7 , 	14 , 	57 , 	88 , 	146 , 	207 , 	208 , 	296 , 	341 , 	349 , 	355 , 	425 , 	346 , 	299 , 	170 , 	85 , 	15 ,*,*, 	- 0, 	- 0, 	- 0
NT402,BMI - Bath Clinic,,,,,," 	2,761 "," 	2,761 "," 	1,114 "," 	1,647 ", 	- 0, 	- 0," 	2,761 ", 	- 0, 	- 0,,, 	2 , 	2 , 	58 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	7 , 	9 , 	78 , 	75 , 	120 , 	107 , 	235 , 	237 , 	230 , 	277 , 	256 , 	270 , 	287 , 	289 , 	189 , 	80 , 	14 ," 	2,218 "," 	1,276 ", 	- 0, 	42 , 	- 0
NT405,BMI - Bishops Wood,,,,,," 	2,319 "," 	2,319 "," 	1,010 "," 	1,309 ", 	- 0, 	- 0," 	2,319 ", 	- 0, 	- 0,,, 	2 , 	1 , 	61 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	7 , 	52 , 	72 , 	92 , 	116 , 	155 , 	185 , 	178 , 	181 , 	183 , 	244 , 	244 , 	261 , 	179 , 	114 , 	54 ," 	1,956 ", 	624 , 	- 0, 	44 , 	- 0
NT409,BMI - Chelsfield Park Hospital,,,,,, 	548 , 	548 , 	198 , 	350 , 	- 0, 	- 0, 	548 , 	- 0, 	- 0,,, 	1 , 	1 , 	55 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	26 , 	26 , 	31 , 	33 , 	51 , 	60 , 	40 , 	37 , 	42 , 	49 , 	50 , 	41 , 	30 , 	18 ,*, 	347 , 	285 , 	- 0, 	35 , 	- 0
NT414,BMI - Fawkham Manor Hospital,,,,,," 	1,858 "," 	1,858 ", 	873 , 	985 , 	- 0, 	- 0," 	1,858 ", 	- 0, 	- 0,,, 	2 , 	1 , 	59 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	8 , 	48 , 	63 , 	66 , 	86 , 	112 , 	135 , 	188 , 	147 , 	201 , 	221 , 	204 , 	175 , 	108 , 	76 , 	14 ," 	1,503 ", 	557 , 	- 0, 	39 , 	- 0
NT417,BMI - Goring Hall Hospital,,,,,," 	3,227 "," 	3,227 "," 	1,322 "," 	1,898 ", 	7 , 	- 0," 	3,227 ", 	- 0, 	- 0,,, 	2 , 	2 , 	60 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	6 , 	11 , 	69 , 	85 , 	107 , 	119 , 	195 , 	286 , 	296 , 	258 , 	262 , 	414 , 	376 , 	314 , 	255 , 	127 , 	42 ," 	2,192 "," 	2,160 ", 	- 0, 	69 , 	- 0
NT416,BMI - Hendon Hospital,,,,,, 	947 , 	947 , 	271 , 	669 , 	7 , 	- 0, 	947 , 	- 0, 	- 0,,, 	2 , 	1 , 	52 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	7 , 	25 , 	45 , 	77 , 	83 , 	96 , 	112 , 	98 , 	90 , 	77 , 	67 , 	48 , 	64 , 	39 , 	9 ,*, 	784 , 	291 , 	- 0, 	25 , 	- 0
NT433,BMI - Sarum Road Hospital,,,,,," 	1,111 "," 	1,111 ", 	445 , 	663 ,*, 	- 0," 	1,111 ", 	- 0, 	- 0,,, 	2 , 	3 , 	57 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,*,*, 	19 , 	38 , 	31 , 	57 , 	102 , 	130 , 	128 , 	111 , 	113 , 	120 , 	106 , 	78 , 	44 , 	26 ,*, 	877 , 	505 , 	- 0, 	13 , 	- 0
