RTQ,2Gether NHS Foundation Trust,,,,,," 	1,646 "," 	1,136 ", 	834 , 	812 ,-, 	974 , 	17 , 	104 , 	41 ,*,*,*,*, 	47 ,*,*,*,*,*,*, 	17 , 	28 , 	24 , 	145 , 	165 , 	142 , 	164 , 	122 , 	149 , 	125 , 	133 , 	79 , 	80 , 	77 , 	55 , 	73 , 	51 , 	9 , 	7 ," 	82,600 ", 	10 ,*,-
REM,Aintree University Hospital NHS Foundation Trust,,,,,," 	122,413 "," 	90,254 "," 	59,866 "," 	62,546 ", 	1 ," 	39,266 "," 	38,070 "," 	12,518 ", 	400 , 	39 , 	21 , 	5 , 	1 , 	61 ,*,*, 	32 , 	42 , 	12 , 	279 , 	404 , 	522 , 	602 ," 	3,368 "," 	4,432 "," 	4,550 "," 	4,536 "," 	5,336 "," 	7,358 "," 	8,744 "," 	11,829 "," 	10,737 "," 	12,329 "," 	11,986 "," 	11,669 "," 	11,761 "," 	7,792 "," 	3,900 "," 	43,043 "," 	247,473 "," 	12,425 ", 	803 , 	69 
RCF,Airedale NHS Foundation Trust,,,,,," 	76,249 "," 	63,993 "," 	31,026 "," 	45,221 ", 	2 ," 	21,736 "," 	30,172 "," 	2,005 "," 	10,080 ", 	36 , 	20 , 	3 , 	1 , 	54 ," 	3,644 "," 	1,630 ", 	986 , 	707 , 	180 , 	171 , 	278 , 	278 , 	376 ," 	2,907 "," 	4,458 "," 	4,644 "," 	3,269 "," 	2,728 "," 	3,074 "," 	3,816 "," 	5,582 "," 	4,675 "," 	6,609 "," 	6,413 "," 	6,584 "," 	5,865 "," 	4,162 "," 	2,971 "," 	29,131 "," 	125,943 "," 	6,448 ", 	236 ," 	5,363 "
NHM02,Aldeburgh Community Hospital,,,,,, 	216 , 	216 , 	89 , 	127 ,-,*, 	32 ,-,*,,, 	31 , 	24 , 	84 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,*,*,*, 	10 , 	28 , 	39 , 	73 , 	55 ,-," 	6,621 ",-, 	6 ,*
RBS,Alder Hey Children's NHS Foundation Trust,,,,,," 	45,766 "," 	40,748 "," 	25,017 "," 	20,749 ",-," 	15,626 "," 	14,103 "," 	10,735 ", 	284 , 	64 , 	36 , 	3 , 	-   , 	6 ," 	8,142 "," 	13,671 "," 	9,880 "," 	9,514 "," 	2,000 "," 	1,226 ", 	755 , 	314 ,*, 	144 ,*,*,*,*,-,-,-,-,-,-,-,-,-,-," 	14,412 "," 	68,657 "," 	7,180 "," 	6,162 ", 	16 
ARH01,Arthur Rank Hospice,,,,,, 	97 , 	97 , 	51 , 	46 ,-,-,-, 	97 ,-,,, 	8 , 	6 , 	75 ,-,-,-,-,-,-,-,-,-,-,-,*,*,*,-,*,*,*, 	14 ,*, 	12 , 	22 , 	14 ,*,-, 	817 ,-, 	17 ,-
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,,,,,," 	86,490 "," 	77,017 "," 	39,186 "," 	47,301 ", 	3 ," 	26,411 "," 	31,884 "," 	9,262 "," 	9,460 ", 	60 , 	43 , 	4 , 	2 , 	55 ," 	5,267 "," 	2,010 "," 	1,412 "," 	1,264 ", 	262 , 	316 , 	390 , 	303 , 	341 ," 	2,063 "," 	3,293 "," 	3,935 "," 	3,719 "," 	3,245 "," 	3,644 "," 	4,861 "," 	4,511 "," 	5,342 "," 	6,686 "," 	7,161 "," 	7,703 "," 	7,757 "," 	6,259 "," 	4,554 "," 	34,415 "," 	179,888 "," 	4,882 "," 	1,999 "," 	1,149 "
NVC01,Ashtead Hospital,,,,,," 	2,373 "," 	2,373 "," 	1,085 "," 	1,288 ",-,-," 	2,373 ",-,-, 	74 , 	21 , 	2 , 	3 , 	57 ,-,-,-,-,-,-,-,*,*, 	75 , 	100 , 	97 , 	122 , 	152 , 	197 , 	219 , 	229 , 	242 , 	285 , 	263 , 	200 , 	121 , 	49 , 	10 ," 	1,989 ", 	906 ,-,-,-
NYW04,Aspen - Claremont Hospital,,,,,," 	3,153 "," 	3,153 "," 	1,464 "," 	1,689 ",-,-," 	3,153 ",-,-, 	53 , 	28 , 	2 , 	1 , 	56 ,-,-,-,-,-,-,-,*,*, 	69 , 	101 , 	134 , 	161 , 	275 , 	343 , 	327 , 	340 , 	318 , 	363 , 	333 , 	204 , 	116 , 	37 , 	19 ," 	2,077 "," 	1,758 ",-,-,-
NYW03,Aspen - Highgate Hospital,,,,,, 	932 , 	563 , 	459 , 	473 ,-,-, 	563 ,-,-, 	32 , 	30 , 	2 , 	1 , 	51 ,-,-,-,-,-,-,-,*,*, 	38 , 	67 , 	75 , 	84 , 	73 , 	89 , 	109 , 	92 , 	66 , 	67 , 	61 , 	49 , 	28 , 	22 ,*, 	802 , 	221 ,-,-,-
NYW02,Aspen - Parkside Hospital,,,,,, 	524 , 	384 , 	202 , 	322 ,-,-, 	384 ,-,-, 	33 , 	26 , 	2 , 	1 , 	50 ,*,*,*,*,-,-,-,*,*, 	22 , 	45 , 	39 , 	53 , 	60 , 	38 , 	59 , 	39 , 	31 , 	41 , 	31 , 	31 , 	18 , 	6 ,*, 	327 , 	336 ,-,-,-
NYW20,Aspen - The Chelmsford,,,,,, 	63 , 	34 , 	25 , 	38 ,-,-, 	34 ,-,-, 	39 , 	38 , 	2 , 	2 , 	58 ,-,-,-,-,*,*,*,*,*,*,*,*, 	7 ,*,*,*, 	17 ,*,*, 	9 ,*,*,*,-, 	55 , 	17 ,-,-,-
NYW01,Aspen - The Holly,,,,,," 	3,882 "," 	2,218 "," 	1,584 "," 	2,298 ",-,-," 	2,218 ",-,-, 	67 , 	64 , 	2 , 	1 , 	53 ,-,-,-,-,-,-,*,*, 	18 , 	102 , 	148 , 	214 , 	299 , 	349 , 	473 , 	473 , 	412 , 	341 , 	364 , 	277 , 	203 , 	113 , 	45 , 	24 ," 	3,266 "," 	1,264 ",-,-,-
NYW17,Aspen Healthcare - Midland Eye,,,,,," 	1,514 ", 	916 , 	633 , 	881 ,-,-, 	916 ,-,-, 	12 , 	10 ,,, 	75 ,-,-,-,-,-,-,-,-,-,-,-,*,*,*, 	9 , 	27 , 	42 , 	101 , 	171 , 	263 , 	365 , 	305 , 	183 , 	42 ," 	1,514 ",-,-,-,-
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,,,,,," 	3,887 "," 	2,629 "," 	2,088 "," 	1,799 ",-," 	1,331 ", 	237 , 	700 , 	361 ,,, 	77 , 	32 , 	48 ,-,-,-, 	7 , 	8 , 	10 , 	23 , 	44 , 	29 , 	308 , 	328 , 	415 , 	327 , 	382 , 	349 , 	272 , 	225 , 	188 , 	227 , 	199 , 	220 , 	158 , 	116 , 	45 ,-," 	187,845 ",*,*,*
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",,,,,," 	154,213 "," 	134,471 "," 	67,337 "," 	86,854 ", 	22 ," 	57,091 "," 	50,752 "," 	8,382 "," 	18,246 ", 	57 , 	35 , 	4 , 	1 , 	53 ," 	10,411 "," 	2,906 "," 	2,240 "," 	1,659 ", 	392 , 	485 , 	618 , 	767 , 	834 ," 	5,156 "," 	8,148 "," 	8,810 "," 	7,680 "," 	6,460 "," 	7,712 "," 	8,857 "," 	9,278 "," 	8,836 "," 	10,656 "," 	11,145 "," 	11,479 "," 	12,316 "," 	9,894 "," 	6,700 "," 	50,802 "," 	361,682 "," 	18,052 "," 	1,168 "," 	2,342 "
NTP13,Barlborough NHS Treatment Centre,,,,,," 	3,232 "," 	3,013 "," 	1,547 "," 	1,680 ", 	5 ,-," 	3,013 ",-,-, 	42 , 	37 , 	2 , 	2 , 	63 ,-,-,-,-,-,-,-,*,*, 	31 , 	34 , 	62 , 	69 , 	128 , 	183 , 	259 , 	348 , 	404 , 	562 , 	561 , 	349 , 	178 , 	51 , 	6 ," 	1,290 "," 	3,800 ",-, 	116 ,-
RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust",,,,,," 	3,475 "," 	2,410 "," 	2,070 "," 	1,405 ",-, 	873 , 	409 , 	827 , 	301 , 	23 , 	1 , 	85 , 	28 , 	45 ,-,-,-, 	11 , 	13 , 	13 , 	24 , 	47 , 	67 , 	375 , 	385 , 	390 , 	342 , 	284 , 	296 , 	263 , 	174 , 	109 , 	121 , 	117 , 	108 , 	106 , 	105 , 	92 ,*," 	214,717 ",*,*,-
RFF,Barnsley Hospital NHS Foundation Trust,,,,,," 	80,038 "," 	66,404 "," 	35,538 "," 	44,500 ",-," 	29,561 "," 	20,897 "," 	8,183 "," 	7,763 ", 	48 , 	29 , 	3 , 	1 , 	55 ," 	4,166 "," 	1,214 "," 	1,067 ", 	685 , 	165 , 	213 , 	330 , 	440 , 	449 ," 	3,272 "," 	3,993 "," 	3,880 "," 	3,144 "," 	2,944 "," 	3,951 "," 	4,474 "," 	4,732 "," 	5,412 "," 	6,435 "," 	7,173 "," 	7,171 "," 	6,522 "," 	4,925 "," 	3,153 "," 	25,004 "," 	138,895 "," 	7,435 ", 	583 ," 	1,928 "
R1H,Barts Health NHS Trust,,,,,," 	301,730 "," 	233,537 "," 	142,460 "," 	159,255 ", 	15 ," 	95,372 "," 	77,748 "," 	20,439 "," 	39,978 ", 	53 , 	34 , 	4 , 	2 , 	46 ," 	23,063 "," 	9,831 "," 	6,922 "," 	5,449 "," 	1,225 "," 	1,210 "," 	1,291 "," 	1,566 "," 	1,800 "," 	13,176 "," 	20,423 "," 	21,422 "," 	17,729 "," 	15,033 "," 	15,880 "," 	17,651 "," 	18,560 "," 	17,943 "," 	17,852 "," 	17,152 "," 	19,073 "," 	16,201 "," 	11,253 "," 	7,313 "," 	78,397 "," 	703,671 "," 	25,739 "," 	2,899 "," 	5,538 "
RDD,Basildon And Thurrock University Hospitals NHS Foundation Trust,,,,,," 	103,439 "," 	86,074 "," 	44,930 "," 	58,494 ", 	15 ," 	29,489 "," 	26,625 "," 	10,168 "," 	19,792 ", 	52 , 	29 , 	5 , 	1 , 	52 ," 	7,373 "," 	1,298 "," 	1,071 ", 	845 , 	202 , 	239 , 	341 , 	458 , 	658 ," 	4,157 "," 	6,585 "," 	6,726 "," 	4,886 "," 	3,658 "," 	4,151 "," 	5,313 "," 	5,825 "," 	6,468 "," 	8,268 "," 	8,655 "," 	8,471 "," 	7,948 "," 	5,745 "," 	3,859 "," 	30,987 "," 	257,031 "," 	3,754 ", 	717 ," 	10,582 "
RC1,Bedford Hospital NHS Trust,,,,,," 	74,481 "," 	59,374 "," 	33,809 "," 	40,672 ",-," 	24,267 "," 	26,139 "," 	1,793 "," 	7,175 ", 	42 , 	23 , 	4 , 	1 , 	55 ," 	4,363 "," 	1,277 ", 	770 , 	803 , 	177 , 	256 , 	293 , 	336 , 	394 ," 	2,278 "," 	3,377 "," 	3,347 "," 	3,155 "," 	2,595 "," 	3,337 "," 	3,866 "," 	5,480 "," 	4,342 "," 	5,996 "," 	6,378 "," 	6,360 "," 	6,494 "," 	5,021 "," 	3,562 "," 	24,872 "," 	143,851 "," 	7,120 ", 	402 ," 	1,558 "
NWF01,Benenden Hospital,,,,,," 	2,763 "," 	2,763 "," 	1,150 "," 	1,613 ",-,-," 	2,763 ",-,-, 	37 , 	30 , 	2 , 	2 , 	63 ,-,-,-,-,-,-,-,*,*, 	53 , 	43 , 	48 , 	70 , 	120 , 	168 , 	199 , 	229 , 	277 , 	416 , 	469 , 	288 , 	246 , 	101 , 	19 ," 	1,957 "," 	1,817 ",-, 	24 ,-
RWX,Berkshire Healthcare NHS Foundation Trust,,,,,," 	3,189 "," 	3,189 "," 	1,480 "," 	1,709 ",-," 	1,199 ", 	548 , 	657 , 	785 ,,, 	38 , 	26 , 	68 ,-,-,-, 	14 , 	9 , 	8 , 	12 , 	19 , 	16 , 	124 , 	131 , 	147 , 	115 , 	82 , 	96 , 	112 , 	87 , 	101 , 	152 , 	155 , 	316 , 	476 , 	565 , 	442 ,*," 	122,066 ", 	16 , 	9 ,*
NWX11,Bics-Community,,,,,," 	2,092 "," 	2,092 ", 	877 ," 	1,215 ",-,-," 	2,092 ",-,-, 	42 , 	30 , 	3 , 	2 , 	57 ,-,-,-,-,-,*,-,*,*, 	42 , 	68 , 	79 , 	125 , 	141 , 	204 , 	227 , 	216 , 	199 , 	234 , 	242 , 	154 , 	93 , 	40 , 	7 ," 	1,431 "," 	1,704 ",-,-,-
RXT,Birmingham And Solihull Mental Health NHS Foundation Trust,,,,,," 	3,625 "," 	2,491 "," 	1,973 "," 	1,652 ",-," 	2,055 ", 	166 , 	90 , 	180 ,,, 	94 , 	31 , 	44 ,-,-,-,-,*,*, 	35 , 	20 , 	25 , 	158 , 	496 , 	497 , 	437 , 	370 , 	357 , 	345 , 	186 , 	161 , 	153 , 	125 , 	97 , 	62 , 	34 , 	12 ,-," 	261,299 ", 	23 ,-,-
RYW,Birmingham Community Healthcare NHS Foundation Trust,,,,,," 	2,287 "," 	2,115 "," 	1,025 "," 	1,262 ",-, 	443 , 	569 , 	105 , 	998 ,*,*,*,*, 	9 ,-,-, 	63 , 	28 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 	50,735 ",*,-, 	8 
RXKTC,Birmingham Treatment Centre,,,,,," 	14,642 "," 	14,621 "," 	4,400 "," 	10,242 ",-,*," 	13,792 ", 	823 ,*, 	58 , 	48 , 	1 , 	1 , 	52 , 	16 , 	206 , 	334 , 	204 , 	41 , 	76 , 	43 , 	52 , 	63 , 	402 , 	549 , 	737 , 	811 , 	887 ," 	1,419 "," 	1,679 "," 	1,532 "," 	1,490 "," 	1,332 "," 	1,215 ", 	847 , 	496 , 	115 , 	44 ," 	14,172 ", 	490 ,*, 	100 ,*
RQ3,Birmingham Women's And Children's NHS Foundation Trust,,,,,," 	68,033 "," 	63,925 "," 	29,580 "," 	38,448 ", 	5 ," 	16,088 "," 	19,523 "," 	8,650 "," 	19,664 ", 	68 , 	42 , 	4 , 	1 , 	11 ," 	15,775 "," 	14,847 "," 	10,110 "," 	8,655 "," 	1,869 ", 	936 , 	495 , 	224 , 	211 ," 	1,908 "," 	3,787 "," 	4,100 "," 	2,368 ", 	815 , 	362 , 	266 , 	138 , 	104 , 	89 , 	89 , 	61 ,*,*,*," 	20,213 "," 	158,125 "," 	6,367 "," 	2,249 "," 	2,310 "
TAJ,Black Country Partnership NHS Foundation Trust,,,,,, 	119 , 	119 , 	65 , 	54 ,-, 	108 ,-,*,*,,, 	65 , 	22 , 	44 ,-,-,-,-,-,-,-,-, 	6 , 	14 , 	11 , 	13 , 	14 , 	10 , 	12 , 	6 , 	7 , 	8 ,*,*,*,*,*,*,-," 	7,731 ",*,-,-
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,,,,,," 	136,314 "," 	109,933 "," 	65,166 "," 	71,142 ", 	6 ," 	40,805 "," 	57,294 "," 	2,909 "," 	8,925 ", 	44 , 	29 , 	5 , 	1 , 	58 ," 	4,807 "," 	2,751 "," 	1,835 "," 	1,334 ", 	343 , 	402 , 	502 , 	577 , 	662 ," 	4,124 "," 	5,019 "," 	4,829 "," 	3,909 "," 	4,021 "," 	6,021 "," 	7,702 "," 	10,427 "," 	9,794 "," 	12,887 "," 	14,319 "," 	14,116 "," 	11,910 "," 	8,852 "," 	4,815 "," 	52,846 "," 	290,027 "," 	10,954 "," 	1,420 "," 	2,537 "
NVC31,Blakelands Hospital,,,,,," 	3,631 "," 	3,631 "," 	1,665 "," 	1,965 ", 	1 ,-," 	3,631 ",-,-, 	39 , 	19 , 	2 , 	2 , 	56 ,-,-,-,-,-,-,-, 	11 , 	6 , 	87 , 	157 , 	177 , 	263 , 	241 , 	355 , 	363 , 	378 , 	352 , 	403 , 	369 , 	210 , 	147 , 	84 , 	22 ," 	3,623 ", 	17 ,-,-,-
NHM03,Bluebird Lodge Community Hospital,,,,,, 	349 , 	349 , 	131 , 	218 ,-, 	43 , 	65 ,-, 	241 ,,, 	29 , 	21 , 	83 ,-,-,-,-,*,*,*,*,*,*,*,-,-,-,*,*,*, 	8 , 	12 , 	26 , 	53 , 	68 , 	89 , 	83 ,-," 	9,999 ",-,-,-
NT402,BMI - Bath Clinic,,,,,," 	2,614 "," 	2,614 "," 	1,042 "," 	1,572 ",-,-," 	2,614 ",-,-, 	44 , 	26 , 	2 , 	2 , 	58 ,-,-,-,-,-,-,-,*,*, 	83 , 	85 , 	107 , 	124 , 	216 , 	242 , 	228 , 	215 , 	245 , 	282 , 	309 , 	217 , 	160 , 	68 , 	18 ," 	2,084 "," 	1,255 ",-, 	47 ,-
NT405,BMI - Bishops Wood,,,,,," 	2,304 "," 	2,304 ", 	981 ," 	1,323 ",-,-," 	2,304 ",-,-, 	56 , 	36 , 	2 , 	1 , 	61 ,-,-,-,-,-,-,*,*,*, 	52 , 	79 , 	101 , 	120 , 	138 , 	161 , 	187 , 	163 , 	187 , 	208 , 	267 , 	267 , 	201 , 	120 , 	41 ," 	1,959 ", 	619 ,-, 	41 ,-
NT409,BMI - Chelsfield Park Hospital,,,,,, 	834 , 	834 , 	285 , 	549 ,-,-, 	834 ,-,-, 	42 , 	36 , 	2 , 	2 , 	55 ,-,-,-,-,-,-,-,*,*, 	34 , 	41 , 	38 , 	54 , 	82 , 	76 , 	72 , 	70 , 	54 , 	76 , 	85 , 	57 , 	42 , 	38 ,*, 	601 , 	431 ,-, 	13 ,-
NT414,BMI - Fawkham Manor Hospital,,,,,," 	1,774 "," 	1,774 ", 	740 ," 	1,034 ",-,-," 	1,774 ",-,-, 	53 , 	49 , 	2 , 	1 , 	58 ,-,-,-,-,-,-,-,*,*, 	45 , 	65 , 	68 , 	88 , 	139 , 	135 , 	172 , 	148 , 	142 , 	201 , 	202 , 	146 , 	152 , 	50 , 	8 ," 	1,488 ", 	466 ,-, 	25 ,-
NT417,BMI - Goring Hall Hospital,,,,,," 	4,341 "," 	4,341 "," 	1,781 "," 	2,549 ", 	11 ,-," 	4,341 ",-,-,,, 	2 , 	2 , 	62 ,-,-,-,-,-,-,-, 	7 , 	13 , 	80 , 	104 , 	144 , 	176 , 	229 , 	297 , 	301 , 	329 , 	347 , 	488 , 	561 , 	570 , 	420 , 	203 , 	64 ," 	2,982 "," 	2,722 ",-, 	107 ,-
NT416,BMI - Hendon Hospital,,,,,," 	1,064 "," 	1,064 ", 	383 , 	674 , 	7 ,-," 	1,064 ",-,-,,, 	1 , 	1 , 	52 ,-,-,-,-,-,-,-,*,*, 	29 , 	56 , 	76 , 	97 , 	98 , 	145 , 	104 , 	86 , 	94 , 	90 , 	74 , 	52 , 	32 , 	17 , 	6 , 	868 , 	287 ,-, 	30 ,-
NT433,BMI - Sarum Road Hospital,,,,,," 	1,088 "," 	1,088 ", 	478 , 	609 , 	1 ,-," 	1,088 ",-,-, 	52 , 	25 , 	2 , 	3 , 	57 ,-,-,-,-,-,-,-,*,*, 	23 , 	22 , 	56 , 	60 , 	91 , 	106 , 	109 , 	115 , 	99 , 	111 , 	120 , 	84 , 	53 , 	23 ,*, 	849 , 	513 ,-, 	17 ,-
NT436,BMI - Shirley Oaks Hospital,,,,,," 	3,466 "," 	3,466 "," 	1,331 "," 	2,133 ", 	2 ,-," 	3,466 ",-,-, 	44 , 	26 , 	2 , 	1 , 	56 ,-,-,-,-,-,-,-, 	12 , 	15 , 	111 , 	166 , 	217 , 	224 , 	265 , 	341 , 	306 , 	254 , 	254 , 	309 , 	313 , 	261 , 	238 , 	137 , 	37 ," 	2,947 ", 	839 ,-, 	44 ,-
NT401,BMI - The Alexandra Hospital,,,,,," 	4,394 "," 	4,394 "," 	2,063 "," 	2,331 ",-,-," 	4,394 ",-,-, 	72 , 	51 , 	2 , 	1 , 	57 ,-,-,-,-,-,-,*,*, 	10 , 	104 , 	155 , 	171 , 	256 , 	296 , 	425 , 	486 , 	461 , 	455 , 	488 , 	398 , 	265 , 	239 , 	126 , 	47 ," 	3,169 "," 	2,637 ",-, 	107 ,-
NT403,BMI - The Beardwood Hospital,,,,,," 	7,164 "," 	7,164 "," 	2,704 "," 	4,458 ", 	2 ,-," 	7,164 ",-,-, 	111 , 	64 , 	2 , 	1 , 	56 ,-,-,-,-,-,-,-, 	10 , 	12 , 	141 , 	196 , 	312 , 	366 , 	557 , 	873 , 	843 , 	757 , 	778 , 	780 , 	636 , 	435 , 	299 , 	133 , 	30 ," 	6,519 "," 	1,233 ",-, 	64 ,-
NT404,BMI - The Beaumont Hospital,,,,,," 	5,153 "," 	5,153 "," 	2,345 "," 	2,806 ", 	2 ,-," 	5,153 ",-,-, 	78 , 	52 , 	2 , 	2 , 	52 ,-,-,-,-,-,-,-, 	12 , 	23 , 	161 , 	221 , 	315 , 	419 , 	492 , 	642 , 	601 , 	550 , 	490 , 	443 , 	363 , 	246 , 	115 , 	43 , 	13 ," 	4,456 "," 	1,287 ",-, 	63 ,-
NT406,BMI - The Blackheath Hospital,,,,,," 	1,942 "," 	1,942 ", 	944 , 	996 , 	2 ,-," 	1,942 ",-,-, 	36 , 	23 , 	2 , 	1 , 	48 ,-,-,-,-,-,-,-,*,*, 	85 , 	162 , 	191 , 	216 , 	215 , 	208 , 	192 , 	149 , 	133 , 	119 , 	97 , 	74 , 	48 , 	26 , 	8 ," 	1,575 ", 	660 ,-, 	24 ,-
NT408,BMI - The Chaucer Hospital,,,,,," 	2,723 "," 	2,723 "," 	1,176 "," 	1,547 ",-,-," 	2,723 ",-,-, 	69 , 	49 , 	2 , 	1 , 	59 ,-,-,-,-,-,-,-, 	14 , 	8 , 	110 , 	73 , 	111 , 	113 , 	154 , 	226 , 	223 , 	210 , 	207 , 	325 , 	275 , 	293 , 	238 , 	106 , 	30 ," 	2,441 ", 	425 ,-, 	28 ,-
NT410,BMI - The Chiltern Hospital,,,,,, 	880 , 	880 , 	453 , 	426 , 	1 ,-, 	880 ,-,-,,, 	2 , 	3 , 	55 ,-,-,-,-,-,-,-,*,*, 	29 , 	35 , 	43 , 	71 , 	69 , 	76 , 	88 , 	66 , 	98 , 	115 , 	86 , 	56 , 	31 , 	10 ,*, 	559 , 	789 ,-, 	19 ,-
