RTQ,2Gether NHS Foundation Trust,,,,,,"1,865","1,365",960,905,0,"1,215",20,100,30,*,*,*,*,47,0,0,0,0,*,*,10,40,20,160,175,180,160,145,175,155,140,130,85,75,65,65,45,15,20,"81,545",15,0,0
REM,Aintree University Hospital NHS Foundation Trust,,,,,,"128,565","94,720","63,340","65,220",*,"46,475","36,825","11,010",405,44,21, 	5 ,1,61,0,*,20,40,15,285,420,565,695,"3,905","4,765","4,935","5,060","5,270","7,130","8,570","12,150","11,330","11,920","12,880","12,250","11,575","8,340","4,480","41,510","260,820","16,980",750,70
RCF,Airedale NHS Foundation Trust,,,,,,"70,855","61,775","29,945","40,905",*,"22,835","30,190","2,045","6,710",31,19, 	4 ,1,54,"3,420","1,745",940,740,200,205,240,255,290,"2,235","3,580","3,505","2,760","2,575","2,965","3,700","5,550","4,880","5,920","6,665","5,880","5,520","4,020","2,460","29,320","124,555","7,670",235,"2,055"
NHM02,Aldeburgh Community Hospital,,,,,,120,120,40,80,0,0,15,0,105,,, 	29 ,22,81,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,*,*,15,15,25,25,20,0,"3,465",0,0,0
RBS,Alder Hey Children's NHS Foundation Trust,,,,,,"46,720","41,730","25,935","20,785",0,"15,090","15,680","10,730",230,88,40, 	3 ,1,7,"7,800","13,395","10,055","10,145","2,415","1,250",860,400,75,85,*,*,*,*,0,0,0,0,0,0,0,0,0,0,"19,645","67,625","6,535","2,710",10
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,,,,,,"87,625","76,330","40,200","47,420",0,"27,000","30,355","9,900","9,075",62,43, 	4 ,2,56,"4,940","1,735","1,385","1,280",275,285,315,290,365,"2,220","3,220","4,025","3,695","3,010","3,570","4,905","4,895","5,100","6,465","7,675","7,595","8,085","6,615","5,065","34,290","176,125","5,570","1,685","1,085"
NVC01,Ashtead Hospital,,,,,,"1,865","1,865",865,"1,000",0,0,"1,865",0,0,107,43, 	2 ,1,58,0,0,0,0,0,0,0,*,*,55,65,80,120,135,155,160,160,155,195,205,175,115,60,20,"1,640",465,0,0,0
NYW04,Aspen - Claremont Hospital,,,,,,"3,010","3,010","1,455","1,555",0,0,"3,010",0,0,47,32, 	1 ,1,56,0,0,0,0,0,0,0,*,10,70,90,130,175,195,330,350,340,340,320,305,195,110,40,*,"1,930","1,605",0,0,0
NYW03,Aspen - Highgate Hospital,,,,,,"1,375",870,590,785,0,0,870,0,0,31,24, 	2 ,1,51,0,0,0,0,0,0,0,*,*,30,75,95,140,125,165,165,140,115,85,90,70,30,20,*,"1,210",310,0,0,0
NYW02,Aspen - Parkside Hospital,,,,,,545,385,215,325,0,0,385,0,0,29,24, 	2 ,1,51,0,0,0,0,0,0,0,*,*,25,50,50,35,35,45,50,60,45,55,40,35,10,*,*,325,385,0,0,0
NYW01,Aspen - The Holly,,,,,,"4,430","2,435","1,750","2,680",0,0,"2,435",0,0,59,56, 	2 ,2,53,0,0,0,0,0,0,0,15,20,130,220,210,330,385,545,530,495,385,395,360,175,125,70,10,"3,860","1,180",0,0,0
NXP37,Aspen Centre,,,,,,25,25,15,10,0,0,25,0,0,,, 	0 ,0,60,0,0,0,0,0,0,0,0,0,0,*,0,*,*,*,0,*,0,*,*,*,*,*,*,0,*,0,25,0
NYW17,Aspen Healthcare - Midland Eye,,,,,,"1,350",905,565,785,0,0,905,0,0,15,13,,,75,0,0,0,0,0,0,0,0,0,0,*,0,*,*,15,25,45,85,170,220,290,280,170,35,"1,350",0,0,0,0
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,,,,,,"4,025","2,735","2,215","1,810",0,"1,340",265,750,380,,, 	75 ,32,47,0,0,0,*,10,15,10,50,45,295,350,455,395,370,355,310,230,205,180,210,150,150,95,35,*,"188,785",*,*,*
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",,,,,,"163,870","137,485","70,750","93,100",20,"59,745","49,190","9,480","19,075",46,29, 	4 ,1,53,"10,630","2,775","2,185","1,675",360,440,570,800,895,"5,555","8,450","9,210","7,920","6,925","7,960","9,125","10,185","9,710","10,810","12,665","12,300","13,005","10,930","7,970","50,590","356,090","20,185","1,300","2,690"
NTP13,Barlborough NHS Treatment Centre,,,,,,"3,160","2,925","1,530","1,625",0,0,"2,925",0,0,50,44, 	2 ,2,63,0,0,0,0,0,0,0,*,*,20,40,65,85,100,195,250,330,435,525,535,375,150,40,*,"1,385","3,280",0,100,0
RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust",,,,,,"3,520","2,570","2,105","1,415",0,"1,040",385,815,330,15,12, 	92 ,27,44,0,0,0,20,15,20,45,70,60,365,380,380,370,255,290,225,180,135,95,120,100,115,130,75,*,"184,825",*,*,*
RFF,Barnsley Hospital NHS Foundation Trust,,,,,,"84,040","70,845","38,000","46,040",0,"31,080","22,455","8,885","8,430",57,29, 	3 ,1,55,"4,150","1,320",975,665,160,225,350,420,520,"3,335","4,200","4,065","3,290","2,905","3,990","4,815","5,510","5,640","6,445","7,830","7,410","6,935","4,985","3,090","27,640","146,080","8,500",635,"2,425"
R1H,Barts Health NHS Trust,,,,,,"312,065","238,060","149,555","162,500",10,"102,360","77,375","21,090","37,230",53,31, 	4 ,1,47,"22,105","9,745","6,895","5,635","1,270","1,330","1,415","1,640","1,815","13,035","19,665","20,900","18,020","15,260","15,805","18,025","18,970","19,150","18,220","18,480","19,330","16,665","12,410","7,785","76,775","715,865","32,120","3,780","4,900"
RDD,Basildon And Thurrock University Hospitals NHS Foundation Trust,,,,,,"121,085","104,110","52,275","68,795",15,"42,195","32,290","8,655","20,970",49,23, 	4 ,1,52,"7,525","1,185",955,885,190,360,530,605,865,"5,575","8,175","7,790","5,860","4,635","5,560","6,400","8,105","7,185","8,920","10,590","9,095","8,900","6,565","4,365","35,085","260,370","14,480",710,"11,895"
RC1,Bedford Hospital NHS Trust,,,,,,"78,605","62,700","36,375","42,230",0,"26,565","26,865","2,185","7,085",40,22, 	4 ,1,56,"4,390","1,405",790,825,190,255,345,375,405,"2,360","3,270","3,705","3,335","2,720","3,325","3,945","5,890","4,650","5,980","6,910","6,700","7,040","5,495","3,725","26,150","144,485","8,945",415,"1,425"
NWF01,Benenden Hospital,,,,,,"2,505","2,505","1,010","1,495",0,0,"2,505",0,0,43,37, 	2 ,2,65,0,0,0,0,0,0,0,*,*,35,45,40,55,75,145,160,200,275,335,435,315,255,105,20,"1,695","1,805",0,30,0
RWX,Berkshire Healthcare NHS Foundation Trust,,,,,,"3,065","3,065","1,450","1,615",0,"1,110",445,695,815,,, 	36 ,25,69,0,*,*,*,*,10,15,20,25,90,115,130,85,85,110,95,80,95,135,210,305,455,505,470,*,"110,690",10,10,10
NWX11,Bics-Community,,,,,,"2,900","2,900","1,085","1,815",0,0,"2,900",0,0,37,25, 	2 ,2,57,0,0,0,0,0,0,0,*,*,50,85,130,165,210,260,310,305,305,345,295,220,135,55,10,"2,210","1,680",0,0,0
RXT,Birmingham And Solihull Mental Health NHS Foundation Trust,,,,,,"3,075","2,205","1,755","1,320",*,"1,845",130,85,150,,, 	103 ,31,43,0,0,0,0,*,10,*,15,15,130,510,440,450,300,280,255,150,115,115,90,80,60,30,*,0,"218,055",20,*,0
RYW,Birmingham Community Healthcare NHS Foundation Trust,,,,,,"1,590","1,215",670,920,0,205,355,150,505,,, 	23 ,15,68,0,0,55,130,60,25,30,0,0,0,0,0,*,*,*,15,20,30,60,95,140,235,290,275,*,"29,005",10,0,10
RXKTC,Birmingham Treatment Centre,,,,,,"14,915","14,890","4,505","10,410",0,10,"14,015",865,0,55,34, 	1 ,1,52,10,205,365,255,55,55,55,65,40,315,500,630,775,950,"1,300","1,710","1,670","1,765","1,430","1,175",800,405,145,30,"14,410",485,*,140,0
RQ3,Birmingham Women's And Children's NHS Foundation Trust,,,,,,"67,530","63,805","28,765","38,755",15,"15,700","18,175","10,360","19,570",79,50, 	4 ,1,11,"15,240","14,650","9,965","8,895","2,010",910,440,230,210,"1,895","3,550","4,005","2,385",745,325,180,150,110,90,85,70,35,15,*,"20,155","159,490","6,335","2,490","2,390"
TAJ,Black Country Partnership NHS Foundation Trust,,,,,,"1,395","1,395",775,615,*,"1,300",0,85,15,,, 	54 ,18,43,0,*,0,0,0,0,0,20,15,165,185,140,145,120,135,120,95,40,45,35,35,35,20,*,0,"75,710",35,0,0
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,,,,,,"136,820","107,875","65,680","71,130",*,"40,705","55,345","3,290","8,535",53,31, 	5 ,2,58,"4,755","2,725","1,680","1,350",365,380,430,470,580,"3,625","4,925","4,730","3,750","3,850","5,555","7,730","10,635","9,795","12,700","15,380","13,980","13,110","8,915","4,895","51,850","299,065","10,605","1,140","2,180"
NVC31,Blakelands Hospital,,,,,,"4,785","4,785","2,215","2,570",0,0,"4,785",0,0,47,21, 	2 ,1,55,0,0,0,0,0,0,0,15,15,145,220,270,325,365,475,475,455,440,485,495,330,165,90,20,"4,760",35,0,0,0
NHM03,Bluebird Lodge Community Hospital,,,,,,190,190,55,140,0,55,30,0,110,,, 	25 ,20,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,15,30,55,40,40,0,"4,820",*,0,*
NT402,BMI - Bath Clinic,,,,,,"2,035","2,035",865,"1,170",0,0,"2,035",0,0,49,30, 	3 ,3,60,0,0,0,0,0,0,0,*,*,45,55,70,80,120,175,205,155,180,210,255,220,160,65,25,"1,555","1,215",0,25,0
NT405,BMI - Bishops Wood,,,,,,"1,775","1,775",755,"1,020",0,0,"1,775",0,0,68,43, 	2 ,2,58,0,*,*,0,0,0,0,*,10,55,60,85,125,110,120,155,160,135,160,220,170,110,70,25,"1,540",460,0,20,0
NT409,BMI - Chelsfield Park Hospital,,,,,,"1,270","1,270",400,870,0,0,"1,270",0,0,56,53, 	2 ,2,55,0,0,0,0,0,0,0,*,10,55,60,85,75,105,115,125,80,95,125,120,90,60,40,10,"1,005",500,0,15,0
NT414,BMI - Fawkham Manor Hospital,,,,,,"1,375","1,375",635,740,0,0,"1,375",0,0,64,43, 	1 ,1,55,0,0,0,0,0,0,0,*,10,35,50,65,70,130,140,145,140,130,135,150,75,65,25,*,"1,140",350,0,40,0
NT417,BMI - Goring Hall Hospital,,,,,,"4,385","4,385","1,765","2,615",*,0,"4,385",0,0,81,68, 	2 ,2,63,0,0,0,0,0,0,0,10,*,80,110,155,195,205,280,305,320,345,495,625,535,395,240,75,"3,285","2,145",0,65,0
NT416,BMI - Hendon Hospital,,,,,,865,865,295,570,0,0,865,0,0,32,15, 	2 ,1,52,0,0,0,0,0,0,0,*,*,25,55,65,70,85,95,85,75,80,80,50,40,35,10,*,725,215,0,20,0
NT433,BMI - Sarum Road Hospital,,,,,,"1,130","1,130",460,670,0,0,"1,130",0,0,93,42, 	2 ,3,59,0,0,0,0,0,0,0,0,*,15,30,40,75,85,95,95,115,120,105,125,115,60,50,*,925,505,0,10,0
NT436,BMI - Shirley Oaks Hospital,,,,,,"3,975","3,975","1,585","2,390",0,0,"3,975",0,0,39,21, 	2 ,1,56,0,0,0,0,0,0,0,10,15,95,225,230,310,340,335,340,310,295,355,395,305,250,110,30,"3,530",795,0,25,0
NT401,BMI - The Alexandra Hospital,,,,,,"6,050","6,050","2,620","3,435",0,0,"6,050",0,0,,, 	2 ,2,64,0,0,0,0,0,0,*,*,*,95,165,200,235,285,445,520,450,505,530,600,500,645,585,270,"4,895","2,705",0,90,0
NT403,BMI - The Beardwood Hospital,,,,,,"6,890","6,890","2,640","4,245",*,0,"6,890",0,0,136,60, 	2 ,2,57,0,0,0,0,0,0,0,*,15,115,205,295,345,475,790,825,800,755,730,670,425,260,135,25,"6,270","1,290",0,40,0
NT404,BMI - The Beaumont Hospital,,,,,,"5,920","5,920","2,675","3,240",*,0,"5,920",0,0,88,47, 	2 ,2,52,0,0,0,0,0,0,0,15,30,175,270,395,455,520,695,680,625,555,500,505,290,150,40,15,"5,180","1,340",0,55,0
NT406,BMI - The Blackheath Hospital,,,,,,"1,880","1,880",920,960,*,0,"1,880",0,0,46,35, 	2 ,1,48,0,0,0,0,0,0,0,*,10,85,185,190,215,175,205,170,160,110,105,115,60,50,20,*,"1,505",665,0,30,0
NT408,BMI - The Chaucer Hospital,,,,,,"2,995","2,995","1,315","1,680",*,0,"2,995",0,0,78,51, 	1 ,1,59,0,0,0,0,0,0,0,15,15,95,120,85,140,175,230,255,255,215,310,395,315,230,105,25,"2,615",530,0,60,0
NT410,BMI - The Chiltern Hospital,,,,,,805,805,380,425,0,0,805,0,0,35,21, 	3 ,3,56,0,0,0,0,0,0,0,*,0,25,35,20,45,65,95,90,65,85,85,105,45,25,*,*,475,850,0,15,0
NT411,BMI - The Clementine Churchill Hospital,,,,,,"3,755","3,755","1,650","2,105",0,0,"3,755",0,0,52,28, 	2 ,1,53,0,0,0,0,0,0,0,*,10,135,220,235,275,275,335,420,410,375,290,315,215,150,60,15,"3,035","1,505",0,100,0
NT412,BMI - The Droitwich Spa Hospital,,,,,,"3,085","3,085","1,310","1,775",*,0,"3,085",0,0,64,49, 	2 ,2,57,0,0,0,0,0,0,0,*,20,85,100,135,160,195,320,305,295,265,340,330,260,150,95,15,"2,610","1,000",0,35,0
NT413,BMI - The Esperance Hospital,,,,,,"1,880","1,880",770,"1,110",0,0,"1,880",0,0,44,24, 	2 ,2,58,0,0,0,0,0,0,0,10,*,40,60,80,105,115,160,155,165,180,190,260,165,110,50,10,"1,515",755,0,25,0
NT418,BMI - The Hampshire Clinic,,,,,,"3,220","3,220","1,290","1,930",0,0,"3,220",0,0,46,24, 	2 ,1,56,0,0,0,0,0,0,0,*,*,95,145,185,205,255,300,350,305,230,310,325,245,165,65,20,"2,740",770,0,60,0
NT419,BMI - The Harbour Hospital,,,,,,855,855,380,475,0,0,855,0,0,78,64, 	3 ,3,67,0,0,0,0,0,0,0,*,*,*,10,20,25,35,45,50,45,55,75,125,145,130,65,20,805,130,0,*,0
NT420,BMI - The Highfield Hospital,,,,,,"4,490","4,490","2,075","2,410",*,0,"4,490",0,0,47,14, 	2 ,3,54,0,0,0,0,0,0,0,15,20,150,235,255,340,365,445,440,470,410,395,415,300,155,55,10,"3,505","2,280",0,85,0
NT421,BMI - The Kings Oak Hospital,,,,,,"1,670","1,670",635,"1,035",0,0,"1,670",0,0,52,41, 	2 ,2,56,0,0,0,0,0,0,0,*,*,40,60,65,110,130,200,180,170,135,135,170,115,95,35,*,"1,355",620,0,25,0
NT422,BMI - The London Independent Hospital,,,,,,"6,045","6,045","2,870","3,170",*,0,"6,045",0,0,45,32, 	2 ,1,48,0,0,0,0,0,0,0,20,20,245,490,645,620,620,625,685,525,465,375,315,215,115,30,*,"5,490",895,0,80,0
NT423,BMI - The Manor Hospital,,,,,,"1,170","1,170",500,670,0,0,"1,170",0,0,44,29, 	2 ,2,54,0,0,0,0,0,0,0,*,*,35,60,85,85,85,120,125,120,100,115,105,75,50,10,*,860,530,0,30,0
NT424,BMI - The Meriden Hospital,,,,,,"2,405","2,405","1,090","1,315",0,0,"2,405",0,0,32,21, 	2 ,2,53,0,0,0,0,0,0,0,*,10,70,110,120,170,210,260,290,280,235,195,215,145,65,15,0,"1,520","1,650",0,70,0
NT427,BMI - The Park Hospital,,,,,,"2,385","2,385",865,"1,520",0,0,"2,385",0,0,44,19, 	2 ,2,55,0,0,0,0,0,0,0,*,*,70,100,145,150,160,265,265,225,220,235,255,150,85,20,*,"1,645","1,515",0,70,0
NT428,BMI - The Princess Margaret Hospital,,,,,,970,970,410,560,0,0,970,0,0,41,21, 	2 ,2,51,0,0,0,0,0,0,0,*,*,35,55,55,90,80,130,120,80,90,85,70,40,25,*,0,790,360,0,10,0
NT429,BMI - The Priory Hospital,,,,,,"1,475","1,475",605,865,0,0,"1,475",0,0,44,31, 	2 ,1,50,0,0,0,0,0,0,0,10,*,65,95,125,140,140,145,145,125,140,120,95,70,30,10,*,945,975,0,70,0
NT430,BMI - The Ridgeway Hospital,,,,,,"3,245","3,245","1,600","1,645",0,0,"3,245",0,0,61,44, 	2 ,1,60,0,0,0,0,0,0,0,*,*,90,90,145,150,190,205,255,295,260,360,390,345,280,150,25,"2,710","1,055",0,40,0
NT431,BMI - The Runnymede Hospital,,,,,,500,500,230,270,0,0,500,0,0,62,27, 	2 ,3,57,0,0,0,0,0,0,0,*,*,10,25,25,25,35,50,35,40,45,60,45,45,25,15,*,380,280,0,10,0
NT432,BMI - The Sandringham Hospital,,,,,,"1,855","1,855","1,005",845,0,0,"1,855",0,0,53,34, 	2 ,2,61,0,0,0,0,0,0,0,10,*,60,50,65,75,80,110,135,145,145,225,295,225,145,60,20,"1,445",760,0,30,0
NT434,BMI - The Saxon Clinic,,,,,,"1,360","1,360",560,800,*,0,"1,360",0,0,63,42, 	2 ,2,54,0,0,0,0,0,0,0,0,*,40,50,65,105,135,155,150,155,115,120,125,80,40,20,0,"1,115",415,0,30,0
NT435,BMI - The Shelburne Hospital,,,,,,290,290,175,110,0,0,290,0,0,43,32, 	2 ,3,55,0,0,0,0,0,0,0,*,0,10,10,15,15,25,35,30,30,25,30,30,25,10,*,0,250,85,0,*,0
NT437,BMI - The Sloane Hospital,,,,,,870,870,265,605,0,0,870,0,0,49,38, 	2 ,2,56,0,0,0,0,0,0,0,*,*,25,45,45,55,80,75,65,50,65,80,70,85,60,35,10,745,270,0,*,0
NT438,BMI - The Somerfield Hospital,,,,,,"1,645","1,645",635,"1,010",0,0,"1,645",0,0,55,44, 	2 ,2,58,0,0,0,0,0,0,0,*,*,45,65,75,100,115,145,120,135,155,150,185,150,125,50,10,"1,320",515,0,35,0
NT439,BMI - The South Cheshire Private Hospital,,,,,,"2,625","2,625","1,185","1,440",*,0,"2,625",0,0,55,37, 	2 ,1,51,0,0,0,0,0,0,0,*,20,95,145,210,170,235,280,340,275,220,250,195,90,55,15,*,"2,250",635,0,60,0
NT443,BMI - The Winterbourne Hospital,,,,,,"1,690","1,690",855,835,*,0,"1,690",0,0,60,46, 	2 ,3,63,0,0,0,0,0,0,0,*,*,20,25,25,50,65,130,140,160,165,255,285,195,100,65,15,"1,285",960,0,10,0
NT440,BMI - Thornbury Hospital,,,,,,"1,405","1,405",445,965,0,0,"1,405",0,0,44,28, 	2 ,1,52,0,0,0,0,0,0,0,*,15,55,60,80,105,145,205,160,145,120,95,120,65,30,10,*,830,970,0,45,0
NT441,BMI - Three Shires Hospital,,,,,,"3,965","3,965","1,825","2,135",0,0,"3,965",0,0,64,42, 	2 ,2,56,0,0,0,0,0,0,0,10,15,105,135,165,240,310,400,450,430,385,425,415,270,145,45,10,"2,985","1,900",0,120,0
NT497,BMI Gisburne Park Hospital,,,,,,"3,350","3,350","1,445","1,900",*,0,"3,350",0,0,79,48, 	1 ,1,60,0,0,0,0,0,0,0,*,10,55,80,120,160,185,260,290,320,310,390,415,355,235,130,25,"2,815",740,0,45,0
NT455,BMI Mount Alvernia Hospital,,,,,,995,995,355,640,*,0,995,0,0,59,28, 	1 ,1,55,0,0,0,0,0,0,0,0,*,40,60,45,55,85,95,95,90,105,85,80,70,50,20,10,895,145,0,15,0
NT490,BMI Southend Private Hospital,,,,,,"1,540","1,540",635,895,15,0,"1,540",0,0,,, 	- 0,0,74,0,0,0,0,0,0,0,0,*,10,*,10,10,15,40,35,60,65,160,260,315,315,175,65,"1,535",0,0,*,0
NT446,BMI St Edmunds Hospital,,,,,,"1,490","1,490",715,775,0,0,"1,490",0,0,41,25, 	2 ,2,60,0,0,0,0,0,0,0,*,*,30,35,45,70,70,105,130,130,150,215,210,155,100,30,*,"1,010",820,0,20,0
NT451,BMI The Cavell Hospital,,,,,,"2,310","2,310",855,"1,455",*,0,"2,310",0,0,35,19, 	2 ,2,53,0,0,0,0,0,0,0,*,*,90,115,135,195,260,250,220,210,195,190,155,135,80,40,15,"1,780","1,145",0,35,0
NT447,BMI The Duchy Hospital,,,,,,980,980,505,475,0,0,980,0,0,75,57, 	2 ,1,57,0,0,0,0,0,0,0,*,*,30,30,30,55,65,90,95,120,80,110,115,80,50,20,*,540,700,0,30,0
NT445,BMI The Edgbaston Hospital,,,,,,"2,825","2,825","1,350","1,475",*,0,"2,825",0,0,36,23, 	2 ,1,50,0,0,0,0,0,0,0,10,15,160,175,205,245,255,355,300,285,245,220,145,110,75,10,*,"2,270",975,0,65,0
NT448,BMI The Huddersfield Hospital,,,,,,"2,875","2,875","1,390","1,485",0,0,"2,875",0,0,66,44, 	1 ,1,53,0,0,0,0,0,0,0,10,15,115,130,180,190,230,315,315,300,245,280,280,135,100,25,*,"2,365",690,0,35,0
NT449,BMI The Lancaster Hospital,,,,,,"1,475","1,475",600,870,*,0,"1,475",0,0,67,37, 	4 ,3,59,0,0,0,0,0,0,0,*,*,30,35,45,65,85,145,145,165,180,160,175,130,75,30,*,"1,205",970,0,20,0
NT450,BMI The Lincoln Hospital,,,,,,"1,365","1,365",645,720,0,0,"1,365",0,0,64,46, 	2 ,2,62,0,0,0,0,0,0,0,*,10,35,25,30,40,50,85,120,140,140,175,200,160,95,45,10,900,"1,085",0,20,0
NT457,BMI Woodlands Hospital,,,,,,"5,310","5,310","2,270","3,040",*,0,"5,310",0,0,86,56, 	2 ,1,58,0,0,0,0,0,0,0,15,20,120,160,210,285,330,470,525,560,540,590,615,395,285,140,30,"3,745","2,455",0,200,0
RMC,Bolton NHS Foundation Trust,,,,,,"97,265","87,070","39,705","57,555",0,"35,945","24,635","6,460","20,030",47,34, 	4 ,1,47,"8,440","3,345","2,105","1,410",340,350,380,620,675,"5,120","7,615","6,635","4,440","2,955","3,570","4,020","5,190","5,020","5,905","7,225","6,845","5,875","4,485","2,950","26,255","229,345","10,205","1,020","7,580"
NVC27,Boston West Hospital,,,,,,"2,800","2,800","1,225","1,575",*,0,"2,800",0,0,84,42, 	1 ,1,60,0,0,0,0,0,0,0,*,10,60,85,85,120,145,225,285,235,245,300,370,285,205,110,20,"2,800",*,0,0,0
TAD,Bradford District Care NHS Foundation Trust,,,,,,"1,465",985,785,680,0,395,200,355,35,*,*,*,*,43,0,0,0,0,*,*,*,25,10,145,175,140,140,130,100,135,65,85,65,45,20,20,25,10,*,"66,485",*,*,0
RAE,Bradford Teaching Hospitals NHS Foundation Trust,,,,,,"143,455","127,890","59,960","83,490",*,"59,680","35,645","12,650","19,915",59,30, 	3 ,1,47,"8,585","4,575","2,975","2,545",635,735,900,"1,005","1,115","8,140","10,445","10,195","8,350","6,095","7,140","7,770","8,985","8,430","9,145","8,810","8,235","8,100","5,620","3,550","40,915","246,960","22,145","2,035","9,000"
RXH,Brighton And Sussex University Hospitals NHS Trust,,,,,,"152,075","124,250","72,645","79,425",*,"47,150","49,615","14,565","12,920",60,39, 	5 ,1,53,"10,240","3,965","2,620","2,390",555,630,535,610,735,"4,260","5,300","6,665","6,285","5,585","7,060","8,580","10,665","9,200","11,165","12,940","11,890","11,010","9,250","6,765","53,680","332,285","14,660","1,450","1,810"
RXQ,Buckinghamshire Healthcare NHS Trust,,,,,,"116,605","110,035","50,940","65,665",0,"35,325","36,885","20,475","17,350",63,38, 	4 ,1,51,"8,505","3,460","2,185","1,710",415,355,400,475,480,"3,615","5,675","6,610","5,215","3,965","5,055","6,125","8,415","7,195","8,375","9,670","9,305","8,250","6,025","3,355","51,540","250,545","14,035",770,"5,965"
